country,weighted_dependency,weighted_direct_dependency,weighted_indirect_dependency,total_trade_value,country_name
CHN,0.501462486011093,0.31790177113631973,0.18356071487477324,460860.03463625314,China
VNM,0.27615383682640604,0.11155325652845263,0.16460058029795338,63228.44389873743,Vietnam
IRL,0.2150833569187302,0.18293209397761517,0.03215126294111499,67240.92322063446,Irlanda
CHE,0.18331994746442834,0.11435568711901874,0.06896426034540949,40973.44617930969,Suiza
MYS,0.17437735329949042,0.1364139425459846,0.03796341075350579,38580.57933354378,Malasia
BGD,0.15342093738578583,0.06621996865070863,0.08720096873507718,6597.383357524872,BGD
MEX,0.14831203796731052,0.13888349894876317,0.009428539018547294,367013.4959653616,México
RUS,0.1456114075331328,0.09473501482582007,0.05087639270731264,21480.387065708637,RUS
TWN,0.1441514819815563,0.05243780032653683,0.09171368165501939,49597.87427210808,Taiwán
ISR,0.13794432159437528,0.12128948728594728,0.016654834308427964,13583.854128599167,ISR
JPN,0.13564002381034895,0.08690439014105349,0.04873563366929544,164040.2593291192,Japón
FRA,0.129511940619621,0.07992835184420972,0.049583588775411226,49592.14043916559,Francia
DEU,0.12835145566156209,0.05276809921936383,0.07558335644219817,138494.58259922266,Alemania
IND,0.1266652813550815,0.08130109147603655,0.045364189879044954,69665.65240168571,India
THA,0.11806967470117,0.04279656972001666,0.07527310498115328,28536.132467269897,Tailandia
CAN,0.11286993593715777,0.11032295470478612,0.002546981232371624,317283.062725544,Canadá
NLD,0.08795749288518828,0.039068912042927936,0.04888858084226032,18385.633772969246,Países Bajos
CHL,0.08411847437634243,0.05160238956306613,0.03251608481327629,8891.971853733063,CHL
IDN,0.08345882410429256,0.047037983915102645,0.03642084018918988,16223.192834615707,IDN
ITA,0.08309419886672653,0.038084407440419986,0.045009791426306504,54368.96328353882,Italia
KOR,0.07980907069395148,0.03380942535735523,0.04599964533659619,74781.11251402574,Corea del Sur
COL,0.07500580036297139,0.0639136013625757,0.011092199000395661,12260.569766879082,COL
KHM,0.06369428255983704,0.03552921158550866,0.028165070974328354,4812.522573471069,KHM
BEL,0.061520120681959584,0.026304501490742406,0.035215619191217136,14431.214557766914,BEL
PHL,0.06124076968355462,0.017029638626732208,0.04421113105682238,9959.484543800354,PHL
BRA,0.06075125470670559,0.0450295674396346,0.01572168726707095,24988.504524081945,Brasil
TUR,0.053959981685507585,0.032393244312097474,0.021566737373410052,5630.616707801819,TUR
SAU,0.05391287398048937,0.02844429523697271,0.025468578743516646,13331.008996963501,SAU
ESP,0.04737473835681418,0.026616370349487974,0.02075836800732614,7236.257591843605,ESP
SGP,0.04377469621740237,0.031101622363317618,0.0126730738540847,28552.66438484192,Singapur
PER,0.03620289622551945,0.02013807817926837,0.016064818046251008,5164.259085774422,PER
GBR,0.03537188157324749,0.021803932633561653,0.013567948939685819,138348.2842931375,Reino Unido
SWE,0.03344049954058922,0.016609987101668913,0.016830512438920246,5575.561179161072,SWE
DNK,0.03258494686607361,0.02383640126399368,0.008748545602079837,8774.146904468536,DNK
AUT,0.029315885031823814,0.017961148319300756,0.011354736712523008,6121.345885276794,AUT
ECU,0.02558596259368639,0.017539259063571372,0.008046703530115018,6124.48447227478,ECU
AUS,0.018149447769284174,0.014512257714074581,0.0036371900552095273,5676.712371349335,AUS
NGA,0.017477704269812433,0.012086746695020854,0.005390957574791482,4501.174766540527,NGA
IRQ,0.0170389179015963,0.0167268961668014,0.0003120217347948,7026.0341796875,IRQ
BMU,0.0144237810745835,0.0144237810745835,0.0,27347.0,Bermudas
