,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.477164182632044e-06,1.0454145346816062e-05,0.0008843838023164367,7.232018362072132e-06,1.3027139717798104e-05,1.2112645003375116e-05,1.0904563933848667e-05,8.665753739908816e-06,9.254194868798627e-06,3.4506126701490253e-05,1.8329027518678542e-05,1.2635101841438308e-05,7.545880394232948e-06,1.0148660651252814e-05,1.4134638129764491e-05,9.610473533219854e-06,1.067582940439672e-05,1.1310286999237621e-05,1.4773624251885665e-05,1.1164512661674118e-05,1.1250807825428887e-05,1.0879846661124763e-05,9.25299999370231e-06,1.1491052985174759e-05,8.632776429617573e-06,1.178945251649361e-05,1.7551539076578927e-05,1.082079222397515e-05,8.744758966026922e-06,7.142304969149173e-06,9.167496780444815e-06,4.193132916104549e-06,7.957738875494127e-06,1.0634833209440982e-05,1.3959869225962847e-05,0.0,1.0920111244518306e-05,1.1620573832105753e-05,8.750369586121233e-06,1.0148660651252814e-05,2.2471349315740225e-05,9.966943165693997e-06,1.0472292014257846e-05,1.1963013837034629e-05,1.0769162303630252e-05,1.0289539137147277e-05,1.4626204039851987e-05,3.840528829438035e-05,5.749227918700232e-06,1.1416237280879346e-05,1.3500963128176475e-05,9.131454348814027e-06,1.0588668435897546e-05,8.04913340596027e-06,1.017690863557723e-05,7.323289941069217e-06,1.0772511688648312e-05,1.1443680301648611e-05,1.1134170537612454e-05,1.0601014789004687e-05,9.338344130163198e-06,1.1315239814799582e-05,7.758975047262356e-06,1.2854033901698923e-05,2.7886275069451997e-06,1.1852588235584477e-05,1.0891925713615566e-05,1.1134170537612454e-05,1.1837501907709633e-05,1.0784476951854739e-05,1.0834156944904192e-05,1.1278820663676839e-05,1.6808206038040445e-05,1.0767231171706922e-05,1.7656985511169635e-05,1.0921152680697413e-05,1.1247932687212093e-05,1.0330430730505641e-05,1.4472866770163664e-05,9.784813597824045e-06,1.0767231171706922e-05,1.0032476274318634e-05,1.0611058983369835e-05,1.1274446654241758e-05,1.3547443392846552e-05,1.0430897732204094e-05,1.1571412997747619e-05,1.0576358818152708e-05,9.561867016892046e-06,7.976488627064558e-06,1.1286446617043936e-05,9.22244715250872e-06,1.048066391580566e-05,7.623863567062713e-06,1.0471014233628646e-05,0.0,9.062444402024188e-06,1.3268859281919337e-05,8.278473441446745e-06,1.0405549874132528e-05,1.0915916790282231e-05,1.4501494669851604e-05,1.0468765501196823e-05,9.886351614799004e-06,1.0671055985224853e-05,1.0063556432314557e-05,1.0970125374901807e-05,1.0637615912009535e-05,2.1331569471630323e-05,8.669174081682068e-06,1.0943270903069998e-05,1.0119057446392559e-05,9.78056852704188e-06,9.977280735007284e-06,9.822972574324304e-06,1.0487990507263302e-05,1.0840607017321973e-05,7.154754931049137e-06,1.049235323118465e-05,1.1190161981978906e-05,1.0907568896753088e-05,1.0734799508724188e-05,1.0562276924743219e-05,1.2247130424411363e-05,8.600060437498172e-06,0.0,1.1674627844098406e-05,1.0853300666609447e-05,1.1441598821849108e-05,1.1548275224700676e-05,1.1219207894137163e-05,1.0190406021788918e-05,8.345625113588813e-06,1.0942434029826827e-05,1.126691865003721e-05,1.0644649890239912e-05,9.147640465900467e-06,7.515460885883738e-06,1.2075881343088617e-05,1.3413613472134652e-05,0.0018221133893524723,1.0973980340753664e-05,1.156397714170674e-05,1.0341959571212634e-05,1.049014225171284e-05,1.0468150002335052e-05,1.122067952223445e-05,6.968209529309535e-06,1.1204656924688153e-05,1.0718219329699606e-05,1.0539687848197363e-05,1.0669519037877308e-05,1.6679123815376274e-05,1.2871134375148108e-05,6.991334661630039e-05,7.167153633652653e-05,9.249387345551051e-06,6.620302327026725e-05,1.1146269010004215e-05,1.0627738734361052e-05,1.2825686594663812e-05,1.0771884929444786e-05,6.991334661630039e-05,1.1294698795575921e-05,1.0504086938403191e-05,9.716309845929069e-06,6.876020714954166e-05,9.355940067059836e-06,1.0572249011663983e-05,1.0208922808735318e-05,1.0917724307234565e-05,1.0573649841753422e-05,1.0871984272669326e-05,1.1908600005932485e-05,7.541209069917099e-06,9.784813597824045e-06,1.261405721444877e-05,1.1615303854357951e-05,1.0738075252358575e-05,1.0548046220352334e-05,1.0831557063491478e-05,1.0148735631839467e-05,1.4780277384557326e-05,1.0468765501196823e-05,0.0,1.076595548974102e-05,8.836845034059984e-06,1.0693795242814792e-05,8.940584311035696e-06,1.1149645130026378e-05,1.0644738336640459e-05,1.5013492173498605e-05,1.250716124764182e-05,1.0466251557280099e-05,1.6876045254800245e-05,8.621086665962866e-06,1.1577130757426951e-05,1.3447891145057082e-05,1.1138960687015788e-05,1.0710938887541974e-05,7.107168354754138e-06,1.0694241196422536e-05,9.308581286469823e-06,6.87105488472436e-06,9.425162796797698e-06,1.0904334199641132e-05,1.0722672589463408e-05,9.923320910283598e-06,2.8448707093443845e-05,7.821128407523558e-06,1.0661505224833459e-05,1.3296949620585166e-05,8.145551175481704e-06,1.4090379091445918e-05,6.504874862904194e-06,1.4469205888778047e-05,1.0495599229549648e-05,8.941098813027777e-06,1.0661163727631759e-05,7.156678177662094e-06,1.1146269010004215e-05,7.5839916392596465e-06,6.8434265474118954e-06,5.719136978257874e-06,1.1146269010004219e-05,8.882763927861533e-06,7.675906949791746e-06,7.3663995558123364e-06,1.0498001508010242e-05,1.395030431073085e-05,3.3819588237439454e-05,2.8448707093443845e-05,1.0766322951582823e-05,1.0764395856462077e-05,1.0611067126510626e-05,1.0806399161660515e-05
Agricultural and forestry machinery,3.0482606216095253e-07,2.077558704740966e-06,2.741750451526884e-06,2.3345413352344751e-07,2.2302703376486916e-06,6.0756470100028e-07,1.3040509168906805e-06,6.373246790710833e-07,2.185551333511789e-06,7.251559881010289e-07,3.919912082824004e-07,6.077569506210904e-07,1.3553266275223018e-06,3.917321882389848e-07,3.05730196959906e-06,6.510224693908199e-06,8.870708469757896e-07,6.673533696955062e-07,7.177208663255059e-07,5.662770047247902e-07,7.905239309525762e-07,8.700281616713259e-07,1.8308232497451659e-06,2.8791381913539135e-06,3.620328822442357e-07,2.6765000983611086e-06,6.400841397016667e-07,7.973433475978003e-07,3.7365032093915245e-07,2.3710389472474184e-07,6.760623505697794e-07,4.951009094521815e-07,3.597546360535908e-07,7.272089351554832e-07,1.1456766101262299e-06,0.0,1.4331352489409622e-06,6.236273515017635e-07,4.2193322573924024e-07,3.917321882389848e-07,1.011927298491257e-06,1.0475211305034098e-06,6.113926427497135e-07,1.5466721153021497e-06,1.088492103135966e-06,1.126404182235569e-06,6.969053887853407e-07,7.54121051924106e-07,6.08033333454465e-07,7.960135722108249e-07,8.705990293099331e-07,8.441386637761671e-07,7.995147194259698e-07,4.021118087267575e-07,3.917321882389848e-07,3.38571494993822e-07,2.748352629671637e-06,6.576668632426819e-07,4.617373571001759e-07,1.6508679095394337e-06,5.146610379506742e-07,7.077795799800614e-07,6.966112277788747e-07,3.910478873738147e-06,9.041156679285874e-07,2.0138418752247874e-06,5.588202642671553e-06,0.0,5.785033496636644e-07,5.699173238641522e-07,1.920601446495215e-06,4.0788428562736734e-07,9.645818813526603e-07,7.35687899256745e-07,6.077569506210905e-07,1.707284189456543e-06,6.743524106060328e-07,5.3626690273848e-07,7.960713454210208e-07,1.7744555305940578e-06,7.176319294601516e-07,4.401317387538422e-06,1.0461390608154911e-05,5.902134454985209e-07,1.1746975743786473e-06,9.622545259157483e-07,9.692698257953704e-07,1.720355987880856e-06,1.3660925950357993e-06,4.791581456215568e-07,8.663750430906358e-07,8.047618148201369e-07,7.83838490829041e-07,6.520084682824802e-07,6.236451084421387e-07,0.0,5.703662772126648e-07,1.3376046108750309e-06,4.59052731010575e-07,1.0352059567222852e-06,8.522294225300285e-07,9.519128008251307e-07,2.3345413352344751e-07,8.362937780556595e-07,2.508876706536895e-06,7.826435860758002e-06,7.270630426600959e-07,1.246354639168763e-06,1.7111589126029514e-06,4.749584346716048e-07,3.1224984313803687e-06,7.537626784603141e-07,8.553734149615987e-07,2.311430870818357e-06,1.6560884962308555e-06,8.254961574251008e-07,8.27147468535851e-07,2.774250919191549e-07,8.393081950801603e-07,1.1979709862140543e-06,7.808910337087778e-07,2.739454684815408e-06,1.2975888187981413e-06,8.14212976836587e-06,4.5903638521049926e-07,0.0,1.114236293090116e-06,1.022370745395922e-06,8.234364964107037e-07,6.151639791768589e-07,7.598606669374028e-07,4.584282921119072e-07,2.6654148995246766e-06,2.31314999578054e-06,1.0224930369523728e-06,0.022502065394610526,4.507052305931868e-07,4.1565757295954977e-07,3.2764443450765446e-06,1.1154631835252957e-06,1.8611523569663158e-06,9.252044495418349e-07,2.3486480392227575e-06,6.718849924570312e-07,7.838192403394565e-07,1.0713858632365847e-06,1.2850124250740938e-06,2.3345413352344751e-07,7.965272807167975e-07,9.228471923294956e-07,7.959020506185006e-07,1.1439257681202597e-06,1.779130747266211e-06,1.2501464072342211e-06,4.5391915095417427e-07,4.559194116367142e-06,5.629852695817319e-07,7.936363368085634e-07,5.659621325134509e-07,6.330547461451991e-07,2.195769156310028e-06,4.063187258274242e-07,7.749433398925334e-07,1.7004363813809764e-06,1.8317067714455443e-06,6.813279659985805e-07,5.040692958261911e-07,9.534132680450286e-07,9.609020186682187e-07,5.302513052628226e-07,8.570928004444614e-07,4.7320331449865076e-07,6.113926427497137e-07,1.0210545682108957e-06,0.00022127991258593676,1.7744555305940585e-06,7.985924527112795e-07,1.3261166982681345e-06,8.41900659707195e-07,8.092855694258443e-07,1.4233468666037794e-06,3.9492727965276046e-06,9.437302550414179e-07,6.042004331937572e-07,0.0,7.857137387310674e-07,7.864029140904339e-07,1.293995547195399e-06,5.583843966248392e-07,6.709650703330728e-07,2.4046730425120745e-06,5.943166203544676e-07,2.5804101710568436e-06,4.173923492649491e-07,1.2834499893634506e-06,6.333267355164468e-07,9.087467191822536e-07,1.297009492927384e-06,5.587891151740056e-07,1.2107395212664808e-06,2.4188744590837163e-07,9.652102762878494e-07,3.760398875331229e-06,3.178226067839521e-07,2.3349669239585703e-06,1.1823728043018596e-06,8.386532501095451e-07,3.4572129954177977e-06,6.673533696955058e-07,1.8737652635895263e-06,6.773512094946286e-07,8.091412615923493e-07,4.783103934112331e-07,2.8212085805674257e-06,1.7915749918820273e-05,9.416443263282409e-07,7.821459963216439e-07,9.386709963320352e-07,1.69655015959205e-06,6.174320238951785e-07,4.2873243798243376e-07,9.235541695420807e-07,2.3345413352344751e-07,2.854260262062694e-06,0.0,2.973655023056045e-07,7.656646223289344e-07,3.138626351968574e-07,9.109050641382646e-07,6.052931975444632e-07,8.074307637247252e-07,6.926140092245177e-07,3.1919280560595045e-06,1.2100634134300566e-06,1.1660699007353409e-06,1.297072499047176e-06
Aircraft and spacecraft,0.0003683285058813355,0.00022253295661122532,0.00022333036204049312,0.00016033648059232455,0.0004237409651150945,0.00022670858637970114,0.00020445234065289615,0.00025213479653086074,0.0001695400362039523,0.00027709977892812415,0.00020847682217745573,0.00010919222995124618,0.00017071354389126836,0.00011386487966114923,0.00048158216822132726,0.0002610124082094729,0.0002160716106830563,0.00021230936538851512,0.000185375852886222,0.001349932279340744,0.00016569517462881162,0.0002235596196564083,0.00021652252646550872,0.0002136503730842585,0.0002951322342192133,0.000145603338021562,0.00021251893532937978,0.00017254285891197773,0.0001123740752979199,0.00012282056905973677,0.0001492397952095327,0.00015271213400740286,0.00017260232050509946,0.0001940222877770062,0.00021360168599025343,0.0,0.00024216412138500492,0.00028965484764597547,0.00015474720453165515,0.00016557056813824264,0.000302690532357807,0.00019819037719989596,0.0001803243421359062,0.00021560859332464611,0.000207566761218045,0.0002394507693785597,0.00018171907630177504,0.00014487580432715892,0.00019823218967388267,0.0003308747706923246,0.0001768862513272702,0.0001462131477172434,0.00017397829579066825,0.0010059565048593324,0.00011386487966114923,0.00018866896377252684,0.0002381723218120383,0.00010510362677846599,0.0002558726894861979,0.0001369267376817943,0.00028353977011283724,0.0002327390399247322,0.00013433181664808288,0.00023057962974204455,0.00015775661364581504,0.00020044130428330974,0.0002481450632108844,0.0,9.407041202779619e-05,0.00013431870271101795,0.00029417178834993554,0.00020554063944346399,0.00020885116039199393,0.0002814544569962604,0.00021251893532937978,0.00018241052883948347,0.00025590041457579707,0.0001530294818947109,0.00023047382577272104,0.0020902307467196056,0.0002825333087390976,0.00021967073988469102,0.0002486425808927818,0.00019306465325987993,0.00017637721696262153,0.0002824478795343519,0.00022018438565941787,0.00022278953318193094,0.0001773753354341044,0.00015472022356936008,0.00035454593371878724,0.00017341176926093704,0.0001815600752974419,0.00014778799324519917,0.0009350346933215925,0.0,0.00015081910126051626,0.00021733851055102802,0.00012087030700819874,0.013330902701180978,0.0002332905870804865,0.00028063570158502553,0.0002402950641641793,0.00018105895406341077,0.0002877358859936507,0.0002526348701386222,0.0001763237267120991,0.0001710233778373315,0.00036701659967997556,0.00011696060252016671,0.00018241052883948347,0.00016234833839430686,0.00018063472775882943,0.00016671562154634093,0.00015055251296646724,0.00016479683376569146,0.00013526852986925478,0.00012114448250793953,0.0001404822411654623,0.00020380840356769723,0.00021742035270354136,0.0003899837229791309,0.00023652845139971905,0.0005668488749943169,0.00014487876757431192,0.0,0.00021279315255343806,0.00028297224867842826,0.00022387873144993044,0.00029611661700113,0.00016189238263896637,0.00021050981566614682,0.0001113943249567281,0.0003196410261634787,0.00022523832614315144,0.00030450193555849655,0.00019429351065330055,0.0002782733420203172,0.0007213670479226126,0.00017031856496042068,0.0017701987070222911,0.00020422466362800024,0.00021304427099636629,0.00013860159437556732,0.0,0.0008738298023409267,0.000243524904830648,0.00026146741422957743,0.0002796489049196391,0.00014316022044250518,0.0002528202647419113,0.00022002451975723585,0.00021461242611777001,0.00020326297819728858,0.0,0.005680307153407348,0.00015144368901435956,0.00011083980595308003,0.002093830461895341,0.00018192575538114947,0.0002059568838790901,0.00011386487966114923,0.0001913563315507274,0.0003918891158552861,0.0029935765401481376,0.0002316493630682597,0.00021251893532937973,0.00014862036867091538,0.0002455917199502191,0.00011645720719392338,0.0002788721384960598,0.00017192753885982343,0.00016492535444849858,0.00022018438565941787,0.0001351374594304909,0.0020902307467196056,0.00011368361462060758,0.0004407185531364868,0.00016492535444849858,0.00017665829537714462,0.00019196190041051605,0.00021192262450669958,0.00014859852004857455,0.0002402950641641793,0.0,0.0002145879149712842,0.0003572557589538117,0.0002610481582172043,0.0006131898339596918,0.00024051653328776676,0.00017620120399372896,0.00016455466319702716,0.00016942768348894124,0.00020112026264567837,0.00023077263811938404,0.00138343995371787,0.00016108365477140028,0.0002504178164248786,0.00020542669705589365,0.0001898487298883414,0.0007169488182704961,0.000630980128557648,0.00018946358593524202,0.0001889016225961812,0.00016534909596483695,0.00024656538268123183,0.00020659623985104064,0.00016619681761818972,0.00031498966030517604,0.0001886486476379579,0.0002468528868523036,0.00014463490278185184,0.00012424102639318655,0.00020890401684158056,0.0001542805287849599,0.0001623483383943069,0.0001426097024789223,0.00021205834761895876,0.0003049642365225476,4.9836151135623997e-05,0.0015964205139956938,0.00015795282788776216,0.00011083980595308003,0.00015965726430801268,0.00028253330873909756,0.00012292953943115757,0.00013584247618850373,0.00023067805341279847,0.00016438570314026167,0.00012527706845997022,0.00013691276565019718,0.0002935613378900153,0.0002073366934231427,0.0003572828263004287,0.0002520751257262521,0.00025063052450174494
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,5.319471147833228e-08,0.00013539085449763526,1.3574680299232027e-07,1.6745428348131596e-08,3.041899189979982e-06,8.76430309826034e-09,2.1409481653167923e-06,1.5336112436550024e-07,1.0957415186807442e-08,3.3941101353960754e-07,5.022631961567602e-08,2.434337096323137e-08,1.0861044366179368e-07,1.4469789187303594e-08,1.4159433366728204e-06,2.727689857131573e-08,3.8749894468516207e-07,1.6651601997525434e-08,1.18568418430934e-06,2.6574199076758312e-08,3.4419611926408034e-07,3.983645818170344e-07,1.1500401923065828e-08,1.534347754031689e-06,4.131675084393665e-08,7.74725319763018e-08,2.6655214899286855e-08,2.432215899050957e-07,5.833996525117844e-08,6.5716302673891e-08,2.3305378403508252e-07,4.1231075607667883e-07,5.767884911613447e-08,3.4431958613596375e-07,1.0060786399339706e-06,3.7652867888117374e-08,3.9099025479757126e-07,1.5189767102263288e-07,5.022631961567602e-08,1.4469789187303592e-08,2.53203359751313e-07,2.3577497812454958e-07,3.121991058636946e-07,1.0749150584068427e-07,2.839285275113075e-07,4.754029189139598e-07,2.4684723941569307e-07,2.350773508898605e-07,7.074959475411382e-09,4.454727536321245e-07,4.844535901239849e-08,4.3324601544641835e-08,1.2840655491511186e-07,3.1200001796757093e-08,2.251830279439833e-07,5.910384093934987e-08,2.4735164641784022e-08,9.711858953648047e-09,9.472495679793742e-08,5.248996465693712e-07,8.328650049209856e-08,2.434337096323137e-08,3.7652867888117374e-08,1.2727811973454704e-07,1.231688192465231e-08,4.31045478962453e-07,4.770400198842453e-07,0.0,7.708217551727005e-09,2.0718920872760904e-08,4.021400174645096e-07,3.955200866221234e-07,2.840873593020102e-07,3.605280635183202e-06,2.357594536615312e-08,5.722659076736364e-07,4.370399306324095e-08,3.027941670906462e-07,2.572359637391836e-07,1.698654027377726e-07,3.605280635183202e-06,6.058706647589796e-09,5.527082524333204e-07,5.51437699798138e-07,2.774501376202479e-07,3.6580528554190676e-07,1.2974286120413895e-08,3.3934772202032135e-07,1.3399987332641568e-08,1.474714043543746e-07,2.4632361740512245e-08,4.285805046781864e-08,4.040373894350115e-07,2.47429788885129e-07,3.185702399902098e-07,0.0,4.40709623551487e-08,4.9288507501100745e-08,8.135639097762435e-08,2.5693644746797756e-08,3.5202980338591873e-07,1.006166389931999e-06,0.0,2.2409607155469264e-07,3.6795630528588623e-07,1.5780878126677886e-07,7.786062423268199e-08,1.595643243379254e-07,6.707502891982693e-07,8.813824163386603e-08,9.062070732701677e-07,4.340386864144741e-07,1.233183995328843e-08,3.7189758601719195e-05,1.1334525469350672e-08,3.238292861625913e-07,2.743468986678441e-07,2.9251108562800225e-08,3.8673279564825226e-07,1.4294129280621482e-06,3.2803978601724086e-07,3.800981481254494e-07,2.14265468047153e-07,2.1914540487194641e-07,9.37066484053798e-08,0.0,1.829306457921985e-05,3.965643624704592e-07,2.615735036077621e-08,3.311694026196399e-08,6.441929701414953e-08,3.2482914487870726e-07,7.665459717248205e-09,1.3281735412797526e-08,3.9851889724205334e-07,0.003876928232870939,8.44403011598551e-10,2.4311054036288597e-07,6.453550636057508e-06,1.866686316900549e-07,1.8723371631712825e-08,4.513990992341459e-07,6.377759115041006e-07,3.196727750339949e-07,3.993891908406124e-07,7.328993216552758e-06,2.8346571553540704e-07,1.6220088300435907e-08,7.695267996662771e-07,4.014104289735458e-07,6.55295501788327e-07,3.962705863252825e-07,1.527960254750999e-07,5.251888119819239e-07,2.0581239911260168e-07,4.291319219401931e-05,4.0842038879692766e-08,2.1812310376045716e-07,2.0031747899583125e-08,1.3026017302644539e-08,3.570803329718229e-05,4.044492441073762e-08,2.1812310376045716e-07,2.461661082669623e-06,0.003808457345830737,1.0563379850407e-07,2.181231037604571e-07,1.8083249795291502e-07,3.486942542031812e-07,3.5035548596446073e-07,3.9232379144045353e-07,4.333914834962228e-09,3.122548363995899e-07,6.069432076855369e-09,2.9052551558529715e-07,1.698654027377727e-07,2.1587133063747876e-07,9.693267089725401e-09,3.273302996368665e-07,1.8224109728684429e-06,9.870509891533877e-07,1.0533245337211695e-06,1.0576662569335294e-08,2.2137812735395969e-07,0.0,2.5883801541109476e-06,3.034178368216877e-07,8.759762219197968e-05,5.683773020082587e-08,1.2160255110102537e-08,1.8495574441537397e-06,2.4930401377844607e-08,9.409059792795173e-07,7.740435297290459e-06,6.350215417990407e-08,1.9012352045259484e-07,2.0035663868410514e-08,1.919851150950405e-07,1.2115469822239957e-08,3.936150029114835e-07,7.43827832102058e-08,1.1434628523514895e-06,4.225501607091681e-07,3.206058388836132e-08,2.548506744971088e-07,3.357503136650516e-07,3.269225837655891e-07,1.4302072215194187e-07,3.357926337670287e-07,3.793960610454928e-08,3.1442331279517206e-07,3.220060541815564e-07,1.9720880799221865e-07,2.9671454646737276e-07,8.963938366077247e-10,2.841071830904125e-07,3.9670433442017577e-07,3.403866004266071e-08,7.96390249963292e-06,4.823394492588548e-09,0.0,1.7358141698587618e-07,1.667200304049421e-08,1.638397213357956e-09,0.0,8.994126101686485e-08,2.10975372809983e-07,2.1501944741044672e-08,3.552172324637584e-07,3.1718836387556466e-07,8.664629513631197e-08,3.357926337670287e-07,9.351325371603067e-07,3.946071249733402e-07,4.909303191314043e-07,4.158581495548407e-07
