,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.066660979317243e-05,2.6855885691569673e-05,0.0006313553475938745,2.04162010152571e-05,2.3850913394966528e-05,2.4828973780343328e-05,2.9497864422949737e-05,2.1897113795996996e-05,2.1427073181941745e-05,2.919034597440601e-05,0.0005373779736296489,2.5547976410711325e-05,2.098624920485773e-05,2.627231667968349e-05,2.559659289620598e-05,2.311797421028686e-05,4.8269766198265046e-05,2.551730966881871e-05,2.8253095618287284e-05,2.6080232509749966e-05,4.7165899618591196e-05,2.6650903968113323e-05,1.969331935838652e-05,2.6301589745642367e-05,2.7309896401733846e-05,2.4650642887725625e-05,2.6365232772597678e-05,2.4849583121112633e-05,3.911135865821232e-05,3.5448644572992674e-05,2.30036680383741e-05,1.067073816282772e-05,2.1134095899329457e-05,2.6394588696828263e-05,2.699543958443142e-05,0.0,3.435144589301791e-05,2.293742300594282e-05,2.627231667968349e-05,2.601145217876165e-05,2.538629624341967e-05,2.6553935922213416e-05,3.495106692208978e-05,2.6488576741827478e-05,0.0005115521484716658,7.619328084476022e-05,2.92476350255197e-05,1.440012843635615e-05,6.0474607574151e-05,2.5306301121433887e-05,2.4720473958310313e-05,4.2519956712900956e-05,2.0475474625941467e-05,2.627586394150402e-05,2.043209718983114e-05,3.593124592108758e-05,2.5803486988801824e-05,2.5918126951207466e-05,2.663356459236152e-05,2.4425917924000157e-05,2.621918787275193e-05,2.0980902507196762e-05,2.5125932174362037e-05,6.924116294898522e-06,2.4236899745224797e-05,0.00010506404064924886,2.5918126951207466e-05,2.4606604737810383e-05,2.6245430279909633e-05,3.502466288013617e-05,2.6172653119356713e-05,2.7108594086997555e-05,3.5592310639686765e-05,2.638756314358561e-05,2.5549497645494534e-05,0.00022685440605369863,2.6210327127977625e-05,6.058578547492346e-05,2.2293268910010804e-05,3.5592310639686765e-05,2.1771280505714602e-05,7.745099553453328e-05,2.9455664894061638e-05,3.723250237800947e-05,3.363733916369149e-05,2.4702710675596017e-05,3.6027243170572084e-05,2.020393892591409e-05,2.192410070371115e-05,2.6285839255482083e-05,2.431684596335624e-05,2.6441305293679378e-05,2.0107805606564062e-05,2.7230970345846255e-05,0.0,2.3551925249357442e-05,2.4947766476482784e-05,3.103039416614921e-05,2.495311179932218e-05,2.6616303835943483e-05,2.7063987342407738e-05,2.6636414337547122e-05,2.6912718329842012e-05,2.7407096197920977e-05,2.599168786651302e-05,2.6338409796215368e-05,2.363499029102111e-05,2.257994710025422e-05,2.2687555450409017e-05,2.5414083917266813e-05,2.574191067813086e-05,2.3493445999066604e-05,6.728934021361779e-05,2.5433691166454472e-05,2.6470289331390554e-05,2.636193486708841e-05,2.0486909328934413e-05,2.6318970109328983e-05,2.5655770415874567e-05,2.6548405669576175e-05,2.5665560689894974e-05,2.8272934390116573e-05,2.5557694032109546e-05,2.335920450313232e-05,0.0,3.724674833970309e-05,0.006877153167592572,2.7148018078373503e-05,2.586196998292909e-05,2.6090245978803355e-05,2.587839255792203e-05,1.7385997247881652e-05,2.411793423775057e-05,5.626070369360311e-05,2.715321080482973e-05,2.3536485651607802e-05,2.069883034453476e-05,2.451799992603849e-05,5.437428086469243e-05,7.657460044504246e-05,2.680089364380235e-05,2.4717737462765677e-05,2.6171699083166858e-05,2.6413464417036453e-05,0.0029555625656187794,2.5445615293021094e-05,2.021844192571655e-05,0.00015413133837059414,0.05929796315427523,2.9401827588527054e-05,0.05422059981269526,2.5188397394039232e-05,4.589221334870798e-05,3.305789511190112e-05,3.635609362242676e-05,2.388185693567197e-05,3.263663145650235e-05,2.6084452007024478e-05,2.6383452760650282e-05,3.537757038794602e-05,2.615370516796618e-05,3.305789511190112e-05,2.9612597036035374e-05,2.6569540613029274e-05,3.012957342984146e-05,3.266508576492814e-05,2.3348033459147e-05,2.6788462619292593e-05,2.6040693276237946e-05,2.658484796019079e-05,2.485746817384108e-05,2.924659749241828e-05,2.6158364893280755e-05,1.962090001496126e-05,2.229326891001081e-05,2.5403191769358298e-05,2.7074601613897045e-05,2.5654968099022038e-05,2.5586247531171652e-05,6.681103885062261e-05,2.66323946575004e-05,2.620692304575016e-05,2.673632910576982e-05,2.6636414337547122e-05,0.0,0.0035727392252440865,2.168420740926902e-05,0.0005645983079124895,2.2987906194245604e-05,2.626733781509477e-05,2.7875665392066597e-05,2.5667347271005538e-05,2.488056181144715e-05,4.846261421018381e-05,2.97139219039095e-05,2.2606567969052598e-05,2.590622595207623e-05,2.4844863748489922e-05,2.5646835726127304e-05,0.006149925326021833,2.00445351993618e-05,0.0009168760930998164,2.209335109641643e-05,1.9760016775951275e-05,2.5301311807400507e-05,2.867009557839322e-05,2.6795384563460666e-05,2.3996972862103812e-05,2.8333624912029236e-05,1.8216387957408887e-05,2.6526416607416418e-05,2.672281833203519e-05,2.0846946480997784e-05,2.4526637192511196e-05,1.563845207134549e-05,2.6906139480391534e-05,2.6412901950114128e-05,0.0001328519357682004,5.0689433352686894e-05,1.6601828423828684e-05,2.6084452007024478e-05,4.202230383995464e-05,1.9713470550975564e-05,1.3881445373674304e-05,2.608445200702447e-05,2.3222227540271878e-05,1.9582560211670727e-05,1.9963955423857033e-05,2.6943929506135763e-05,2.6694899966803313e-05,2.8472217519132336e-05,2.8333624912029236e-05,2.657782396672561e-05,0.007897212086008722,0.04480213487740777,0.09980657558872356
Agricultural and forestry machinery,4.34578919229713e-07,2.1883155789174077e-06,5.549830515407915e-05,2.509063173096141e-07,7.950841348836369e-07,3.764701038117712e-07,1.3010671535464742e-06,1.0633815277415514e-06,7.797864080360062e-07,2.229689352751136e-06,1.9394123835507744e-06,3.9136008384192615e-07,4.023232094193571e-07,1.7532082382367269e-06,2.908785278658861e-07,8.672063044770891e-07,0.00018936809745122058,5.005439060684016e-07,2.2674997134177673e-06,1.4694847462312358e-06,1.404123462261446e-06,3.828362162671407e-06,4.986243929256298e-07,1.393249512980076e-06,4.2088900407459183e-07,7.785137939294283e-07,5.854137691129531e-07,5.53726185869716e-07,5.38874848178179e-07,2.54695748014684e-07,1.1879409378634216e-06,1.4145547754642693e-06,4.346131491830919e-07,1.937971981896344e-05,2.839525709207169e-06,0.0,4.654560942774482e-06,5.026228931728517e-07,1.7532082382367273e-06,4.944473120855148e-07,6.866111308137115e-07,1.15264002259751e-06,2.8860009914097864e-06,9.18460343985388e-06,2.9080834581286332e-05,4.202446230685827e-05,1.0662910409999124e-06,1.1106599283997548e-06,2.4730935960328615e-05,4.80366569268471e-07,1.0676526521745239e-06,6.156607199455523e-07,7.241032935180495e-07,1.7532082382367277e-06,5.580055085709068e-07,4.6744337631443533e-07,4.6216175958859285e-07,4.0244941374050664e-07,5.508809246522723e-05,2.19926697925131e-06,7.754519643883191e-07,1.0811431151741876e-06,1.5952590717438631e-06,2.371263846901566e-06,3.691445009604259e-06,1.9764290008457383e-05,0.0,3.6609317128301973e-07,4.4794117478053117e-07,1.787246570210598e-05,3.6086610693900245e-07,3.512394421107361e-06,8.138950753294241e-07,3.9136008384192615e-07,1.126880890930013e-05,6.904572483463042e-07,1.621466753699097e-06,3.3831985584349765e-05,6.082876655818179e-07,7.035970233418461e-07,9.474110612587959e-07,1.104111695195734e-05,3.9447907736547117e-07,1.0631931810755225e-05,1.5551893505046434e-05,4.967172316174155e-07,6.284527971076005e-07,5.377841061437166e-07,9.202681416342953e-07,7.491383080307116e-07,1.3222826100090387e-06,3.357475930164456e-06,1.083574145806504e-06,1.2432036139358116e-06,0.0,1.6130402920963158e-06,6.729448565870252e-07,1.022892177681356e-06,4.926914715845891e-07,6.792098655404495e-06,3.1090755223633127e-06,2.509063173096141e-07,6.038060803965422e-07,1.135491866676699e-06,1.3373444062055495e-06,5.517105133627644e-07,7.934739579719968e-07,3.031023844638488e-07,5.606157683857584e-07,2.9391869157171575e-05,1.6320587009153982e-06,4.941054923278216e-07,1.702200364988601e-05,9.440876973331739e-07,5.117506787901048e-06,1.4644442841014295e-06,3.488340387255896e-07,1.4820187061134682e-06,1.0532468101063875e-06,3.9457912398844155e-06,1.4470199882920834e-06,3.7151946924515522e-06,1.0694604029403874e-06,3.335880558971915e-07,0.0,3.5090387668128827e-06,0.0008593480862825822,5.419110125699344e-07,5.459928285655395e-07,4.834758341906058e-07,7.703972465875341e-07,6.310557547404117e-07,6.213481707263899e-07,3.803715416035907e-05,2.7998888095071305e-06,5.29971659418863e-07,6.879241387959179e-07,1.2312046819398107e-06,5.4457275928659586e-06,1.0736022569037135e-06,3.889484999393899e-06,1.0166553110123262e-06,2.145939033112298e-06,2.5213437382673075e-06,0.0014190386037620207,1.3515011700913143e-06,2.509063173096141e-07,0.0033772006908406407,0.000731475530781986,4.513831854514873e-05,0.001990563287937264,7.646288868762128e-07,7.704042947094796e-07,1.6396920272655208e-06,3.496236118811055e-06,9.411320860131847e-07,7.552993502053259e-07,1.4788464882146644e-06,4.920983751676293e-07,5.24960852111861e-06,1.7895414758528669e-06,1.053693805656185e-06,9.803578646448983e-07,4.297388240839283e-06,9.278082521716742e-07,1.4029899080513969e-06,1.7194526908882658e-06,5.524352618764531e-06,9.795307567686918e-07,9.216485948790442e-06,3.575447057086528e-07,1.1526400225975103e-06,4.660823885362238e-07,1.2810476301050932e-06,6.082876655818183e-07,7.829270411421042e-07,9.893279751244905e-07,5.14392064893137e-07,6.502254473927099e-07,3.599924235316894e-05,1.1631588348379323e-06,1.9684206730717627e-05,1.843366573316147e-06,2.8405143417507185e-06,0.0,8.21823831378057e-05,4.664482663774315e-06,1.450778301073914e-05,1.333039338854022e-06,4.074290465321096e-07,1.3541415068846604e-06,3.9940754336169803e-07,7.416945572774915e-07,7.191882376913185e-06,2.295979490181379e-06,2.928545678021858e-06,5.262062320548767e-07,3.9118341384878904e-07,6.226753309093732e-07,0.000519014307357165,2.733819497429482e-07,0.0004451712250740027,1.0656678171618748e-06,3.1186332155665726e-07,1.0171369021846703e-05,1.2082172983988843e-06,5.355775870387923e-06,8.924138078896061e-07,5.005439060684013e-07,7.112548088435896e-07,1.3355612239701953e-05,1.581530280514374e-06,8.098828469957882e-07,3.2823717908959356e-06,1.1505438691539684e-06,3.3404727849931626e-06,2.552684108630032e-06,2.1394767387741776e-05,0.0001348310833296223,4.5644512061440066e-07,5.321493543142193e-07,1.071771205527722e-06,2.509063173096141e-07,5.486067274639445e-07,0.0,3.395374393585266e-07,3.691460385293179e-06,4.791175308537862e-07,4.315080872337604e-06,1.316278246605965e-06,6.372988181295282e-07,1.3687266453961405e-06,4.964828242236929e-06,0.0005900345796761774,0.0009319780014623976,0.0015803910459997442
Aircraft and spacecraft,7.508718557616632e-06,4.661559964113114e-06,0.00013633516836164208,3.95167453534187e-06,6.30706878177979e-06,1.4451512869093478e-05,8.322233363018555e-06,0.0016779920182579272,2.9946320643729485e-06,4.804846478608336e-06,1.3939191305754314e-05,2.798767210809613e-06,3.3933920817248247e-06,3.720443277611216e-06,1.3489855308783977e-05,6.3476758231101205e-06,2.6429972376684916e-05,4.677341428578923e-06,5.124248485413109e-06,2.5124846102858737e-05,8.276590174745402e-06,5.426067363087653e-06,8.53258188982447e-06,6.07186716510718e-06,1.888185628331733e-05,2.6225662664088475e-06,3.364582744598317e-06,3.882291081222187e-06,2.4307228232195257e-06,2.5449362686539423e-06,4.079026568324068e-06,4.067040949621885e-06,3.3539695694257336e-06,3.745505928741532e-06,3.365640565045661e-06,0.0,3.0362613612495194e-05,4.084361895995037e-06,4.124306548734283e-06,2.483491548009017e-05,4.137087463213838e-06,3.600022201919905e-06,2.8367263541238265e-05,1.3617800504791316e-05,6.380416336797345e-05,3.7271795438698013e-06,3.7113169272757398e-06,4.231106882131064e-06,0.00037936746796891457,3.95319070821125e-06,3.434215740405604e-06,3.867610969286776e-06,1.892210109198312e-05,3.7204432776112158e-06,3.685665380572082e-06,1.6569266545711013e-05,2.7763780793823536e-06,6.136992685374043e-06,3.5736447072640782e-06,6.026357177336047e-06,6.0658525654241615e-06,4.3900708630178855e-06,1.8935424925197314e-05,3.452640475206376e-06,5.821959947347039e-06,1.578000164083235e-05,0.0,3.6323508121250733e-06,2.9195599673802285e-06,4.037053032107384e-06,3.5754191626594655e-06,3.3898610397107176e-06,5.029602414348338e-06,3.364582744598317e-06,4.466408774740313e-06,6.138043838516308e-06,3.832653455658779e-06,1.165476017243538e-05,3.905661589877431e-05,5.037880207839649e-06,2.8569468853070473e-05,6.319135810870993e-06,3.743711559928929e-06,6.670970164052354e-06,5.046375363764537e-06,3.837100441596538e-06,1.1021875939206395e-05,3.2018662221890953e-06,4.083207265446425e-06,6.884311043713157e-06,3.4886494222837826e-06,3.6904689379088222e-06,3.191562172351835e-06,4.6171422138021325e-06,0.0,3.280014132786821e-06,4.625666712576087e-06,6.551339477785996e-06,4.7661455250757636e-06,2.728807941074512e-05,4.0526339648007535e-06,3.2263624667206427e-06,3.2635128578539178e-06,5.861852611504126e-06,3.7780811722491744e-06,3.787086745921296e-06,3.2633096274223353e-06,1.6610198529600253e-06,2.609339837822317e-06,4.466408774740313e-06,3.0429178332014442e-06,4.909879642225176e-06,0.00025671969706705266,5.088148450888741e-06,4.789854762987013e-06,3.6567111012914395e-06,2.51258958008337e-06,2.9380757656004358e-06,3.880741350294483e-06,2.3707090418588146e-05,4.343216707282216e-06,4.511466512556651e-06,1.2326238127536426e-05,2.9635285847770553e-06,0.0,5.018030916554085e-06,0.000547650601381251,6.1026512158791785e-06,6.483026719418247e-06,5.298499756572755e-06,3.2367319483881195e-06,2.1443897533092866e-06,4.045946097211527e-06,5.777860792528561e-05,4.30649458842309e-06,3.630180681855441e-06,2.1807891837987998e-05,7.670322549048815e-06,0.00619016721058439,1.042353637834603e-05,3.5257032059522836e-06,3.815961195115028e-06,4.733482899606692e-06,0.0,3.2936210842314525e-05,3.4067414185680347e-06,4.880690063458956e-06,0.0034711982312047814,2.0541789857130736e-05,4.266781668033376e-06,0.12899125346343554,3.3964093318704694e-06,3.7462203632676117e-06,0.0,6.77702584970892e-06,7.055759360123573e-06,2.35134977350113e-06,3.9123976544139184e-05,3.563211855050981e-06,8.493359570207837e-06,3.720443277611217e-06,4.065744529104478e-06,7.621725345919226e-06,7.724810935544157e-06,4.391302626673763e-06,3.364582744598316e-06,1.0420805992571136e-05,4.454387952827863e-06,2.485405058053848e-06,5.200403578375264e-06,3.593960021533374e-06,8.835875366307055e-06,3.837100441596538e-06,2.2638531174498808e-05,3.905661589877434e-05,2.396739003726431e-06,3.6668775656889087e-06,5.349828845069485e-06,8.835875366307055e-06,2.330331198102527e-05,5.446751757713509e-06,4.260938240083522e-05,4.582746112542136e-05,3.2263624667206427e-06,0.0,0.00014210326030093804,8.027031710634847e-06,1.3170966238879717e-05,1.1848360325011006e-05,3.255972110725004e-06,1.6691368170088115e-05,3.962170572002408e-06,5.757851446700689e-06,1.2970002046758943e-05,4.645042732134469e-06,2.594527899259874e-05,5.533722706057104e-06,1.5751954836507728e-05,4.586215273105944e-06,0.007182891025106203,1.2206810524661222e-05,1.6599111519721095e-05,8.429637109773311e-06,3.908736846942573e-06,7.433134327293363e-06,2.301449030813338e-05,3.6430735256705476e-06,8.600389561622314e-06,5.974762931711962e-06,8.304344655893142e-06,0.00016571339904429856,3.848297125312537e-06,2.6766488251254493e-06,3.566611851016819e-06,2.9404429523739432e-06,3.0429178332014447e-06,2.8231908473239976e-06,8.587342892857806e-05,3.4836144283037676e-05,1.1038922911441362e-05,3.0135681260597257e-05,5.266613863805672e-06,2.35134977350113e-06,3.190944877197897e-06,5.037880207839648e-06,2.6233783023018512e-06,3.6469727165486682e-06,5.480425594089294e-06,3.332140833657884e-06,3.75848819267123e-06,5.821000700379957e-06,2.3604631523657515e-05,7.753678663687641e-06,0.0005219532617379566,0.0009823950123895393,0.00528742864346863
Animal feed ingredients and pet foods,0.0,1.0000000098812944,1.000000009878434,0.0,1.000000009881297,0.0,1.0000000098812858,1.0000000098812973,1.000000009881297,0.0,0.0,0.0,1.000000009881297,1.000000009881296,1.0000000098812964,1.0000000098812964,1.0000000098812842,1.000000009881297,1.0000000098812967,0.0,1.0000000098812971,1.0000000098812964,1.0000000098812947,1.0000000098812931,1.000000009881297,1.0000000098812958,0.0,1.000000009881296,1.0000000098812964,0.0,1.0000000098812967,1.0000000098812962,1.0000000098812967,1.000000009881296,1.0000000098812942,0.0,0.0,1.0000000098812971,0.0,1.000000009881297,1.0000000098812973,1.0000000098812953,1.0000000098812907,1.0000000098812942,1.000000009880917,1.000000009881296,1.0000000098812967,1.000000009881297,1.000000009881253,1.0000000098812976,1.000000009881297,1.0000000098812967,0.0,0.0,0.0,1.000000009881297,1.0000000098812967,1.0000000098812962,1.0000000098811825,1.000000009881297,1.0000000098812967,1.0000000098812964,1.0000000098812967,1.0000000098812951,1.000000009881296,1.0000000098812885,0.0,1.0000000098812971,1.0000000098812962,1.0000000098812902,1.0000000098812962,1.0000000098812962,0.0,1.0000000098812971,0.0,1.0000000098812962,1.000000009881297,1.0000000098812971,0.0,1.0000000098812962,1.0000000098812964,1.0000000098812876,0.0,1.0000000098812971,1.0000000098812964,1.000000009881297,1.0000000098812962,1.0000000098812962,1.0000000098812971,0.0,1.0000000098812964,0.0,1.0000000098812962,1.0000000098812967,0.0,1.0000000098812962,1.000000009881297,1.000000009881297,1.0000000098812964,1.0000000098812962,1.0000000098812942,0.0,1.0000000098812971,1.0000000098812964,1.0000000098812962,1.0000000098812962,1.0000000098812964,1.0000000098812962,1.0000000098812967,1.0000000098812964,1.0000000098812967,1.0000000098812962,1.000000009881231,1.0000000098812964,1.0000000098812958,0.0,1.000000009881297,1.0000000098812962,1.0000000098812882,1.0000000098812967,1.0000000098812956,1.0000000098812964,1.0000000098812967,1.0000000098812967,0.0,1.0000000098812962,1.00000000988103,1.0000000098812962,1.000000009881297,1.0000000098812964,1.0000000098812962,1.0000000098812964,1.0000000098812967,1.0000000098812931,1.0000000098812958,1.000000009881297,0.0,1.0000000098812967,1.000000009881296,1.0000000098812964,1.0000000098812962,1.0000000098812967,1.0000000098812964,0.0,1.0000000098810702,1.0000000098812967,0.0,1.0000000098812623,1.000000009880974,1.0000000098812958,1.0000000098514759,1.0000000098812973,1.0000000098812938,0.0,1.0000000098812847,1.000000009881296,1.0000000098812962,1.0000000098812964,1.0000000098812964,1.0000000098812543,0.0,1.0000000098812962,1.0000000098812896,1.0000000098812947,1.0000000098812964,0.0,1.0000000098812958,1.000000009881296,0.0,1.0000000098812967,1.0000000098812967,1.0000000098812956,1.0000000098812964,1.0000000098812956,1.0000000098812971,1.0000000098812973,1.0000000098812927,1.0000000098812962,1.000000009881297,1.000000009881059,1.000000009881276,1.0000000098812967,1.0000000098812967,1.0000000098812936,0.0,0.0,0.0,1.0000000098812964,1.0000000098812967,0.0,1.0000000098812853,0.0,1.0000000098812967,1.0000000098812685,1.000000009881297,1.000000009881297,1.000000009881297,1.000000009881297,1.0000000098812958,1.0000000098810515,0.0,1.0000000098812496,1.000000009881296,0.0,1.0000000098812918,1.0000000098812765,1.000000009881296,1.000000009881296,0.0,1.0000000098812967,1.0000000098812962,1.0000000098812967,1.000000009881297,1.000000009881296,1.0000000098812964,0.0,1.0000000098812964,1.0000000098812394,1.0000000098812685,1.0000000098812967,0.0,1.0000000098812958,1.000000009881297,1.0000000098812967,0.0,1.000000009881297,1.0000000098812964,0.0,1.0000000098812962,1.0000000098812953,0.0,1.0000000098812967,1.0000000098812967,1.00000000988103,1.000000009880406,1.0000000098804904
Articles of concrete cement and plaster,7.368296325108305e-06,7.063823756109338e-05,0.0002805470517822273,1.7481582534851361e-06,6.302801805946468e-06,5.572082545552163e-07,0.0001275519996877978,1.6689896085850262e-05,8.837609661068388e-07,3.944044546183115e-05,1.3266982716138417e-06,4.082053672097865e-07,5.7152969492185175e-06,2.789392540099244e-06,1.4427028672424677e-07,1.8832273155959242e-06,0.0010770369608051472,2.5956510150374065e-06,0.0002786157039423971,2.0415246094670875e-06,0.0010488693257143936,5.342430337089401e-05,1.764046408321201e-07,6.0098119884214677e-05,2.8857859798470453e-06,2.590127613887196e-07,2.7836267365319144e-07,1.731922908885148e-05,7.184688596490286e-06,2.3903634374669484e-06,3.1541195725520496e-05,6.999623129032238e-05,6.005405447617463e-06,4.846182298026736e-05,9.015406623904816e-05,2.8502006085169628e-06,2.1634496104591252e-05,1.3266982716138417e-06,2.789392540099244e-06,6.504042546071093e-06,2.1412805058227376e-05,4.858576937718438e-05,7.976827780540298e-05,0.0014943194465862632,0.04637235298709026,0.000306250551678138,2.6855272341130465e-05,6.99722138443068e-07,4.501538203123011e-05,0.00011544090747169602,4.440254036521667e-06,5.8843971778832e-06,3.3089438196014633e-06,2.0073702693572406e-05,3.8294381909158205e-06,6.611477223211472e-07,2.0627163339698915e-07,9.438114641606847e-07,5.228734247799184e-05,7.1887669318696395e-06,4.082053672097865e-07,2.8502006085169628e-06,4.8462832748022585e-06,1.4656427841195148e-06,2.1884661620456503e-05,4.2872263261669814e-05,0.0,5.47617752713801e-07,5.003057149419362e-07,4.014673461441341e-05,2.4634423402178487e-07,3.2974212800588606e-05,3.6574092197162034e-05,2.84564498555328e-07,3.9171216177232516e-05,9.617840517778766e-07,4.5930553356886756e-05,9.139362120933397e-05,1.2013294166041378e-05,3.6574092197162034e-05,2.8687574687103396e-07,0.00027180086724111285,5.971386831428805e-06,4.131671125479126e-05,3.270590859820144e-05,1.3368558775977056e-06,2.797148995389532e-05,4.1772023868132077e-07,1.0412250012409505e-05,4.214360206920004e-07,5.01104928482677e-06,4.9509743294484735e-05,1.73980926031525e-05,4.637584248251422e-05,0.0,6.129687685258605e-06,1.4358601142478982e-07,1.1307464260663811e-05,1.5411578822736752e-07,6.0584265903054235e-05,9.016050668436218e-05,0.0,2.6866402024747295e-06,4.0323161664960986e-05,1.3728648918599788e-05,2.8748949633698877e-06,1.3302363322931257e-05,3.7403787588060494e-07,8.281588235296221e-06,5.829766643113301e-05,0.00012951830548161853,1.034239156856111e-06,0.011598591639764505,8.797060106232879e-07,4.4468228402486406e-05,3.2481588027764356e-05,3.404886039134406e-06,4.4669980028339496e-05,5.7377190345335715e-05,4.162635628077812e-05,1.6400143268054577e-05,4.202145854797472e-05,1.0868507032260256e-05,6.5207426048903155e-06,0.0,5.2208576731352005e-05,0.04174643570984958,9.884759835032402e-07,5.886748067968586e-07,1.265151296491813e-06,4.695800524016593e-05,4.4433643164260286e-07,6.22509694706097e-07,7.33470068401712e-05,0.0001198886501609057,8.069217537571128e-08,5.244138165562862e-05,9.397019437152106e-07,7.606384475649911e-06,2.487355024036026e-07,7.501900178513165e-05,1.3247215351602774e-06,4.503547935635445e-05,4.8392069040834946e-05,0.01901891618848866,0.00011103508768810473,1.6332707189193615e-06,0.0004509129850349065,0.03339854039173777,5.0417437243748195e-05,0.04141964208969295,1.1871407944478564e-05,2.6397649711314247e-05,2.4184735466337812e-05,0.0008005182350037738,5.046244983366109e-06,2.5561280647295352e-05,8.274177230532955e-07,2.969808714903155e-06,7.974075673768023e-05,5.69741810990055e-06,2.5561280647295352e-05,0.00011534563110380465,4.966968651157118e-05,1.2983218040458157e-05,2.5561280647295352e-05,1.8382217358635608e-05,4.9108810591197685e-05,7.536189955228588e-05,3.987700676945939e-05,1.4034628174367094e-07,4.8492749903683336e-05,1.9463115342757153e-07,4.394277845083563e-05,1.2013294166041381e-05,1.730931140166839e-05,8.851182620523959e-07,7.104269681649397e-08,2.3330392668291134e-05,0.001552344470516704,5.9125542325757125e-05,7.020492595422373e-05,3.0941201888665652e-06,1.7862632184957486e-05,0.0,0.008538284390577673,4.312596423426175e-05,0.002673779009150736,8.040440414592385e-06,4.615548249216128e-07,0.0003966546174189817,5.274525162667025e-07,1.1777812775578728e-06,0.0024318364027721457,1.8779789888091144e-05,2.2528669467451244e-05,2.0941967743190643e-06,5.65618426796182e-07,2.2105274724798972e-07,0.0399533805411842,3.658472264562093e-06,0.0016808800977177064,2.6484694717848274e-05,2.4641865362774235e-06,2.0085317154058602e-05,4.125175019760636e-05,4.030714273219624e-05,9.05639800073977e-06,3.82115539467634e-05,2.5169709955736333e-06,4.7372117694315136e-05,3.750614340772856e-05,1.639843002433217e-05,2.9391331099487846e-06,3.3265344881588105e-07,3.2985221728601175e-05,0.00010196685275718426,0.00015986176951817517,0.0025379113248446567,3.4650044657950867e-07,0.0,2.0326463058304945e-05,1.7414388221549562e-06,1.5877766198290138e-07,0.0,4.31640663100375e-06,3.338812567067515e-05,2.311329574584464e-06,4.900555471333748e-05,3.776096919250718e-05,1.0490438051900315e-05,3.82115539467634e-05,6.425516531632918e-05,0.04191804779568772,0.07323883880673936,0.32247040193955684
