,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.0235974588181225e-08,2.4181345134702866e-08,2.4660673610423733e-08,2.0966289261704388e-08,2.636089628689553e-08,2.805977111390728e-08,2.485756319586609e-08,2.1516787091758843e-08,2.4064679848931523e-08,3.331740107305562e-08,2.6898643376354583e-08,2.4913166915836265e-08,2.053201968630436e-08,2.3822315994208867e-08,2.4732701905872033e-08,2.311759053447588e-08,2.460232716583924e-08,2.5284409108511807e-08,3.2149848609986765e-08,2.495139822597093e-08,2.4296239291046266e-08,2.4498586890200926e-08,1.9973993106115568e-08,2.4496614718506865e-08,2.1318778062613906e-08,3.8665026372148145e-08,2.6303931878071903e-08,3.010191111507294e-08,2.2379027008894538e-08,2.0051884475594146e-08,7.353718837372803e-08,1.4044001930561674e-08,2.029286977336547e-08,2.4506029421182273e-08,2.4521750739672943e-08,0.0,2.5068231280619948e-08,2.4607839818596095e-08,2.2994235338802147e-08,2.3822315994208867e-08,2.6282422290495685e-08,3.052364766553736e-08,2.446363903031245e-08,2.461878660322708e-08,2.443977686388216e-08,2.391999617830587e-08,2.445929586158347e-08,3.4179698897701474e-08,1.3813048716451302e-08,2.4577007632847446e-08,2.592440283159693e-08,2.3338628513595405e-08,2.5066014893614815e-08,1.9824559169465113e-08,2.383396825447455e-08,2.011741387814445e-08,2.266972137797979e-08,2.5943963472007524e-08,2.4980645388873322e-08,2.443550217424574e-08,2.2704175005019086e-08,2.6134438506897138e-08,2.2028502617917392e-08,2.4803875860054224e-08,6.646539935253477e-09,2.491981114288468e-08,2.467790044058541e-08,2.4980645388873316e-08,2.895421871913947e-08,2.4589014147234027e-08,2.451203203029024e-08,2.5921878307852738e-08,2.656937062320188e-08,2.4400728620976275e-08,2.6270508743476578e-08,2.5757347807850492e-08,2.4537468791256867e-08,2.4626580500858405e-08,2.4274040117081287e-08,2.4400728620976275e-08,2.1747732602302108e-08,2.4104795646636202e-08,2.5911487773031036e-08,2.456554347540447e-08,2.4100077730884202e-08,2.361437412750461e-08,2.43825782389467e-08,2.198347864666419e-08,2.110936596505135e-08,2.6040051419321318e-08,2.3616011118423923e-08,2.4771949752616542e-08,1.945516630719424e-08,2.4519534345698578e-08,0.0,2.353286241180121e-08,3.6251906117593084e-08,2.1639149081514345e-08,2.3922299817622852e-08,2.470580668756095e-08,2.4518668047373057e-08,2.6162723410590438e-08,2.450204759067083e-08,2.4335605355245092e-08,2.2872694171589818e-08,3.13940736207104e-08,3.025988942497028e-08,2.5611449535406473e-08,2.165236212266757e-08,2.7930534145102853e-08,2.4029153846421398e-08,2.3230335450589878e-08,2.3508408492720262e-08,2.356944424479942e-08,2.4444826112377766e-08,2.432432971485731e-08,2.0041620713912574e-08,2.4507718028530743e-08,2.5142361562787226e-08,2.456693867979943e-08,2.415035820419573e-08,2.4037535257014493e-08,2.388021688540049e-08,2.1993879154325372e-08,0.0,2.5041695154522377e-08,2.5312733901175426e-08,2.5985831526987058e-08,2.4896393045386894e-08,2.502488087532694e-08,2.4017885849503895e-08,1.8636484695212738e-08,2.5770573593209442e-08,2.5691372886969913e-08,2.4434065631657258e-08,2.5082760113347534e-08,2.0445376154695893e-08,6.070598585869302e-08,2.4765468536886977e-08,2.463380026649997e-08,2.4596548695273905e-08,3.139189801030963e-08,2.4396976072362424e-08,2.45089423425887e-08,2.461838546804239e-08,2.5357955268876418e-08,1.9779399652195354e-08,2.9192962747678275e-08,2.46329116586971e-08,2.465952294864727e-08,2.503772726836932e-08,2.589248715973614e-08,2.463536328241332e-08,4.484090597051936e-08,2.4724906564270345e-08,2.345931667092814e-08,4.353602560796861e-08,2.49077641912912e-08,2.4713069595795686e-08,2.4481199031103344e-08,2.394382347759519e-08,4.484090597051936e-08,2.5148229267026367e-08,2.451609634868996e-08,2.3357297388680722e-08,4.4300537589119067e-08,2.8244619229228136e-08,2.479213843482709e-08,2.4105268539613776e-08,2.4631478643435063e-08,2.4116452053540573e-08,2.486364917365888e-08,2.6581052194816193e-08,5.91295653339871e-06,2.4274040117081294e-08,2.9541786650977436e-08,2.3968466151220742e-08,2.9569509565743012e-08,2.8087398740252483e-08,2.436177404646209e-08,2.803069370144863e-08,2.3382961085466444e-08,2.5197843078872675e-08,2.6162723410590438e-08,0.0,2.4859128524775043e-08,2.1286616827783012e-08,2.4120996885144153e-08,2.3011532940711298e-08,2.5978861219333586e-08,2.412078693154271e-08,2.543942407888467e-08,4.0150162497740784e-08,2.4129331635798806e-08,2.640631005617141e-08,2.1799598660213615e-08,2.5143656897390045e-08,1.542362425495885e-07,2.4675507290750432e-08,2.521582355153858e-08,1.9910559338060594e-08,2.4370205359264073e-08,2.066323798881536e-08,1.967676687660637e-08,2.24414667256181e-08,2.5915738074718068e-08,2.474779566847243e-08,2.4996372551945532e-08,3.070556541123659e-08,1.7122523343706016e-08,2.4543164847854648e-08,2.5446778472474503e-08,1.974685037402094e-08,2.5246909522542995e-08,1.482271630583483e-08,2.5840636299350843e-08,2.4501504344039442e-08,2.0716368330161597e-08,2.4558343671221142e-08,1.9228473703419954e-08,2.4907764191291206e-08,0.0015678769777882353,1.962760709523309e-08,1.3540620794357532e-08,2.4907764191291196e-08,2.235893726526297e-08,1.9257681068798323e-08,1.991826804217675e-08,2.4527665998166874e-08,2.5494750512895262e-08,3.202689910735753e-08,3.070556541123659e-08,2.4581690450501165e-08,2.5419562680102352e-08,2.4768202336060132e-08,2.5160050114456122e-08
Agricultural and forestry machinery,1.4172322718323912e-06,1.0129932439051278e-06,5.6911830487714756e-05,1.4443416820456032e-07,2.3502900608656333e-07,5.818099320184433e-07,3.658321471686117e-06,7.0659461583622424e-06,3.5279438715957275e-07,5.885081349466973e-07,1.725219219601439e-07,1.9720520149756064e-07,2.1849258889099339e-07,1.7230266605838504e-07,2.2316205208610717e-07,4.923292015942602e-07,2.24668088675711e-06,2.2652387095278575e-07,4.76252092507198e-07,1.9959942909038255e-07,3.6813944751025224e-07,3.9289896714079894e-07,2.849417034972093e-07,9.160029997468833e-06,1.5304679624203586e-07,3.249919390325994e-06,2.3314832810563053e-07,3.4435314373546405e-07,1.3398736781613379e-06,1.456784359271645e-07,5.901127327661151e-06,9.312330719595061e-06,1.697491197854295e-06,4.4862680974359655e-07,5.057880170709298e-07,0.0,1.0880262918841264e-06,3.4646009324199113e-07,1.944818558041079e-07,1.7230266605838504e-07,2.387402114746342e-07,2.1130578969301723e-05,2.9178425321816875e-07,7.947760350129629e-07,1.0204303192676626e-06,1.0087424171539603e-06,1.3863378336649049e-06,2.8235183843312715e-07,0.00026754084801080803,5.604268573264489e-07,4.6168916671935236e-07,5.419993250927582e-06,2.733228409412431e-06,3.197233719959905e-06,1.7230266605838507e-07,2.2432776995633983e-06,5.020889260369522e-07,2.7340468984370476e-07,1.859526597059768e-07,6.239833694571995e-07,0.00011868463229644206,3.696078972710108e-07,6.11374519595249e-06,5.134136513201336e-06,7.166809056029695e-06,2.3410052683841893e-06,2.045517735791552e-07,0.0,6.871731470394487e-07,5.754615404443792e-07,1.0828088493717647e-06,1.9043145552609654e-06,4.14411614345579e-07,2.9814997514541403e-07,1.9720520149756067e-07,3.5233544215298614e-07,3.183841501268814e-07,8.501050696183777e-07,6.710203036207854e-07,3.060494401565908e-07,3.265023307024385e-07,4.98724656646174e-06,6.550388687532615e-07,5.729479296581549e-07,4.3066083385052836e-07,3.885763888638407e-07,5.242363075406076e-07,8.292508390187005e-07,5.621136279624994e-06,3.424447112509788e-07,1.0847148608853575e-05,5.317162848712586e-07,2.3715064971538877e-05,3.0729859551989907e-07,0.0,3.183406132464264e-05,2.368512572163713e-07,7.543662236136e-07,3.2934296327771305e-07,5.367230053752254e-07,5.361201098518423e-07,1.4443416820456032e-07,3.284295360750929e-07,3.07673451750126e-07,2.3724238045973438e-05,5.052503715486911e-07,3.535655358574895e-07,7.708518592381778e-08,1.3737539780218424e-06,0.0019280915003850954,2.8310639142445926e-07,3.591588761731886e-07,9.560693815388928e-07,3.150895125714701e-07,1.249276848527349e-06,3.5869222571966213e-07,1.974680603349154e-07,3.6246340235156434e-07,2.352593178275082e-06,9.618677036744368e-07,4.3810765380267285e-05,3.7152746717543727e-07,4.895049990907318e-07,1.6946809504026987e-07,0.0,4.897897600189781e-07,6.891801223517351e-07,3.991317602053834e-07,2.0315867993062951e-07,8.778225097137289e-07,2.2053678554252481e-07,1.1366203658031515e-06,3.281675688427207e-07,1.0123220984439252e-06,7.956119751554856e-07,2.3488844132854084e-06,2.540241089364722e-07,3.751959282921855e-07,6.921442108125178e-07,2.2387025213594563e-07,7.58371655278435e-07,4.25095438981477e-07,3.238581631464693e-07,3.632355826969714e-07,1.2976981349664643e-06,5.643101418440767e-07,1.4443416820456032e-07,5.439763710928181e-05,1.7387622650290653e-06,4.4599205891253786e-07,9.76468602353172e-07,3.2276936393666665e-07,2.8932892151619783e-07,1.899379829330796e-07,5.490867929621398e-07,5.2525701588230906e-06,2.3588047032728075e-07,1.9640035402441305e-07,5.256454274077551e-07,4.405356163285073e-07,1.7901720987816454e-07,2.8097576720786857e-07,3.936792233579961e-07,2.1290387730134668e-06,2.5339377682703165e-05,9.022893979904157e-06,2.8986771883115897e-06,7.443770972414237e-07,2.604038675285215e-07,2.4039830372906213e-05,1.6763413316535341e-07,2.9178425321816875e-07,3.9435240175649286e-07,5.190119388888257e-05,6.710203036207854e-07,2.613475453565537e-07,1.9746071108471294e-06,2.8294143453173386e-07,4.722244660245537e-07,1.234271650238056e-06,4.9725060586458465e-06,1.32057543568936e-06,4.122858269083091e-06,6.843702734726622e-07,0.0,3.8332871587971664e-07,3.3471286036537646e-07,1.0592027590430578e-06,6.826436213788934e-06,2.395113648462405e-07,6.246163880019323e-07,1.9700822629660903e-07,3.164274740199697e-07,4.3321236802691205e-07,2.0485893756329423e-07,1.994655046566534e-06,3.5604033785232855e-07,2.1551010136601252e-07,1.5326551773205828e-06,7.741277656619546e-07,1.4625571461124293e-07,4.777796898108734e-06,8.483088103764139e-06,1.6291693667361717e-07,5.546645931982799e-07,9.40705173959513e-07,1.4022459370165446e-06,3.7174712709221487e-07,2.265238709527858e-07,2.5538432480749304e-07,4.058856178953986e-07,5.572238430875424e-07,6.81136265957739e-06,4.800987685654273e-06,4.551523832491472e-07,4.0353929881139326e-07,3.632588674416498e-07,6.151788948490389e-07,3.857702155235575e-06,2.4020124105670605e-07,1.973821190161904e-07,0.0060965776602469905,1.4443416820456032e-07,4.2874088355079666e-07,0.0,4.855508629229742e-07,2.148793431779622e-06,1.8227715884178399e-06,5.479454955229833e-07,2.392658405093954e-07,1.9662042114362859e-07,3.6587724110463963e-07,1.0010996254155635e-06,8.65005625839437e-07,1.0335727505187691e-06,2.4741366686306006e-06
Aircraft and spacecraft,9.185189166000632e-08,9.524366752971605e-08,6.831322010350334e-08,1.004639694623643e-07,4.736832326832211e-08,7.480495986800087e-08,7.732726311625858e-08,8.697531203363581e-08,5.858354856494254e-08,8.094547679528395e-08,9.048686232148561e-08,1.1819320578132182e-07,7.933882790986311e-08,2.2501766379774831e-07,9.621233962591981e-08,9.824483021762956e-08,8.12067594750109e-08,6.751456120565918e-08,7.111161011311012e-08,9.654929644089088e-08,9.318952071803877e-08,7.06137154189933e-08,7.880576902360029e-08,7.621762949796096e-08,9.701881625132684e-08,7.58424736396921e-08,3.9607141821888695e-08,8.655856885349063e-08,8.189432254669332e-08,7.723453308599134e-08,1.2970340557265417e-07,1.0125267642511466e-07,1.0251791539189913e-07,7.89076364750857e-08,4.150304202117564e-08,0.0,5.998411488302967e-08,8.869495490499548e-08,1.0592912173369021e-07,1.8115648029464507e-07,7.711765772722993e-08,1.3840305524977907e-07,6.745567558969504e-08,4.908023380796777e-08,6.7253865462538e-08,7.736834600998434e-08,6.306053021441112e-08,1.5177728361234094e-07,0.0008785746615586067,8.214040248261426e-08,7.055997533710854e-08,2.087598083945307e-06,6.746988923944245e-08,9.574866651683352e-08,2.2501766379774845e-07,9.279307051123548e-08,7.867394379340143e-08,1.213028300480106e-07,7.771843758150759e-08,7.883907579124232e-08,8.169797185437076e-08,1.0409972183914779e-07,9.525830566715703e-07,7.095859600631729e-08,2.08488558423185e-06,1.1356203990532691e-07,7.656223090529233e-08,0.0,8.447633633328962e-08,7.849941175760431e-08,1.7868222168994615e-07,5.4618467415410434e-08,5.531658388757262e-08,8.196566884801531e-08,3.96071418218887e-08,7.799902374443358e-08,1.4458486830000644e-07,6.031542333067874e-08,1.066113089794993e-07,8.193868860441937e-08,8.304922849100787e-08,7.762322349887541e-08,7.932621507083278e-08,7.262334717769289e-08,8.192733012978543e-08,5.1239396114222135e-08,7.712765333956534e-08,6.474667235038823e-08,1.0590912569238464e-07,7.997958841413785e-08,4.1699777683354725e-07,9.431129696808799e-08,8.277441839057272e-08,8.400354846674222e-07,0.0,1.123738655093787e-07,5.936979672513296e-08,7.83680797412009e-08,9.102276404971774e-08,8.766814336024015e-08,8.630089190336352e-08,7.421782854320592e-08,5.674472528194837e-08,1.4589678456191825e-07,7.933592427073553e-08,8.044006454646426e-08,1.2206332839313438e-07,2.5990842243974047e-08,7.971249294081207e-08,1.225953092024997e-07,7.822117783147902e-08,8.380806028434067e-08,7.691224849232552e-08,6.963822180550017e-08,8.865563007222698e-08,1.887369675840135e-07,7.774877847897101e-08,7.887625385710894e-08,7.768138445837963e-08,8.55227057637678e-08,2.627079190798903e-07,7.506714860943167e-08,7.591992226990623e-08,8.175182042223469e-08,0.0,8.800312593349921e-08,7.798463860684687e-08,7.753944849359392e-08,7.841173260293306e-08,1.0154707876898128e-07,1.0141511128375073e-07,4.31247347760143e-08,1.1193973221233842e-07,4.243582997924302e-08,1.2100300541880804e-07,1.3235972738433908e-06,7.737313188912422e-08,7.986122936515879e-08,1.6675755470440386e-07,7.784951480952014e-08,4.718809859146695e-08,8.70542185617722e-08,8.663806835650686e-08,0.0,6.094156404525183e-08,7.087451789637308e-08,8.58935781964716e-08,6.877267620294974e-08,9.054435753452046e-08,7.071095280069239e-08,8.860764815926246e-08,4.253855146732736e-08,4.3444710889583346e-08,0.0,7.78019792199286e-08,8.991545305102919e-08,7.748125271746114e-08,1.0673181011658125e-07,7.967329816764689e-08,6.95393446267785e-08,2.2501766379774837e-07,7.964042651974468e-08,1.0505534238617126e-07,9.617288495626947e-08,5.463510969031713e-08,3.96071418218887e-08,1.6027344148573822e-07,8.968328136823408e-08,8.092118752889616e-08,1.141699286410714e-07,8.80924585340591e-08,9.433313395947054e-08,5.1239396114222135e-08,7.854094073886797e-08,1.0661130897949928e-07,7.741922854463467e-08,7.842284335485765e-08,5.921219537131384e-08,9.433313395947054e-08,7.995692664626156e-08,9.521680511017058e-08,7.717986666993532e-08,7.562037379783255e-08,7.421782854320592e-08,0.0,7.822083110920256e-08,2.036104397799247e-07,6.517032690609364e-08,7.987061856780603e-06,7.425670244714245e-08,6.715330009463122e-08,9.467015359115635e-08,8.339639780623739e-08,8.737828356261864e-08,6.77559254000319e-08,9.850088120129911e-08,7.941098661853677e-08,7.823276039136821e-08,1.284456809893064e-07,7.926356787986687e-08,7.126421941989293e-08,7.523586926956833e-08,8.435634991838715e-08,9.356709822836772e-08,9.609776945564363e-08,5.926399342720959e-08,7.285995909739573e-08,8.933198483181459e-08,6.283505744494368e-08,8.970515270439234e-08,9.364924198523656e-08,1.6099908405455698e-07,8.307901802097538e-08,4.6055648500631815e-08,6.441505411093259e-08,7.822117783147904e-08,8.297513371640292e-08,7.711406803321021e-08,8.548021411299973e-08,2.287516066687274e-08,1.0652590601978849e-07,7.938979209588583e-08,7.748125271746114e-08,7.723610859733313e-08,8.193868860441935e-08,7.967960527290579e-08,7.806582050352205e-08,6.670830097654739e-08,7.21664234439987e-08,2.1122327138333055e-07,1.971016512513122e-07,7.88744422221964e-08,7.441670400771509e-08,7.821988402065904e-08,8.560217263455618e-08,8.805425909783532e-08
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.00010813667206437843,5.4081882333499916e-05,5.273627149628121e-06,1.2953938862872936e-06,1.1482343459079272e-06,3.719327494623243e-08,0.0001148631261984097,3.046656418303019e-05,1.1636877712758824e-07,6.372541739080872e-06,4.3905709781561763e-07,4.380087121646073e-08,3.37608120580387e-05,5.275953205364963e-07,2.8179670459011206e-08,2.817330299804506e-07,1.0651964078936422e-05,1.8125279062866719e-07,1.4926852054088276e-05,2.243738021498301e-06,8.050268663620894e-06,9.853074294602353e-06,3.467503119934779e-08,0.01970306804344262,1.1992918183424851e-06,3.437330482320573e-08,1.279992259637727e-07,1.934829145457706e-06,6.655540790512782e-05,2.3125125506998897e-06,0.001499645610849168,0.00012579191687590703,0.0004478226159619145,5.137987800456089e-06,9.405888369179858e-05,2.5792135874668765e-05,3.914829960490778e-05,2.901784560269706e-06,4.3905709781561763e-07,5.275953205364963e-07,1.704441021050947e-07,0.00032829592407529506,4.8594954039584425e-06,4.891197359458229e-06,8.925856516364868e-06,3.973905411478821e-05,2.1625023614681117e-05,7.047867155996583e-06,0.004373150917422743,4.673152212561198e-05,3.2592109772536567e-06,4.334533037241372e-05,2.3970926263790416e-05,0.001847496394081581,2.714301458667046e-06,1.9330400781299436e-06,7.58230343402044e-07,2.9029918545021685e-08,5.618210918977771e-08,2.054373521504496e-05,0.000377332987267362,4.380087121646073e-08,2.5792135874668765e-05,1.4388822845142189e-06,0.0007208301679797514,7.851340368395891e-05,6.548816310946623e-05,0.0,3.5836287136513176e-08,1.311927871525777e-07,1.857200706104471e-05,1.813206673968625e-08,6.53282782933765e-06,2.9269855423202424e-06,1.3819585583214947e-07,7.074047173138776e-08,4.605080335550311e-06,1.0988389345229379e-05,0.00036025788553585976,2.9269855423202424e-06,3.1305013946677694e-08,1.472238787608414e-05,4.723376423967489e-07,1.6629451280757395e-05,1.4851091630766487e-05,1.3631723470899725e-07,1.1207997616271006e-05,1.7265255984134776e-07,0.00014377737435239033,4.595972202382751e-08,4.546087371283258e-05,5.103793761921684e-06,0.000779386603393655,5.2809890753917225e-06,0.0,0.00014720547309289916,1.4872942749273417e-08,8.631277748826082e-06,1.251137076468743e-08,4.888407613911849e-06,9.40702043701911e-05,0.0,2.765064538623638e-07,8.57739593624849e-06,1.675347124728319e-05,4.479495349707546e-07,3.7678046282120776e-05,2.9312705558229587e-08,0.0004163390316246314,0.04731505876790612,7.78963432456641e-06,1.1180599590735768e-07,3.325811318956208e-05,9.913406152504928e-08,5.878577239393352e-06,6.55728053006788e-06,2.0472419467276025e-05,4.9644087782031385e-06,0.0003271734724976845,6.2796148172770745e-06,0.00023791618567716967,6.923687828910378e-05,1.3697102330983769e-05,0.00013297509705969645,0.0,2.7341689486646472e-05,4.094177621901475e-05,1.0598174430910932e-07,4.567902642553057e-08,1.3064306166602544e-07,5.5426110368510605e-06,1.03968567772085e-06,1.1032496457344843e-07,2.7652096247443513e-05,1.173616297564192e-05,6.186573802745531e-08,4.1565902815158015e-06,1.0965709378298814e-07,9.276066512797508e-07,2.95314446542746e-07,6.7689963096611016e-06,2.046339056439771e-07,4.485963608568635e-06,5.0203492483728545e-06,1.3231710146348463e-05,3.3119259244395335e-06,8.129233786493534e-07,3.9839725393745934e-05,3.558192908135096e-05,5.044329557329735e-06,3.9630804682666974e-05,1.4833326831380576e-06,8.744911609881318e-06,6.758046947267312e-06,3.573907129906047e-05,7.479568142901355e-05,7.15890512427963e-06,9.516920991370168e-08,6.690890114011719e-08,7.234444230481147e-05,1.1061433966055324e-06,7.15890512427963e-06,0.00012845479074988431,1.7945901972100292e-05,0.0009021355313326864,7.158905124279633e-06,0.02992051138701818,6.194448674510111e-06,5.797970129753822e-06,1.123246941522825e-05,2.5846921408051956e-08,4.85149560621282e-06,2.6400994209440424e-08,7.913745632887285e-05,0.0003602578855358596,2.7049379109415786e-06,1.6345446064123735e-05,9.757415889403313e-09,2.6874996050530605e-06,1.8807120975891642e-05,0.00045145250915255467,5.9145426508029934e-05,1.3978461227639614e-07,2.036547472534301e-06,0.0,1.1076116393118046e-05,4.842175766399465e-06,4.61642780148045e-05,0.0001472346961091715,5.3098435163127474e-08,7.283467150142903e-05,1.624041482704285e-07,1.2608822890449489e-07,4.776781336552319e-05,1.3120982054033478e-05,0.0004888148627783309,2.5420761407840928e-08,1.055776775860112e-07,3.659864215952486e-08,3.924657538076156e-05,1.00500529013837e-06,4.854519749477837e-05,0.0008408668911225774,1.5885018134921148e-05,9.847798090020878e-06,1.5690131017105965e-05,6.440565025449574e-06,1.0674971103256967e-06,5.709468784346694e-06,4.482558584705951e-07,5.845146688497511e-06,5.51818638058024e-06,0.00027215609664657075,1.434207434890954e-06,1.505830539403242e-08,6.531647831934975e-06,5.683031467631418e-06,1.064947039123462e-06,5.7382391147491865e-05,7.918490152938896e-08,0.0,3.727668575017491e-05,8.685342994278656e-07,3.633499963390471e-08,0.0,6.484505302148062e-05,0.00016706232171469017,1.2220938251661716e-06,5.941877871542476e-06,4.435026332115498e-06,1.5292946648841332e-06,5.709468784346694e-06,0.00023627426759991737,4.081938526113084e-05,3.871715642936276e-05,3.785200163399385e-05
