,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural and forestry machinery,1.0135661712720326e-08,4.035422675257094e-08,0.00020069056986222916,5.943072737997308e-09,2.2634314262172947e-08,1.321142529294061e-06,5.569135274051406e-08,4.488696554910194e-08,1.1081246077391577e-07,2.49779207586241e-08,1.2540791049776795e-08,2.744782155788829e-08,9.905344522536444e-09,1.2524023477842824e-08,1.2840966043792604e-08,5.1379323913789546e-08,8.982175137041608e-08,1.8941825737050628e-08,1.1746762257376501e-07,3.3645132675776044e-08,2.0573472245354986e-07,3.261992799300848e-08,3.794232815995885e-08,2.6525913620808854e-08,7.606780915940642e-09,2.3024271777869546e-08,8.149100953105462e-08,3.228377609529072e-08,1.8604565134333384e-08,6.502938450951117e-09,4.6331342716402874e-08,2.3105924301222106e-08,1.5147715329975038e-08,2.951208431682069e-08,3.26075379849307e-08,0.0,6.239457841260684e-08,6.140038019511865e-08,1.3027058783984965e-08,1.2524023477842824e-08,2.235870401920962e-08,1.2522714190576883e-07,2.5408905286389822e-08,2.139645493153242e-07,6.899004183857093e-08,5.687061692813575e-07,4.216640182250797e-08,2.633470271305524e-08,4.972467667838988e-08,3.236640380455042e-08,7.315319164938501e-07,6.725338202558445e-08,4.626262875379339e-07,1.5078653970769807e-08,1.2524023477842824e-08,1.17575812940618e-08,2.9541619637596532e-08,1.6006104961927892e-08,1.4688433832567204e-08,2.6952064763986074e-08,5.540875281323802e-08,3.1274809518949633e-08,1.600781705518212e-07,1.6613708867619096e-07,5.660059364570583e-08,8.405099620295385e-08,1.9918882482687588e-08,0.0,1.6766727229948208e-06,1.8431772417653235e-08,2.2898283512158543e-08,2.5695264174037045e-08,2.7636220741628787e-08,2.5833765997120753e-08,2.744782155788829e-08,6.32484288677475e-08,2.721249534907759e-08,1.9374471681759614e-08,4.958014970602377e-08,2.047457585815741e-08,2.554123130635047e-08,4.749883038402374e-08,1.1426426862581706e-07,1.5375455125743415e-06,7.665761190080125e-08,9.75995366107909e-08,5.360379516396782e-07,4.8292425097795115e-08,3.842053903642667e-08,2.87342334807854e-08,1.0105168124396233e-07,2.8697611166957306e-08,3.012923989764627e-08,3.624098413799911e-08,0.0,4.029956111878378e-08,1.957566213114149e-08,1.770031732380029e-08,2.587170564327061e-08,3.7689953949702734e-08,3.476619320073788e-08,5.943072737997308e-09,3.0744276185566736e-08,3.043766928016744e-08,3.654514854990414e-08,2.2656729957122304e-08,5.434758433083283e-08,1.2013892262286344e-08,6.018999027316287e-08,3.860256517579092e-08,2.261510545407931e-08,3.0126564732349804e-08,5.068885178035467e-08,3.0310323169813766e-08,3.218285678631505e-08,5.382773029777846e-08,8.154461747932985e-09,5.5429518616602126e-08,3.220121689098751e-08,2.9457953662160664e-08,5.264134787180504e-08,2.820168948081433e-08,4.818215414013079e-08,8.696874997835735e-09,0.0,3.0410118240414424e-08,5.245925234987736e-08,8.994243338777189e-08,2.471260168348564e-08,3.7436989506419915e-08,1.6124772918987728e-08,3.9640638526794855e-07,4.193911616274822e-08,4.3427783257661993e-08,1.698836348061462e-07,4.272474732201043e-08,1.5343191279742294e-08,3.938102159050475e-08,1.3375956435118739e-07,6.006016396125381e-08,3.246118421230936e-08,3.633960669067865e-08,3.133708010427558e-08,2.346520243172267e-08,1.711083908475932e-07,4.3376035496123025e-08,5.943072737997308e-09,3.4303238509953495e-08,3.65834238072464e-08,3.367918881050723e-08,5.232885401369607e-07,3.871236494665937e-08,2.8378211014131374e-08,1.4787118646832994e-08,5.15688148528756e-08,1.0732749786551057e-07,1.9302145490870763e-08,2.311129201796056e-08,2.0098399951672553e-08,3.1838129158024546e-08,1.2902004697782982e-08,2.646976496681371e-08,1.2790342461305212e-07,5.90988906750036e-08,9.61029581771509e-08,2.3213728620753503e-08,2.1611257449709684e-07,3.301381497481368e-08,2.0995860697054223e-08,3.0434685193076756e-08,1.967723748897413e-08,2.5408905286389822e-08,5.743536312210218e-07,3.754524593418099e-08,2.0474575858157398e-08,3.6978623807340367e-08,1.1818322755731836e-07,3.494815614174751e-08,5.3597611646993384e-08,3.177056413483411e-08,6.141374593364717e-08,3.969379348058761e-08,9.903123726855113e-08,3.387349849242206e-08,0.0,3.106556728298621e-08,2.3814891728006792e-08,2.9611992318356878e-08,7.324891268151511e-08,1.728652889098223e-08,2.732132358938441e-08,2.6404791048726398e-08,2.9265881925549792e-08,1.3028558915022105e-08,1.1323927013675612e-07,7.078445810104555e-08,2.195058123594287e-08,1.5950758509260127e-08,1.788752737618851e-08,6.145796605896318e-08,8.209494646144298e-09,4.4112930156668746e-08,6.317772248445623e-08,9.234235303675025e-09,2.9429840308971614e-08,8.598938349204678e-08,3.3003642058641025e-08,2.9421252924647933e-08,1.8941825737050628e-08,2.408493034401923e-08,2.836658845949386e-08,2.921180328301163e-08,5.8839287942828665e-08,8.85705627091696e-08,3.560533580608258e-08,2.715995966618152e-08,2.250133311593285e-08,4.6788129580702144e-08,7.199726836751967e-08,2.351814090711107e-08,1.3197780417694587e-08,3.915431296358932e-08,5.943072737997308e-09,2.635004913981822e-08,0.0,8.885351344657566e-09,6.304989093593501e-08,1.0674073791623819e-08,3.1761881188003875e-08,2.238782245156763e-08,2.3985004306041826e-08,2.99284998083964e-08,3.400348198620504e-08,6.549840917890126e-08,4.748959329371255e-08,5.661980022118954e-08
Aircraft and spacecraft,7.022830660508172e-06,4.6343717438715975e-06,5.999775449993215e-06,4.063583117927911e-06,5.100964926118275e-06,4.530033530738184e-06,4.713666681376627e-06,5.451481827186305e-06,6.076042830756797e-06,5.345498692372809e-06,4.813720585766701e-06,1.797738259738807e-05,4.817720838324301e-06,2.5998514205169644e-06,4.2632728359547935e-06,5.337772790450574e-06,4.898410614868821e-06,6.417477068945964e-06,5.785719863664365e-06,2.2102829884820948e-05,4.685421840408234e-06,6.340833772583378e-06,5.551509380542535e-06,4.997732053991127e-06,4.034464623594884e-06,3.1306299688256373e-06,8.80240813188199e-06,4.049028941461654e-06,3.53067421965312e-06,3.1921193040171173e-06,4.180505273541211e-06,4.463572327171225e-06,3.915760740626012e-06,4.255340085882735e-06,8.55313435243505e-06,0.0,6.829463209395635e-06,6.202806622303373e-06,3.992057323980752e-06,3.502816981559386e-06,4.375753402518967e-06,6.603900958260837e-06,5.482367117243912e-06,7.921966051945878e-06,6.68615765063211e-06,6.3182662318966455e-06,5.833906882134008e-06,3.5024603101369124e-06,6.4594128370525264e-06,4.8565030092743855e-06,5.091262517247026e-06,3.5525434911720906e-06,5.245049697248269e-06,1.6849305691822313e-05,2.5998514205169644e-06,3.8073409116563335e-06,4.1587071640081966e-06,1.8340433268292216e-05,5.6367895703726064e-06,3.6004254544020413e-06,5.48700193561184e-06,4.4368658063086695e-06,3.817524664838688e-06,6.406974545815271e-06,3.7303112700791617e-06,4.51481971539253e-06,4.4579909036621765e-06,0.0,2.0856682002469267e-06,3.6442847854663003e-06,4.521352327018069e-06,7.141247346524523e-06,7.836209703831224e-06,5.526823848774353e-06,8.80240813188199e-06,3.6793039082522827e-06,5.6298946612365425e-06,3.6899709658553244e-06,6.121139543504612e-06,3.359374944691218e-05,5.545403199795289e-06,4.799452547148912e-06,4.3443152781641836e-06,4.446317643860343e-06,5.01537652365752e-06,5.544321114247778e-06,7.716183427591894e-06,3.430935883392389e-06,3.991405450431706e-06,7.111685626751543e-06,6.029633480288722e-06,3.923200516650978e-06,3.5790491295132005e-06,5.348439167323312e-06,0.0,3.7900840621364167e-06,3.344208429929637e-06,3.0926024775266904e-06,4.732375311959988e-06,4.9391198876874465e-06,5.0661331076851146e-06,3.991419736027983e-06,6.4343488325382095e-06,5.420940991115856e-06,4.021441124412964e-06,4.0474670480098735e-06,3.8088777244861217e-06,2.845821479759899e-06,3.067180035385075e-06,3.6793039082522827e-06,4.393203512465236e-06,5.339476534261899e-06,4.373004888649304e-06,4.111303869826671e-06,4.3587169367708185e-06,2.8786461908186988e-06,3.094972912345787e-06,3.346826157206817e-06,5.876219607408667e-06,5.4305460894725094e-06,5.626474444151935e-06,4.729246854629492e-06,1.0248525637271776e-05,3.7720055158795533e-06,0.0,5.1666307201354535e-06,4.231530285955045e-06,4.8051748113936666e-06,6.072630681387652e-06,4.0238099065810515e-06,4.127461029853673e-06,3.374207191347654e-06,4.168886392713775e-06,8.286511983790687e-06,5.470592554301302e-06,4.767589358456073e-06,4.208602310001897e-06,5.472541875504608e-06,3.978692220367151e-06,5.258636622328526e-06,8.002461762376283e-06,3.8120207168194958e-06,3.902050907066263e-06,0.0,3.828797811111214e-06,3.884176095011886e-06,5.2893298140413406e-06,6.400681281232799e-06,2.9355910435799305e-06,5.986608153810889e-06,4.324854585803834e-06,8.513628147334777e-06,8.23144840399092e-06,0.0,4.638832605396121e-06,4.305333394644057e-06,2.9385129384921368e-06,3.364213239307517e-05,4.24720087379876e-06,5.830458948483551e-06,2.5998514205169623e-06,4.707477176763097e-06,7.683639875480107e-06,4.385536397047187e-06,7.743290572860414e-06,8.80240813188199e-06,3.6690514074005167e-06,5.8637506770415395e-06,3.02033358341017e-06,5.126314672632058e-06,3.738744497628525e-06,4.834109172450709e-06,7.716183427591894e-06,3.2420987185104103e-06,3.359374944691218e-05,3.0165008346154814e-06,4.16219065756689e-06,5.556115608929601e-06,4.834109172450709e-06,3.914605479299137e-06,4.330238733576853e-06,4.534286160195219e-06,3.771418401395333e-06,3.991419736027983e-06,0.0,4.48750675862271e-06,6.443944153890931e-06,6.053157132779982e-06,1.0814834205020367e-05,4.006288504243335e-06,3.336471229556348e-06,4.8086732720057715e-06,4.3954306019703015e-06,4.787754141789676e-06,6.4754087770620755e-06,2.2686211031126933e-05,4.056848688375119e-06,4.249101618743362e-06,4.037417608654058e-06,5.767957246608411e-06,1.1604817029611294e-05,5.0523215624634405e-06,4.753577535959147e-06,4.137990559226284e-06,4.631761527906729e-06,7.395992667248289e-06,5.052186169655678e-06,4.642677243019076e-06,8.085853305246596e-06,4.980305565732184e-06,5.2273930651652145e-06,3.4731958255885774e-06,3.210429149967977e-06,8.254222692907242e-06,3.5812089030513835e-06,4.393203512465238e-06,3.6026183693772474e-06,4.446820759330475e-06,4.1448229863579195e-06,1.330892800784907e-06,2.6036351548270125e-05,3.1684409925134367e-06,2.9385129384921368e-06,3.6307564157261783e-06,5.54540319979529e-06,3.160901744732928e-06,3.4142146622784806e-06,6.69170526520188e-06,4.892887838113647e-06,2.8477157944983236e-06,2.9307757027654905e-06,4.320654472891422e-06,5.093097846967168e-06,4.745100602796826e-06,4.0797066203031785e-06,4.613448471690486e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile bodies trailers & semi-trailers,7.307959135594336e-08,1.3051604408145072e-07,0.0013621306460160612,6.00371316231191e-08,1.1990891397714093e-07,4.59654378198151e-06,3.531584268388162e-07,4.9177396611828764e-08,1.2299897981100708e-07,3.6085844863866655e-08,2.959023441800333e-08,1.1670160639695431e-07,8.379270037449705e-08,2.2143176127892398e-08,8.923937344614622e-08,1.0017295463490871e-07,2.1717888120844865e-07,5.306119239466647e-07,4.919060615946877e-07,2.6466745683557284e-07,2.787541248102295e-07,2.306908443014893e-07,1.4619454852542848e-07,3.1127553825502604e-07,4.370231732440955e-08,5.095480028406288e-07,5.067200374646258e-07,1.1510550487692494e-07,6.080908384497003e-08,6.067715170415154e-08,1.3864604404704848e-07,4.7566597740468624e-09,1.2114287451016562e-07,1.9883160221016553e-07,3.104673703264092e-07,0.0,2.8221892035466614e-07,1.4318745758760046e-06,2.6896589046651263e-08,2.2143176127892398e-08,1.4860539472008942e-07,1.3188518099701017e-07,1.2133326444135e-07,1.6791363504425795e-06,1.911519806847112e-06,4.2278438882799736e-06,3.084164858001745e-05,1.2282246371277595e-07,2.076927206773394e-08,1.7489243373508906e-07,1.304109367932166e-06,1.1912632714956002e-07,1.5997177009017065e-06,4.236634776761749e-05,3.404968383917855e-08,6.297723857400785e-08,9.328885841473854e-08,1.1815534565926142e-07,6.90860139432611e-08,9.479133159544415e-07,1.2045986033072693e-07,1.1757217336995648e-07,4.2438623192636387e-07,2.3515256618048732e-06,2.5799753225131047e-08,1.8552591871135673e-07,4.466031341934452e-07,1.2133326444135e-07,4.87974033065889e-06,3.292553600407549e-07,4.593130583742502e-07,4.0899980615774486e-08,2.1114416271954142e-07,1.8235495807639787e-07,1.5050113585167653e-07,3.57909907633487e-08,1.407741350552013e-07,2.1740716613747054e-07,5.33397931823982e-06,1.3708967315976433e-07,1.8235495807639787e-07,1.3728700332807676e-07,5.4840733162777664e-05,2.2829450027131524e-06,2.2002845846852068e-06,2.3366739325467014e-07,1.1380383652008197e-06,1.0334178185196897e-07,1.1420327740211468e-07,1.149019406056237e-07,1.316472844773027e-07,1.2732786650806977e-07,1.2957145203570566e-07,1.33317072810893e-07,0.0,6.899436927405861e-08,1.2577529838465412e-07,7.18812279778775e-08,2.1909701351127262e-07,2.1686133244268566e-07,3.2679766181885965e-07,4.280757690025373e-08,2.3216500693045003e-07,1.0323016123317646e-07,1.3903033373038646e-07,1.1233449695445661e-07,2.1408760054988948e-07,9.77093807959901e-08,1.2288061055988024e-07,1.315763450085653e-07,1.4497605434898575e-07,1.1497298620810633e-07,1.421765109879851e-07,1.1660643794651858e-07,1.9224060192290663e-07,1.2184666138727787e-07,4.53662529275887e-08,1.2287710669990918e-07,1.9347676805597494e-07,1.253387204640008e-07,3.313499225885255e-06,1.333273257049088e-07,4.055611042946501e-07,8.91079842570584e-08,0.0,2.1250036372828083e-07,2.7976852928178645e-07,1.2109971669646066e-07,2.05635034244035e-07,1.3509814047186828e-07,1.291127288038745e-07,4.3373410464952844e-07,2.0340590799280308e-07,2.720077589082074e-07,1.9134973493177316e-07,6.831584937383637e-08,9.794143278619112e-08,1.3120225527886875e-07,2.213207358586007e-07,1.879860418576559e-07,1.3457861391766314e-07,1.65486819677524e-07,1.2519715174835903e-07,1.3917893917934477e-07,4.289745430334847e-06,4.5842284594099367e-07,4.280757690025373e-08,2.088723062321848e-07,1.0718275082715157e-06,1.269876353204293e-07,5.497727844668632e-07,2.0426379350286485e-07,7.259917894167347e-07,2.5738864970209672e-08,6.706327429787257e-07,6.294849933802178e-08,1.2306084886529085e-07,1.972670895695237e-07,5.864040794055966e-07,3.0344184998348917e-07,1.2648512351854153e-07,1.2282246371277595e-07,3.009205212415748e-07,2.2818426899631225e-07,1.242132122300253e-07,0.0,1.4553576556666595e-07,1.3215137358460844e-07,1.1194665134491767e-07,1.4561347685025067e-07,7.207418351955174e-08,1.2820585613521442e-07,1.5434190268192908e-06,1.5822601379238593e-07,1.3708967315976436e-07,1.2517626797282102e-07,1.5315673896294848e-07,1.5636350741414558e-07,1.1553354415893415e-07,1.4710164986004323e-07,1.38238497720467e-07,1.3018811774470703e-07,5.71700430863524e-07,5.965615880591949e-07,0.0,2.2661889846500317e-07,2.1447077303637852e-07,3.589801552055195e-07,5.139705480139354e-08,8.46912545279559e-08,1.1512209815799512e-06,8.836603344731348e-08,1.0764952253453657e-07,3.1666327057055613e-07,8.096241122489215e-07,2.4172240289471725e-07,1.1959419309697851e-07,1.2883820549836068e-07,1.1820409950559811e-07,3.0725892068138635e-07,9.356944984701722e-08,6.561495107247969e-07,3.7206429061888553e-07,1.4789276308277677e-07,1.6953788680392395e-07,6.131948548309443e-07,1.0260658925499778e-07,9.92972507925031e-08,7.809758466490774e-08,1.1770759228409079e-07,3.7792550631320643e-08,1.1952576147498973e-07,1.3979086783106868e-07,1.730003539855582e-07,5.939874812701828e-08,5.3405483987622575e-08,1.3648965918715104e-07,1.5170795182883003e-07,3.247619635949273e-07,1.5260066365375414e-07,0.0,1.0046964888075839e-07,4.280757690025373e-08,2.246295886241057e-08,0.0,6.574217239723118e-08,2.2207764891856785e-07,1.0818454969656676e-07,5.17013211313957e-07,9.578108807369994e-08,1.3067012396943258e-07,7.809758466490774e-08,1.640195960654007e-07,2.7859035514445096e-07,2.50619891232955e-07,2.990718602975935e-07
Bakery products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007863211742543518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
