,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.9123660944540695e-05,3.729738521672245e-05,2.6426433457355035e-05,1.840403209671105e-05,2.4087843795730416e-05,2.4786492910522487e-05,3.9913656325539024e-05,2.2805680761392034e-05,2.2143754444269415e-05,2.768997898371976e-05,2.5226462983155532e-05,2.590356177264309e-05,1.9046653614568245e-05,2.6056351540365522e-05,2.6083919799064595e-05,2.3148828487246004e-05,2.808216641629894e-05,2.5746745029000526e-05,2.8892998079318866e-05,2.5391308974924504e-05,2.6613272986579902e-05,2.790002624130823e-05,2.004818075300775e-05,2.675746023783936e-05,2.03803475939743e-05,2.531249629116805e-05,2.625546882185839e-05,2.5589078077103907e-05,2.237402257806509e-05,1.8118089491989403e-05,2.731206479482397e-05,1.1126758833728453e-05,2.039270388648577e-05,3.217674463473752e-05,2.849599721301095e-05,0.0,2.6132804937213905e-05,2.648322758321204e-05,2.2408630962533367e-05,2.6056351540365522e-05,2.5620564764816312e-05,2.501363459696436e-05,2.7625969207482385e-05,2.6654644731647755e-05,2.751015910047163e-05,2.635781178064229e-05,2.5844875166927672e-05,2.7044815966997502e-05,1.4887213466654895e-05,3.383319255884331e-05,2.476123000292364e-05,2.3550916575637816e-05,2.381973022480436e-05,1.976878362120344e-05,2.6063896889415808e-05,1.8299416553330975e-05,2.3497870747321176e-05,2.6247896987875467e-05,2.6466067009252707e-05,2.8666687121968434e-05,2.371703309020717e-05,2.6154207886689702e-05,2.0046484412577502e-05,2.5906942721626212e-05,6.987019374742394e-06,2.429890403368944e-05,3.119230376972134e-05,2.6466067009252707e-05,2.4461024347250038e-05,2.6659504227531358e-05,2.9776261976007566e-05,2.6186488182624218e-05,2.7835189771173805e-05,2.5452134965569512e-05,2.6285264007927983e-05,2.535484381292342e-05,2.596815113294426e-05,3.083799304212538e-05,2.595952847709277e-05,2.2508862388452345e-05,2.5452134965569512e-05,2.2416570976680765e-05,2.8589246410358877e-05,2.521626440477255e-05,3.647043774772669e-05,2.775505793253732e-05,2.6455196437363503e-05,2.447098609768924e-05,2.0496049723197888e-05,2.0510024969070765e-05,2.6113593381314373e-05,2.3873804209660437e-05,2.7385484994011995e-05,1.9799653087409742e-05,2.7814489970472664e-05,0.0,2.355734097964752e-05,2.525365010303546e-05,2.1363123575283248e-05,2.5703586070062876e-05,2.978676775275891e-05,2.8616031299969762e-05,2.7670352510738906e-05,2.4086414730635443e-05,3.6425669158923975e-05,3.1972011872000614e-05,2.5749847851064337e-05,2.3642381622831892e-05,2.146508802292021e-05,2.2404958470131927e-05,2.515001323441543e-05,2.808367127671705e-05,2.396904195537252e-05,2.5038296870099212e-05,2.424513099385724e-05,2.6853246297153447e-05,1.8249998641538107e-05,2.734865953246826e-05,2.7357378672484146e-05,3.8275592265702345e-05,3.11485736182378e-05,2.674097491767459e-05,2.6240967465488374e-05,2.3240999746715593e-05,0.0,3.0808100365240675e-05,2.6398758736254377e-05,2.5491921962928132e-05,2.6238651543982065e-05,2.5823801442730868e-05,2.7137201252101343e-05,2.4187843090012673e-05,2.4592435988493403e-05,2.714935396383125e-05,3.1165958471869686e-05,2.3373804702869045e-05,1.9255125076079168e-05,2.6096181378299223e-05,0.0003823586894235038,2.5060117832733405e-05,4.882401003354205e-05,2.5286238054093363e-05,2.7539778820291287e-05,2.7396925226911917e-05,2.6679005377058004e-05,2.5780391546404542e-05,1.771747683408674e-05,2.59199828015556e-05,2.7890844348630604e-05,3.0010837183502504e-05,2.6319765862711015e-05,2.502227257164822e-05,2.6753279374915918e-05,2.767696822104987e-05,2.615491918275003e-05,2.472091219976901e-05,2.7576356767844364e-05,2.5339532253893123e-05,2.5209287984478484e-05,2.8383992178430478e-05,2.6106302918266236e-05,2.767696822104987e-05,3.268140996857277e-05,2.76009629777551e-05,2.538006578436858e-05,2.7386575074814803e-05,2.512638237027682e-05,2.955754659969873e-05,3.086548658119711e-05,2.826227877255304e-05,2.5510775339691496e-05,3.8894884196671905e-05,2.498499287670951e-05,1.986117547532199e-05,2.2508862388452352e-05,2.5768422014993702e-05,2.641466368776007e-05,2.6052779061842497e-05,2.6421912288393134e-05,2.7805054592138714e-05,2.5753543709234593e-05,2.7291681491718577e-05,3.2962872009477234e-05,2.7670352510738906e-05,0.0,2.5918496061762442e-05,2.039531720082824e-05,2.6678754385605387e-05,2.3078824855578387e-05,2.6313128883413385e-05,2.739326656149073e-05,2.539316788583046e-05,2.5306838955996326e-05,2.6705689526552388e-05,2.6380641087482344e-05,2.201590224927036e-05,2.6491221262516465e-05,2.8005811236401077e-05,2.5878907995965734e-05,2.6836059704276203e-05,1.7918499512630616e-05,2.8003899066622616e-05,2.5391469835418226e-05,1.7536350896666656e-05,2.6329597693065466e-05,2.7602125887092225e-05,8.478766476528104e-05,2.479248833002373e-05,2.7575614875650927e-05,1.9230976213445855e-05,2.843059807861794e-05,2.817555504031754e-05,2.0500323302216023e-05,2.4507750439483986e-05,1.6232664620888072e-05,2.8032398523587996e-05,2.8154461414846593e-05,2.307735244805722e-05,2.828223882039531e-05,1.7066770010493378e-05,2.5339532253893136e-05,1.927756361675419e-05,1.7463423607636502e-05,1.4329181322675199e-05,2.5339532253893143e-05,2.485542249371757e-05,1.9894307259855007e-05,1.7812332053634417e-05,2.8483379665774773e-05,3.058504915508057e-05,2.6739635663990316e-05,2.7575614875650927e-05,3.3381432520665894e-05,2.64886634742258e-05,2.686491458887981e-05,2.6567620430018225e-05
Agricultural and forestry machinery,6.647030327266622e-06,2.073455673106003e-05,2.8750227721676393e-05,2.9181829562584237e-06,1.290613963192709e-05,4.145726115376068e-06,1.1008152142509503e-05,7.938593304614345e-06,1.2885157150815923e-05,7.128448820604035e-05,5.587088485545381e-06,4.49067837468519e-06,5.164828852453499e-06,5.585248339548829e-06,3.1568251475993e-06,1.205692346141412e-05,4.3498944141315614e-05,4.997442773873198e-06,3.2620852857235236e-05,7.939272534617756e-06,3.4251736145932306e-05,5.149859782580645e-05,5.730503060676047e-06,1.1887604168458077e-05,3.916000278621747e-06,1.1065556757589979e-05,5.263299432719351e-06,7.94846165319359e-06,7.1427340705793455e-06,2.984400372493889e-06,9.030979299996649e-06,6.908461218707709e-06,5.20233161955964e-06,4.0700362684452864e-05,6.148839675513723e-05,0.0,1.5366300724357432e-05,9.639810516099919e-06,4.951124616080173e-06,5.585248339548829e-06,5.48965175271258e-06,1.2672928714839688e-05,2.9834892193441135e-05,5.720451202927511e-05,1.3197045369964038e-05,2.4865051363195608e-05,1.3556612197422985e-05,1.2020364192314186e-05,3.942449254543234e-05,2.7995149661938786e-05,6.468434661811084e-06,1.0140810538545598e-05,6.1087200057867175e-06,7.5864444286894684e-06,5.585248339548829e-06,4.261933845906325e-06,6.278849419195654e-06,5.385699037971847e-06,4.40809210701806e-06,1.7831777174573553e-05,5.203599883643034e-06,9.750051527871367e-06,4.4954564899462e-05,2.080627451615156e-05,2.0954050936377454e-05,1.274129403052558e-05,6.096553053943808e-06,0.0,4.044003166400608e-06,5.989134270958099e-06,1.61037350404427e-05,4.36322658973704e-06,4.137523631024179e-05,8.116784917951573e-06,4.490678374685191e-06,1.918312867025784e-05,8.70032231481953e-06,0.0001064235177052419,3.2248862596439664e-05,8.50804465295258e-06,7.516691034390943e-06,1.9030717789258497e-05,1.4156961715538585e-05,4.335964094436156e-06,2.433649025452109e-05,2.365390453058233e-05,7.088882470566406e-06,1.087173219441987e-05,6.989779783870291e-06,8.401818426609866e-06,8.916720261496896e-06,1.2487820890581593e-05,0.00023655878906317886,1.4632273290318122e-05,3.362098749981763e-05,0.0,1.2637129043011903e-05,5.307155487793793e-06,1.4765955669192516e-05,6.07784483794746e-06,5.1289505957172815e-05,6.823156273096651e-05,2.9181829562584237e-06,6.809042197867304e-06,2.6371641789365964e-05,1.1789544794164722e-05,6.411972488228494e-06,3.0716761298051924e-05,2.130140000272897e-06,7.5754844814565995e-06,1.4718483904224383e-05,1.3247653633539804e-05,6.767182012144092e-06,3.172300638734578e-05,2.121802665499291e-05,2.9112142596549194e-05,5.607830143675629e-06,2.9071405801088e-05,9.631847036562325e-06,0.0003134581200743415,1.4463357769905849e-05,1.9201537562136374e-05,1.4030413556810517e-05,4.4230448486096925e-06,0.0,9.668954285219257e-05,1.0734262404950634e-05,6.831764758088806e-06,5.006336647185074e-06,5.598821384222356e-06,1.5576824584169935e-05,9.095509422059558e-06,9.198452543247908e-06,2.556594899610258e-05,3.655312256722877e-05,7.643182247834341e-06,1.5832403121821765e-05,2.3986886418377193e-05,4.5440907369902235e-05,8.781993466054749e-06,0.00013410382319941017,1.8499925536792196e-05,1.923768898544498e-05,1.7412016892782023e-05,1.8325935338197738e-05,2.1925852669433366e-05,2.9181829562584237e-06,9.99955832838128e-06,2.9819398443078485e-05,4.0120661751719986e-05,1.8561918703821314e-05,9.203755952253408e-06,1.48889295164524e-05,6.207781318555239e-06,3.15378807834371e-05,3.213963227245742e-05,6.9974995060677415e-06,7.971202995826547e-06,9.526927358235425e-06,5.105022052753344e-05,6.222978951951205e-06,9.421447591150013e-06,9.399636981466179e-06,2.1621527244317882e-05,1.3067834897183625e-05,6.98899737151777e-06,1.5261453863932953e-05,0.0005085674912377058,2.360357904464654e-05,2.5853237865472553e-05,4.2584338555838e-06,2.9834892193441118e-05,6.169486513363086e-06,8.615911438584048e-06,8.508044652952579e-06,1.5016048824413974e-05,8.410356139044763e-06,6.3360716459747525e-06,8.082425144576768e-06,2.658645810461233e-05,1.4807350046906994e-05,2.6234318922106466e-05,1.1424819836822927e-05,1.763666219720157e-05,0.0,8.053429506986244e-06,1.975280290762863e-05,4.8405468656821584e-05,1.3772375103208471e-05,4.549275223289534e-06,1.3416134026232673e-05,4.52398170857492e-06,8.720403766665348e-06,6.7097212127542004e-06,4.553795081218471e-06,1.4372740974522671e-05,8.728030005776548e-06,5.3664928150429845e-06,6.249615675425028e-06,1.1860858592675559e-05,3.0173090062370673e-06,2.0243231708194457e-05,1.7734688245826327e-05,3.5210965684112877e-06,9.712318100221795e-06,1.6202124243803087e-05,0.00024588481459718575,1.7551296043171038e-05,4.9974427738731985e-06,1.4149800947025423e-05,3.103326216578278e-05,2.0109316196376252e-05,1.0226382050634896e-05,1.674756516383644e-05,1.5911455686913222e-05,3.8858906871994146e-05,1.7060433359926953e-05,4.0350691906382495e-05,4.329224241838229e-05,5.599668086336638e-06,5.852101378799142e-06,2.2512120804413453e-05,2.9181829562584237e-06,1.2900329331336777e-05,0.0,4.134621400180661e-06,1.139283590836097e-05,3.903499813249947e-06,0.002222268288790685,1.6936148682417986e-05,8.188233371921834e-06,2.3288836774296827e-05,1.716807770767599e-05,1.1398886960061705e-05,2.44492671652886e-05,1.3735990273581159e-05
Aircraft and spacecraft,4.457921116016566e-05,4.440129724601525e-05,3.633546301419971e-05,5.03450112899861e-05,2.1932857509352198e-05,3.460202316416671e-05,3.9651391045312976e-05,3.7046575428616226e-05,3.3552931059241444e-05,4.5831125109986385e-05,4.5347648645979876e-05,2.87111976456555e-05,4.901822613007441e-05,2.916347960145947e-05,0.0003153157195547996,4.090542963788341e-05,3.999772624864416e-05,3.630490305372257e-05,3.590964847271645e-05,4.309248373348158e-05,3.934122597793892e-05,4.641373399417081e-05,3.880829850578408e-05,4.637375639018639e-05,0.0001619463359128107,3.2421213190047376e-05,3.387830694549914e-05,3.902193177988618e-05,3.312281656009085e-05,3.361840923324719e-05,3.485072512097493e-05,3.563490184584194e-05,3.563906267071159e-05,4.197499114973994e-05,3.6523725502348535e-05,0.0,6.16411154412678e-05,4.6585503046951434e-05,5.418792244866898e-05,3.2185401760622015e-05,4.069240852004829e-05,3.9182484883054544e-05,3.6362901368498885e-05,3.5146877275203984e-05,3.5607402844979854e-05,6.372809197852031e-05,3.3408107245206154e-05,3.296099819015173e-05,3.555589066870459e-05,5.044955739720604e-05,3.069085847189106e-05,4.386087288968531e-05,2.7340749450428084e-05,5.835376244009355e-05,2.9163479601459473e-05,4.710820358314646e-05,3.819419809229117e-05,2.8506736858871196e-05,3.794769097928523e-05,3.9664487723990994e-05,3.910469294045105e-05,5.713430212085187e-05,3.41727997383338e-05,3.828596023324332e-05,3.4635879953384724e-05,6.847724484508651e-05,3.968127868982583e-05,0.0,1.6223242438748646e-05,3.480541796884057e-05,6.0330795240798336e-05,6.0333258587701395e-05,4.0719376891714284e-05,3.890598597321961e-05,3.387830694549914e-05,5.02674165268049e-05,3.816609574100496e-05,3.379056432970282e-05,6.298900738815716e-05,4.590678277797277e-05,3.902125112320595e-05,4.0439474722782714e-05,3.368981436207151e-05,3.5854673638621006e-05,3.8091160316642345e-05,3.901953994765753e-05,3.4872037450729415e-05,3.961252693034112e-05,3.3180352796799354e-05,5.4173353417889475e-05,3.7029899522644373e-05,3.870824399632017e-05,0.0007828773808575384,3.650011896452227e-05,0.0001845381895394357,0.0,4.085692277385273e-05,7.153231576032108e-05,3.299513836422332e-05,4.453860715075391e-05,4.647574632180812e-05,8.985082538932373e-05,9.195868461204064e-05,3.906542346008556e-05,5.3824106712775706e-05,3.354076481062619e-05,3.810880792469169e-05,3.445475620027828e-05,1.1587909724838313e-05,3.4227618507240856e-05,5.02674165268049e-05,5.185501433012364e-05,4.0691292437047336e-05,4.9054403718992646e-05,3.1566884019743295e-05,3.8695245544625575e-05,3.291917390970895e-05,3.312846074798763e-05,0.0001851413795476653,8.656753525162652e-05,7.370975091103085e-05,4.2155274675199136e-05,3.805408049943101e-05,3.576803228135607e-05,0.0,4.638374117065119e-05,4.787290746655862e-05,3.636575275413599e-05,3.948806644744652e-05,5.637080242965107e-05,4.510235988581255e-05,2.3475483080297503e-05,3.616003021778785e-05,3.5169970413084065e-05,7.722506415399045e-05,4.1343348233526745e-05,3.96847235687035e-05,3.7934949691135106e-05,3.2537369690562075e-05,4.1042519139848545e-05,3.5695561360226074e-05,4.054385764290082e-05,3.558175502573318e-05,0.0,2.8458228121491004e-05,2.5806687540336282e-05,4.152151905284019e-05,0.00014083057429570557,2.476431358778667e-05,6.236097889897808e-05,4.438630947533768e-05,4.3217567716803435e-05,3.382443831355603e-05,0.0,3.717175419252613e-05,3.8163934428334e-05,3.2529556279627145e-05,4.592983192563312e-05,3.537712840647718e-05,3.7819729170013125e-05,2.9163479601459473e-05,3.7998879011694336e-05,5.2012441018676076e-05,3.3656640604305466e-05,3.973246627024606e-05,3.387830694549914e-05,3.9824741767055036e-05,0.013011133981686114,3.2880449201080335e-05,6.466495701021889e-05,3.6669574506892564e-05,4.011941922724669e-05,3.4872037450729415e-05,3.374701556055084e-05,4.590678277797277e-05,3.474428333258064e-05,7.560786456217513e-05,3.1218750832987904e-05,4.011941922724669e-05,3.6936484841853955e-05,6.160101996712256e-05,0.00010600705555805115,3.3324828390208536e-05,9.195868461204064e-05,0.0,5.243557656649906e-05,3.1950069972282665e-05,0.00010897630261373753,4.327446931334152e-05,9.154912543837735e-05,3.8851316714856365e-05,5.0740116544180114e-05,3.666056285468445e-05,3.811211671253034e-05,3.78916004330353e-05,4.432596677517291e-05,3.651800986006847e-05,4.1092065137150264e-05,3.6574218194923364e-05,4.6232099388415636e-05,3.267356073881191e-05,0.00011583179215597547,3.994203839477725e-05,5.91905099826328e-05,4.6280127001034164e-05,3.804497225941514e-05,5.665086622907738e-05,4.1118828095781456e-05,3.935726473036294e-05,3.8948789164433705e-05,5.361935962865658e-05,3.270478090967335e-05,3.462949986590992e-05,3.4319639334820614e-05,2.9199465996963168e-05,5.1855014330123646e-05,6.082468054606396e-05,4.604037236069405e-05,4.321206359925814e-05,9.37802078572515e-06,4.8048181594846654e-05,2.4309060505543156e-05,3.2529556279627145e-05,4.243371040902591e-05,3.9021251123205934e-05,3.444027474229651e-05,3.7749167012745946e-05,3.781113244060235e-05,5.583721393581834e-05,4.423470698412007e-05,3.31228364161015e-05,4.067319936434594e-05,0.00023036021102474787,5.40214101866963e-05,3.428556695221051e-05,5.4908271292704796e-05
Animal feed ingredients and pet foods,0.0,1.000000000000591,1.0000000000005922,0.0,1.0000000000005922,0.0,1.0000000000005926,1.0000000000005933,1.0000000000005924,0.0,0.0,0.0,1.0000000000005926,1.000000000000592,1.000000000000592,1.000000000000592,1.0000000000005922,1.0000000000005922,1.0000000000005924,0.0,1.000000000000592,1.0000000000005922,1.000000000000592,1.000000000000593,1.0000000000005929,1.000000000000592,0.0,1.0000000000005922,1.0000000000005924,0.0,1.0000000000005915,1.0000000000005922,1.0000000000005929,1.0000000000005922,1.0000000000005917,0.0,1.000000000000593,0.0,1.0000000000005929,0.0,1.0000000000005917,1.0000000000005929,1.0000000000005909,1.000000000000592,1.0000000000005922,1.0000000000005926,1.0000000000005933,1.0000000000005922,1.0000000000005929,1.000000000000593,1.0000000000005933,1.0000000000005924,1.0000000000005929,0.0,0.0,0.0,1.0000000000005915,1.0000000000005922,1.0000000000005915,1.0000000000005926,1.000000000000593,1.0000000000005922,1.000000000000592,1.0000000000005929,1.000000000000592,1.0000000000005924,1.0000000000005924,0.0,1.0000000000005929,1.0000000000005924,1.0000000000005924,1.0000000000005924,1.0000000000005929,0.0,1.000000000000593,0.0,1.0000000000005926,1.0000000000005935,1.0000000000005926,0.0,1.000000000000592,1.0000000000005929,1.0000000000005924,0.0,1.0000000000005929,1.0000000000005917,1.000000000000593,1.0000000000005926,1.000000000000592,1.0000000000005926,0.0,1.000000000000592,0.0,1.0000000000005926,1.0000000000005922,0.0,1.0000000000005924,1.0000000000005924,1.0000000000005922,1.0000000000005924,1.0000000000005922,1.0000000000005917,0.0,1.0000000000005926,1.000000000000592,1.0000000000005926,1.0000000000005922,1.0000000000005933,1.0000000000005926,1.0000000000005926,1.0000000000005926,1.0000000000005924,1.000000000000592,1.0000000000005915,1.0000000000005922,0.0,1.0000000000005926,1.000000000000593,1.0000000000005933,1.000000000000592,1.0000000000005926,1.0000000000005924,1.0000000000005922,1.0000000000005926,0.0,1.0000000000005917,1.0000000000005929,1.0000000000005926,1.000000000000593,1.000000000000592,1.0000000000005926,1.0000000000005922,1.000000000000592,1.0000000000005924,1.0000000000005926,1.0000000000005915,0.0,1.0000000000005924,1.0000000000005917,1.0000000000005922,1.0000000000005922,1.0000000000005926,1.0000000000005915,0.0,1.0000000000005929,1.000000000000592,0.0,1.000000000000593,1.0000000000005929,1.0000000000005915,1.0000000000005929,1.0000000000005924,1.0000000000005924,0.0,1.000000000000591,1.0000000000005926,1.0000000000005922,1.0000000000005922,1.0000000000005929,1.0000000000005917,0.0,1.0000000000005922,1.0000000000005924,1.000000000000592,1.0000000000005922,0.0,1.0000000000005917,1.0000000000005917,0.0,1.0000000000005924,1.0000000000005922,1.0000000000005906,1.0000000000005933,1.0000000000005917,1.000000000000593,1.0000000000005924,1.000000000000592,1.000000000000592,1.0000000000005924,1.0000000000005922,1.0000000000005929,1.0000000000005915,1.0000000000005933,1.0000000000005913,0.0,0.0,0.0,1.0000000000005924,1.0000000000005924,0.0,1.0000000000005926,0.0,1.0000000000005926,1.0000000000005924,1.0000000000005935,1.0000000000005924,1.0000000000005929,1.0000000000005922,1.000000000000592,1.000000000000593,0.0,1.0000000000005924,1.0000000000005924,0.0,1.0000000000005924,1.0000000000005924,1.000000000000592,1.000000000000592,0.0,1.0000000000005926,1.000000000000592,1.0000000000005922,1.0000000000005924,1.000000000000592,1.0000000000005926,0.0,1.000000000000592,1.0000000000005917,1.0000000000005924,1.0000000000005924,0.0,1.0000000000005917,1.0000000000005935,1.0000000000005924,0.0,1.0000000000005926,1.0000000000005926,0.0,1.0000000000005917,1.0000000000005909,0.0,1.0000000000005924,1.0000000000005926,1.000000000000593,1.0000000000005929,1.000000000000593
Articles of concrete cement and plaster,1.6552021655460645e-05,1.4969974254059004e-06,8.358157182170435e-07,2.2643310648028185e-05,5.300210101511555e-07,3.7843024947367e-08,2.047113915414326e-06,7.832332712316684e-07,5.4309620212381176e-08,9.569482610308081e-05,1.170004330532863e-06,7.24722093797779e-08,1.6182948899862492e-05,3.6468173734139166e-07,1.0637410569797955e-08,1.2429352522850038e-07,1.7217526557366521e-06,7.313678873098317e-08,4.68920702731272e-06,1.1929205442536856e-07,1.0458045295010626e-06,1.8941043425262434e-06,3.1564326835194823e-08,2.70731755672325e-06,2.1615912273378068e-05,1.530614028591197e-08,1.9172588867404203e-06,1.1118223824448187e-06,4.754089466063967e-06,1.8156168122116828e-05,1.4656278347984676e-06,2.151777190739476e-06,1.1569402437350538e-05,1.8658233853098157e-06,2.5178020319108265e-06,1.2990306928362498e-05,1.8600982796697341e-06,1.9775438925057923e-06,1.170004330532863e-06,3.6468173734139166e-07,3.9667983068234877e-07,2.3607610350056477e-06,1.81913502740048e-06,1.684049445392644e-06,1.815744899093797e-06,1.9059278864617903e-06,2.3885074038164465e-06,0.0010087362516557105,7.20432440488e-08,1.6111257111685188e-06,1.9354479200972525e-07,4.70805310843337e-06,7.992429143098907e-07,4.462857664397144e-06,7.323519280231433e-05,2.1005349164048125e-05,9.09763407250439e-08,1.432973935894002e-08,2.429042617389473e-08,1.7452792923233988e-06,1.263112313870781e-05,7.24722093797779e-08,1.2990306928362498e-05,2.769900641962136e-07,1.2747317940449813e-07,1.1679013278622278e-06,9.862812193025544e-07,0.0,2.5798963486222538e-08,2.7707530058775363e-08,1.2794070690588456e-06,1.2815608758704983e-08,0.00043255058611691344,1.2904911049015404e-05,2.1086796690649163e-06,2.4545018744420154e-06,1.3448499027712866e-07,4.67106945643278e-06,1.978991635804348e-06,7.692651688123898e-07,1.2904911049015404e-05,1.60381927985063e-08,3.665440016016086e-06,1.972311634359786e-06,1.5542189570679932e-06,1.4183881342940994e-06,6.194421457023489e-08,1.3072529964927613e-06,3.876320645219371e-08,0.0021245957446140605,7.293501572098507e-08,2.5479438998236268e-06,2.422325294006751e-06,4.61023874567091e-06,1.8535906041222338e-06,0.0,6.698873927032246e-06,9.13950301171698e-09,1.4470555948017286e-05,8.713994895853788e-09,1.9573473234767073e-06,2.5178524785270424e-06,0.0,8.274642707525583e-07,1.3998637266597136e-06,4.804361814341719e-07,1.597928737062202e-07,1.000419336354633e-06,4.9652398441026274e-08,9.26610536815623e-06,2.9428922779329577e-06,2.630816173133916e-06,5.630131377130134e-08,2.0130659709877957e-06,5.4418952871282565e-08,0.0005199069459018793,2.0471618678918986e-05,2.4711203403483004e-06,2.3126870314151465e-06,2.480779588713095e-06,9.11770207204109e-07,1.1646175459017323e-06,5.162166713798855e-07,1.843021767997565e-05,0.0,1.8493247441194045e-06,1.863910955065897e-06,9.109055721832368e-08,1.0336160247926969e-07,2.0990448380463202e-07,1.927417012503121e-06,1.1959055633952623e-08,3.8371800868008855e-08,1.7288499066299562e-06,2.67051614368789e-05,6.473400128103682e-08,4.4832803976151516e-05,7.400210224134079e-08,7.453844126772286e-06,2.319440264043961e-08,2.0735603076015484e-06,1.1396030117487346e-07,1.7942500239349852e-06,2.438259460264655e-06,5.293158810771613e-06,9.465120674113929e-07,2.119028942512238e-05,2.0750594637994397e-06,1.8356519776197567e-06,1.9680338045412382e-06,1.8645736659099336e-06,7.489272167878426e-06,2.2553508486509872e-06,0.0010104721384483544,2.3585129997648146e-06,3.61802238458369e-06,0.001075460980019087,8.462193258109112e-08,2.293065102363222e-08,2.36053731832625e-06,4.200175792323488e-05,0.001075460980019087,2.054089940484547e-06,2.682994147891859e-06,3.7856415274459724e-06,0.001075460980019087,2.2033786029705245e-06,2.4180517879692923e-06,2.4426511273719946e-06,6.101662858346972e-06,1.4333125817965432e-08,1.818175679757443e-06,2.098253230412599e-08,1.61588756363993e-06,7.692651688123901e-07,3.0347567813080293e-05,3.414419739881649e-08,6.191680162014355e-09,1.5586660609810045e-06,1.2470266319065796e-06,3.279380859280666e-06,1.7879556161923879e-06,6.585715348357555e-08,7.433993991869103e-07,0.0,0.0001251828488377258,6.939273400829035e-05,2.22886264738644e-06,4.433410868633911e-06,1.0579347606208878e-07,1.922630415633121e-06,1.8932963310823071e-06,1.1335759800009954e-07,1.607109187043737e-06,3.2197275948730236e-07,3.6203998588810407e-06,1.366344815217844e-08,4.6730970158513356e-08,2.3097643140694106e-08,1.8864295515182897e-06,1.6126321247729933e-05,5.999289861066398e-05,1.0506877010940703e-06,1.6751670779264706e-05,2.025936733089403e-06,2.4515777480333643e-06,2.1273618531448182e-06,5.587279381921089e-07,0.00036251093414716264,5.577069431630375e-07,1.749578484694067e-06,0.00035426821927604424,9.547321709438711e-06,4.4241201214469456e-07,4.6860104616304404e-09,0.00043224684372488944,2.7623404882783584e-06,1.2558494173922026e-07,1.6633818923980337e-06,2.842127134467766e-08,0.0,1.2026485422218795e-06,2.2657068691279295e-05,7.232115812232136e-09,0.0,3.792894684462017e-05,2.185671359413542e-06,2.1635501290392902e-05,6.8412440747013935e-06,0.00012394539089652316,0.00011915213126805105,0.00036251093414716264,2.5547314091404103e-06,1.8618496198388208e-06,1.9036765840234152e-06,2.6960918576920584e-06
