,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,9.096423421098828e-07,1.2953682203778453e-06,2.8232496520890397e-06,8.584169918710718e-07,1.7506482369742032e-06,1.5784131146208787e-06,1.3122647573865141e-06,1.0535858683292226e-06,1.1565165951989467e-06,1.2980166477959895e-06,1.3357928401768669e-06,1.9932581520544624e-06,9.13974189876941e-07,1.2184759717866366e-06,1.410246635687797e-06,1.2743643549164792e-06,1.346344469580688e-06,2.122214985807649e-06,1.379978174685296e-06,1.0483610068641264e-05,1.3244876804364521e-06,1.3008633999651756e-06,1.3136359120946892e-06,1.3165978901965673e-06,1.0079680754490188e-06,1.4972624647179422e-06,1.625171782626088e-06,1.3412309349246838e-06,1.068891257176776e-06,8.534859753108839e-07,1.1243165873318564e-06,5.13528218689114e-07,1.0467672878931385e-06,1.2858855990940173e-06,1.3101769579209265e-06,0.0,1.3946649107775796e-06,1.5211852097135003e-06,1.0581685488814826e-06,1.2184759717866366e-06,1.4591447413968158e-06,1.211919706547107e-06,1.2961993099341587e-06,1.3885388460144472e-06,1.32117297538368e-06,1.2667265271564163e-06,2.432412369453614e-06,1.4269647539536456e-06,6.950293321262321e-07,1.3480764108812641e-06,1.8312089179811087e-06,1.113679447782732e-06,2.082822973358614e-06,1.2187713087450427e-06,8.666553502218166e-07,1.6222499900764356e-06,1.5629685510621636e-06,1.5212193312273143e-06,1.2977631273143204e-06,1.1394357612823469e-06,1.9068602546287015e-06,9.326760690509485e-07,1.4751142940097145e-06,3.339641617039978e-07,1.347926086606907e-06,1.3172286173561068e-06,1.5212193312273136e-06,1.5800903390728068e-06,1.5663669639193618e-06,1.3083609210224754e-06,1.7933991612839116e-06,1.2881025283691237e-06,1.6274384282378055e-06,1.62285305335999e-06,1.368172777493843e-06,1.9668260924612464e-06,1.2737765722898048e-06,3.025350211734222e-06,1.1970456773377062e-06,1.6274384282378055e-06,1.3758790299724231e-06,1.3047568691044912e-06,1.6065921659198194e-06,1.3389867147842292e-06,1.361718971629298e-06,1.457715676455247e-06,1.3643813087233958e-06,1.5005906158491387e-06,9.907915311971975e-07,2.2932010880635203e-06,1.120221623910884e-06,1.2887452641322794e-06,9.444886014926282e-07,1.296255567907534e-06,0.0,1.0896244292946886e-06,1.9249701023603303e-06,9.988965873325444e-07,1.48040150053599e-06,1.2929741510827126e-06,1.309651246166851e-06,1.277376355929707e-06,1.3416695879964338e-06,1.3098161977983833e-06,1.2660177421273345e-06,1.7754276700459015e-06,1.289784286615394e-06,1.5353535973649432e-06,1.0602654986365474e-06,1.374653943822486e-06,1.2461540967923182e-06,1.2410854508077956e-06,1.1905870326975186e-06,1.2699350451933625e-06,1.2979703700946705e-06,1.258314872811579e-06,8.570482600976208e-07,1.2909876834654515e-06,1.3133709734605393e-06,1.3199926374853227e-06,1.335781398763666e-06,1.2975092328246792e-06,1.3551848274982357e-06,1.0551793791560757e-06,0.0,1.3352227436926739e-06,2.0942770579043403e-06,1.8439305584037003e-06,1.9120795154788207e-06,2.3322220985301505e-06,1.2551472543284914e-06,1.0271381594993085e-06,1.4570143440695451e-06,1.462437511469519e-06,1.319481543124766e-06,1.0991464286858467e-06,9.01302523171498e-07,1.443431911219994e-06,1.4226942934188276e-06,2.0196018824117935e-06,1.3014618679054704e-06,1.4965783705637446e-06,1.2896228273126433e-06,1.2915335003123176e-06,1.3266887784649797e-06,1.3331167171542195e-06,8.337306307235449e-07,1.318258319382277e-06,1.3058607876379975e-06,1.278520642029157e-06,1.3594136905256146e-06,1.543613132502509e-06,1.3571886622153122e-06,1.3348205281581758e-06,1.32708212864819e-06,1.1217889380071573e-06,1.327597601831053e-06,1.1761861245666253e-05,1.4582699160598895e-06,1.3028033629381e-06,1.2184469514233075e-06,1.3348205281581758e-06,1.3464475532743387e-06,1.2957915554493924e-06,1.1943474849516477e-06,1.3204099758718652e-06,1.1517332705962162e-06,1.2859282555964975e-06,1.24909974014384e-06,1.2851253176712895e-06,1.344064390310182e-06,1.311441131471301e-06,2.0567963668183165e-06,9.53800698703902e-07,1.197045677337706e-06,1.4101896852081817e-06,1.332283409387668e-06,1.7995432529842185e-06,1.342676160987148e-06,1.3101008171472557e-06,1.323841250792939e-06,1.2792614661740049e-06,1.5324912663332529e-06,1.277376355929707e-06,0.0,1.5013566182988503e-06,9.405126314268052e-07,1.358582099057113e-06,1.0864889623274279e-06,1.901188624463436e-06,1.278892861190432e-06,2.899877392137234e-06,1.5780653262399039e-06,1.2676188809109408e-06,1.7833569776308986e-06,1.6202972842982245e-06,1.478520678190972e-06,1.4779275241049865e-06,1.6340725291520705e-06,1.3381397728906488e-06,1.0404506712653885e-06,1.4016923987001303e-06,1.1153685368803099e-06,8.125893053354288e-07,1.101005756532869e-06,1.3920619612324641e-06,1.3049340589029493e-06,1.242132163579523e-06,1.2802424300387789e-06,9.88963200817211e-07,1.2937029590824678e-06,1.2923938498120275e-06,1.0810456767377485e-06,1.4543758777732077e-06,8.132853902568819e-07,1.2994902389412859e-06,1.3018111644097607e-06,1.111068590283018e-06,1.2794941398656308e-06,9.250161707489127e-07,1.1761861245666253e-05,9.692703772220857e-07,8.076604381708272e-07,7.320907657063136e-07,1.1761861245666258e-05,1.1075658858768417e-06,9.458033542093987e-07,8.789590466949746e-07,1.2944242257935207e-06,1.3026414780636625e-06,1.522587621149955e-06,1.2802424300387789e-06,1.2952209237722186e-06,1.3472105286733692e-06,1.3218340829158948e-06,1.3420214055930656e-06
Agricultural and forestry machinery,7.104970806376649e-11,1.2098010757294525e-10,2.2665814008681338e-09,5.872013128969823e-11,6.920126474468982e-11,3.219917348083457e-10,1.9024339271876502e-10,1.5194801884416308e-07,5.442474038920593e-10,1.3226720203773588e-10,1.4536647987841908e-10,7.000572483909767e-11,7.086492925085465e-11,1.4524901711117986e-10,5.313346630425074e-11,1.0457646910004879e-10,5.49162520526241e-10,6.324901493981006e-11,1.238942442041738e-10,7.613791455022114e-11,1.1743831675540816e-10,1.1825716611555495e-10,5.563079405632954e-10,1.220783261876648e-10,6.10325369169738e-11,1.9038343617160597e-10,8.13123228175668e-11,1.444344961095738e-10,1.0496989236416833e-09,5.8961679297785e-11,8.706315968235278e-05,1.6602728600107536e-09,1.0562301453145852e-09,1.9054587230730773e-10,1.2972252778560864e-10,0.0,4.4424437132159457e-10,9.968355831652335e-11,8.959514466078595e-11,1.452490171111798e-10,7.250739279195834e-11,1.4459446193435594e-09,9.097284888871623e-11,1.5354572190051685e-10,2.2536277911779498e-10,1.8857020532963187e-10,2.9436848897323723e-10,1.009473748750314e-10,6.932269457663912e-10,2.0487123557969808e-10,2.1274542142940779e-10,5.738834258768774e-10,8.010178302806855e-11,1.452490171111798e-10,4.2407861316207926e-10,5.233088040745483e-11,5.7194095332984764e-11,6.894908926007544e-11,1.5129171874064087e-10,1.280454708496538e-10,7.334514904896808e-11,9.798412053339784e-10,1.1081302138643697e-10,1.2995083413909119e-09,1.8658846844843172e-10,6.19621395963359e-11,0.0,3.91372040374018e-10,7.954669620593683e-11,1.6193438350258967e-10,6.264341691470958e-11,1.308961629637655e-10,8.409117689163336e-11,7.000572483909767e-11,5.770158235475015e-09,7.167062112415936e-11,9.410641158196861e-11,3.2957926466535493e-10,1.215450973616691e-10,7.566866797146504e-11,1.0690957599562833e-10,8.481275229002408e-10,3.647674454944015e-10,1.4435791898367725e-10,1.3429515445746166e-10,1.7020393409442318e-10,2.6720666846289225e-10,6.939473508370388e-11,7.183670835218242e-10,7.164400741448002e-11,1.993022029897137e-09,1.284778394947424e-10,5.993496014966768e-10,9.450821710597042e-11,0.0,2.7584970833650255e-09,1.8956366975121483e-10,1.5442873892558355e-10,1.1603991196992634e-09,1.4922994576548754e-10,1.3748904885433853e-10,5.872013128969823e-11,1.160972979192095e-10,9.10269315738843e-11,9.877745912585846e-11,9.217187591582122e-11,9.430683383844999e-11,2.8017595301666822e-11,1.1819597248193444e-10,1.1592167683266081e-10,8.149574482051761e-11,4.043577793042536e-10,7.715888899213607e-10,1.2115074613663232e-10,2.651697170797507e-10,9.551235722751875e-11,6.877492855596796e-11,9.576822042479668e-11,7.88502305321329e-11,2.0881324582174012e-10,8.011986505262218e-11,1.0356577584795798e-10,8.10507889388805e-11,5.80981409966735e-11,0.0,1.2894571416156802e-10,3.972331814935673e-10,9.822386979207574e-11,7.025715090237664e-11,9.843158628386634e-11,7.674136345037065e-11,2.1245606024440567e-10,1.5299907710174083e-10,2.1663767950672787e-10,1.4202663822722784e-10,2.1792284035818316e-10,8.098476716970678e-11,1.2234292144087725e-10,1.5481666527878793e-10,8.647721850302952e-11,1.698185282006322e-10,1.4483629221289783e-10,1.520197546884454e-10,1.0252823594455792e-10,5.333147902048241e-10,9.380994136168645e-11,5.872013128969823e-11,2.204564333508177e-09,2.0743525358346433e-10,3.1053668748714915e-10,3.8474360743036716e-10,8.19425898053445e-11,8.620995254234809e-11,1.3829595043392484e-10,1.3063061746822957e-10,3.609276513059237e-09,8.5555450042948e-11,7.414040376815839e-11,6.343008135251189e-11,2.483184945361673e-10,1.4419017620585979e-10,1.024025333374356e-10,1.0089325499263631e-10,1.1015058917605247e-10,7.073783118594945e-10,1.6103462531405037e-09,5.636889271304751e-09,1.7639116045655114e-10,8.402034869862775e-11,1.8118498563527729e-10,6.75065660930361e-11,9.097284888871621e-11,1.76421897464046e-10,8.26454953621292e-09,1.215450973616691e-10,8.556660885117135e-11,1.201461726081538e-10,3.583504818743836e-10,3.285731530944274e-10,2.2924241700807211e-10,8.893902550065199e-11,2.44707362659716e-10,7.614446082941997e-10,9.911952580560463e-11,0.0,1.365961447260183e-10,1.1195058028182972e-10,1.1158197034702489e-10,2.227697269196866e-09,6.815194347884009e-11,9.320584728369101e-11,7.142259597491423e-11,3.138289500606788e-10,8.215329690174729e-11,6.42875806690429e-11,3.6144061086171114e-10,9.200136121374887e-11,5.787630158146633e-11,6.391901307997587e-11,4.5223424280416375e-10,5.94233546432951e-11,4.067334128285276e-10,9.748118244559534e-11,6.24812257369438e-11,1.0395689567152502e-10,1.2922231665571932e-10,2.8929309074261913e-10,1.1151879421712168e-10,6.324901493981006e-11,9.795969862422332e-11,1.6177782491757082e-10,1.077185724146585e-10,4.392710502608822e-10,1.1465275396827208e-10,9.188504017810634e-11,1.2662533858067455e-10,1.0273208111665776e-10,1.4267925347656268e-10,1.6703042897558062e-10,5.644847475872593e-10,8.998161250491982e-11,1.0329721026463289e-08,5.872013128969823e-11,6.869787682060854e-11,0.0,9.203904310680293e-11,3.139349564247947e-10,3.5426798084715574e-10,1.4642454652740635e-10,9.318044306028814e-11,7.142259753229423e-11,1.1025446598219776e-10,1.0920877680480744e-10,5.163533106694582e-10,3.13273573539707e-10,4.4864671920749114e-10
Aircraft and spacecraft,7.983346203903654e-06,3.08789524929669e-06,0.00016471211841074358,1.8308010251924464e-06,6.2521743721668585e-06,4.6766842002707235e-06,2.2794638420803867e-06,4.609027245047235e-06,1.3296997163982677e-06,3.74319342505456e-06,2.2623722151932402e-06,1.1216957422450096e-06,1.5491748361507656e-06,1.359608005175826e-06,1.8610058364670439e-06,4.105633467896215e-06,2.2390693478629006e-06,1.8726690376691326e-06,1.7485826475117226e-06,3.423004420013518e-05,2.0571206600092404e-06,3.2821244042119216e-06,2.828712104177719e-06,2.527500645628926e-06,1.756300208252296e-06,1.421244278647785e-06,1.277882514426983e-06,1.9693441081488824e-06,1.259580482484208e-06,1.4026578333668127e-06,1.6110388391950565e-06,1.650344833205925e-06,2.132459924286547e-06,2.4271816020227176e-06,1.3135284990438292e-06,0.0,1.6582172738588981e-06,4.6299207513735685e-06,1.7166058272745857e-06,2.177299790948665e-06,4.2566347432446455e-06,1.5757616142839916e-06,1.694098567988396e-06,1.7979297247098604e-06,1.979514046141613e-06,2.967326222972441e-06,1.7887390309098257e-06,1.6341234627396175e-06,1.7302883879668033e-06,2.658367166182568e-06,4.847239726356532e-06,1.8583052064560888e-06,2.487286438048076e-05,1.3596080051758265e-06,1.991323967455067e-06,1.9735297408276064e-06,1.1155154839085755e-06,2.8084297325752196e-06,1.5100185434568387e-06,4.038455674107956e-06,9.823076528775364e-06,1.4211150448047486e-06,2.594466160690057e-06,2.4162293364802316e-06,2.814148465238412e-06,3.1952280719255213e-06,0.0,8.754339378812003e-06,1.509609540538372e-06,2.58906447075545e-06,1.7063361927328595e-06,1.4586935448780172e-06,4.048576120808755e-06,1.277882514426983e-06,1.4990435669863286e-06,2.8973493013125075e-06,1.7256732259530014e-06,1.7716513749936445e-06,5.517654459814879e-05,4.026989352149818e-06,2.307042941154632e-06,3.3624103640453574e-06,2.2345842778930376e-06,1.9113454309084827e-06,4.02503939558973e-06,1.896557914579497e-06,2.7626502788280286e-06,2.1316384367302217e-06,1.7163185820768924e-06,7.515375335188228e-06,1.587285850246498e-06,1.962045226475641e-06,2.1126140470546723e-06,2.42169605472704e-06,0.0,1.7246346100725602e-06,1.7854581226340542e-06,1.3638957177554403e-06,2.586818153259975e-06,1.8672204176501562e-06,2.13863654569708e-06,1.8208651207511909e-06,1.4552332137755963e-06,2.7989865945827105e-06,3.560350112325334e-06,4.1561476629058545e-06,2.074251404551373e-06,3.4031090882727116e-06,1.3348987599904203e-06,1.4990435669863288e-06,1.671829424058828e-06,2.277304042105561e-06,1.8333176159084318e-06,1.5210874567086408e-06,2.2654022405001526e-06,1.8571660278289186e-06,1.411587672409851e-06,2.4678441776373753e-06,2.063862895968503e-06,3.8458386591e-06,2.385039518913487e-06,3.0424876373733607e-06,1.1082378013294101e-05,1.6677835567276208e-06,0.0,2.436858494972939e-06,1.7543416383571126e-06,2.9664529908347012e-06,5.0067323063205045e-06,1.8047951612050751e-06,1.8901011719393719e-06,1.0034675608268167e-06,2.018803977083867e-06,1.4739217676973e-06,1.9457702119029262e-06,2.6965470146282045e-06,3.871136515843763e-06,2.996640634332169e-06,2.406512036926195e-06,2.4676084197680044e-06,1.4448471899342086e-06,1.9882064641967573e-06,2.168751504150344e-06,0.0,2.7965251358637547e-06,2.6442339083871747e-06,3.646116205469131e-06,3.920401992251733e-06,7.032537956040185e-06,2.750146701739603e-06,1.732084199192027e-06,1.3487264124347593e-06,1.2908167168140983e-06,0.0,2.5310060023169034e-06,3.057526705776778e-06,1.2445942751584538e-06,5.527934088097129e-05,1.9933462985981675e-06,1.7705091627552925e-06,1.3596080051758263e-06,2.0948975758029155e-06,6.104542235111154e-06,2.386334737676497e-06,2.0015162325319048e-06,1.2778825144269836e-06,1.789645053736032e-06,2.4299710549500786e-06,1.4472224023445013e-06,4.116136897631976e-06,1.8909278969732762e-06,3.791755760534155e-06,1.896557914579497e-06,1.6168061633702762e-06,5.517654459814879e-05,1.2784456296193314e-06,2.248220097304551e-06,2.8424093246061554e-06,3.791755760534155e-06,2.074064074967097e-06,2.342065451343884e-06,2.6230533690137622e-06,2.377251063366619e-06,1.8208651207511909e-06,0.0,1.7481151015743905e-06,7.967828419170268e-06,3.0717070763411404e-06,1.5062604406565687e-05,1.8297478884933631e-06,1.9279756294598733e-06,1.6421271731495584e-06,2.634264290450927e-06,3.820946717441516e-06,2.575123915086387e-06,3.565807342966309e-05,2.0429264518726136e-06,3.24012129945415e-06,2.273062743919752e-06,1.5919595435115675e-06,1.6366536807004747e-05,1.6896682687636616e-06,2.8705771965832325e-06,2.029492471323774e-06,2.607866856562773e-06,2.6574772184015048e-06,2.2458028312616548e-06,3.1614531192037402e-06,5.121531588999448e-06,3.8758582355425905e-06,1.647469884577905e-06,1.8412575347041924e-06,1.4150771714528692e-06,1.3911366905379303e-06,1.6847048220511507e-06,1.6718294240588282e-06,1.5035962201166004e-06,2.013717144671531e-06,1.8842605905920763e-06,6.08821079246396e-07,4.153952999288988e-05,6.277770855669054e-06,1.2445942751584538e-06,1.69639146083873e-06,4.026989352149818e-06,1.4233179453242995e-06,1.8848814439070123e-06,2.71237085564492e-06,1.6618132661911327e-06,1.486527005626705e-06,1.68260284688302e-06,4.102580363150599e-06,2.2308012062673387e-06,1.9564930920186014e-06,2.636068797796707e-06,2.1356519535629163e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,1.1640118826381653e-07,1.3778925406631186e-06,2.819407124643062e-07,2.694149392094525e-08,2.0725501667704884e-06,4.794806127229066e-08,2.4028500635427797e-06,5.026771900427712e-07,6.73365277197693e-08,7.223682951449689e-07,2.603994407358921e-08,8.47436980857636e-08,9.433222097663681e-07,4.4510707154131055e-08,1.9565256035612768e-08,2.340258096526979e-07,7.110319920526706e-07,1.0535409850431674e-07,7.260797013926809e-06,1.9428055187416363e-07,4.485517580706751e-07,7.442639454750806e-07,2.6263505144624854e-08,2.6161918124014127e-06,2.7734695102968505e-07,2.1893888197202053e-08,4.2399701848430397e-07,2.123912875418095e-06,1.1795709040280783e-07,1.098928109100502e-06,1.59461556874664e-06,4.668830494643974e-06,2.5532052030768876e-07,7.732502546672829e-07,1.5296027111222098e-06,7.627490676578264e-08,1.7848185004994153e-06,5.586039397507937e-07,2.603994407358921e-08,4.4510707154131055e-08,1.61690217343309e-07,1.989340702124745e-06,6.706101931110072e-07,6.081918907744346e-07,4.3570538020928887e-07,1.4995178544906184e-06,5.671722017105375e-07,7.520972177057658e-07,3.4448863723314235e-08,8.309905801040481e-07,1.5867372238582314e-07,1.6273815780433155e-07,1.1415549674223188e-07,3.3745667097395284e-07,1.405371526159681e-07,2.4390539942005794e-08,3.422649509569235e-08,3.175717314733447e-08,8.550163738883231e-07,3.626016975901412e-07,8.47436980857636e-08,7.627490676578264e-08,2.2243037128026206e-07,6.374221785142178e-08,9.764636751396109e-07,8.271936804555613e-07,0.0,2.4188377973320103e-08,7.086982840648114e-08,1.0226112054756484e-06,2.8710299173764537e-08,6.536898918529192e-07,8.134346859390165e-05,4.650346546516344e-07,1.878582786000169e-06,5.213121551293875e-07,6.915516858314441e-07,3.969122705123788e-07,3.120799402360196e-07,8.134346859390165e-05,1.8358167931092803e-08,1.361287503734485e-06,1.2315017770208377e-05,5.903204561531486e-07,7.618625993496257e-07,2.9908754350424374e-08,1.4282119213602777e-06,2.8400512799098824e-08,1.5198034783001872e-06,8.633248531338651e-08,8.024910220675257e-08,8.291229974356068e-07,4.547795832426629e-07,7.247078239110029e-07,0.0,1.0166177048731313e-07,1.3917468167937245e-08,1.849840949185313e-07,1.5460433379108088e-08,7.450157639746984e-07,1.5297054945364835e-06,0.0,4.939795074308195e-06,5.962031652071713e-07,3.7731523196591704e-07,3.832321598617152e-07,3.7475210162178157e-07,4.658187033734855e-08,6.817581537262802e-07,2.5723705521137883e-06,3.062975687334639e-06,1.1729212593698748e-07,2.329853256132017e-06,1.0019977083854147e-07,7.283145264425595e-07,6.71412907140394e-07,5.6660109593764105e-08,7.559914514524966e-07,2.171301665057195e-06,7.3991022486589e-07,1.4765894069347147e-06,7.55745493955236e-07,2.7160631393182126e-07,1.0783845940767718e-06,0.0,1.294688899678131e-06,1.837135301449908e-06,2.446791714058219e-07,4.062572609816853e-08,1.0888600351797495e-06,6.841597312374372e-07,9.95651610243268e-09,6.871369860733936e-08,3.1452577880705354e-06,7.836577056701193e-07,3.2872319754862737e-09,6.963912426274442e-07,1.5824904560502802e-07,1.75342916906843e-06,5.2389737789805807e-08,7.625609449341543e-07,3.4963981996909196e-07,1.2196255154336178e-06,7.821950387793222e-07,6.424523079170444e-07,3.628207747415826e-07,2.530797067946998e-08,1.7841777270121543e-06,1.6088657265342833e-06,7.74778756621156e-07,1.7850117928631463e-06,4.440198156349051e-07,2.8779530380602303e-07,7.112590491541758e-07,1.1628006515385688e-06,1.1188822564978802e-07,7.541566657175456e-07,1.1743036384306321e-07,4.916139441474809e-08,1.3637895357757977e-06,1.0319943315637314e-07,7.541566657175456e-07,2.571265690587962e-06,1.2678472795604032e-06,3.796348392574763e-07,7.541566657175453e-07,1.1743527990692728e-06,9.344440054140907e-07,1.474189040639949e-06,6.030271473865176e-07,2.888308323938852e-08,6.793026414080683e-07,1.526870210887827e-08,2.579523692399781e-06,3.120799402360198e-07,4.306496105708134e-07,3.374553911134428e-08,1.1442148787631921e-08,3.0306650074650756e-06,1.0209973667317285e-06,3.2456657832702206e-06,2.559147930413483e-06,1.7804388391736462e-08,2.887739227273976e-07,0.0,5.651669936747254e-05,6.41225733153869e-07,2.8561129616829143e-06,1.3690322696957222e-07,5.0995755798456495e-08,1.6027829656135242e-06,4.0787477551579364e-07,3.9208612267759785e-07,1.8792139832353868e-06,5.137997927210048e-07,3.422961490828952e-07,2.7505846812657236e-08,1.323944169120117e-07,4.457966138243673e-08,1.798650597583336e-06,7.539975488483476e-08,1.4838926419517861e-06,8.367102242414171e-07,1.146064010600398e-07,8.898465016212127e-07,7.396560208942072e-07,7.340929692721742e-07,1.005943258131421e-06,7.01528953376653e-07,3.3892946007846345e-07,6.868342223269258e-07,6.809271773687108e-07,1.5246344943508046e-06,4.631515615602072e-07,4.089075575744281e-09,6.537018236790374e-07,1.2538597213008859e-06,9.24147171679447e-08,2.1459121084825995e-06,2.7610525465951573e-08,0.0,8.976963669599815e-07,2.6268035172375326e-08,7.076628809651627e-09,0.0,8.614199869906707e-07,4.604836688160451e-07,3.790754966796581e-08,8.655982330905699e-07,5.884527011195042e-07,5.304689903151616e-07,7.01528953376653e-07,2.3080216558511212e-06,1.8399534889392115e-06,1.562318552387593e-06,1.7071500018349027e-06
