,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.409407934212831e-09,5.320552387206234e-08,6.241283549813544e-05,4.091201933534918e-09,1.7547540849213728e-09,2.605898373192404e-09,2.1654841980438485e-09,1.5649758846945235e-09,1.610258973466742e-09,1.8659070979085786e-09,1.9770226439261206e-09,1.9578137263066185e-09,3.1071462617286092e-09,1.7889524290027758e-09,1.877067881644542e-09,1.992954007530253e-09,1.961520369446439e-09,2.722418150598116e-09,2.163744491131409e-09,2.426878799496674e-09,2.049881678987534e-09,2.167013592657513e-09,1.4456418513423104e-09,2.634581711528023e-09,1.5170726769299208e-09,1.8389210503479382e-09,2.077252343806897e-09,1.8453629432255323e-09,2.070674184364861e-09,1.2934625557124092e-09,2.021750069050227e-09,7.445388355320707e-10,3.3770166846046817e-09,1.9968804115489373e-09,4.6005945750025175e-09,0.0,3.5080197422598973e-09,1.9611887780349298e-09,1.5876712529179004e-09,1.7889524290027758e-09,1.8805454398276077e-09,1.990456649673162e-09,1.8622901085076682e-09,2.109754633237949e-09,1.8686381919333724e-09,2.1017697942298492e-09,1.8764166287004617e-07,1.9250332752647786e-09,2.0717578518429224e-09,2.037656147693246e-09,2.392027369007758e-09,1.5338263470494083e-07,9.28576871793108e-09,1.7188484624711997e-09,1.789202639474077e-09,1.7428185057568995e-09,1.921964923996629e-09,1.9864817687845844e-09,2.7206438217955426e-09,1.6459446726140236e-09,1.9720602595605837e-09,1.744501639119355e-09,1.896075129152809e-09,7.568122445004193e-10,1.9588199614834664e-09,1.988003495286502e-09,1.9864817687845844e-09,2.7906567889817654e-09,1.9443453363034723e-09,2.3425163338581957e-09,1.9516451609522846e-09,1.8479402835252683e-09,2.089117449394388e-09,2.063225326660403e-09,2.1718013434628176e-09,2.093035723190369e-09,1.8621144405749913e-09,1.0031584707547222e-07,1.6451391950146593e-09,2.089117449394388e-09,1.6099013006563736e-09,2.036634146877964e-09,2.2590403813786724e-09,2.0026322088871367e-07,1.9279665783597178e-09,3.3395104465035877e-09,1.538206341867969e-08,1.5063588101505653e-09,2.6405602336257608e-08,2.0179918577646627e-09,5.25557948499573e-08,1.8522137508159e-09,3.7691569361321194e-09,1.866328139466411e-09,0.0,8.015909613535581e-05,1.8577836216335247e-09,2.5880137307665466e-08,1.7966347195217924e-09,1.8998852714066425e-09,5.0301150913706414e-09,1.881162880449514e-09,1.8467880371294682e-09,1.9888720879275494e-09,1.9154976965030534e-09,2.2014632997323303e-09,1.7273647127862398e-09,1.6529821742197382e-09,9.097716985273286e-06,2.158961128640697e-09,1.8019529737763417e-09,1.7032854219459117e-09,1.8810585380478573e-09,1.721987521841866e-09,1.8725872390547515e-09,1.8221682750468668e-09,1.2965658009254516e-09,1.845557973941578e-09,2.357698908488978e-09,1.9268062106582014e-09,2.0707786093598825e-09,1.8327484736467404e-09,1.838625347911556e-09,2.422242807749167e-09,0.0,2.7408329545309948e-09,3.9033668149534516e-09,1.9026078551940896e-09,2.1124265941527964e-09,1.962346523281199e-09,1.8368773510739587e-09,1.5609121509048396e-09,1.8044401511642136e-09,2.051884020021936e-09,2.0383338091313017e-09,1.99021812121385e-09,1.3770948802515277e-09,1.7891032270485278e-09,1.8962939253785653e-09,3.580809939019449e-09,2.2237631026771737e-09,1.8519946348371916e-09,1.8282602564578488e-09,1.8477100155021516e-09,2.6734193842283084e-09,1.86346228252273e-09,1.2649051865025811e-09,2.123752515714244e-09,3.091731056756578e-09,1.9696421361245226e-09,3.6063747118317728e-09,1.8978541748783144e-09,2.085860173735045e-09,1.8642327228479647e-09,2.2183492891319317e-09,2.4179268440958633e-08,1.8595591563891136e-09,2.386998510607926e-09,6.803432214149681e-09,3.701545289591136e-09,1.8953086167187286e-09,1.8642327228479647e-09,6.110038465044643e-09,1.3007283887879194e-07,7.3569058431603e-09,1.8445863592794821e-09,4.280910689209716e-09,1.919113322917142e-09,1.8336372658574213e-09,1.869127502927571e-09,1.840068395361646e-09,2.1406603352561992e-09,2.9120355797358473e-09,1.7144337657151625e-09,1.6451391950146583e-09,1.938349551670489e-09,2.137192988103385e-09,1.9014431841268948e-09,1.8622563883245376e-09,1.9682082292660356e-09,2.3474974800245986e-09,1.839413783343203e-09,7.728259027218323e-09,1.881162880449514e-09,0.0,3.0320490555248595e-09,1.410730332187618e-09,2.034350143145091e-09,3.178658505685714e-09,2.0792489513158966e-09,2.017586993492967e-09,2.0140006000950162e-09,1.8571007199544995e-09,1.8852410184044343e-09,3.356311723956567e-07,2.6064147775927548e-09,1.8983187032410067e-09,1.8308547405228128e-09,1.929834660403737e-09,3.6752166962082473e-09,1.288481002935495e-09,2.3294301004480493e-09,1.8073033486070731e-09,1.2440511009867642e-09,1.881214904964102e-09,1.8715751032683634e-09,2.000368879680703e-09,1.7365440472517988e-09,1.8390433330687398e-09,1.4904078426232607e-09,1.87589769514903e-09,1.85412627229042e-09,2.5940186845188896e-08,1.845698138652743e-09,1.1814314011992427e-09,1.88629481512354e-09,1.903983000803615e-09,1.6786265163639444e-09,2.128989345635818e-09,1.2214682776899647e-09,2.3869985106079255e-09,1.3851903583937005e-09,1.23783304173445e-09,1.1661442250645281e-09,2.3869985106079255e-09,3.4184387780477644e-09,2.593952311139391e-09,1.2823937086994021e-09,1.876030896330735e-09,1.866352564822791e-09,1.9942170317027256e-09,1.8390433330687398e-09,8.762775922417209e-09,4.184865785707095e-09,3.2943076494387807e-09,3.3852193527098712e-09
Agricultural and forestry machinery,3.083902390614495e-05,2.9109673507568337e-07,3.10732262628267e-07,2.890647304017245e-07,2.0490243055237855e-07,1.378392543765577e-07,2.7319651619575747e-07,3.033772079036196e-07,2.7013487107538253e-07,2.4081947889598485e-07,1.6365192202240754e-07,1.0374003304126091e-07,3.499579194144146e-07,1.6361558474832595e-07,7.992355973126919e-08,3.26825085396171e-07,1.2782826284355947e-06,1.719344314601226e-07,3.423293396931113e-07,2.3052961366902795e-07,3.113812974661596e-07,3.51753306157466e-07,1.4124258278116752e-07,2.69330163474595e-07,2.9655700235457967e-07,2.1278581282890593e-07,1.2840794618198702e-07,1.7155767300965574e-07,1.0845617461570201e-05,2.8785242242047925e-07,1.4648918950741157e-06,2.952671432519362e-07,6.83578013140476e-07,3.1913044418730106e-07,3.1339374057596837e-07,0.0,2.85605825602874e-07,1.4758822265870591e-07,2.125769745149194e-07,1.6361558474832595e-07,1.3405732566534142e-07,2.499874697112404e-07,4.100657650417427e-07,2.8562428851896473e-07,2.5460961432238667e-07,1.1388720830517733e-06,2.4622959738005243e-07,2.2258071651357177e-07,1.5120802238664445e-05,9.363368052741343e-07,1.54793096951112e-07,0.006951706944866306,2.247344471174982e-07,6.484801921214242e-07,1.6361558474832595e-07,1.935446128419537e-07,1.210437941610032e-07,1.0232627409547879e-07,2.751638884169689e-07,3.915685237452314e-07,1.8399654605855904e-07,4.659069686491773e-05,2.2283677766044433e-07,2.181251888166777e-06,2.3783105171623053e-07,1.6784868649820885e-07,0.0,1.466298374155141e-07,1.460823205666167e-07,2.956982389162418e-07,1.862286654496788e-07,2.9202738595643434e-07,1.7617968708518352e-07,1.0374003304126091e-07,2.5689778170705987e-06,1.659234637156671e-07,3.56246923501512e-07,2.729619474983658e-07,4.927448530815622e-07,1.6741774921038542e-07,4.79832128410589e-07,2.8090731772269767e-07,1.483826073011895e-07,3.2761564758733927e-07,3.295485432941726e-07,1.458023829448206e-07,2.3183900474327864e-07,1.448824024811855e-07,6.562237802136321e-06,1.7404806612539063e-07,8.54194307389048e-05,3.0710440147370256e-07,2.290516076683664e-05,3.72666090606963e-07,0.0,0.0001376209455217082,1.1792851516175195e-07,1.3271455381633012e-06,1.5178128663188097e-07,9.92855442117541e-07,3.3174528494633627e-07,2.890647304017245e-07,1.7155497896490942e-07,3.8067764185219044e-07,2.6952405053483754e-07,2.2516917783064458e-07,2.6070293796957035e-06,7.655388578622271e-08,0.0005605879012969511,2.4103590537439795e-07,2.0827286358986878e-07,1.722870364436212e-07,3.349608841162683e-05,3.244583704411114e-07,3.1471027070517003e-07,2.375097993050936e-07,2.991983073229977e-07,2.2778391759993699e-07,1.51943426183308e-07,2.986247632251536e-07,2.891921984681991e-07,2.647758838271127e-07,2.746136771459912e-07,7.465716595472555e-07,0.0,3.31248647989113e-07,2.4573768035393105e-07,1.4865469615958478e-07,1.3024443586649004e-07,1.386387273320173e-07,3.324348325217436e-07,2.0424490311801486e-07,1.9592812679432e-07,4.205378447095381e-07,3.067578269329841e-07,1.2688782134947838e-06,3.470692475628534e-07,3.1460835860972106e-07,3.0423943850157744e-07,1.7298798960695798e-07,3.5223073243689095e-07,2.217039340661192e-07,3.115385978875638e-07,2.305842125156767e-07,3.4509538512176895e-07,2.3873767558801113e-07,2.890647304017245e-07,2.0478465288696586e-07,4.111478295527472e-07,2.8556934388307233e-07,2.9416748461050913e-07,1.615513334085627e-07,2.288768939265814e-07,1.6874576420429427e-07,3.763935945724128e-07,0.00024567891871993855,2.140269173333811e-07,2.3120621550023534e-07,1.4149341814041322e-07,3.4817217038556025e-07,1.6645190829689738e-07,1.9522899520728113e-07,2.1403127451789183e-07,2.8662853178937625e-07,0.00011795430919814638,2.920611220549611e-07,1.4216911176945362e-05,3.949494463417658e-07,3.793759778935721e-07,2.787732700563468e-07,9.120253474710745e-08,4.100657650417428e-07,1.2962328883148222e-07,3.3159753000111064e-07,4.927448530815623e-07,2.3251153018018802e-07,2.5680087535179213e-07,1.4322834495958906e-07,1.989160848318987e-07,8.866822602266654e-07,2.1383703701935646e-07,4.980896748399292e-07,3.212917850149733e-07,3.219238323753788e-07,0.0,1.8276413836797078e-07,2.3548085819587666e-07,3.0555739063697005e-07,5.0187181962539206e-05,1.0455993119015422e-07,3.097017200813466e-07,1.1161203345210784e-07,1.7702795451537485e-07,9.324420614357161e-07,1.1517083738847583e-07,1.135053209511992e-06,2.777554841663842e-07,1.2236778097788315e-07,1.4797238696689578e-07,2.9330780524108474e-07,2.867910646896549e-07,2.7796102560266267e-07,2.75700425183066e-07,5.488602154353841e-07,6.759824858626815e-07,2.65445135804148e-07,3.0359724915388526e-07,2.9582493146489166e-07,1.719344314601226e-07,2.3168676963892604e-07,4.3700466967669267e-07,3.0379927340739687e-07,5.545495885774384e-07,2.1155231089893132e-07,3.958708173594917e-07,2.8720195112730854e-07,2.306686541264038e-07,1.5306809149760286e-05,9.039009770741051e-07,1.431165142773773e-07,2.1374246681628042e-07,3.0275760689619685e-07,2.890647304017245e-07,1.7910715440239385e-07,0.0,2.500086946261833e-06,3.8302390237694074e-05,2.8133235700435684e-07,3.2682109715628205e-07,2.7757587822376843e-07,1.4422356043136791e-07,2.901384377392886e-07,2.9330112149627867e-07,2.784172256840188e-07,4.2339205611081767e-07,7.734334233799383e-07
Aircraft and spacecraft,4.340650605938783e-06,6.406987659649219e-06,4.561050716888522e-06,5.13117325184978e-06,7.294955527547709e-06,2.4558290582780278e-05,5.688978867297059e-06,3.7160280626112952e-06,3.506052674853787e-06,7.436833078010402e-06,7.3413700358624925e-06,3.347314536202502e-06,4.4507143684009736e-06,8.462847272740955e-06,3.682851258304255e-05,5.0634716197711985e-06,5.143915406510647e-06,4.6519512661950324e-06,4.136092194098323e-06,6.216103804804141e-06,4.1833844331106735e-06,4.6467576381879685e-06,8.569908709934179e-06,5.745081422810013e-06,1.8150242275139103e-05,3.236434198068818e-06,3.7428325020735194e-06,1.0889849555563285e-05,3.0231568393153008e-06,3.320249499573233e-06,4.674918059864008e-06,3.86208755098312e-06,4.133928778199215e-06,5.255674734967772e-06,3.857078855294164e-06,0.0,1.2081650043792894e-05,5.314887308625589e-06,5.230963354769371e-06,8.212003108997067e-06,4.5076718394274834e-05,4.598520793581927e-06,4.558066491947558e-06,4.3277160034857546e-06,6.4862365476567e-06,4.824132194493651e-06,3.7454258107156463e-06,6.619555460995998e-06,4.811658818866207e-06,8.02705164682114e-06,4.006247411544702e-06,3.9095234568715545e-06,4.704929602699825e-06,5.84890593454292e-06,8.462847272740958e-06,9.25359804402216e-06,3.331664022579389e-06,9.152826296386289e-06,3.6137601322691145e-06,9.51357977872052e-06,6.354790385456809e-06,3.920599586865984e-06,5.872886948837715e-06,3.2596024077604976e-06,6.554943011290294e-06,2.428264477657711e-05,0.0,2.1969488567118396e-06,3.6231358781746853e-06,5.395652076144282e-06,4.323894121285678e-06,3.969627294938249e-06,7.61331826006941e-06,3.7428325020735194e-06,4.326885160326163e-06,9.10931262086328e-06,6.703814088014769e-06,5.109448931783426e-06,5.217619427218428e-06,7.644571909077694e-06,5.236582761515739e-06,4.7661727556275885e-06,4.3664359871107525e-06,6.660107775086232e-06,7.659535831532557e-06,4.3980345793900665e-06,6.047257810185514e-06,3.644602485942332e-06,5.229440006029035e-06,4.3099786431100134e-06,4.19959298052459e-06,1.0957034584591937e-05,3.3706304051036633e-06,5.507372956860672e-06,0.0,4.084833351189828e-06,9.129254378870302e-06,3.3295289579210505e-06,5.556142692959729e-06,4.831864377970331e-06,4.743114368482952e-06,6.0296873203142134e-06,3.888765655770929e-06,6.958106922441881e-06,8.895442947124365e-06,4.078444034751955e-06,3.5712364224796095e-06,1.7678669343767733e-06,3.2956480980974728e-06,4.326885160326164e-06,3.951968015154937e-06,4.653646388196062e-06,7.3146758456353e-06,4.084521161988511e-06,3.6434427214977153e-06,7.628764742137754e-06,3.204296188781301e-06,9.229245865908971e-06,4.360427467371791e-06,5.316083139227833e-06,5.136886380558274e-06,1.225803429583194e-05,9.474529627279576e-06,3.84948161842162e-06,0.0,5.174407770442141e-06,6.88887109429202e-06,4.946878069235225e-06,5.762637069982302e-06,5.5829903214058276e-06,6.520093993715545e-06,2.59959304548384e-06,1.0294943048909137e-05,5.202515615150953e-06,5.726684785510974e-06,3.423745438421899e-06,3.939969322806673e-05,8.133850027363701e-06,3.783894267302339e-06,7.739790587259653e-06,3.7929247048335655e-06,1.136513562713546e-05,3.3197411468799894e-06,0.0,4.172642489904497e-06,3.0159496217916515e-06,7.246681829341048e-06,0.00013441116592747784,3.5097186560999367e-06,4.3954455837521536e-06,6.451810239409855e-06,3.895084252815612e-06,3.6724383456688543e-06,0.0,4.811110123461529e-06,3.4500413442472507e-06,2.9207845840403764e-06,5.220567125574115e-06,3.941661884956853e-06,5.100823084533161e-06,8.462847272740955e-06,5.4925126388019215e-06,6.206599977908004e-06,4.9429740034945865e-06,5.452659366032704e-06,3.742832502073519e-06,4.875098422289311e-06,5.7368110260120955e-06,4.05335843656668e-06,6.395639330218327e-06,1.1950296475391038e-05,3.5575096607436476e-06,4.3980345793900665e-06,5.762786762414707e-06,5.217619427218429e-06,2.9660063397324115e-06,4.737093964556606e-06,6.766538626353573e-06,3.5575096607436476e-06,4.300176359561124e-06,8.01020301090784e-06,1.017940545746733e-05,8.662932299200611e-06,6.0296873203142134e-06,0.0,5.163410785300879e-06,7.837742137624313e-06,2.265851146280835e-05,4.377616216607863e-06,6.068147555618744e-06,4.416503374040882e-06,4.978334921711343e-06,4.83766341072958e-06,9.276961338617988e-06,4.74883029625618e-06,4.611046605222666e-06,7.408806501209262e-06,2.7937714042342788e-05,4.234575152183664e-06,4.9318437457606344e-06,3.575806330187173e-06,4.33603963720425e-06,4.915516307478035e-06,5.594044277737478e-06,4.457005765440708e-06,4.864757851747752e-06,5.072544097822578e-06,3.921370251200068e-06,4.691872985568457e-06,3.830764645720588e-06,6.6007956167059306e-06,7.033113766266436e-06,3.483405857858617e-06,3.817103609819417e-06,1.800576573531359e-05,3.951968015154937e-06,3.7023653187265227e-06,5.74296479431182e-06,4.749933193705745e-06,2.384742200472888e-06,5.223233946507527e-06,6.267795602388898e-06,2.9207845840403764e-06,4.524021695331958e-06,7.644571909077693e-06,3.335961897818248e-06,3.916486952083268e-06,6.265885728081761e-06,3.863235354702256e-06,8.244830549776036e-06,1.166773320225633e-05,4.2794687945325324e-05,5.554904482652255e-06,8.4725248707028e-06,5.715515798753098e-06,1.8278338121484414e-05
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,3.201545841412267e-11,4.694714462342069e-11,2.5644024364523753e-11,1.4972002591588167e-07,1.0745299679836108e-11,4.1478497232602843e-13,5.701183918135267e-11,3.263926830477664e-11,1.2784096612166018e-12,5.7397631864457694e-11,4.247839056127028e-09,6.496571691804691e-13,8.349201917630165e-07,3.144502738757257e-12,2.6203526211886467e-13,2.3818269043334175e-12,6.922796698154277e-11,7.847673732912453e-13,5.460337435670179e-11,3.6827014992451994e-12,4.0770371787608595e-11,8.182258551751482e-11,3.045445207430399e-13,4.516860704523372e-11,3.870688333220297e-11,3.792268347964812e-13,2.6653016237681367e-13,2.1429504139532537e-11,2.4013684637184357e-11,1.4097538797898668e-10,6.544388179135426e-11,6.363099682421623e-11,4.060053281650162e-10,8.453308880827451e-11,5.47106279098946e-11,3.5339371732078174e-11,5.777137015023722e-11,3.8299136264323676e-11,4.247839056127028e-09,3.1445027387572573e-12,1.7992249385252814e-12,1.2457180216503896e-10,8.638923847042603e-11,2.310000386787043e-11,2.5860454432452104e-11,6.571350839861701e-11,4.521153535498572e-11,5.233324100535679e-11,1.5461755539041112e-12,6.286224395184986e-11,5.458720977199043e-12,1.5107958636367006e-11,9.113875028479313e-11,1.3550790418664825e-11,3.1681714843549097e-11,8.82989457201728e-13,2.8565445899180434e-13,4.2087888034411453e-13,7.506993085860956e-11,4.0488712895298417e-10,6.496571691804691e-13,3.5339371732078174e-11,9.498422470598003e-12,4.9766394698585206e-12,7.023378170206391e-11,5.865494038295918e-11,0.0,3.951608303670561e-13,6.266406853032349e-13,5.083769019380336e-11,1.856318951599883e-12,5.517993782157553e-11,5.513566111619926e-11,2.414904058327284e-13,1.0460315901463191e-10,1.2240168222394132e-12,6.88869078945091e-11,1.9757074905696382e-11,3.634899593800942e-11,5.513566111619926e-11,3.879292627817258e-13,5.081655654537889e-11,8.665881529317772e-12,7.1596321653977e-11,4.335358285203165e-11,4.3634687512834506e-12,4.004572826002962e-11,8.670480572330902e-13,1.605977943805677e-07,7.273706107985144e-13,1.57409581755846e-11,8.543026005588311e-11,4.589634022323221e-11,7.967517755602567e-11,0.0,1.958329574951785e-11,2.148192572349589e-13,7.29597865056963e-11,1.568606132622562e-13,8.259893235772455e-11,5.4710457330966986e-11,0.0,7.348126602741713e-12,6.42746663568816e-11,1.685460820709727e-11,1.5200735172809728e-11,4.897596374710952e-11,8.829391249988608e-13,0.0001456971097622822,7.00638610986181e-11,6.837180375146498e-11,1.2319522823032056e-12,5.828093115482056e-11,1.1574264477748842e-12,7.710823323407495e-11,5.5977534107995384e-11,2.5677668184454324e-10,8.77583074654137e-11,5.47782563093896e-11,5.951633001732445e-11,2.162506855570618e-11,2.5248167755266882e-11,2.1537985108104988e-11,4.2382064065688567e-11,0.0,6.772394868274909e-11,5.6406566812159604e-11,1.3475062819599006e-12,2.77138249619751e-13,1.8342796810915074e-12,8.020965202990216e-11,2.4965595454683603e-13,8.051370114313885e-13,5.288133537405409e-11,6.985606225223834e-11,5.689445997333462e-13,5.902840365896455e-11,1.9416794560610677e-12,2.6919125627641832e-11,1.7521656726911464e-12,6.555694526736798e-11,2.12112388321746e-12,7.512615377492102e-11,8.647359711824289e-11,3.378152004806865e-11,3.918876564976911e-11,2.7149420714238198e-11,5.677582577821523e-11,5.899672840528708e-11,7.967828814202988e-11,5.722381281153618e-11,1.7891098634120085e-11,1.3219890913939674e-11,4.8063488680913745e-11,6.59420524534557e-11,1.4850763188284018e-11,5.095351076868054e-11,2.695326811681522e-12,4.48311597214509e-13,5.912539186931346e-11,8.157631008222001e-12,5.095351076868054e-11,5.603555794770845e-11,6.531688237557656e-11,2.712058203575797e-11,5.095351076868054e-11,1.7692050720206573e-10,6.721638729784249e-11,7.918163403959295e-11,6.344425162990895e-11,2.08646383790396e-13,8.617934511191649e-11,4.831500390358746e-13,4.923278327560927e-11,3.634899593800944e-11,2.5879036460422944e-11,8.953352201066062e-13,9.927675760649064e-14,2.940186111450069e-11,5.205271599021843e-11,4.635932746778136e-11,5.912092431139539e-11,8.621548086415409e-11,2.8029586012228404e-11,0.0,5.493723505550695e-11,7.46121840867855e-11,5.914944041644622e-11,2.278372266030689e-11,4.5249850669641887e-13,6.724913588553787e-11,2.9734081099348405e-10,1.7972089105947172e-12,5.622921163718147e-11,1.0466919495053744e-11,4.308632062325294e-11,3.80361922782347e-13,7.524366096563206e-13,3.0297967978506016e-13,5.688199972496601e-11,1.4992478526088075e-10,4.987334761980867e-11,5.386689766983255e-11,3.343167302640371e-11,2.2579619641309175e-11,4.7064915892853025e-11,5.60308525750229e-11,1.2054844940656659e-11,6.514531013036448e-11,3.163989282840613e-12,7.987979153731096e-11,6.511963164372156e-11,4.137016729969232e-11,5.5354850300814745e-12,1.4018263602795569e-13,5.520194593732488e-11,8.151849173943501e-11,3.669458836859894e-12,5.6199930424262825e-11,5.11837151969495e-13,0.0,3.212898764950472e-11,2.902236289850404e-11,2.3434845468104883e-13,0.0,2.031223280363017e-09,5.700141159389892e-11,2.881734906250019e-11,7.103586064478546e-11,6.495753419280699e-11,1.6027614543039123e-11,6.514531013036448e-11,5.96947418536604e-11,5.637846101783818e-11,6.129312937395094e-11,5.601001906463201e-11
