,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.913342180901355e-09,1.1269346507300006e-08,1.2613709836088575e-08,7.467612455383345e-09,1.523077605796008e-08,1.373258456369275e-08,1.1416331562876525e-08,9.165789402953794e-09,1.0061427027416677e-08,1.1292314695403364e-08,1.160168238850238e-08,1.7342675066536914e-08,7.950952019159891e-09,1.0600223736442377e-08,1.2269140634046043e-08,1.1086767717826443e-08,1.1712924479285221e-08,1.846481094432568e-08,1.2005521178730051e-08,9.122876102673081e-08,1.1522317948962845e-08,1.1317081864158675e-08,1.1429159575980547e-08,1.1454002204515458e-08,8.768466682450488e-09,1.3026455055486446e-08,1.4139311468001567e-08,1.1668281923521947e-08,9.298751100380986e-09,7.424654922341601e-09,9.781168465080017e-09,4.467522010492835e-09,9.105353512508243e-09,1.1186807398684473e-08,1.1398144330156974e-08,0.0,1.213309625268748e-08,1.3234433897342838e-08,9.138235516925437e-09,1.0600223736442377e-08,1.2694688147096596e-08,1.0543281053074624e-08,1.1276493164009728e-08,1.2080123171156319e-08,1.14938484406846e-08,1.102008080312118e-08,2.112878645337299e-08,1.2414493686225514e-08,6.046423475166388e-09,1.1728055127985519e-08,1.5932560212729406e-08,9.688394540729747e-09,1.3365090006480321e-08,1.812265334517874e-08,1.0602793336357377e-08,7.539139868203206e-09,1.4114299816630424e-08,1.3598151228034553e-08,1.3234831115585059e-08,1.1290101478344545e-08,9.912610324461209e-09,1.6590662604918043e-08,8.113587016356656e-09,1.2833578034592235e-08,2.9053562678091974e-09,1.1726913576166035e-08,1.1459513170984529e-08,1.3234831115585057e-08,1.3747192892815474e-08,1.3627011622708137e-08,1.138229126565798e-08,1.560337635432496e-08,1.1206014474050445e-08,1.4159131370860381e-08,1.411913006585211e-08,1.190304289854457e-08,1.711239118197049e-08,1.1081429419630799e-08,2.630534054881364e-08,1.0414130690611058e-08,1.4159131370860381e-08,1.1970448853343814e-08,1.135103810904406e-08,1.3977791589218463e-08,1.1610897259438263e-08,1.1846207981909888e-08,1.2682315766169668e-08,1.1867626644071792e-08,1.3056051202764665e-08,8.619068313680965e-09,1.9952593295935884e-08,9.745065948872875e-09,1.1211590346697988e-08,8.21561166071169e-09,1.1276998456042315e-08,0.0,9.479168535631752e-09,1.6748552972327086e-08,8.688760250676916e-09,1.2879728252921807e-08,1.1248442592622459e-08,1.1393569936517233e-08,1.1112768620809638e-08,1.1672506013937103e-08,1.1395062623758107e-08,1.1014085493998933e-08,1.544644169787636e-08,1.1221016881618105e-08,1.3358424343802308e-08,9.222356196653844e-09,1.1959491032649992e-08,1.0841074529964745e-08,1.0797047498097009e-08,1.0357732013102605e-08,1.1048025992295718e-08,1.129192410054096e-08,1.0946865369156771e-08,7.454832113965585e-09,1.1231082491013566e-08,1.1426042189718996e-08,1.1483553650376908e-08,1.1621086726623963e-08,1.1287983150684074e-08,9.179536898023377e-09,0.0,1.1616112088831525e-08,1.8221261711305227e-08,1.6043216488877883e-08,1.66361762175376e-08,2.0292407601967963e-08,1.0919331759863084e-08,8.936232299270532e-09,1.2676220971530951e-08,1.2723163605832988e-08,1.147912521133384e-08,9.561916602097306e-09,7.840732237216938e-09,1.2558059263159385e-08,1.2377412128693998e-08,1.7571705530976932e-08,1.1322288380740883e-08,1.3020535281987067e-08,1.1219262220122036e-08,1.1235839942990422e-08,1.1541665935369928e-08,1.1597626860645032e-08,7.25285274418406e-09,1.1468643047055119e-08,1.1360484068887612e-08,1.1122704975958594e-08,1.1826302451686577e-08,1.342980147215595e-08,1.1807174267931596e-08,1.1612511515584312e-08,1.1544986681170121e-08,9.758973150320576e-09,1.1549666460528708e-08,1.0235257476325343e-07,1.2680569101919765e-08,1.1333977306192188e-08,1.0599984744594408e-08,1.1612511515584312e-08,1.1713810244335613e-08,1.1272948801439168e-08,1.0390237817316446e-08,1.148714416018459e-08,1.001961852032322e-08,1.1187163466951733e-08,1.0866711006068815e-08,1.1180145828001824e-08,1.1693236237410105e-08,1.1409153423689467e-08,1.789556141210387e-08,8.297742944205328e-09,1.0414130690611058e-08,1.226864931063019e-08,1.1590664559922305e-08,1.565695351635352e-08,1.1680185412067838e-08,1.1397433560340793e-08,1.1517206141262116e-08,1.1129260074381548e-08,1.3332868472941187e-08,1.1112768620809638e-08,0.0,1.3061673859245296e-08,8.181881570846314e-09,1.1819417630017571e-08,9.451831331949562e-09,1.6541373890348795e-08,1.112589803371872e-08,2.5219133161105126e-08,1.3729620275798243e-08,1.1027896835253137e-08,1.5452229621110253e-08,1.4097143311265396e-08,1.2863231576207147e-08,1.285825730188158e-08,1.4216915650500518e-08,1.1641105311413149e-08,9.051716668341816e-09,1.2194666532586137e-08,9.70334250416865e-09,7.068212414926866e-09,9.578283925639563e-09,1.2110130736144439e-08,1.1352496785926237e-08,1.0805735732042966e-08,1.113764829080832e-08,8.603760082882215e-09,1.125478353257235e-08,1.1243345080138878e-08,9.404573445900577e-09,1.2653336895196032e-08,7.075219511006779e-09,1.130514384899205e-08,1.132535752920402e-08,9.665938431222689e-09,1.113119352865456e-08,8.047564918878644e-09,1.023525747632534e-07,8.42637841402315e-09,7.026008540077653e-09,6.369009654594194e-09,1.0235257476325343e-07,9.635273567720561e-09,8.228095891937979e-09,7.646447143637875e-09,1.1261043202649823e-08,1.1332587827832506e-08,1.3246513898070651e-08,1.113764829080832e-08,1.1267996065067776e-08,1.1719935633664e-08,1.149930741381842e-08,1.1674616193489447e-08
Agricultural and forestry machinery,6.158714145146435e-12,2.1387715445597807e-11,7.079449794912218e-10,3.6343326300483094e-12,1.7281824054930254e-11,5.6434256263700604e-11,2.0789609756808504e-11,1.9088952254782616e-11,2.1526816577446197e-11,2.462876246267409e-11,8.189391976243246e-12,6.901781592162904e-11,7.908966552686871e-12,8.185194395209932e-12,1.5250050657906387e-11,2.9281532628569106e-11,1.0137770319474132e-10,2.8280186537664224e-11,1.1478641171873026e-07,1.9471644459674587e-11,2.1833973878982e-08,1.9802788395849104e-11,2.3897756090955255e-11,2.528385945719375e-11,5.559739309818554e-12,2.1286726262118652e-11,6.759304931729969e-10,1.9103825095196564e-11,8.146403654220223e-12,8.447628170320582e-12,2.0831528873069498e-11,2.1254380941256654e-11,7.824119215117207e-12,1.797668483406244e-11,2.5623646446699945e-11,0.0,2.1421357054535646e-11,5.201794213714151e-11,1.0545967543714045e-11,8.185194395209932e-12,2.678994779271743e-11,2.2786397610663842e-11,1.4893299479458528e-11,1.2479647847210114e-08,3.3321960731425495e-11,4.661172560570364e-11,1.312884723356611e-10,2.4437275157363294e-11,1.5733362120042346e-11,2.0190343078183833e-11,5.797485567470298e-09,2.9165327377654774e-11,2.57285883199257e-11,1.0832560970255356e-11,8.185194395209932e-12,9.48819849063103e-12,1.6677556076064494e-11,1.6248606353291065e-11,1.2654374268014765e-11,1.708580129232798e-11,9.999277892097206e-12,2.106238812785227e-11,2.4983381336961258e-11,7.508223665682876e-11,1.8661712091126455e-11,2.3174853813510677e-11,2.086949778349803e-11,0.0,5.4210543580991276e-11,6.314448481405469e-10,1.8215083895368453e-11,2.380514076787067e-11,2.107416900961368e-11,2.3917298352913242e-11,6.901781592162902e-11,2.1076565766372844e-11,1.96137066488402e-11,1.1422166601886383e-11,2.6466605356818473e-11,1.5783433955674423e-11,2.3037704278785077e-11,2.4976146544581066e-11,6.866470157494361e-11,5.158525115946236e-11,7.997476651829763e-11,2.811621975268771e-10,5.434131582193008e-09,3.616300989263646e-11,1.7177614689893054e-11,1.4172578462473435e-11,2.013765760314536e-11,1.7029036816869465e-11,1.80841373837452e-11,1.176315019305437e-10,1.5312751434150014e-11,0.0,1.5950739023188652e-11,2.6561838381969797e-11,1.1290810598642404e-11,1.9684139963005267e-11,1.7428680033721374e-11,2.6731998454499183e-11,3.6343326300483094e-12,2.7263206057441784e-11,1.87022174669103e-11,3.051668070758951e-11,2.6098449908042117e-11,1.627218736571431e-11,1.1603860954911317e-11,2.7314504885202918e-11,2.4982038229204863e-11,2.092785277590685e-11,1.4364239755069578e-11,6.480772008000704e-11,1.8438124435243348e-11,1.9658715312608754e-11,1.977599817329815e-11,5.046234481386252e-12,2.005120482695094e-11,1.5875319642690407e-11,1.9108364594990935e-11,2.3834387484927486e-11,1.4673388131991355e-10,6.52681287130627e-12,0.0,9.809897606379299e-11,1.938465374965721e-11,3.2287388685242265e-11,2.2032520967568192e-11,5.3553587218548157e-11,9.770874045875338e-12,6.796035626024116e-11,2.1062543722867225e-11,2.3719423349152946e-11,2.944735658353821e-11,8.435433378328366e-12,9.104042089888654e-12,2.3391649914350222e-11,7.392583257909354e-05,2.0016148946595193e-11,1.8809469534871115e-11,1.241179327544326e-10,1.638766879173256e-11,1.968040574951745e-11,7.56541994187859e-10,1.1715899548216385e-09,3.6343326300483094e-12,2.935469692089108e-11,1.1893881256428101e-09,1.7232471478850436e-11,2.2994292047525054e-11,3.433073028788294e-11,5.451936895860808e-08,1.1048507060965112e-11,2.5399957321308467e-09,1.786366421642503e-11,1.8406291366495947e-11,1.9227611680860975e-11,2.1201794274224264e-11,2.2097507007026995e-11,8.570573614685397e-12,2.582962172017116e-11,2.3002616570875203e-11,2.198660860212591e-11,2.8501516491755615e-11,2.140100819501105e-11,2.2301889591975206e-11,1.8270670876744368e-11,1.2472622436110112e-11,1.403223983342163e-11,1.180969135313273e-11,1.4893299479458522e-11,6.4276780796227e-09,1.9966209752739772e-11,1.5783433955674426e-11,8.843359034839068e-11,2.4765675568924227e-11,2.1058277862919168e-11,1.9012357460502392e-11,2.0850799269011844e-11,3.638446071160443e-11,3.069040140190376e-11,2.165013377451777e-07,2.014262511462224e-11,0.0,2.281774621062322e-11,1.808726396942328e-11,3.276621447825479e-09,1.4437193027779149e-11,1.3153879865375893e-11,2.051755544185569e-11,6.478864144996922e-11,2.240779886575466e-11,7.534410534184412e-12,4.567931507634021e-10,1.926598288150506e-11,2.241294046171335e-11,1.9062429048015198e-11,2.129211058192521e-11,2.6538601646772747e-11,4.352415702071075e-12,2.2386706809056505e-11,2.383812528677423e-11,6.982284114523323e-12,4.573859636059614e-11,3.5509695559681317e-06,1.9826629445868135e-11,2.17674532048333e-11,2.8280186537664224e-11,3.070077418735008e-11,1.5790202328091488e-11,1.8965598967633776e-11,1.2697957870181492e-11,2.547025712459721e-11,4.760471103134611e-11,2.0928187298188364e-11,1.9669224473153087e-11,2.8850267680647456e-11,2.1872660237859328e-11,1.3850047167273256e-11,1.1405838769961926e-11,1.8102441236672243e-11,3.6343326300483094e-12,2.711824143898679e-11,0.0,5.649911687460777e-12,1.4449584167332243e-11,8.780840788153074e-12,1.9664417733886175e-11,1.7942329379042554e-11,4.752260476822224e-11,1.8715345903915927e-11,2.41931760582076e-11,2.1446761278356246e-11,2.5399575943708584e-11,2.58944203384296e-11
Aircraft and spacecraft,7.584619783732349e-07,9.192953671698489e-07,7.536072794442019e-07,8.099214938448302e-07,7.921566671155059e-06,2.43668419418312e-06,1.0629250140490095e-06,9.013797272715421e-07,5.557261770515634e-07,1.2775701630650538e-06,8.663265489916336e-07,5.388181965152643e-07,7.320268030492185e-07,7.975364884563749e-07,1.004075082365849e-06,1.018710068088432e-06,7.491181264926014e-07,7.898617005313866e-07,7.278850647155896e-07,1.280793159582715e-06,8.351320792989059e-07,7.488756049514337e-07,1.559879077338795e-06,9.226714154945245e-07,8.636735889875476e-07,8.898922964511144e-07,4.7342410661928594e-07,8.979398061162015e-07,6.157885829528764e-07,6.528624239821089e-07,8.402807280163429e-07,8.57119192445726e-07,1.0377946931139805e-06,9.53782395848653e-07,4.888080895444952e-07,0.0,6.945296544151569e-07,8.954370837480511e-07,7.922596970805701e-07,9.706768415776911e-07,4.274168607673452e-06,9.282986970211979e-07,7.384597681612874e-07,5.785569053368465e-07,9.118908710400772e-07,7.177407976562843e-07,1.0652392585314987e-06,8.181484264734308e-07,6.611458709334943e-07,1.0373193078624096e-06,6.517900242449279e-07,7.207131041181278e-07,6.640019111502555e-07,1.1495569314826552e-06,7.975364884563751e-07,2.519492648851336e-06,1.1641533379723642e-06,5.414058187804987e-07,9.236501156288075e-07,7.132544613400664e-07,1.5077247541689149e-06,9.65363244199098e-07,6.973669730815168e-07,9.536429402998116e-07,6.48873471631252e-07,9.548915957372823e-07,2.5638150932783566e-06,0.0,4.207536702208615e-07,6.642747154997319e-07,9.712373282984633e-07,6.307360334922076e-07,5.239712796857399e-07,1.3570832828378554e-06,4.7342410661928583e-07,7.187691275723955e-07,9.24541373198125e-07,8.469702208045247e-07,6.31898342912337e-07,1.2225637276619202e-06,1.362335299401737e-06,7.569617295492237e-07,9.040614508075236e-07,1.4142884748548158e-06,9.140010931211924e-07,1.36340984644148e-06,6.296286333549386e-07,1.0823890626371428e-06,7.178223856356012e-07,7.921539462990269e-07,7.872478723778965e-07,6.348863037654621e-07,9.103056952362982e-07,6.543785574175957e-07,8.84376540555162e-07,0.0,8.746337035173458e-07,6.571580177203586e-07,6.387784691156564e-07,8.526195015384857e-07,7.30902157971967e-07,8.367265102173028e-07,7.034025826281261e-07,5.686210743565472e-07,9.532194175465301e-07,7.531776900379745e-07,8.082864635315794e-07,1.1827783545942967e-06,1.165723497885613e-05,6.444739648995094e-07,7.187691275723955e-07,8.922953683721531e-07,7.472163341790909e-07,1.0463644945618037e-06,7.586428351943827e-07,7.189452762082558e-07,7.70290891859297e-07,6.568873097632758e-07,7.085510559496952e-07,8.650110077208786e-07,7.455853246830797e-07,8.387327443228309e-07,2.1106500145142842e-06,7.223917872698449e-07,0.0,8.811922724335452e-07,8.690796483980127e-07,8.881142624938938e-07,8.666628385421223e-07,9.303533462162512e-07,1.8462313262840306e-06,4.315324166223111e-07,8.718200276723985e-07,9.134819413122176e-07,7.915435881425606e-07,7.274800913605148e-07,3.7827736371082584e-06,1.3711171662766339e-06,6.856431907709916e-07,1.0427657428883377e-06,5.640106519187502e-07,9.246442242937892e-07,6.772717658488732e-07,0.0,4.45105738002501e-06,5.147589293492382e-06,1.2683567516133661e-06,1.586701948165973e-06,6.06155083468918e-07,1.131074269297352e-06,8.522345648332426e-07,4.975485674511006e-07,4.883766914825267e-07,0.0,1.2057204093036778e-06,6.946616175765568e-07,6.1184445562486e-07,1.2239643155575113e-06,1.4388868726435175e-06,1.71968182112444e-06,7.975364884563746e-07,9.130168838634928e-07,9.324210399202014e-07,2.364850141929548e-06,6.268155859629648e-07,4.734241066192859e-07,8.060969092225151e-07,8.013860443284323e-07,6.359106750794553e-07,7.827441283589761e-07,9.33622755260483e-07,6.81458237415838e-07,6.296286333549386e-07,8.835219121295257e-07,1.2225637276619209e-06,6.357342710270259e-07,9.285845206544808e-07,8.695725064884842e-07,6.81458237415838e-07,1.3504826537255067e-06,8.593984341782119e-07,1.372857391588353e-06,7.675003239541033e-07,7.034025826281261e-07,0.0,9.119300371479464e-07,8.445759611051268e-07,2.313896141694116e-06,8.123048421655447e-07,7.054822429032811e-07,1.5263979697634512e-06,7.381334517470708e-07,7.785477133611191e-07,1.2549123390932577e-06,7.758002902945094e-07,1.031488860251977e-06,9.921987819011602e-07,3.38675822907211e-06,9.213848351481381e-07,6.987671067875163e-07,3.669997916921854e-06,7.039224750448936e-07,9.235230219734999e-07,8.393730129470481e-07,7.28364338630965e-07,7.449934042692662e-07,1.3637429857340245e-06,7.00270648777962e-07,6.593705883549784e-07,9.631651253366064e-07,7.468274942059182e-07,8.286185577172127e-07,6.820465978416413e-07,5.154339477112049e-07,3.3940751390167877e-06,8.922953683721531e-07,8.388042902269237e-07,9.350814907126414e-07,8.132035246126068e-07,4.1672307003525585e-07,1.1132242681824451e-06,1.3221340947951954e-06,6.1184445562486e-07,7.117029985141841e-07,1.3623352994017366e-06,6.610774628386371e-07,6.76768391753564e-07,8.055354894949434e-07,7.253153713618052e-07,8.105688174855044e-07,1.1360205663241645e-06,4.073066668830776e-06,1.012086083280592e-06,9.655630775270238e-07,2.4693072071212886e-06,9.644678905604955e-07
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,2.8420876408015046e-08,8.76494742774279e-08,7.93377337114954e-08,4.78531921890886e-09,1.7840295096129462e-08,4.903508138474011e-07,1.2382357244343434e-07,2.697966367382393e-07,2.2507223491030457e-09,1.1004316466781139e-07,4.4057445105909214e-09,4.542977747790479e-09,1.829003031329925e-08,6.1992101533797944e-09,8.284787270831196e-10,4.200904470548724e-09,1.0875110943518968e-07,3.184689724446655e-09,1.008796890400432e-07,6.476381275443435e-09,6.013825206578035e-08,1.227850035665964e-07,1.5423025848413345e-09,1.2032768567372986e-07,7.953217135428915e-09,8.514327359952456e-10,8.204030648850412e-09,3.730935361271777e-08,2.1521499297873355e-08,6.7094036366261525e-09,1.831945610094632e-07,1.643960974187183e-07,1.836458085913055e-08,1.234690072893444e-07,1.0491106716138693e-07,4.4198126810863625e-08,1.149044418323611e-07,5.826583184496113e-08,4.4057445105909214e-09,6.1992101533797944e-09,1.0377641777888763e-08,1.8536323505363312e-07,1.2531001999692106e-07,1.2747144227018652e-07,1.011995947117085e-07,1.1437383126443985e-07,5.848289746431913e-08,8.60884987725335e-08,2.4570386066791257e-09,9.409638035623217e-08,1.7880766520371907e-07,2.6907570103207372e-08,3.2449287974557807e-07,1.338632959125076e-08,4.982008101851839e-08,1.00379076368806e-08,2.918125088318417e-09,4.965044827162829e-10,1.1621076285166826e-09,1.1361847150248506e-07,1.871012736445674e-08,4.542977747790479e-09,4.4198126810863625e-08,2.7003152921719495e-07,6.237516634146064e-09,5.060374021006376e-08,4.292759500610762e-08,0.0,4.934796885456701e-07,3.0836641178610522e-09,7.848283745973984e-08,9.481827223727492e-10,8.818001134236115e-08,1.0972494679385426e-07,4.921747836860553e-09,1.1308591360182473e-07,4.655700707173115e-09,1.0152661751654191e-07,1.5646435491602739e-07,7.346975958533896e-08,1.0972494679385426e-07,1.2048992116674903e-09,8.280304060744136e-08,4.0701842610649005e-07,1.1034773770980439e-07,1.1231045838073222e-07,4.4484671991471694e-08,2.58880410660114e-07,1.5503105455711714e-09,3.826217840600103e-08,4.560457863784904e-09,2.1710935553893126e-08,1.0738513428654564e-07,4.67029130339612e-08,1.2216927372233106e-07,0.0,2.6301878381553353e-08,5.329496031764323e-10,4.5267559550872053e-08,2.8272900980102723e-10,1.2137129254398267e-07,1.0490977887283727e-07,0.0,1.2235264533238236e-08,9.519122384883674e-08,3.073837183534109e-08,7.915927273591024e-09,9.24228135321426e-08,2.168859934069139e-09,3.5264922964061474e-08,1.0744790929106103e-07,1.0589271343103083e-07,2.0392715547107074e-09,1.0762393123086455e-07,1.97134443632572e-09,1.1845562587017004e-07,8.928544602085482e-08,9.007107736129339e-09,1.0451117234161286e-07,9.022199317606455e-08,1.1571646685194216e-07,9.063206329101026e-08,1.2163789413497635e-07,2.0087753221793898e-08,0.0,1.0195820864629364e-07,1.1437965863711008e-07,2.5738219953138753e-09,4.6540312968115e-09,4.091038342102581e-09,1.2113599178463174e-07,3.925451507842676e-09,1.3883282283357152e-09,6.324459682884594e-08,1.092630613460324e-07,9.196041818939539e-10,7.95047349352646e-08,3.635785761397117e-09,4.049793439078511e-08,1.5900727099609674e-09,1.1722882077586824e-07,4.134238635179147e-09,1.1075789260357789e-07,1.0717404730862022e-07,5.576564479519706e-08,1.2223416066782182e-07,4.4652544555358515e-09,1.1033591773855719e-07,1.1278007189543608e-07,1.2174403795833775e-07,1.1411170778026366e-07,6.654238819196243e-08,4.47952632164682e-08,7.937406550029727e-08,1.0886777142617803e-07,2.7600406221122e-08,8.408202904368755e-08,3.491463412528414e-09,1.7566871148132689e-09,1.0954422036863529e-07,1.4097294820871186e-08,8.408202904368755e-08,1.229302505967907e-07,1.10253114592341e-07,6.173874923325086e-08,8.408202904368755e-08,1.4061710143726466e-07,1.158733026716731e-07,1.1667236293352454e-07,9.790935782799059e-08,6.921150870401259e-10,1.2503735502657373e-07,4.162379093474664e-08,2.0140841391525855e-07,7.3469759585339e-08,8.742815224283921e-08,1.6626182423062575e-09,2.9542576361989913e-10,5.1279752115806126e-08,7.608358963783705e-08,1.2057474702400707e-07,9.964188772116639e-08,3.9837446539334076e-09,4.362737653283037e-08,0.0,1.0791277590030612e-07,1.1256341271487852e-07,1.338509147382086e-07,2.689266034495305e-08,6.982912225295301e-08,1.1982566062170642e-07,4.757881221588053e-09,4.5498033978291526e-09,8.265650193137856e-08,5.958619515384724e-08,5.851537390796406e-08,7.463815245145211e-10,1.529245722523241e-09,1.4959833493833983e-09,1.1445136926465506e-07,6.94654911280196e-09,9.881277141206336e-08,7.304515480457473e-08,2.8666920263856956e-08,4.392658832681811e-08,1.1279556502871529e-07,1.148819958252064e-07,2.0303243546393877e-08,1.0333653319946351e-07,6.4197032605903225e-09,1.1686094310290163e-07,1.0227925017381327e-07,5.908840067042947e-08,8.549183158853503e-08,4.1610519880226e-10,8.820619461181147e-08,1.2504597200545603e-07,7.00948666903652e-09,8.100561962597761e-08,9.103130649399013e-10,0.0,2.1518248183783877e-07,4.7539718860520285e-09,3.7486506471737726e-10,0.0,1.2320199008759518e-08,9.748746029404101e-08,6.224875122901414e-09,1.1595487732589496e-07,9.812612303373299e-08,2.811113680642277e-08,1.0333653319946351e-07,1.325245978877066e-07,1.1441193486588247e-07,1.1414824740363725e-07,1.0954236303865616e-07
