,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.04319628223018234,0.06040217872704664,0.06105097546008499,0.04165762158229711,0.059001110371291576,0.05880565424958729,0.06334438364179118,0.053924157967061875,0.051662423484484854,0.06035631705697653,0.058036230650666105,0.06236267868163139,0.04674102908046377,0.06482144851467507,0.06787528184207499,0.054316407211383956,0.06296401247724824,0.060844477409752025,0.06129189981071394,0.0636982284055336,0.05955450536343284,0.06215826629207032,0.04701329833878113,0.05986624596733637,0.04621630156347228,0.06143003276425152,0.06237879228242192,0.06095796218997308,0.050487888291718706,0.041068161901483706,0.05214958219788465,0.0245815955584107,0.045799980330583,0.05927807526060447,0.06192341030714733,0.0,0.06231354513076698,0.06101659124655297,0.05037322541862224,0.06482144851467507,0.05653154174054312,0.06159353661201573,0.061575143906982106,0.061534430550037794,0.05912053900632478,0.059176428639944496,0.06155765011969494,0.03295636621886903,0.061073479049752494,0.059183374058517216,0.05323576965306571,0.056219426451265465,0.045378692819803924,0.06480640755043905,0.04157732814091628,0.0553981820789192,0.0760376623082486,0.06273211025139994,0.061229097864428955,0.053824281883596024,0.06534247483837964,0.04493729790705944,0.0598788059082418,0.01708980534505709,0.058451943069181694,0.06368142952003214,0.06273211025139994,0.05851021055238939,0.06370421320846564,0.06155021522289547,0.06567876334018127,0.06127549695790382,0.06185902216697919,0.06243808444074143,0.06002296741529624,0.06452313116136674,0.060258716991483996,0.06044546447146206,0.05275575884794121,0.06185902216697919,0.054659190912469104,0.06024749163089138,0.06443883504698854,0.060434306914217945,0.06032014528123658,0.058077166557536225,0.055109320123636486,0.049215143856540064,0.046287581510816474,0.0651218379484578,0.05379121044268315,0.06086548959688906,0.04390454365688791,0.06174664210378291,0.0,0.05197819806097774,0.061255072561768154,0.04820195949228838,0.058330147137756146,0.06092351969548983,0.061968140371521735,0.05940507989200556,0.05582169429390806,0.06387257110674877,0.057871317772432096,0.0612017284144288,0.056742456686952165,0.05191349447003894,0.0502632906247141,0.06014135683721702,0.058846590471086466,0.055895370225483236,0.05539114725072868,0.05623401581809995,0.06115934766839485,0.062230671071230884,0.041378228327014786,0.06103591923368052,0.058673476195360105,0.061310939466097156,0.06016442752305782,0.05989811881140663,0.05968302857316,0.04971979362853647,0.0,0.06253279240881374,0.06161661314925891,0.06134393091277981,0.06341030657074448,0.06545907868004745,0.05963357730879079,0.042529026232037664,0.05988912801320871,0.06343405267951992,0.060818610296719394,0.05274082196233481,0.0432934490743978,0.05812823103756825,0.05892098290421345,0.06346805224279427,0.061588238914567585,0.061484243361120336,0.06032324975021079,0.06110955876017736,0.06093056664097543,0.05768687956915911,0.04025259075357363,0.058612538511249264,0.06172477522627521,0.060693804650811874,0.06215682283955487,0.05905537937384962,0.06042737682431946,0.06019553132910975,0.06361082421212512,0.05348958893861011,0.060482718457315565,0.06408922131929362,0.06096789664426293,0.06170180200352978,0.06383766252542851,0.06019553132910975,0.061309278791486836,0.06134506759723256,0.059840821549052396,0.05957064238563881,0.054789994606360096,0.06108413978989793,0.06118139649461307,0.061447571338769665,0.05881625821933284,0.0631995649713625,0.060386719547231064,0.04369833982221234,0.05275575884794123,0.060730665831091976,0.0588063489179913,0.061580714602914984,0.06145449374307203,0.0624045729726635,0.05846284285097029,0.05791736911811225,0.06339882086567668,0.05940507989200556,0.0,0.06174917898058589,0.04549210706281338,0.060241745641645666,0.051756214362909725,0.06293097172705892,0.06001241887589905,0.06029071802046356,0.06321574370022412,0.059548333438617686,0.06047690513057991,0.05020127463644642,0.06336291808661558,0.05883806912371028,0.06084425988580573,0.06158656106435986,0.04072597006563394,0.06000250577890866,0.05153199477203787,0.03970234699401769,0.05107212946986521,0.06078020924312708,0.06180287424790543,0.05751934450569577,0.060799694317337664,0.04246356692032521,0.06123717556557818,0.06125189622730537,0.04645572343472656,0.05856561757391867,0.036735838488045056,0.061469839419708315,0.06159176723362041,0.05155467023674562,0.05947120463690821,0.04018345923237556,0.06408922131929361,0.046839371664948726,0.039542904104294556,0.032869678543724724,0.06408922131929361,0.05101938581331221,0.04445312627475716,0.04040655524031305,0.061318838793136196,0.06132820337009578,0.06173584122949846,0.060799694317337664,0.061170189383417395,0.061614886034896635,0.06105882714191007,0.06145784819750947
Agricultural and forestry machinery,0.0018875439317219327,0.00749558686447848,0.015622497455589872,0.001142262911556704,0.006476015040431013,0.0036387245415630096,0.010196667909670205,0.005768441787636297,0.0053828032470529304,0.00663040104926994,0.0026314561670894286,0.004817345349368648,0.001874512467702151,0.0026309378818707807,0.016129757383092237,0.0059369287076299826,0.008204400916742304,0.0055226498720268285,0.00572787173266451,0.0051142097481459165,0.005382216418986318,0.005347756815202675,0.0051381179411360105,0.004896475537813796,0.0013886922230115473,0.011704266738464655,0.004742707377979591,0.00523695802437582,0.021930423769541223,0.0011905224112927666,0.0056848579989323975,0.007376087086516795,0.0022132657165555457,0.008911865525325056,0.0062152638817701,0.0,0.005000996643509361,0.005044584320982954,0.002565801825964901,0.00263093788187078,0.0098155830086496,0.004565634233488272,0.011546533773543682,0.005348586538177338,0.005643306246173031,0.005238825670686157,0.009232054264174724,0.0039564976354701745,0.03435469920741037,0.003434600537310488,0.009385523452822373,0.0046771374929884665,0.0030351435327728546,0.0026309378818707807,0.0030710156312770526,0.0033045772725427856,0.004848049100780739,0.006332904932560167,0.00548916286736961,0.002461617955611637,0.00674622508414412,0.004282076629137357,0.004921979251962178,0.006932702628529138,0.0069964242453845376,0.003051834413158767,0.0,0.00316485884621409,0.005615727849347141,0.005693027790911639,0.0065276569747327925,0.005810799433470791,0.0072616731599639,0.004817345349368648,0.00550359673719218,0.010652677355736528,0.00425595720173207,0.005590255793336946,0.00682654077713708,0.006042246138063395,0.009243926645392725,0.006941199421203652,0.003407175428618648,0.0087131225876119,0.008431304897038647,0.0036827844227552368,0.0042318604060104315,0.0036492912347182017,0.0047356546115142365,0.007364282459411198,0.004813065596841208,0.008048494098348897,0.004757023904248133,0.008396356779828378,0.0,0.004766161537936478,0.005573097597334512,0.003080657365008722,0.006130020133481397,0.006809921671394785,0.006167665653029484,0.001142262911556704,0.006631919675894974,0.004629192439789203,0.0051167029550555744,0.010914902132285123,0.012048873000467076,0.001985418925494907,0.03708240493166023,0.005582640448042801,0.005932784224857865,0.0044978969611925565,0.01591592923240655,0.0048968889922494235,0.005952947910397238,0.005934212273273218,0.0015680056481604278,0.006011350308242915,0.006768509301020727,0.0057915512839567165,0.007502895597681098,0.007490146711164797,0.005409628004895256,0.001675259984250168,0.0,0.010107387741195982,0.004744917785318388,0.005833344908618537,0.007007146265655268,0.005608771656026837,0.0030848324344443017,0.022087538630304618,0.00498270658779307,0.005830613889460775,0.0066670965588419675,0.0019482096161405416,0.0028090946830253987,0.013887861882316775,0.007976695546039404,0.0043261440542191965,0.00531330070353136,0.00796801437691554,0.004491705095973242,0.0055258436200353355,0.013597785120059757,0.005350510385109585,0.001142262911556704,0.025950650644946453,0.005749856808432163,0.005889950814083158,0.0049302489238073725,0.004286343373391418,0.004841628176251718,0.0038126324529518516,0.009015390438491807,0.005217512381943351,0.007797185197358888,0.005125793685660705,0.0068439697594167145,0.005581945362733392,0.002727011418822379,0.009912826524039754,0.005901560998477282,0.004970270594419139,0.004584463355786597,0.007457384477230896,0.006107736880661658,0.009756106313981609,0.003817102212793235,0.003961723187205703,0.003115240325562049,0.004565634233488271,0.003509723119195271,0.007976492329008445,0.0068265407771370785,0.017576114548668722,0.005098473015612485,0.005758446797285001,0.005195356357149968,0.045356698164827854,0.017337765288543923,0.009444320806200416,0.012015423719765682,0.013398851962988033,0.0,0.005796997052657811,0.005023471846090285,0.006907445581888271,0.004152711856120707,0.006633578699001524,0.004655507632379235,0.0046544948383079,0.008999125556525364,0.0026821783882675413,0.5182805463551008,0.005362203148916565,0.006182807910299523,0.008579883820357653,0.004960458434374888,0.005620760573712053,0.0012361566222224844,0.006921645531847745,0.006507672874288214,0.0028660292560379495,0.005280985684638538,0.015707453269004096,0.005947217459587374,0.006030769664001841,0.005522649872026828,0.006614801393720478,0.0060374461947916005,0.006252329259233183,0.0037243989330394277,0.0041343383444304325,0.005615903824688591,0.005789440732383092,0.005511203388200954,0.18472540451696384,0.005433226056501937,0.003625723339225404,0.002639868872185203,0.005362491174415768,0.001142262911556704,0.03890132533638509,0.0,0.0018377757487295975,0.003893859120466212,0.0025328241370855178,0.005178071560123465,0.004660476292292964,0.004511189376222657,0.007247957019892546,0.02855504945291381,0.004268374785908746,0.006880131308116621,0.04966972760901811
Aircraft and spacecraft,0.015106875196247123,0.015107189216173636,0.01581334081340964,0.012897599475312431,0.0924552616380111,0.5143357387432937,0.014115382363441517,0.013626597434632175,0.01007123811705729,0.014861577507836104,0.016607949617177292,0.013636581209914787,0.011292494600719098,0.057866534810802804,0.017972343473382123,0.024334291760501694,0.015003712176383707,0.02056089515329601,0.015755349219361482,0.027019351016890628,0.015334848927684913,0.011743447466582024,0.07937215965661412,0.013630462785991075,0.015265810829612517,0.01567981068964159,0.008115809097139024,0.020158120829457747,0.010908645144984193,0.0110697177414581,0.01846682529570562,0.011713113706385548,0.012070168292567239,0.01317003469317002,0.008350434859443161,0.0,0.026053728871178496,0.015690163137844573,0.013058532371990792,0.04484066949794317,0.025021793232415417,0.014152289536683196,0.015810436951771884,0.07107269789093856,0.013355579715411084,0.015950541631064602,0.035243214793090574,0.011547275319003862,0.030776461005220353,0.010105359583948469,0.02107862319204507,0.010822071513775207,0.023023850508032902,0.057866534810802825,0.012344117011246089,0.14259301590238835,0.013855036315919427,0.019166872822835735,0.01497323606264757,0.064537906744915,0.0593072596363622,0.021791828093915337,0.018565345961410955,0.012252044277574163,0.048705543805368075,0.48345537450479514,0.0,0.007597055288719379,0.014876995658508276,0.013598418860985407,0.011268014591304679,0.00955017300448241,0.015332136783367168,0.008115809097139024,0.031807175251143564,0.01960596143043474,0.03356155067878791,0.011913531853482585,0.03508377296686092,0.015375035240609293,0.015240424310881032,0.012895700526704888,0.013200109947329725,0.059660130264917684,0.01578996274209618,0.010284997535325042,0.023788754272967418,0.012880755618062515,0.0130569377359286,0.016175698180743155,0.01672386331773422,0.020664280106317316,0.01144947842835696,0.014653106832914669,0.0,0.012536466339187606,0.015018545682722404,0.011212285673330626,0.02605463862281495,0.015673057495353533,0.01397318921596595,0.011383605350603529,0.010010783504319849,0.02283694577855169,0.011545186524908962,0.012964308786300845,0.011668905885004072,0.008652198658660605,0.014387474111178177,0.031807175251143564,0.011927203641008587,0.01273106308981493,0.019159796821470305,0.011948704944044571,0.011127159256236722,0.046211432826098305,0.010934218843114166,0.010813730490818036,0.01211951947085798,0.012650531231347384,0.012921116993577692,0.013494647949796622,0.0943589778804373,0.011413921439777363,0.0,0.012963656289097299,0.02729800465055344,0.028926124358695005,0.06431238993714163,0.013912985411476649,0.014926142186702383,0.011625804232818056,0.019913693875848983,0.012301739723944622,0.041745136746287236,0.012016809311354282,0.8655421687945104,0.0638835068361047,0.01235955742353602,0.021472148716397303,0.00879787806349984,0.02370516917885105,0.011048279382492282,0.0,0.014471202815848072,0.010691599121174402,0.014993153303101445,0.22941897545729584,0.013814092422029993,0.013406923589411061,0.02284461751268569,0.008733840275212347,0.008451612045863314,0.0,0.016365865617486004,0.0109353347166045,0.0106506727161341,0.03513457838888727,0.011756727616669462,0.01283955796156876,0.057866534810802804,0.014122706349834403,0.015603358209029992,0.01864404201666196,0.01180510619326453,0.008115809097139024,0.01786724511956765,0.015489188236862239,0.011724611937777555,0.02439388402154029,0.021844415925223407,0.010851796366669114,0.010284997535325042,0.07247383009685955,0.03508377296686092,0.010764793754661571,0.015540579188903586,0.05440741729853931,0.010851796366669114,0.01447991654481019,0.015110373101424863,0.12727466962477543,0.010819773774811968,0.011383605350603529,0.0,0.01793811074168965,0.05270441906544224,0.4475892627426177,0.021428328878020653,0.011455733288673322,0.020092062954971592,0.012219444576920082,0.01302873850054209,0.1326536983079338,0.022109362901246103,0.0267303023625397,0.083197051590974,0.5835229924420815,0.015303665827464565,0.012821669511320905,0.01791250607701759,0.012291814915013246,0.013027810949002442,0.012842988380026637,0.01238789087339257,0.01287867267334337,0.012055286801197052,0.011614003310981393,0.012883129200871691,0.013247910613176879,0.025900125788220433,0.03835914883961128,0.012266827650619615,0.008807116983602311,0.010541393867164137,0.011927203641008589,0.013757945823546532,0.024460413173348232,0.015746249156013515,0.003246296335405227,0.029471673066284516,0.07356181129958918,0.0106506727161341,0.012242605431287126,0.015375035240609295,0.01108201270067395,0.011191492962200861,0.053463775801609416,0.011410319496847177,0.053753504796900095,0.1446782974386842,0.9443330908766396,0.013682253436637034,0.03435719205785442,0.04981503286337402,0.042409095436356084
Animal feed ingredients and pet foods,0.0,1.0000000000000293,1.0000000000000293,0.0,1.0000000000000293,0.0,1.0000000000000302,1.0000000000000293,1.0000000000000286,0.0,0.0,0.0,1.00000000000003,1.0000000000000293,1.0000000000000266,1.0000000000000293,1.0000000000000289,1.00000000000003,1.000000000000029,0.0,1.0000000000000298,1.00000000000003,1.0000000000000289,1.0000000000000298,1.00000000000003,1.0000000000000284,0.0,1.0000000000000286,1.0000000000000284,0.0,1.000000000000029,1.0000000000000284,1.0000000000000293,1.00000000000003,1.0000000000000295,0.0,1.0000000000000298,0.0,1.0000000000000286,0.0,1.0000000000000295,1.0000000000000295,1.0000000000000286,1.0000000000000295,1.0000000000000289,1.0000000000000302,1.0000000000000295,1.0000000000000298,1.0000000000000293,1.0000000000000286,1.0000000000000295,1.0000000000000298,0.0,0.0,0.0,1.0000000000000286,1.0000000000000286,1.0000000000000295,1.0000000000000293,1.0000000000000295,1.0000000000000289,1.0000000000000289,1.0000000000000286,1.0000000000000282,1.0000000000000289,1.0000000000000295,0.0,1.0000000000000304,1.0000000000000284,1.0000000000000289,1.0000000000000298,1.0000000000000289,0.0,1.0000000000000293,0.0,1.000000000000029,1.0000000000000298,1.0000000000000293,0.0,1.0000000000000293,1.0000000000000289,1.0000000000000293,0.0,1.0000000000000298,1.0000000000000295,1.0000000000000293,1.0000000000000302,1.0000000000000293,1.000000000000029,0.0,1.0000000000000293,0.0,1.000000000000029,1.0000000000000295,0.0,1.0000000000000289,1.0000000000000286,1.0000000000000293,1.0000000000000289,1.0000000000000298,1.0000000000000295,0.0,1.0000000000000286,1.0000000000000298,1.000000000000029,1.0000000000000298,1.0000000000000298,1.000000000000029,1.0000000000000286,1.00000000000003,1.0000000000000295,1.0000000000000286,1.0000000000000284,1.0000000000000298,1.0000000000000295,0.0,1.000000000000029,1.0000000000000304,1.000000000000029,1.0000000000000289,1.0000000000000293,1.000000000000029,1.0000000000000284,1.0000000000000298,0.0,1.000000000000029,1.0000000000000302,1.000000000000028,1.0000000000000289,1.0000000000000286,1.0000000000000282,1.0000000000000284,1.000000000000028,1.0000000000000293,1.0000000000000293,1.0000000000000284,0.0,1.0000000000000286,1.0000000000000289,1.0000000000000286,1.0000000000000298,1.0000000000000286,1.0000000000000298,0.0,1.0000000000000295,1.0000000000000293,0.0,1.00000000000003,1.0000000000000293,1.0000000000000295,1.00000000000003,1.0000000000000289,1.0000000000000286,0.0,1.000000000000028,1.0000000000000286,1.0000000000000289,1.0000000000000286,1.0000000000000298,1.0000000000000293,0.0,1.0000000000000289,1.0000000000000302,1.0000000000000295,1.0000000000000286,0.0,1.000000000000028,1.00000000000003,0.0,1.000000000000029,1.0000000000000284,1.0000000000000293,1.0000000000000293,1.0000000000000289,1.0000000000000295,1.0000000000000298,1.000000000000029,1.0000000000000286,1.0000000000000289,1.0000000000000295,1.0000000000000298,1.0000000000000298,1.0000000000000295,1.0000000000000284,0.0,0.0,0.0,1.0000000000000295,1.0000000000000298,0.0,1.0000000000000298,0.0,1.0000000000000282,1.0000000000000293,1.0000000000000293,1.0000000000000295,1.0000000000000286,1.000000000000028,1.0000000000000295,1.0000000000000304,0.0,1.0000000000000306,1.0000000000000295,0.0,1.000000000000029,1.0000000000000293,1.0000000000000289,1.0000000000000289,0.0,1.0000000000000302,1.0000000000000298,1.0000000000000289,1.0000000000000295,1.000000000000029,1.0000000000000298,0.0,1.0000000000000295,1.0000000000000302,1.0000000000000293,1.0000000000000286,0.0,1.0000000000000284,1.0000000000000298,1.0000000000000284,0.0,1.0000000000000293,1.0000000000000295,0.0,1.0000000000000293,1.0000000000000295,0.0,1.000000000000029,1.0000000000000289,1.0000000000000298,1.0000000000000293,1.0000000000000298
Articles of concrete cement and plaster,0.00029627772476796576,0.0025527569767238014,0.0006611272585424348,0.00013233020347675726,0.007364581533690234,0.00015475854426255395,0.004431489850098465,0.0058308544305731985,0.0001731777020074463,0.0030776764423309233,0.00018395812601522396,0.0008022259772891553,0.0002746426820026611,0.00015926022169386532,0.001730438737005479,0.002240431685994425,0.0019065746772953536,0.00012211776567656375,0.001692583502114289,0.0001543516580165826,0.001776252077891682,0.0018481592012335177,0.0003527994227444173,0.002930192284877075,0.00016716836598782434,0.0008038800233178492,9.541982982284933e-05,0.0016544729988989776,0.0005468008713045171,0.00015195904284230494,0.003141406400025889,0.0012872587706427492,0.00025119965959651203,0.0016035550244380885,0.005794107950595019,0.00015404916708581113,0.0015386685258432964,0.000718711818094304,0.00018395812601522396,0.0001592602216938653,0.002070515658794487,0.0014970015859621523,0.0029791238083645257,0.0031645965828143888,0.0020436258058499648,0.0008711085916276337,0.006637229266196757,2.840482874360679e-05,0.001434201181420039,0.00016186128887105274,0.0001711740059558521,0.0002994717574583116,0.00017236847675604203,0.0012002349986822561,0.0002191575615413621,5.6536283300733894e-05,6.902704660271266e-05,0.001094847482478617,0.0017055262385856768,0.0002958872508475457,0.0008022259772891553,0.00015404916708581113,0.0023565215377859836,5.484061550863002e-05,0.0028373758012181596,0.0023936736141502435,0.0,0.00015454130550836143,0.0005996710820645662,0.0012857140289171394,0.00010454496441015413,0.00372667899136931,0.0018886421224978084,0.00010082735349541267,0.002154751447248774,0.000741027911478996,0.0016141606026128965,0.0006325634772012469,0.0006300035853741692,0.0018886421224978084,3.848877123033358e-05,0.016188393034146386,0.00041513716695134077,0.0012905880165425202,0.0061740563807715625,6.52554940313534e-05,0.0011053476209483188,0.0003108054238859493,0.00048382541873519415,0.0008088996344887956,0.00020746350031765977,0.0016542676538424997,0.0005849851200574968,0.0015070504974714482,0.0,0.0002257950933197792,0.0007964439536002999,0.000428473758923716,0.0006007631418993388,0.0017727186005735542,0.005794475351972293,0.0,0.00014593453314786683,0.001382343221982453,0.0006135433421084561,0.0020767863105721628,0.0007193524170372994,0.00014727087317825221,0.0022690879449075163,0.003262213515300107,0.0027891292379976203,0.00012282753875294853,0.003010683343343111,7.872490979867172e-05,0.0024258548181158197,0.004160616846360182,0.00018051564963838694,0.001532917239220047,0.0026311173493354083,0.0027940669883217625,0.0008292697762821882,0.0016474495407400563,0.0007204542949639398,0.00030593086233305657,0.0,0.0022738597177145896,0.0015523922548592473,0.00028198059614413116,0.0007085095262477452,0.0006470798689295862,0.0016821365036546096,1.935899967257983e-05,6.125866088736917e-05,0.0015226333629576835,0.002651278387052266,8.637593109011605e-06,0.0015846069656838084,0.015759355104963048,0.22023523927957775,8.347560395001912e-05,0.0024833745425142024,0.002141381944247028,0.0017655731868735536,0.0016041013879121032,0.0009341280800172917,0.001176524732236456,0.0001287687819610239,0.0036730388156746307,0.0016461746203868348,0.001904314060558436,0.0015586539750570545,0.0006711543070292787,0.0006989258210773354,0.0065359061452590905,0.0038864127236474693,0.00018927483373695997,0.006946170250256982,0.00013561525373166413,0.0001298657581355838,0.004798629703127921,0.000502947708015744,0.006946170250256982,0.0040840776602561685,0.0035028085593137356,0.000446656511115215,0.006946170250256982,0.0009349543752275301,0.002478538774400018,0.001921485599181174,0.001556469361371039,7.506769197805273e-05,0.001499619909439205,3.223802581432691e-05,0.003143515474114123,0.0006300035853741693,0.001240908616595986,0.00011738803748062248,0.00010907150910595181,0.002207893007616929,0.0015676914641545097,0.0031008481306160785,0.0028295584874607252,3.232803868273741e-05,0.0006913790821862801,0.0,0.0023626439156173356,0.0019040379179682478,0.0019276223696009973,0.0002751990733977813,0.00028874267484260897,0.0029769421105631222,0.00010820731589549767,0.0033564554402640005,0.01849172836788441,0.00023178208879598566,0.0007293798333864853,0.0003269813631893856,0.0036571156633221293,0.0007345861901390987,0.0015814299665286127,0.00017404617981275864,0.0034846476517488016,0.002089050748171748,0.00014663521929319563,0.0007247958698217965,0.0017454745549003014,0.0029505424118286237,0.0007710550815313794,0.003541962335230287,0.00023364244751618584,0.0014583259384569926,0.00341118111671474,0.0007348114531997545,0.00045827298300598777,1.0366383976699722e-05,0.003725106671663265,0.0020657221652579253,0.00015488819622159908,0.023370605541460723,7.169886688212555e-05,0.0,0.003927623557303721,0.0001301326140095484,7.983009132511067e-06,0.0,0.00022031607241816686,0.000983507343972053,0.00015678717604176195,0.0023785744054965383,0.002010695299747361,0.0010593937454994136,0.003541962335230287,0.0027097447235800596,0.0015384975919718966,0.00221494249687744,0.008373721737472578
Automobile bodies trailers & semi-trailers,0.0006272579323737189,0.003929807789234043,0.0017670056902362545,0.00026831520094493217,0.012155004325019108,0.0009449332838460258,0.0016460027598939639,0.005735015612791874,0.002274180141295111,0.0004789273013389272,0.000506247675059921,0.0031245769311261085,0.00028231150014472673,0.000295581383482388,0.003696132210500559,0.0032647962438376774,0.0031402491148804657,0.0011427628085491934,0.02368319703119359,0.0013932004808650698,0.00275222716990793,0.0018228859326017938,0.014126630040206057,0.0014694182129025353,0.00017865097599076738,0.00438427664913133,0.0008785950172904781,0.0020628499876212407,0.0003477258900487189,0.0004592053242460291,0.0020541447955844585,9.096489955891414e-05,0.0012343777761852205,0.0016823553343393253,0.0019695273150244245,0.0,0.004312197753378736,0.0013260218248611153,0.00019355116995269548,0.0002955813834823881,0.0011053573611485247,0.001757121926873297,0.0019817727645993805,0.0016493299870902428,0.0024120866234687197,0.002036674145187786,0.0016195127441813266,0.0002726405373423708,0.001783028180818615,0.0009451487760090613,0.0007585696263099084,0.001089061944136581,0.0021938744506239632,0.00031049237236580436,0.0005736257185352943,0.012834603944982238,0.0023883973258026453,0.0025437955287379754,0.001685003677439277,0.0006863766058284081,0.001859815618089661,0.0010399461680360665,0.0014018726211528023,0.0030146163618540497,0.001799817486513638,0.0015947774236793552,0.0017571219268732972,0.0009246343758935379,0.0015928241859962304,0.002558182951225473,0.0009512011981115094,0.0012655547544068294,0.0020210566848360913,0.0007104705112961981,0.00044661301102566476,0.0018759881043743695,0.0005109133523129007,0.0018491359805800783,0.002055727234550674,0.0020210566848360913,0.004493731905353644,0.0016291623903992203,0.001613857219935007,0.002257877398526837,0.0024057192448718196,0.0012056327878974674,0.0019582927731989987,0.0013811112390441694,0.0009832826825744742,0.0019347146453199556,0.0005376841696833562,0.0017012943895466333,0.0013198528033377265,0.0020863624659988624,0.0,0.0007951545754824077,0.004019940198537233,0.0006390484946449308,0.00287559263577326,0.0018933571245606285,0.0019309984508090623,0.0001691964990068665,0.0020944092326308774,0.0015422411859706653,0.0011763120637373968,0.00204188619057382,0.0035732439454917056,0.0012179410122110485,0.007601812892233268,0.0016961436209575317,0.001860487833343932,0.0019219577907372385,0.002624319177165474,0.00210308111689479,0.002932597561637611,0.0017029027548325578,0.0002193645475142931,0.0014262973881782326,0.00133610757334855,0.0017151303948482837,0.003587647736291081,0.0009641979011303091,0.004104039154157453,0.0008010626272519429,0.0,0.002270778772520492,0.004450489758795983,0.002063621431963584,0.0019014198355804131,0.002205725377862966,0.001649322687189771,0.0008836966907615938,0.0037716771344845036,0.0018037589862182099,0.0021923668161961413,0.0005378876163890996,0.0011975009130176357,0.0030923311389955384,0.0016424202248414021,0.016284928799744764,0.0017561909850282668,0.00313252931150827,0.0018952679346607728,0.00178154875020251,0.0029684374909583556,0.0033868504677935004,0.0001691964990068665,0.0015801503347082648,0.004284375321592755,0.002090747867023436,0.00400369441170833,0.0009217992880317386,0.0015219730720265653,0.0003428646463644929,0.002116513811702502,0.0004839077603466832,0.0016185573919822059,0.0014234398467443796,0.0015128119585795514,0.0018923477342401526,0.0013714239418568506,0.0016195127441813266,0.0015496869951489548,0.0022171825884168246,0.0018123042261423508,0.0,0.003484353880725739,0.0017219496316252104,0.0012691186186785503,0.0011807111380837591,0.0017080559139824813,0.0018250595048943219,0.0012051556466283085,0.008241369604546595,0.0020557272345506743,0.0014349022145546566,0.001599189404558608,0.0027819985948360233,0.0019105473698193117,0.001549198033410515,0.0012652672490588743,0.0014254913526958876,0.0016690278205889865,0.001014948200556578,0.0,0.0031430913346688783,0.0017035778661892993,0.00175959327484614,0.0004589878425427775,0.0024678002569434245,0.0016439686280000877,0.0004068709170300039,0.003263716639512998,0.0018112341573901704,0.015601636917599117,0.0009394546039604353,0.002399594348251521,0.0032726106041963874,0.0019628383632947725,0.004406381924655253,0.0005655147939166859,0.001564446819097755,0.0034588714335587766,0.00041779929220996483,0.001097611351943241,0.01705650865007189,0.0014996975798137867,0.0019143525309451377,0.0009500797412551941,0.002155826963291422,0.0005392167221115407,0.001538110372496029,0.0007010684338185156,0.0014829479501574203,0.0005339901213005321,0.0006347337371803684,0.002594367988445767,0.002294259499953237,0.003908445115871477,0.0017720916115821056,0.0,0.0014714160421440549,0.0001691964990068665,0.0005901884538458968,0.0,0.0004867758337127136,0.0007537941637570161,0.0014658213236123296,0.0023164498693160583,0.0012351302756809458,0.0009382727874677974,0.0009500797412551941,0.0016313310840674992,0.0044605017297821795,0.0037277527105141544,0.0038278561040623964
