,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,4.1796989659295885e-06,6.256829793410866e-06,2.025055857482663e-05,4.055792267794157e-06,6.0257950377116505e-06,1.5116786984056433e-05,7.207136762427911e-06,4.994543506127984e-06,5.636797699848718e-06,5.754831723245304e-06,6.0896268146474146e-06,6.825405890252122e-06,4.194652340927134e-06,5.602522198904537e-06,6.260193038595635e-06,6.201649138905044e-06,6.500127615595648e-06,6.403874382119741e-06,6.175316241084516e-06,6.105621273089768e-06,6.3316218379073425e-06,6.007547487060855e-06,4.75338667877479e-06,7.153290991299305e-06,4.637587002325453e-06,6.948442459331243e-06,8.842786502799287e-06,6.791918583540792e-06,4.8817471351215295e-06,3.970050413344617e-06,5.648802073522325e-06,2.3590561074532195e-06,4.610612610057131e-06,5.84906937613622e-06,5.956173202909365e-06,0.0,6.248441969971885e-06,6.302928325792404e-06,4.860957014936775e-06,5.602522198904537e-06,6.355871489033544e-06,5.9044455047264126e-06,5.966403444317739e-06,6.8487062020262136e-06,6.06915165562681e-06,5.895444191855902e-06,6.600233104261406e-06,6.241481846648843e-06,3.2881402796050187e-06,6.908552879265242e-06,5.1755348453117226e-05,5.155860637877964e-06,9.645143064769082e-06,4.411083665175513e-06,5.6034639831582555e-06,4.045961435467465e-06,5.750841513892536e-06,6.6999536488423605e-06,6.779738773371668e-06,6.059318583856237e-06,5.20762064914573e-06,6.708529621197531e-06,2.0147679354059714e-05,7.2367865118239934e-06,1.5448123868611314e-06,9.57312582952613e-06,6.598475184174241e-06,6.779738773371668e-06,1.7513788374635116e-05,6.1279466285186395e-06,6.145378900004357e-06,6.79777862635343e-06,5.82455060667247e-06,6.367720758556972e-06,8.138774235821002e-06,9.124551465990893e-06,6.75760371769533e-06,5.8402829831597475e-06,6.742186288293225e-06,5.869445812407037e-06,6.367720758556972e-06,5.563455194530661e-06,6.1238277313834015e-06,6.9284624193517406e-06,6.018867143372826e-06,1.747251465312109e-05,8.715006037111134e-06,4.931381901849067e-06,4.466794801956277e-06,6.671182011890671e-06,5.192300475565799e-06,5.8964483733197185e-06,4.601778304464576e-06,5.9200536079237955e-06,0.0,5.07242157982176e-06,6.336170222163549e-06,5.867284891420513e-06,5.851381935702341e-06,5.916929838952659e-06,5.947003885541683e-06,5.812260895427862e-06,5.645820331815642e-06,6.469301875034696e-06,6.400325092477177e-06,6.306743262542821e-06,6.304322633862738e-06,6.380156544580376e-06,4.927465913419506e-06,9.311796107618504e-06,5.729303886609611e-06,6.136723319543779e-06,5.972268394015454e-06,6.36630156815036e-06,5.959897408866213e-06,5.783571650056805e-06,3.984596742437194e-06,5.9188100501430366e-06,6.782307377541956e-06,5.952902263827404e-06,6.903519388231129e-06,5.8775488085112395e-06,6.2067328376933064e-06,4.94721190058125e-06,0.0,6.008582240758481e-06,6.298918184228064e-06,6.3880427878155665e-06,6.896420522148133e-06,6.409690664417492e-06,5.765207509808094e-06,8.665464453312911e-06,6.42738955951337e-06,6.276666954203415e-06,5.8710996547913365e-06,5.092948023640713e-06,4.174856671342307e-06,6.153851181270118e-06,6.643476095302723e-06,6.445725318234253e-06,5.968781916522682e-06,6.93111627924317e-06,5.921115078729662e-06,5.918938897841625e-06,8.980590104777094e-06,6.505941891910449e-06,3.874691283052397e-06,6.33208109389309e-06,6.125941253922416e-06,5.845335979101178e-06,6.309825221867524e-06,7.0417724367431685e-06,6.392527386731419e-06,5.683821414700136e-06,5.874503376458819e-06,5.220202337518618e-06,5.678774180308964e-06,6.060463927267838e-06,6.1334647961561535e-06,5.953523542105534e-06,5.591360682998291e-06,5.683821414700136e-06,6.8145146071663936e-06,6.013769161259579e-06,5.5326159116340524e-06,5.625484445331987e-06,5.470108312456492e-06,5.932468182500869e-06,5.732087434440983e-06,5.893916936423646e-06,6.1906879259259815e-06,7.1121418412164615e-06,9.961793014456957e-05,4.304223700362912e-06,5.869445812407038e-06,7.403186645531755e-06,8.842317085966992e-06,6.278763708088318e-06,6.589115494452197e-06,6.036140781974695e-06,8.258704216126445e-06,5.901900983875318e-06,7.3325142806875144e-06,5.812260895427862e-06,0.0,6.358581320791789e-06,4.368284883470973e-06,6.003853632135905e-06,5.089962021280698e-06,8.080907185976822e-06,5.961171781953297e-06,7.209419282536292e-06,6.427709469942442e-06,5.963056412478648e-06,6.072142995421882e-05,4.8545694837155705e-06,6.548047265621273e-06,6.515574346769885e-06,7.588061877525082e-06,6.269735099303486e-06,3.928749073113486e-06,6.317688347422931e-06,5.564699033421052e-06,3.862635568964709e-06,5.826682741997228e-06,6.056228620664244e-06,5.977573764853065e-06,5.970733500846681e-06,5.725394143487095e-06,4.928659057311453e-06,6.324648059487e-06,5.911030908875123e-06,4.77861999898873e-06,7.674756972137728e-06,4.462113989537661e-06,5.9122171570327075e-06,5.957763561488908e-06,5.099064798212536e-06,6.067594916820091e-06,4.117984051223032e-06,6.060463927267836e-06,4.290501737956649e-06,3.792805028854627e-06,3.4239185144172027e-06,6.060463927267838e-06,5.059334387256673e-06,4.6302529480364795e-06,3.923049926366809e-06,5.940103261705904e-06,6.013634534666403e-06,7.304583689722894e-06,5.725394143487095e-06,6.026578706190303e-06,6.347407555174366e-06,6.102633363393281e-06,6.282139994502588e-06
Agricultural and forestry machinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aircraft and spacecraft,2.7587881223559555e-06,5.188094679457027e-06,3.275558797621989e-06,2.9685991672686177e-06,0.00040598147817270334,6.395246022192269e-06,3.6514156806484325e-06,3.378839438478947e-06,2.482445345456993e-06,5.227095665808586e-06,3.49642595430265e-06,0.00019735530039886932,2.601986812242112e-06,2.352919283725417e-06,3.8363658101601295e-06,9.247806180382555e-06,0.0007451177712137157,3.6010345822991214e-06,0.00036944772257401886,4.924891217904924e-06,0.0014460129299872946,1.7609754554387292e-05,0.031697734595108,4.144848218072462e-06,3.2627074292222545e-06,6.630951087584592e-05,2.202679688070247e-06,8.936007355171423e-06,9.484580121095402e-06,2.42747376139634e-06,5.886814384988483e-06,7.290565563095505e-06,7.76537106020186e-06,3.736005661186982e-06,2.2567252198257005e-06,0.0,3.151195607987161e-06,4.375551132286755e-05,2.843928721383912e-06,3.334868218511964e-06,1.0437033589284044e-05,4.461161588777245e-06,3.0520830332622322e-06,5.3204338396512e-06,7.31697254137631e-06,1.9950562795009638e-05,8.249296774170702e-06,2.7429908100809693e-06,3.0342331760224974e-06,5.057865594722273e-06,2.653977992726106e-06,2.90274251891754e-06,2.4835768405063763e-06,4.478799920245439e-06,2.3529192837254174e-06,2.7326144324938165e-06,9.097194452232248e-06,0.0002050774243289275,4.026106976839565e-06,2.6408373687915606e-06,5.799828305505041e-06,4.027209450591307e-06,2.5351519040737388e-06,8.998955604559758e-06,3.8875363757204345e-06,2.207158663566245e-05,1.0124101227574701e-05,0.0,1.6975143201299286e-06,1.7577829427322168e-05,3.965884012597279e-06,2.7715096958849057e-06,2.3314267279132077e-06,5.5373624441240745e-06,2.202679688070247e-06,2.7394972120737637e-06,4.024902845298849e-06,2.871758023612593e-06,3.259972855852241e-06,4.480710435470307e-06,5.556121661324272e-06,0.0008193244069003409,8.592271714546794e-06,1.295884995541482e-05,5.5559359713332725e-06,2.66554586075659e-06,3.7276576511539484e-06,5.686254271570674e-05,2.8435575337854212e-06,3.036259034746215e-06,8.087322997584341e-06,3.988204461180711e-06,2.3901321315099735e-06,3.980816893143769e-06,0.0,7.148321545836685e-06,3.886821338511882e-06,2.3725794913686124e-06,8.26706503810894e-06,6.875544029087662e-06,7.26223964180146e-06,2.99839566117784e-06,2.945194126216339e-06,6.541789066901679e-06,3.026280959752075e-06,5.7799851624135705e-06,1.1674328144708885e-05,2.097634493816892e-06,2.3382533838684808e-06,2.7394972120737637e-06,2.7902121906124107e-06,1.8986546408759507e-05,5.166867847521128e-06,7.094365329580569e-06,2.2000090392484353e-05,2.4689601966421505e-06,2.427880954454727e-06,2.7439676262707003e-06,1.4088402408194618e-05,2.8132556860427298e-05,3.485832507174707e-06,4.565250010452877e-06,5.097826983086543e-06,2.736050764347096e-06,0.0,1.284959925687017e-05,4.29296624832157e-06,1.5682016162136757e-05,3.1226490645646187e-06,4.12216863458938e-06,3.294513763673596e-06,1.7129400984918328e-06,6.831284429895641e-06,2.394238638614608e-06,3.0430081724118146e-06,2.6671998201565557e-06,9.349321703757622e-06,0.023482979819945,4.7872826565991255e-05,2.8816125733232365e-05,4.552859869721098e-06,4.898553522257996e-06,2.1001280340210807e-05,0.0,2.9237364329928383e-06,5.097808289321943e-06,5.1090091155853504e-06,5.293375332765333e-06,2.4708767832543726e-06,1.4098688442035714e-05,6.852040242704603e-06,2.4227299674036473e-06,2.2477148717957688e-06,0.0,1.2105320997377423e-05,4.213028787934433e-05,2.228142785321107e-06,4.48497025810851e-06,2.994761962976127e-06,1.0615534880342777e-05,2.352919283725417e-06,3.3890726261443373e-06,3.8099296529464133e-06,3.3705716276826476e-06,2.8253838009127167e-06,2.2026796880702462e-06,0.00017886029475016148,6.876831570222585e-06,2.3217607361413586e-06,2.992134505797693e-06,3.929564558322013e-06,5.9477452832958414e-05,2.66554586075659e-06,3.168469569211392e-06,4.4807104354703066e-06,2.244114458494614e-06,3.5328587151950627e-06,4.3594998622821095e-06,5.9477452832958414e-05,7.798272017116931e-06,6.974002841974467e-06,0.00011145714056813256,2.778912493731215e-06,2.99839566117784e-06,0.0,3.4051077553679398e-06,2.6228731892168467e-06,6.45335609459061e-06,3.253571417408074e-06,3.007908691985999e-06,1.820421673287575e-05,2.7350688464659686e-06,7.288384558915966e-05,3.554166625987123e-05,3.488070331249671e-06,4.235337368895199e-06,1.7851248450531127e-05,9.995793154545809e-06,3.6200207671395225e-06,2.9743806199882164e-06,2.889546245290812e-06,3.658190031366006e-06,2.5261783684592834e-05,3.214416016944678e-06,6.842275175656519e-05,3.1307626731366757e-06,3.798645099083315e-06,4.239995957603326e-05,3.1920228297464383e-06,5.0030206636151976e-05,3.397181124843454e-06,2.7476928904610208e-06,2.5189049514176876e-06,2.3495223166691803e-06,2.739489122957945e-06,2.7902121906124107e-06,2.666395555737393e-06,3.597296819645236e-06,1.6886145135631517e-05,1.9684456843250177e-05,4.064013405336177e-06,3.1090213645729502e-06,2.228142785321107e-06,2.982820163328842e-06,5.556121661324272e-06,2.4456477611832694e-06,4.504418141688802e-06,7.677364037226387e-06,3.8983956799101216e-06,2.49414469591271e-06,3.1970012784679063e-06,9.995097233448825e-06,3.6460402877667906e-06,5.084724510304339e-06,6.617460495631828e-06,4.661725931413313e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,1.6028535071504256e-07,4.943171534493797e-07,4.4744139098037933e-07,2.6987787367103575e-08,1.006139963909255e-07,2.765433797417034e-06,6.983283854782261e-07,1.5215733646106753e-06,1.2693409446952449e-08,6.20610954755748e-07,2.4847098094476383e-08,2.5621053029521535e-08,1.0315037021621104e-07,3.4961714738343314e-08,4.672375384350237e-09,2.369186075459662e-08,6.133241447668211e-07,1.7960709658396335e-08,5.689316580416132e-07,3.652487802262274e-08,3.3916198379564533e-07,6.924711636854897e-07,8.698131161440683e-09,6.786126163760411e-07,4.485379618714379e-08,4.801829216666214e-09,4.6268310341658e-08,2.1041373752568465e-07,1.2137490108856566e-07,3.78390553319504e-08,1.0331632296958029e-06,9.271454459269404e-07,1.0357081328112645e-07,6.96328742706527e-07,5.916674402450886e-07,2.492643842196694e-07,6.480271225071107e-07,3.2860208664569995e-07,2.4847098094476383e-08,3.4961714738343314e-08,5.852683527714447e-08,1.0453939109304728e-06,7.067115107559164e-07,7.189012941440159e-07,5.70735831566823e-07,6.450346355847724e-07,3.298262726429045e-07,4.855137125326519e-07,1.3856972217820103e-08,5.306758000665077e-07,1.0084224327309441e-06,1.5175075001085815e-07,1.830044024254165e-06,7.549494612754746e-08,2.809705458784888e-07,5.6610835039867836e-08,1.645736382286844e-08,2.8001386727584148e-09,6.553943873204864e-09,6.407746295728955e-07,1.055195935368594e-07,2.5621053029521535e-08,2.492643842196694e-07,1.5228980888320272e-06,3.5177751978579456e-08,2.853901523168918e-07,2.4209896000838453e-07,0.0,2.7830797268090647e-06,1.7390955068484866e-08,4.4262002855754517e-07,5.347470571125657e-09,4.973092258365695e-07,6.188162999112326e-07,2.7757204487181856e-08,6.377711602689253e-07,2.6256777235168768e-08,5.725801436215264e-07,8.824127603273265e-07,4.1434774962692205e-07,6.188162999112326e-07,6.795275766511464e-09,4.669846986243095e-07,6.223286567770843e-07,6.333978218013763e-07,2.508804144261312e-07,1.4600090729154496e-06,8.74329369533539e-09,2.1578738800601727e-07,2.5719635722133923e-08,1.2244326563504772e-07,6.056204482788872e-07,2.6339063889498895e-07,6.889986291789199e-07,0.0,1.483348275517206e-07,3.0056783904977166e-09,2.552956690870868e-07,1.5945081299637298e-09,6.844982509639995e-07,5.916601746780796e-07,0.0,6.900327909129318e-08,5.368503940751822e-07,1.733553406061603e-07,4.464349237747255e-08,5.212373773559182e-07,1.2231729598811323e-08,1.9888375235464216e-07,6.059744807679078e-07,5.972036353415787e-07,1.1500889404586954e-08,6.069671925319614e-07,1.1117800514677514e-08,6.680547518730135e-07,5.035435510062521e-07,5.079742797820691e-08,5.894121515440496e-07,5.088254004143738e-07,6.526067038396628e-07,5.111380747755803e-07,6.86001805214056e-07,6.331009697208195e-07,1.1328899658155665e-07,0.0,5.750141901514303e-07,6.450675002459035e-07,1.4515596045470005e-08,2.624736225367918e-08,2.3072248231855125e-08,6.831712241617774e-07,2.213838738174928e-08,7.829761256891705e-09,3.5668085100585565e-07,6.162114023728365e-07,5.1862960416070725e-09,4.4838322856967096e-07,2.050475810541678e-08,2.2839639157753644e-07,8.967540561368358e-09,6.611359333968978e-07,2.3315885128457567e-08,6.246418092658452e-07,6.04429980053966e-07,3.1450176994991974e-07,6.893645723914197e-07,2.518271661163938e-08,6.222619956294968e-07,6.360463033550138e-07,6.866004250352562e-07,6.43556336534854e-07,3.7527942050926074e-07,2.526320572225352e-07,4.4764629154103087e-07,6.139820839475917e-07,1.5565814113257173e-07,4.741978157400923e-07,1.9690822673857925e-08,9.907196606190324e-09,6.177970562385946e-07,7.95045800860476e-08,4.741978157400923e-07,6.932903140466815e-07,6.217950103352702e-07,3.481883152191935e-07,4.741978157400923e-07,7.930389301453219e-07,6.534912115518591e-07,6.579976754791003e-07,5.521798670965097e-07,3.9033247204900905e-09,7.051737608367227e-07,2.3474589003821066e-07,1.135883981827651e-06,4.1434774962692227e-07,4.93068962527125e-07,9.376675942270782e-09,1.6661140723556576e-09,2.89202659849872e-07,4.290889793011776e-07,6.80005969438375e-07,5.619508241059023e-07,2.246714351267565e-08,2.460455211849085e-07,0.0,6.085961911764422e-07,6.348244095526284e-07,7.54879635108389e-07,1.5166666337691476e-07,3.9381563009371916e-07,6.757813433225258e-07,2.683304516421205e-08,2.5659547680235356e-08,4.661582637618217e-07,3.3604854582583977e-07,3.3000943019529236e-07,4.209371403842416e-09,8.624494313447378e-09,8.43690435078068e-09,6.454719270102663e-07,3.9176485792349796e-08,5.572748529472275e-07,4.119531040423515e-07,1.6167296540921093e-07,2.477329873505852e-07,6.361336800518362e-07,6.479005336547015e-07,1.1450429838148519e-07,5.827875336343105e-07,3.620523075495433e-08,6.590612119497068e-07,5.768247695682584e-07,3.332411319300415e-07,4.821486858010913e-07,2.346710452094426e-09,4.974568917447724e-07,7.052223580531643e-07,3.953143502506795e-08,4.568477750382639e-07,5.133896885503111e-09,0.0,1.213565657651024e-06,2.681099766615257e-08,2.114128273401769e-09,0.0,6.948228445345322e-08,5.498004895845674e-07,3.510645758799391e-08,6.539512685139913e-07,5.534023588496297e-07,1.5853851082316804e-07,5.827875336343105e-07,7.473995997115206e-07,6.452495286455303e-07,6.437624092211195e-07,6.17786581445952e-07
Automobile bodies trailers & semi-trailers,2.1940341672480132e-08,2.262177808131017e-08,3.9622958291572745e-08,5.131227462717263e-09,1.7470273677537738e-08,6.853767019447823e-07,3.0471611705153666e-08,9.410135710661393e-09,2.0779798318258306e-08,5.844866085214329e-09,4.97484815111054e-09,1.783177267916929e-08,9.159268139130623e-09,3.6231279271744633e-09,1.549907551118312e-08,1.834631089162557e-08,2.7659269798139882e-08,3.107840097307263e-08,2.8437333525844885e-08,3.7716051699994914e-08,3.1945675126446745e-08,1.9083205671114046e-08,2.5456203230572045e-08,3.4980705764827304e-08,2.835426514123028e-09,1.7715791687057465e-08,5.584647057354708e-08,2.1317566732926042e-08,5.55232028689361e-09,6.66494496854645e-09,2.15238908457549e-08,7.772115490050787e-10,1.8608866845934536e-08,1.909308185736424e-08,1.8178428926808188e-08,0.0,1.9164672554532252e-08,2.4122109204456814e-08,2.445348069130626e-09,3.6231279271744637e-09,2.5894008084614088e-08,2.0812824285375534e-08,2.0024813319283725e-08,3.228756858692008e-08,3.397553581373647e-08,6.037342910027473e-08,3.724241288930139e-08,1.9666183900703272e-08,3.0685541752905317e-09,1.0535865981315392e-07,1.5758323269202746e-07,1.565824988865176e-08,1.8558059486612415e-07,2.1799682616998295e-08,3.813999722876996e-09,7.987549933864371e-09,1.378794313913743e-08,2.196171549364199e-08,1.2414929926164176e-08,2.2094985462267197e-08,1.9798064081851706e-08,4.283931500161005e-08,6.086037226941097e-08,3.514945964412763e-07,3.976391341237556e-09,2.751834762872599e-08,4.980381193126269e-08,2.0024813319283728e-08,7.273957840024028e-07,1.1552872918813336e-07,6.168875881722632e-08,7.020101820595822e-07,1.6458959847717577e-08,3.102369389569361e-08,2.625201913888236e-08,5.182653529365912e-09,4.708203344689617e-08,5.928147525576836e-09,5.521475585701751e-08,2.143680335642023e-08,3.102369389569361e-08,2.2119747868044348e-08,2.4715391386715475e-08,3.470347411651243e-08,3.013709947670727e-08,1.0814422760305251e-07,2.2670334360271506e-08,1.680536689870609e-08,1.6913176557346843e-08,6.06164644744891e-08,1.6395597775498226e-08,3.7736498301937104e-08,2.1057453173927165e-08,2.0203838660810174e-08,0.0,7.712097459673009e-09,1.9128420669552366e-08,8.391326832958668e-09,3.691397181099144e-08,1.9200487505735457e-08,1.858268164036366e-08,2.6809061682860815e-09,3.82645706864534e-08,1.65144283929567e-08,1.718388878032754e-08,7.009254793875265e-08,3.291554218929459e-08,1.483089329010601e-08,1.730057542215696e-08,2.072320674760859e-08,2.5204743534096493e-08,2.072041029771874e-08,1.997864685374683e-08,2.163599358959753e-08,1.8898149890356935e-08,1.9883437132523364e-08,3.227540015358248e-09,1.951474893566192e-08,2.508113591500819e-08,1.8758193972532036e-08,2.0558052456921826e-08,1.375551062065791e-08,5.684246099286805e-08,1.2201960547426172e-08,0.0,2.0542736086208577e-08,1.9094531679004387e-08,2.914007077305588e-08,2.2839484905514834e-08,5.524808639846111e-08,6.702525101002171e-08,6.690303023799825e-08,3.096596269093963e-08,2.4819285427089424e-08,2.11297999282281e-08,6.8877590803076366e-09,1.47541727597223e-08,2.0335827440303908e-08,2.6700296960364972e-08,3.671206040863028e-08,1.9660821452712772e-08,2.1707238058700343e-08,2.152382646714488e-08,2.41260158593259e-08,2.6361103112874535e-08,6.046206604812274e-08,2.6809061682860815e-09,3.1248152186736445e-08,1.9683531892513705e-08,2.9673738023703662e-08,1.995237766273032e-08,3.806386954264693e-08,4.790184463705184e-08,4.1960942119433484e-09,3.740117660385127e-08,6.688177430047316e-09,1.9657527425526524e-08,3.485776989167113e-08,5.4088683779348646e-08,1.9326310673786867e-08,1.8432701948176405e-08,1.9666183900703272e-08,2.9547389723988317e-08,2.3182959846070407e-08,2.5806469719090834e-08,0.0,2.199964814899639e-08,2.029468559774368e-08,1.7309428475076465e-08,1.5928296134632675e-08,1.2686136415026969e-08,2.156402155533426e-08,1.3927545231767257e-07,7.76887590471831e-09,2.1436803356420233e-08,2.3627718484702323e-08,2.0830019154118344e-08,2.7667755983679288e-08,2.2344034281435752e-08,1.8738669217025654e-08,1.5255677878552467e-08,1.86049867309622e-08,4.6992571983728793e-08,1.283156052794429e-08,0.0,2.5527300690890755e-08,1.9126812458555126e-08,3.383508640123448e-08,6.328152679777191e-09,1.488044394161391e-08,1.8644418113189604e-08,1.169963487911479e-08,1.8344775574022106e-08,2.9571543079292897e-08,6.642637697888763e-08,2.331053747555949e-08,2.8809082273125026e-08,1.9212455886093914e-08,1.4401876405534532e-07,1.9270527498928372e-08,1.3217524099774754e-08,9.017410478835739e-08,2.5980886590892304e-08,1.9402093028338262e-08,2.3803784872867773e-08,6.081129653999627e-08,1.3970467856324234e-08,1.8178777148219574e-08,1.2106542427252887e-08,1.9523919715886572e-08,6.706972022776353e-09,1.7405643714833444e-08,2.0979816952326512e-08,1.904386385035846e-08,9.882801632869219e-09,7.935334221476148e-09,4.135979367020379e-08,1.8055024701369128e-08,4.654027523268184e-08,2.525023751927486e-08,0.0,1.5912382327539508e-08,2.6809061682860815e-09,4.089053741042441e-09,0.0,7.51441594964286e-09,3.155339782280408e-08,1.6830204890947246e-08,2.0699318886307054e-08,1.575137255574746e-08,2.2476509537437133e-08,1.2106542427252887e-08,2.7269647767034684e-08,1.9073840858151636e-08,1.9691142057200763e-08,2.130114447017457e-08
