,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.48532947424656675,0.6999534868718881,0.6863368046766146,0.46404857844455943,0.6203767013008057,0.6386515092707116,0.6745639442431145,0.5833568536484779,0.5682933666593329,0.8135349491629189,0.6434952949123559,0.6678407876708664,0.48143968817677874,0.6677848873555683,0.6746066094587835,0.5974270980783326,0.7069034953121119,0.6630687991647555,0.7088156721382137,0.6515572810755246,0.6792747791656379,0.7278225330107186,0.5158416255087058,0.6768337798362223,0.5178057285914934,0.6425064209494292,0.6666964712627488,0.6599940204117837,0.5746356054320348,0.4556735732943284,0.6011490274255277,0.2821364175947641,0.5165932229972536,0.7520795519432043,0.7253618383511596,0.0,0.6716083861206121,0.6770046581828819,0.5680087694337166,0.6677848873555683,0.6567014799648933,0.6446622910995113,0.7244180995399453,0.6801980050067329,0.7153831610177475,0.678096021204574,0.651473555443378,0.6823054426996105,0.3791739322380308,0.6630880298006167,0.6314782735590274,0.6027959024221216,0.6121937339922544,0.5042639093720621,0.6680174632409221,0.46101879791001765,0.6071449556693257,0.6741283894220511,0.6760884064213106,0.7149000481872168,0.6132794850478471,0.669743403272097,0.5051819957162674,0.6452288897183012,0.18186544720248554,0.6235229298547762,0.6956990483600703,0.6760884064213106,0.6212428621222664,0.6894914956047985,0.7187802369663173,0.6761650734619219,0.72261533637451,0.6486369089676458,0.6674220302903476,0.6430714278302527,0.6657133789797863,0.7501741209790217,0.6570271315653275,0.5785179478422504,0.6486369089676458,0.5714379340135943,0.67081001097175,0.6422094229284364,0.699056842359658,0.6926539849973046,0.635684025705663,0.6177081925823339,0.5279869634200886,0.5218129235515697,0.6687807571601497,0.6144846630615628,0.7611856434219603,0.5048513621504683,0.7353119679640593,0.0,0.5920496797497503,0.6429605249015016,0.5462308030380455,0.6600904631329454,0.7603523714204671,0.7250833628748876,1.0,0.6230711858417783,0.6903100923898683,0.6319179598106369,0.6570198828735702,0.6072514194369208,0.548993356885862,0.5782000349947404,0.6417117411501143,0.7026784565236129,0.6217289950207204,0.6253216221356862,0.6289206709458517,0.7223824083960423,0.6977087408211291,0.45999770397284934,0.7135390897760978,0.6622432607970391,0.7155085504355966,0.6851110405027231,0.6972657653472897,0.6771606446662332,0.5606012061556477,0.0,0.7181138647182344,0.6760206202496677,0.6576189812139002,0.6733980113568955,0.6660380169454145,0.6929026838171582,0.44610155777332694,0.6340085344334345,0.705182001393532,0.743198571923171,0.5973167559860214,0.4972564265368321,0.6429879989409819,0.6596628851745944,0.6449657241495069,0.7208899989593398,0.6493859792966636,0.7003380956330261,0.7157950245541707,0.6862331257565134,0.6742555154430212,0.4450411573931872,0.6673344205855931,0.6999245714249205,0.7545501490281553,0.6788622453382156,0.6493114022557159,0.6905690707643009,0.6877341437020345,0.674664509602644,0.6144706091631148,0.6864956499266034,0.649920056173527,0.6519343386677248,0.7238823301627811,0.6694453880655821,0.6877341437020345,0.6910286257176905,0.7197980384417301,0.6574557160292549,0.6806174482552497,0.6214834203711248,0.7810451565501887,0.6978762954308521,0.737607701158361,0.6665713956984396,0.6782211757683754,0.6389216797635916,0.5029705036089058,0.5785179478422505,0.6677240532917619,0.6586506261722886,0.6733874322404229,0.6842942411858631,0.7066263066810856,0.6492631263973081,0.6827358766909603,0.6608436052991455,0.0,0.6618064744994236,0.517442479872659,0.6921792622808824,0.5922452743855056,0.6779987263551217,0.6997377405147963,0.6454691225627538,0.6470024435374176,0.6845601058732638,0.652148387183285,0.5627704916174985,0.6863233860208919,0.6361632473252573,0.6691881904370997,0.6859784392429125,0.45072132421536903,0.670601952120573,0.5920046374660208,0.4402886267499386,0.557367934110148,0.7050511923979534,0.7136287292861729,0.6409845638141273,0.7387733297212477,0.4743805620357284,0.7357396062211758,0.7182657139867157,0.5230511913363604,0.6311952685805595,0.4143366077756018,0.7182553098857128,0.7169828354662914,0.5953068521849807,0.6868144140650789,0.4410468374867507,0.6499200561735271,0.5033594538208058,0.43835383434674063,0.3732705558259059,0.649920056173527,0.5748895077143259,0.5112826303370981,0.4473127896030597,0.7271786735340245,0.7118939633862446,0.6746221189264776,0.7387733297212477,0.723281123488684,0.6779074253802285,0.6929318321356743,0.6795067217149382
Agricultural and forestry machinery,0.00020427834554194725,0.0022000089996795447,0.002120493642060964,0.0001490547579669285,0.00036948954713626265,0.00015371359413769253,0.0013349569998512899,0.0003120707581601381,0.0003527368976259802,0.0787696645307291,0.0002397716325860329,0.00017137245210588323,0.0002038046561093487,0.00023962634834617816,0.00011361036023711496,0.00042738425642421677,0.001094165436775737,0.00022234126547774136,0.0008257802759788582,0.0005583508395563482,0.0004760343809435435,0.0024684080671033225,0.00021241647819847108,0.00041974541980911674,0.00020950512353562422,0.00033765995377871944,0.0002528807596297203,0.00022015474185427738,0.0002857786250356266,0.0001500350478112001,0.0003486546966954649,0.0002847226169861659,0.0001943716302504174,0.09498073775028104,0.0038551414583317713,0.0,0.0013712814059118053,0.0016760454069328953,0.0002439546110065882,0.00023962634834617818,0.0002072405308315065,0.0003881599432519932,0.00039495923387810396,0.0012040792806973437,0.0008514220261327032,0.0007383081249051646,0.009672685635920567,0.001425538337756257,0.0004225978172916033,0.008584520113761407,0.0002841468854942056,0.00046179411512068004,0.00020190317383636885,0.00030435553471975233,0.0002396263483461782,0.00019798876490759884,0.0006518149936155119,0.00017443192044942058,0.0001684528561052387,0.0007257061066901887,0.0002541896804344159,0.00025991886052226145,0.0005819495109609494,0.0006005083936221519,0.0009950319437265996,0.0026398626453973603,0.0002243656382804532,0.0,0.00014691229424742248,0.00029483458311980543,0.0004750180161547683,0.00015651496158456616,0.002423867837388082,0.0007297342375438956,0.00017137245210588326,0.0004772741957721053,0.00024325852237705504,0.0020407464526649042,0.012549296084836603,0.0002607241588621642,0.0003405370423170136,0.0004561688128352807,0.0009642304044240546,0.0001631967466071772,0.0007185131818204479,0.0004918750830090886,0.0003167085062030286,0.00024886831906541473,0.00024007011061009633,0.00039538335277354596,0.0002567425186268509,0.000507883209180459,0.12413532139972937,0.0004845992384850593,0.0009103686050034696,0.0,0.0004241488202539561,0.0001920198546450783,0.0007318266837669157,0.000209075694830537,0.013874586727266745,0.002683559350520959,0.0001490547579669285,0.0002775706316855308,0.0004247317151566267,0.00044345184740093293,0.0002392714942660076,0.00032602624282818176,7.561397011225617e-05,0.00027901401071935494,0.0006039252791554978,0.0013683356526660213,0.0002083741417889756,0.0013711502546127235,0.0003525658875083194,0.003020450828960076,0.0011349714680866658,0.00017580086413451413,0.0011766812485602398,0.0003832107284608038,0.02221307871540737,0.0003668896300281937,0.0022076141468474466,0.0005564805996491354,0.00017248483693060263,0.0,0.0023195699598273817,0.0005963108543570988,0.00023709177166902074,0.00022628677663205077,0.00020138130040989394,0.012138085775094717,0.00034619323599566215,0.0002804191629744028,0.003952790384992193,0.09677924023166724,0.00027287050369995315,0.00026745782331846746,0.0008226729482147615,0.0014027379019811703,0.0004699472856091981,0.002184428860622838,0.0006222595179526262,0.000604351713953526,0.0019379592472141846,0.0015713754980264606,0.0007908924213826714,0.0001490547579669285,0.0010155909588177104,0.000990270642757436,0.016751590634596643,0.0010369537551591173,0.0003651769958479584,0.00031146642903996815,0.00045647282158971827,0.0017117253055124297,0.0004299380272604374,0.0010371614417388209,0.0005617825794687887,0.00022131422476831517,0.002875005841622921,0.00030017208857090335,0.0015758869263751854,0.001229701793745422,0.005400880196993369,0.0003510477865411465,0.0003261018330711267,0.0004517018700564596,0.009797642156890095,0.00037275953642721234,0.002294149407578907,0.00012911266968715381,0.0003949592338781041,0.00032850403995892985,0.00033066403497294966,0.00026072415886216436,0.00039239298868812766,0.001041907647137069,0.00020982991280006717,0.0002657770085608585,0.002303564085697235,0.0017707891205801275,0.0010867993750783257,0.0004625647641280029,0.0,0.0003900454138789651,0.0033213910052916885,0.0013002898374805036,0.0005298893684532134,0.0001713091539804067,0.0007000628440343853,0.00017662220257617554,0.00030015913948983736,0.056526371278861884,0.00016822079700454985,0.0011038183320377756,0.0002357832352409073,0.0001741334568182027,0.00019242881216712746,0.000681899841643206,0.00015641600089174118,0.0039736402117493,0.00045693690817244286,0.00016154222561872578,0.0003840584217563854,0.0005707435883795651,0.002460005332756712,0.00041642063314419454,0.00022234126547774128,0.00046767839420726163,0.03214328981771301,0.0014326408906330866,0.0003473444712208031,0.0006411486906675108,0.0005604496258156622,0.0023189462189807885,0.001960915236619505,0.001034784571766986,0.0015921234323364867,0.0001671532090427273,0.0002643395406095514,0.0003933778367966756,0.0001490547579669285,0.0024614395336260094,0.0,0.00018785840482575474,0.0013800560492738588,0.0001774071326036932,0.010054679428608592,0.0004784409863352997,0.00032064641701336953,0.0011196763792010913,0.0007328924508571798,0.000698628008733206,0.015239315236210884,0.0011549363461948276
Aircraft and spacecraft,0.039833126578496386,0.03652946130575225,0.03562452174618866,0.03454105069559618,0.02149960733800898,0.03192309183421709,0.034602145506232286,0.03536028128326751,0.03194280074460303,0.1672142966979853,0.03426955914503759,0.021752285776880476,0.16124540815623645,0.024436850234976312,0.055072409948152365,0.056945829663569446,0.033112861484927286,0.033168337579342067,0.04529899520451423,0.06031634341801547,0.08371491851274032,0.1187856368232731,0.03594901081811997,0.09610022585479813,0.09970059490234644,0.030854249691107845,0.03183694206847849,0.03314036184411479,0.030809550687222374,0.03188352020406545,0.035911688084826615,0.03504410638705224,0.034701285915567655,0.09625274619311096,0.0732719815080261,0.0,0.03774268070984825,0.04918158709390029,0.03387510833064658,0.03051644586737412,0.03795492610659006,0.11136649164606176,0.03461871219932831,0.032813330928289135,0.03300223718770915,0.392517895460674,0.03660314453637524,0.03531525462810681,0.03255458293229021,0.03713429466681409,0.050949669179269026,0.0362497761936925,0.02691885969277372,0.05336243235894505,0.024436850234976312,0.030164725359065902,0.03365284323828159,0.021353239300373448,0.03331086254070842,0.04419202314905792,0.0439537510839401,0.08525507614607558,0.03258724940611755,0.03639892534676712,0.03248639363852721,0.15817270531817226,0.03581804773713739,0.0,0.018402721717048032,0.03312939449079905,0.045273144620219856,0.037894482487177326,0.07016667439353325,0.04413016784698367,0.03183694206847849,0.035569852236285275,0.03397477028619845,0.038443535440511836,0.5085018112069244,0.07142486861303789,0.044269017157963574,0.032876389051590876,0.03420834067084147,0.043808218279484515,0.05199779566576218,0.04425595614152807,0.03224076450272451,0.0348733855281053,0.028292158478916137,0.03387353312676777,0.039485866255119954,0.032643564026746064,0.04073334401568815,0.032234656441011054,0.0961164508537787,0.0,0.03316102123967885,0.026127140705955253,0.031353781454630296,0.057475612960281315,0.159635064844737,0.09013244178274579,1.0,0.031923878034286875,0.0442858735237933,0.03150114755939834,0.03185159347703132,0.03381518428331915,0.010377839332443429,0.03184818057972476,0.035569852236285275,0.04012493318571295,0.06309626062729973,0.03341092318197055,0.028838103391843478,0.05386397789856712,0.17001188882601503,0.03184591867166699,0.030246902768234826,0.05516829163487979,0.11934613727093127,0.05169744722999892,0.037457320126393266,0.04098538589309073,0.03316672035528615,0.0,0.04912954570300288,0.03242372128033839,0.035859506119528844,0.03718801894156692,0.03488072834514485,0.03464064599192227,0.021352998839776607,0.03381093794992736,0.03161432619748179,0.06755845703408155,0.04831914191380691,0.037132094589878845,0.03561983462878093,0.02985271027350492,0.038022480051048614,0.03277587238829986,0.03582383031698662,0.0333875922842254,0.0,0.02856893120930637,0.025062342578720805,0.04255555239388888,0.036266230887006035,0.02476336618324228,0.07755950392496182,0.03401489313396059,0.07501410949029996,0.03196576296112778,0.0,0.04830210773165065,0.034129647781669444,0.03105270383331693,0.0715001436356459,0.04379078887141386,0.05612893154897276,0.0244368502349763,0.05163297468840946,0.1549136250068123,0.032192729107801694,0.03260081290258101,0.03183694206847848,0.03291766290723662,0.08305721158726197,0.030936601265388393,0.5074770796087199,0.033588398031248703,0.03527486286220641,0.03224076450272451,0.03175742196049815,0.0714248686130379,0.031082769265975637,0.04089585140212792,0.028888579856602196,0.03527486286220641,0.0325228590547882,0.0359646379574987,0.03523304471564604,0.030852972361300305,0.0,0.03819683500473157,0.031180416473004697,0.03689791719531641,0.08479553993548257,0.9909988444516267,0.13972868311594866,0.033529104652145814,0.03349379042500853,0.035152189875074645,0.037679528586488285,0.06001964405785466,0.03133877103505024,0.035376593954784534,0.03465499864999872,0.03688529733466829,0.03802062350006494,0.04301278044017332,0.034937244324419116,0.2533516611408499,0.03425318281140358,0.03646781822049945,0.04229037608701078,0.0663697843857874,0.034673054815490725,0.03509222049985495,0.2495096525586666,0.03479815356582384,0.03228433931888384,0.033144062865853675,0.026506814180893186,0.04012493318571293,0.033010911394515285,0.1318169825241203,0.03430190322232188,0.00937535724249359,0.06184864116420151,0.024794252360118032,0.03105270383331693,0.1751056581146036,0.04426901715796358,0.0319793461562203,0.03133758870901562,0.042446554144151744,0.034233711114174184,0.05071438762467694,0.02682451438363617,0.04194016585547051,0.035334460616842915,0.03293014225955574,0.031918506561357106,0.0655117649161979
Animal feed ingredients and pet foods,0.0,1.0000000000001241,1.0000000000001248,0.0,1.000000000000125,0.0,1.0000000000001246,1.0000000000001248,1.000000000000125,0.0,0.0,0.0,1.0000000000001243,1.0000000000001241,1.0000000000001252,1.0000000000001235,1.0000000000001241,1.0000000000001252,1.0000000000001255,0.0,1.0000000000001248,1.000000000000124,1.0000000000001252,1.0000000000001257,1.000000000000125,1.000000000000125,0.0,1.0000000000001246,1.0000000000001246,0.0,1.0000000000001246,1.0000000000001246,1.0000000000001246,1.0000000000001188,1.0000000000001226,0.0,1.0000000000001243,0.0,1.000000000000125,0.0,1.000000000000125,1.0000000000001252,1.0000000000001248,1.0000000000001243,1.0000000000001248,1.0000000000001243,1.0000000000001257,1.0000000000001252,1.0000000000001252,1.0000000000001252,1.0000000000001257,1.0000000000001255,1.0000000000001248,0.0,0.0,0.0,1.000000000000125,1.0000000000001243,1.0000000000001243,1.0000000000001246,1.0000000000001248,1.000000000000125,1.0000000000001241,1.0000000000001248,1.0000000000001235,1.0000000000001241,1.0000000000001252,0.0,1.000000000000125,1.0000000000001246,1.000000000000125,1.0000000000001248,1.0000000000001235,0.0,1.000000000000125,0.0,1.0000000000001248,1.0000000000001248,1.0000000000001255,0.0,1.0000000000001243,1.0000000000001255,1.0000000000001252,0.0,1.000000000000125,1.0000000000001248,1.0000000000001248,1.0000000000001257,1.000000000000125,1.000000000000125,0.0,1.0000000000001243,0.0,1.000000000000125,1.000000000000124,0.0,1.0000000000001248,1.0000000000001243,1.0000000000001246,1.0000000000001246,1.0000000000001248,1.0000000000001226,0.0,1.0000000000001248,1.0000000000001243,1.0000000000001246,1.000000000000125,1.0000000000001248,1.0000000000001241,1.0000000000001243,1.000000000000125,1.0000000000001237,1.0000000000001243,1.0000000000001237,1.0000000000001243,1.0000000000001208,0.0,1.0000000000001243,1.0000000000001232,1.0000000000001246,1.0000000000001188,1.0000000000001243,1.0000000000001246,1.0000000000001246,1.0000000000001248,0.0,1.0000000000001237,1.000000000000125,1.0000000000001241,1.000000000000125,1.0000000000001241,1.000000000000125,1.0000000000001248,1.0000000000001248,1.0000000000001248,1.000000000000122,1.0000000000001255,0.0,1.0000000000001246,1.0000000000001252,1.0000000000001243,1.0000000000001221,1.0000000000001255,1.000000000000125,0.0,1.000000000000124,1.0000000000001243,0.0,1.0000000000001246,1.0000000000001248,1.000000000000121,1.000000000000125,1.0000000000001248,1.0000000000001246,0.0,1.0000000000001243,1.0000000000001243,1.0000000000001246,1.0000000000001248,1.0000000000001248,1.000000000000122,0.0,1.0000000000001246,1.0000000000001252,1.000000000000125,1.0000000000001246,0.0,1.000000000000124,1.0000000000001241,0.0,1.0000000000001246,1.0000000000001248,1.000000000000125,1.000000000000125,1.0000000000001235,1.0000000000001257,1.0000000000001252,1.0000000000001241,1.000000000000125,1.0000000000001248,1.000000000000121,1.0000000000001248,1.0000000000001243,1.0000000000001252,0.0,0.0,0.0,1.0000000000001246,1.0000000000001248,0.0,1.000000000000125,0.0,1.000000000000125,1.0000000000001241,1.000000000000125,1.0000000000001243,1.0000000000001261,1.0000000000001246,1.0000000000001243,1.0000000000001255,0.0,1.000000000000124,1.0000000000001246,0.0,1.0000000000001248,1.0000000000001243,1.0000000000001188,1.0000000000001246,0.0,1.000000000000125,1.0000000000001248,1.0000000000001246,1.000000000000125,1.0000000000001246,1.0000000000001243,0.0,1.0000000000001243,1.0000000000001248,1.0000000000001241,1.0000000000001252,0.0,1.0000000000001246,1.0000000000001248,1.0000000000001248,0.0,1.0000000000001248,1.0000000000001243,0.0,1.0000000000001232,1.000000000000125,0.0,1.0000000000001246,1.0000000000001248,1.0000000000001243,1.0000000000001237,1.0000000000001248
Articles of concrete cement and plaster,0.0008434678094079441,0.004862699520342324,0.0020730774046435353,0.00022968510948247583,0.0006715584827104448,3.350282185233458e-05,0.0071407226130617805,0.001801513103652839,0.00014007271200753435,0.01567183664913048,0.00013928962603328995,5.3818761907818045e-05,0.0007207005956325715,0.00030247228002907325,1.1615334969133406e-05,0.00032320725040553826,0.006819711966032644,9.080294441073254e-05,0.007391068836966741,0.00016277007027582657,0.003338259035218273,0.011363065168282055,1.5434830236536006e-05,0.00477022269719194,0.0003559732689052825,3.179634440933567e-05,1.7839254027082575e-05,0.0030876824867665832,0.0009282360827002146,0.0002693979874722905,0.002755503081770252,0.004669655272314474,0.0007701271153554374,0.01128981566544667,0.015769337432556554,0.00038260100005912506,0.005679894292235417,0.0023730251145151872,0.00013928962603328995,0.00030247228002907325,0.00012254474771542016,0.0023777597410876016,0.005346576042889374,0.0009814659905427055,0.001838615620793292,0.006173759263485806,0.002580790087521233,0.008537542140169998,0.00019452295006242888,0.004151617997270568,0.000352552956608478,0.0005482377491681199,0.0006375581932940333,0.000488591876403441,0.2645842218552434,0.0005112060877497674,6.145889525604727e-05,2.2198375062348393e-05,2.4724214897348196e-05,0.0050909523575117365,0.0008058941592293564,5.3818761907818045e-05,0.00038260100005912506,0.0004999605145947158,0.00017070966417658088,0.0018863648319360864,0.0016163787267602565,0.0,3.292763552731035e-05,9.379798419778516e-05,0.0037329334881325317,2.330150120917892e-05,0.024073975067555785,0.0018330728379611987,1.7708975010136688e-05,0.003098016096161819,6.408675587193738e-05,0.07732100700032919,0.0014702562461864138,0.001875606099016611,0.0018330728379611987,3.789565829279406e-05,0.007004727334023113,0.00030435368238861197,0.004533081832835178,0.002995589617146142,0.00013749227411845877,0.0026620572425501833,4.592728829522373e-05,0.001296524905518958,5.494695205478847e-05,0.0005909379734261429,0.00949659397782327,0.004058799000033788,0.0056583058094097334,0.0,0.0006953567066143976,1.4807708173490939e-05,0.001440096085910459,2.45890930590877e-05,0.02536572743787475,0.015769637503476545,0.0,0.00017669423213423254,0.0043279751713386615,0.0012672218916275901,0.00026538370109091504,0.0023096787719232717,2.3028243137335562e-05,0.0011115080053603393,0.004208056891182046,0.03314946026833188,0.0001580538874113011,0.0056999967651085335,0.00014803182081468767,0.01856227604295041,0.02045228546078661,0.00041862694246274637,0.006939236054260669,0.004166310562518888,0.012729630120051755,0.0017498556591469803,0.0017334781125437914,0.0010394757911571175,0.0007719919331967201,0.0,0.13438733860304822,0.005723519648512268,0.00015952430289583198,2.245906640223381e-05,0.00016268383414221217,0.006498488465433911,2.857828448585866e-05,0.00010417061804249377,0.0023062753068160834,0.051788858358789526,9.952973727907987e-06,0.010166936307565438,9.131996363389601e-05,0.0006034289099999346,2.983456009052167e-05,0.014468076285950407,0.00013767856716029311,0.0056202540436719114,0.008798160708214743,0.0029724209397603662,0.002529543868800842,0.00021490640195967676,0.014218268135551637,0.006049819675336673,0.019192594762615964,0.005719870172231608,0.00386220166466427,0.00158669955933417,0.007469572177966184,0.008397391407705889,0.0005839713398677501,0.007930692939617894,8.474404764823443e-05,3.316458810301323e-05,0.013944447402150588,0.002592634598113717,0.007930692939617894,0.0069505342544711485,0.00877775522935645,0.0014776296043889257,0.007930692939617897,0.00200191653798767,0.014739285549227406,0.014825513812603846,0.013010572053006724,1.9700184846102232e-05,0.005342330596948762,1.8503517472846466e-05,0.003366329363077048,0.0018756060990166115,0.00494399880401359,0.00010770814340325376,1.4561914417358399e-05,0.00419391055799866,0.004523124310085361,0.004646065012164271,0.005297976530398513,4.790584573868067e-05,0.0,0.003273539901693716,0.006830918761831341,0.004560899398049061,0.0009090615276219863,2.7091495692187657e-05,0.006117640197912161,3.158867648626437e-05,0.00013244281457197455,0.00461571210629955,0.0007338592614824633,0.00254908995792026,2.607233189370054e-05,7.536399617409101e-05,2.6314555011901017e-05,0.006114346913100352,0.0005445740195396007,0.019462697380752517,0.0022272020908654768,0.00032576506449881996,0.0016694242757662203,0.04523705321060287,0.013446887436316118,0.0015180127523308736,0.010625552737412404,0.0003882172194063031,0.08429124264317524,0.009058518572437349,0.0020535311465777442,0.0003032523506448956,7.775170006392355e-06,0.0240607689156443,0.016584512540404255,0.0005756626008514049,0.004537361365066008,6.031982132375997e-05,0.0,0.0018798740340186656,0.00022877818181802882,2.0043576043997514e-05,0.0,0.000848058115609853,0.0034748347367150236,0.00034559494787673203,0.012151001825683983,0.007532741339452486,0.004256222391615214,0.010625552737412404,0.005410939759709936,0.005691155905156571,0.00673098636009323,0.005435051354174447
Automobile bodies trailers & semi-trailers,0.00029458292457183136,0.003799477284291147,0.004278169247241649,0.00028654608764346935,0.0006999014206794967,0.00017633653048978,0.004220981134396092,0.0009547419913473185,0.0006281402638383717,0.0012278293393316111,0.0009841912660609698,0.00047517232021162344,0.0003348720067467751,0.001074515719629732,0.00042642635771736873,0.0010787444734210623,0.003597927126217583,0.00034264412888279573,0.0019106438050886642,0.000457676103198168,0.0023537270500894676,0.056182785438051,0.0005908390567668365,0.004031382940114196,0.00018995890631122943,0.0005318686100663761,0.00026364599200527926,0.001642599461989544,0.0009330358348858022,0.0008444897279610931,0.001684688861483506,9.210688310848673e-05,0.0014602600643112505,0.15777816179770532,0.02785341464585252,0.0,0.007216865414779634,0.0013256076902238036,0.00024339573501230377,0.0010745157196297317,0.0005839068105358121,0.002407122025420462,0.0027981711897729607,0.011054880418447441,0.001649071632532569,0.0035855069090600282,0.003804445886499038,0.0021815854134552095,0.0008159391496712745,0.0014851424715011457,0.00021842520345284762,0.0010194672383194426,0.0014303511441516095,0.01768158450687925,0.021780178585824383,0.0008201210891225618,0.0009349909180739322,0.000740251282982152,0.00041861129779270905,0.002870900908099385,0.00035916150649154715,0.0005123353359002627,0.0007889600982455606,0.0042575544414664695,0.00035845911203451637,0.004391202871861246,0.003377396777277727,0.0027981711897729607,0.00016714911517411824,0.0005355920181763612,0.002537125983618307,0.00020815343161676242,0.013875769974775548,0.0019570812897094785,0.00027914123408529027,0.0008790813477892499,0.0005074947406652425,0.0005401795861261798,0.033381573554558217,0.0010172430168061428,0.0019570812897094785,0.0007132557270284673,0.00619691316990992,0.0005715121081715852,0.0017472756978982624,0.0014059809777454328,0.0016344150475160425,0.0005341507217187013,0.00048128946901878034,0.0011255784359285106,0.0005707924179948992,0.0010753541238900913,0.0021717629654839803,0.008965619741061102,0.00822312045405959,0.0,0.0013572090074754945,0.0004938129165333498,0.0009597811239821513,0.0006508634415727816,0.07128549937713116,0.028603654176241763,0.00017848475845292302,0.001910548571885627,0.0019099141279895458,0.003565737653932975,0.0006440587042177871,0.0014747242134420767,0.00019289186008449776,0.001055875147940415,0.001216508834613279,0.004962502117433765,0.0035088624012184644,0.007247537615819934,0.0026276000098408143,0.016517289026616363,0.0029576629031661025,0.0002713316748879871,0.008199565416297745,0.0022024974174505853,0.005799668831716804,0.001672842838669232,0.0018094444413397802,0.015227363690270904,0.0009263590305853992,0.0,0.021701276934376776,0.007203873234268329,0.0004336066687588863,0.00129021817888558,0.000530387442192166,0.004061815098235816,0.0003298943668834961,0.0009043774077060008,0.023863407593861675,0.042739655940751596,0.0007665814964561286,0.001803572222455192,0.00046021648169066153,0.003224169294773155,0.04220991782463855,0.011986301534592623,0.0005759571565758264,0.005158862756311352,0.0049100940894675855,0.006880793463875748,0.0023147015083962203,0.00017848475845292302,0.016020341151244042,0.004018095727468919,0.007924749649035685,0.00651359715765142,0.0005232096853139784,0.006044806249298973,0.001114053922980642,0.005284910916002398,0.0015039495362200834,0.0022131486646328625,0.00048020491197948024,0.0004895444303929952,0.024830817243571786,0.042051636285029385,0.0021815854134552095,0.005795398610172502,0.041002273825252816,0.006591284382348671,0.0,0.011044258678195647,0.016012353817757372,0.006599722894152263,0.12114665750636643,0.00046890867546595485,0.005106039458327465,0.00018617425174680867,0.00041540361214104007,0.0010172430168061432,0.002500889378424179,0.029568144312853883,0.0007610765834031975,0.003766094556759661,0.002749597810242459,0.005100635111596109,0.002516456527360056,0.004603461605806698,0.0,0.004378083905483178,0.046104444375004654,0.002803979796185644,0.000710233130450345,0.0005622921332691499,0.0022636487361236807,0.0002594174587704085,0.0005517152987075753,0.004319833996829947,0.0004683911206110162,0.0011933244813027996,0.001795853496413774,0.0004895889937945807,0.0005738618975366644,0.007719169956531865,0.00025094869713211644,0.02098411271702118,0.0017151586343452192,0.0003482779594641614,0.0013059795658773264,0.0018008329540140087,0.016079406841749338,0.0028689302636986467,0.0022202925582629615,0.0016133598749997718,0.0017488519619374802,0.00989941168916156,0.0009315348963951035,0.05554092356463387,0.0005784275309417576,0.0020164442358884694,0.0028652409805041286,0.003994400520288344,0.0049874695253584655,0.000597322642321818,0.0,0.0026401482227861035,0.00017848475845292302,0.0004235688330607749,0.0,0.0005038922229203805,0.0022394398656390346,0.0023115089522213854,0.0033747247700007623,0.002007941150556266,0.0009995181303854006,0.0022202925582629615,0.004393896674861106,0.007220646756008394,0.0061515872971395205,0.00669309847918391
