,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.5225911984599557e-05,3.754945444710059e-05,3.532132002134389e-05,2.4119943382021993e-05,3.448810420297451e-05,3.3751475910132276e-05,4.073699849367645e-05,2.9078206965096806e-05,0.02784653254003247,3.558746744028211e-05,3.71894027440278e-05,3.723320711475676e-05,2.5320170164603987e-05,3.403546022518465e-05,4.1416265182604694e-05,0.004629114513188744,3.641368666277691e-05,3.6850172188155527e-05,3.672716883813676e-05,3.4295112036757946e-05,3.900019875615933e-05,3.7918995845925056e-05,2.972021131631516e-05,4.439516667961568e-05,2.709909919031951e-05,3.54566393241286e-05,3.628068482869495e-05,0.0001720568296537358,3.0317397628702857e-05,2.3674487436202276e-05,3.1370208971729175e-05,1.431189127799249e-05,2.8373461874383206e-05,0.00010702403864334717,5.052576783554905e-05,0.0,3.65291693904283e-05,3.5314285302141966e-05,3.863287260627413e-05,3.403546022518465e-05,3.514365151449841e-05,3.386466239559043e-05,3.6320214197731056e-05,3.578050309790744e-05,3.620497625026368e-05,3.6382462500837966e-05,3.491023758580137e-05,3.5627758001322384e-05,1.9525890673713758e-05,3.868275013110686e-05,3.379111985207398e-05,3.128768300143034e-05,3.623685089202083e-05,2.6374569335778258e-05,3.404294874205675e-05,2.4042416160594993e-05,3.549842011512079e-05,3.6428212376716796e-05,3.648984481810455e-05,3.6802239903376235e-05,3.153514232170827e-05,3.597840970699089e-05,2.6514849496582193e-05,3.588053885937805e-05,9.154933495706498e-06,4.0256374862343534e-05,3.838970976697617e-05,3.648984481810455e-05,3.334152159585411e-05,3.9039283419890926e-05,3.664378568558464e-05,3.622849603488401e-05,3.580090010283476e-05,3.530728929798403e-05,3.632840422972255e-05,4.590450748679109e-05,3.5841291841206866e-05,3.583758001059615e-05,3.570396884334614e-05,6.986994274526815e-05,3.530728929798403e-05,3.589980216680552e-05,3.467398437008332e-05,3.6139068740795005e-05,3.595028886072967e-05,3.531783543830653e-05,3.3676904177202e-05,2.9239762368010805e-05,2.7365027439319415e-05,3.589561211368762e-05,3.210253889799106e-05,3.775468677832101e-05,2.6292886028373187e-05,3.6446775324349356e-05,0.0,3.3156232536230105e-05,3.547167152803015e-05,2.8462983331537947e-05,3.5348290488518284e-05,3.8084500185705886e-05,5.2759790451499876e-05,3.6358574806163496e-05,3.2233899130275294e-05,0.0011422017532606355,3.821522397267032e-05,3.497476561660625e-05,0.00012316424340606312,3.034593443632997e-05,3.0233229902820407e-05,4.646786707653664e-05,3.505186357218518e-05,0.0004978781048998654,3.342558607398464e-05,0.0003436971824319426,3.6277208661694285e-05,3.52425802257446e-05,2.3951408779568234e-05,3.822618108154009e-05,4.4309722182568276e-05,3.6610352077741985e-05,3.709403553557961e-05,3.563898940075011e-05,3.713801916575039e-05,3.0045109313537522e-05,0.0,4.0667114434493804e-05,3.581773549751655e-05,4.0013016838117195e-05,3.936281359843485e-05,3.720638942633705e-05,3.5377633529731256e-05,2.4237777876114293e-05,3.717077152591586e-05,3.646104323752806e-05,3.6784080604256375e-05,3.173371012352753e-05,2.52229596556121e-05,3.503147318859003e-05,3.4850078886224294e-05,0.0006082850933243431,3.8326238039141145e-05,3.556212851133973e-05,3.865354666169285e-05,3.804181302062979e-05,3.5314610864945935e-05,3.501190148674363e-05,2.3125897061093234e-05,3.6428080415259166e-05,3.78088168528341e-05,3.659764336064707e-05,3.543144335995882e-05,3.4692544521767336e-05,3.673359037114407e-05,3.4710104743911296e-05,3.766393227447109e-05,3.235630723088417e-05,3.466822132617582e-05,3.3918290790192235e-05,3.491077062159748e-05,4.582521105233873e-05,3.459473464859717e-05,3.4710104743911296e-05,4.313179626325619e-05,3.6214458523818804e-05,3.360012197337825e-05,3.4352193780532154e-05,3.310155796057963e-05,3.654490472713701e-05,3.507023212102196e-05,3.671681810971801e-05,3.843597003506997e-05,4.0660779228272884e-05,3.43633872010787e-05,2.6149111289222602e-05,6.98699427452682e-05,3.4751178590416015e-05,3.614574835173099e-05,3.642411415608413e-05,6.329647560308794e-05,3.6587083131586623e-05,9.965005547778514e-05,7.930263015437159e-05,3.601079729456137e-05,3.6358574806163496e-05,0.0,3.5435442627084726e-05,2.6506826541644504e-05,3.5878025245385905e-05,3.1059901209801516e-05,3.57273417356627e-05,3.7427928862098266e-05,3.645177975128299e-05,3.522468398015963e-05,3.557521282746662e-05,4.5498975277064624e-05,2.9504986815473948e-05,3.74742210637203e-05,3.505676015651486e-05,3.626373091918494e-05,3.605730942407376e-05,2.3434583560171688e-05,3.561872469720456e-05,3.622323691021433e-05,2.2918648870532967e-05,3.177112796935206e-05,3.628370559718485e-05,3.698345249892412e-05,0.00037665004550096993,3.5331243096168356e-05,3.7753141652450216e-05,3.685399340050245e-05,3.728996579676361e-05,3.0315527360569463e-05,3.410994399022255e-05,3.2305728337120395e-05,3.628377433694579e-05,3.65472551658952e-05,3.067514513272098e-05,3.7050372878033916e-05,3.1773622488206105e-05,3.391829079019223e-05,2.6162895025660307e-05,2.2725786035133196e-05,2.9937050946918235e-05,3.3918290790192255e-05,3.0437060651301642e-05,2.6818658859082333e-05,2.3261328363376508e-05,3.689370381457524e-05,3.581775891314292e-05,3.579270415737515e-05,3.5331243096168356e-05,4.025314131716289e-05,3.55921213308797e-05,0.00034387426029387975,3.9833706888508865e-05
Agricultural and forestry machinery,4.756356237207998e-06,2.7227706300234426e-05,4.905090433873828e-05,2.045430954205818e-06,8.054224844740448e-06,5.996283800627552e-06,0.0008505249048427363,9.842417983456229e-06,0.020788080887204824,9.590225023938947e-06,4.321964676421896e-06,7.103178097882136e-06,8.935341996823821e-05,4.320271156879534e-06,5.599318701565889e-06,0.0001874065539761781,4.755456886626504e-05,9.028542222875361e-06,1.1903968059148615e-05,3.073197953151477e-05,1.4059613597270552e-05,1.087996978772548e-05,1.3882629720826972e-05,1.45372374626981e-05,2.538760113788244e-06,1.0774565370597229e-05,1.1078467159722439e-05,5.810649602677206e-05,4.043487860009754e-06,2.169854518887865e-06,6.180319691188358e-06,5.915730804404592e-06,3.5067331057417204e-06,1.0443181038229619e-05,1.0736257799217529e-05,0.0,2.9605760271200425e-05,1.036880799966688e-05,6.653928490277331e-06,4.320271156879534e-06,9.688370970713e-06,7.200707629254993e-06,1.03451633217604e-05,5.56933184499508e-05,1.1272617023556997e-05,6.200928094989771e-05,1.1077597344142855e-05,1.0637261211511063e-05,6.077600614627658e-06,0.00014259533941106352,6.346812856012826e-06,5.908233422237263e-06,8.611809963597431e-06,1.1882165867383583e-05,4.320271156879534e-06,3.7713462067334745e-06,7.188131536621828e-06,8.155806344344804e-06,1.1244244796358883e-05,2.2691393419687544e-05,4.7173797907027855e-06,2.446596807305164e-05,5.875041640170014e-06,1.2834022688036379e-05,9.364257004475392e-06,1.3103703807063574e-05,7.051401991108809e-06,0.0,5.5230194394717865e-06,8.799236355905408e-06,1.094397988457288e-05,7.032656803859839e-06,9.735717069485083e-06,1.0929405514581412e-05,7.1031780978821345e-06,1.2740859400547849e-05,2.074688923493293e-05,7.2992670241269105e-06,9.774441058082006e-06,9.131116870645051e-06,1.1044179974447496e-05,1.3979455116803334e-05,5.987716102859193e-06,1.2397332394718268e-05,1.1298123478679072e-05,6.6048005885420925e-06,1.0809055558643623e-05,7.579628095904828e-06,5.3864741276393064e-06,2.2647206882182655e-05,6.567907641303018e-06,9.901030548857552e-06,8.995710562068748e-06,9.436475245728185e-06,0.0,6.225356060253823e-06,9.106136012950837e-06,5.62337155057252e-06,1.6592068165206664e-05,1.0659778362652966e-05,1.0772818385120986e-05,2.045430954205818e-06,1.1051447463410508e-05,1.301999343297526e-05,6.180782849297846e-05,1.0543047613025814e-05,8.515431916514646e-06,2.7816959326787047e-06,4.970907004604543e-06,1.616541995571486e-05,1.0733418069870014e-05,0.00014420643952958576,1.1558638605653955e-05,0.0007051070178555834,1.0453314575471876e-05,1.0794613486909182e-05,2.992193976885283e-06,1.0819946132581202e-05,1.4054116494066614e-05,1.0227410303999275e-05,1.0437120539038854e-05,1.1252980954932047e-05,1.205036845322493e-05,2.983372872663494e-06,0.0,1.1060515208572454e-05,1.0054159324638468e-05,1.3416873921348367e-05,1.2363869585615695e-05,1.01212376341999e-05,6.503077825489207e-06,7.435429153585276e-06,1.335607853916416e-05,1.1079740976996237e-05,7.575628325874931e-05,3.7965853355756453e-06,6.038740190167363e-06,1.0432846232924413e-05,3.396797465429591e-05,1.0266163890479663e-05,1.0596635898777638e-05,9.887489186267596e-06,1.4092074524339802e-05,1.1183260354318324e-05,0.00012730315899338969,1.6983463074198253e-05,2.045430954205818e-06,1.027331145861598e-05,0.00011391080399997593,1.0781630614220716e-05,1.2268953474778008e-05,7.576999556161943e-06,9.359810646647912e-06,5.35229859859552e-06,1.6665771842402807e-05,6.585563074533252e-06,7.716156399003957e-06,3.094485157391804e-05,9.791096450895185e-06,1.0452207942079214e-05,4.525588912401559e-06,1.0679874636620613e-05,3.063859576642745e-05,1.8587266358857988e-05,5.6891268377956106e-06,6.068412020621285e-06,2.413398582895473e-05,1.0758193695682765e-05,8.498004359783461e-06,7.553500163721598e-06,6.083172045123657e-06,1.0345163321760403e-05,6.267912010087084e-06,6.144994537739175e-06,9.131116870645053e-06,7.172860607401545e-06,1.0126667885020085e-05,1.6226178609635586e-05,2.3373773170277352e-05,1.5624857039259546e-05,1.1999879414303323e-05,6.2808720118002e-05,1.2016787899399854e-05,8.55820914585677e-06,0.0,1.085428308571372e-05,9.747806110147788e-06,1.1482645638820974e-05,5.959979214700227e-06,1.0653028402883223e-05,7.02106026294554e-05,7.070684598453045e-06,1.1824707138103162e-05,1.9289391604559298e-05,6.901559492115265e-06,1.6223034093683386e-05,9.274198550083193e-05,6.548293686731087e-06,9.059016303712562e-06,1.0258736431082967e-05,2.5856673601964492e-06,0.00010656319823308327,2.283235248973769e-05,5.0858097986004945e-06,8.192480659636321e-05,4.5455943578680716e-05,1.0313575838226404e-05,3.375918244343892e-05,9.02854222287536e-06,0.0069373715071079705,1.1086140851727544e-05,1.1067966640066093e-05,5.160290658679884e-06,8.07592705651591e-06,1.708985024288859e-05,9.846419510559898e-06,1.1194215928287032e-05,0.0021742524521147348,1.8497995284079514e-05,1.0135794751712981e-05,6.697206239255643e-06,7.3239181155534344e-06,2.045430954205818e-06,6.073423130398755e-05,0.0,2.993611502569065e-06,9.29182321201657e-06,5.403397339572599e-06,1.0124116919222342e-05,1.5974036136377334e-05,6.864000005477328e-06,9.691097740607851e-06,0.0001441481855539376,9.670667611573416e-06,0.002875243082357661,0.00012314146557421265
Aircraft and spacecraft,3.65715431167164e-05,0.0001025253846442534,3.518787048236947e-05,3.8445518288333626e-05,2.9402269361014234e-05,6.070183872847948e-05,4.231177916867242e-05,7.587117334383529e-05,2.8568177213659103e-05,7.243784810490325e-05,4.225090818088008e-05,4.332642022527404e-05,3.623158957549954e-05,5.035475403184009e-05,6.288863614933958e-05,0.000945080310965889,0.9091221826071089,6.880805170495527e-05,4.956169692514918e-05,6.767510872934483e-05,4.2826540959675546e-05,8.383979631942535e-05,5.2252280898566736e-05,4.911187703489869e-05,4.941101009888951e-05,3.05517642319713e-05,2.4899932272515093e-05,5.294313408727134e-05,2.8718648352131963e-05,3.1255774740580315e-05,3.6169567222821954e-05,3.432751998930892e-05,7.72738768455374e-05,5.5084907025398965e-05,3.0236892603130308e-05,0.0,4.231325737290167e-05,5.7716360007035705e-05,3.689949355284506e-05,5.73775763810863e-05,7.798860012170218e-05,3.3693712420071765e-05,3.2610244018315416e-05,8.916016326818263e-05,4.68862311897965e-05,0.00010968102038804436,3.305535743439306e-05,4.6984339508084e-05,3.249534724227372e-05,7.054801710390631e-05,4.5164858969243745e-05,6.304874321554971e-05,4.198184070975223e-05,6.059872084316429e-05,5.035475403184009e-05,3.36520703089049e-05,4.140620132181461e-05,4.4055550190573294e-05,4.4951248751611076e-05,3.178313960091656e-05,7.349971959765179e-05,9.36568300868242e-05,5.389377789692701e-05,5.2590964641243453e-05,3.139700422626158e-05,4.756300220807196e-05,5.847274773619867e-05,0.0,5.137316290082802e-05,3.917047991711103e-05,5.0085224364313734e-05,6.456704608997108e-05,2.8832926579304678e-05,7.311498872791903e-05,2.4899932272515093e-05,3.256498341033659e-05,4.5495319493990255e-05,4.8644125668459224e-05,5.854598103398638e-05,6.370700029996306e-05,7.326380810749819e-05,4.691103225021347e-05,3.915621562375994e-05,3.8134185507462464e-05,7.323028376312356e-05,3.0967635826887184e-05,4.2788690798883426e-05,2.8601922795446762e-05,3.689377291937451e-05,4.0792605516564297e-05,3.055647051613712e-05,5.3018079272982634e-05,3.291941590274884e-05,4.7468376510747113e-05,0.0,5.898110025345815e-05,3.514826235936747e-05,2.955261905971842e-05,7.798082987621521e-05,4.460953758001815e-05,0.0025821687242724898,6.684310152956688e-05,5.468353911549563e-05,5.500390764605594e-05,3.520216628512185e-05,4.4181134465721424e-05,0.00010754173897815366,1.5908267235929167e-05,2.9108091980097035e-05,3.256498341033659e-05,3.5032860493955976e-05,4.261232483291653e-05,4.0722576109687734e-05,4.654874274432057e-05,4.411717549955042e-05,5.2573691744227986e-05,3.0517016020414022e-05,3.433103324252115e-05,0.007845663677903413,6.015151440974786e-05,4.3042501662621355e-05,5.775253447849997e-05,4.827359093947109e-05,3.471492063813093e-05,0.0,5.542102053047799e-05,5.777757373188057e-05,9.65337303996101e-05,0.00013839003461874218,0.0004679824272671626,4.253414775937652e-05,2.7946237952780804e-05,0.00011447228093331441,2.7621197130726448e-05,4.7789067586528875e-05,6.629652455815408e-05,7.155986792100472e-05,5.2406544602246464e-05,0.04451899090509238,4.819719064630228e-05,2.8077298853424584e-05,5.317926979889062e-05,4.3033986063808466e-05,0.0,3.2187830628779085e-05,2.7396788897326588e-05,6.726904976448016e-05,6.579340049006614e-05,5.239881686063864e-05,0.00016601833655411773,9.811797995059807e-05,2.9027553554218524e-05,2.533663252950073e-05,0.0,4.367963058414873e-05,6.116974540954214e-05,2.7787633345653703e-05,6.378019836803074e-05,3.409579465050863e-05,3.839749216511545e-05,5.0354754031840065e-05,4.9140295208617975e-05,6.318475674374309e-05,3.962620293800565e-05,3.165310098378977e-05,2.489993227251509e-05,4.047347180018215e-05,5.403768505976342e-05,2.9433363723998847e-05,5.766802918913429e-05,5.4833068105868894e-05,7.208231237326216e-05,3.0967635826887184e-05,3.284873678313322e-05,6.370700029996306e-05,2.794875997816956e-05,0.00018499730852199962,3.756905306860984e-05,7.208231237326216e-05,4.150540788424671e-05,3.8575301923862514e-05,0.0058677977845416635,3.4383683712446054e-05,6.684310152956688e-05,0.0,4.453675445316509e-05,5.1081397023616756e-05,5.688103676418813e-05,4.6425573615752035e-05,6.66451566281647e-05,6.176520624955302e-05,3.4862421101761946e-05,4.9490269547672704e-05,6.59442238650845e-05,6.396193900287874e-05,0.00017995915560763717,3.9983778480461274e-05,6.967188736983616e-05,4.4301261581241505e-05,4.373003418621052e-05,3.641401922358651e-05,0.00048291036546593293,5.6597883777440736e-05,4.810621145531095e-05,0.05152013643676646,4.343480661467781e-05,4.207098640289292e-05,6.126344462915992e-05,5.3946510938696796e-05,7.284326398020658e-05,9.104106057336413e-05,4.9199824273764405e-05,3.4249440501761495e-05,2.7119962386802285e-05,3.303324656997984e-05,3.503286049395599e-05,3.1990564310816145e-05,4.042304017561523e-05,4.422174438565948e-05,9.259300439788413e-05,5.688481111178387e-05,4.880375582226446e-05,2.7787633345653703e-05,3.828947152294835e-05,7.32638081074982e-05,3.066514891549275e-05,3.711150730562936e-05,6.10926195673249e-05,3.3976410477525655e-05,5.115986238428105e-05,5.1525636674314444e-05,7.585270404726883e-05,4.164713671144296e-05,7.049709706414656e-05,6.476802038407397e-05,8.757562234856401e-05
Animal feed ingredients and pet foods,0.0,1.0000000002128675,1.0000000002128677,0.0,1.0000000002128693,0.0,1.00000000021285,1.000000000212871,1.0000000002006428,0.0,0.0,0.0,1.0000000002128708,1.000000000212871,1.0000000002128706,1.0000000002088034,1.0000000002128706,1.000000000212871,1.0000000002128708,0.0,1.0000000002128706,1.00000000021287,1.0000000002128713,1.0000000002126537,1.0000000002128715,1.0000000002128706,0.0,1.0000000002128715,1.0000000002128702,0.0,1.0000000002128704,1.0000000002128715,1.0000000002128708,1.0000000002128702,1.0000000002128708,0.0,1.000000000212872,0.0,1.000000000212871,0.0,1.0000000002128708,1.0000000002128706,1.0000000002128715,1.0000000002128702,1.0000000002128706,1.000000000212871,1.000000000212872,1.0000000002128708,1.000000000212871,1.000000000212868,1.0000000002128653,1.0000000002128706,1.000000000212871,0.0,0.0,0.0,1.0000000002128688,1.0000000002128706,1.0000000002128713,1.0000000002128686,1.000000000212871,1.0000000002128706,1.000000000212869,1.0000000002128708,1.0000000002128702,1.000000000212871,1.0000000002128537,0.0,1.000000000212871,1.0000000002128708,1.0000000002128708,1.0000000002128713,1.000000000212871,0.0,1.0000000002128715,0.0,1.000000000212871,1.000000000212871,1.0000000002128713,0.0,1.0000000002128708,1.0000000002128202,0.0,1.0000000002128713,1.0000000002128682,1.0000000002128688,1.0000000002128713,1.0000000002128715,1.0000000002128713,0.0,1.000000000212871,0.0,1.000000000212871,1.0000000002128713,0.0,1.000000000212871,1.000000000212871,1.0000000002128708,1.0000000002128706,1.000000000212871,1.0000000002128708,0.0,1.000000000212871,1.0000000002128708,1.0000000002128655,1.0000000002128715,1.000000000212871,1.0000000002128713,1.0000000002128706,1.0000000002128693,1.000000000212871,1.0000000002128437,1.0000000002128706,1.000000000212662,1.0000000002128702,0.0,1.000000000212871,1.0000000002128657,1.0000000002127651,1.0000000002128708,1.0000000002128702,1.0000000002128706,1.000000000212814,1.0000000002128715,0.0,1.0000000002128706,1.000000000212872,1.0000000002128702,1.0000000002128708,1.000000000212871,1.000000000212872,1.000000000212871,1.0000000002128706,1.0000000002128717,1.0000000002128688,1.000000000212871,0.0,1.0000000002128715,1.0000000002128706,1.0000000002128706,1.0000000002128706,1.000000000212872,1.000000000212872,0.0,1.0000000002128717,1.0000000002128702,0.0,1.00000000021287,1.000000000212872,1.0000000002128702,1.0000000002128715,1.000000000212872,1.0000000002128706,0.0,1.0000000002128702,1.0000000002128706,1.000000000212871,1.0000000002128715,1.000000000212871,1.0000000002128708,0.0,1.000000000212871,1.0000000002128564,1.0000000002128697,1.0000000002128708,0.0,1.0000000002128708,1.0000000002128708,0.0,1.0000000002128706,1.0000000002128706,1.0000000002128715,1.0000000002128653,1.0000000002128708,1.0000000002128653,1.000000000212872,1.0000000002128606,1.0000000002128713,1.000000000212871,1.0000000002128708,1.0000000002128682,1.0000000002128706,1.0000000002128706,1.0000000002128706,0.0,0.0,0.0,1.0000000002128713,1.0000000002128715,0.0,1.0000000002128517,0.0,1.0000000002128715,1.000000000212871,1.0000000002128655,1.0000000002128706,1.0000000002128715,1.0000000002128706,1.0000000002128708,1.000000000212872,0.0,1.0000000002128697,1.0000000002128535,0.0,1.000000000212865,1.00000000021287,1.0000000002128708,1.0000000002128524,0.0,1.0000000002128524,1.000000000212871,1.000000000212871,1.000000000212871,1.0000000002127944,1.0000000002128515,0.0,1.0000000002128708,1.0000000002128715,1.000000000212871,1.0000000002128702,0.0,1.0000000002128704,1.000000000212871,1.000000000212867,0.0,1.0000000002128713,1.0000000002128708,0.0,1.0000000002128706,1.0000000002128715,0.0,1.000000000212871,1.000000000212871,1.0000000002128715,1.0000000002128715,1.0000000002128717
Articles of concrete cement and plaster,2.1096632770565424e-06,8.33459333216028e-06,3.661464546738909e-06,9.530211535284253e-07,1.5588701086961673e-06,7.369693402635722e-08,6.860931829548238e-06,6.73482943081469e-06,0.07411188297599072,1.735932980489682e-05,9.175861885701097e-07,2.615691944209492e-07,1.6028436441433943e-06,2.264543957263769e-06,3.322905759504944e-08,5.045913397747594e-06,1.2363812902011277e-05,5.112245732785905e-07,9.319334603166597e-06,3.859953804974433e-07,5.411865393553714e-06,1.1652788905087845e-05,4.891469187349283e-08,5.910614420618776e-06,1.1775326895329744e-06,2.2625188258654464e-07,7.335746694865088e-08,0.00016044445093389478,1.679835073949355e-06,9.299868787693234e-07,0.0010883912026538574,9.77771983012019e-06,1.7644433090786695e-06,1.1557505017323861e-05,1.2449988672353e-05,1.2056635183012917e-06,3.312492660187693e-05,5.005878159975107e-06,9.175861885701097e-07,2.264543957263769e-06,2.75431987401758e-07,6.218799415579112e-06,1.1242025026124483e-05,1.8922834207470166e-06,4.530286738725763e-06,2.04383875498036e-05,4.5213816393698845e-06,1.7499382165420898e-05,1.9402402631665822e-07,1.4056485299068688e-05,8.143647959089189e-07,1.6219949156235105e-06,1.4085537270418012e-06,9.484115734420026e-07,6.402362764347253e-06,1.3179647852666163e-06,2.2231217468559753e-07,1.668352765553986e-07,9.87655677741123e-08,9.729243931677869e-06,1.7893513166921906e-06,2.615691944209492e-07,1.2056635183012917e-06,1.1458883332487645e-06,4.061411137128702e-07,3.0904310304964407e-06,2.6260051121254933e-06,0.0,7.239073838000508e-08,1.1698824566529221e-06,6.74748032001618e-06,3.064618933101788e-07,1.3017666054605723e-05,3.4034790418020604e-06,7.468048711966762e-08,6.221861108977364e-06,2.9543614418804856e-07,1.087771006005134e-05,2.529604478318907e-06,0.00011105926231987064,3.4034790418020604e-06,6.749872449225515e-06,6.020047445520978e-07,9.307412498752064e-06,5.371863342612415e-06,3.0816625583356e-07,5.140122582057217e-06,6.583501647193263e-07,2.686473555304875e-06,2.6509257389743635e-07,1.3221950389981555e-06,1.070693170827027e-05,4.042909769964499e-06,1.0465746227823875e-05,0.0,1.7897316946112052e-06,6.300107268530605e-08,3.1098406108517895e-06,5.4701989634451536e-08,1.1145274395405133e-05,1.244915279726975e-05,0.0,3.188389806232507e-07,8.677022987369837e-06,2.285177374411954e-06,9.282206104607265e-07,0.000175064094971873,5.5812607874641776e-08,2.0320696397270843e-06,5.481505206328025e-06,1.5085199331048724e-05,2.234781812022126e-06,2.2040302819192203e-05,2.1939747254123727e-06,1.4936475864601625e-05,1.3738543266051593e-05,1.301390266561396e-06,1.0085710946635068e-05,5.591447158800075e-05,1.7948002476320278e-05,2.0716548073041954e-06,2.7723923123434625e-06,1.998511362994977e-06,1.8880326737996338e-06,0.0,0.0005175703338611209,3.4112196453889426e-05,6.1278544343838236e-06,9.892525696859283e-08,4.631011974842629e-06,1.1988540902263919e-05,3.1976944048762136e-08,1.3910893300165736e-06,4.092516547493207e-06,3.7389340817004065e-05,8.87117776224365e-08,9.189714653135484e-06,4.793861587494498e-07,1.4157218903109162e-06,1.6307246040697338e-07,1.6143037988435996e-05,5.049668618919359e-07,2.1045939769496088e-05,1.0453324604290287e-05,1.1330581894865588e-05,5.213323500995803e-06,8.932647039950712e-07,1.1147308279595014e-05,2.9248516439981822e-05,1.1951540935063726e-05,3.2988996978356333e-05,3.7750917835019107e-06,1.864387793951141e-06,1.6872161334587983e-05,1.0508589413437034e-05,1.484603258233796e-06,1.781199414658591e-05,2.17623427505474e-07,1.2829746719646868e-07,1.2802691336648135e-05,3.300506859954875e-06,1.781199414658591e-05,6.931674241442961e-06,1.2639509163753386e-05,3.2926781682358265e-06,1.7811994146585904e-05,8.521339017941578e-06,1.55743221809666e-05,1.2408772399954278e-05,1.030177171565799e-05,8.764624894427994e-07,1.1448944416612239e-05,5.916363674371196e-08,8.109079059652049e-06,0.00011105926231987068,6.814706368970614e-06,1.0826409993749315e-07,4.625448202244934e-08,6.742195121205295e-05,8.134141949874576e-06,5.8473048290316955e-06,7.10343909362805e-06,9.189949965660699e-08,4.740859910202963e-06,0.0,1.1212920525105396e-05,1.175922048030271e-05,9.042195226865292e-06,2.0875634794241025e-06,9.881879027751082e-08,8.856678809311715e-06,1.657423728321913e-07,1.004472176083647e-06,9.8368510998068e-06,1.5199747447990114e-06,5.265757748704435e-06,2.40718943427745e-07,6.937803741067289e-07,2.880720015516667e-07,3.332735822051823e-05,1.0158983931297876e-06,1.735202308670104e-05,3.8038540987088745e-06,1.1120088030510693e-06,2.9227892468341974e-06,7.805889562749955e-06,1.8919386253473507e-05,2.2319741799880573e-05,1.4134367931727837e-05,0.00235054063478872,1.0582881884417908e-05,1.3685843982208082e-05,3.914401204414659e-06,6.645360897907259e-07,4.166155946641039e-08,1.3016413911415336e-05,1.2696457911638432e-05,9.375336557698618e-07,9.790342962515142e-06,1.974318933984571e-06,0.0,6.306299121833804e-06,9.519113854242086e-07,2.4005905563043554e-06,0.0,1.2817556700295018e-06,7.319594185420724e-06,1.0474392722897379e-06,1.410847732760653e-05,1.0788286918124409e-05,3.4129128599394575e-06,1.4134367931727837e-05,8.330803540960648e-06,3.422032034136017e-05,2.5339510399598612e-05,3.144000683496201e-05
