,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.13326016005700975,0.190257175051872,0.1963731526922392,0.1273884769552711,0.30603916557221844,0.2225587020200746,0.19575675100534762,0.15642566805881322,0.2131225877299942,0.18612247395308543,0.19959216439385116,0.22434589841541344,0.13326512119687764,0.1800547212706261,0.22417929824118984,0.1996053712230921,0.19447817982243912,0.2160388158533053,0.19904501981305914,0.19581843712023098,0.19765861816425398,0.19387122045557642,0.18527503545448407,0.19808340980314912,0.1460570744846552,0.2752211224000076,0.23977348868243048,0.25579634126817047,0.1586224704233454,0.12567713096787803,0.16710039917909958,0.07663775980265439,0.14354523188798515,0.18810270016299244,0.19351129206054915,0.0,0.20395095103977806,0.20382841072901428,0.15554732510240982,0.1800547212706261,0.22458675829078492,0.17965366737088,0.19385695002233042,0.22164479411000576,0.19514782034733164,0.19701099157529564,0.20167098892700913,0.2079185965409421,0.10347752005155252,0.20013462442890018,0.20923438236858385,0.16440331132692393,0.20051196520661746,0.14094706611705526,0.18009094850211688,0.12808831502179802,0.18337176355005247,0.2314555272144486,0.19298038678211063,0.16891050454532763,0.2477230873294228,0.13873713623824394,0.21145939068254377,0.049514053521951804,0.20236618140551438,0.19634108789918636,0.2314555272144486,0.2256147728942845,0.21652238426177167,0.1955577532274082,0.2213252545844996,0.18859539764528413,0.20469459978139487,0.24009107571604976,0.2147609905995804,0.2391920083600835,0.18904987781642563,0.20846071899627688,0.18847295427505878,0.20469459978139487,0.2308943845677797,0.1866170995498104,0.2176902245048708,0.19683191177627543,0.1938495763572379,0.2008571607600454,0.18701246434543276,0.18193755856481308,0.1426734930847879,0.24394115144934744,0.16669145840005437,0.19131556469345387,0.1380301422174025,0.19227433570716956,0.0,0.16216094754194513,0.29595171113792873,0.14858345008219712,0.2078877522944398,0.19201330308697986,0.19309043198965017,0.18826343383709543,0.1800437629281295,0.19248960582038516,0.18168772169613756,0.214010812163365,0.206831066834781,0.19908187569706995,0.15723527726224687,0.2164876328893104,0.18520067655204694,0.20799591073155152,0.17850829941866575,0.20849844085111752,0.19287585673421626,0.18712994651925355,0.1264240499590462,0.19223348071600396,0.1940851823969766,0.19571084106460573,0.20115195674494477,0.1898785898275556,0.19615937754206791,0.15481332403103087,0.0,0.1944287476131755,0.20630894760099228,0.2467866195224413,0.22931764883287808,0.2884228933921985,0.18725100522105853,0.18015819521477577,0.27953626186062297,0.20258027717667443,0.1888897168555723,0.16398724391062577,0.1332773366341505,0.22007765429308243,0.20208976600418116,0.2031041175845459,0.19334368394362947,0.2945817281049676,0.197384964411688,0.19223771378958446,0.19602515036488508,0.194021721681159,0.12264392479762314,0.1992303145802166,0.1966601435341823,0.19036104816566113,0.2046807135822106,0.22105946203026872,0.20109646279750318,0.18359297884445527,0.18960533894884338,0.16724000509490597,0.18337331602069104,0.19282848099403285,0.19739896175766652,0.19311911500419784,0.17990392305461927,0.18359297884445527,0.19450907567300277,0.1931460967017129,0.1770257411047765,0.18171632207009433,0.16994220309109676,0.19048804435069272,0.18489294339776616,0.19114537538397952,0.2158972450849782,0.19611289738680465,0.21728210815076193,0.13659756944847995,0.18847295427505878,0.2506213117685823,0.20974394631436757,0.26864301650685213,0.2422227060669561,0.19297475671421233,0.19518641252453447,0.18361030747727963,0.22161512295463628,0.18826343383709543,0.0,0.20644816874302882,0.1395707685178955,0.19327100121652177,0.16160435139662183,0.22629698728427827,0.18997651904189236,0.21698886061809827,0.28518462338825745,0.18997441812767007,0.21143260807324482,0.15581777660193422,0.23720591593789475,0.22149452262455993,0.21802689675547782,0.2055182140901946,0.12423404672654892,0.2061556461618169,0.16584989060493238,0.12047745890070724,0.16146836733522985,0.19469213081153863,0.19294921853193564,0.2124040687699021,0.185086144571834,0.14091893183259493,0.19241369399540234,0.19175221382689941,0.151323355758149,0.28628809332824023,0.12184490799635855,0.19126980908813954,0.19262299737881156,0.16551073406606706,0.1906793002054968,0.17708325734728533,0.19282848099403274,0.13683614929452606,0.11994888147991034,0.1191408593844533,0.19282848099403277,0.1639090937154363,0.14064026822184109,0.124026400723176,0.1931112550938539,0.19268009256703056,0.22089818797547295,0.185086144571834,0.1928238391610819,0.20859206085922938,0.1973891493126595,0.2023910233603949
Agricultural and forestry machinery,0.007880150425808852,0.02539682399130121,0.02054266949844015,0.004787753346171295,0.02017955070479034,0.01612342972193658,0.02274776298949951,0.015037225058317373,0.0327148246233659,0.02102377575082327,0.011157324206026291,0.022974989644327457,0.008226251556162634,0.01115455689028098,0.047874994676357925,0.028059141247040387,0.01940128279149251,0.020838919733909205,0.019410102350838152,0.02504896451219015,0.01743125917162743,0.019336328039876408,0.03611856136125731,0.022948435235288826,0.006528747358023184,0.07025556978375798,0.022834158156888735,0.03907024849351389,0.008619168972490756,0.005053227381019273,0.01305867002798037,0.013323902626122822,0.00833892278727657,0.02080110174445017,0.02092636390481837,0.0,0.01967296095603633,0.02288366136660992,0.0129659235241784,0.01115455689028098,0.03302845245184878,0.01709736554537303,0.01763095254026427,0.019306191832326826,0.018944132990788266,0.019253742562924628,0.020136869296948638,0.024697847782049427,0.012129236763258272,0.024293942340366505,0.01571381500960993,0.012770576782190892,0.01909203701027422,0.014102374235721724,0.011154556890280975,0.009328021844098434,0.017863188758348466,0.032964959028307234,0.020457595881642997,0.010942321214172176,0.03935879545544346,0.012130958851537017,0.019939913996643133,0.017896067399937442,0.0252848806921043,0.013207681150896163,0.0,0.013862181941598882,0.02794875797367711,0.02523112891196285,0.01959318543190918,0.01963488381143379,0.03035031388917189,0.022974989644327457,0.017405897938530562,0.03765002710078836,0.013464119554845437,0.020754618699897216,0.022808646534662438,0.03247602092424235,0.02576413941323133,0.055156785386679716,0.015427593690022766,0.017804758396152087,0.01987578481895629,0.01712248715299565,0.017545096277887213,0.019999629241767816,0.01215412252323387,0.0390988178434548,0.01384019796101783,0.020227609787072543,0.014871280536355473,0.01813216214899385,0.0,0.013407539583667298,0.034122726183828916,0.011676035547267835,0.06516870877120334,0.019465872365062555,0.019829872900804943,0.004787753346171295,0.03464228109888546,0.018596197174376668,0.02492416483689437,0.029527203214818203,0.017984538412180315,0.007396155978620322,0.01087917521731685,0.022487656307564417,0.025403139228718702,0.03640551613361748,0.020679793680507284,0.02939771089099911,0.02060236108583115,0.02376970574734109,0.006453269670262494,0.024115708200830848,0.037802392150890554,0.02110374160185233,0.01846379258026353,0.02355234181193283,0.020514935831345397,0.006984333245263435,0.0,0.02041794180173599,0.022620659794045397,0.040906061246276396,0.029001053598584958,0.03811674609395132,0.01171882101414853,0.01938419342709394,0.03446321864190379,0.019251212264101546,0.02670487619432282,0.007070379028085786,0.01097792487891638,0.035568049814634566,0.020671779921630832,0.022648675049421675,0.021099311460254025,0.027118731111778302,0.027730566069490717,0.024613662737968205,0.0187547716950868,0.022368541436541635,0.004787753346171295,0.02250878992195532,0.018939363975178404,0.02200086150298508,0.020045286359774695,0.018094096674192227,0.021163101472076413,0.01351964754726489,0.020640080608695564,0.013804800268368628,0.02125169648565162,0.025130759107319878,0.034183135099062734,0.01918629354055915,0.011533472992273025,0.025728819321761374,0.026889335286410253,0.022029615942824803,0.011733128946011097,0.01372145522630867,0.015436427331815978,0.02021458844555041,0.014882656221564258,0.015231762362413886,0.02976044785926066,0.017630952540264262,0.016985657517243995,0.01337041537932689,0.02280864653466244,0.01891430937558713,0.022078233775156116,0.042089837705090116,0.04796156655749586,0.01954934460071457,0.025408496941194528,0.022524481567228936,0.01672470638376732,0.01644765739255537,0.0,0.03073695090397173,0.02120763965745989,0.02135965050794213,0.011957361861140514,0.03271020620312957,0.018852223798151484,0.022251050037580253,0.03547751548016247,0.00778526499564092,0.02153101062657405,0.01878696569045509,0.17170787757531053,0.024767454349065576,0.02990539401365051,0.018961618902302194,0.0052624111695760475,0.021122431776260032,0.022614278328059824,0.014074894805848084,0.021757260117440405,0.02352810673429555,0.02084581300112272,0.027519504774666578,0.0208389197339092,0.024722743099609427,0.022093366668633235,0.020382025903244373,0.01153479912578017,0.01686573324905327,0.025862734173992666,0.020084426647987895,0.02462867832898632,0.021546657968186653,0.02059678325054859,0.02944028255086983,0.013039110913197427,0.014452446716184321,0.004787753346171295,0.021612284192364595,0.0,0.007306318863735561,0.014110274245863896,0.008248788128561748,0.019609586139854616,0.019459866673848074,0.01933621751405848,0.020814049525407552,0.021910538865144668,0.019897435836973537,0.019488663269124077,0.020439938057730464
Aircraft and spacecraft,0.0038913848583459467,0.006222918579208924,0.00439003042668647,0.003906698045154955,0.0036710790703570087,0.0037582138375861197,0.0049864146088718034,0.006020521332923461,0.003235970179205657,0.007200010483211097,0.005352488555173874,0.9620444062306933,0.0033542586112408424,0.0029880523363187703,0.007634587069034,0.005000765056987504,0.007378913773866191,0.0064324460933730685,0.006862704439877739,0.007794937770374904,0.01192810608566788,0.012271954341941472,0.059134382078234245,0.005390192619418596,0.005278526743163389,0.0032079264038632517,0.002835040801753035,0.026197569159924446,0.038597846425470796,0.003306766147583228,0.008885431063961408,0.010927413678092879,0.00439585991020501,0.005169333947269839,0.002893175189335415,0.0,0.0037644766380826064,0.020395831175457808,0.003693618311209518,0.004439441930735533,0.004425374364909235,0.010810504633176109,0.004508619114631745,0.0032547370770130073,0.005399175502167217,0.08483456196520393,0.005072916239553687,0.00378809500928187,0.004013739599953595,0.0052187549058715045,0.0035228636263671706,0.0036950808289805998,0.003027861491279711,0.006696178637369346,0.0029880523363187707,0.0033765007140835203,0.006435502954372782,0.006971231796660164,0.003616633157261929,0.0075579779138723645,0.004157599303087492,0.003241196235843447,0.028134015057840463,0.003412971108798744,0.0054537425537126,0.004743368965078754,0.0,0.0020524712755344166,0.009866844061333332,0.0053417204724829715,0.003943063583644913,0.0029886930031246105,0.007695561068993076,0.002835040801753035,0.0034059186860953337,0.006932449049180024,0.0039357791104542355,0.003456353319758676,0.0078358678894007,0.007722610758818237,0.007715798971093129,0.007207497512230444,0.0042236954300598996,0.029404397778427023,0.007718179016002875,0.0037672573111139185,0.004976702856754303,0.0034113846605612294,0.0036932135831044405,0.004315016947891288,0.03069992645284247,0.004839645828267214,0.0032334473996847098,0.005182463967400786,0.0,0.010621236550913711,0.004099218020801591,0.003242203638614195,0.006504006164785687,0.003901626487111858,0.0044589078408972865,0.0036601101332700858,0.0032578885655433335,0.008676481052535469,0.0033194029744330815,0.0041966804655472105,0.004171595977949743,0.0016137489274217307,0.0031488230749083827,0.0034059186860953337,0.0037047864289120247,0.028391939843271513,0.008624387249743471,0.007678185368572928,0.0055524972251440475,0.003123400951223909,0.0033000449542690043,0.003152875870430394,0.004309407591041191,0.00951084724786455,0.004740641976554202,0.006165762081741035,0.006247153463760411,0.003705360973349528,0.0,0.022951455533622243,0.004174077125079996,0.008344583321812121,0.0036272093892085505,0.007140256814901519,0.0039233816281521346,0.0022032803182476294,0.014255836549250684,0.0029586621160072545,0.003658248328076907,0.003457990092645886,0.004277817225242423,0.051554700075673386,0.005496388303613209,0.006056302089854878,0.00325009546957473,0.0050396382260189535,0.006758935487789267,0.0,0.0035505009579832004,0.007020292110498754,0.00705842015368642,0.006821859438444662,0.003108638573695776,0.004156043746510073,0.004494186991121965,0.002909333706556677,0.0028683143371409296,0.0,0.007383265381280728,0.008355492113607048,0.003017664127648535,0.00784534435116473,0.003838002862152322,0.032165098595933465,0.002988052336318769,0.004855219760022949,0.005457616298853043,0.005921842626873988,0.004207776371113906,0.0028350408017530342,0.004678311109786346,0.004891255684596214,0.0030500569170487284,0.003825641537270159,0.004970663689749383,0.010592249342301158,0.0037672573111139185,0.004117814961456385,0.007835867889400697,0.00302626251754641,0.004882251554169696,0.005876601633270545,0.010592249342301158,0.004539280056732274,0.004600399821641209,0.008852999342827773,0.003146379429547275,0.0036601101332700858,0.0,0.0039062064651884175,0.0036009538791915542,0.004401187517742303,0.0049663363864994965,0.003691190507813594,0.008078689360567885,0.0035478642664762048,0.0072746693611234585,0.02241177260623942,0.005737704401558873,0.006666387492816544,0.041750274072376685,0.016714266373539444,0.007957317296989086,0.003510435889221488,0.0040214284043420465,0.0036962267255521955,0.007159897489409006,0.004200300594006298,0.006728020260344717,0.004046459822407495,0.004321248167980533,0.011348797303499962,0.0040604078011893365,0.010291145608955918,0.0035948396213340782,0.003710629463890564,0.003270795632507055,0.0032511086866611584,0.003726463437527661,0.003704786428912026,0.003935918794887366,0.00536481037755043,0.027088672948765245,0.00472645624317002,0.006780351486425439,0.004611642719307302,0.003017664127648535,0.0042047008626188345,0.007722610758818237,0.0033022656883424386,0.01005351527084793,0.010839362466572841,0.004991766819788584,0.003184468371728265,0.0032081676011253227,0.004372385917724039,0.004917049356328507,0.004456394964017853,0.004278800344953756,0.004730783544537728
Animal feed ingredients and pet foods,0.0,1.0000000000000084,1.0000000000000087,0.0,1.0000000000000078,0.0,1.0000000000000082,1.0000000000000084,1.0000000000000078,0.0,0.0,0.0,1.0000000000000089,1.0000000000000084,1.0000000000000073,1.0000000000000089,1.0000000000000073,1.0000000000000084,1.0000000000000082,0.0,1.000000000000008,1.0000000000000087,1.000000000000008,1.0000000000000084,1.0000000000000087,1.0000000000000078,0.0,1.0000000000000078,1.000000000000008,0.0,1.0000000000000084,1.0000000000000082,1.0000000000000082,1.0000000000000084,1.0000000000000089,0.0,1.0000000000000082,0.0,1.000000000000008,0.0,1.0000000000000084,1.0000000000000087,1.0000000000000082,1.0000000000000075,1.0000000000000089,1.0000000000000089,1.0000000000000087,1.0000000000000073,1.0000000000000084,1.000000000000008,1.000000000000008,1.0000000000000084,1.0000000000000089,0.0,0.0,0.0,1.0000000000000082,1.0000000000000084,1.0000000000000084,1.0000000000000082,1.0000000000000075,1.0000000000000084,1.0000000000000082,1.000000000000007,1.0000000000000082,1.0000000000000082,0.0,1.0000000000000082,1.0000000000000078,1.0000000000000084,1.0000000000000075,1.0000000000000082,0.0,1.0000000000000089,0.0,1.0000000000000082,1.0000000000000082,1.0000000000000082,0.0,1.000000000000008,1.0000000000000084,1.0000000000000087,0.0,1.0000000000000075,1.0000000000000078,1.000000000000008,1.0000000000000084,1.0000000000000075,1.0000000000000078,0.0,1.0000000000000089,0.0,1.0000000000000082,1.0000000000000087,0.0,1.0000000000000075,1.000000000000008,1.0000000000000084,1.0000000000000078,1.0000000000000084,1.0000000000000089,0.0,1.0000000000000082,1.000000000000008,1.0000000000000078,1.0000000000000084,1.0000000000000087,1.0000000000000078,1.0000000000000078,1.0000000000000082,1.0000000000000082,1.0000000000000082,1.0000000000000078,1.000000000000008,1.000000000000008,0.0,1.0000000000000078,1.0000000000000084,1.0000000000000084,1.0000000000000082,1.0000000000000078,1.000000000000008,1.0000000000000082,1.0000000000000084,0.0,1.000000000000008,1.0000000000000084,1.0000000000000075,1.0000000000000084,1.0000000000000082,1.0000000000000084,1.0000000000000087,1.000000000000008,1.0000000000000082,1.0000000000000082,1.0000000000000089,0.0,1.000000000000008,1.0000000000000078,1.0000000000000075,1.0000000000000078,1.0000000000000075,1.0000000000000089,0.0,1.0000000000000082,1.0000000000000084,0.0,1.0000000000000082,1.0000000000000089,1.0000000000000084,1.000000000000008,1.0000000000000089,1.000000000000008,0.0,1.0000000000000078,1.0000000000000084,1.000000000000008,1.000000000000008,1.0000000000000082,1.0000000000000078,0.0,1.000000000000008,1.000000000000009,1.0000000000000084,1.0000000000000082,0.0,1.0000000000000078,1.000000000000009,0.0,1.0000000000000082,1.0000000000000073,1.0000000000000084,1.0000000000000087,1.0000000000000087,1.0000000000000078,1.0000000000000093,1.0000000000000082,1.0000000000000084,1.0000000000000075,1.0000000000000084,1.0000000000000082,1.0000000000000084,1.0000000000000075,1.0000000000000084,0.0,0.0,0.0,1.0000000000000082,1.000000000000008,0.0,1.0000000000000087,0.0,1.0000000000000075,1.000000000000008,1.0000000000000087,1.000000000000008,1.0000000000000033,1.000000000000008,1.0000000000000082,1.0000000000000087,0.0,1.0000000000000075,1.000000000000008,0.0,1.0000000000000084,1.0000000000000075,1.0000000000000082,1.0000000000000073,0.0,1.0000000000000084,1.0000000000000084,1.000000000000008,1.0000000000000084,1.0000000000000084,1.000000000000009,0.0,1.0000000000000087,1.0000000000000082,1.000000000000008,1.0000000000000069,0.0,1.0000000000000082,1.0000000000000082,1.0000000000000078,0.0,1.0000000000000082,1.0000000000000082,0.0,1.000000000000008,1.0000000000000084,0.0,1.0000000000000078,1.0000000000000087,1.000000000000008,1.0000000000000084,1.000000000000008
Articles of concrete cement and plaster,0.0048005395573438294,0.016273607022484437,0.00711234434852133,0.0008006669839531414,0.02321004211222326,0.0004859340256331191,0.02026040972930976,0.02186235740052789,0.0012612279464509165,0.021824659951873708,0.0006894622276215534,0.013415341101115745,0.0032478433133898755,0.0009781619852368686,0.007479312691957776,0.0039427254761766955,0.019659989575897856,0.0034262282121564603,0.017925712028832235,0.003224963745226705,0.011514390538895716,0.021311522952596865,0.002949800485317382,0.0175135161040428,0.001436722534671792,0.010691227554976496,0.0008400718332848911,0.0479524871664078,0.0035889242000520616,0.0013123422619118917,0.01891074929825509,0.024581296587072202,0.002905804316528527,0.02137504290936745,0.020216189847143518,0.014708093509976936,0.01878744565098268,0.009978495732232908,0.0006894622276215534,0.0009781619852368686,0.029244667342852016,0.013379346434205143,0.02136262199819162,0.013701857258322684,0.007331202884510957,0.019007514932934046,0.009281931722411865,0.011543200114383706,0.0006137782538758291,0.016403858378991616,0.0018315247703167951,0.002292800100105093,0.002861114165198804,0.002731778534902804,0.008400415594636569,0.0015801810008548862,0.0011965632826961834,0.006853166694155302,0.019272388031618654,0.0030054389387722405,0.013415341101115745,0.014708093509976936,0.004486459425332126,0.0006869415364916899,0.008238834320673422,0.007008555661504827,0.0,0.0004700599473456561,0.00930176968108046,0.013465512107782556,0.000610156017471518,0.014389869188994398,0.033860575781142814,0.0008860830413112843,0.018862022939955213,0.011386766538082443,0.017891163046425386,0.005603800470019867,0.009295077553573653,0.033860575781142814,0.0006280524536250931,0.013509933847968562,0.005645166607917432,0.017975494049547642,0.01132941715322116,0.0008317507787969592,0.01349089658171448,0.0005544380553534574,0.005281719255151759,0.013421809219914498,0.0113338767297156,0.02719045591408563,0.007879686314743698,0.02430720321180098,0.0,0.005600868997997053,0.007224687645186603,0.008609495529992697,0.0040630017198256,0.020716888881913066,0.0202157085673996,0.0,0.011894144754007657,0.017294638152226302,0.0046008154803185985,0.015093740007505704,0.011979991997208103,0.0004617021865895848,0.004039971365698213,0.027106843158587735,0.01961985642924561,0.0015274533902854615,0.016742833123334817,0.0017014538286358267,0.022409407155315093,0.014142918947172373,0.0015096040736554887,0.02863752912014765,0.018473409231433327,0.023750593871326386,0.022184081469457752,0.013034036934452962,0.004953319909291722,0.0032729036764560676,0.0,0.02092665871408875,0.018661348284767232,0.008687581471932123,0.0021835253540059825,0.005806372322756271,0.02124226631438071,0.0003782824577655004,0.0031478723906443406,0.010038475022081363,0.01947458614237738,9.941837137559045e-05,0.013421995954108696,0.033389624649719826,0.009596475370728087,0.000414643448035226,0.022884484065385954,0.022933621777252156,0.0266981552667543,0.027469351823368897,0.008766776284868667,0.011107929821712634,0.0008661630541583715,0.018416428030588572,0.018808790467530707,0.02107971934959363,0.018694079568302276,0.006054109831196262,0.004091648578070188,0.010318030166156109,0.018257180604081966,0.002923288364720915,0.01091894367240592,0.0028579647474222107,0.000902683998652784,0.020811172045931487,0.0022702547373764804,0.01091894367240592,0.020949132626743177,0.020456233924315507,0.008406834982661397,0.010918943672405925,0.009457280384736493,0.02221674090222443,0.020436043211217128,0.017162982382734667,0.0024735789259865324,0.02147616068659306,0.0003684144642718228,0.022124092778926303,0.009295077553573653,0.01186292714793925,0.0005524805946467181,0.0018602120781894727,0.05218909562447895,0.013320504457773195,0.01564363994810389,0.016867781089666745,0.000236694669349478,0.007396752623499759,0.0,0.028300745748435066,0.019405461273720816,0.01757941969961977,0.004878467310478532,0.002574737047180472,0.01987827813394227,0.0010591874518439204,0.06358439735802296,0.014292493377855887,0.0037183813693547436,0.010162583891956256,0.06580647153881376,0.009290525712800226,0.0007143943520995448,0.018809792990535392,0.030422787704343028,0.01824559174465518,0.0219767278176217,0.011723709767746386,0.006710951656402921,0.0144290109882436,0.02394113640142696,0.017500996177239502,0.01729475533283429,0.004667344984749495,0.02004499828749026,0.016795868143366855,0.008234756372492524,0.041566367982540625,0.00014986030595983007,0.014394786221664981,0.020126985019557845,0.001306213603548951,0.014142860860247863,0.0015041057714320404,0.0,0.01753885076844411,0.0007973354592545855,0.00016983966779629013,0.0,0.0021204159458390985,0.03154822472871276,0.003436506808205844,0.021725740102387953,0.016572808461861578,0.004474266946537275,0.01729475533283429,0.017823404709506243,0.018654250419976807,0.019456640147673,0.018096448169044866
Automobile bodies trailers & semi-trailers,0.011031222578982456,0.03663920804007834,0.027325675879126484,0.0036747787986490302,0.05384076302290567,0.00955575499754174,0.035236749263770475,0.01034673309807243,0.0435758671696691,0.008285609129313861,0.009891355439099666,0.06256099927778361,0.003557813672829615,0.0053133921466805,0.07702488361669975,0.03863845519034161,0.03381269901272361,0.021660596981408556,0.02439924957159655,0.02394835002977787,0.023303154404103955,0.02948791012189199,0.0735715983070005,0.028889431823427895,0.0020150029036354726,0.052593477793144286,0.014768799620797222,0.07122714139806006,0.004872351425899847,0.0072849061019750385,0.03291080358074218,0.0014577712799346363,0.02257510272161373,0.02780850097806566,0.03589707258510194,0.0,0.02801474177164808,0.02104529999386588,0.0025339967877999036,0.005313392146680501,0.08193080526055849,0.016243306324603465,0.028804733728667986,0.02310861562960469,0.02296560428549795,0.026696934216334844,0.022080318002167088,0.026775616777115225,0.0031976429049219916,0.034304984826301295,0.011765657089300472,0.01349467160200718,0.025103518395897396,0.021582804624677918,0.005579723910951322,0.008792144390255188,0.012768191114010523,0.04477874372837782,0.02884598256917199,0.012936412204613832,0.043520555868943205,0.006625775523784344,0.036711418734828485,0.0031580416264228995,0.030318183002545525,0.029994154762092023,0.028804733728667983,0.008658557727992643,0.03848168652612474,0.024644345361176614,0.011838537947263512,0.020703504665184745,0.039160021716038114,0.014577814669054574,0.007120182633406912,0.04155573054639862,0.006284194533015387,0.02345068459510121,0.019404831213661683,0.039160021716038114,0.04979864852093532,0.03738283121701782,0.02559435555815657,0.02981483365274661,0.03673385067455634,0.014753569969288059,0.00867105767109634,0.025358587742676648,0.01742156434908344,0.043089311528058075,0.007771216957619157,0.029635192778989114,0.02941536185299542,0.03021665159104135,0.0,0.008113754701740136,0.07069984106481168,0.00983602442876526,0.09367088416001262,0.028629475520950843,0.03530467922986835,0.0018406414818097428,0.03534467847263133,0.02464985901789189,0.022674053144054684,0.043797578124954786,0.027097370512523315,0.011061377598653577,0.011173688291727305,0.03630147143848747,0.03276101924734896,0.2003677034883183,0.025842305315983197,0.03920660670908328,0.0284787842694242,0.028305143998911236,0.002693931799146106,0.029940786419928526,0.024096407712980737,0.03037698167707816,0.03242085271260942,0.015861468946533373,0.024286161758235943,0.012699279884866377,0.0,0.029793273819169165,0.02838513922972258,0.04164877499614248,0.033433677541005735,0.0446053384546622,0.02918125715395504,0.021935618340780512,0.04934220649921443,0.02573098306428721,0.029500914801165644,0.007704267838104593,0.019400482997353637,0.04212689589969678,0.026726019401502724,0.02774126858176817,0.028630355907509702,0.0450772648290157,0.032313552744706826,0.0315361496308853,0.026085045261678236,0.023472321268038828,0.0018406414818097428,0.026900212658915065,0.027760980799210213,0.03020459355240621,0.02772822957374563,0.015934744428840804,0.022970527274072432,0.006079900169196028,0.027531751905942033,0.007399637376801256,0.026759227810551303,0.0247397085029063,0.02702399901434896,0.03413713779302946,0.02419199599294808,0.026775616777115225,0.031482325411408794,0.027878980807327886,0.02653415945120734,0.0,0.015989463339210395,0.029435790051720742,0.025745026529398304,0.01979452349261336,0.03600770258279794,0.10500741032587592,0.01127897347121062,0.0070436130242878025,0.019404831213661676,0.017053473448869823,0.028798397326035743,0.06797020880867581,0.11788837495305914,0.02297621995913852,0.017484601776592133,0.024786070921174817,0.024937994686354138,0.018162320882878457,0.0,0.03420196889863018,0.02892686612890169,0.018597255074276564,0.0068215215992211845,0.04353317359809173,0.020837822973186485,0.007391184664587941,0.11196586374132685,0.03357831926310253,0.020009775707389467,0.013567841901405376,0.22578837769072624,0.06709346638783326,0.03909375051917944,0.028451317578280955,0.00880699392721731,0.02328083557007207,0.027261847145489366,0.003354481212957343,0.01995711931005225,0.024795491992031876,0.024193487460217454,0.04268895448920485,0.016005545202846968,0.06207939943529845,0.008988651497280654,0.026456354371584286,0.012519057988422361,0.02320721044844998,0.011905239450986854,0.010777146012028541,0.04148346145521168,0.025218548388680113,0.02825925700393613,0.2298002969937437,0.0,0.0156980743438518,0.0018406414818097428,0.008873302064938289,0.0,0.008066354329817994,0.011587979261099264,0.02368780653481224,0.029327091694587214,0.02104792913187651,0.017324756194871227,0.016005545202846968,0.028492457501413153,0.028380588674634912,0.028209725086956617,0.029559278561746245
