,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.2213180881349731e-07,1.9238542114986414e-07,2.1507759959215035e-07,1.1324016722996525e-07,1.856955760616881e-07,1.6732109239371307e-07,1.7181369912023622e-07,1.3981202284506763e-07,1.5031152092321356e-07,1.6853944276907337e-07,2.2279106295620812e-07,1.8120951851388877e-07,1.24496794717799e-07,1.613409039885286e-07,1.727116290449065e-07,2.8315814710564105e-07,1.7002687731415562e-07,1.8369712322706256e-07,1.746882876834379e-07,3.267481450883141e-07,1.717720156457078e-07,1.707404193870759e-07,1.4740527867189744e-07,1.7807375136082633e-07,3.558925551629031e-07,1.7507167055616807e-07,1.7606281182247636e-07,1.674111118752615e-07,1.3942397817355106e-07,1.2419837885855326e-07,1.4597572278534934e-07,7.043297533592287e-08,1.5414196250910878e-07,1.6949205538597325e-07,1.7134355451969865e-07,0.0,1.6882389451838246e-07,1.7683578345881148e-07,3.4839375752625853e-07,1.613409039885286e-07,1.8041953278020932e-07,1.595435441053922e-07,1.7033658387313754e-07,2.3934605576294176e-07,1.712458729440681e-07,1.6376071963710408e-07,4.4378937907657104e-07,1.677583805183863e-07,9.304909607858841e-08,1.8211604988739667e-07,1.7078480784465548e-07,1.467412496340833e-07,1.7700381400637673e-07,1.4351877040105405e-07,1.6136884881205911e-07,3.439055453265078e-07,2.6064531017490185e-07,1.744612121391175e-07,1.714650108244163e-07,1.6980224910520203e-07,1.4718508326864146e-07,3.873058930574039e-07,1.2626160415998606e-07,1.8355952047246488e-07,4.330977653629809e-08,2.0220697928608586e-07,1.7276396365798255e-07,1.714650108244163e-07,1.6614033113108945e-07,2.8520181462303975e-07,1.709863076235516e-07,2.0300100814241491e-07,1.6792897832650743e-07,1.7096190229171842e-07,1.7616488412239906e-07,1.6958661962956522e-07,1.677042004387847e-07,2.46968009598986e-07,1.997873319327705e-07,1.7096190229171842e-07,2.2229184602849073e-07,2.0985451693230345e-07,1.8910722893698693e-07,1.738019963195992e-07,1.797645105375034e-07,1.9318567916313936e-07,1.7094229801173352e-07,1.4792250575824568e-07,1.2892297374728418e-07,4.926280344660249e-07,1.4965682657494072e-07,1.7046088372510245e-07,1.5556794431882033e-07,1.7092198650212124e-07,0.0,1.426948610168828e-07,1.7718209842432893e-07,1.3684680737842885e-07,1.662084904280836e-07,1.7518607304375065e-07,1.712513695231089e-07,1.7387802988620776e-07,1.5654413223983625e-07,1.7643863184338736e-07,1.9688233135238708e-07,1.2664278817755684e-06,1.6975672023418104e-07,1.4746405683798321e-07,1.440574068775162e-07,1.6942709043419857e-07,1.6322067031747814e-07,1.614903417614054e-07,1.569168765126193e-07,1.6361818465207625e-07,1.7056606446348368e-07,1.6565212544844003e-07,1.1460185445088029e-07,1.6997391286645479e-07,1.7558801560032197e-07,1.7006333563541905e-07,1.7552298656155455e-07,1.7750181258516422e-07,1.8084079903626358e-07,1.431375334528616e-07,0.0,1.719440259313455e-07,1.8192415679250292e-07,1.8973587903771262e-07,1.79478336249107e-07,2.5274408927041266e-07,1.6437678079476282e-07,1.2400066781837394e-07,1.7042616552026956e-07,1.7275621163935022e-07,1.6927588948653282e-07,1.4425146671809622e-07,2.444223337518944e-07,1.7576950584554865e-07,1.6565146266894465e-07,1.82150054349929e-07,1.7110924343265118e-07,1.7521184630657594e-07,1.689447262221552e-07,1.7007214481670094e-07,2.3403045353676072e-07,1.8315599405357339e-07,1.0855042468694984e-07,1.7201988285080306e-07,1.726505380783408e-07,1.8410436670251083e-07,1.6925556761617405e-07,1.6705148038018542e-07,1.712569274435979e-07,1.63821052598308e-07,1.749764344917323e-07,1.5478061368302438e-07,1.6366707950968712e-07,3.4865137742091376e-07,1.9625938930036967e-05,1.724386636482384e-07,1.610500824386826e-07,1.63821052598308e-07,1.7771974146265193e-07,1.7040862720154598e-07,1.6366496950254899e-07,1.621824474941427e-07,1.5038509182157735e-07,1.7047542755736924e-07,1.6398365981775438e-07,1.7094722573806496e-07,1.700423246529109e-07,1.7175718534635696e-07,1.7851047238152198e-07,1.2470129725807304e-07,1.9978733193277055e-07,1.668594006715989e-07,1.7792734825900568e-07,1.7983703245521015e-07,1.7642591364108043e-07,1.698370121465333e-07,1.7568332661417352e-07,1.889081536132421e-07,1.7887749059701397e-07,1.7387802988620776e-07,0.0,1.702685524623024e-07,1.240204024682618e-07,1.7581468459706554e-07,1.464644920119909e-07,2.631017177217688e-07,1.7208821493302565e-07,2.3366080689162336e-07,1.693303233826423e-07,1.6596149313018044e-07,1.8141100461109793e-07,1.522946638789181e-07,1.716142582750187e-07,1.7157472528077568e-07,1.9761533116728212e-07,1.6951235073367933e-07,1.1355273950852124e-07,1.6790572251346493e-07,2.204305370581877e-07,1.0912894735483408e-07,1.406503913474847e-07,1.7514029031979704e-07,1.7154533346354816e-07,1.642829552735641e-07,1.6589478852232476e-07,2.6494704239802583e-07,1.7163563762244168e-07,1.697765808469539e-07,2.2766705180755785e-07,1.704950816147524e-07,2.9106639720519583e-07,1.6899785601481145e-07,1.6952967979349367e-07,1.431252366676949e-07,1.6700167059000667e-07,1.1497583116749242e-07,3.486513774209138e-07,1.40970298818556e-07,1.0650045208525475e-07,9.918854174529054e-08,3.486513774209138e-07,1.45695008462922e-07,1.312169821352743e-07,1.099069793852975e-07,1.7230177440814468e-07,1.6803685963096464e-07,1.7216048764710495e-07,1.6589478852232476e-07,1.7193109202346318e-07,1.6942087138127478e-07,1.6929179148302661e-07,1.7021243087771533e-07
Agricultural and forestry machinery,2.519713244699218e-06,7.827572203265642e-06,7.441793403387657e-06,1.5035691113020032e-06,4.650459461022103e-06,4.385102944986715e-06,6.669788048824309e-06,5.057052109954309e-06,7.394339977565927e-06,6.872775553688638e-06,3.0287982936615312e-06,5.227327313213177e-06,2.4183512709240368e-06,3.0269024144802218e-06,3.958472545079424e-06,6.7415140807461064e-06,7.132229154504412e-06,5.237428188795817e-06,7.141432299986336e-06,7.803866832944821e-06,5.395098669871638e-06,7.464009844580917e-06,6.597306995380558e-06,5.454338653685333e-06,1.7921230308077267e-06,6.448594015170161e-06,5.898839706436162e-06,7.89684184942024e-06,2.756263375803253e-06,2.2222293267284995e-06,4.803030714983961e-06,5.435814734076677e-06,3.1934000527959276e-06,9.209001942814774e-06,8.035230431153207e-06,0.0,8.491558954592584e-06,5.831977115008234e-06,4.1621411510803405e-06,3.0269024144802218e-06,7.72917615828216e-06,6.3917850233363576e-06,6.3574466307354426e-06,6.006415575974937e-06,7.84790812579607e-06,6.18530150415511e-06,6.20676288802184e-06,7.711140763559618e-06,7.140075695212827e-06,9.833852724842586e-06,5.297162239082828e-06,4.944464947178536e-06,4.524973331282061e-06,4.314649748768101e-06,3.0269024144802214e-06,3.1052135941669632e-06,5.306180845339772e-06,7.074195024192123e-06,5.1958689086166925e-06,1.2174576365300099e-05,3.3199391175186917e-06,0.0002511195869793803,4.561206070171644e-06,7.781878870787897e-06,8.283873968725339e-06,7.350892295275937e-06,3.267323787199344e-06,0.0,4.151740209326692e-06,1.0162821612842789e-05,6.356339769148831e-06,1.7335794948563417e-05,6.971184304648919e-06,8.686306989605221e-06,5.227327313213176e-06,8.235656805239492e-06,5.132317829029007e-06,9.94917603210684e-06,5.312218759539243e-06,9.044009053825584e-06,6.1502624814765255e-06,6.668452900436486e-06,4.562983779130437e-06,5.921681239923202e-06,1.7933598549825327e-05,5.802721890501445e-06,5.119679339826183e-06,8.38671072495673e-06,4.225245818613927e-06,0.00021031367339841188,4.6885608980903315e-06,8.225197594904997e-06,5.51250495798946e-06,6.629903954208658e-06,0.0,4.618292131530752e-06,7.475374895219253e-06,4.319352376938659e-06,8.656209678185503e-06,9.652816691336781e-06,7.896060200268605e-06,1.5035691113020032e-06,1.36405167777172e-05,6.3450290844355285e-06,7.481637581111339e-06,2.1861779366736047e-05,6.145801029563983e-06,1.7020854968227956e-06,3.24874759414296e-06,6.5368435199397905e-06,1.0075058015507635e-05,5.772920345549408e-06,8.729089056205455e-06,6.723854458368678e-06,9.090151482785106e-06,9.593397291091562e-06,2.0876657544471716e-06,9.775787237402542e-06,6.1404769968169284e-06,9.044836735775307e-06,5.7926517373655584e-06,7.220011051678082e-06,5.278077998688336e-06,2.078364601550589e-06,0.0,9.626737049298654e-06,8.16093652027512e-06,1.553469848139077e-05,6.914640112620166e-06,1.591569972377762e-05,4.014859039322349e-06,5.774017923386046e-06,6.42638213850024e-06,1.0658409488446342e-05,6.914169459891722e-06,2.480798096696471e-06,3.846046307700091e-06,7.142839466080209e-06,6.893483453833442e-06,6.344331480650602e-06,8.862114978566286e-06,6.142831923211627e-06,8.035965737472871e-06,9.59960970256614e-06,7.5227970323732e-06,6.4388631078595085e-06,1.5035691113020032e-06,6.30105929922647e-06,6.775441370793492e-06,1.1688051229953436e-05,8.675377832237235e-06,5.387631273622169e-06,5.746558432466744e-06,3.819101891391242e-06,6.98165619570539e-06,6.2879719520497645e-06,5.695866917977581e-06,7.833356018022442e-06,2.037457349819917e-05,7.445626445318658e-06,3.2095039047670715e-06,7.90862778956854e-06,6.356698860207466e-06,8.90233056665141e-06,4.418364659989344e-06,5.515063412975901e-06,5.137364755034782e-06,9.138879285465205e-06,5.331031789265978e-06,5.4492796392812175e-06,5.817869755438357e-06,6.35744663073544e-06,5.915592265387268e-06,5.240101111728716e-06,5.312218759539243e-06,5.031012228678793e-06,5.049310303527015e-06,7.232695074955278e-06,8.472683633406132e-06,1.9386611011782535e-05,7.302352297309351e-06,9.220238139022055e-06,5.401255132181096e-06,5.740135630748436e-06,0.0,9.040222461237875e-06,8.254627102626584e-06,7.96669570386544e-06,4.299075318346848e-06,5.386642944355502e-06,6.864443584857903e-06,5.150284116368402e-06,8.332489301950192e-06,2.55249003533935e-06,5.203459116437263e-06,7.087765601309623e-06,8.921392849509689e-06,5.297416143894005e-06,1.866547022767385e-05,8.368553432038141e-06,1.6395455899879094e-06,8.585343405975873e-06,6.371196904907876e-06,2.8556328116524067e-06,5.797060703078661e-06,6.263664222784775e-06,9.421058742419801e-06,6.917190085111465e-06,5.237428188795817e-06,5.70291598591712e-06,8.176949165431115e-06,6.951004695592862e-06,3.828101057762835e-06,6.7257373153022686e-06,6.157220089999007e-06,7.218197973004937e-06,9.594297149687548e-06,6.950136303578633e-06,9.475831044776143e-06,5.287022813145191e-06,4.215809766875223e-06,1.045283428000769e-05,1.5035691113020032e-06,5.20103270444758e-06,0.0,2.2124432527490456e-06,7.115640376792001e-06,2.581137820147946e-06,8.775568882904922e-06,6.23848066494067e-06,4.850003222469384e-06,7.084718016067701e-06,6.811095559691481e-06,9.016620865598436e-06,8.20586597092907e-06,8.275225628814328e-06
Aircraft and spacecraft,8.448784453496836e-06,1.0109542326007782e-05,1.2061159407361262e-05,9.553210014645257e-06,2.0511509370237782e-05,9.66512369241342e-06,1.8431842113455096e-05,8.794331357353895e-06,8.66990673606009e-06,1.1946054274847773e-05,2.599549761762128e-05,6.906755321001564e-06,9.05272148388442e-06,6.1811589912606975e-06,1.2982469291531503e-05,1.1620470977316726e-05,1.225931221462159e-05,1.0542777999430408e-05,9.665876791454883e-06,1.0743549323492781e-05,9.87606434017597e-06,1.0242853333116157e-05,1.3625400693746183e-05,1.3736366639748311e-05,1.0745414307782829e-05,7.97539064562055e-06,9.506934412684359e-06,1.1189407503416403e-05,7.0704002678294895e-06,7.617121569039281e-06,1.0226086205405961e-05,9.742547200058715e-06,9.600119832293043e-06,1.1642136114239118e-05,9.53873435260647e-06,0.0,1.0252483479886198e-05,1.1940245141967494e-05,9.646080185968866e-06,8.093075513935237e-06,1.1306907808037523e-05,1.0303920904585998e-05,1.3633631147417007e-05,1.0336854758630885e-05,1.0409564858320448e-05,9.22762639748687e-06,9.679924275847517e-06,1.0987420430402945e-05,1.5679337092687318e-05,1.0408517666899226e-05,9.802393829858614e-06,8.89284058052598e-06,8.975702564330356e-06,1.0335537095950609e-05,6.1811589912606975e-06,1.228178345824058e-05,8.88431849545508e-06,6.8038671040092075e-06,4.2951846939574966e-05,7.99431947910559e-06,1.236251884028402e-05,1.8150008718551706e-05,8.302567735619108e-06,1.0570118366745654e-05,7.411396006974067e-06,9.95843062815781e-06,1.4256588543299645e-05,0.0,6.29231150384451e-06,8.477783779711064e-06,1.0342412266969642e-05,1.137381095073648e-05,9.391370405891357e-06,1.2384337798832416e-05,9.506934412684359e-06,8.615363644652794e-06,1.2602870926642859e-05,9.496928314662044e-06,9.575998803838647e-06,1.2417996095761348e-05,1.229352099682964e-05,1.047200343232528e-05,1.0737607754267623e-05,9.65085320290038e-06,1.2420175679639906e-05,1.3724605776218233e-05,1.8134794038151433e-05,8.29851114883693e-06,9.644388770415433e-06,1.0348239127177076e-05,9.572607126565172e-06,1.2112350586485268e-05,7.531573534828807e-06,1.2770664568160158e-05,0.0,8.825767897898078e-06,1.0471374898879971e-05,8.315032959337815e-06,1.4175073814572338e-05,9.996967598845432e-06,1.208885167662926e-05,8.749295499581371e-06,1.112388745095682e-05,2.326218991156305e-05,8.347288160955206e-06,9.112358600851728e-06,9.376232904950713e-06,2.632455881527878e-05,7.46983329024495e-06,8.615363644652794e-06,9.540166320185128e-06,1.4446097824720413e-05,9.817243525116772e-06,9.562950559669057e-06,8.969605101720454e-06,6.794677740515228e-06,7.301891159949887e-06,7.978996490751206e-06,1.1666556481357932e-05,1.1399315224883575e-05,1.2041744222833253e-05,1.2641428316232789e-05,1.5091443317798109e-05,8.149393657670657e-06,0.0,1.2165604708265037e-05,8.748438832565634e-06,1.1072086320704835e-05,8.44614050985202e-06,1.0188954097963309e-05,1.2948872706283189e-05,5.852892874563999e-06,1.2653945618364552e-05,1.0211314387101648e-05,1.023480643728173e-05,8.042781273027528e-06,1.0848230117123641e-05,1.736418871133453e-05,7.936601970069735e-06,2.2361481840223782e-05,9.623961073119409e-06,1.1604461448179627e-05,8.346471710942535e-06,0.0,2.014755487694801e-05,1.628317533938254e-05,1.1961038052419198e-05,1.6110128364081405e-05,8.080428103056838e-06,1.154410924610356e-05,9.872491772165427e-06,9.578575647494138e-06,9.269399378886925e-06,0.0,1.4178728549070589e-05,8.99928401129554e-06,6.975227859798325e-06,9.576583694911657e-06,1.0571203872353577e-05,1.1364782053004363e-05,6.1811589912607026e-06,1.8814159007444974e-05,1.7762619550918974e-05,1.3187245451707075e-05,1.9763595241199047e-05,9.506934412684355e-06,9.001738539591657e-06,1.8190150960716597e-05,7.159957728691196e-06,9.471582605560439e-06,1.1846868112579257e-05,9.502350009817524e-06,1.3724605776218233e-05,7.785213210870757e-06,9.575998803838647e-06,7.083353126903042e-06,1.0548210340653355e-05,1.845614776838792e-05,9.502350009817524e-06,1.2399012296685577e-05,1.022875437671895e-05,1.285211878351462e-05,8.296625247923458e-06,8.749295499581371e-06,0.0,9.505793530210288e-06,6.703820730376903e-06,1.0875391087003976e-05,9.33976914277321e-06,9.057895510924016e-06,9.423674903660757e-06,9.622458487239997e-06,1.5322721634862428e-05,1.0380023554275555e-05,1.1747639751851199e-05,9.339920631627967e-06,9.241687573076333e-06,1.1527494009705159e-05,1.11861375446773e-05,9.876875135572721e-06,1.3704459001302764e-05,1.0318740779024797e-05,1.4799737787083285e-05,9.652144390457734e-06,9.73065304726387e-06,1.1878329059379304e-05,1.0655408320129087e-05,1.0766221309894384e-05,1.5358667537241115e-05,1.0205731764685935e-05,8.770050686251727e-06,1.1135348993782779e-05,7.55646418277827e-06,9.755139600380406e-06,1.3183655227558356e-05,9.540166320185133e-06,9.632545138422735e-06,1.0616798931862068e-05,1.2222583688034813e-05,3.0916791798205623e-06,9.59441080257436e-06,1.3579439772576458e-05,6.975227859798325e-06,1.2860816029910396e-05,1.241799609576135e-05,7.578384005310919e-06,8.802170197655866e-06,1.413229088484277e-05,1.0387247083861128e-05,6.670851147284876e-06,7.073609315610848e-06,1.1178549218017774e-05,1.744913176639276e-05,9.411902604230674e-06,1.360181267270336e-05,1.4100546449183887e-05
Animal feed ingredients and pet foods,0.0,1.0000000000037468,1.000000000003747,0.0,1.000000000003747,0.0,1.000000000003747,1.000000000003747,1.0000000000037474,0.0,0.0,0.0,1.0000000000037474,1.000000000003747,1.0000000000037463,1.0000000000037472,1.0000000000037466,1.0000000000037466,1.0000000000037466,0.0,1.0000000000037474,1.000000000003748,1.0000000000037468,1.0000000000037472,1.0000000000037472,1.0000000000037466,0.0,1.0000000000037466,1.000000000003747,0.0,1.0000000000037474,1.000000000003747,1.0000000000037477,1.0000000000037474,1.0000000000037472,0.0,1.0000000000037474,0.0,1.0000000000037472,0.0,1.000000000003747,1.0000000000037474,1.0000000000037477,1.0000000000037468,1.0000000000037468,1.0000000000037472,1.0000000000037474,1.0000000000037461,1.0000000000037472,1.0000000000037468,1.0000000000037474,1.0000000000037474,1.0000000000037463,0.0,0.0,0.0,1.0000000000037466,1.0000000000037468,1.0000000000037457,1.0000000000037474,1.0000000000037463,1.000000000003746,1.0000000000037472,1.000000000003747,1.000000000003746,1.0000000000037468,1.000000000003748,0.0,1.0000000000037481,1.0000000000037468,1.0000000000037466,1.0000000000037463,1.0000000000037474,0.0,1.0000000000037474,0.0,1.0000000000037474,1.0000000000037468,0.0,1.0000000000037468,1.000000000003747,1.0000000000037452,0.0,1.0000000000037474,1.0000000000037466,1.0000000000037472,1.0000000000037474,1.0000000000037472,1.0000000000037466,0.0,1.0000000000037466,0.0,1.000000000003747,1.000000000003748,0.0,1.0000000000037472,1.0000000000037461,1.0000000000037468,1.0000000000037468,1.0000000000037474,1.0000000000037472,0.0,1.0000000000037466,1.0000000000037466,1.0000000000037474,1.0000000000033231,1.0000000000037466,1.000000000003747,1.0000000000037468,1.0000000000037472,1.000000000003747,1.0000000000037472,1.0000000000037472,1.0000000000037454,1.0000000000037472,0.0,1.0000000000037468,1.000000000003747,1.0000000000037466,1.0000000000037472,1.0000000000037468,1.0000000000037468,1.0000000000037474,1.0000000000037474,0.0,1.0000000000037472,1.0000000000037481,1.0000000000037461,1.000000000003746,1.0000000000037468,1.0000000000037472,1.0000000000037474,1.0000000000037463,1.0000000000037461,1.0000000000037474,1.0000000000037468,0.0,1.0000000000037472,1.000000000003746,1.0000000000037472,1.000000000003747,1.000000000003747,1.000000000003748,0.0,1.000000000003748,1.0000000000037474,0.0,1.000000000003747,1.0000000000037481,1.000000000003747,1.0000000000037481,1.0000000000037481,1.0000000000037437,0.0,1.0000000000037355,1.0000000000037477,1.0000000000037474,1.0000000000037468,1.0000000000037421,1.000000000003747,0.0,1.0000000000037474,1.0000000000037466,1.0000000000037474,1.0000000000037466,0.0,1.0000000000037461,1.0000000000037468,0.0,1.000000000003747,1.0000000000037463,1.0000000000037477,1.0000000000037468,1.000000000003747,1.000000000003747,1.0000000000037468,1.0000000000037474,1.0000000000037461,1.0000000000037472,1.0000000000037472,1.0000000000037468,1.0000000000037474,1.0000000000037468,1.0000000000037466,0.0,0.0,0.0,1.0000000000037466,1.0000000000037463,0.0,1.0000000000037474,0.0,1.0000000000037477,1.0000000000037466,1.0000000000037472,1.0000000000037474,1.0000000000037472,1.0000000000037457,1.0000000000037463,1.0000000000037477,0.0,1.0000000000037472,1.000000000003747,0.0,1.0000000000037472,1.0000000000037472,1.0000000000037468,1.0000000000037466,0.0,1.0000000000037474,1.0000000000037474,1.0000000000037474,1.000000000003747,1.0000000000037461,1.0000000000037474,0.0,1.000000000003747,1.0000000000037463,1.0000000000037466,1.000000000003747,0.0,1.0000000000037463,1.0000000000037474,1.0000000000037474,0.0,1.0000000000037468,1.0000000000037474,0.0,1.0000000000037481,1.0000000000037481,0.0,1.0000000000037474,1.0000000000037472,1.0000000000037481,1.0000000000037486,1.0000000000037474
Articles of concrete cement and plaster,4.113997077081878e-09,2.687469613678123e-08,9.357119274494121e-09,6.272552923573023e-10,5.433337454066496e-09,4.324705852623543e-10,4.290334605578029e-08,1.2782641843020366e-08,6.644235345193011e-10,2.2527934593574577e-08,6.651466847649875e-10,1.2613014064291411e-06,2.815961331604071e-09,1.2430619608061002e-09,3.8219867433962545e-10,1.6918399180709142e-09,2.4152934695691705e-08,7.763295708275906e-10,1.9449458470530453e-08,3.274284225960509e-09,1.3163188620821689e-08,2.7149272709542544e-08,1.4556084012347346e-10,3.2284203059155135e-08,1.283168999418627e-09,3.4431398687509607e-10,7.135380606780295e-10,3.513632865723804e-08,3.6602054161249103e-09,2.0368428579737885e-09,5.034277115493215e-08,2.3150349003622632e-08,3.1359706128733363e-09,2.731326276209068e-08,3.6524636694779054e-08,2.7870366366298605e-09,2.3890827345205e-08,1.237235732923203e-08,6.651466847649875e-10,1.2430619608061002e-09,5.481310994429651e-09,1.3414844535685154e-08,2.6999428578671548e-08,1.2869932073191953e-08,9.59157787472196e-09,2.4818180651367855e-08,3.8885734446092624e-08,1.5642872544800093e-08,3.6156222552704234e-10,2.138655881396017e-08,1.8672428437060484e-09,2.483186523471894e-09,3.36353776697586e-09,2.806810097275388e-09,1.0499205229483028e-08,1.697676148942438e-09,4.367544601527333e-10,3.6721902616816457e-10,1.7480245654932922e-09,2.6167815234594083e-08,3.4607002146027532e-09,1.2613014064291411e-06,2.7870366366298605e-09,7.3640426475339986e-09,8.108186650904769e-10,3.095890746949177e-08,2.5892452707957413e-08,0.0,4.202713924590543e-10,1.0881056098946645e-09,1.8705426582682462e-08,3.086291424359233e-09,1.7918278140499947e-08,1.951495173493082e-08,7.699140951989362e-10,1.9117602677285998e-08,2.302861567780324e-08,8.584375109452264e-09,2.133666571405733e-08,1.951495173493082e-08,1.887559484564962e-10,1.7992018371437304e-08,9.435208569448236e-09,2.268136173792525e-08,1.7107084507053926e-08,7.397219251132671e-10,1.4402944373658553e-08,4.056520432551456e-10,5.567094066835373e-09,1.2559461581241063e-06,2.792239623623242e-09,2.578668305014124e-08,9.469502401542232e-09,2.4979434364555497e-08,0.0,3.3735957403276368e-09,2.0456837046354948e-10,6.424437910263152e-09,2.365050907096835e-10,2.6539004424739928e-08,3.652632289244134e-08,0.0,1.7514643901493536e-09,2.13581549700185e-08,6.4284307920124195e-09,3.1567259568581977e-07,3.064171053842385e-08,2.95108980270376e-10,4.351978513241091e-09,2.72232480458174e-08,2.4001867472611088e-08,7.463061149914712e-10,2.604568369907573e-08,7.513420008900424e-10,2.5004517946489166e-08,1.7871522667210856e-08,1.5554812877337313e-09,2.5258539662675085e-08,2.3876798994850944e-08,2.3896934544697617e-08,1.251058669320385e-08,1.1896638353731136e-08,8.419871836373672e-09,3.3341687870465356e-09,0.0,2.6992720970225584e-08,2.378095908158735e-08,2.8408021712073957e-09,6.296994889491749e-10,3.272328937714429e-09,2.59904552364269e-08,2.2508591149914546e-10,5.584231408268805e-10,1.778961832346026e-08,2.4432181992061063e-08,6.427307986798289e-11,2.1874897761232542e-08,3.286588451484552e-09,4.29618499979809e-09,2.105255046680936e-10,2.46150028107003e-08,2.5110661128627968e-09,2.5716365362339702e-08,2.6042190191487342e-08,1.0934444043231926e-08,1.3265076850877417e-08,5.978592235116159e-10,2.632168147011718e-08,2.4008109354971293e-08,2.6233178202907928e-08,2.3797407995561e-08,6.759574408775648e-09,5.2977270959801326e-09,1.4197868060195493e-08,2.9581852365149374e-08,2.802331479078666e-09,1.50313614034821e-08,2.993950604277918e-09,1.718774539728154e-08,3.413512747468429e-08,2.849563328514691e-09,1.50313614034821e-08,5.1792696011814655e-08,3.040054128264283e-08,7.177642331645028e-09,1.5031361403482096e-08,1.0540508595725336e-08,2.4911590748887676e-08,2.5555768236029046e-08,2.1098022360446098e-08,2.768371027591178e-10,2.697907459077385e-08,1.4072884753213566e-10,1.791899143532665e-08,2.133666571405735e-08,9.87390857391802e-09,8.50675465400127e-10,2.286298853377194e-10,2.1473191839876847e-08,1.7920515140670824e-08,2.5726506383634004e-08,2.8491932319476283e-08,2.158636979833993e-10,9.333612469018066e-09,0.0,1.9889010664293183e-08,2.3932596835298848e-08,2.434598347990705e-08,4.4292105034198786e-09,3.731684645931628e-10,3.379906833664051e-08,7.630590249231192e-10,8.971683332199823e-09,2.979895191825936e-08,3.6731920311369924e-09,1.256924260258976e-08,4.149392205409594e-09,1.338104009424916e-09,1.0090681319365701e-08,2.3796162817805307e-08,1.7329452076659598e-09,3.139280963839174e-08,2.3505944809153016e-08,1.9587309775212215e-09,9.45539900264834e-09,6.348766608850005e-08,2.3474022678019946e-08,7.753117941327513e-09,2.1099073898069616e-08,2.15164275166454e-09,2.5135860241882294e-08,2.0892845966285572e-08,8.987993007255046e-09,7.373896942792158e-09,6.12613059320582e-11,1.7924681969032655e-08,3.925151901982796e-08,1.4879354017336557e-09,3.25145572678739e-08,6.108732354808854e-10,0.0,1.1971606235935148e-08,6.234245293467041e-10,9.769171198036154e-11,0.0,2.070840738388603e-09,1.745449351264856e-08,1.0060547153035853e-09,2.5509843734895474e-08,2.072230389910836e-08,5.547034484323294e-09,2.1099073898069616e-08,2.8005841143117144e-08,2.3737580974625983e-08,2.55000658401195e-08,2.2897253536565734e-08
