,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.21588516607215555,0.3049318056459877,0.32366759528342837,0.20714287854607732,0.3026784890968798,0.3945806484865047,0.3134518326999425,0.2525782497496539,0.26274192015373726,0.30131850700889945,0.3687647213455402,0.49786758897722405,0.21698603807693748,0.2901890945288197,0.31748841593197696,0.2845181014751578,0.31388210216076545,0.3444219533262335,0.3536273849062729,0.3197140354172943,0.36642213519483835,0.31023040440635496,0.24167998192761941,0.31013803107781623,0.25407146343503656,0.3075410571840197,0.9881418206544722,0.31542127671693804,0.2529952167135814,0.20648611137883763,0.2669434999643822,0.12389856737708889,0.2321962732622871,0.318113328871753,0.30920971703473776,0.0,0.3339024445393046,0.393721059574182,0.2542502380165242,0.2901890945288197,0.33334719149577946,0.2926750976505368,0.30957240423827626,0.4224258017041057,0.33578545108045066,0.3006479237895468,0.4442965206241954,0.3061256359758974,0.16940099496098746,0.38823192533702044,0.3383757829529797,0.26620038185821526,0.2977486625068324,0.2272800494455873,0.29024267219923483,0.21866242071738978,0.28324483044273135,0.3413529246877815,0.31721219100298026,0.31447877920782014,0.26898391237553143,0.33671624484944057,0.22412346724472024,0.4582455841112568,0.08092023351250423,0.3310325506359787,0.3193624949846274,0.31721219100298026,0.3444047642278409,0.31698865741559307,0.32250444633004144,0.33944181946614466,0.3028201879105837,0.3199829835511235,0.3161784616421173,0.33155970463186185,0.30339957631908926,0.5563736922626906,0.28335170393584935,0.3199829835511235,0.26729507378903294,0.29737971658770795,0.33487925950590697,0.32613662537963545,0.3089195584430315,0.4290369258855546,0.3027274612195626,0.25006394728515485,0.2308905622157366,0.33488540140148176,0.2676871126654514,0.31046411745433566,0.2216700719533463,0.3085096563434865,0.0,0.26587363460536545,0.31367840733489843,0.2394589951980997,0.29952920054574256,0.3091541179103678,0.30905410630549723,0.30880551105979354,0.2820280023039124,0.306814309067796,0.2915308546438777,0.3144373620086331,0.28460761223697745,0.2914562411995337,0.25408095515281875,0.31757779029764677,0.29846949090003105,0.2943542131314285,0.2914077359538185,0.2930791888650148,0.3102511031278962,0.2999622092149773,0.20479176096613447,0.3114736466819596,0.2993491753596049,0.30906864761532893,0.3063565610021632,0.30683069069767244,0.3041818915938714,0.24895145860373333,0.0,0.3142602490312122,0.31034548251524846,0.33413261109281905,0.37432105517549247,0.32374974891858305,0.2981101887842951,0.23968934662366456,0.3088069629120925,0.3630778982891415,0.3033432061219346,0.2625140237285529,0.21654201406330864,0.3117636670210711,0.36500202416608,0.38440356080753496,0.3091349198053014,0.30836007275224037,0.30621078606306046,0.3111665412626069,0.3064424401791771,0.4109846417347021,0.19895169323846906,0.30877550963969386,0.3090792863783229,0.3054537889609133,0.30865543327917133,0.6101494068973313,0.46355885516630363,0.2944216591546941,0.3095820248869213,0.2717719348848105,0.2941588922198163,0.31614694313524894,0.3198714877583368,0.3116812737518752,0.2897556211872551,0.2944216591546941,0.31311303121124473,0.30938956211093516,0.28413740884895644,0.2914296283006936,0.27274755201688183,0.30650698262768206,0.296975695813364,0.3069177531749975,0.31217579141451635,0.3132187188412774,0.3556333300040648,0.2191725707816649,0.28335170393584946,0.42793001056643015,0.3174865522637285,0.3245613536404442,0.31756022791789945,0.3081137386211446,0.3139830924417817,0.295176880345629,0.7119335825952322,0.30880551105979354,0.0,0.31575992927411184,0.2251941245439819,0.33562340746578573,0.25918621393661156,0.3277133869667212,0.3051685954819021,0.7596699409775604,0.3176795339023091,0.3050708597610146,0.38153817524234923,0.25019676822734643,0.3169296213526939,0.31342783477809655,0.32668971687828524,0.31051854258668365,0.20458367294723492,0.3134884595929222,0.2647100298800524,0.19583820086294257,0.2867815498478595,0.32032171586650565,0.3087785459642967,0.2924776125798902,0.29840972947995653,0.23136870550873023,0.3084974330527393,0.3090232774993077,0.23972466667794443,0.34035005873392077,0.19444791121489513,0.30604971255807345,0.30771470400933754,0.2606412634880579,0.3022994382663732,0.20482504632778303,0.31614694313524877,0.22267202489336654,0.19497628937669945,0.16758525394749255,0.316146943135249,0.2572517295503501,0.22505853878658597,0.2004498164107848,0.30919826442080456,0.36078539255567715,0.7600569977623335,0.29840972947995653,0.3084684613783622,0.3105968744020987,0.3074374718074228,0.3105456996019429
Agricultural and forestry machinery,0.05018970601502779,0.16296691619267017,0.1727089025449793,0.030362298570657604,0.11999311601464635,0.299900944629859,0.16442146225859294,0.10498698614983236,0.1433637931597308,0.18020056181078492,0.07632816644213343,1.0,0.05359283325682886,0.0763050600678614,0.10735745128130794,0.18228963125646114,0.1365062189811025,0.1993291917070862,0.17176748792028199,0.12157496244390842,0.15189566046937303,0.1436316745738557,0.18589633678385686,0.11979988950764615,0.05354591759846338,0.1541792777071513,0.7565744780914491,0.1711503382569209,0.05513810219920525,0.03135410662605269,0.10169043376584344,0.08642041019116195,0.05810761973838595,0.15573379571269158,0.15670305435011384,0.0,0.14664349124488651,0.7011457392529937,0.07947252079402718,0.07630506006786143,0.19073134753532947,0.1296171930733563,0.14260443048222765,0.208016201615567,0.25540076250696536,0.13859135259338684,0.23805351378136028,0.1750106702128698,0.08384589371534593,0.17735747319746517,0.1344568679793186,0.08748606180502831,0.10733107789331067,0.08151663496829947,0.07630506006786142,0.06145450990719615,0.12193338497267936,0.1230528067599682,0.10503108870562458,0.12099004671275473,0.0763148829901893,0.16030062026619363,0.08894837258067914,0.21811687040604624,0.11392352601684222,0.16012298625562546,0.10161702502182123,0.0,0.129930407559088,0.14087461855297925,0.14810603320346832,0.09931758654998259,0.1405789041522549,0.2113048788967374,0.12824818892034193,0.15212259980292903,0.10381320288915966,0.19175863087695297,0.11107814308897128,0.22582425649880797,0.16653923957992145,0.11762022887837625,0.13800365281868668,0.20759991220310708,0.14232104085951572,0.14321376577971642,0.13670265772751497,0.11653371026264193,0.08000796810837557,0.15206771707509595,0.089663076274254,0.15318483282466205,0.09970149646803622,0.14243854824659752,0.0,0.08517378069355856,0.14839784145333607,0.08890001140247451,0.16436543058646164,0.14643769230136866,0.14894342812831815,0.030362298570657604,0.20197850935883804,0.14833027768426488,0.16870999806818474,0.21657507442186022,0.10745659838945401,0.05532297516893241,0.06998105884907375,0.17026940286873415,0.216579301353394,0.11752904624564824,0.16033439550948392,0.1574243050920225,0.16088891459050444,0.18456043995674426,0.043954706390638705,0.18692523321803514,0.12101581978526486,0.16870999040060153,0.1417653256260584,0.22865449245127428,0.15672723310958442,0.05506067364908721,0.0,0.1598660987123638,0.1417523606350209,0.18794850880724767,0.21066818500032403,0.19164913042084472,0.0885246086845167,0.17914123414136876,0.16648540529536718,0.20494052367888074,0.1457416361638271,0.04765495120796792,0.08438196332016715,0.15135289200668042,0.21066065013640123,0.16042573532912976,0.1560925375711876,0.14890851498039698,0.1517606898754432,0.19468231098646566,0.16261059003033634,0.23680592979413295,0.030362298570657604,0.31790237259029364,0.1436534093655908,0.1416566153803381,0.14503851069161952,0.3943083849959157,0.6246074745107751,0.09309006534728964,0.14632892418991908,0.10938360554238014,0.12968597345074573,0.12133949575025701,0.17829641668481105,0.14489037861379014,0.07952617849667283,0.17973833487016203,0.1418938852175521,0.16463025726829061,0.0926172648967879,0.0894110617618515,0.13433910818801548,0.15124969282410547,0.11839946759118988,0.11773073242676324,0.09529266501845672,0.1426044304822276,0.13981816399104852,0.08877970548309826,0.11107814308897124,0.3410774713163095,0.12753510979332564,0.16808056695972687,0.14905599795158375,0.1343460748238275,0.1608940256902588,0.20346043619374105,0.21526981485816782,0.11442404774376523,0.0,0.21524509618576787,0.16797469127426629,0.1608815305361755,0.07967335783104545,0.10607623005629409,0.1469988711772894,0.9334197323409791,0.1808630898848594,0.05014362837386302,0.13487008440695084,0.11601737926221148,0.1817158237314132,0.1127103160977856,0.15197491119392045,0.14220734611079408,0.037838562519656414,0.19199450985393435,0.16224351695433867,0.059079900505441305,0.5640356223534837,0.2723783147731918,0.1628861707452097,0.15944238903694238,0.19932919170708616,0.34132648886269795,0.1334433317852721,0.1525577037765539,0.07429565532920908,0.17564981392961657,0.2149875597282574,0.1465823207642422,0.19491622211404755,0.14785328029970668,0.1424866844950067,0.12171669284836556,0.08026207817869706,0.09771679339000348,0.030362298570657604,0.1358199582888411,0.0,0.046710657828187195,0.08712113082947412,0.06529342950476302,0.1906425463630707,0.15861074746854506,0.6451135731309099,0.1526794446587109,0.16123089343724395,0.14930584919009746,0.16033679453333047,0.1647529151026412
Aircraft and spacecraft,0.324053721450259,0.36576718716755496,0.5470594579234542,0.37750796183562596,0.21478946329916737,0.44995002791432775,0.4287667001551354,0.35091146451249244,0.6580667943627986,0.41939779930782695,0.4370011345960943,0.28489240498261803,0.48849443559011013,0.234542289241634,0.39213927696909884,0.39726731859703246,0.45033624664170624,0.6653944570840867,0.5994982138004753,0.39137531258429775,0.4541548068242016,0.6072147786306675,0.42544080353924596,0.448512253678104,0.37415845009542203,0.2848538972496604,1.0,0.3234028218309555,0.275683459512854,0.29386038123035946,0.40074540715631246,0.43100904456574896,0.3371633003491773,0.3646721254332267,0.9671680103111047,0.0,0.7250185081024507,0.4456706693394468,0.3758540032809876,0.2933716067685152,0.41179696265240606,0.6972297429872575,0.5598605106606654,0.8682341299567825,0.6991091799394162,0.4213767997263198,0.6138097835482642,0.3225645828004358,0.6796350005470819,0.3998145621256899,0.5110411376841021,0.31374503678984794,0.5277241282619133,0.3818710150670553,0.23454228924163403,0.33436393853836754,0.39255907956268643,0.25659583662531465,0.5003002659879513,0.33797938344567896,0.4257170475532268,0.3990624166093724,0.375069609657788,0.5769391085135455,0.2909155552036978,0.38842281824060315,0.41050009204698235,0.0,0.18934092488957913,0.3333717252304022,0.38701348480327735,0.7668722307380115,0.8747087932651266,0.42525274831701204,0.351836246366297,0.4993268904317826,0.3394968589719118,0.6387536007663109,0.36800020477458834,0.4264486125735975,0.4334616157619738,0.38273162828652674,0.4004429330685811,0.4583895794665529,0.4264940182824743,0.8280413687839082,0.4336380570190901,0.28285861961422115,0.3757894360309598,0.38626629073054486,0.5826145786962542,0.35118779059030697,0.29286354459760644,0.5001521753506254,0.0,0.3347717463575896,0.29296261509522514,0.28386505523895805,0.40776480001132226,0.49117940768578144,0.48748909822459763,0.3716382065332657,0.6944455498659319,0.5042021167123852,0.3161503041617224,0.3391370422526658,0.32555604944616184,0.11950802204741053,0.2843458070795793,0.351836246366297,0.4270580572705652,0.48424583750122174,0.4117428650484351,0.3958491304699449,0.4245321917926544,0.26176552521931434,0.281310503536713,0.31315440344287165,0.5994382395580019,0.47721807333532956,0.53564578710722,0.3864595670523438,0.5204153113681692,0.35010360285069403,0.0,0.45094846165076974,0.36187832796105635,0.40802153038290845,0.4140570498541994,0.3674889504295476,0.3788203303153827,0.3485718380893897,0.35942557403565106,0.9210024717772324,0.5476678820719683,0.40246075549887,0.3948220749766708,0.4286543531265857,0.3476999975332246,0.4824477636817205,0.8947290915207178,0.335843813545339,0.37560679680244946,0.0,0.2825242652738822,0.30400554024520976,0.4181079505844171,0.5507786509446116,0.2607956607791027,0.5520090354846613,0.397933584110551,0.9597400201230007,0.9280492357949014,0.0,0.39459432801780714,0.42432932914468224,0.2720434352747076,0.3669318150385528,0.3879190448781244,0.5454139290220315,0.23454228924163384,0.4364694305476516,0.5358127154410484,0.37910955998977786,0.8183655674206665,1.0,0.34015281243645584,0.5661429990396075,0.28035339036942025,0.35523566868997003,0.3310623256108612,0.4849203307560334,0.8280413687839082,0.2964389450764966,0.36800020477458834,0.28035958631549457,0.36191167181516803,0.543292559199352,0.4849203307560334,0.34865904703075756,0.3843365370647174,0.415491840415936,0.36425250969238915,0.3716382065332657,0.0,0.41866926159470014,0.2552612102576403,0.6122365308126418,0.34939873833841956,0.37280063537304514,0.29945454808338257,0.48181042832581583,0.41809346046850665,0.42966645924106234,0.6714832062318407,0.357057760196542,0.31601250943458387,0.37216838353889886,0.3358848820518018,0.6003342874514608,0.3241556089204219,0.5071918042023756,0.4493732929554613,0.3750857949153036,0.4564394123280141,0.7367505293521571,0.47917891743230207,0.4517088894503858,0.646815943700761,0.47009319500132596,0.5172911436216243,0.3198821597286396,0.2956043283126187,0.9239206180093816,0.329082798171139,0.42705805727056506,0.3373801947912022,0.41427430434917045,0.34788448429970603,0.12020503096356044,0.36922051779124115,0.27273894370425456,0.2720434352747076,0.3292833772105246,0.4264486125735976,0.28924894152819103,0.30006489653632173,0.6414296437043274,0.48840384191357705,0.2576498980099037,0.2678388883389892,0.4062366340427762,0.4790481631800142,0.3957548634781317,0.34794256451582517,0.4069146450890242
Animal feed ingredients and pet foods,0.0,1.0000000000000007,1.0000000000000007,0.0,1.0000000000000002,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000002,0.0,0.0,0.0,1.0000000000000013,1.0000000000000002,0.9999999999999997,1.0000000000000007,0.9999999999999999,1.0000000000000004,1.0,0.0,0.9999999999999997,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.000000000000001,0.9999999999999998,0.0,1.0,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000002,0.0,1.0000000000000004,0.0,1.0000000000000013,0.0,1.0000000000000002,0.9999999999999999,1.0000000000000013,1.0000000000000002,1.0,1.0,1.0000000000000007,0.9999999999999999,1.000000000000001,1.0000000000000002,1.0000000000000009,1.0000000000000007,1.0000000000000004,0.0,0.0,0.0,1.0000000000000009,0.9999999999999999,1.0000000000000002,1.0000000000000004,1.0000000000000004,0.9999999999999996,1.0000000000000002,1.0,1.0000000000000007,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000009,1.0000000000000002,0.9999999999999996,0.9999999999999996,1.0000000000000009,0.0,0.0,0.9999999999999996,1.0000000000000013,1.0,0.0,1.0000000000000002,1.0000000000000007,1.0000000000000004,0.0,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000004,0.9999999999999999,1.0,0.0,1.000000000000001,0.0,1.0000000000000004,1.0000000000000013,0.0,1.0000000000000009,0.9999999999999999,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,0.0,1.0000000000000007,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000004,0.9999999999999997,1.0000000000000002,1.0000000000000007,1.000000000000001,0.9999999999999997,1.0000000000000004,0.9999999999999996,1.0,0.0,1.0000000000000009,1.0000000000000007,1.0000000000000007,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000007,0.0,1.0000000000000004,1.0000000000000007,1.0000000000000002,0.9999999999999999,0.9999999999999997,1.0000000000000002,1.0000000000000007,1.0000000000000002,1.0,1.0000000000000007,1.0000000000000009,0.0,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000016,0.0,1.0000000000000013,1.0,0.0,1.0,1.000000000000001,1.0000000000000007,1.0000000000000007,1.0,0.9999999999999998,0.0,1.0,1.0000000000000016,1.0000000000000002,1.0,1.0000000000000007,1.0,0.0,1.0000000000000002,1.0000000000000007,1.0000000000000007,1.0000000000000004,0.0,0.9999999999999993,1.0000000000000004,0.0,0.9999999999999999,1.0,1.0000000000000016,1.0000000000000004,1.0000000000000007,1.0000000000000002,1.0,1.0,1.0000000000000009,1.0,1.0000000000000002,1.0000000000000007,1.0000000000000004,0.9999999999999997,1.0000000000000009,0.0,0.0,0.0,0.9999999999999998,1.0000000000000004,0.0,0.9999999999999998,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,0.9999999999999996,1.0000000000000007,1.0000000000000009,1.0000000000000009,0.0,0.9999999999999994,1.0,0.0,1.0000000000000007,1.0,1.0,1.0000000000000002,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000002,0.9999999999999991,0.9999999999999996,1.0000000000000004,0.0,1.0000000000000007,1.0,1.0000000000000002,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000013,0.9999999999999994,0.0,0.9999999999999996,1.0,0.0,1.000000000000001,1.0000000000000013,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000004,1.0000000000000007,1.0000000000000009
Articles of concrete cement and plaster,0.004897784028134212,0.023384059817360615,0.013292248551746464,0.0006610909593747368,0.007037017214104753,0.007928694592655298,0.03090902577429026,0.032496041934309536,0.0006206336017285519,0.02276863785067298,0.0007103043488971544,0.0007784349149573736,0.003441820143351036,0.0012439752565284931,0.0005051209935091788,0.0031916307360896584,0.026370783848250482,0.013593007980976951,0.08428500944789928,0.0043883670370251935,0.09083155626016959,0.030805421217564487,0.003534356175178337,0.030610145656321912,0.005501153517653125,0.000477710773899693,0.9087173516327121,0.012355997530329179,0.004108221955954444,0.001387002754755838,0.040065336412285685,0.02926350302726921,0.0038418569252836165,0.031138840466812322,0.02753500543451849,0.001883783299332288,0.025272210941949026,0.5702496801620851,0.0007103043488971544,0.001243975256528493,0.1154522993087841,0.04882379635156526,0.03191334138570711,0.4054745998224807,0.17820689021540828,0.030865063319765428,0.3511842929583546,0.01622262187903102,0.001378592742774883,0.07740392485199978,0.009131363509279887,0.0029645091196918,0.0072028670611502645,0.0039458788989633784,0.01190670042646605,0.001882731739696337,0.000372572694352944,0.0003324349581663748,0.0010678098334564487,0.0294057156916811,0.003989883620296052,0.0007784349149573736,0.001883783299332288,0.027910729651843456,0.0011728730732185593,0.01177032161182034,0.010012538529181188,0.0,0.003874612577096732,0.0008070731413872622,0.020049464064501615,0.000187352737197345,0.01950685538776127,0.03994284078806354,0.021961522665071165,0.0009688839415021612,0.024593352051959217,0.2532714989591617,0.010356889266093471,0.03994284078806354,0.0002472320443127554,0.05603948184872202,0.009357051973798311,0.04105893178791602,0.01821869525721303,0.006769066528623859,0.017693738190119827,0.00042519409578993306,0.006862683555658169,0.000788892818030299,0.003408976177150762,0.027461177940361254,0.012242513051929539,0.03122230384867581,0.0,0.004046134801064467,0.000460766608064444,0.03655580636768009,0.0004870001615024751,0.03033708976108806,0.027535590046776817,0.0,0.003668788672370476,0.024321432970718312,0.006972466003470054,0.0026384429169384813,0.012971183387262972,0.0006153738918671722,0.006237518985636672,0.025460793666611702,0.030892309599880027,0.0006661695300106207,0.02515375066865239,0.0006226881896658392,0.02716753876580309,0.019421585580193444,0.0017476881597543496,0.027010952264887835,0.026128314311434163,0.02405866475410404,0.03474244062034012,0.16097804024803034,0.008477578843216635,0.004153288732175452,0.0,0.028411760978271194,0.024961044426312164,0.0015496084569229826,0.042549986757105626,0.001434710467255487,0.03037168508064616,0.0018609822927337899,0.0006383378479106647,0.2367052493168112,0.07425446510818223,6.645208059216413e-05,0.018326093387932705,0.005630594289958337,0.13963437189811417,0.00018781665656184,0.025806844440587548,0.005691737727716674,0.028895080032986804,0.027408753505526393,0.012720386991353567,0.043226078379933766,0.0006640929236947838,0.04224898156446835,0.02514330501751629,0.030496983756469937,0.025077757341692222,0.5511252538113017,0.15384197434185773,0.014577788163211772,0.026066371107107657,0.0034183107213639568,0.015435666252091338,0.003734235595032254,0.00036501332599423044,0.027987252090065536,0.003003433220548854,0.015435666252091338,0.03018691110823236,0.06103730718534125,0.010481108791894633,0.015435666252091343,0.019438290705272435,0.026204127047533526,0.031007800936256397,0.024104689538639795,0.0006187609036121152,0.031858006434356954,0.005973155496343065,0.029604706112119576,0.010356889266093473,0.28827863828280365,0.0004721607342477691,0.0007902800161102333,0.016889551324137,0.01834315269950908,0.0298813672383209,0.02630656614447274,0.015913085304250677,0.010864234093671614,0.0,0.03425694064780103,0.027631083767505508,0.026975960640353378,0.005413739125498638,0.03771547108436024,0.030164631114441835,0.8575528799539088,0.004859857238321278,0.03124355944338354,0.009247296330067782,0.016699954648982402,0.00025990041989420835,0.0011157168275939679,0.0003907246476706714,0.025005990080110944,0.022911653591975247,0.02272895489555205,0.013325958336204992,0.0014451519766676818,0.6984964518194676,0.07816760596693573,0.023010299284363774,0.006436955577694748,0.023370666407268217,0.1991777271787675,0.02952718374136472,0.02335996607647917,0.01086302445710898,0.10105547227041858,0.0004339239875555864,0.019515604170150143,0.02976515032613735,0.0016353673545054519,0.03385122208525509,0.00036148049788706005,0.0,0.03107033834013736,0.0006553557750543304,0.0002887390998784365,0.0,0.004050808766732959,0.0219239522312803,0.0011269998031403952,0.027787739193441546,0.023901208179877346,0.7680601014715032,0.023370666407268217,0.029851103831516127,0.02494664236997151,0.02625596153012133,0.024862098800400283
Automobile bodies trailers & semi-trailers,0.015519788626539752,0.04898683328441392,0.06969198071035673,0.01838286672796052,0.034437363060024276,0.07402778439781525,0.05502491269748883,0.014874867149903622,0.041113418991292894,0.01561411063515845,0.011958084698860198,0.04739318445995318,0.03361405936529027,0.0075530345609237885,0.036806690164833455,0.043433434803546105,0.10786221711275457,0.05369663570158439,0.1366204110684335,0.041313042755261646,0.28448899784173787,0.050712952986144255,0.0582077309965435,0.045739218402984484,0.003934791007293465,0.03485305859384777,0.7318126466844606,0.03907541812085699,0.009966546639283102,0.01706419145410594,0.02890614240807612,0.0019287576388327247,0.08041721908040195,0.03995065018908309,0.046662111444240574,0.0,0.054613890229372776,0.2514321867175396,0.004717829837813777,0.0075530345609237885,0.11193677774972803,0.02522955312342673,0.044046771662916234,0.13793213249007258,0.25522646989525577,0.05046789691024079,0.18479109699349913,0.06576164667744666,0.005878874668562631,0.10789836907946095,0.06272903201951899,0.04144957437634798,0.030644684499217763,0.03947547930953101,0.007948258220604566,0.0145808848154943,0.03209657544676195,0.052435721028879785,0.028309913188019977,0.04823380411395855,0.4722752879102294,0.05845526908220572,0.012809747986001286,0.07412524643160562,0.005529844940372837,0.06858273226774016,0.04907406063293531,0.044046771662916234,0.03401986610649054,0.03031167801813402,0.04689044010093283,0.01097454123189901,0.043440815955794986,0.15977193966457223,0.018204344671590753,0.05269241844415295,0.010501371258924704,0.2177429012880155,0.036662848576538336,0.15977193966457223,0.052557713002733895,0.06819922445962928,0.05350065980447927,0.11516568199990299,0.051862318605120854,0.10349651255956148,0.03522819017529926,0.053970231134166526,0.12817703552091095,0.05566877226013444,0.012887534393595822,0.0676788766195182,0.05369880963090037,0.04381640130091214,0.0,0.013122855771328622,0.08148814332556656,0.03208294146246652,0.052185431389479744,0.04228295189031389,0.04795288728720639,0.0036843382163378596,0.1429838566632763,0.03199426345396413,0.04020094525647079,0.055377481347740024,0.06161729198438414,0.026444910224347053,0.027278056960792493,0.1103307904073184,0.054849846023692785,0.04707474447057578,0.05344589132122922,0.04406475970081293,0.044950770040398644,0.050262258615605945,0.004959323999336165,0.054063082333701204,0.03575565612415495,0.045656269150970694,0.07018049575354848,0.052150232629163996,0.04867710135258845,0.10644473892224679,0.0,0.0472478687910914,0.05533088042644054,0.04297596916649706,0.09678904165707881,0.04374129773902623,0.05269276232520028,0.33308422424395706,0.09048918790157244,0.13209438307527252,0.04223874513815676,0.01234323847737834,0.030450936967024844,0.033433096517370385,0.27444657490665864,0.0992461399082671,0.04552103334822923,0.05202529467442701,0.04635516364858495,0.0528748211298151,0.05378572112942194,0.10910085408947401,0.0036843382163378596,0.19771924592305026,0.049927218085624746,0.04187012089940494,0.0772673804189562,0.5998804668275721,0.11037104895445322,0.009631913565085325,0.05001550549083209,0.02408055579552644,0.06570140152030324,0.038775683606559544,0.0337052629850313,0.05263455897621265,0.03996592741404144,0.06576164667744666,0.05302702687329252,0.04332281109247346,0.0369481054414901,0.0,0.03034196486008888,0.043264073648622746,0.04605470034606504,0.031701059109820996,0.03708799755295597,0.046972059705642256,0.0863037974619722,0.017651071357480938,0.03666284857653835,0.5381312911027655,0.07114116945678135,0.09601297311186147,0.04751160559589811,0.036332731291857816,0.03552478000457985,0.04037913686118258,0.24350345724852238,0.026620233143117022,0.0,0.11168658508483754,0.04059155189174124,0.0388280640149743,0.010192996948919095,0.03954942046690097,0.12007473539508427,0.3482128020413669,0.05620539553531692,0.05394680604812527,0.09550280005203168,0.061212452234609464,0.061964821976403565,0.0522572636624975,0.04025356631634385,0.05575582394918933,0.05370017564848276,0.30147800916222234,0.03419263882765445,0.006386401826638424,0.120032448040359,0.11248241285564951,0.039138126647209774,0.040538873761065804,0.0314857639818015,0.04860976232356592,0.012999927940393171,0.06576855974728454,0.37992649418220004,0.0580113770032988,0.010415845153645964,0.021199634296881403,0.04689335815020751,0.04829394924491861,0.049616040225957316,0.046685419338180746,0.0,0.022733502233092864,0.0036843382163378596,0.008257549016084813,0.0,0.03469781571250585,0.018054227785660546,0.0374309993454926,0.04440157331115938,0.0738331342563105,0.6595999665310383,0.0314857639818015,0.041949671635639924,0.05522830548937962,0.0566763676060091,0.06875073645489904
