,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.2659118055316193e-05,2.2134235637426403e-05,6.200071568024498e-05,1.2055204913857977e-05,1.6286076413499094e-05,1.650569012705028e-05,1.7701560911814875e-05,1.4980209346181375e-05,1.4867227733961023e-05,1.775887852363661e-05,1.6712871872669014e-05,1.7422509818421983e-05,1.2523852536133654e-05,1.7180519595733123e-05,1.7542884381165274e-05,1.5693425922268765e-05,5.116935742640689e-05,1.7526386448130408e-05,1.8767360394801142e-05,1.6995331561294092e-05,2.7374468217579863e-05,1.92160685949053e-05,1.3444097151478762e-05,1.7552220077677833e-05,1.3533608968469863e-05,1.680703466898271e-05,1.744759584800379e-05,1.7250178067455694e-05,1.5042879064844342e-05,1.1830121214777973e-05,1.5670674213317114e-05,7.399315563893491e-06,1.3496997554595401e-05,1.786684172353119e-05,1.9304730757119784e-05,0.0,1.7647617347232663e-05,2.175894253887299e-05,1.470657757373725e-05,1.7180519595733123e-05,1.715714799595572e-05,1.6911833595471595e-05,1.9325065126183908e-05,5.267950979019565e-05,1.9028975232665912e-05,2.803956176215134e-05,1.7269752637653434e-05,1.759747138686703e-05,9.88036331109553e-06,0.0004140698279961861,1.6609371889885514e-05,1.5707387030262647e-05,1.6068723228179272e-05,1.3111384492510865e-05,1.71859454023807e-05,1.1974438910736673e-05,1.5925088477231435e-05,1.7656426673460935e-05,1.768017337835996e-05,1.901728437006322e-05,1.621087817521223e-05,1.7583955092757904e-05,1.3182177608776189e-05,1.689927456845985e-05,4.662232165357133e-06,1.6306347419774796e-05,1.8372778574377007e-05,1.768017337835996e-05,1.6275320286722893e-05,1.7933450617825632e-05,1.7675299274931686e-05,1.8459669471152384e-05,1.7201348462597112e-05,1.7466092289162893e-05,1.6614298759800706e-05,1.746795788782402e-05,1.839101531499339e-05,1.7343852028932007e-05,1.5139514068578846e-05,1.7201348462597112e-05,1.4964011425690729e-05,2.9418778165514605e-05,1.687590360183538e-05,1.8723801204634515e-05,1.8345099124640592e-05,1.674397020111079e-05,1.6192207236839902e-05,1.3859058008131133e-05,1.3632522514854575e-05,1.7552628400026995e-05,1.604018932887201e-05,1.8605227259873953e-05,1.3083908470968945e-05,1.8938868416963456e-05,0.0,1.5457198423214486e-05,1.6814033058229496e-05,1.4317421105239805e-05,1.7164999240154257e-05,1.8711616794093455e-05,1.932480971441067e-05,1.7834784461041948e-05,1.7734164667517323e-05,1.808003426257908e-05,1.6603612288353228e-05,1.7215593566730798e-05,1.577063779218462e-05,1.4412792259673603e-05,1.5164346059372192e-05,1.6573128696654183e-05,1.7941340260455767e-05,1.63418638441381e-05,0.0004223006232526743,1.6535724482466115e-05,1.8955758065299858e-05,1.833252080382658e-05,1.1961263204214592e-05,1.8824069317836723e-05,1.7241256424795365e-05,1.8882614328473264e-05,1.7789035894661045e-05,1.852788799244835e-05,1.7855680216103097e-05,1.4609962658660672e-05,0.0,0.00019471483167210173,1.782715651088811e-05,1.721554286240197e-05,1.7656317955010182e-05,1.7424522237070833e-05,1.8175376128569884e-05,1.1696996720021347e-05,1.6638081880307058e-05,2.0706174892865365e-05,2.616800455904371e-05,1.5494130450166163e-05,1.2657434998676547e-05,1.6710211021821854e-05,1.7450630432322405e-05,1.6992541052642335e-05,1.8839906643369607e-05,1.6919873710929386e-05,1.8347168683751292e-05,1.8835963899617592e-05,9.084278468440084e-05,1.7184269954447048e-05,1.1549743166079715e-05,1.9158369960756683e-05,0.009394602321307849,1.828032341960793e-05,1.782540933445502e-05,1.669315936528735e-05,1.837018697783938e-05,1.7466287569559042e-05,2.2321846232946688e-05,1.6086320480370826e-05,1.7448546464294056e-05,1.691704721413186e-05,1.696425188973769e-05,1.923033237054102e-05,1.7240052307018828e-05,1.7466287569559042e-05,1.86607509299451e-05,2.94803506379721e-05,1.7210025961462617e-05,1.7289650549121985e-05,1.6320806349564366e-05,1.8471235222722563e-05,1.778546921921263e-05,1.8738775031757284e-05,1.7344676604446995e-05,1.7818784437996806e-05,1.676393431329061e-05,1.3194047291356325e-05,1.5139514068578846e-05,1.7260640382263975e-05,1.7133055913746e-05,1.7431641876835446e-05,1.784124912346256e-05,5.4125986624953524e-05,1.7072512362069962e-05,1.969186241759089e-05,1.7368775306321988e-05,1.7834784461041948e-05,0.0,1.7494275161839974e-05,1.332436925998383e-05,1.834671890771048e-05,1.548247511788536e-05,1.7739856203465875e-05,1.9435112169241082e-05,1.6848067158672577e-05,1.6871248369929256e-05,0.00012883727344208527,1.738571398640851e-05,1.4663086680196134e-05,1.800030762592105e-05,1.6608654416137837e-05,1.7571233706139143e-05,1.8044521777871125e-05,1.1695677693077144e-05,1.767599632574564e-05,1.558107940095478e-05,1.1415079638158059e-05,1.457620519352329e-05,1.8907079475797648e-05,1.8324957735254923e-05,1.6811784377785802e-05,1.781982386083285e-05,1.2441346162078284e-05,1.8943966454084985e-05,1.882207086058106e-05,1.3656014506752696e-05,1.6553035630651298e-05,1.0835452394018699e-05,1.8574687483928823e-05,1.8645590562987908e-05,6.364645350492447e-05,7.079727254069114e-05,1.158086206897019e-05,1.6917047214131863e-05,1.2979161747434615e-05,1.1364110066879224e-05,9.798521506298532e-06,1.691704721413186e-05,1.5015641235027051e-05,1.3452754002755525e-05,1.1608037313125286e-05,1.895381156215589e-05,1.8331984394161262e-05,1.747801247278322e-05,1.781982386083285e-05,1.940932258143451e-05,1.7852403786873578e-05,4.150331961563592e-05,2.5549338983567787e-05
Agricultural and forestry machinery,2.0546182430303357e-07,1.0155727702779716e-06,1.0034938655470057e-06,1.238548746074688e-07,6.869577919169597e-07,2.402474217944524e-07,5.573433923765301e-07,4.1025210803527784e-07,7.04616378896589e-07,4.811637131716229e-07,1.8194349225470147e-07,2.0575203736714993e-07,3.594587465193881e-07,1.8160609227581326e-07,1.1061845685480932e-07,1.3880397137968848e-06,9.485678423562002e-07,1.8186281920737688e-07,2.4299167450120345e-06,2.1855800805028257e-07,8.347656305961527e-07,2.8550335358951478e-06,3.577081985192933e-07,7.598885311054089e-07,1.6347240982063765e-07,6.911205964849735e-07,2.3149285271460463e-07,2.7512759759137915e-07,4.2173578280921405e-07,1.2548062154255582e-07,3.992960879601323e-07,3.0037457975413257e-07,2.0512007766382566e-07,7.029587703705215e-07,5.3538753511767704e-06,0.0,1.4199871562314794e-06,3.192427562478201e-07,3.732932629360577e-07,1.8160609227581326e-07,1.9164538483157e-07,4.2193141182194823e-07,7.408392875365874e-07,1.634510772833948e-05,5.98302967299071e-07,1.3928483906083575e-06,4.703251850394684e-07,3.278157748832019e-07,3.9811826557888e-07,6.030248063707408e-07,4.0542015406125294e-07,3.7540189989221834e-07,2.691568134988562e-07,2.2871018091816768e-07,1.8160609227581323e-07,1.746899106908104e-07,5.54690996303577e-07,1.7386309326212315e-07,1.413136720912432e-07,1.0040787072206358e-06,2.0987819791140194e-07,2.3359551221455265e-07,5.025576093564568e-07,1.5685473706932594e-06,6.364139184671694e-07,6.563714945918628e-07,9.520145899872196e-07,0.0,2.511781881578133e-07,1.9167370533460974e-07,1.5445579839690114e-07,3.1701651550840617e-06,2.4516384549472873e-07,2.0575203736714993e-07,6.502255079242138e-07,2.1518715379441468e-07,5.332318576542444e-07,6.066091432873904e-07,3.9602044237053275e-07,2.3486211394367055e-07,1.272984763516611e-06,1.5632185570353041e-06,2.497897053075391e-07,1.095439849306934e-06,8.211406326820169e-07,4.3722873407735864e-07,5.585171017158438e-07,3.845619175521503e-07,3.7876647871622176e-07,2.191846235188233e-07,6.072924574926918e-07,6.237028339053761e-07,5.946637372101651e-07,7.250930619072761e-07,0.0,5.601725025900117e-07,2.9261705142686176e-07,8.815758386764457e-07,2.3836999414493977e-07,8.58305055181645e-07,6.4913544512435e-06,1.238548746074688e-07,2.44771320904582e-07,1.0127258590449882e-06,1.5508406458920714e-06,2.2458735931651282e-07,4.1846438222811367e-07,1.4332451437849842e-07,3.595252591116641e-07,8.892735101680826e-07,3.143438317803948e-07,2.755262232064603e-07,2.469581106906241e-06,7.258537948986667e-07,1.2821084086501418e-06,3.6896366965676585e-07,1.8588623508310844e-07,3.48003407558085e-07,4.3330800315561956e-07,8.51850337192494e-07,7.644428916906517e-07,1.1361676659197676e-06,1.7227642372900419e-06,1.6416000491683727e-07,0.0,3.081551430600165e-06,9.77946734423014e-07,2.197728601726136e-07,1.6941641472089066e-07,1.978112080934211e-07,4.1306780932171897e-07,7.972683079024485e-07,5.69331409402337e-07,8.688075681461414e-07,1.768978354603016e-06,4.3305071290281946e-07,4.2023613445195594e-07,2.090697646167906e-06,0.0003885748180595887,3.906534770870398e-07,1.4526421792419898e-06,1.5012980650062064e-06,5.398144018855574e-07,3.978903718006661e-07,1.3530274337425378e-06,1.446257058837296e-06,1.238548746074688e-07,4.247798260582749e-07,1.724848393304333e-06,6.56664296679865e-07,1.7187654730498618e-06,5.197721651365069e-07,8.950283411509443e-07,1.9555470294726835e-07,5.671847515256222e-05,3.391633448538678e-07,2.125418840113507e-07,2.1843395218044374e-07,2.1808874721144046e-07,4.000058458704285e-06,2.1917519953338227e-07,2.675608153558926e-07,5.748797173636298e-07,9.976100326381565e-07,4.160038448410452e-07,2.9932296468258644e-07,4.931472055160183e-07,9.419166346933629e-07,6.041501591848317e-07,6.093729882757699e-07,1.5082835907303532e-07,7.408392875365865e-07,4.5143193680115367e-07,4.44595679439919e-07,3.9602044237053264e-07,4.638270769687021e-07,5.632291525971207e-07,2.9674340751794987e-07,2.9159724714719136e-07,2.0118411493464225e-06,4.624610065255857e-07,2.4400101315180504e-06,1.7714466098819456e-06,4.500517486108156e-07,0.0,3.748748946769727e-07,6.774352488929331e-07,1.845623449978887e-06,5.424063963362736e-07,1.592082070704372e-07,0.012217252102019805,2.1787002395014717e-07,6.945989526083322e-07,3.170491406683431e-07,2.0114334420136876e-07,4.3385297567341007e-07,2.3658277341467426e-07,2.8476278932041353e-07,1.8492870939273212e-07,1.1283238115494603e-06,1.2613946825380137e-07,1.1411750347497083e-06,1.1960842814166978e-06,1.3395356637943113e-07,6.522324739150305e-07,1.9230737750226497e-05,1.1220512741734803e-06,9.306956745903929e-07,1.8186281920737685e-07,5.956557519058117e-07,5.987547706365017e-07,5.766870294069885e-07,4.94615362413717e-07,1.5479873658616513e-06,3.280119823312384e-06,2.8861596726666177e-06,3.993946903605627e-07,1.8987201494803501e-06,2.4175585285576275e-06,2.13344471397458e-07,3.998914725348873e-07,5.303336429703347e-07,1.238548746074688e-07,6.308093829323435e-07,0.0,1.549466448058958e-07,3.890702657227999e-07,1.644241061252252e-07,7.28324532187345e-07,4.164686127174015e-07,3.441522480610889e-07,7.110443231480321e-07,1.1154237784645724e-06,1.2475658321556123e-06,1.635992577574502e-06,1.1765864629506735e-06
Aircraft and spacecraft,0.00039116995972058953,0.0003546164046659007,0.0009364782153545637,0.0003963515819794327,0.0004562265041410107,0.0014431076367938075,0.00047740055633478114,0.0003048565942328657,0.0002304535387834007,0.0013596175121626541,0.00035624316457041964,0.00019319495742221372,0.0004169232947840555,0.0003311166533939353,0.0003552900064042019,0.0005783930951738422,0.0003364256601415617,0.0002861507402316901,0.0002783441519195144,0.0012875338802599396,0.0003303113951586141,0.0005707979565331106,0.00047956466361793375,0.0007302459442843598,0.0003948653095978367,0.0002480497016041365,0.00021005733014503795,0.0003687782676933641,0.00022203543651914127,0.0002758773106885648,0.0002725349904339925,0.00025721970786284895,0.00045489201233830777,0.0007036350582466124,0.0002613639769903041,0.0,0.00030213677485876244,0.0006414830218844139,0.0003336812631199385,0.000647347975516626,0.0026239316918587816,0.0003733345959995976,0.00029180856829523775,0.00027242671358003435,0.00040702963190125153,0.0019762732477771696,0.0002486125255799099,0.0003364279166314493,0.00028984840463240163,0.0005539134742880557,0.00040005287766347973,0.00030515310740920047,0.0002246852981993567,0.0010439391256285024,0.0003311166533939353,0.0003060924033553351,0.0005579412513281128,0.00019252771897342318,0.0003774664467485143,0.0002791185317360625,0.0014256650537684205,0.0006729924068851323,0.00026917215070786056,0.0007012255721307516,0.00025943019331785717,0.0005528824433272272,0.0014829939444593937,0.0,0.00017180698993525092,0.0002573518505711162,0.00030369108668631636,0.0002950235812422713,0.0013555946378307649,0.00021005733014503795,0.0004562605876732707,0.0003810355797000533,0.0003531114926142318,0.0007993556882364205,0.001233207075143736,0.0013626905845931423,0.00034309016823946625,0.000579762212434597,0.00046731293012465677,0.00040750267738480446,0.0013622548965166576,0.00024848933545420056,0.0004994838432848392,0.00027003270329014397,0.00033361448675370145,0.0004873746296810204,0.00027267312191797633,0.0003419398283371492,0.0002570864025320478,0.0030214477887413925,0.0,0.00031139847653067533,0.00022394657484051375,0.00024427399446655266,0.007954787358710151,0.0005040312202359305,0.001121519823981562,0.0013388016598184476,0.0002474373179432123,0.0006884832966175826,0.0003053568779110883,0.00045609414668012225,0.00033456396896159625,0.00013465202965171977,0.00024236626476224508,0.0004562605876732707,0.0003236536651646345,0.00031396319046921495,0.000296777183349745,0.00029875602881746383,0.00033491354269883406,0.00048383011978547406,0.00028730204861986293,0.00024005904842333315,0.0003143471812162187,0.00040799822169888713,0.0011696914919483584,0.0009035941051764206,0.0007807516124319707,0.00038277944933337295,0.0,0.0006420225403156175,0.0003146414937731275,0.0004019007424984428,0.000469902596951294,0.0003297962597516054,0.000385464970214947,0.00020870318450667518,0.0003789918632300807,0.0002308496998938555,0.0005363675401827233,0.0003234802861597632,0.0023054690025623857,0.0007355723655048115,0.0002490936960944469,0.0004710881895881421,0.00023397523890524767,0.00033294109086271124,0.00024964600229139663,0.0,0.00025447133276760127,0.00021083108305612624,0.0011930555374187024,0.0008306032393649184,0.08227495201342383,0.0011579329774152917,0.00032416034592831696,0.0002760258354014963,0.00021199491531534215,0.0,0.0046401206118253675,0.0002740422235807236,0.00021863849059796896,0.0012351552127699854,0.0003569469987707976,0.00029682874472823596,0.0003311166533939353,0.00038527636509187464,0.0008151369901631423,0.00031074715001711646,0.0002698098712922213,0.00021005733014503797,0.00030158393305079983,0.0005486394963177796,0.0002262519486978882,0.0008762447412173886,0.0003037090013194133,0.00028637526641332685,0.00024848933545420056,0.0003778016563063085,0.001233207075143736,0.0002212780814510736,0.0005630587996643376,0.0005065555369893771,0.00028637526641332685,0.00029009910992992393,0.0004751215277703601,0.0008332844837955977,0.00024267035293155866,0.0013388016598184476,0.0,0.00033179647697262956,0.00043944600156320315,0.001473536458837353,0.0005600643102753434,0.00132983554367216,0.000381703249282753,0.0003126945868344876,0.0002961168381527564,0.0007126181033555618,0.0003257589872976515,0.0009145772817844613,0.0004156279473707611,0.0016311448793848561,0.0003141696335026871,0.0003004281908968413,0.00048504840158021317,0.0004415982772236123,0.00041057019778091764,0.0006958412189319407,0.0003087399239116468,0.00040833457221773055,0.0004908458457087575,0.0003242612132915139,0.00032904450558651706,0.0003229065512048545,0.0005457743575547044,0.0003458919507935288,0.00027494448180570444,0.00023562300753880583,0.0002630744649543117,0.0003236536651646345,0.0002679325044127761,0.0004903289632747846,0.0002967808097372431,8.111096814778662e-05,0.001003910830340552,0.0003866945642886848,0.00021863849059796896,0.000458046850496384,0.0013626905845931423,0.00028097566817240584,0.0002559251942975943,0.0003912607917126322,0.00028449635859027105,0.00039029662428187255,0.0005550293522207877,0.0024969003241533698,0.00047431819498970683,0.0003540389583449585,0.00042064105326690784,0.0004374702884551458
Animal feed ingredients and pet foods,0.0,1.0000000000534086,1.0000000000534914,0.0,1.0000000000534892,0.0,1.000000000053488,1.0000000000534919,1.0000000000534914,0.0,0.0,0.0,1.0000000000534917,1.0000000000534912,1.0000000000534914,1.0000000000534848,1.0000000000534912,1.0000000000534919,1.0000000000534923,0.0,1.000000000053491,1.0000000000534917,1.0000000000534919,1.0000000000534839,1.0000000000534919,1.0000000000534903,0.0,1.0000000000534914,1.0000000000534912,0.0,1.000000000053491,1.0000000000534919,1.0000000000534914,1.0000000000534912,1.0000000000534914,0.0,1.0000000000534914,0.0,1.000000000053492,0.0,1.0000000000534914,1.0000000000534923,1.0000000000534914,1.0000000000534912,1.0000000000534919,1.0000000000534914,1.0000000000534923,1.0000000000534912,1.0000000000534919,1.0000000000534919,1.000000000053492,1.0000000000534914,1.0000000000534917,0.0,0.0,0.0,1.0000000000534894,1.0000000000534914,1.0000000000534908,1.0000000000534783,1.0000000000534917,1.0000000000534908,1.0000000000534897,1.0000000000534914,1.0000000000534905,1.0000000000534905,1.0000000000534883,0.0,1.000000000053492,1.000000000053491,1.0000000000534917,1.0000000000534914,0.0,1.0000000000534912,0.0,1.0000000000534919,1.000000000053491,1.0000000000534914,0.0,1.0000000000534912,1.0000000000534888,1.0000000000534917,0.0,1.0000000000534917,1.000000000053488,1.0000000000534919,1.0000000000534914,1.000000000053491,1.0000000000534912,0.0,1.000000000053491,0.0,1.0000000000534917,1.0000000000534914,0.0,1.0000000000534917,1.0000000000534914,1.000000000053491,1.0000000000534912,1.0000000000534914,1.0000000000534914,0.0,1.0000000000534914,1.000000000053491,1.000000000053487,1.000000000053491,1.0000000000534917,1.0000000000534905,1.0000000000534917,1.000000000053486,1.0000000000534919,1.0000000000534912,1.0000000000534908,1.0000000000534912,1.0000000000534912,0.0,1.0000000000534919,1.0000000000534919,1.0000000000534794,1.0000000000534917,1.000000000053491,1.0000000000534917,1.0000000000534888,1.0000000000534919,0.0,1.0000000000534923,1.0000000000534919,1.0000000000534912,1.0000000000534917,1.0000000000534908,1.0000000000534917,1.0000000000534914,1.000000000053491,1.0000000000534917,1.0000000000534917,1.0000000000534914,0.0,1.0000000000534919,1.00000000005349,1.0000000000534912,1.0000000000534919,1.0000000000534914,1.0000000000534923,0.0,1.000000000053492,1.0000000000534919,0.0,1.0000000000534919,1.0000000000534925,1.000000000053491,1.0000000000534919,1.0000000000534923,1.000000000053491,0.0,1.0000000000534914,1.0000000000534917,1.0000000000534917,1.0000000000534908,1.0000000000534919,1.000000000053491,0.0,1.0000000000534917,1.0000000000534828,1.0000000000534044,1.0000000000534914,0.0,1.0000000000534912,1.000000000053491,0.0,1.0000000000534919,1.0000000000534914,1.0000000000534923,1.0000000000534919,1.0000000000534912,1.0000000000534914,1.0000000000534923,1.0000000000534817,1.0000000000534908,1.0000000000534914,1.0000000000534914,1.0000000000534912,1.000000000053491,1.0000000000534908,1.0000000000534912,0.0,0.0,0.0,1.0000000000534914,1.000000000053491,0.0,1.0000000000534879,0.0,1.0000000000534908,1.0000000000534919,1.0000000000534917,1.0000000000534919,1.0000000000534914,1.0000000000534919,1.0000000000534908,1.0000000000534914,0.0,1.0000000000534912,1.0000000000534717,0.0,1.0000000000534899,1.0000000000534908,1.0000000000534919,1.0000000000534912,0.0,1.0000000000534737,1.000000000053492,1.0000000000534919,1.0000000000534917,1.0000000000534877,1.0000000000534703,0.0,1.0000000000534914,1.0000000000534914,1.0000000000534919,1.0000000000534914,0.0,1.000000000053491,1.000000000053491,1.000000000053489,0.0,1.0000000000534919,1.0000000000534914,0.0,1.000000000053492,1.0000000000534914,0.0,1.0000000000534914,1.0000000000534905,1.0000000000534919,1.0000000000534919,1.0000000000534917
Articles of concrete cement and plaster,9.925687688501581e-08,1.4069019987623386e-06,1.1599762482302876e-06,4.091473495818698e-08,3.2047941712783164e-07,1.1873236202654834e-08,6.194693161291206e-07,3.133816266821738e-07,8.777957991853877e-08,6.110963969832202e-07,3.367814539597153e-08,7.066672594589052e-09,7.448419592240087e-08,6.406239995217077e-08,2.1884744882320288e-09,3.711135316163011e-07,6.69643512712525e-07,2.3352877408798837e-08,5.771702824173484e-07,1.7204216711631074e-08,1.9660651267954398e-06,4.626837162598991e-07,6.475951646489857e-08,1.1621815963704446e-06,4.9997137106988826e-08,1.906717491678678e-08,5.9799892449385285e-09,9.168785677740254e-07,7.05552621486334e-08,4.144201017741275e-08,3.250850187708626e-07,4.564218420049851e-07,7.227031634082392e-08,4.486346205589898e-07,6.866571957638026e-07,6.210421405456151e-08,3.07733269512428e-06,2.1124306471572585e-07,3.367814539597153e-08,6.406239995217077e-08,1.8814857501577304e-08,2.8231938423724757e-07,4.403513952988262e-07,2.4763792490551935e-05,2.4922023826356152e-06,1.8785037798238837e-06,1.0758513566212344e-06,6.228441262925611e-07,1.0574970348886038e-08,2.768248576150823e-06,4.9208452649617246e-08,6.37903381909509e-08,6.136054347207965e-08,3.770417825741894e-08,2.3398607639765788e-07,5.6804791778219303e-08,2.438481396327428e-07,2.6931956275670256e-09,3.7021971510030895e-09,6.60225299612999e-07,7.753898583488618e-08,7.066672594589052e-09,6.210421405456151e-08,2.524431360519002e-06,1.4816192728739942e-08,4.280516626321208e-06,3.5510330059732935e-06,0.0,1.1829330781512461e-08,2.213996940652156e-08,4.280188026380379e-09,4.932700151477117e-07,2.841986792847796e-07,5.118887897358755e-09,1.0098725789194468e-06,9.115900612042218e-09,4.0689598469366245e-07,8.929545747720261e-07,6.874863687201368e-06,2.841986792847796e-07,8.063098118068709e-07,3.4540790626974547e-06,5.275773211940387e-08,1.867152786402216e-06,3.4000574801045346e-06,3.7151739330862524e-08,4.96385445436369e-07,9.23954772127569e-08,1.4290445471599023e-07,7.277675479782696e-09,5.25018311786911e-08,4.307580073325474e-07,9.423894107639137e-07,4.112221200907577e-07,0.0,8.125662355906017e-08,4.61630341558316e-09,1.2623281444078515e-07,1.3963392500455846e-09,4.3097596343581934e-07,6.866614155267475e-07,0.0,2.7578203436365175e-08,1.2824234422763012e-06,4.249329902267171e-06,4.673201208428707e-08,5.504516289290981e-06,4.486446492614422e-09,8.519064141244806e-08,1.494364794370536e-06,5.457312167832523e-07,3.3331590543105964e-08,2.1087982789378424e-06,2.986259682476133e-08,5.417851515895119e-07,5.141030536108863e-07,5.411017324137916e-08,4.157187141678473e-07,8.151399324399193e-07,6.266955555918556e-07,4.947788342635559e-06,1.2690020588713287e-05,5.583353276818901e-06,8.945222038250489e-08,0.0,4.6504259594940623e-07,3.1965511367584674e-06,3.9440578305597616e-08,4.434807217821214e-09,3.736800767322966e-08,4.5973205424017856e-07,3.902943826338737e-08,5.522503432758168e-08,1.6858015834136622e-06,6.068549976208566e-07,2.9751903373621225e-09,3.4151093391303147e-07,3.6726548404249555e-07,3.143739327851981e-07,1.7527638719858864e-07,5.815175588803154e-07,2.800281058390965e-06,5.032874724183011e-07,4.2402513642007906e-07,6.820177591596799e-06,5.59107945801124e-07,3.9076951882871044e-08,5.602512394585152e-07,2.7415008617970398e-06,4.565133754681425e-07,3.0678854516669035e-06,1.7278420163892466e-07,8.35943724786907e-06,5.97936017968607e-07,9.349324068983826e-07,5.814616592426695e-08,6.322846684508399e-07,9.23451847274954e-09,5.34182906784252e-09,6.486256729639936e-07,1.0541254578609657e-07,6.322846684508399e-07,7.612355326242477e-07,5.178373005904666e-07,1.3248959603220116e-07,6.322846684508399e-07,2.420388962237706e-07,5.512360536998018e-07,4.703413742840154e-07,4.1026107431966155e-07,2.8117494869699687e-09,4.4173445700537606e-07,1.532548629101904e-08,6.961107653113045e-07,6.874863687201364e-06,2.718516719989206e-07,5.4591534779343216e-08,1.3192260487711903e-08,8.158614158986277e-07,1.526606995357129e-06,1.335621978308726e-06,1.5723751675735283e-06,5.541793757102948e-07,1.774836627930889e-07,0.0,9.155365259856795e-07,4.455938677214567e-07,1.4996817191538153e-06,8.253244269497338e-08,4.971268095889849e-08,1.0563299960109724e-06,8.457511804538079e-09,1.4039896923682682e-07,1.6792827620861317e-06,1.1492643632396489e-07,1.85422982247376e-06,4.371048262429025e-09,1.8703229231212035e-08,4.95802944267733e-09,3.0842682916757363e-06,4.1931828426894215e-08,7.752684977039115e-07,4.780777044749321e-06,5.402727324971513e-08,2.1922079068540107e-07,3.989718225374216e-07,6.539976217006893e-07,6.921347627608648e-07,5.176271617266509e-07,2.275520755990856e-06,4.1365286713064284e-07,5.024211550507919e-07,2.226026026643291e-07,1.466003099870941e-06,1.5600424155408455e-05,4.932326980952075e-07,4.7429149480648957e-07,4.388815991233896e-07,1.982896995443441e-06,2.2887519244826107e-08,0.0,5.047078401823271e-07,4.0869198553292586e-08,2.127646452839089e-08,0.0,5.7027307705882696e-08,4.1635951256631483e-07,5.070362997327455e-08,5.171014169113957e-07,4.054768043929138e-07,1.2778321124202052e-07,5.176271617266509e-07,9.17298545182835e-07,3.2091001709190463e-06,2.1944625258724408e-06,2.9455113110531975e-06
