,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.262514406133856e-09,2.836952484794091e-08,1.313631025190792e-08,7.217050200436053e-09,1.6425191038722265e-08,1.2459549716120892e-08,2.4681904848591278e-08,8.285600979553463e-09,1.1996662435878362e-08,1.0010945572963408e-08,1.034959003349806e-08,1.12629149936398e-08,7.63048775084245e-09,9.947201076565359e-09,1.0632392924156405e-08,1.619312787100079e-08,8.985988651018709e-06,1.1096820175199572e-08,1.442026671581613e-08,1.2720054781475059e-08,2.0695977663188296e-08,1.0190449079609855e-08,1.2927609297156154e-08,5.4154091933437656e-08,7.97503119616163e-09,1.6595126699966042e-08,1.3136381407833809e-08,1.2366267965999595e-08,8.597108531154389e-09,7.052582426055298e-09,9.25947319065777e-09,3.990637684034906e-09,1.2160132581581184e-08,9.933544655618197e-09,1.041598196205928e-08,0.0,1.2281204643899984e-08,2.911229810806643e-07,8.633229152924626e-09,9.947201076565359e-09,1.0703866939475302e-08,1.1996850608868041e-08,1.0080985799762644e-08,2.3399711299801546e-08,2.3453556688614463e-08,2.7318066150207762e-06,4.8770631924182924e-08,1.0502549660782884e-08,7.755129107940688e-09,6.746555325845811e-08,1.2162817174209724e-08,8.906651516517536e-09,1.2696395449609069e-08,8.394664461213642e-09,9.947705020093555e-09,6.943010242645073e-09,6.157283104435544e-08,1.127297898027464e-08,1.1036423031840982e-08,1.216406448839566e-07,8.88300043258249e-09,1.1393356003545787e-08,8.618599106326308e-09,1.8764921791698876e-08,2.8688565613503983e-09,1.8237627224853326e-05,9.872988120242808e-07,1.103642303184098e-08,1.2830981809294777e-08,1.036879009747038e-08,7.210640676051134e-07,1.1152091739812602e-08,1.0066007245525114e-08,1.1646632183803317e-08,1.3142685146280444e-08,1.2071737040639806e-06,1.1271461680741686e-08,9.938335347035113e-09,1.6765360594389724e-08,5.530658080495316e-07,1.1646632183803317e-08,2.5637653625429206e-08,1.1550101946259186e-07,1.1800011268210786e-08,1.2926731956503086e-08,1.2172077824159034e-08,1.843278009112982e-08,1.3458622522812047e-08,2.8573601762526585e-08,7.806834373654461e-09,1.144425802599272e-08,9.32674312761496e-09,1.0107038161321302e-08,9.453905584023512e-09,1.0066800186902006e-08,0.0,8.82316781844806e-09,1.4053205228749323e-08,8.621431306593716e-09,1.025508321112493e-08,1.0094127727022828e-08,1.0456777659496796e-08,1.0057328907028422e-08,1.0138521216156682e-08,3.3315178696505e-08,3.335302900651882e-08,1.3195516561908569e-08,2.4295136090176316e-08,1.2281121662529684e-08,8.681442733946899e-09,1.2930201136451091e-06,9.716020411368579e-09,1.0760795716298743e-08,0.00011198768299549539,1.119727412504514e-08,1.025836594655865e-08,9.957507239363185e-09,6.858277600052514e-09,1.0092286772997618e-08,7.506221321313458e-08,1.0141519866753646e-08,1.1802259415313194e-07,1.1664407391479815e-08,7.712284267473523e-08,1.0878865707941443e-08,0.0,7.553654883521509e-08,1.5867924433752532e-08,1.1474723147202e-08,1.0984242890574724e-08,1.105906542065708e-08,9.770031139536857e-09,1.397658168695077e-08,1.285742074106311e-08,1.521155365072352e-07,3.823381201427862e-07,8.770861962752254e-09,7.597821829823647e-09,2.2478459212751736e-08,1.3692064533298917e-08,7.382268485171187e-08,1.0190431445616044e-08,1.4008048031585487e-08,1.0489135793254713e-08,1.0089646052948987e-08,2.1196269470531394e-07,1.5961795230368413e-08,6.681027619140071e-09,4.872757670227016e-07,6.994670516278968e-06,1.0015057441285583e-08,1.6565256761593004e-08,1.2227022242162421e-08,1.2033129290159902e-08,9.951256517155271e-09,3.8841009404233156e-08,1.0704688472467625e-08,9.95100474647069e-09,1.296298971927269e-08,1.0869293100498924e-08,1.034556102065805e-08,9.893851198332595e-09,9.951256517155271e-09,5.9326402931234124e-08,3.989719685178313e-08,1.0596352387183949e-08,9.846670356584763e-09,9.75437813923319e-09,1.0041488596296316e-08,9.870385907591212e-09,1.0058488784441515e-08,1.0117317159495775e-08,2.3511658492691976e-08,1.2733842627239846e-08,7.836908510918751e-09,5.530658080495316e-07,1.2324986236658784e-08,1.2724739024050049e-08,1.2768073906300604e-08,1.246097905235587e-08,9.59543402363705e-06,3.339835805556458e-07,6.175269114940704e-07,1.4246077842005527e-08,1.0057328907028422e-08,0.0,1.2037667319179046e-08,7.48908719041165e-09,1.2614622950488833e-08,9.727308474353757e-09,1.1284439742530935e-08,1.2230975397738089e-08,1.4504256038965826e-08,3.056717421968463e-05,6.490930271215248e-08,9.642718714009856e-09,1.0661740467422709e-08,4.333275077537936e-08,1.0588598804202323e-08,1.208472236170495e-08,6.788281162327909e-09,1.6039094538887842e-07,7.967320048051842e-07,6.551895961756494e-09,1.3373547117508873e-08,1.4292528439476028e-08,1.0254977199671688e-08,1.1586430409756572e-08,9.947429657215404e-09,4.3707265005973896e-08,1.007258444955971e-08,1.0080286254177338e-08,1.3787602646659804e-08,5.276155767581141e-08,5.2233097217537486e-08,1.0092452043789564e-08,1.0113835718568702e-08,1.3227543265857817e-05,1.5118248755551563e-05,8.80215638884954e-09,1.296298971927269e-08,9.498419628163553e-09,6.51792695722538e-09,7.604123632324858e-09,1.296298971927269e-08,1.1160350538509054e-08,1.0036071021697378e-08,6.834488302941004e-09,1.0112793363082591e-08,1.0242062438989924e-08,1.2057955526580508e-08,9.947429657215404e-09,3.045188997257615e-08,1.2515742126746624e-08,2.658065636750247e-06,9.320809713983008e-07
Agricultural and forestry machinery,2.2173365164335845e-07,1.0508451256488587e-07,1.0127490587702765e-07,2.48279684363514e-07,6.408974551516483e-08,3.773689201923981e-08,1.0574540882976995e-07,1.5568421139865453e-07,8.598031689831865e-08,9.282640063492304e-08,7.705389222997865e-08,3.760306529497412e-08,2.1854640831287243e-07,7.704104699719035e-08,2.915767829911081e-08,7.836415242142362e-08,1.1616616613115135e-07,6.9300793007871e-08,1.235632977050212e-07,6.11500791533422e-08,1.2803884669191156e-07,1.2862649249489535e-07,4.758790362874176e-08,1.0144582104945331e-07,2.3903368995842596e-07,7.051150798565642e-08,4.1724439716204025e-08,6.796074045483527e-08,2.01324641925092e-07,2.4637391774619836e-07,1.5045547029339468e-07,1.6685950877621127e-07,2.0216647434695897e-07,1.179848385294266e-07,1.1661568586839676e-07,0.0,1.1879274243318316e-07,5.583010868555102e-08,1.393509275490194e-07,7.704104699719036e-08,5.0366327558362614e-08,9.622855003769732e-08,1.4715080651561233e-07,1.0347927600822332e-07,1.134273525378943e-07,1.288841675582647e-07,9.891332796045152e-08,1.0598685176305929e-07,9.985617185742078e-08,1.0018112073470175e-07,5.355048310819221e-08,1.407112881065257e-07,6.61881735500133e-08,1.6438591952046328e-07,7.704104699719036e-08,2.1284011016285706e-07,4.034244847595017e-08,4.8587133062148915e-08,4.1203792216869726e-08,1.1291509234775674e-07,1.993173863377473e-07,5.811721293418979e-08,1.540417528162817e-07,6.57062514793744e-08,1.421918698806837e-07,8.797057283096123e-08,4.165614805449802e-08,0.0,3.769405485200187e-08,5.621467332353315e-08,8.075149039695178e-08,4.119944102837999e-08,1.1386051812732831e-07,7.822118877453085e-08,3.760306529497413e-08,1.1957767974228304e-07,5.456777106403185e-08,1.7890078818937054e-07,1.0921424788389942e-07,8.543123754083303e-08,6.82122741173755e-08,9.106750794822148e-08,1.3009587840785326e-07,4.0265822531476594e-08,1.257818666115287e-07,1.180452382112116e-07,4.3987633800335765e-08,8.307001150649497e-08,4.377362486141758e-08,1.795893285775883e-07,5.524366097919969e-08,1.4711388619359808e-07,1.1717744866659998e-07,1.35274809008171e-07,1.484977630547218e-07,0.0,1.508160453419429e-07,4.013616433770919e-08,1.9072222358196216e-07,6.227541021394211e-08,1.23102800244312e-07,1.2331915917429295e-07,2.48279684363514e-07,6.375133044298384e-08,1.2998068827392623e-07,7.989954698471829e-08,6.797707769946665e-08,1.0723856767560073e-07,1.5403999249985634e-08,1.890611125111515e-07,8.2331663440919e-08,8.46419143044014e-08,7.53411145233423e-08,1.0974010424707674e-07,1.1431430190340705e-07,1.1855328202951936e-07,9.314636136537536e-08,2.3557895169178658e-07,9.010247445690745e-08,6.041089580535882e-08,1.1674816959025752e-07,8.583126004028972e-08,9.354863970279659e-08,7.38914539807213e-08,2.048746480712361e-07,0.0,1.2131005706717296e-07,1.023068113331193e-07,5.438573264798765e-08,4.8348430069298964e-08,4.780398543484311e-08,1.850506703992662e-07,5.3726921159415406e-08,6.667733921505904e-08,1.229727678106574e-07,1.1844198114092268e-07,1.196187015960741e-07,1.994771284637775e-07,8.183335036056332e-08,1.124643423159082e-07,5.623651304895642e-08,1.2774464494376788e-07,7.695898259957208e-08,1.2567451742719242e-07,9.410655969556773e-08,1.1040784123456003e-07,8.632381234386142e-08,2.48279684363514e-07,8.932522556340837e-08,1.2044501134821665e-07,1.0837157647286419e-07,1.1155379415909636e-07,5.837714596582403e-08,8.183200563578844e-08,8.076379869168695e-08,1.3127141398977444e-07,1.5311937543180675e-07,1.384513503525013e-07,6.128190245499526e-08,5.131014314512895e-08,1.2416350053135559e-07,7.781109829873118e-08,9.9981546128848e-08,7.44235783290176e-08,1.0756936508442239e-07,1.7133178717050637e-07,1.6471620474621004e-07,1.1192027418853721e-07,1.2117877283961743e-07,1.688230623311043e-07,1.0305296246621131e-07,3.39487385374304e-08,1.4715080651561233e-07,3.6587407648512455e-08,1.628350028312e-07,8.543123754083311e-08,1.0458458820519418e-07,1.0183209362050422e-07,5.0724310367544865e-08,7.707347019432866e-08,1.2583476396366957e-07,8.82389322633601e-08,1.0173718779600248e-07,1.217250277556462e-07,1.5087262402785139e-07,0.0,7.5043685546657e-08,1.005479232000153e-07,1.1818041256785088e-07,1.6242610763484796e-07,4.0775540168359875e-08,4.496232404132999e-08,5.6347853836097546e-08,2.204723066177032e-07,3.711578644486711e-08,1.1793003353968716e-07,6.153758846582759e-08,3.987534324503906e-08,5.4950949535484244e-08,1.1115409462112906e-07,2.4351768656532765e-07,1.086676672790711e-07,9.010823710254004e-08,1.8054673327005842e-07,7.741403843149362e-08,8.596761139812302e-08,1.1671648795682553e-07,9.953508426763857e-08,6.930079300787094e-08,7.963660867622517e-08,1.0865204373396397e-07,1.2115223056529135e-07,1.7757537292491318e-07,6.10988815640826e-08,8.758495796572846e-08,1.1211137808146458e-07,9.422730105218019e-08,9.60659915714712e-08,1.118848046334555e-07,7.317727505989594e-08,1.3917374545458284e-07,1.5069553093207003e-07,2.48279684363514e-07,5.384681272519931e-08,0.0,2.29538736321991e-07,1.4490635200519434e-07,2.2125832525576914e-07,1.201605261620297e-07,9.639706516445778e-08,5.2406991764810355e-08,1.227540688775784e-07,9.639819756845507e-08,1.1762344728910725e-07,1.2478619415549188e-07,1.1100551426395608e-07
Aircraft and spacecraft,4.3905361625934454e-07,1.606402684577528e-06,2.5920616489707666e-06,4.591334112027043e-07,4.38846391799666e-07,4.317158093651907e-07,6.403203760132853e-07,7.106048954341487e-07,3.7872864618450904e-07,4.6514886362159927e-07,8.51495737283278e-07,1.6185732963021876e-06,4.0137192852728437e-07,3.13321004319165e-07,9.956279931780625e-07,2.708515085453367e-06,4.7696638992520125e-06,5.526042802708827e-07,1.6377487220340502e-06,6.769297419458085e-07,2.5964073655272744e-06,3.1661958650547636e-06,4.629724703081417e-06,4.556374719317073e-07,9.85031869561613e-07,5.184387960027483e-07,3.0999607486012347e-07,4.114800245247997e-06,3.5923753379934873e-07,3.210047025879886e-07,3.9301971565734205e-05,4.1062878646792345e-07,3.0674735337658053e-06,4.078726663519647e-07,3.273171138179903e-07,0.0,2.4506686049353685e-06,4.7582541655455505e-06,4.825861999453671e-07,3.6110762235756e-07,5.432233912820559e-07,4.1131148623390676e-07,1.7727056156526106e-06,9.669811928385264e-07,1.7065419533982666e-06,5.155195440796261e-06,2.81778128853548e-06,4.181018780972324e-07,5.084556731084027e-07,1.0903001949768725e-05,3.4556950429116524e-07,7.731629893236114e-07,9.526255158595675e-07,6.077557578545157e-07,3.1332100431916513e-07,4.438345148009218e-07,5.801143833938667e-07,1.6703532592830673e-06,7.163288390347672e-07,9.571278233916256e-05,4.7290086164711057e-07,4.888680059491801e-07,3.828152015292317e-07,3.331319204598641e-06,4.1330399073573043e-07,1.9119129187038593e-06,5.756421010241477e-07,0.0,2.632685096939121e-07,5.215988082771766e-07,8.13800819406434e-07,3.759269687932906e-07,3.312761528569908e-07,4.6810032807405004e-07,3.0999607486012347e-07,5.102670671426688e-07,7.130313435025266e-07,4.6532967169355955e-07,6.125043215745282e-07,8.280870029936464e-07,4.692050865716392e-07,3.8100277700178437e-06,7.212719975179671e-07,3.810065305534528e-07,3.2511103747775236e-06,4.699455776277754e-07,3.7385025006012005e-07,8.518804748181353e-07,3.537864660788971e-07,4.82475033234807e-07,4.104118770084229e-07,4.2759984841689545e-07,7.337983921356995e-07,3.466461876697867e-07,9.508019852224128e-07,0.0,2.1593301492080616e-06,5.993469769355487e-07,4.353921116522099e-07,9.633533081123845e-07,1.4107349716243347e-06,5.156665695175035e-07,4.3767351446759397e-07,3.4449007122626826e-07,8.831943958585958e-07,4.7252961474738035e-07,3.6011439255966665e-07,5.45085899653599e-06,2.512205610062892e-07,3.220293741167169e-07,5.102670671426688e-07,3.8465713746969803e-07,2.806743869508259e-06,2.0898616002819338e-06,2.338390587651387e-05,3.8597367142470105e-06,3.4638108560161e-07,3.1418771967655626e-07,4.425431329409963e-07,4.222382670190725e-07,7.551582952136544e-06,5.41698761666603e-07,1.5854518870922243e-06,1.1091708861511259e-06,3.4636805735442536e-07,0.0,4.262425441709173e-06,1.0434858110178882e-05,2.1794096722777732e-06,3.97410242962251e-07,1.541350395115143e-06,4.987573293748148e-07,2.279269461452461e-07,4.2167198050841124e-06,1.041579071835128e-06,4.4382770794787054e-07,3.677255569258075e-07,5.130527538267522e-07,3.669350771330444e-06,0.0002784491568080436,1.043849511740186e-06,7.39489833339338e-07,6.814692094216469e-07,4.094407584092811e-06,0.0,2.263206364781968e-06,3.472177001712496e-07,4.7141100030928057e-07,6.766579422761564e-07,9.37465136979276e-07,5.829415776625418e-07,4.937457291654199e-06,3.2196591507036374e-07,4.176949672707669e-06,0.0,1.0068675178169542e-06,9.660103645205981e-06,3.0428986080030505e-07,8.216984721587713e-07,3.702277594276967e-07,7.375554169906479e-07,3.1332100431916497e-07,5.997611508962961e-07,5.585775349615566e-07,6.831758616897858e-07,4.4356606999199705e-07,3.099960748601234e-07,5.07068819922065e-06,1.6165896258772818e-06,3.276521260999452e-07,4.485942433949085e-07,7.046744821565587e-07,1.2365222691825081e-05,3.7385025006012005e-07,6.508287694921194e-07,8.280870029936465e-07,3.0733203762199235e-07,3.838645050570518e-07,5.018460860597782e-07,1.2365222691825078e-05,7.719189645095977e-06,9.302145182575998e-07,0.00019393552368399074,4.4628429634914837e-07,4.3767351446759397e-07,0.0,4.268110740197061e-06,3.795078466549729e-07,4.515479757177837e-07,4.942912564644261e-07,4.4036470354374864e-07,4.53286913002564e-07,5.159886338650783e-06,0.0006268084435171982,5.233288770868512e-07,6.552692367193689e-07,4.547896467611154e-06,5.254209545420662e-07,4.1372151486757425e-07,1.3069074955681475e-06,4.469376828798143e-07,1.85673982838653e-06,5.174215476952922e-06,4.588511781958255e-07,5.596827547545055e-06,9.38249016200575e-07,5.469862111744723e-07,8.699364842540007e-06,4.2600509826587723e-07,1.0277329781297868e-05,4.904448449896387e-06,4.633639914829103e-07,3.3709668382497145e-07,4.442690873296146e-06,6.120284987822467e-07,3.846571374696981e-07,3.6523602241773513e-07,4.2380550987756225e-05,0.014714510891228827,0.000114322648389091,7.347100372820095e-07,3.8227522902541375e-07,3.0428986080030505e-07,4.892859834683693e-07,4.6920508657163905e-07,3.3435769657541864e-07,1.4724066205500636e-06,1.0969030198202797e-06,1.4307244330886311e-06,3.274340517175216e-07,3.5491916475929467e-07,5.342128209868442e-07,3.4027039512569e-05,1.4875950692258352e-05,3.236739488127661e-06,6.632618102761692e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,9.142799039198995e-08,5.50562139976736e-09,3.5214996646288597e-09,1.2542062823281235e-07,1.0495612525028678e-09,7.376358046964107e-11,6.856672427998524e-09,3.1942337232477486e-09,1.777154674694853e-10,7.696719387887302e-09,6.3873714273777556e-09,2.9462570445426096e-10,8.869038090873051e-08,5.38086955056269e-10,2.9616001743619786e-11,4.112821734733763e-10,7.178611001741428e-09,8.2686052204219e-11,6.4166461670050436e-09,3.827645784554269e-10,3.704654807695914e-09,8.228253179402004e-09,1.0953711033334748e-10,7.744686327093785e-09,1.1946036822056073e-07,4.9549469146613334e-11,3.773183372774302e-11,3.83006104976307e-09,2.6001509877661658e-08,9.968309260204521e-08,5.8352149219977505e-09,7.032531649916868e-09,6.356898735182433e-08,8.147719630999203e-09,8.464450859885883e-09,7.185416576375416e-08,6.144897084804606e-09,3.6196340751414085e-09,6.3873714273777556e-09,5.38086955056269e-10,6.585679969761196e-10,1.0202823824696257e-08,8.141579952623779e-09,4.015231881629154e-09,7.2476320086534655e-09,7.106805640400992e-09,8.153792702512637e-09,5.889363346682387e-09,3.3235772591484834e-10,6.297867428665734e-09,7.699194584279975e-10,2.5816767129049695e-08,4.130788871935158e-09,2.4505505951789637e-08,3.5423905562226924e-09,1.1618761709142334e-07,4.5832638121634884e-10,3.8234377730240816e-11,8.22080466862701e-11,7.51382152406626e-09,6.937544761271315e-08,2.9462570445426096e-10,7.185416576375416e-08,9.272394381017923e-10,6.06185219397617e-10,4.214026701232169e-09,3.5630630370871106e-09,0.0,7.198436980112803e-11,7.353876836434667e-11,5.165759757767714e-09,3.8442332058147974e-11,6.264313353105717e-09,5.407988936807824e-09,3.6982819885516275e-11,8.92882676479899e-09,2.8409413592335397e-10,2.2975410066923075e-08,7.449608646349078e-09,3.3985488675775054e-09,5.407988936807824e-09,6.493625179205856e-11,1.7549441885472717e-08,8.776854749345025e-10,6.772904692929002e-09,6.3579975084026535e-09,2.1354660089439188e-10,5.329339816272829e-09,1.695738581711665e-10,8.006819641781641e-08,2.954598255102024e-10,1.3831231591354212e-08,1.0782571953909803e-08,2.4661698023586105e-08,8.159308697864423e-09,0.0,3.686013552261881e-08,2.7304255410323052e-11,7.935247881733881e-08,2.2956774346789167e-11,8.750331387411595e-09,8.464508981250733e-09,0.0,4.392711571549218e-10,6.153578892570602e-09,1.9074150021109017e-09,4.553127807730876e-10,4.52258571948087e-09,2.085750043123568e-10,3.7823094730262624e-08,9.017629150422512e-09,9.273752974450141e-09,1.8583567354374503e-10,7.251131123602413e-09,1.9000791528822497e-10,8.1404162658524e-09,6.267746207012011e-09,1.1331189832106575e-07,1.1302240175201802e-08,7.890545889837916e-09,8.107349669669534e-09,2.8406283574278634e-09,3.41518205647047e-09,2.1849180965569117e-09,1.0108722229049847e-07,0.0,7.0696324048883595e-09,6.055647287653759e-09,2.580688248836866e-10,4.2309890994043455e-11,2.450813179625104e-10,8.435626532629468e-09,2.8962808935175783e-11,1.3189271579719764e-10,3.634203225948497e-09,7.428800718476521e-09,3.5283201678837833e-10,4.891955976709247e-08,1.9229059580049998e-10,3.816984899475722e-08,7.488336027022776e-11,8.254345353820864e-09,2.5284216730290335e-10,7.62737270277324e-09,1.0900181430153613e-08,2.6892486293186058e-08,3.9554876576675685e-09,1.1738400951013322e-07,7.040356636297773e-09,6.302936846861703e-09,8.508197506298748e-09,6.118136734548516e-09,2.0898827498752676e-09,1.0118159460229202e-08,5.430592436839128e-09,9.89116384305296e-09,1.980256790767122e-08,5.745369108892245e-09,2.7275564182889645e-10,5.994663438898747e-11,8.297486208452247e-09,1.0897553976805828e-09,5.745369108892245e-09,6.8600236974867275e-09,8.224196113681641e-09,2.0266468653212815e-08,5.745369108892243e-09,1.052510140558752e-08,8.37892532672268e-09,1.0457301563752657e-08,6.694566954912147e-09,4.1868200408413436e-11,8.131262796091311e-09,3.11819813625738e-11,5.925944336010951e-09,3.398548867577506e-09,3.3679680331257696e-09,1.2968094010232318e-10,1.3233437191831728e-11,5.340406553278863e-09,4.788044964424884e-09,8.549695248895603e-09,6.111328499262915e-09,1.2639417856723808e-10,3.05540291867675e-09,0.0,5.5737647876798705e-09,7.434097548275845e-09,8.499557098145146e-09,2.4206941868882186e-08,1.0629212849358282e-10,4.844646295273871e-10,2.2265458589103808e-10,5.5641818612405e-09,1.1199612801263852e-09,1.9092293001192454e-08,4.377931277243498e-11,1.1086139463008368e-10,6.653235743987142e-11,6.152300773492827e-09,8.890960332596343e-08,7.998114331585738e-09,3.902439278869228e-09,9.268455420354109e-08,2.25183026845267e-09,5.738845946782877e-09,8.0146106568548e-09,1.9667460135681233e-09,7.177796947526803e-09,5.072470417645e-10,7.76352750918121e-09,6.904210110255092e-09,5.116901491063814e-08,8.420235440484976e-10,1.6152172365593543e-11,6.265637160424549e-09,8.808225085070476e-09,4.726125953573131e-10,5.492459862365842e-09,1.1220841080319539e-10,0.0,5.219994896316829e-09,1.255107195956497e-07,2.7259225736981966e-11,0.0,8.4296977937389e-08,1.0777315632254579e-08,1.198188589755778e-07,9.057090954581794e-09,6.5601536819894366e-09,1.7504971113635219e-09,7.177796947526803e-09,7.897758482359265e-09,6.045423339890345e-09,6.725551428552591e-09,1.095204336867101e-08
