,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.11805561416155787,0.1883562739589127,0.17432384926615185,0.11317927282135404,0.1525784909225514,0.15862233171024756,0.2166260196107424,0.14288673270602628,0.15000750619401218,0.1828593412764809,0.1611899240769848,0.1634814320348539,0.11741562372683365,0.17098289297898883,0.16487836739681047,0.14611578536991793,0.18415690949287225,0.1619866125616968,0.19512446365827923,0.1602221889945853,0.21534006186188254,0.25437696855224967,0.12633426764805855,0.3541878901380432,0.12631518033735792,0.15783916298849374,0.1637969682855226,0.1615219217987634,0.13993376070108865,0.11113480342493386,0.1646854615123063,0.06941891341957798,0.12664010176234233,0.21550347549382112,0.8878378334480225,0.0,0.17824496980746957,0.17324760162909714,0.14015755748139577,0.1709828929789888,0.16160196682290304,0.15878296394128918,0.1754198838624619,0.1765906777467347,0.17395377562765454,0.1748522249511795,0.17233051354871662,0.1765927945404059,0.09272456803425272,0.19512644093160048,0.15843243108240387,0.14766588066850744,0.15227698573585174,0.12334819832924247,0.1710079003700564,0.11231070890802919,0.1494017464215256,0.16584433727242542,0.16873661252864566,0.19206261674178696,0.14898585409298026,0.16502350430424037,0.12432018303063201,0.16289883454703316,0.04394533018475625,0.15931385774175552,0.18646294036413638,0.16873661252864564,0.1569588079072747,0.1675484239941402,0.18180963575358142,0.1655944552595128,0.17687845897433543,0.1608516288653737,0.16388932194670291,0.1706323033741135,0.1640442646539898,0.17852553422666173,0.1686509143922423,0.14626632860916994,0.1608516288653737,0.14096446756260103,0.19925252211951908,0.16045963255224063,0.17693055828024115,0.17295854919316103,0.1581604532990805,0.20810613709194403,0.13637756488464145,0.1273096136551202,0.1648174271343478,0.15181481056825516,0.174872891944288,0.12255264106146035,0.17749825708045233,0.0,0.14563339828967806,0.1584504693355984,0.133325605169353,0.16310576299965826,0.18623680919784993,0.18355714192619418,0.15101376084221718,0.19342307794377578,0.18654981532266754,0.16175463715847915,0.1484953761603737,0.13645601761531978,0.14043057796575587,0.16493565755064282,0.16856072752623916,0.15205054182511482,0.19234929705157092,0.15375634088765713,0.17883515513369538,0.17242968020310093,0.11201700890997443,0.17308821310518466,0.28225263073622414,0.1928573626995883,0.19821430459347522,0.1716417031316791,0.16890760405042748,0.1416030897904729,0.0,0.3969932226538409,0.1775847522230008,0.16111917019184832,0.16549195944281014,0.16343494938839012,0.17694595704539456,0.11137171455110016,0.1554915198370488,0.18123668118249528,0.21990040488440774,0.1466880193295033,0.11918599576756682,0.157208242839758,0.1687215372428062,0.15882554562123727,0.2697230268275001,0.15961149580838152,0.17027010473121598,0.17354514725466888,0.1743909885305989,0.16004688783654317,0.10841339364015178,0.23205357666288393,0.21723267373401714,0.20436902381095318,0.17967116655118393,0.1578052268154466,0.22140378486935183,0.18534200009698953,0.2555298448259265,0.15093151758128906,0.1844505550988637,0.15996250374477541,0.16041826382253943,0.6541195577648564,0.19955550393641164,0.18534200009698953,0.3098284811555118,0.1762791470662868,0.15967912314270705,0.18330799139814372,0.1541302473396507,0.19247860167190634,0.17575185556173348,0.17972788801804868,0.16139865839285691,0.2131658342829319,0.1621575682985165,0.13932836621513703,0.14626632860916994,0.1624236006181283,0.23090055781990343,0.16461605911484936,0.16724354036412806,0.1938742035389237,0.18734673241124353,0.17714665941820507,0.16866958854699066,0.18355714192619418,0.0,0.16942103766350045,0.12656817054763786,0.1779262649756092,0.1454816473770789,0.16709707572448557,0.2187364377851267,0.15868315561487892,0.1630155212971736,0.18400101479742648,0.17084422709348032,0.1373932072021241,0.16801108799422174,0.1576591787101782,0.16382425556510716,0.17956049627813736,0.1097510729824769,0.19243822334119173,0.19967226191481707,0.10718498142865429,0.19980311047547747,0.17426527534973132,0.2118277624130152,0.15658156751944252,0.1780296130808312,0.15359863416085984,0.17899732064947624,0.17553294861004096,0.12821139481980257,0.15516183559410673,0.10090324717364844,0.18072851090029876,0.18221762148927784,0.16646505739870496,0.23277340905527935,0.10818340544316427,0.1599625037447755,0.12187252441697721,0.10669100298993058,0.09083160247874801,0.1599625037447754,0.14249841416828968,0.12465619618981945,0.10905960154519079,0.17946901157869666,0.17634051838101739,0.17084863573516948,0.1780296130808312,0.23342169375766683,0.17989789278854182,0.18521570813718163,0.19287885157734014
Agricultural and forestry machinery,0.011412811492639027,0.07451912556538162,0.06950760897126634,0.009820749822144393,0.04642592004790654,0.010427271670308554,0.04514553090947719,0.04173508912819139,0.04158365485139033,0.04608622448728672,0.0131495650340714,0.009621333552606165,0.015789450026733928,0.013127957112791667,0.00668982642165491,0.06002592210524226,0.08374468270396969,0.013034851091184917,0.2149360991730777,0.017358135651867647,0.06300276024799846,0.38629226325147753,0.016974321624775236,0.03722680514905691,0.010725552282176072,0.050699153589994946,0.013836619724777444,0.014250019884569675,0.04967790492849858,0.00987143594704455,0.03833711333961384,0.027649058925352108,0.01732438078531807,0.050626601546609105,0.8127971854778591,0.0,0.11937385863752321,0.02126578795849735,0.011426412865546447,0.013127957112791664,0.011285159258185322,0.03862688424187735,0.017441721503299312,0.14681086034297544,0.04237209799789769,0.15094068594037688,0.025503406048915774,0.017223422938367143,0.03578021855853752,0.0441501671447665,0.03049398088944901,0.0293918017783809,0.017684767560260013,0.013337467361973656,0.013127957112791664,0.014422042955387552,0.02202126907097332,0.010400749391536254,0.009422911300492432,0.09358021177802778,0.014463819759427411,0.016824728410418932,0.046578670778765575,0.15103470086016846,0.05294405273065567,0.04066049279859444,0.03289554708153403,0.0,0.010631921678275258,0.01075985703401726,0.06354530258611071,0.011530033061210155,0.4608711941942694,0.015907381121684112,0.009621333552606165,0.05208267597476933,0.015371759481240711,0.027365887512744432,0.04456248724802548,0.019078740328689232,0.01531670166554744,0.07600580113010606,0.05232565571638405,0.011026075616811943,0.09030937764335537,0.051548859159837035,0.03540015410885106,0.02177150213995007,0.028911247676412205,0.03866037846170146,0.01572032783416038,0.07044752609287691,0.04879937850739437,0.06554364086318469,0.03619445950421693,0.0,0.06438169672741305,0.02031300121496735,0.11613630038119724,0.01676389544463027,0.06849624978595086,0.009820749822144393,0.016473263072815648,0.03451748645734262,0.054115632098942615,0.016264657310512222,0.03444848888996316,0.008979476864654062,0.03508324554777451,0.055851733959864126,0.0150622167742232,0.012776362965283044,0.3141925580897698,0.022569806328887543,0.15174897232156154,0.017919386642365955,0.0106985648178927,0.017946309586567885,0.035852100962113984,0.08138996599810738,0.03446461347041382,0.11211733034463264,0.07490676802133858,0.01042161582572707,0.0,0.4293919343594054,0.06252069587004193,0.012715061726098617,0.01097521889302509,0.012279380762169407,0.013965310660676505,0.056799148659604684,0.028127374407997008,0.05993870926905031,0.2253130039900768,0.05114271483013999,0.013548184626678896,0.24408747468955294,0.4070067121662229,0.01628359773978795,0.15975024341103064,0.17475425672652906,0.01867369506984298,0.02373336188184703,0.1358716931621092,0.18447916213269375,0.009820749822144393,0.034986898337829704,0.20362586628016077,0.046619749067068755,0.1824210287210442,0.037267918791852137,0.023946756072866702,0.013787395413555727,0.13239494229529514,0.02864648855116136,0.014176757455407965,0.01741150384653209,0.01613204223702729,0.5830398954665983,0.018293736086182566,0.017191575910796335,0.04494800513577258,0.07970584958439855,0.03554200915250648,0.027313917653077592,0.03931215246157616,0.08807121490925979,0.01727868412362394,0.04314644113153896,0.009335197440394136,0.01744172150329931,0.039379340175587633,0.0481653607466824,0.019078740328689232,0.03344628119822878,0.03125185563219723,0.016124686476792986,0.01575443351919545,0.28083503660553605,0.02960107124723306,0.27871337373981514,0.0709714520012008,0.02392452085960827,0.0,0.02445239889808344,0.06960704728132334,0.2259724247515094,0.05709529266658478,0.010842146070534419,0.06761021581953346,0.00975189202751991,0.05282491954826759,0.03295773955643223,0.012609827630666525,0.031393256052762136,0.015386270442610858,0.017483746223645964,0.010716997821060201,0.07278112177811977,0.009953439921217468,0.10768844257397313,0.07468621254883519,0.009903357022403084,0.027839486141983158,0.05579357722755087,0.12769181665092577,0.028887130840972722,0.013034851091184919,0.019013625426530595,0.035162247871921265,0.025663259858735722,0.05451657023679687,0.18199470355576852,0.09526689615229522,0.41541960806254075,0.02390786779350264,0.25394777150195424,0.3194553999102237,0.011818719726671601,0.01553131493083455,0.05386545662872222,0.009820749822144393,0.022937691358083042,0.0,0.010985571511297485,0.02919638255450677,0.013263198561989854,0.048227862238344466,0.01677946866038201,0.024569945961074535,0.05864351657404052,0.07749051336792838,0.08139463046170915,0.17698628169845337,0.08947717248664788
Aircraft and spacecraft,0.008774804982569636,0.0297693008501492,0.008706505751095923,0.010168822337991134,0.007139146527441842,0.012848614842249305,0.01134097962572059,0.008049162248781407,0.00751800939563029,0.021367060536971145,0.01046412422244892,0.0059242868125392156,0.009969702283260416,0.00748123017875086,0.019754276605147208,0.019916850514435855,0.008826190398846818,0.021879639005239294,0.013969232523961962,0.015029493189433661,0.009111659520237111,0.02317594854096388,0.009332309465989166,0.013840725010083049,0.01435145522196519,0.008376080124526977,0.006230193127831042,0.010158145410832152,0.007483537017932192,0.008176975806262983,0.008411233927204586,0.008573105649519231,0.011633270349927128,0.013537170208164077,0.008246001398379022,0.0,0.00895898347335963,0.011802474209825303,0.009567063663001765,0.011722378778607358,0.01819740184563241,0.008513109229341759,0.008398870035825654,0.007453044907812132,0.008542823618469024,0.014202203793385425,0.008112392632785976,0.009865618701742488,0.008244811716424648,0.013035855573777662,0.008943161530291914,0.019562004399842674,0.006866389655704458,0.013731687331733784,0.00748123017875086,0.008795620528579446,0.009274267326666074,0.005912182201957674,0.010991211976318022,0.008478888054243433,0.021160499315823197,0.0106663228721772,0.017202080545835507,0.01390810785300531,0.008420678217011904,0.011211836924249097,0.01437778058950159,0.0,0.005348650284891587,0.011093653371556442,0.014043676775825884,0.007922107666224526,0.007310090874063603,0.021223093493672227,0.006230193127831043,0.00827813962764853,0.010983569805219261,0.010650150983925584,0.014480079889487516,0.010639951648126188,0.021316223830191102,0.00892229038549255,0.011661999973144899,0.010408435253312349,0.008736339055984269,0.021303568148830568,0.007762627875695626,0.011306585890159282,0.007303804243177789,0.009565771963239596,0.009700628836157037,0.007704698957812772,0.010642350379581701,0.009039229848468248,0.01295342008737118,0.0,0.009616845541122942,0.0077124017125698675,0.007853223365194839,0.022261172964148607,0.010806813881254566,0.021711409525137063,0.007279333539347979,0.01110697013169309,0.008048435547686483,0.009982742900955797,0.011259424684073127,0.004476447960095207,0.0077435369492157135,0.00827813962764853,0.00933092504977904,0.008789532585828163,0.008706792037417014,0.007844392166956302,0.0083140781564119,0.009705185097440207,0.008294885575406521,0.007863843463430902,0.009470004726775661,0.009306624954604928,0.01175366919901621,0.016398018323215604,0.011654513478593207,0.009486515747504512,0.0,0.012053310589730385,0.010011459163372425,0.009307536267922138,0.04901258534062356,0.00952110311855868,0.008971424145011068,0.00796202846617501,0.010077925398983084,0.006690456517191743,0.011863204131405234,0.021461384351808,0.016846016086282323,0.009956681126534528,0.01142988527885436,0.011912365010130647,0.006751751980930089,0.010590665688282064,0.007715756946470722,0.0,0.007705305612942175,0.006895568577325573,0.01937934211529294,0.017523603365013452,0.007937514667487704,0.017076112606345846,0.023859525706534143,0.00710747855855179,0.006365114089885958,0.0,0.009917879990386885,0.008041512141415864,0.007463473127838526,0.010648106635131742,0.009126700924328556,0.009441839017709341,0.007481230178750861,0.013783616167624616,0.01861509766719644,0.010548736936541198,0.007831616559663206,0.006230193127831042,0.008643175101660587,0.012480893920780924,0.007558830973349333,0.015530982512695534,0.010622868576994954,0.007466117078728497,0.007762627875695626,0.008309865343477671,0.010639951648126188,0.007484442916067499,0.012027042027751877,0.00880887993230854,0.007466117078728497,0.008599574539584681,0.009883041157527741,0.012825907087331766,0.007830034725431492,0.021711409525137063,0.0,0.009795579657809673,0.00792737296040234,0.014164968934511838,0.009527382699712565,0.021614471112595193,0.008442015133325152,0.009000589032702587,0.008375190184516074,0.01072075712438408,0.018254935736017178,0.059575483606555846,0.008548155300005869,0.014026816714987142,0.012549203092044213,0.011649308146013289,0.007673369876886355,0.1763673861459554,0.009893477507523092,0.013801055487647236,0.008475594195117779,0.009293633212415412,0.011460055120533557,0.008289792733401928,0.008002814080471248,0.007941094029274717,0.026188226535336787,0.009819410559875428,0.008176918118863275,0.0069220747567175145,0.00904692039216193,0.00933092504977904,0.008594787340771194,0.010465528527565356,0.008819033052849236,0.0025320597102552115,0.01037079954870188,0.0075891006742320475,0.007463473127838526,0.01069735606944487,0.0213162238301911,0.008272602037582547,0.008065197662000364,0.01816754082123235,0.008813723903633396,0.008365115356816598,0.008762692563701605,0.01773108204481476,0.01112499660208067,0.011064806026708514,0.009834331311598965,0.011387963238580235
Animal feed ingredients and pet foods,0.0,1.0000000000000016,1.000000000000002,0.0,1.0000000000000018,0.0,1.0000000000000013,1.0000000000000018,1.0000000000000013,0.0,0.0,0.0,1.000000000000001,1.0000000000000013,1.0000000000000007,1.000000000000001,1.0000000000000002,1.0000000000000007,1.0000000000000013,0.0,1.000000000000001,1.000000000000002,1.0000000000000013,1.000000000000002,1.0000000000000016,1.0000000000000007,0.0,1.0000000000000013,1.0000000000000009,0.0,1.0000000000000013,1.0000000000000016,1.0000000000000016,1.0000000000000013,1.0,0.0,1.0000000000000016,0.0,1.0000000000000009,0.0,1.0000000000000016,1.0000000000000018,1.0000000000000024,1.0000000000000007,1.0000000000000009,1.000000000000001,1.000000000000002,1.0000000000000013,1.0000000000000022,1.000000000000001,1.000000000000001,1.0000000000000018,1.000000000000002,0.0,0.0,0.0,1.000000000000001,1.0000000000000002,1.0000000000000007,1.0000000000000016,1.000000000000001,1.0000000000000007,1.0000000000000009,1.0000000000000013,1.0000000000000004,1.0000000000000016,1.0000000000000013,0.0,1.0000000000000018,1.0000000000000007,0.9999999999999998,1.000000000000001,1.0000000000000013,0.0,1.0000000000000016,0.0,1.0000000000000009,1.000000000000002,1.0000000000000013,0.0,1.0000000000000007,1.000000000000001,1.000000000000001,0.0,1.0000000000000013,1.000000000000001,1.000000000000001,1.0000000000000013,1.0000000000000009,1.000000000000001,0.0,1.0000000000000013,0.0,1.0000000000000007,1.0000000000000018,0.0,1.0000000000000009,1.0000000000000013,1.000000000000001,1.0000000000000013,1.000000000000002,0.0,1.0000000000000016,1.000000000000002,1.0000000000000013,1.0000000000000007,1.0000000000000016,1.000000000000001,1.0000000000000007,1.0000000000000016,1.0000000000000007,1.0000000000000004,1.0000000000000016,1.0000000000000007,1.0000000000000013,0.0,1.0000000000000007,1.0000000000000013,1.0000000000000018,1.0000000000000013,1.0000000000000013,1.0000000000000002,1.0000000000000009,1.0000000000000016,0.0,1.0000000000000016,1.0000000000000018,1.0000000000000013,1.0000000000000007,1.000000000000001,1.0000000000000013,1.000000000000001,1.0000000000000009,1.0000000000000013,1.0000000000000016,1.000000000000001,0.0,1.0000000000000018,1.0000000000000004,1.000000000000001,1.0000000000000013,1.0000000000000013,1.0000000000000016,0.0,1.0000000000000022,1.0000000000000013,0.0,1.0000000000000018,1.0000000000000016,1.0000000000000016,1.0000000000000013,1.000000000000001,1.0000000000000007,0.0,1.0000000000000009,1.0000000000000013,1.000000000000001,1.0000000000000002,1.0000000000000009,1.0,0.0,1.000000000000001,1.0000000000000009,1.0000000000000016,1.0000000000000009,0.0,1.0000000000000013,1.0000000000000016,0.0,1.000000000000001,1.0000000000000013,1.0000000000000016,1.0000000000000013,1.000000000000001,1.0000000000000013,1.0000000000000018,1.000000000000001,1.0000000000000009,1.0000000000000004,1.0000000000000013,1.000000000000001,1.0000000000000004,1.0000000000000018,1.0000000000000007,0.0,0.0,0.0,1.000000000000001,1.0000000000000016,0.0,1.0000000000000018,0.0,1.000000000000001,1.000000000000001,1.0000000000000016,1.0000000000000016,1.0000000000000013,1.000000000000001,1.0000000000000004,1.0000000000000018,0.0,1.0000000000000018,1.0000000000000009,0.0,1.0000000000000009,1.0000000000000009,1.0000000000000013,1.0000000000000007,0.0,1.0000000000000007,1.000000000000002,1.0000000000000013,1.0000000000000007,1.0000000000000009,1.0000000000000009,0.0,1.0000000000000016,1.000000000000001,1.000000000000001,1.0000000000000009,0.0,1.0000000000000009,1.000000000000002,1.0000000000000013,0.0,1.0000000000000007,1.0000000000000013,0.0,1.0000000000000022,1.000000000000002,0.0,1.0000000000000013,1.0000000000000007,1.0000000000000022,1.0000000000000018,1.0000000000000013
Articles of concrete cement and plaster,0.006660396523312039,0.0597903474077747,0.03857880552560961,0.005205015074232232,0.008865819330845588,0.0001437780285903614,0.11724589232229041,0.013474752264858916,0.00047521275181171616,0.02237646274095818,0.0013283711062778221,0.00020175697097785336,0.008191243138128326,0.0010554874957929745,5.810250952495863e-05,0.000792675126559863,0.022789061337519418,0.0002494136384264077,0.029865678131315833,0.000667143851402753,0.048855141791107705,0.06596389066263064,7.60071732866363e-05,0.08007349091404359,0.0055309978531020015,0.00019582565100645578,7.918124480843948e-05,0.0068234072962183295,0.024328435230566527,0.005593935416893008,0.013940357597098508,0.018156954739085244,0.005590173709324025,0.025260469098020575,0.9998735108202659,0.0039145741624361735,0.033777414820514405,0.010359412520066133,0.0013283711062778221,0.0010554874957929745,0.000640134718026383,0.011776668130716636,0.02319020168758516,0.0050680699749985625,0.015760382017040768,0.10431414087352538,0.0415384308235382,0.016047378595708615,0.00042426276922309485,0.028741828968941324,0.0015231097348184267,0.0032929414199946976,0.0035132884162675376,0.002664809350246696,0.011284763003107243,0.013703371184107272,0.0005695231182215066,0.00018316309718404672,0.0001223288288193426,0.036892807093986235,0.006948349222527877,0.00020175697097785336,0.0039145741624361735,0.0023479269070490936,0.0010838859567822339,0.02040447320688585,0.01740078232549088,0.0,0.0001377596500807536,0.00024091244282909512,0.03758806413757134,6.126258009155596e-05,0.028969171685947013,0.0209989172371692,7.675057218324947e-05,0.039407930517453824,0.0003560999837383977,0.019464544580082926,0.02131813655073043,0.023678945306898815,0.0209989172371692,0.00011935751350274165,0.04550170453211183,0.003288707492018187,0.02068251483849291,0.029833367910543057,0.000615452342164065,0.017684140533891658,0.000509835956801057,0.012244767607166519,0.00021000418622398354,0.003156132401103051,0.020423141079014075,0.010936983979597357,0.022453818334596566,0.0,0.004282837193235744,6.848249812264884e-05,0.007998171732818974,5.104254294126108e-05,0.023040635909659372,0.0,0.0018963522308982539,0.022598908054358078,0.012984478653849002,0.0017485448088929974,0.02308364341913051,0.00016196811336418316,0.014004526190567091,0.06380987779818893,0.019515392514678168,0.0003854071156284291,0.045993766248233654,0.000360373118212569,0.022292340689247455,0.026426448572217952,0.0055675928465263045,0.020101654126324295,0.07639423576220553,0.021456753687100847,0.030872823924808623,0.02009028456714287,0.008288638782636021,0.008268888685639133,0.0,0.09983492083185454,0.037000029008318155,0.0003889225658209113,8.023964371820831e-05,0.0005785341965450117,0.022867760408205692,0.00038897436180219974,0.0007162980261197118,0.022772842485305346,0.08226079539888313,0.00011217722720116417,0.01620244649248999,0.0004890522069772216,0.004844325924277793,0.0004998672286827502,0.024957416355149142,0.0014332730941701184,0.020444938722733882,0.020407952150508193,0.01570736486447817,0.01632570505373461,0.0048630414142265075,0.3874643085131293,0.03628326906281972,0.022377146485921685,0.03848987115265656,0.00546669436667494,0.06572239707736598,0.014643812006976044,0.29591193881034217,0.0034389894893525723,0.015518065001547928,0.0003674071497860337,0.0003145695491977244,0.7052468058990516,0.0037447103128186343,0.015518065001547928,0.12394664065411917,0.030527955498766423,0.008355136521974603,0.015518065001547928,0.010129340447942422,0.022720082037887813,0.0216396109756057,0.021246740176969207,9.38691088459785e-05,0.02313951295280532,9.766495952476553e-05,0.021732682019176042,0.023678945306898815,0.011007394739659683,0.0036121992592643873,5.476046235105202e-05,0.009427888877370243,0.06089319286682348,0.06237836651337775,0.05643089159094736,0.0003192503473120724,0.00809935399222236,0.0,0.023017375145240503,0.020784086032486312,0.04710266048640502,0.004818134854168397,0.00011100503036535556,0.07752730186838337,0.0001769849642548255,0.0005813798206974221,0.04729935919715773,0.0041406879412779546,0.012278097951096679,0.000116347947416472,0.0004798428927751621,9.261873291675737e-05,0.033368903246341966,0.004240009190299175,0.25741203591920714,0.022165938014649236,0.00443517171580698,0.01384220450374124,0.03500102404235113,0.020888959407777356,0.0037828257416383025,0.01938797329182838,0.0011248566681819397,0.021585193707773412,0.018862556612223653,0.018596153414914954,0.001617301353851745,5.497063049962843e-05,0.02896509648278668,0.021439659033516512,0.002384953497295018,0.053486296548234766,0.00025353238071804514,0.0,0.011561665318724386,0.005195965048311701,8.124184613042426e-05,0.0,0.006002861905300884,0.01519406394573327,0.005274738306835787,0.025899575732744828,0.018101006678380382,0.004899782318274516,0.01938797329182838,0.06433044596661201,0.03385053295709852,0.1369494371615097,0.03283369493136218
Automobile bodies trailers & semi-trailers,0.0033725234856723926,0.015951921918667154,0.02303788672260167,0.002931169194051375,0.008674082294187497,0.002476776598979552,0.04015403183605297,0.008699878113203467,0.00837495261249237,0.006159428217291871,0.0046365774223823715,0.007800091403387248,0.0026993657251406828,0.00417492492586723,0.007074896330199561,0.011746073067081138,0.0460503961720315,0.004397879576399274,0.0349145293033465,0.005887223865812651,0.011951223781564786,0.36453533221690276,0.008084994743719187,0.013453290234310708,0.0016874121613782583,0.008996636018307785,0.0033824577373070402,0.010894281370253039,0.006317231008412413,0.00488874690642098,0.008269870884039987,0.0008132092608230629,0.019221130800677815,0.022549595327157033,0.9348714284351074,0.0,0.0479656249759269,0.013515795217760765,0.0020455864666439672,0.004174924925867232,0.009070557292208877,0.012362785651535152,0.02270161698094393,0.01995026628173295,0.017541105633495476,0.031804255883906035,0.01759542539159771,0.018504920235515393,0.0023743103946722035,0.01255240393904221,0.002811633519344553,0.014400745467257933,0.0091661887941711,0.02115325189900748,0.00441956888981482,0.0068758516016552505,0.015221678521758394,0.010340177133801488,0.007301903093968934,0.024536169852466684,0.004547860093351906,0.007669597303848306,0.004977388464031143,0.009069970961914094,0.0026940453114880202,0.017297635089684026,0.031902257834903774,0.022701616980943938,0.002340727664805351,0.006997038753635483,0.032217159545413404,0.0028055506061760234,0.02008241616754245,0.030982313466156215,0.0034622603613140555,0.0032893008639773183,0.007605223749542894,0.0036262087008913837,0.018788818969270826,0.015922855368361594,0.030982313466156215,0.009079333307592925,0.027092115501550218,0.009011815806068184,0.015218626457782259,0.033956505301482025,0.04350523873087719,0.006288610862001228,0.005552092232246398,0.013371175797807526,0.008417946793430236,0.018790302743082885,0.017911610218694356,0.010680129165662501,0.029559552141240075,0.0,0.007219068382955743,0.00773392983137069,0.00973195966720167,0.009777704166951373,0.04527998501247725,0.001580506694197067,0.03412398226762383,0.01872051047737758,0.019408247109673864,0.009283118686583061,0.022449868866062185,0.002444364350304741,0.008282809564781933,0.009880078678629431,0.017923531179993884,0.016524846351632996,0.05281671159593295,0.014012473548768351,0.020193260327047314,0.0211637716550401,0.0026329956788015245,0.014721300079273646,0.028176363604224184,0.020476726127474795,0.01128809957647799,0.025071985148819514,0.015662817008594516,0.00897077018378109,0.0,0.2061350747404056,0.04928790287082701,0.00672458831664879,0.006357993827660121,0.007886264545646787,0.012205131102123925,0.004222972326555394,0.01346141088592236,0.020666451153214704,0.14174431242014132,0.0064441143618675385,0.014725905539065361,0.0076731252043353545,0.013521538833520261,0.01836110871372137,0.03733769379612731,0.009520757178305242,0.022369121074941687,0.017250397932398263,0.035227346568943906,0.03361410223087562,0.001580506694197067,0.030273588373370398,0.036647233676322874,0.018779959435660076,0.046151714713616704,0.004724485857377489,0.013401075295768996,0.0046867104726403775,0.08639782973539649,0.007929020390965496,0.01850917798431978,0.006172141110302709,0.006378683361530251,0.8569483305871803,0.013837430797899675,0.018504920235515393,0.03389627659415147,0.051122761310408195,0.017625219797156644,0.0,0.015741077438191968,0.029548251160498376,0.013090558628097774,0.016256639517181787,0.007270210784779483,0.018203807551340056,0.002563492288153202,0.0038349906095343543,0.0159228553683616,0.008747249313125394,0.018539849496874136,0.008345732865023757,0.01791677113299168,0.03549341743045952,0.01568163168173502,0.021901215296672688,0.09667397785228665,0.015977545867871017,0.0,0.039447045667868344,0.4409842119810848,0.02774291722675913,0.007212215639832763,0.00984768390077368,0.02520668128172365,0.0026207955319908645,0.00960533364428899,0.03961672029193099,0.004416281042514012,0.007148414407906993,0.04556597134758817,0.007927073164546631,0.008918533968320938,0.048807084207592055,0.002805093139618184,0.046799483612993895,0.017404740294818324,0.002552981939554192,0.01243670025156138,0.010644818812244142,0.01348827280327249,0.013645182932581237,0.010750405526057766,0.010507456339506166,0.00680726948387086,0.042407030328643174,0.006468913198901612,0.029325592186351,0.010739326609229648,0.007989689093369867,0.018407249449517077,0.03004229768785026,0.04390910873494453,0.0086803392061612,0.0,0.02232204678685086,0.001580506694197067,0.0034356778519825425,0.0,0.006186436784807617,0.00870328397713924,0.0187309812148942,0.030057446335753916,0.016120235179278696,0.008448951881762033,0.010750405526057766,0.021554684555746658,0.04938571039274797,0.043861774894354354,0.044710503156289876
