,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.9564315412147466e-06,1.8392093958126635e-06,1.8636167668995463e-06,2.0477926721960223e-06,1.6885403599599433e-06,1.7409669165288338e-06,1.874533686464371e-06,1.586572353931679e-06,1.543227753963712e-06,1.9044540529270432e-06,1.870830369751197e-06,1.8166727053823023e-06,5.572335063079321e-06,1.916157063548075e-06,1.821569732056589e-06,1.6738167490476838e-06,1.8783656875639848e-06,1.808789660654678e-06,1.8804915432062427e-06,1.879626158579875e-06,1.8711857972472146e-06,1.8938475875247588e-06,1.3934368537717102e-06,1.8377358005997466e-06,1.9680748053793524e-06,1.7748352035796522e-06,1.8340055223423737e-06,1.785010360407733e-06,1.9315142826306143e-06,2.0215923802055035e-06,1.6526771586424425e-06,7.582759726760997e-07,1.140966586368111e-05,1.9049492721903617e-06,1.8941425093591544e-06,0.0,1.847789523592275e-06,1.8696437197584724e-06,1.9625580122278144e-06,1.916157063548075e-06,1.861454733367386e-06,1.7856845219401523e-06,1.8944491800554041e-06,1.8345104244739517e-06,1.8809052845882544e-06,1.893239496413345e-06,1.8591976586873438e-06,1.8624512828136125e-06,1.0878294808932363e-06,1.8192042605569586e-06,1.741229070679861e-06,1.9037680191598447e-06,1.713009397496531e-06,1.7388508933974192e-06,1.916098794039533e-06,2.0177684774948268e-06,1.6504069258000363e-06,1.8424943975646915e-06,1.8194417945681752e-06,1.893679417437243e-06,1.9409460914707503e-06,1.8400665753136122e-06,1.9182378626630655e-06,1.7651652996169304e-06,5.111504755948044e-07,1.7125294452515606e-06,1.8713990925995986e-06,1.8194417945681752e-06,1.7257624934745018e-06,2.267290207497054e-06,1.888272565866114e-06,1.8455586647671263e-06,1.9024198555285688e-06,1.8726523059390175e-06,1.8357679280915151e-06,1.7721701835020763e-06,1.8411804302695189e-06,1.9005529625469661e-06,1.8193423547185533e-06,1.6463895017875053e-06,1.8726523059390175e-06,1.5464006975287887e-06,1.8645787526080914e-06,1.8086404087218374e-06,1.8462686322978273e-06,1.8607203047276288e-06,1.71884518876434e-06,1.8358301435046862e-06,1.4273566827752101e-06,2.729563464794808e-06,1.8428161977125848e-06,1.904902507020729e-06,1.8960795268983428e-06,0.00048667739081488076,1.897114628161651e-06,0.0,1.9022948802727669e-06,1.7831831409965774e-06,1.939929548711484e-06,1.7684709043965196e-06,1.8961935011547298e-06,1.894786560065966e-06,1.9019314987156027e-06,1.9065472376934434e-06,1.8500035238621826e-06,1.7367748546861461e-06,1.8776209179228326e-06,1.7914433111147188e-06,1.509064961467356e-06,2.1943714570871332e-06,1.771457308436565e-06,1.9087740340557783e-06,1.6734394809001423e-06,1.896027897227208e-06,1.6923884548548226e-06,1.8924180665959664e-06,1.9053085013503532e-06,2.0221383516597675e-06,1.8943023368026067e-06,1.839721150300934e-06,1.8901546821734138e-06,1.814639847407252e-06,1.8679134243985378e-06,1.803121117882798e-06,3.234388196505078e-06,0.0,1.8912180672266033e-06,1.8398561467211777e-06,1.810047347908661e-06,1.8361420074327846e-06,1.853198080740091e-06,1.9055107660954863e-06,1.222308687763136e-06,1.7356492752104662e-06,1.8725895750176156e-06,1.8899061132836556e-06,1.9359806312675154e-06,1.951900263953789e-06,1.8337745918294525e-06,1.7715878028849833e-06,1.774448048341613e-06,1.8942971044100007e-06,1.7705192920522907e-06,1.885950603695738e-06,1.894593724364148e-06,1.8763471440678523e-06,1.7597294355946152e-06,2.027620683515702e-06,1.8416626891945846e-06,1.8757938179642217e-06,1.910542005413813e-06,1.8319187201159035e-06,1.751722031849553e-06,1.8733844751437854e-06,1.9066119000522565e-06,1.8658647812037174e-06,1.8995746624308564e-06,1.9072044848268343e-06,1.8899022638274857e-06,1.8893557607957825e-06,1.8943795826917516e-06,1.8979287289029124e-06,1.9066119000522565e-06,1.8694702999906529e-06,1.8892620849106722e-06,1.8634410077473158e-06,1.8864629777588025e-06,1.720669921961058e-06,1.8972361832518592e-06,1.9072571151378156e-06,1.8979211583756093e-06,1.796733063460495e-06,1.8755832416787588e-06,1.7626394601934586e-06,1.4171346909176315e-06,1.6463895017875064e-06,1.844483870898153e-06,1.8401327849137729e-06,1.8126915393322448e-06,1.839532792573509e-06,1.8891695077437388e-06,1.8072797112842817e-06,1.7877177556191933e-06,1.8071307450062791e-06,1.9019314987156027e-06,0.0,1.8557216176770716e-06,1.995594387472822e-06,1.8592437158697133e-06,1.8353373109249835e-06,1.835671911353447e-06,1.8701919940312975e-06,1.8681217108839176e-06,1.7791530974058716e-06,1.8936059867656457e-06,1.798241373928809e-06,1.8943013525516391e-06,2.037504810113467e-06,1.8356774051178548e-06,1.8475054846858793e-06,2.0238609158211815e-06,1.8512085451329265e-06,1.5772316068542694e-06,2.0314137997546224e-06,1.9459873326137413e-06,1.871762324570945e-06,1.8945468105080154e-06,1.7316843190187845e-06,1.9070224439575016e-06,1.2936181600097131e-06,1.8959185270141335e-06,1.8960464888256517e-06,5.291479708571158e-05,1.7152547008177507e-06,1.133972835962371e-06,1.8948382149723404e-06,1.8910848995573254e-06,1.6208932320730594e-06,1.8898401340837373e-06,1.19906735715627e-06,1.8899022638274868e-06,1.4378359398495461e-06,2.032710787777823e-06,9.929455451422293e-07,1.889902263827486e-06,4.702155538638188e-06,1.5145799818270112e-06,2.0364384825349286e-06,1.8955028787713581e-06,1.8974183311890227e-06,1.8599422302871015e-06,1.9070224439575016e-06,1.8835241545366729e-06,1.8350223638234777e-06,1.8667051821529748e-06,1.850444232677678e-06
Agricultural and forestry machinery,2.3227128620273178e-07,1.2355359385050862e-06,8.023111090036755e-07,1.4045281487158352e-07,5.55576259073494e-07,1.3834021211551478e-06,7.710646186812602e-07,4.881887902487219e-07,1.1458998064526883e-06,8.327884413987626e-07,3.5275321101597444e-07,4.609948104128273e-06,2.481594581740449e-07,3.5264592934445265e-07,4.96508127556494e-07,1.1649565300212041e-06,6.323205700937152e-07,9.204723940126528e-07,8.146515550990913e-07,5.628297349262825e-07,7.175470476558181e-07,6.671804377932429e-07,8.638118144822923e-07,5.565087895409342e-07,2.4743400990549174e-07,7.355141483011896e-07,3.4883374334870718e-06,2.620840974147954e-06,2.553522621015234e-07,1.450442680237854e-07,4.70595686646394e-07,4.002521750461067e-07,2.6876508915372845e-07,7.206641114774038e-07,7.291463078279732e-07,0.0,7.047513179076061e-07,3.233102558277908e-06,3.674900615716258e-07,3.5264592934445265e-07,8.813048481746484e-07,5.993462670493856e-07,6.602372791530985e-07,9.624676571948368e-07,1.201862752008355e-06,6.452258152142387e-07,1.1290532035948885e-06,8.087159832323165e-07,3.88181751328253e-07,8.212881092877016e-07,6.211723163352072e-07,4.0491334181522055e-07,5.461036256726654e-07,3.7717896114215334e-07,3.5264592934445265e-07,2.842661134276616e-07,5.641541585734523e-07,5.705447967849829e-07,4.863823045415815e-07,5.722916802071352e-07,3.5364198652964005e-07,7.418620524744691e-07,4.117756454291267e-07,1.0107266086827114e-06,5.279633650044474e-07,8.033930747636387e-07,4.708917699091954e-07,0.0,6.000379533690639e-07,6.588318378573127e-07,6.993608192593942e-07,4.6014895442115803e-07,6.526807612421328e-07,9.762096092225398e-07,4.609948104128273e-06,5.987188742357663e-07,7.03998760896884e-07,4.805107182783133e-07,8.865213247311716e-07,5.141845203258096e-07,1.0432868378880747e-06,7.997581371052042e-07,5.468831387090148e-07,6.373547199370666e-07,9.642821938017719e-07,6.593827400864957e-07,6.61646576614978e-07,6.402962071420033e-07,5.39713541574408e-07,3.755016122327328e-07,7.037570954215889e-07,4.155935106878246e-07,7.085143645646562e-07,4.6157731141327804e-07,6.592379087442147e-07,0.0,3.9492894573401783e-07,6.904511787489261e-07,4.1163315805974595e-07,7.867247759434905e-07,6.784414063635624e-07,6.943902042079144e-07,1.4045281487158352e-07,9.343454020915406e-07,6.872318220013696e-07,7.835580031961715e-07,1.0007962136756519e-06,4.971585361718796e-07,2.5584876198285506e-07,3.247442297079084e-07,8.011945161463668e-07,1.0005346229000155e-06,9.345980780494719e-07,7.479438597454963e-07,1.0975610631447158e-06,7.50530940302836e-07,8.532601414547224e-07,2.0337165677523028e-07,8.64139611875359e-07,5.609697679604676e-07,7.805419736894045e-07,6.585775572650322e-07,1.056728825853292e-06,7.323886644556505e-07,2.548887523274224e-07,0.0,7.432999940888573e-07,6.565020953407214e-07,9.010672382308186e-07,9.73076064339634e-07,9.027680220939707e-07,4.0973681498704077e-07,8.284973308377901e-07,9.114514470202485e-07,9.585114979368133e-07,6.857183681276036e-07,2.207264865837098e-07,3.906144685124872e-07,7.072220386449272e-07,9.771718984979146e-07,7.444619868493113e-07,7.229328658398595e-07,7.145486451424255e-07,7.913306077570428e-07,8.99838074944692e-07,7.532597173499912e-07,1.0947844349886136e-06,1.4045281487158352e-07,1.4673860066268336e-06,6.677217535034744e-07,6.559462806681435e-07,6.734063260197571e-07,1.8191695836605531e-06,2.880845334537952e-06,4.3017147772784313e-07,6.84868764394625e-07,5.275506933276922e-07,5.99234285922679e-07,5.617545419127256e-07,8.245555216899932e-07,6.735205411722263e-07,3.675676052484018e-07,8.303771672348568e-07,6.589936961638768e-07,1.041997330539123e-06,4.287335203039187e-07,4.140368148985996e-07,6.239904628400149e-07,7.001275770528169e-07,5.481231008910739e-07,5.447667673509702e-07,4.428641337782463e-07,6.602372791530988e-07,6.459230458508074e-07,4.112733712500163e-07,5.141845203258099e-07,1.5738408120262376e-06,5.911029176226866e-07,7.93317877153865e-07,1.0095574568147842e-06,6.242598302649818e-07,7.444372882844657e-07,9.759936494582224e-07,9.96170745966502e-07,5.296715182005184e-07,0.0,9.94661766350523e-07,7.767502504658262e-07,7.492728335048851e-07,3.824881288297187e-07,4.911932727549436e-07,6.925982714142766e-07,4.303097957461023e-06,9.040338485931771e-07,2.3287600573122014e-07,6.232680605674368e-07,8.654957326786556e-07,5.22508453729747e-07,7.031087138252213e-07,6.586437357164483e-07,1.7494907463427023e-07,8.942431007503502e-07,7.619939606643444e-07,2.7340731053534864e-07,2.60274821100287e-06,1.2643864113813667e-06,7.538429196717706e-07,1.279775542421889e-06,9.204723940126527e-07,1.5827279885133157e-06,6.179484353565027e-07,7.424520172584572e-07,3.4402546714979456e-07,8.139073699481811e-07,9.978879627797982e-07,6.801177854985315e-07,9.009145457496477e-07,6.889287984893845e-07,6.71390147920926e-07,6.321677811630605e-07,3.711809472758631e-07,4.5257596444677e-07,1.4045281487158352e-07,7.51285108873989e-07,0.0,2.160764848409503e-07,4.033265457581499e-07,3.852948229555472e-07,8.82896539965465e-07,7.333404038533705e-07,2.9746444041060295e-06,7.063224843899571e-07,7.489617340697985e-07,6.915847255059341e-07,7.502939650440423e-07,7.662429315533117e-07
Aircraft and spacecraft,1.1893561150142804e-05,1.2389351797106873e-05,1.0792758826163253e-05,1.1985915248511424e-05,0.00010175765157407723,1.0995028606413087e-05,1.2406005299021743e-05,1.4055548961396345e-05,8.606992731187694e-06,1.4938444806759718e-05,1.163796753212059e-05,7.998735834648998e-06,1.1105526336121955e-05,9.591627895768243e-06,1.3912226080722235e-05,1.472684286742365e-05,0.00010507874174990171,1.0952564999894187e-05,1.0562406324166555e-05,1.58370471535002e-05,1.2342647945901096e-05,1.0102910594988016e-05,1.6979526966905013e-05,1.215593412145404e-05,1.2605391614785553e-05,1.4188242536374157e-05,6.407778758466171e-06,1.3454780936311091e-05,1.0784159524461536e-05,1.105429463774991e-05,1.2411305518899208e-05,1.3001818645738517e-05,1.7897164330149906e-05,1.3085620862270828e-05,6.662923751302776e-06,0.0,9.267958650601567e-06,1.197591285277198e-05,1.1913491227576508e-05,1.1431748450583968e-05,1.4462347894633979e-05,1.2396446288688083e-05,1.0702940123651377e-05,7.581373779752884e-06,1.1182403698167704e-05,1.0684920782895502e-05,1.5158741585422856e-05,1.1015177307443408e-05,9.100758850784603e-06,1.3970149011983696e-05,8.603223576777848e-06,1.1601157804513051e-05,9.229806329064703e-06,1.4804866471660357e-05,9.591627895768247e-06,3.511468024949784e-05,1.1645244463993119e-05,8.061689474036164e-06,1.10859640833274e-05,1.1540026364435728e-05,1.5537743324432314e-05,1.2102858259697543e-05,1.088215398275882e-05,1.1819988049357288e-05,1.9077551666834868e-05,1.246071865389596e-05,1.3276211255356124e-05,0.0,5.843551791249287e-06,1.0899856992544151e-05,1.2939909725747976e-05,8.663444855446904e-06,7.2793581468703e-06,1.5542486139224895e-05,6.40777875846617e-06,1.0796879582893479e-05,1.1107951354451083e-05,1.1337170882725566e-05,8.957491690732907e-06,1.598882916907473e-05,1.559426034175744e-05,0.00011459935924397163,1.2165246421463556e-05,1.9897234663073742e-05,1.1063324365228547e-05,1.5590706715306882e-05,8.59900457227316e-06,1.2361213448389527e-05,1.1047906982940145e-05,1.1915016669184723e-05,1.1643295790998516e-05,9.415957785397431e-06,1.3526320013553853e-05,0.02264414254179593,1.1822529100675709e-05,0.0,1.527707903181652e-05,9.171795759363796e-06,1.0966310111405959e-05,1.1970239207727513e-05,1.0620579849178655e-05,1.211741569801346e-05,1.0496193720806722e-05,8.490719717856293e-06,1.1654519034699955e-05,1.1714314955727075e-05,1.1433898347888148e-05,2.2747722358593898e-05,0.00015789623734918402,1.0984818726648006e-05,1.0796879582893479e-05,1.3475396974196088e-05,1.1052757462076686e-05,1.5325664134650998e-05,1.028050420919517e-05,1.1380903772729631e-05,9.685327001662281e-06,1.1136407206675668e-05,1.1385978075581501e-05,1.3255275753695168e-05,1.1149649318836456e-05,1.1275707629080244e-05,1.6758885177359045e-05,1.3287639402965951e-05,1.1313978006480382e-05,0.0,1.1734151537014097e-05,1.2926413577193574e-05,1.2466245671395505e-05,1.1039116503708414e-05,1.3829232935473467e-05,2.6181638795057157e-05,6.412692204335481e-06,1.2864688769580113e-05,1.222291798570552e-05,1.0228225313231157e-05,1.1597665904776076e-05,1.400777509175571e-05,1.5382598485068564e-05,1.504447034878177e-05,1.1865177604802687e-05,7.862972249385298e-06,1.371071017180883e-05,1.1152343625278112e-05,0.0,6.0942535083789445e-05,7.052119651520116e-05,1.4987475321162701e-05,1.2216464661764594e-05,7.957239687741831e-06,1.5805458701497493e-05,1.243489681949168e-05,6.770243155050803e-06,6.855997190656442e-06,0.0,1.7608672762284417e-05,1.108602002419608e-05,1.0851773284000694e-05,1.600625161497898e-05,2.0735710005722425e-05,2.401861015594733e-05,9.59162789576824e-06,1.2944402095235543e-05,1.1628661372242772e-05,3.130724059514001e-05,8.10610424963577e-06,6.40777875846617e-06,0.0009686904041075991,1.0938025369829182e-05,1.095334718482157e-05,1.0915661542295437e-05,1.3946238931812064e-05,1.074387547846646e-05,8.59900457227316e-06,1.1496216011413375e-05,1.5988829169074733e-05,1.1112088892458655e-05,1.3169764951075599e-05,9.668792808573751e-06,1.0743875478466458e-05,1.961274521579365e-05,1.2456542378441392e-05,1.3706962372190853e-05,1.2019324843352932e-05,1.0496193720806722e-05,0.0,1.352664615579046e-05,1.0466971754893207e-05,1.1735874497737896e-05,1.2140796694362167e-05,1.0502645184386326e-05,2.0320232782241876e-05,1.0978829123488235e-05,1.1112989196053851e-05,1.2231104921305607e-05,1.0625357569865877e-05,1.2024101253653247e-05,2.133366091584387e-05,1.3978489844539521e-05,1.0085067649775737e-05,5.036799233878536e-05,1.0504395448101958e-05,1.1802311160044125e-05,1.2033932727105409e-05,1.6405149346222024e-05,9.45054444462542e-06,1.8933658052349807e-05,1.0878366560313143e-05,9.330380551395214e-06,1.4195043818546977e-05,1.0339007908069057e-05,1.0804451424436047e-05,0.00038236448465773327,7.1244449915059635e-06,1.914234557948835e-05,1.3475396974196092e-05,1.3112963263221445e-05,1.3253032077786543e-05,1.2344085015507511e-05,3.3463966558116787e-06,1.4956384507245102e-05,1.5273156459954002e-05,1.0851773284000694e-05,1.1118092466615657e-05,1.559426034175744e-05,1.1899286790995793e-05,1.0862035380047723e-05,9.580256388041589e-06,1.105467122003851e-05,9.831132502754247e-06,1.0329712295035665e-05,1.4273602749513001e-05,1.1947848535723152e-05,1.3666635755677902e-05,3.446761132814131e-05,1.2295428788368602e-05
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,1.800813897121654e-07,3.7522937187897426e-08,1.734459718465886e-08,7.67162250862939e-07,1.7132346611207588e-08,2.137564363945779e-09,5.184542782445642e-08,2.0744918610465445e-08,1.219798165409235e-09,1.553311865313194e-07,1.3283831638098026e-08,1.4805246785348463e-09,0.0032286104355166464,2.6808486025385804e-09,3.132895641914903e-10,3.3532092410761704e-09,7.549629088429497e-08,3.8775019933521894e-09,1.1093332092232404e-07,3.289146631081892e-09,3.696278853776368e-08,5.3389829151710555e-08,1.1326956224428833e-09,4.9789802068728354e-08,2.3364131420951082e-07,4.0551826980633304e-10,1.897775717766454e-07,2.7274016518115454e-08,5.428338576118063e-08,2.0101399172296144e-06,3.593294202155889e-08,5.7345870430187805e-08,0.0005687649164130364,5.041196934106296e-08,7.736114486151198e-08,1.4006454948657126e-07,5.290218119138137e-08,1.345046008726069e-07,1.3283831638098026e-08,2.6808486025385804e-09,2.646814343671052e-08,4.799693068109402e-08,4.152270025927057e-08,9.75323343027885e-08,5.870953365253208e-08,5.0392355140036976e-08,9.871058958823472e-08,4.113122924267055e-08,1.3142416794908046e-09,4.520890375797063e-08,5.258768456864195e-09,5.269105883453838e-08,1.189084043849065e-08,4.974158763656087e-08,2.5811922000117213e-08,2.8643221872834706e-07,1.2991275527471083e-09,4.056504537921238e-10,6.400918869356608e-10,3.9907872924372986e-08,0.0005643777826231927,1.4805246785348463e-09,1.4006454948657126e-07,1.023747764709679e-08,2.240375146049515e-09,2.1441646330189266e-08,1.8173202118443825e-08,0.0,1.162403865057704e-09,8.55417504573841e-10,3.178912976686455e-08,3.2711045491913274e-10,4.894389987832119e-08,4.839773857495437e-07,2.0881761805562953e-07,4.130790276360341e-08,3.983547308345481e-09,9.295402706499947e-08,7.29582452154147e-08,1.600416639732131e-08,4.839773857495437e-07,3.615188426537509e-10,1.1796679374166089e-07,7.414033174413213e-08,3.830388602380254e-08,3.211909080534498e-08,9.999227537256187e-09,2.9567309911877517e-08,7.197462150939908e-10,0.0174910226747859,1.4961335399835676e-09,2.978168520248736e-08,5.707457822344801e-08,0.47014427273357656,4.2152075481261866e-08,0.0,7.436713200880894e-08,2.7220848608085453e-10,1.672610118522204e-07,2.813872266934849e-10,4.7533846815979546e-08,7.734628173611681e-08,0.0,1.2886778463514543e-07,3.2413820145711005e-08,1.0920136538274186e-08,4.399330904965968e-09,2.0412111844114902e-08,8.602524674114231e-10,0.0005108786051614899,4.9453802451700863e-08,7.265606582198468e-08,1.4455300278471113e-09,7.225914309081962e-08,1.3339638767152674e-09,1.1653154588871362e-07,4.6817804239114224e-08,2.5031987690854222e-05,5.171513844702171e-08,4.4941794204710685e-08,1.7390520851600038e-07,2.528305353018017e-08,4.878120566860275e-08,1.046900156431653e-08,0.005672634806576258,0.0,9.570087898074247e-08,5.35128415832648e-08,2.5538053679749772e-09,9.1590289371053e-09,7.24181374027646e-09,6.184418121468585e-08,5.736112419102661e-10,9.77676626523613e-10,8.042788187975402e-08,7.481741743523937e-08,7.408386099711109e-10,1.3580543606967665e-07,2.681929862945295e-09,1.4748480461160785e-07,5.708499571877048e-10,1.4030243844839678e-07,4.024265626287757e-09,4.185179806391427e-08,5.428921083652947e-08,7.022073830804534e-08,2.6387956814603256e-08,2.2684107685988013e-07,7.765314896472886e-08,5.7101418955817386e-08,6.240296562838419e-08,5.295441516915149e-08,1.3954736644280246e-07,5.860558279956371e-08,3.6278978074251096e-08,6.09440283744195e-08,4.1113719058477904e-08,3.8440632756436846e-08,2.3227167811611744e-09,6.319839407363892e-10,8.542876538427504e-08,7.137861594035635e-09,3.8440632756436846e-08,5.243062338485843e-08,1.0025996699244047e-07,4.7477348447217826e-08,3.8440632756436846e-08,3.663378609696374e-08,1.2588597194900321e-07,5.603667397202087e-08,5.45245865020523e-08,4.237002400426724e-10,4.151056083260222e-08,1.4352170811809684e-09,4.070812996268632e-08,1.6004166397321314e-08,1.125277597082004e-07,8.389188631159327e-10,2.7605487170223526e-10,3.822676896660454e-08,4.3843488417380316e-08,5.4519733496774175e-08,4.518910806078682e-08,3.347732279361499e-07,2.176278888204542e-08,0.0,3.485525990851969e-07,5.409903698358192e-08,5.248088597344459e-08,5.113758626772631e-08,8.352341259162787e-09,4.6593408277591176e-08,1.8006722552084563e-07,3.985718455648035e-09,5.344032259405037e-08,8.88632304715962e-09,3.687427684878358e-10,1.3876207147332893e-09,5.626864802775696e-10,5.664548621167736e-08,4.786584156981831e-07,9.001414623756871e-08,2.120509712142462e-08,1.8018716889429018e-07,1.5798559041798523e-07,5.578829943826737e-08,1.9239683548894393e-07,1.3632646114679498e-08,6.286000676065936e-08,4.468034677521377e-08,4.09291899613209e-08,5.6413602882841355e-08,0.03468340987147354,2.5946505106669657e-08,1.64958444471278e-10,4.8938666610775273e-08,6.3555121788526e-08,7.458851957626987e-09,5.806829300456602e-08,5.858852094852946e-10,0.0,2.6608363233214877e-08,2.425283570400192e-07,2.001423003821542e-10,0.0,0.0015077030948530312,3.7972376397891733e-08,2.578376051742974e-07,1.0464372680356476e-07,4.4100538261828946e-08,1.6964326682857598e-07,6.286000676065936e-08,4.96967798326094e-08,5.345533173622525e-08,5.265985730648636e-08,6.040953170519682e-08
