,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.0006728360758872258,0.004051655448651536,0.0003392354314097299,0.12279703278900443,0.0003064619923794346,0.00031990981881095345,0.00036118155164603595,0.004342890551090433,0.000277437541359597,0.0003442368872327971,0.0003475964792773955,0.0003333392681931815,0.0005195830259457068,0.0003466202898211173,0.00035756300675388795,0.00030121559364369943,0.00034100418543342226,0.0003316906139850121,0.00039062349152917667,0.0003469908762907272,0.0003394989859793239,0.00034166409762880737,0.0002529063070746775,0.00034869278740721235,0.0003290429558702048,0.00031734201398136747,0.000345540377272436,0.00032135638080262106,0.0005285037158536504,0.0003278651489076992,0.0007858410620056497,0.00015311851412035238,0.000640452228636081,0.000340580723104937,0.00034595446649781996,0.0,0.0003619322419065451,0.00033850284947175896,0.0003689672574644726,0.0003466202898211173,0.0003530665216405505,0.00034113938008852236,0.000338954191093393,0.0003395586607112166,0.00033900188537361976,0.00034102998178391937,0.000339190634156718,0.007036241916890147,0.0003436641810861471,0.0003196526622944214,0.003493187858677316,0.0004128949008751157,0.0020402114272028704,0.00034660094511055256,0.00032833758044188845,0.0002986757721492565,0.00033507191766573425,0.00033220453740708314,0.0003992079874276957,0.00033663489418525057,0.0003400429211225294,0.0008046340294246802,0.00032326493166765267,0.0029409991117695876,0.00031308624106431615,0.0003459257757367533,0.00033220453740708314,0.0003166891596236922,0.00033747185873237736,0.00035290373960008745,0.0003413530394114017,0.00034205971740930966,0.00033826201697157,0.0003459977792047911,0.0003589079401522173,0.0003387673277063486,0.00034200596910447786,0.0003352337540305772,0.00029518255987595653,0.00033826201697157,0.00027955440014856896,0.0004734480216174409,0.0003287791794869858,0.00033375587119020925,0.00033567871265626165,0.0003478406697847532,0.00032563981835795043,0.00025792449733767205,0.0003893997238294295,0.0003402970673335547,0.0057149673602365945,0.00034250857163565715,0.0018617146472490397,0.00034155035209348667,0.0,0.0010955768879351406,0.00032080664132091665,0.0005430700478848301,0.00032001560625005015,0.00034136105970438053,0.0003467825181124967,0.0003424471020052853,0.0003352208651072448,0.0003438684075623354,0.0003258163590627558,0.0003366125183532871,0.00031956871734424976,0.0002726895737409809,0.0011255547108629494,0.0003289950807544275,0.00034156580223519115,0.0003028964576269193,0.00034963694151864344,0.0003063081672471749,0.0003406683903324993,0.00034285288328342605,0.00032854825492382707,0.00034241523775384937,0.0003757309074578486,0.00034032608879233655,0.0003367478242581304,0.0003351786280690823,0.0003263212511014531,0.00046930037820829375,0.0,0.00034263279901958806,0.0003684773505921903,0.00032690480855080117,0.00033520198879727364,0.0003322791510579149,0.000340055319757355,0.00022252724688899265,0.00031282465284721684,0.00033917565102535953,0.0003409557679714666,0.001266028767010234,0.00032265683713035814,0.0003189904823593313,0.00032306710631014424,0.00032240455444101056,0.00034216283630249863,0.00032012098003173005,0.0003388084540780577,0.0003423256250887976,0.0003503356471108278,0.0003192354095722971,0.00032730994140523986,0.00032936193204759684,0.00039080204128190546,0.0003416354475699046,0.00036135418287696,0.00032276109958619717,0.0003413935220998791,0.0003465313712385024,0.0004638280738313025,0.0012514027351855387,0.00034653689149996867,0.0003492685334729974,0.00034231823419304206,0.00034428907161570676,0.00034353791384562064,0.0003465313712385024,0.0006098278412828679,0.009626216443958228,0.008023283663562608,0.0003431377121743532,0.0032410950463049207,0.0003410433669703694,0.00034358786876445617,0.0003417229012281155,0.00032491221002881217,0.0003594439280814915,0.00032838503921434205,0.0009478792478003044,0.0002951825598759564,0.0003341256555686675,0.00035506835717796347,0.0003277253935599926,0.00033199870697213395,0.00034220584210192085,0.0003608226417403993,0.0003248455164740675,0.0004722880316003221,0.0003424471020052853,0.0,0.0003538353453163252,0.0003309572841986117,0.0003366272195577101,0.002348527217223538,0.00033591118952411324,0.00033711272913032614,0.0003509641669493981,0.00031912454946966606,0.0003475218061022536,0.0003409550188525929,0.0005434990624687316,0.00033975953387827603,0.0003208030626720972,0.00033477280133653825,0.0003663866707388052,0.00032774549228889124,0.00034483611518851926,0.00028531151115480545,0.00032903063497245657,0.00033988655020387537,0.00034013124571589297,0.00034142808771180696,0.0003122725414090945,0.00034373057535972887,0.0002349641814529443,0.0003413261794418856,0.0003422515141522105,0.001819750908667411,0.00031061942448361583,0.00020448384282027612,0.00034366371876993015,0.00034429306863390836,0.0002928396006447773,0.0004577216150070691,0.00021475849007473075,0.00034926853347299735,0.0028644350700998637,0.0003269502086172286,0.0001908549582431198,0.0003492685334729973,0.0004896256450610696,0.002945319332642909,0.00032806558212692533,0.0003413261583479599,0.00034230142081287845,0.0003461211585412121,0.00034373057535972887,0.0008237348387503788,0.0003728751074196762,0.00035244282946284743,0.000359718694115443
Agricultural and forestry machinery,8.414708166716617e-05,0.00011550803068499895,0.0003038470139007008,5.4874983351690776e-05,0.00010028561144373144,0.00013967968643259013,0.00012120089243181092,0.005989213699220924,0.00013230565357634017,0.0002323021290167664,0.00029223664855198043,0.00011899418852206662,7.038124229634236e-05,0.00029200980023275384,0.0008521910314413603,0.00011342296950018121,0.0005196129443600204,0.00011781973315883718,0.00011680568816041593,0.00011640673166000703,9.879128614249634e-05,0.00011667713677377539,0.0001348725763426643,0.0001118021923092137,5.842131200846842e-05,0.00013589400216702083,0.00011683588093261882,0.00011963861643845224,0.0002679014373671163,5.535712482330799e-05,0.0009620845868069593,0.0007405921083045621,0.00016209955337045823,0.00015350957065762548,0.00013728057533965335,0.0,0.0007937828835286511,0.00012195060174839335,8.145880567730716e-05,0.0002920098002327539,0.00017930965024051137,0.00010241894996967628,0.00012766186317535793,0.00017497403910931233,0.0001660419697704065,0.00024195621504164046,0.0011311545277728006,0.0017141150142020798,0.00016118036535362032,0.00010785241803872394,0.001164854294252699,0.0005059649631904888,0.00011418620811241984,0.0002920098002327539,0.00021834617943172925,6.960123145229024e-05,0.00012987387727687896,8.675857732460196e-05,0.00027163086482589853,0.00010252599722461846,0.00013079106118919976,0.0030359542895147234,0.000120548221951002,0.0004171076761045888,0.0001237967684296404,0.00012050110100505919,0.0,0.00013654498988560713,0.0001238254237234539,0.00017074839628609557,0.00019828592726589054,0.0002819871545105033,0.0004973962133533234,0.00011899418852206662,0.0011164872903467419,0.00012731215312074414,9.265170532184972e-05,0.00019673370883537873,0.0001130131573943709,0.0001368613620389518,0.00012213558905348372,0.0004207707646641044,0.00013656673306140237,0.00013550882052386915,0.00028635491093147175,0.00010309517023365264,0.0001279295101235876,9.072537759210287e-05,0.0003458980515153314,0.00018222457235814833,0.0029638199696378595,0.00012430589922811228,0.000429643573237448,0.00010278054199816438,0.0,0.0006468828829657106,0.00015204337953130876,0.00017079896076592052,0.0002097192956410045,0.0001348143989126146,0.0001296973224769191,5.4874983351690776e-05,0.00014890901244844724,0.00010342221536069091,0.00010713572474715276,0.00015733635378934206,0.00010031674953101213,8.203276631540809e-05,0.00010853497491525209,0.00016155017956743018,0.0001210610819990101,0.00010770595655776897,0.00019482769220294707,0.00010809864640986442,0.0001826829777699119,0.0001195940525472939,6.326878150303971e-05,0.00012056210378348695,9.938048055120071e-05,0.00016119371196017364,0.00010598862647444096,0.00012575827649817924,0.00010639947119408526,6.441312604595176e-05,0.0,0.00012728890756572123,0.0007622768986928876,0.00014455546105799082,0.00011892678825361953,0.00014410549603305608,8.802104298944626e-05,0.00010568706402368583,0.00012849842673809994,0.00019748692531317255,0.00012721889854421181,0.0001880652750540562,8.057188654436239e-05,0.00011770421708662017,0.00013380647044338416,0.00012281089749276462,0.000141524203058711,0.00012763322351901774,0.00010895861305748705,0.00011955739982293718,0.0006358595543324058,0.0001120111864454627,5.4874983351690776e-05,0.000275809982963213,0.0002565397756640846,0.00018769031774158558,0.0007105451707146125,0.00016259049284645448,0.00011501010376765908,0.0004525397291587717,0.00012038255210732702,0.0008322383343142971,0.0008833022471268903,0.00011627389691191962,0.00012140354180038451,0.00012830007591395815,0.00028824585980293785,0.001281234169017947,0.00011654987900151803,0.00011423599044676607,0.0006004894161384108,0.0007579185976539028,0.004909262773357911,0.0001445405908449966,9.210601066898997e-05,0.00019457383971771406,7.90367562743981e-05,0.00010241894996967631,0.00010051338806009724,0.0013406014257320083,0.0001130131573943709,0.000168531670498959,0.00010765030733686016,0.00014809691786434997,0.00013133745679266427,0.0001720769731577844,0.00010945273305938729,0.0001960016803134509,0.0003815812947734094,0.00010633911910962936,0.0,0.0002573986084698144,0.00013992009058251304,0.000137442319089754,0.00991134956480358,0.00012738638775396512,0.00011074850311000291,0.00011627931482960117,0.00017942021357096434,6.969218666875072e-05,0.00013696302735795437,0.00024124116975558673,0.00015585080579304223,0.00014083381563230457,0.0001248304305208483,0.0008773187773133594,5.6422224440542285e-05,0.0004389237316992509,0.00011542599447108176,6.71372345597007e-05,0.00012797408382781873,0.00012147784780678652,0.0001945436336622537,0.00010937021233160558,0.00011781973315883723,0.00010484767291642639,0.00013436394287035886,0.0005103449795332037,0.0002509697062261216,0.00011614300632103238,0.00011242311646486673,0.0002651366785262929,0.00011952710343513316,0.00016122875865494244,0.00017609090292048662,0.00010141891968388882,8.190890998069972e-05,0.0007225952497164141,5.4874983351690776e-05,9.956016996071259e-05,0.0,7.816403274052979e-05,0.0001938028843402239,0.00018381602708704824,0.00012871093771989073,0.00019688235670175882,0.0001811021835228604,0.00045860955304098905,0.00012292693857622776,0.0010086997542503103,0.0004931352581385967,0.0007368924987678532
Aircraft and spacecraft,9.12781544269315e-05,8.836427696842563e-05,6.47597752534353e-05,9.136650323320219e-05,0.00013982977790978298,8.477825267373765e-05,7.340555695045752e-05,0.009220181652835821,5.694040739839878e-05,7.653076556347603e-05,9.974282816528809e-05,5.042063330075085e-05,7.363680748032384e-05,0.00015534758423695186,8.078923457349544e-05,0.00011022597704597621,0.0008361165193169497,8.30077364598873e-05,7.601778030078487e-05,8.47057717705141e-05,8.827929288446142e-05,6.092902390286528e-05,8.25405691288765e-05,7.206003007179305e-05,8.469999782394757e-05,7.96364249462766e-05,3.619373780305595e-05,0.00010456425873673699,7.756929056453619e-05,7.769949578036189e-05,0.03642083428554664,9.9159681868394e-05,0.00015414605278363196,7.768375524508307e-05,3.825650070348547e-05,0.0,5.701246433760974e-05,8.452153772613158e-05,9.181906688541956e-05,0.00013154340581085605,0.00010763353459361579,6.447725170555038e-05,4.777459941129628e-05,8.437245617207402e-05,6.912583032873386e-05,6.361793690619864e-05,0.00027987623152406145,9.355167811467278e-05,9.760751789672347e-05,6.381232448659805e-05,0.0006696334595234547,6.489032256898004e-05,8.533482358859518e-05,0.00015534758423695183,0.00010502030603206179,8.319950746284868e-05,5.098358679721448e-05,7.220722076242472e-05,7.7288938582286e-05,7.91910778303296e-05,0.0006378382070775701,0.005378824942336666,6.670138196332327e-05,0.00014747192736537236,8.609769082443711e-05,8.976921939016868e-05,0.0,6.724308123923228e-05,7.822893346440854e-05,7.681654897009884e-05,5.256637085835909e-05,4.694635866035311e-05,7.765915294647119e-05,3.619373780305595e-05,7.548367004094026e-05,7.859112987459286e-05,0.00034119895491426937,5.6470053243908556e-05,8.94971568706489e-05,7.769629481645618e-05,0.000913687384261158,7.37599076265098e-05,7.980498477282249e-05,6.973434896616221e-05,7.770081611704933e-05,4.837013926486608e-05,7.339738594641437e-05,7.264091889496187e-05,9.180925312694257e-05,0.00010133825227135798,6.754631381161224e-05,0.00010631416286679512,8.053868576897395e-05,7.388395366702257e-05,0.0,0.0001310661714473956,5.5229021480668226e-05,8.254789291154781e-05,8.215518236095417e-05,0.0001612377053427243,7.599448197756716e-05,6.86359028872221e-05,5.8504112641308696e-05,7.341952531191605e-05,8.065048861651012e-05,7.455040929351089e-05,0.00022181235247744008,0.00017542937343487932,0.003970262421103974,7.548367004094029e-05,7.3680113597007e-05,7.568693077905888e-05,7.981846555986243e-05,5.979224705725478e-05,7.255092503789064e-05,0.00013427395325882219,7.79850824461275e-05,7.985107294045105e-05,7.945222131242613e-05,7.094685461231e-05,6.848024944650721e-05,7.398422532841953e-05,7.440249083720982e-05,9.543635948884211e-05,0.0,7.286399924844873e-05,7.649869768867053e-05,8.510439325062853e-05,7.68649054928133e-05,9.297344476503382e-05,9.572369618089079e-05,4.243817261807915e-05,0.00010013477093267074,4.454452587657235e-05,7.395683937836698e-05,7.324834174566578e-05,0.00010366459607841283,8.177036444533734e-05,0.0001109091078267239,7.412240516896078e-05,4.3254433964489895e-05,0.00010637724232603173,7.812190896184376e-05,0.0,0.00011628574279765367,0.00012883007502342633,8.002447305173452e-05,7.408572223625727e-05,6.931914717492453e-05,9.767126150534083e-05,7.47647130083334e-05,3.956758422478386e-05,4.0378534252550496e-05,0.0,8.131023169444753e-05,7.230709432731616e-05,7.800352153628203e-05,8.959085908125318e-05,8.060526153545522e-05,9.566521735554041e-05,0.0001553475842369517,0.0005333775324178102,6.821257561123865e-05,9.36022574016615e-05,4.990709110080902e-05,3.619373780305596e-05,0.007848263099707938,7.345731495018271e-05,7.990246740670344e-05,0.00014007349771925402,0.00011118960610219192,6.797752829729705e-05,4.837013926486608e-05,0.00019575440593475626,8.94971568706489e-05,7.796440172939845e-05,7.792506424876874e-05,5.806686148050205e-05,6.797752829729705e-05,8.459422050419154e-05,7.769738794029757e-05,7.907760249983818e-05,7.745607877415197e-05,6.86359028872221e-05,0.0,7.424052725528478e-05,0.00014363318096742464,7.664442264368709e-05,0.00014181346452138261,6.867208495676391e-05,6.899530706402625e-05,8.237598619197285e-05,7.219345526434415e-05,7.555313045551701e-05,0.0001259083821816573,8.794896918594514e-05,7.745684916793523e-05,0.00010139558369188664,7.97922628686119e-05,6.981878665088561e-05,0.0001188009340808123,6.988822789545537e-05,7.13520362866091e-05,8.371480144404454e-05,0.00012105652945987941,5.8893149011512365e-05,7.567232191464551e-05,7.057252154502487e-05,6.238150560711405e-05,7.280291770857921e-05,7.823841933015096e-05,0.00028938078623224,8.108824376608979e-05,4.099921919840865e-05,6.932023193253827e-05,7.368011359700698e-05,7.907447902960439e-05,7.59754087895737e-05,8.23211842690126e-05,1.640078917841204e-05,9.01624347078133e-05,7.768173385045624e-05,7.800352153628203e-05,7.576209740531488e-05,7.769629481645618e-05,7.887061054636682e-05,7.616759607820556e-05,6.318266052262067e-05,6.88542239913729e-05,0.0001522745214466637,0.0001434970556860272,0.0001103023934461116,7.03644846315298e-05,7.577132406711871e-05,0.0001667560375040132,7.747296895290151e-05
Animal feed ingredients and pet foods,0.0,1.0000000000000113,1.0000000000000102,0.0,1.0000000000000109,0.0,1.000000000000011,1.0000000000000082,1.0000000000000104,0.0,0.0,0.0,1.0000000000000113,1.0000000000000098,1.00000000000001,1.0000000000000102,1.0000000000000102,1.0000000000000113,1.0000000000000104,0.0,1.0000000000000104,1.000000000000011,1.0000000000000102,1.0000000000000113,1.0000000000000113,1.0000000000000107,0.0,1.0000000000000102,1.0000000000000104,0.0,1.0000000000000084,1.0000000000000104,1.0000000000000107,1.0000000000000107,1.000000000000011,0.0,1.0000000000000107,0.0,1.00000000000001,0.0,1.00000000000001,1.0000000000000115,1.0000000000000104,1.0000000000000104,1.0000000000000104,1.0000000000000102,1.0000000000000104,1.0000000000000107,1.0000000000000104,1.00000000000001,1.000000000000011,1.0000000000000098,0.0,0.0,0.0,1.0000000000000102,1.0000000000000102,1.0000000000000107,1.0000000000000109,1.0000000000000107,1.00000000000001,1.00000000000001,1.0000000000000107,1.0000000000000073,1.0000000000000109,1.0000000000000109,0.0,1.0000000000000109,1.0000000000000109,1.00000000000001,1.0000000000000107,1.0000000000000093,0.0,1.0000000000000115,0.0,1.0000000000000098,1.000000000000011,1.000000000000011,0.0,1.0000000000000102,1.0000000000000113,1.0000000000000098,0.0,1.0000000000000102,1.0000000000000104,1.0000000000000102,1.0000000000000102,1.0000000000000107,1.0000000000000104,0.0,1.0000000000000107,0.0,1.0000000000000102,1.0000000000000115,0.0,1.0000000000000102,1.0000000000000107,1.0000000000000109,1.00000000000001,1.0000000000000115,1.000000000000011,0.0,1.00000000000001,1.0000000000000104,1.0000000000000102,1.000000000000011,1.0000000000000115,1.00000000000001,1.0000000000000104,1.0000000000000109,1.000000000000011,1.0000000000000113,1.0000000000000102,1.0000000000000109,1.0000000000000107,0.0,1.000000000000011,1.000000000000011,1.000000000000011,1.0000000000000104,1.0000000000000109,1.0000000000000104,1.0000000000000109,1.0000000000000104,0.0,1.0000000000000102,1.0000000000000109,1.0000000000000104,1.0000000000000102,1.0000000000000104,1.0000000000000109,1.0000000000000098,1.00000000000001,1.0000000000000107,1.0000000000000104,1.0000000000000109,0.0,1.0000000000000102,1.0000000000000107,1.000000000000011,1.0000000000000109,1.0000000000000104,1.000000000000011,0.0,1.0000000000000109,1.0000000000000104,0.0,1.0000000000000107,1.0000000000000109,1.0000000000000102,1.0000000000000107,1.000000000000011,1.0000000000000104,0.0,1.0000000000000102,1.0000000000000098,1.0000000000000084,1.0000000000000102,1.000000000000011,1.0000000000000102,0.0,1.0000000000000084,1.0000000000000107,1.0000000000000113,1.0000000000000102,0.0,1.0000000000000062,1.0000000000000113,0.0,1.0000000000000102,1.0000000000000104,1.0000000000000107,1.0000000000000102,1.0000000000000107,1.0000000000000104,1.000000000000011,1.0000000000000102,1.0000000000000107,1.0000000000000109,1.0000000000000109,1.0000000000000107,1.0000000000000104,1.0000000000000104,1.0000000000000098,0.0,0.0,0.0,1.0000000000000109,1.0000000000000107,0.0,1.0000000000000107,0.0,1.0000000000000109,1.0000000000000102,1.0000000000000107,1.0000000000000107,1.0000000000000098,1.00000000000001,1.0000000000000104,1.0000000000000113,0.0,1.0000000000000102,1.0000000000000118,0.0,1.0000000000000113,1.0000000000000102,1.0000000000000107,1.0000000000000098,0.0,1.000000000000011,1.0000000000000113,1.000000000000009,1.000000000000011,1.0000000000000107,1.0000000000000113,0.0,1.0000000000000113,1.0000000000000109,1.0000000000000102,1.0000000000000102,0.0,1.0000000000000098,1.000000000000011,1.0000000000000109,0.0,1.0000000000000109,1.00000000000001,0.0,1.0000000000000104,1.0000000000000115,0.0,1.0000000000000089,1.0000000000000107,1.0000000000000107,1.0000000000000109,1.0000000000000104
Articles of concrete cement and plaster,0.0001517678262012349,0.0006399748893498192,0.00029724944850413934,2.7474720452898584e-05,0.00010753495758432138,1.1434776434385445e-05,0.0008110548590769924,0.05518675039440923,2.6954348396531734e-05,0.0012488594021335929,6.097051816780157e-05,8.872930909640832e-06,0.00010794949013069548,3.841962188023073e-05,1.900919423633321e-06,6.806208546474006e-05,0.0009579855266300847,1.127885952726237e-05,0.0009490137669031466,3.7172935873142115e-05,0.0004083908448236433,0.0010096669220640115,2.6802864136279412e-06,0.0020051391142334282,4.909890972510858e-05,5.757953847377507e-06,2.8463881835417424e-06,0.0006690785372356747,0.0004004044324821238,3.580995261067742e-05,0.11485965938233784,0.0014095567117516823,0.0001824229434087199,0.001003461431558122,0.0008922329850191809,6.101691414626792e-05,0.0007416027178701718,0.00042908008285775444,6.097051816780157e-05,3.841962188023073e-05,2.9497712986206105e-05,0.000968050361845238,0.00015891835734177347,0.0002912611545683021,0.024489792876173744,0.0003701111619857238,0.0005844842259826751,0.00041482443221334996,0.0006973440459788661,7.789219162375546e-05,0.00015675424348462718,0.0013315621533235152,0.003190270169442014,0.0004345161907877623,6.16383850696525e-05,9.143759824909102e-06,3.740315892081976e-06,4.077113899084884e-06,0.0008591752967716665,0.00017495205911408635,8.872930909640832e-06,6.101691414626792e-05,9.223320760134261e-05,0.004066357864546006,0.00028114732278917206,0.00023797461690101642,0.0,1.1392795934032142e-05,2.0703155524800955e-05,0.0005917123800482139,4.792858063980201e-06,0.0007137615704734525,0.0002526671822373026,2.7627644831484163e-06,0.07349024070475195,1.026235587785758e-05,0.0011671603362610808,0.00022000674566696353,0.0002659746440938214,0.0002526671822373026,6.890495321216609e-06,0.0005451588101116814,4.739996758721683e-05,0.0008144221901594008,0.00047921568993157174,2.5143662894578845e-05,0.0004531239308679363,7.048699474312178e-06,0.00021439257025564665,9.067696681998368e-06,0.0005213167201918957,0.0014187730546234426,0.00042305195019960896,0.0009054685867072891,0.0,0.0003525444937568956,2.5700933373831757e-06,0.00023621970818064417,5.072251503194658e-06,0.0010866531174018154,0.0008921665053264822,0.0,2.4779032135876525e-05,0.000730099815504812,0.00019818040685764865,4.542063706128868e-05,0.00029014600466558364,3.4735956409265307e-06,0.000214563484779739,0.00398110630696563,0.008193518171498432,3.386069602924203e-05,0.0007156294059473253,3.1555631678161545e-05,0.0012140104437824166,0.0006985339877190146,6.67043543305918e-05,0.0012034199086296297,0.0005088964509523854,0.0013797451201524756,0.00020064660883157472,0.0002462835405242926,0.00017287565420735784,0.00013249084451448197,0.0,0.0009274737174118932,0.0007313288803743965,3.229493358677978e-05,3.244093415053284e-06,3.3037205444746084e-05,0.0010168381696479946,3.496522833862075e-06,2.0814113487899167e-05,0.0003568092995627535,0.0009535523073769937,1.5906827269594225e-06,0.0013967532554905926,1.6408827644941008e-05,0.00010314418687246882,3.9465558179535725e-06,0.0012622352199842487,2.3036097679146074e-05,0.001066549363904586,0.001275378169071003,0.0003832441526389382,0.0004414995738260601,2.560497827400518e-05,0.0008505018590477694,0.0007782886734118118,0.0011176816161766994,0.0007364229394037163,0.0003000089230075586,0.00014400494566510884,0.0005192686601548632,0.0007925731930407273,0.00038656315368407765,0.0005502057864578616,1.3430315814850056e-05,4.904353085080935e-06,0.0009639788526761228,0.00010348251236360408,0.0005502057864578616,0.0007857718783225489,0.0010703959969467537,0.000379605084428902,0.0005502057864578616,0.19211019683884983,0.0016383232484796944,0.003410083321925842,0.0008784928275111508,2.95369926700379e-06,0.0009678240584187236,3.625777066305633e-06,0.03247305747550415,0.0002659746440938214,0.0004902360208001652,9.90451660788811e-06,1.3800228483979613e-06,0.0009066075470019224,0.0005920765707917779,0.0006158473057926232,0.0006954390216050366,7.150262747942641e-06,0.000402862831661744,0.0,0.0003817547077712813,0.0009233122581965246,0.0006769674375953781,0.0007881951459940783,5.047553173666857e-06,0.0008442228445143536,7.460024603551277e-06,2.47239501067889e-05,0.0006351866097033477,0.00018621332513450085,0.0004902964983870712,5.688358031819543e-06,1.363622075433685e-05,3.99141557283157e-06,0.0007712548608406973,8.34131499739515e-05,0.0008649863977887819,0.00039433015874279514,4.839314710571197e-05,0.00026511957523611305,0.0010459504966259339,0.0014067638901266017,0.00032240100514114553,0.0008755319989728461,8.093097993001348e-05,0.0009377552789519272,0.0008385184641266369,0.00033898531721767957,5.0869090349474976e-05,1.3697622712763757e-06,0.0007139408893635888,0.0027299803293302175,6.652646397965642e-05,0.0005679354252256401,1.1368483760013619e-05,0.0,0.041007010209591445,2.7282305426175688e-05,3.671038628247695e-06,0.0,0.0015180575117705378,0.0006456533969285415,3.8282472608685745e-05,0.0014782551157678588,0.0007975948484553157,0.00019820941799683511,0.0008755319989728461,0.0007468190168326347,0.0007305417841882637,0.0007812889542052818,0.0007082848465674367
