,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Soap cleaning & cosmetic preparations,5.477257234858063e-07,3.37652382093598e-07,3.1916181134661495e-07,6.935026636597116e-07,2.0667509010982788e-07,1.3541553161862055e-07,3.020692332881163e-07,3.270597301996882e-07,2.406557664182888e-07,3.0213059022267156e-07,2.826323891204289e-07,2.2754771998030827e-07,5.846853018676477e-07,2.3564349515689698e-07,2.1862658543113375e-07,2.506167947468643e-07,2.837178331741273e-07,2.871162395711591e-07,2.5875739766481393e-07,2.8864926745969936e-07,2.7780100883515317e-07,3.302023226321701e-07,1.7264492355048937e-07,2.8941676249719665e-07,6.462965436416014e-07,2.1729146222397708e-07,1.465847244390161e-07,2.5332910927611866e-07,4.393000887098033e-07,5.987001498834016e-07,2.264003555494415e-07,3.599901115772487e-07,5.722797958991997e-07,3.3417987858118904e-07,3.463686353568828e-07,0.0,3.012317404145833e-07,2.3789764831845283e-07,5.528782754876927e-07,3.5708701588920434e-07,2.2922344418645075e-07,3.1259291054779483e-07,4.1007134973669943e-07,2.6774378399579136e-07,2.9828088443372896e-07,3.461059170831832e-07,3.42988480642127e-07,3.209671653536453e-07,6.838806484875971e-08,2.8092639057937387e-07,2.4068411696996147e-07,1.7708416808175607e-07,1.9933870080819258e-07,4.73999308823582e-07,6.038752413725776e-07,6.547959276536303e-07,2.088513405778524e-07,2.406208204957166e-07,1.849322831340181e-07,3.309502425152378e-07,5.585431723022856e-07,1.102113103759362e-06,3.79142346188262e-07,2.0307352107132985e-07,7.96445666533144e-08,2.627300077634065e-07,3.3123528737968823e-07,3.2223815298876006e-07,1.2950100481517903e-07,2.671919596660142e-07,3.354895968352041e-07,3.273960831827439e-07,3.32305787584493e-07,2.835428579292329e-07,1.453172248869222e-07,2.839254188940345e-07,8.9007427810717e-07,4.273912727875491e-07,2.578395640001761e-07,2.672336854346014e-07,2.8353373134421993e-07,2.459998413881461e-07,3.405379608291202e-07,1.7965510923976176e-07,2.297111458181552e-07,3.299137583338783e-07,1.124794287241322e-07,2.344507966404521e-07,1.564687179446398e-07,5.995667477013805e-07,2.4872688308006293e-07,2.43193639152786e-07,5.405799294674154e-07,3.381661550833331e-07,0.0,2.9036409341657105e-07,2.1694066942360274e-07,3.79768507316849e-07,2.3060882488428704e-07,3.396711344299161e-07,3.4540119329155535e-07,1.8921574945503797e-07,2.922074029098156e-07,2.916556369393092e-07,2.8816718670767255e-07,3.93977054376332e-07,2.9572188099668434e-07,1.809605772443405e-07,5.115449235797229e-07,2.870490948232553e-07,3.5539479152581187e-07,2.777511479934622e-07,2.9442711348169195e-07,2.6706411618455933e-07,3.553323254009851e-07,3.506335949472727e-07,6.631796626980615e-07,3.7631000384366834e-07,2.9477575009990006e-07,3.5544579125010755e-07,2.4790800812588236e-07,3.475281007635281e-07,2.501238732959647e-07,6.001578427170183e-07,0.0,3.2756741189834995e-07,3.049373839258127e-07,2.18600563151651e-07,2.2500111467105755e-07,2.443747621147681e-07,2.8697422959444235e-07,8.074798914997646e-08,2.241308213781401e-07,3.0521781343771464e-07,3.2147293334289517e-07,1.4481643540961956e-07,3.613567773189793e-07,2.2153323852038056e-07,2.310613780499676e-07,2.374477262715872e-07,3.5406500155447583e-07,2.1432840934555327e-07,3.1694097216830133e-07,3.382485443787707e-07,3.0225593533439255e-07,2.7416811180250453e-07,6.616926764443385e-07,2.431915315297511e-07,2.700731981457054e-07,3.515906112320163e-07,3.0061794256851703e-07,1.5979789038549664e-07,2.8342914428989005e-07,2.9228879771247706e-07,3.264819664169187e-07,2.3734283660660227e-07,3.497209803284093e-07,2.892379875394263e-07,3.008472407379143e-07,3.4897584871038035e-07,2.8641616322931257e-07,3.498477891242132e-07,2.998614009008827e-07,3.363710079757381e-07,3.702713722126747e-07,1.48275984313711e-07,6.586810716195518e-08,3.689463853951145e-07,4.879462546720709e-07,3.512329163309169e-07,2.4090154613199186e-07,4.0989707926264234e-07,1.6723839402180806e-07,3.302812302048476e-07,2.6723368543460135e-07,2.3803533050100255e-07,2.957450884624356e-07,2.1759336371732452e-07,2.594639941794483e-07,1.8846125334665438e-07,2.9218961674158254e-07,3.154500471921168e-07,6.67138636669979e-08,2.3989281847602565e-07,0.0,2.889906406936241e-07,3.5695976418715826e-07,3.269100007948108e-07,2.739756487098886e-07,2.0808775347331884e-07,3.4019811629461287e-07,2.107632535084174e-07,2.2214792162496583e-07,3.055539246762675e-07,1.9855050064556918e-07,4.100381566785549e-07,2.2601477928545182e-07,2.2023133775758652e-07,4.2833386929599696e-07,3.0147042880435194e-07,6.148122519380627e-07,2.824848933951744e-07,3.002249072528337e-07,6.762668608239443e-07,3.095527551016102e-07,3.079619624318891e-07,3.459173907868285e-07,2.6844792686884017e-07,3.453912594647912e-07,2.574920055885238e-07,3.3193383016568187e-07,4.179189485005914e-07,5.942353554304667e-07,2.046400290316799e-07,2.5424820906062205e-07,3.3817875676615275e-07,3.7728745250803054e-07,1.0114317018775711e-07,3.101338725512245e-07,1.8762742831587143e-07,3.2957244588822033e-07,3.028139924756223e-07,7.010589708384308e-07,1.7597348727745097e-07,1.5384606933685264e-07,5.914179924842938e-07,3.5251435740645787e-07,5.915957812703286e-07,3.6363975722956055e-07,3.2623871292166076e-07,1.6347116365118988e-07,3.459527353923441e-07,3.316346428134463e-07,3.002445774695876e-07,2.9356416207158434e-07,2.986676937921934e-07
Soft drinks; mineral waters,1.3697912432121946e-06,2.0330916186109915e-06,1.2321411490025255e-06,5.608461564209873e-07,7.246840575447761e-07,2.781062606654514e-07,3.6803290779423314e-06,8.110392157694457e-07,4.1909600744648415e-07,1.791994572289058e-06,3.182589743071655e-06,3.994417289877077e-07,2.8350596522828242e-06,1.621386105958392e-07,7.131476160868082e-07,4.979586741966454e-07,2.0974813335114306e-06,5.117042176780891e-07,1.4653307921534024e-06,2.9399417555740054e-06,1.665826070357516e-06,1.915964139150328e-06,2.2659375177775473e-07,4.0482774509264186e-06,4.7603698665200154e-07,3.318354595790052e-07,3.74925359473499e-07,9.996362471643655e-06,8.752715721785474e-07,1.4019821717422405e-06,9.417665891936573e-07,2.0356767023736786e-06,1.8833638609874719e-06,1.6921426392117763e-06,1.661469353718615e-06,0.0,2.928742108085431e-06,1.4531189037341728e-06,3.0658822419758384e-07,4.32540095707259e-07,1.2377810593916276e-05,8.79330217884086e-07,1.7410335992168884e-06,1.6161854370758815e-06,2.535326290751321e-06,1.4366255482099287e-06,1.3677107070152274e-06,1.1851825605179705e-06,1.4279010733204365e-08,2.754506390709007e-06,1.0108239103338623e-06,1.3871242367268113e-06,1.3629481519859887e-06,2.897345606557997e-06,4.6343015561547716e-07,8.223143165668645e-07,3.0358062498814427e-06,1.9328470449201153e-06,1.9303900773718734e-06,2.5357939055267335e-06,2.9861721830609155e-06,7.737286477992519e-05,7.293702007592534e-07,1.1553331539986051e-06,1.3206194200692284e-08,1.3688108386712862e-06,2.4190060077863108e-06,1.7410335992168882e-06,2.7349633999508696e-07,4.216608714463265e-06,2.667304462195355e-06,4.82847642282916e-06,2.9475888505318456e-06,5.5196242930902806e-06,3.994417289877078e-07,3.2385126174962083e-06,6.84219277463631e-05,9.67949241234844e-07,1.4600980382840613e-06,1.5867437467399337e-06,5.589297899314682e-06,1.8849126088405584e-07,2.945567104293914e-06,5.4558601029665375e-06,1.3921359427083761e-06,3.0228035565321957e-06,4.0430245129131865e-07,9.552620310747765e-07,3.2421535064806665e-07,1.94739523881851e-06,1.0760377207431371e-06,1.9496491051760758e-06,1.7666864982676864e-06,1.7744628026906898e-06,0.0,9.56254860278866e-07,3.838427741157638e-07,4.928724094883664e-07,2.685827420360433e-07,1.4935621341262194e-06,1.6959217425157232e-06,0.0,5.686704825018185e-06,3.4662795499792277e-06,5.308853523269546e-07,9.023116722655858e-06,1.200696710080453e-06,1.0279468608542902e-07,3.322480534528584e-06,2.9982857270385978e-06,3.958568319397612e-06,3.95323208178443e-07,2.0979322718189607e-06,6.010640672528027e-07,1.507527197786441e-06,1.8572370839044092e-06,7.643944336133683e-06,1.7018508960704932e-06,5.421131930997406e-06,1.4531619993399965e-06,2.9835909794496857e-06,1.9222312639999465e-06,2.019553742073616e-06,3.6797334496325454e-06,0.0,1.258744538922076e-06,2.9777287263719352e-06,1.3634016572164115e-06,1.4901481449111517e-06,2.0820280179003266e-06,1.8032515705265267e-06,5.482069254563666e-08,2.7716815932475543e-07,1.64630690927426e-06,1.8437150844852547e-06,7.5446915456009e-09,1.1578550227077836e-06,6.514327190402851e-07,1.4238481925541924e-06,9.635009917285719e-07,1.4851109263891661e-06,6.099357410676807e-07,1.945374243994699e-06,2.0923364783620115e-06,2.3479777449326895e-06,9.982512648653334e-07,1.8558705821980504e-06,3.0680271576455126e-06,2.6841143053426807e-06,1.5802679442153176e-06,2.833021486641791e-06,1.2697550721752498e-06,1.4287411260059581e-06,1.0431923947872294e-06,1.7008071787640308e-06,1.085047487111407e-06,1.206755067413814e-06,2.549185030945068e-06,2.033297990360661e-06,1.5131341845474817e-06,1.079931235656203e-06,1.2069267969637853e-06,5.238337158350583e-06,1.912830853374913e-06,9.27333449816005e-07,3.994417289877077e-07,3.255953537938667e-08,1.5210047157802903e-06,1.3208226443075724e-06,3.1317223912707346e-06,2.933946465551673e-07,1.7448193327752611e-06,1.7034322350489153e-07,1.2278129868364082e-06,1.5867437467399335e-06,2.4662491414381325e-06,3.554092177702379e-06,1.7392166792429135e-07,3.189997886837666e-06,5.7706537290179654e-08,3.167853976521422e-06,2.924586569863445e-06,1.0766656917781293e-07,1.5585267590236555e-06,0.0,3.760761417532259e-06,1.523070158563441e-06,1.3269113263072478e-06,9.493018590099474e-07,5.291196539193265e-07,3.1422930546626737e-06,4.091057376653584e-07,5.818481058803395e-07,1.5488724737814318e-06,5.267890367619699e-07,1.7662315183343069e-06,1.338190779657067e-06,1.325616213449742e-06,8.101871496686974e-06,2.9760033354347366e-06,2.001727491121051e-06,2.170918515319398e-06,4.914708886158677e-06,3.093489838529649e-07,1.3160154314031468e-06,1.5369523444900354e-06,1.465773395238599e-06,7.253377898374978e-07,1.3036542281546478e-06,3.138056963769953e-06,1.5280739489139877e-06,1.5046355638135323e-06,2.1046378289389413e-06,1.6761233083030345e-06,4.934801375423953e-06,2.357921021650773e-06,1.891162361230943e-06,3.9232922530262636e-08,1.5289256504297913e-06,1.6834828404824146e-07,3.0658822419758395e-07,8.171180508933435e-07,2.714732478516549e-07,6.921721348912944e-08,1.0279468608542902e-07,2.1801711953756537e-06,1.1833890052497174e-06,1.015930199516817e-06,1.5183329295463558e-06,1.5499694809997837e-06,8.139085705858171e-07,1.3036542281546478e-06,2.7789941239643457e-06,2.9787521345818566e-06,2.8304201719014286e-06,2.847499460167927e-06
Soybeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports goods,4.417833654831697e-07,3.2692709569271183e-07,3.0432224098430204e-07,4.248754926615705e-07,2.9660028599025354e-07,2.7543787893420414e-07,3.174556990902086e-07,3.285791967869561e-07,3.253542804957067e-07,3.4410398471691616e-07,3.2413261300609777e-07,2.1891793927744585e-07,4.2143747040852884e-07,3.4002488551728126e-07,1.827570103586007e-07,3.1763108684634906e-07,2.259275868019967e-07,3.189201469750937e-07,3.3212802224662367e-07,3.111096343398506e-07,3.3101892057712755e-07,3.3743485886324126e-07,2.831501936757783e-07,3.363826140909938e-07,4.4191064400546307e-07,2.9556925275325516e-07,1.974443292848086e-07,3.197229574353381e-07,3.760406023809844e-07,4.346498881577329e-07,3.2484436940195695e-07,1.6395024378886321e-07,3.911044990600532e-07,3.4442569679748695e-07,3.8558911626451677e-07,0.0,3.303448669282894e-07,2.901401258578975e-07,2.1148597863573194e-07,3.4002488551728126e-07,2.995133075274946e-07,3.3704521918693566e-07,3.340600678918883e-07,3.269867468855904e-07,3.2863676872468257e-07,3.34383050078957e-07,2.97594365516559e-07,3.379333326574214e-07,3.0010966244987804e-07,3.0901585031027106e-07,2.902931715773391e-07,3.638102909888112e-07,2.712838629277564e-07,3.973938580301174e-07,3.4002488551728126e-07,4.509491756286721e-07,2.8285974816503126e-07,2.995135112481083e-07,3.1709507435927376e-07,3.3061915022900083e-07,4.277217424372868e-07,4.852440738924963e-07,3.660556467077628e-07,3.099702413211014e-07,3.3519307663341845e-07,3.194619005986834e-07,3.2254927506226344e-07,3.340600678918883e-07,3.1064432092872195e-07,2.978223835855913e-07,3.357269836467712e-07,2.0815097314733906e-07,3.4116715412590767e-07,3.2485499115458087e-07,2.0850922350981983e-07,3.2979181668227865e-07,4.132489694043083e-07,4.419873290691793e-07,2.96712116636541e-07,3.343797664656804e-07,3.269760632937388e-07,2.965649007961764e-07,3.294884023425395e-07,3.0766982169343664e-07,3.3466268745501134e-07,3.3163595036304494e-07,3.0721712043118085e-07,3.107387238467393e-07,2.76741068013994e-07,4.240843753542805e-07,3.835874428079928e-07,3.33525503417632e-07,3.8347769719942666e-07,3.360387369734843e-07,0.0,3.5105242664575973e-07,2.3761113265040957e-07,3.6260363188701896e-07,2.2723185706791025e-07,3.341931057928753e-07,3.381461133423224e-07,4.6168118917054597e-07,3.2862810841055556e-07,3.2697980356116246e-07,3.336908253731555e-07,3.429704964064294e-07,3.2941506152277817e-07,1.4139104786605478e-07,3.8458868013876724e-07,3.242313344131878e-07,3.404517826652523e-07,3.1032350003807183e-07,3.242614135230202e-07,3.303720339699121e-07,3.197958921388156e-07,3.511545487684548e-07,4.437295973335411e-07,3.454981209203029e-07,3.368639553437663e-07,3.320797470380906e-07,3.303601054347949e-07,3.2224685817609106e-07,3.251410918211727e-07,4.3016130367485555e-07,0.0,3.393482769001155e-07,3.2656112450534063e-07,2.7141691728293406e-07,3.055666478287997e-07,2.987664039979035e-07,3.44863523064465e-07,3.1832996070251195e-07,3.0049075119984804e-07,2.8529854441268e-07,3.2652994243667275e-07,3.4707564518069445e-07,4.0061762452343355e-07,3.029650609348999e-07,3.329953123799988e-07,3.0054078556570186e-07,3.367492341381431e-07,3.066242813783236e-07,3.357753332712986e-07,3.368514391112799e-07,3.191567093050618e-07,3.257259567542652e-07,4.6126624560162885e-07,2.8374667401367825e-07,3.2079057999941067e-07,3.35989487016231e-07,3.305448979296165e-07,2.422775082341877e-07,3.256016569582131e-07,3.3441086968598447e-07,3.36587853378645e-07,3.5608278136280817e-07,3.384319368966412e-07,3.2724266176966435e-07,2.621418667439064e-07,3.3804736346289064e-07,3.4019252081461055e-07,3.3822783282619303e-07,3.289789268426132e-07,3.3750717742454947e-07,3.5280891025150056e-07,3.3822783282619313e-07,3.362505205250542e-07,3.404355460542399e-07,3.4801764643709097e-07,3.3566126657613076e-07,3.1788289360432333e-07,3.340627129727138e-07,2.869035968739586e-07,2.7058714901626777e-07,3.343797664656804e-07,3.1613395104043756e-07,3.240209038330515e-07,2.5879670888586765e-07,3.200477948775029e-07,3.1319164729422013e-07,3.356276625622058e-07,3.3016801718809357e-07,3.0318592495819346e-07,3.4094881049067874e-07,0.0,3.1257752501629906e-07,3.367427230570827e-07,3.376243068811933e-07,3.5053539319175294e-07,3.170638462115097e-07,3.356748374807894e-07,2.095538449445155e-07,3.1415374557454676e-07,3.3145452754645783e-07,3.039279412011754e-07,3.609176505094459e-07,2.960550878572029e-07,2.034395931755826e-07,3.2194340902535743e-07,3.274240759764365e-07,3.726944555118322e-07,3.2095830296581695e-07,3.2475764767622e-07,4.531941699172998e-07,4.3420964253734547e-07,2.9673534170113447e-07,3.37462473200255e-07,3.163527774639959e-07,3.2020532701088233e-07,3.058562027376647e-07,3.338180141056264e-07,3.405585586635691e-07,3.979949708223227e-07,2.9914166661570044e-07,3.264001704752952e-07,3.384829934687048e-07,3.3912456641143093e-07,3.2935533391242335e-07,3.371757082016774e-07,3.1856953859183965e-07,3.4043554605423985e-07,3.2160797593667137e-07,4.6168118917054597e-07,2.619115810560056e-07,3.286281084105555e-07,3.9644279174338463e-07,3.588088723254904e-07,4.267607258413407e-07,3.284266076573249e-07,3.1663952919607203e-07,3.826013736562134e-07,3.353396957336124e-07,3.291842712966383e-07,3.2886840776530475e-07,3.359400841672808e-07,3.338924689874059e-07
