,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.03735257948699809,0.05243975296563334,0.058222524279062986,0.035893501708418075,0.08477120735834102,0.06066123997207513,0.05385439617564843,0.044249593190442596,0.04750355461516409,0.054196083519272374,0.05385594451743801,0.05647687174641997,0.038189832151992835,0.05089991289673912,0.055338897466186816,0.04871669581046756,0.06424481854909149,0.05729107571643459,0.055644705234448394,0.05582990641878233,0.05302967990872609,0.05365315790318501,0.05289867596077103,0.05531580016914446,0.042733679831913306,0.05691813382815525,0.057393129219507885,0.05506353576019421,0.04496438606973616,0.035217676661429186,0.04642708510355703,0.02115782389525664,0.04026001665033535,0.05214977450425256,0.05402294505010781,0.0,0.062075936446423,0.05475739904700907,0.0438736583630157,0.050899912896739105,0.055184272915984905,0.05081724325422979,0.05361272114007783,0.054127377240966036,0.053590379685816,0.0518133071698234,0.053525992789848806,0.05817167976627837,0.029303103379529773,0.05620625181659498,0.07165728598721165,0.045990723243607895,0.12516311379889686,0.03990630287821865,0.05090880281961414,0.03590612050085328,0.18493379667229493,0.06319982362802594,0.0608259955118083,0.053335832396953435,0.04646827421138839,0.06291390770993817,0.03940621932951704,0.05561714859989928,0.013762341392258142,0.055143149568235204,0.05451906236573849,0.0608259955118083,0.06243212275041581,0.05528518962244965,0.053712322291782744,0.05891642202469155,0.05299573836136053,0.05393705029463062,0.057162618847634905,0.07096707017752263,0.061462363809028524,0.052670902325060644,0.05430059901267298,0.06347383291306896,0.05393705029463062,0.047160710554868646,0.053180794601298896,0.0627337854385638,0.054213625501609325,0.053017877775392866,0.05579433447074711,0.05134076754108007,0.04014975021034983,0.06236012341598724,0.04757075316254296,0.05429826328176166,0.061004158815301746,0.05343716915536336,0.0,0.04546519925746941,0.05968781331228774,0.04425091719457855,0.0537381963465332,0.05348645274253017,0.054016028897650954,0.05369076273309283,0.049670614522407716,0.05312839430339587,0.05014193983451553,0.0554328538763248,0.08591406933724327,0.07040310424280567,0.044135417103355154,0.07205581302839133,0.05151529278575468,0.04943326166842769,0.050593515639757905,0.05017425633081523,0.05334460855596965,0.05224834260659491,0.035447426958279994,0.05456906162121844,0.05423505437761953,0.05373735818912765,0.05860395053816163,0.05449446087278905,0.05368813683830106,0.04319377420413669,0.0,0.053802990423218996,0.06419542375183043,0.05675074639328534,0.057070018630785084,0.057306212249321885,0.05199378917139463,0.04116042397558951,0.056141938437573105,0.055248112913611674,0.05235338142007925,0.04606920649677548,0.04854618809508503,0.05780389861435575,0.06258598016979185,0.08635225661369723,0.05363038025779057,0.06459721090561604,0.05310377971578449,0.05445178380628201,0.05768374034227969,0.051458851965203375,0.03441199413111495,0.05317289244271155,0.056155671581772086,0.05301021581074865,0.08499073148303296,0.061274106514153256,0.05376451772672888,0.05565328563189996,0.07776753539632479,0.046763742620217534,0.05535818578243402,0.05563446156125613,0.057613115360883,0.05374457612245793,0.050794944390148256,0.05565328563189996,0.053965135088505284,0.05354114461330187,0.05138091098614337,0.05504802164821836,0.050215715632769414,0.05337441068542435,0.05168199184676966,0.053265430002524074,0.05433814360730725,0.05384840039125741,0.08315238333476647,0.03819196389946418,0.06347383291306895,0.05621700576708521,0.05391235334993101,0.08239671708097296,0.05491626555695457,0.05329929223517282,0.05356472104249694,0.051060339085768236,0.05561856244737416,0.05369076273309283,0.0,0.05919108460608787,0.039168552064498555,0.06974324083618787,0.045256454743167036,0.05983924291173407,0.052946315265212034,0.05433917465241573,0.07213274860901563,0.05246684915208772,0.07116209030786046,0.04335775707940772,0.05703597259344342,0.05730822604196228,0.05607752268092411,0.0630070607449413,0.03495608780702717,0.05607006506584716,0.04767619163800952,0.03392041061706086,0.04439476418924465,0.05573271869565083,0.053388388063730065,0.050751695454254016,0.05328880960240167,0.03777211676339765,0.053507098877218176,0.05409105628480419,0.044019717409516344,0.059956305863829724,0.03274071375907948,0.05348703178891418,0.05353356955951425,0.04561897505951745,0.05257257275362287,0.03889865936245463,0.05563446156125613,0.055848982799819605,0.03377067250698622,0.029723832079616694,0.0556344615612561,0.046260933828726335,0.039168243838061945,0.035334079145336615,0.05379981585558663,0.05307941576063313,0.05654237946016114,0.05328880960240167,0.05435166810870291,0.06561460314743309,0.05808092025752008,0.06092673940856659
Agricultural and forestry machinery,0.0002727644965218378,0.002673426021976987,0.00208307716651411,0.00014424316305448358,0.03640109415177676,0.0010670034634184167,0.016512041960896725,0.0005988043026113481,0.0035944816977821936,0.0006085032897122157,0.00026106977237254456,0.0005258259448826142,0.0003502510803321828,0.00026090164890706633,0.00035604940666916367,0.0019955940545835116,0.0009229167036482364,0.0004961318505542977,0.0009395342537663441,0.0006243792852235039,0.001005636457544538,0.0009292021220676561,0.018692725739529115,0.0253128868979142,0.00021071289994351624,0.0011457925415505061,0.0005748724973294677,0.001118932861926317,0.0004090261226917301,0.00014846712696133896,0.0005581860138660475,0.00047531061726819516,0.0003570911094265734,0.0007904654184607901,0.000990144842207185,0.0,0.0012253838893200794,0.0007322650367190897,0.0002859142793311331,0.00026090164890706633,0.000585604581535028,0.0016782659809245607,0.0008891373235310353,0.0018635771245764047,0.0007229271911332268,0.00168442963049443,0.0006978992121086973,0.0007117933218326965,0.0006325258901158483,0.0015700373640101563,0.0009163774264756471,0.0013653626659688191,0.0007240163920559993,0.0003939515406269507,0.00026090164890706633,0.00027719116749727043,0.0869691871339592,0.0004212177379625835,0.0003985374942214442,0.001142678942142741,0.0006628019661050014,0.0006326993625033359,0.0020237821568306375,0.011343666492678955,0.000793850722226791,0.011486618860713163,0.0010667151796363123,0.0,0.0012177927840921936,0.0004410599142358444,0.0007767733367735366,0.000392182185866029,0.0008233542208340065,0.0007336969112553981,0.0005258259448826143,0.0026645059378041223,0.0005793299487416367,0.0006180944155614135,0.0008164547107541683,0.0034269265152903805,0.0007556719407652574,0.0018673120864486107,0.0014904316300300736,0.0011787871688068757,0.0009234683713047156,0.0012158955488730358,0.0008475092865481179,0.0012143241920555448,0.000527524514410047,0.0005999772259328479,0.0018652933830191263,0.0007488548441434869,0.0006761758716644131,0.0009495155077024682,0.0,0.002071727181590256,0.001908623309866015,0.0004369190466858815,0.0014129316515153528,0.0008545611239930534,0.0010487069739874052,0.00014424316305448358,0.0007306081550673784,0.0010721436050516286,0.0032295539386299273,0.0008759470404030014,0.006863525149160038,0.0005880857685332796,0.0004856515281173992,0.006141614577717756,0.0006072712814355222,0.0007701272441790964,0.0011081091793252009,0.0010201785458245512,0.0009387546506959397,0.0007837740532477823,0.00022573542870890154,0.000777835396195453,0.0009179926483876916,0.0007393058596574308,0.04971209190916027,0.0008093724939642942,0.0032718630314732223,0.00028252370509443376,0.0,0.0009772533135646694,0.0007108557857823482,0.0021851132436546683,0.00046627442759693516,0.0008085946315351268,0.0005183545280759613,0.003368740054506525,0.00268560209462593,0.0031819687043113634,0.00239951824705272,0.000749463914528975,0.000502570117723064,0.04255361914506523,0.0014383894631691187,0.0031058358265416116,0.0008518037410191359,0.0038994442428532425,0.0008481242261984339,0.0006529413786585997,0.0009132787257267275,0.0011842805949006706,0.00014424316305448358,0.0006341265225258487,0.002665769382188308,0.0008526501496015842,0.0009157947552702715,0.0025063206461092553,0.0007424043970224824,0.00032987319547525524,0.0011994660698953028,0.027638938778043794,0.0004991170092776578,0.0006208620922633271,0.0004864982250502978,0.000982085137796703,0.00027532820089829396,0.0006859210522950726,0.005344666661941999,0.005352724895695404,0.002082860411356832,0.0004820602576023899,0.0012032392277025218,0.0009855998099791478,0.0007175352888282664,0.0006479807550093985,0.0005094680291047486,0.000889137323531035,0.0008651101106043558,0.0005030923628918202,0.00342692651529038,0.0005883843951583371,0.0072332461098463825,0.009941942755668677,0.001155234146549058,0.0007900521867632625,0.0024316682866587615,0.001734634511213353,0.004091828838723088,0.0006698136552202171,0.0,0.0007607028351289491,0.0006456675774372819,0.00165944857227706,0.0009564332081316063,0.08057466943898133,0.0020961483030743685,0.0005084735211171473,0.0016150665380715514,0.0005623227310912768,0.0006135411813909915,0.0006554394927959993,0.0017506590657363989,0.0005874191914789099,0.00046859761750199714,0.0008424688038100865,0.0001560458173241892,0.0026436875059427296,0.021685000881775704,0.0002402798238611506,0.0021268771638046635,0.0018271243981337645,0.000758914919703827,0.0012834718557392629,0.0004961318505542977,0.0008249333227442945,0.0007556497590795804,0.001359678594298019,0.00046271017036039394,0.0031910919994941256,0.002507924932233537,0.0008067700831080744,0.0006491752567577526,0.0009095654509463362,0.0011626236228312382,0.0006241095678587341,0.0002927040236605137,0.0005193495358763015,0.00014424316305448358,0.0014813228889501997,0.0,0.00022044771713548335,0.0005328458808972572,0.00025616711457469344,0.0008465901939042894,0.0006662099982265401,0.0005819992293606345,0.0007778807102690802,0.0034329783678498527,0.0007920600861999732,0.0010853259942962168,0.0037812330100680993
Aircraft and spacecraft,0.00021077813534458863,0.000704591209471953,0.00018073291112060005,0.00019975711820563073,0.00013741733338393385,0.00019780819298662297,0.00021024322989012716,0.00020643590659669278,0.00015693972710189295,0.0002381362102754252,0.0001940090824225487,0.00014653018413781388,0.0001794200008124454,0.00013791621722134472,0.00020216194829549605,0.00023799921016491251,0.02567169520704352,0.00019731269288177872,0.0001837796736760933,0.0002281903801475957,0.0001914389762103749,0.0008375300184264602,0.0002090199224294149,0.00021045728150203243,0.00020008042786960514,0.00176547800638723,9.95648247673257e-05,0.00022149143788583183,0.00021746236799791553,0.0002199833553788891,0.0001871560032678337,0.00019374729919491602,0.00022357194226842913,0.00022258124787332317,0.00010520827691686975,0.0,0.00014728623735545354,0.00020247580377972743,0.0001944548961074611,0.00017064954778914972,0.0002483463140236987,0.00014699006505573895,0.00017974217745903365,0.00012438171010857973,0.00021256522663427703,0.00019062211992283945,0.0001579076514598346,0.00017110114437861784,0.00015632004357707117,0.0002119718956069379,0.00015768541449380315,0.00021826137233861063,0.00014603146002472635,0.0002228723026548378,0.00013791621722134475,0.00017821765942775756,0.0002478986548856418,0.00014838858769989608,0.00019186515674751367,0.00021059619214204692,0.00024487747690323707,0.0002320299414248044,0.00020539305774371278,0.00018575889933642668,0.00021783015492226238,0.000197324899681187,0.055207997061649874,0.0,0.00015713910861755114,0.00021464908165784338,0.00022556055428574534,0.00014238044772388927,0.00011834612533399483,0.0002442030246550213,9.956482476732571e-05,0.00021029811197784807,0.0001922883592173155,0.0001727699616429389,0.0001560005815587525,0.00021648758651227073,0.00024469517342471845,0.02822123910230857,0.00020809723208164077,0.0002081878864861039,0.00018698917341077034,0.00024464211719186997,0.0001281636812315398,0.0002090649684673196,0.00019447498814475407,0.00021059948648414069,0.00016674767889196228,0.0002095180102912747,0.00021656104895575293,0.00019729506452263469,0.0,0.0002129355532653133,0.00034441405368449156,0.0002202698352154035,0.00021669261186850488,0.0001872444968842829,0.0003298481197746943,0.0001937082276830701,0.0001534442783347467,0.00019377912752624018,0.00021697628464371682,0.00020336135332664783,0.0002241298439565207,8.892988068761416e-05,0.00021902543565466897,0.00021029811197784807,0.00019760765037085286,0.00018519249952532005,0.00019729898109163571,0.00016445760976434838,0.00020944543187345453,0.00015037689908897425,0.00022257379563607902,0.00021073617820938876,0.0005724942146105741,0.0001892170836881201,0.0001910863237008382,0.00021068339724818986,0.00019119565329613934,0.00021371288832862135,0.0,0.00020166661538979173,0.0002070863105510073,0.00025223544666093964,0.00020629495296150809,0.00022424589392163388,0.00019214980954200398,0.0001190875812931387,0.00020437870147887462,0.0001078515388032721,0.0001722226324926966,0.00020278050154160816,0.00024457428319489327,0.00020442060475620415,0.0014241742437878613,0.0002001492801714689,0.00012985145538461308,0.006154704666229641,0.00020549569455721378,0.0,0.0001814271998466824,0.000151288190853294,0.00023641292404667753,0.00019784003522445092,0.00017440698378495907,0.0002626610826656995,0.00020423395433774894,0.00010682834034625719,0.0001115572084737772,0.0,0.0002008547488123365,0.0001979540454694792,0.00022116134566427432,0.00021668775923409545,0.0002052399952379257,0.00015832826865206417,0.00013791621722134472,0.00019952387135795018,0.00019332862451781674,0.00019040638409546695,0.00013246720645683,9.95648247673257e-05,0.00020208094301701386,0.00018306063251862518,0.00021730635846881156,0.0001821408867203456,0.0002133621936578207,0.00019103348906763745,0.0001281636812315398,0.0002194989977478964,0.00021648758651227073,0.0002192637418112527,0.0002247444388325284,0.0001612129884992414,0.00019103348906763745,0.004823515435859257,0.00020976428621409464,0.00047784647446064984,0.00020336000186713915,0.0001937082276830701,0.0,0.0001987446832237221,0.00015118293314813917,0.00019509886991942265,0.00021347962420506349,0.00019369453311082687,0.0001493547773901016,0.00017834614465459252,0.002255660944856565,0.0005424085558300993,0.0001876925987081641,0.00022120703884314163,0.00020930875712726953,0.0002262876328750298,0.00022463709289547712,0.00016260582909078655,0.0001746671618903598,0.00020555115675269613,0.0002030688631338893,0.0002030112718213136,0.0016307199205571423,0.00015159806414770014,0.0003141759921997427,0.00019510307067925972,0.00016276845006258611,0.00019653330822298637,0.00016458033485370764,0.00016335716058661978,0.00021678370404264638,0.00011292183072762285,0.00016311902038960145,0.00019760765037085294,0.00021843013361454145,0.00019535813539147778,0.00020409659042716071,5.5888906843165153e-05,0.00021098462748486135,0.0001744084969514531,0.00022116134566427432,0.00021366043920681454,0.0002446951734247185,0.00021987941143686675,0.0002132473829238927,0.00016384963294557354,0.0001854761691751379,0.00014377718016178226,0.00015509169759511375,0.00024548010976033056,0.000201155706610125,0.00020185054304782383,0.00019405883208668264,0.0002035619366025003
Animal feed ingredients and pet foods,0.0,1.0000000000000224,1.0000000000000224,0.0,1.0000000000000189,0.0,1.0000000000000224,1.000000000000023,1.000000000000022,0.0,0.0,0.0,1.0000000000000224,1.0000000000000213,1.0000000000000209,1.000000000000022,1.000000000000021,1.0000000000000233,1.0000000000000224,0.0,1.0000000000000209,1.0000000000000229,1.0000000000000213,1.0000000000000229,1.0000000000000226,1.0000000000000218,0.0,1.0000000000000215,1.0000000000000215,0.0,1.0000000000000222,1.0000000000000218,1.000000000000022,1.0000000000000222,1.0000000000000222,0.0,1.0000000000000229,0.0,1.0000000000000226,0.0,1.0000000000000218,1.0000000000000226,1.000000000000023,1.0000000000000218,1.0000000000000226,1.0000000000000226,1.0000000000000229,1.0000000000000213,1.0000000000000226,1.000000000000022,1.0000000000000222,1.000000000000023,1.000000000000022,0.0,0.0,0.0,1.000000000000019,1.000000000000021,1.000000000000021,1.0000000000000226,1.0000000000000218,1.0000000000000215,1.000000000000022,1.0000000000000218,1.0000000000000215,1.000000000000022,1.0000000000000222,0.0,1.0000000000000218,1.0000000000000218,1.0000000000000215,1.0000000000000222,1.0000000000000224,0.0,1.0000000000000215,0.0,1.0000000000000215,1.0000000000000226,1.0000000000000226,0.0,1.000000000000022,1.0000000000000222,1.000000000000022,0.0,1.0000000000000222,1.0000000000000213,1.0000000000000218,1.0000000000000215,1.0000000000000222,0.0,1.0000000000000226,0.0,1.0000000000000218,1.0000000000000226,0.0,1.0000000000000215,1.0000000000000218,1.000000000000022,1.0000000000000215,1.0000000000000226,1.0000000000000222,0.0,1.0000000000000222,1.000000000000022,1.0000000000000209,1.0000000000000218,1.000000000000022,1.000000000000022,1.000000000000022,1.0000000000000218,1.0000000000000224,1.000000000000022,1.000000000000021,1.0000000000000218,1.0000000000000226,0.0,1.0000000000000215,1.0000000000000226,1.0000000000000229,1.0000000000000226,1.0000000000000213,1.0000000000000213,1.0000000000000215,1.0000000000000218,0.0,1.0000000000000226,1.000000000000024,1.0000000000000213,1.000000000000021,1.0000000000000207,1.000000000000023,1.000000000000022,1.0000000000000218,1.000000000000022,1.0000000000000222,1.0000000000000222,0.0,1.0000000000000202,1.000000000000021,1.0000000000000207,1.0000000000000226,1.0000000000000218,1.0000000000000224,0.0,1.000000000000023,1.0000000000000215,0.0,1.0000000000000215,1.000000000000023,1.0000000000000222,1.000000000000023,1.0000000000000226,1.0000000000000224,0.0,1.0000000000000213,1.000000000000021,1.0000000000000222,1.0000000000000213,1.000000000000022,1.0000000000000222,0.0,1.0000000000000222,1.0000000000000215,1.0000000000000222,1.000000000000021,0.0,1.000000000000021,1.0000000000000226,0.0,1.0000000000000224,1.0000000000000215,1.0000000000000235,1.000000000000022,1.000000000000022,1.0000000000000226,1.0000000000000229,1.0000000000000218,1.0000000000000224,1.0000000000000229,1.0000000000000226,1.0000000000000222,1.0000000000000218,1.0000000000000218,1.000000000000022,0.0,0.0,0.0,1.000000000000022,1.0000000000000224,0.0,1.0000000000000213,0.0,1.000000000000022,1.0000000000000218,1.0000000000000229,1.0000000000000213,1.0000000000000222,1.000000000000022,1.0000000000000213,1.0000000000000224,0.0,1.0000000000000213,1.000000000000022,0.0,1.000000000000022,1.000000000000022,1.0000000000000229,1.0000000000000218,0.0,1.0000000000000215,1.0000000000000226,1.0000000000000222,1.0000000000000215,1.000000000000022,1.0000000000000215,0.0,1.0000000000000226,1.0000000000000222,1.0000000000000218,1.0000000000000213,0.0,1.0000000000000222,1.0000000000000226,1.0000000000000229,0.0,1.0000000000000218,1.0000000000000224,0.0,1.0000000000000229,1.000000000000023,0.0,1.0000000000000222,1.0000000000000222,1.0000000000000229,1.0000000000000233,1.000000000000023
Articles of concrete cement and plaster,0.000984914105681148,0.047117198124812264,0.0028073531515643607,0.00023561085673110368,0.2000045144377943,0.0004925561526102161,0.04643345071919134,0.034902294040079815,0.0005359408707881852,0.005937818930194424,0.00020970094048771248,5.620224771575208e-05,0.0007866806567133333,0.0003785553764375386,4.10325947208805e-05,0.000932427520603369,0.009258360290551599,0.00011199920151877416,0.005008656622921995,0.00025493102086779693,0.0043261795328862025,0.0073447952129087404,0.005450166796671162,0.055854413650538066,0.00046615164123260894,0.0009866078605902846,7.518395803456513e-05,0.0023467045031287785,0.001383555277138404,0.00029805120637095924,0.02139155426004554,0.007625122915909962,0.0009079749712306643,0.006278558018409969,0.02271058391554087,0.0005334187133041131,0.010143902945616585,0.003023379222694363,0.00020970094048771248,0.0003785553764375386,0.00041125381157821006,0.042551570582816785,0.006305790848061113,0.004330450323169759,0.004443329993997455,0.011634296498723738,0.006501827293054817,0.004702091695799485,0.0003734148444111158,0.010404875255290004,0.0006370442429261814,0.0010818336421354838,0.001139492817937978,0.0009377228468128498,0.0026364302609248333,0.0005964163553517364,0.047638855048551,5.488723949109724e-05,7.3653733002338e-05,0.010580290563891837,0.0013813290791578703,5.620224771575208e-05,0.0005334187133041131,0.029487290085291336,0.0009606646502292838,0.07824064521762567,0.06501432579394603,0.0,0.0004944676444974706,0.0001320520628559046,0.009366959716520056,3.5525543371185506e-05,0.00500795647937036,0.002431284623828348,7.553573008253017e-05,0.04906469348825343,7.543754609985615e-05,0.0051495681053229,0.004748945484775694,0.017886951878401912,0.002431284623828348,0.0011455569491352225,0.008277241112330948,0.0007601964855053315,0.006043564891456872,0.008575953392605003,0.00021195044917510927,0.007146793900654205,0.0015058445288011878,5.8112099477315276e-05,0.001434484628686774,0.0058301404696998425,0.0041114785980696225,0.008514777763739486,0.0,0.005104273270955261,0.0002494763190334725,0.0015001115712258558,4.444112447521399e-05,0.006249192825592712,0.022712720177070614,0.0,0.00038976002264556615,0.10044614370299858,0.004187750604723435,0.0004127392850601862,0.018412140043797372,0.00013610190876962516,0.002681196357023912,0.06770720349325293,0.005812001275044257,0.00014409295486830052,0.021860838235913914,0.00012291122461517636,0.006194707941672138,0.005004591480085692,0.00044587502957428024,0.005763194543964931,0.03684517602797042,0.006196673028668092,0.06985921147215161,0.04201549077984223,0.07798769074487169,0.0008999196498810113,0.0,0.04615368358673394,0.010358777945738487,0.0001248940286447371,4.193560895538984e-05,0.0001478773957627339,0.008288855810090782,0.0002607203722714315,0.00048458367176146294,0.02865926743874884,0.008889425450738132,4.483800578975931e-05,0.006490490944241665,0.0920256113549182,0.0008613556105398951,0.004624058374621987,0.006460126932455614,0.03531362882244203,0.005691172978895194,0.0058036955131596955,0.004367692911813829,0.006656507679005762,0.0003097608794277467,0.016963499802321497,0.010710131982939734,0.0061223243858132895,0.010252807423570003,0.001610358401942081,0.004083711257255755,0.00435899020700226,0.016078132690924365,0.0010968776857922782,0.004615085582665053,0.00012758047172831564,5.2072803403491384e-05,0.019379308916740265,0.0008245549439028029,0.004615085582665053,0.041579539426651255,0.01058453779485136,0.013902578865051814,0.0046150855826650565,0.02828516463580811,0.006185084818810294,0.006036175647772822,0.005229389209381072,2.3269906751199747e-05,0.006294601313789752,6.393731867931614e-05,0.02044840062784543,0.017886951878401905,0.004198848432288173,0.000685828188004822,0.001417005715556247,0.003267761362581109,0.009348456284766419,0.07376422710698513,0.04633178075045931,0.0003982785460455028,0.0022256026958063667,0.0,0.004268991529583977,0.005732940150570254,0.0199646475762944,0.001498129831602822,0.003920211590544506,0.028006609415883753,8.760097263758664e-05,0.02182004831031102,0.02992187135434321,0.0011781156998317984,0.006725465310420679,0.00010397603228005852,0.0010956102916986259,3.201233896374979e-05,0.010148057370849416,0.00032636993490030525,0.01643621840492647,0.08255361557605817,0.00041953171825782144,0.004904856441742863,0.006713132920546542,0.006176623937359512,0.0013160570191629265,0.005427283081842974,0.0005167908373314666,0.005903136444153821,0.005316135720863322,0.002403290457395098,0.02655398900389409,0.00042372152388459,0.005008871683761864,0.0057509730358149816,0.000685883184472774,0.035821876553945746,9.910390426099763e-05,0.0,0.039843838126610215,0.00023309564743414162,0.00014959050867242093,0.0,0.0006224080613105198,0.004129925291560158,0.0003891161096638342,0.006328398178716042,0.0050102391459258475,0.0013504814512987448,0.005427283081842974,0.0447141786074856,0.010323704061072416,0.011713684500913051,0.009895542592216644
