,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.09090720759432e-05,6.786577371973906e-05,6.805540295082284e-05,6.771104302253407e-05,6.162689048629463e-05,6.358973356230777e-05,6.86402628392587e-05,6.595294087134059e-05,5.603334500451683e-05,6.98437305158207e-05,6.815303748254301e-05,6.666413144477507e-05,7.327277609996262e-05,8.017332009259355e-05,6.68659746662395e-05,6.030348741643233e-05,6.889780875003053e-05,6.627006939966905e-05,7.029585236054153e-05,6.81095946512982e-05,6.820274604116027e-05,6.985908263402188e-05,5.09775729024303e-05,6.779118829666437e-05,6.314183465339917e-05,6.381732381852781e-05,6.75370381595639e-05,6.490341053498928e-05,0.0002521798633648534,6.165302239672964e-05,0.00012540145384870135,2.8750841880459996e-05,7.090866976657936e-05,6.85961572562931e-05,7.001284074343026e-05,0.0,6.778731336175742e-05,6.954221658512708e-05,7.008261086563604e-05,8.017332009259356e-05,6.78428873871219e-05,0.00011428746509890074,6.984746063764833e-05,7.129396812275504e-05,6.924890543667744e-05,6.812954362997342e-05,7.066349277194917e-05,6.854522354124918e-05,0.00022317160977685426,6.669648934964529e-05,6.494387964672238e-05,0.03177095800651685,0.002840528411235078,0.00010472961401888903,8.013244450674815e-05,6.182185715662331e-05,6.0224752668837485e-05,6.760998939025478e-05,6.789695297003805e-05,6.950394954011346e-05,6.63755268201932e-05,6.787875341043765e-05,0.0001030422157990896,6.446159971642614e-05,7.245531787432778e-05,6.230133128962861e-05,6.872440668933188e-05,6.789695297003805e-05,6.282731569497496e-05,6.81230849145043e-05,6.938800523840558e-05,6.799999888000726e-05,7.053678050723724e-05,6.701703364486139e-05,6.761393772159167e-05,6.645637561770685e-05,6.763214468426184e-05,7.06722146412212e-05,6.646134201402258e-05,5.883366255707435e-05,6.701703364486139e-05,5.6513847706655135e-05,7.90768594470877e-05,6.568307650972099e-05,6.838959116931971e-05,7.08606127145427e-05,0.0003334229248128278,6.461963428210977e-05,5.216132858303557e-05,6.742773032909743e-05,6.790148415412063e-05,0.005063879046483538,6.967305723125703e-05,0.00010025615722773562,7.067747463871031e-05,0.0,0.0005543399707256478,6.429807024910695e-05,0.00011926086318334313,6.487227348111578e-05,6.94425586150721e-05,7.006359594516837e-05,6.888118625977076e-05,8.296168579084837e-05,6.787829658301726e-05,6.349515512081822e-05,6.72447411761489e-05,6.286752524307628e-05,5.494876068229785e-05,9.115001830765099e-05,6.406538305503942e-05,6.946459286166804e-05,6.121570104967707e-05,6.732622158088221e-05,6.192444209731457e-05,6.953095262253167e-05,7.333014446719044e-05,6.185518560416589e-05,6.95139309497809e-05,6.966366521932743e-05,6.943593171147982e-05,6.676577329088861e-05,6.820977980872891e-05,6.618511991993754e-05,7.250693794561705e-05,0.0,6.948250890467496e-05,6.80707411684284e-05,6.567456147285077e-05,6.751094960304378e-05,6.67931786791651e-05,6.923363260007931e-05,4.4588009418749845e-05,6.308092035903673e-05,6.885429725387145e-05,6.837199720829664e-05,0.00014454777935516777,6.159236027555469e-05,6.410517704429612e-05,6.640343995823883e-05,6.478795666572888e-05,6.955651513652111e-05,6.431966171143141e-05,6.883784171980924e-05,6.963448821607356e-05,6.83689582141857e-05,6.4378706272874e-05,6.133108275303012e-05,6.6394294389004e-05,6.911863648202218e-05,6.94246685397779e-05,6.764716117655219e-05,6.452423745696752e-05,6.854930585247246e-05,6.888494300249579e-05,7.798720018724778e-05,0.0018136858839461758,6.958575031671328e-05,6.838382039383063e-05,6.782236283908068e-05,6.987984245725957e-05,7.823996613495911e-05,6.888494300249579e-05,6.836745534263505e-05,7.067552167094795e-05,0.0011445575145780135,6.818074237135013e-05,0.0006038726217502602,6.97199854104621e-05,7.37323262707314e-05,7.061745101008101e-05,6.541582791534266e-05,6.871006727987484e-05,6.439918603391266e-05,0.0001126695964522131,5.883366255707437e-05,6.67075752733763e-05,6.816163360505605e-05,6.62084064454295e-05,6.710322617538162e-05,6.919606622537012e-05,6.598332803382078e-05,6.556621932666789e-05,0.0011875216241547819,6.888118625977076e-05,0.0,6.750615116910817e-05,6.36810801139118e-05,6.789050369885648e-05,6.775628782877222e-05,6.841831331463973e-05,6.820498239803858e-05,6.449556088881712e-05,6.900384470985316e-05,8.305674642019326e-05,0.0002406476027925455,6.784384671680479e-05,6.433709021456491e-05,6.720567328278694e-05,6.877724006664634e-05,6.151000473480371e-05,6.709175448346047e-05,5.7827223447536604e-05,6.139021368844515e-05,6.467200594047848e-05,6.88961924210482e-05,6.914744921999601e-05,6.306629820395848e-05,7.100872072202149e-05,4.720054985712192e-05,6.98785214121914e-05,6.989138976964151e-05,9.807960638958145e-05,6.263833359747295e-05,4.126757972019902e-05,7.226768309410246e-05,7.32882561661936e-05,5.890737106592991e-05,7.83436354384662e-05,4.343835478065057e-05,6.838382039383065e-05,6.14159287060657e-05,6.114432153553975e-05,3.643125658709558e-05,6.838382039383065e-05,7.350430025218892e-05,0.0002963423964122916,6.126531050406926e-05,6.970393112184543e-05,7.070589388644424e-05,6.819759224667866e-05,7.100872072202149e-05,6.928418341143899e-05,6.810414031414378e-05,6.87828374865279e-05,6.812584065630392e-05
Agricultural and forestry machinery,2.2578577700299578e-05,5.0859818751900705e-06,5.453834505562434e-06,7.128863755440174e-06,3.529048813954645e-06,2.077321915810491e-06,6.219229017233574e-06,8.788931663982444e-06,4.19090336265847e-06,5.184150060524594e-06,3.1563196145971226e-06,1.9682316031280032e-06,9.446098006481891e-06,3.1556324889037444e-06,1.4773463106799204e-06,4.951523709149804e-06,6.223889196105539e-06,5.011337603219347e-06,5.673876985474053e-06,2.857411238880906e-06,5.019355094443247e-06,5.909671928480371e-06,2.789939644776922e-06,5.818237059050279e-06,6.990547386187245e-06,4.014872928160429e-06,2.1541645106038378e-06,3.2383604879403367e-06,0.0032108905516724153,7.088418741504924e-06,4.592901536142206e-05,1.0323696150548993e-05,3.832346881102368e-05,5.276236029449474e-06,5.5833853827893715e-06,0.0,5.459202604035923e-06,2.823741592051259e-06,5.157788516683477e-06,3.1556324889037444e-06,2.4558287288654494e-06,4.653021151954711e-06,6.503711137203354e-06,4.916023146625592e-06,5.119349446755887e-06,6.358632217255258e-06,5.177860764870985e-06,4.235935778581311e-06,6.658203411377556e-05,4.91572896325007e-06,2.6735525651366373e-06,0.00238619538503238,4.2715212620323464e-06,1.565764708130833e-05,3.1556324889037444e-06,7.621379215958748e-06,2.47877083784986e-06,2.440461782809929e-06,1.9801523108081064e-06,5.00975152616039e-06,0.00034637812638361223,3.719216368734734e-06,0.0020635013187540567,4.0964346821416185e-06,8.247003081670931e-06,4.2005186192163565e-06,3.3377067946531155e-06,0.0,2.1071487829448774e-06,2.7471364776055197e-06,4.044672325912769e-06,3.2864129636681897e-06,5.15110320717296e-06,3.3852437774382723e-06,1.9682316031280032e-06,8.783612372387742e-06,3.2964480064334473e-06,6.5081278745883615e-06,5.057556904976857e-06,6.034745746528925e-06,3.1461321718094494e-06,5.054796393551453e-06,7.247398060427942e-06,2.195175659841234e-06,5.742517879653158e-06,5.485379609834824e-06,2.6197554782334935e-06,3.961358593317134e-06,2.3414631122028644e-06,3.415507200699833e-05,3.4293969167021488e-06,0.025175655183602957,5.081792351684913e-06,0.0002638725546066117,6.1565040048118675e-06,0.0,0.02075807228576107,2.1923655497907292e-06,5.238395695550607e-05,2.90501142809873e-06,6.0306424870648505e-06,5.9090469899047826e-06,7.128863755440174e-06,4.385801908715974e-06,6.220954197320848e-06,5.3685568018738e-06,4.128644498714301e-06,5.698011054186843e-06,1.5336619989366162e-06,9.968418737520341e-05,4.453868392269739e-06,3.7168969210433402e-06,3.3199798596172036e-06,1.694283378024699e-05,5.3529837897555625e-06,5.8129289330978955e-06,4.174686767404636e-06,7.035745117814343e-06,4.0434144847432525e-06,2.8450059663432378e-06,5.452153698622271e-06,5.667845930883188e-06,4.2329499019537254e-06,5.191066333552659e-06,9.31542194317492e-06,0.0,5.685757653413882e-06,4.647057602184948e-06,2.7912096100996403e-06,2.5803580883499236e-06,2.6520211263079854e-06,6.4519054454247914e-06,3.4938841582960702e-06,3.6010928810606205e-06,5.826249227090326e-06,5.410837506732431e-06,2.0869796283110616e-05,6.842905364863468e-06,5.365935748715924e-06,5.317285909602961e-06,3.027895095107607e-06,5.973730233967841e-06,4.283234209536308e-06,5.3591328262991936e-06,4.113939778603018e-06,5.110860084820832e-06,4.037385269706011e-06,7.128863755440174e-06,4.221442699170227e-06,5.9910151136956936e-06,5.0256509969609755e-06,5.409830441153761e-06,3.0686415718532864e-06,3.921261652455366e-06,3.2772543243178447e-06,6.025650779742891e-06,0.03304739737275036,4.671519418003956e-06,2.8572029954615553e-06,2.5965016009952984e-06,5.838648651505461e-06,3.1979806413643606e-06,3.905095745836068e-06,3.7745629233587342e-06,5.110614341572338e-06,0.0048531007935872774,1.011799293278013e-05,1.371786171830424e-05,5.643189514090751e-06,6.5979517115430794e-06,4.606695287261723e-06,2.3025782232022953e-06,6.503711137203354e-06,2.2266480677317153e-06,3.8221250654258145e-05,6.034745746528925e-06,4.210541932311407e-06,5.56997484558775e-06,2.6944149917941483e-06,3.5652661252455907e-06,5.670062395530026e-06,4.001644246959437e-06,5.732352550043908e-06,6.735981691538014e-06,6.0090774808056895e-06,0.0,3.4475810472243725e-06,4.289747609055233e-06,5.373523311956651e-06,1.9826541208728104e-06,4.20996807482601e-06,2.1989271095797833e-06,3.4936715703091633e-06,6.955124567405445e-06,2.1405909460793842e-06,3.645053890048846e-05,3.080945001880598e-06,2.268043654799098e-06,2.8084290691886804e-06,5.094242392382547e-06,7.017779049698133e-06,5.144432668584091e-06,4.9701843879507425e-06,5.517929640627179e-06,4.152504477488548e-06,4.18944481402181e-06,5.7696975140427736e-06,5.136154297637494e-06,5.011337603219345e-06,3.953595705698115e-06,5.007017995303608e-06,5.225011607381148e-06,7.955181036749539e-06,4.004486661926209e-06,7.803649766010151e-06,5.0587480532007825e-06,4.116066436540742e-06,9.82577527253865e-06,6.1943298366299515e-06,2.943498472055968e-06,5.162973780750298e-06,7.3716739413509235e-06,7.128863755440174e-06,2.9701697220928035e-06,0.0,4.220495166296831e-05,2.11521232138862e-05,7.435241228376453e-06,5.486589680434971e-06,4.2885946186949495e-06,2.615021121479412e-06,5.127487272654518e-06,5.417825911800615e-06,5.3264931030375615e-06,5.589132753177422e-06,5.304169299156821e-06
Aircraft and spacecraft,2.161621859855609e-05,0.0005473193559339096,3.219369250083563e-05,2.5125552262740842e-05,1.156339890250324e-05,1.5661990521951178e-05,1.8111441071335857e-05,2.991378550431962e-05,1.4897185424500293e-05,1.768978713661124e-05,2.391687762506027e-05,1.4053233816866077e-05,2.0003343715196436e-05,1.5509275064406924e-05,2.192758526437468e-05,1.8390897486759276e-05,6.390418035047581e-05,1.6991789487637432e-05,1.6962015830551064e-05,1.8827443393707954e-05,1.9850812989713258e-05,1.7664008305772457e-05,3.226159447677074e-05,1.803310580984098e-05,2.3669506572474963e-05,1.8096610432077872e-05,1.0958939805464474e-05,1.8871634965879053e-05,0.00018192766522236346,1.7956340310627906e-05,1.758256410130828e-05,1.765124204073964e-05,1.8136783361342106e-05,1.805449830017045e-05,1.1526197875091612e-05,0.0,1.719903452625975e-05,1.94574683374973e-05,2.710466846760425e-05,1.6123362895002806e-05,1.8883857427983257e-05,1.414952728533965e-05,3.771487561738614e-05,2.828532445644944e-05,1.6303612217903163e-05,1.8742880654387035e-05,1.6650778397168605e-05,1.9306427916698818e-05,3.0368643995836643e-05,2.3368706791496702e-05,1.2772046830903033e-05,0.00012888577394677204,1.1791611625019463e-05,1.990682911228367e-05,1.5509275064406927e-05,2.3549363335262295e-05,1.7886853352548216e-05,1.4175673995968207e-05,2.1093172097226887e-05,1.831761750456596e-05,1.758095619729475e-05,1.8912226982909808e-05,1.775250777649584e-05,1.722228381054347e-05,1.9103097688574877e-05,2.5140655839122386e-05,1.900154139471093e-05,0.0,8.585113283458345e-06,1.8145065555945607e-05,4.0102614593757075e-05,1.37887336202133e-05,1.2704133255859615e-05,1.7467310583521392e-05,1.0958939805464474e-05,1.8031524297352645e-05,2.1059868284414088e-05,2.0606762180242025e-05,1.8329076490640018e-05,1.972856586525767e-05,1.751248269500215e-05,6.737034308689307e-05,1.8181684412271368e-05,2.0090715677750734e-05,2.4847858983626115e-05,1.752392497412944e-05,1.3410623332770825e-05,1.810652041542071e-05,2.7596284756629312e-05,2.7098409363968488e-05,1.8029936393304096e-05,0.00878523202687392,1.916225323244582e-05,1.966705628278226e-05,2.293391558520861e-05,0.0,0.00014331914951755428,1.3269009382222675e-05,1.8200458947361335e-05,2.8127144952156557e-05,1.865194466183986e-05,1.7715505294870736e-05,1.88907816331582e-05,1.570494149013873e-05,2.03447504113954e-05,1.728738834252051e-05,1.5852978115660765e-05,1.7681933051266355e-05,5.657637870052346e-06,1.8674788136349306e-05,1.8031524297352645e-05,1.6956836056112638e-05,1.9983460100031288e-05,2.180857365516775e-05,1.934396012524622e-05,2.1257927353615106e-05,1.608635830301366e-05,1.8029747260019118e-05,1.7048774312818057e-05,1.567050201743938e-05,2.364006036549e-05,1.7997147399180498e-05,2.0324850836622708e-05,1.8043322242678714e-05,1.850052156936922e-05,0.0,1.8760704427390097e-05,2.5558476331358202e-05,1.8744004240699997e-05,1.8024282648049214e-05,2.5542018891581408e-05,1.7244150046068682e-05,1.0600098823608654e-05,0.00364233730453209,1.2174491497836583e-05,1.8291282277849456e-05,2.6328648134948668e-05,1.8770017320315888e-05,2.9144982520866923e-05,0.01187710404939157,2.0364161428212354e-05,1.2581615895028703e-05,1.8781613680087316e-05,4.429583904350577e-05,0.0,4.829327391402942e-05,1.2733976757126491e-05,1.909378118480765e-05,6.178297570848982e-05,1.4562106202822379e-05,1.684064850028242e-05,0.0016838313586031444,1.147137072718399e-05,1.1704158136108488e-05,0.0,0.0001346056732886927,2.7938232926420345e-05,1.806277460249544e-05,1.9743873801493114e-05,2.0629631285531098e-05,1.6243114438304146e-05,1.5509275064406914e-05,2.5177086590828074e-05,1.7614034527505225e-05,1.6742044781552693e-05,1.465357434086204e-05,1.0958939805464473e-05,4.857114078945796e-05,1.787049034877313e-05,1.7828544404839954e-05,1.943934502697063e-05,1.882795776466451e-05,2.8331144280712296e-05,1.3410623332770825e-05,1.8460737138409187e-05,1.9728565865257678e-05,1.8075127762663085e-05,1.7866340012191845e-05,1.4306254144321033e-05,2.8331144280712283e-05,1.99512489167935e-05,1.858685038345322e-05,2.261934823000795e-05,1.7130143221359347e-05,1.88907816331582e-05,0.0,1.9217324575384618e-05,1.6378836055525932e-05,1.590426821220121e-05,1.891158764197767e-05,2.3643830005197778e-05,2.4363733337398944e-05,2.2784717807534885e-05,2.3617082805662214e-05,1.6958300956168236e-05,1.9126142466398304e-05,2.9334381515187522e-05,1.8934467139766538e-05,1.8646709208153217e-05,0.00011291050420476628,1.5309925696723534e-05,1.817554670601692e-05,2.2082157974462202e-05,2.3324033111161496e-05,2.8712749162442472e-05,1.4928846526106137e-05,1.6356482132469908e-05,2.530606873074499e-05,1.6700090512754863e-05,2.6061427676761508e-05,1.8452965956577467e-05,1.9740648798764538e-05,1.8648204461031217e-05,1.2272571465732666e-05,2.417772024509493e-05,1.6956836056112638e-05,1.924924037843207e-05,1.9608305908478872e-05,2.1771366487474e-05,2.694734698770243e-05,2.163205084467392e-05,1.28163333137863e-05,1.806277460249544e-05,1.8650021527099567e-05,1.751248269500215e-05,1.867977274085515e-05,1.7961656257620955e-05,1.653210253961561e-05,1.7768984752620102e-05,1.5829382279443137e-05,1.715200035150643e-05,1.8932247949680794e-05,1.7869461688610826e-05,2.5391957486942706e-05,1.6740313265877633e-05,2.577670193216382e-05
Animal feed ingredients and pet foods,0.0,1.0000000000010882,1.0000000000010894,0.0,1.0000000000010894,0.0,1.0000000000010891,1.0000000000010898,1.0000000000010894,0.0,0.0,0.0,1.0000000000010811,1.0000000000010894,1.000000000001089,1.0000000000010887,1.0000000000010894,1.0000000000010896,1.000000000001089,0.0,1.0000000000010894,1.0000000000010891,1.0000000000010894,1.0000000000010898,1.0000000000010887,1.0000000000010891,0.0,1.0000000000010885,1.0000000000010696,0.0,1.0000000000010887,1.0000000000010891,1.0000000000010862,1.0000000000010885,1.000000000001089,0.0,1.0000000000010891,0.0,1.0000000000010891,0.0,1.0000000000010896,1.0000000000010885,1.0000000000010896,1.0000000000010891,1.0000000000010891,1.000000000001089,1.00000000000109,1.0000000000010891,1.0000000000010882,1.00000000000109,1.0000000000010891,1.0000000000010882,1.0000000000010887,0.0,0.0,0.0,1.0000000000010894,1.000000000001089,1.0000000000010885,1.0000000000010896,1.000000000001088,1.0000000000010885,1.000000000001079,1.0000000000010894,1.000000000001086,1.0000000000010887,1.0000000000010898,0.0,1.00000000000109,1.000000000001089,1.0000000000010887,1.0000000000010891,1.0000000000010891,0.0,1.0000000000010898,0.0,1.000000000001089,1.0000000000010885,1.0000000000010896,0.0,1.0000000000010887,1.0000000000010898,1.000000000001089,0.0,1.0000000000010894,1.0000000000010894,1.0000000000010891,1.0000000000010891,1.0000000000010896,1.0000000000010876,0.0,1.0000000000010263,0.0,1.0000000000010871,1.0000000000010891,0.0,1.0000000000010167,1.000000000001089,1.000000000001079,1.0000000000010894,1.0000000000010894,1.000000000001089,0.0,1.0000000000010887,1.000000000001089,1.0000000000010891,1.0000000000010898,1.0000000000010887,1.0000000000010891,1.0000000000010763,1.0000000000010887,1.0000000000010887,1.0000000000010885,1.0000000000010898,1.0000000000010891,1.000000000001089,0.0,1.0000000000010885,1.0000000000010894,1.0000000000010894,1.0000000000010887,1.000000000001089,1.000000000001089,1.0000000000010894,1.0000000000010838,0.0,1.0000000000010894,1.0000000000010898,1.000000000001089,1.0000000000010894,1.0000000000010885,1.0000000000010891,1.0000000000010891,1.0000000000010894,1.000000000001089,1.000000000001089,1.000000000001089,0.0,1.0000000000010896,1.0000000000010891,1.000000000001089,1.0000000000010891,1.0000000000010896,1.00000000000109,0.0,1.0000000000010887,1.0000000000010894,0.0,1.0000000000010894,1.0000000000010894,1.0000000000010891,1.0000000000010896,1.0000000000010894,1.0000000000010885,0.0,1.0000000000010882,1.0000000000010223,1.0000000000010894,1.0000000000010894,1.0000000000010896,1.0000000000010885,0.0,1.0000000000010894,1.0000000000010896,1.0000000000010894,1.000000000001082,0.0,1.0000000000010867,1.0000000000010891,0.0,1.000000000001089,1.0000000000010891,1.0000000000010896,1.0000000000010898,1.000000000001089,1.0000000000010898,1.0000000000010902,1.0000000000010885,1.0000000000010891,1.0000000000010891,1.000000000001089,1.0000000000010891,1.0000000000010891,1.0000000000010896,1.000000000001089,0.0,0.0,0.0,1.0000000000010894,0.0,1.0000000000010891,0.0,1.0000000000010898,1.0000000000010898,1.00000000000109,1.0000000000010847,1.0000000000010896,1.0000000000010896,1.0000000000010887,1.0000000000010896,0.0,1.0000000000010891,1.0000000000010891,0.0,1.000000000001089,1.0000000000010894,1.0000000000010887,1.0000000000010891,0.0,1.0000000000010891,1.0000000000010894,1.0000000000010894,1.0000000000010891,1.0000000000010882,1.0000000000010887,0.0,1.0000000000010887,1.0000000000010898,1.0000000000010898,1.0000000000010887,0.0,1.0000000000010891,1.0000000000010885,1.0000000000010891,0.0,1.0000000000010885,1.0000000000010887,0.0,1.0000000000010891,1.0000000000010891,0.0,1.0000000000010894,1.00000000000109,1.0000000000010894,1.0000000000010896,1.0000000000010896
Articles of concrete cement and plaster,0.0007757523916375473,2.3412728968963483e-05,1.4774684397580192e-05,0.0005310100169772326,4.77783622880004e-06,5.110212798273862e-07,2.925013725386333e-05,3.2973358639901364e-05,7.548955668980126e-07,3.485305339817844e-05,0.00010753175083441672,1.2104024937026633e-06,0.004267240219341646,2.2310995813502542e-06,1.4016530350214866e-07,1.748175951230021e-06,3.07572481527515e-05,3.885907925783496e-07,3.0292635641076857e-05,2.1289739593143555e-06,1.5932998132971856e-05,3.508117038522102e-05,4.5065439448805523e-07,4.336033010036313e-05,0.000537412577728148,2.135925845589409e-07,1.0308794528009645e-06,1.6268009200729812e-05,0.4330950456820181,0.00043467208780947886,0.0008109493033497393,5.541591347496896e-05,0.011005811293505498,3.4804801005134326e-05,3.5640614692396434e-05,0.005752786054202482,2.6701204723199467e-05,1.598274911709023e-05,0.00010753175083441672,2.2310995813502542e-06,2.8204001590285306e-06,0.00022033590376007028,3.4754139072629755e-05,1.6984158859233482e-05,2.9721618869485656e-05,3.614636241459775e-05,3.389698131636607e-05,2.526160979801949e-05,1.1650559448486015e-05,2.6893449115648742e-05,3.885827201395354e-06,0.031640228894024916,0.015610798324332943,0.0005001665779399659,1.6685493700994525e-05,0.0005868533062484396,1.8473192300907562e-06,1.6854391919460534e-07,3.7991856286705104e-07,3.200217738406512e-05,0.00931458716861168,1.2104024937026633e-06,0.005752786054202482,4.085877663669548e-06,0.0010845531331264435,1.847660148595676e-05,1.5609688762318866e-05,0.0,4.973841652703648e-07,3.2780854889491984e-07,2.206402352888422e-05,1.961046620008661e-07,3.6409686151785946e-05,3.525435782716575e-05,1.1132091930141556e-06,0.000593144070608372,1.2509165415410007e-06,9.337745145906682e-05,3.0430453470371586e-05,1.4620139246608172e-05,3.525435782716575e-05,2.7248103898444734e-07,7.175372863303696e-05,5.7428944626885126e-06,2.8950873903748244e-05,2.6532457881601036e-05,9.470949865373207e-07,2.2538005187562385e-05,6.999723316224903e-07,0.0020018276412956375,1.21567119009089e-06,0.20168214975762044,4.53331789658164e-05,0.014874330722480854,3.466580165939154e-05,0.0,0.2945767608168464,1.1863222248376573e-07,0.0020284131717638967,1.0315440192308298e-07,3.714088297074955e-05,3.564075537853514e-05,0.0,2.6607806831223513e-06,2.6263229176219556e-05,8.099359278647972e-06,2.21271309896617e-06,1.9192829256736482e-05,8.639176694605009e-07,0.0319992480207649,6.418130080261428e-05,4.083598711923511e-05,7.948933479534275e-07,3.099146332009916e-05,8.066009075464341e-07,3.501637387029358e-05,3.432913084336382e-05,0.0009235440492419449,4.73446418487734e-05,3.3255307423539776e-05,3.488382044510123e-05,1.2230052134235485e-05,1.4561316695670512e-05,9.294245907161185e-06,0.004361299711577184,0.0,3.02167716486847e-05,2.6335656583878854e-05,1.11314982222497e-06,4.673296763722998e-06,1.197918337712573e-06,3.590760986435779e-05,1.269804284690552e-07,5.603738633296487e-07,1.6401511647061586e-05,3.1737483857692e-05,8.795577094741445e-06,0.00019667100847930449,8.507371863914287e-07,0.00015234142858405088,3.4270622107822607e-07,3.538184284342246e-05,1.1238456895487064e-06,3.2553307151418115e-05,4.576627240311898e-05,0.0005919407901192792,1.687805574849937e-05,0.00046635963001335123,3.005289495107774e-05,2.7322043995718805e-05,3.6216765995378584e-05,2.6576572474284666e-05,9.46744853236321e-06,0.00012287737884097473,2.31731885715718e-05,4.134311757069612e-05,0.34219204616408466,2.452057205488675e-05,1.2274232796581657e-06,2.6066940748436805e-07,3.511448440810243e-05,5.523887241795413e-06,2.452057205488675e-05,2.9272466529126962e-05,3.502779011190189e-05,0.014560616050387856,2.4520572054886746e-05,0.0015012241141826384,3.5926183069782804e-05,4.445393904497054e-05,2.856157869588671e-05,3.8490467820657745e-07,3.470950688501798e-05,1.599964379333641e-07,0.00031181364845714245,1.4620139246608175e-05,1.4681325600165069e-05,5.53042567106704e-07,6.207230607543141e-08,2.26362172111852e-05,2.065107220179141e-05,3.600259690748729e-05,2.6284276348200465e-05,9.380103164186005e-07,1.2989979794971773e-05,0.0,3.2278746280951415e-05,3.1754148394128557e-05,3.584546149603757e-05,5.055502616320039e-07,3.089797441057596e-05,8.502377070054892e-06,1.0080156104385147e-06,2.399388846661879e-05,7.336188034185367e-06,0.00011490997554243346,1.9368147704203532e-07,4.889446457369614e-07,2.84140884627715e-07,2.6758187083592792e-05,0.0003614866348294329,3.374214338227812e-05,1.736281243021084e-05,0.0036618330322186446,1.0310361166640863e-05,2.4454160395639336e-05,3.455175035877169e-05,8.344889883163399e-06,3.0869683157464096e-05,2.340991502270324e-06,3.335618773310514e-05,2.9495348181631403e-05,0.0031297900592500484,3.690441291881497e-06,6.881269159536788e-08,3.6408518696220166e-05,3.7822583584354145e-05,2.0265550255242037e-06,2.3747376592301588e-05,4.6606471854812534e-07,0.0,0.0008264967028473007,0.0004986459042620313,1.1612166409052368e-07,0.0,0.016117568628127518,0.0008293330369434953,0.0004823091282956074,3.853108308693155e-05,2.79887571539678e-05,8.382974916550481e-06,3.0869683157464096e-05,3.3497479664609825e-05,2.629601773264947e-05,3.145296318811504e-05,0.00016264226551113386
