,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.89551790368286e-06,2.0742806876620987e-06,2.1459347525155533e-06,1.970880788256509e-06,1.9668692547389014e-06,2.2751749641572746e-06,2.1221999275075667e-06,1.7604649041374346e-06,1.7551821514943944e-06,2.106347755350633e-06,2.286736585110852e-06,2.6353666266247885e-06,1.9585346222231953e-06,2.0819617588469602e-06,2.1001108929090084e-06,1.9142964860716317e-06,2.127504172202138e-06,2.1715839232715265e-06,2.235623626330551e-06,2.1447821187565583e-06,2.278645703633112e-06,2.1246211866268196e-06,1.6010632346602665e-06,2.0889339240528306e-06,2.014086603471276e-06,2.0210695063145585e-06,4.108587673866523e-06,2.062174634325161e-06,1.9870349025972285e-06,1.910198689902083e-06,1.850943066201196e-06,8.501174319928375e-07,1.8837237032239883e-06,2.1558371454717645e-06,2.12176136930573e-06,0.0,2.165693961057715e-06,2.3584285053648896e-06,2.0085953719029574e-06,2.0819617588469602e-06,2.1735497632106925e-06,2.008590485578302e-06,2.1230648792597946e-06,2.4219445679717357e-06,2.1925842817580073e-06,2.443027854108059e-06,2.5052225772794787e-06,2.0929738057637208e-06,1.213687310052512e-06,2.3097093352818407e-06,2.109168881141158e-06,5.7211661125921026e-06,1.9790065563701272e-06,1.7904712502577654e-06,2.0820765869072586e-06,1.9438425736172787e-06,1.8888722314378855e-06,2.1829656747550264e-06,2.096942231367949e-06,2.1375127222911554e-06,2.0366425690293555e-06,2.167285234344296e-06,1.8672233164673953e-06,2.483252769322791e-06,5.714629316361497e-07,2.0694607082060446e-06,2.1375747031362113e-06,2.096942231367949e-06,2.1147399542106174e-06,2.1266637699080567e-06,2.157770380146717e-06,2.1778690250656134e-06,2.109032811791779e-06,2.1417616022297067e-06,4.145153874198911e-06,2.0610202969403258e-06,2.1531780460843875e-06,2.1095418197473703e-06,2.8119693675863593e-06,1.8849774045450138e-06,2.1417616022297067e-06,1.7743380478805735e-06,2.0701456277986275e-06,2.142887599278295e-06,2.1414844064418523e-06,2.1004917070455167e-06,2.3992285655202083e-06,2.067198842903363e-06,1.6454391949241024e-06,2.603621271761213e-06,2.1637857597251314e-06,2.0973091042312893e-06,2.1272177949754005e-06,1.785841687748135e-06,2.121403557319194e-06,0.0,2.017970171953051e-06,2.0478500654688335e-06,2.0118680359672184e-06,2.123229005139279e-06,2.1217120804017585e-06,2.1262857951544214e-06,2.0526196273593696e-06,2.086663241170255e-06,1.9696412534614917e-06,2.1181733355924676e-06,1.9756502779496937e-06,1.8177339428462368e-06,0.0002386190126853869,2.0641218726874596e-06,2.1010481346771438e-06,1.935980404102546e-06,2.0735372303625575e-06,1.943914032405916e-06,2.1238577884809943e-06,2.10271049514845e-06,1.9043135847742898e-06,2.128960998240508e-06,2.0575097671893366e-06,2.1186815956606145e-06,2.0624650530877394e-06,2.098050676766728e-06,2.0488160268516697e-06,1.9924808056730953e-06,0.0,2.134450613238786e-06,2.089777461577915e-06,2.1323455297145805e-06,2.2788490326117713e-06,2.1200628182235e-06,2.097339910264799e-06,1.4865590697459912e-06,2.0162039856817982e-06,2.2673640806730996e-06,2.102619926858128e-06,2.0232891712407043e-06,1.8935208332059377e-06,2.042584152894134e-06,2.20897561820842e-06,2.2690632630358865e-06,2.1211616955744397e-06,2.0309025320515256e-06,2.108193282193505e-06,2.1281779555182524e-06,2.1022789915256236e-06,2.3379424552064283e-06,1.8922289332764056e-06,2.0809633521611397e-06,2.1097822338599764e-06,2.114751046657492e-06,2.079839249164917e-06,2.9269992936857748e-06,2.5695811380950967e-06,2.087996931878105e-06,2.106545310845513e-06,2.0700990003686915e-06,2.0876222550428926e-06,2.140939009525129e-06,2.151797870426857e-06,2.1293930263545157e-06,2.068804551815739e-06,2.087996931878105e-06,2.1170573796691167e-06,2.1196436490935445e-06,2.147653392791067e-06,2.066276860897797e-06,1.967348078024802e-06,2.116080928183281e-06,2.0955953944279193e-06,2.117789875428778e-06,2.06932628594416e-06,2.122099179414332e-06,2.174024088682057e-06,1.5595656806438339e-06,1.8849774045450144e-06,2.438599104386114e-06,2.11360270752194e-06,2.10835426843035e-06,2.1068483034609908e-06,3.874206182218267e-06,2.076141681387323e-06,2.012541426106015e-06,3.399125060000077e-06,2.1262857951544214e-06,0.0,2.1172170066799365e-06,1.9466278254010004e-06,2.174258814080128e-06,1.963202354934312e-06,2.1379253489222676e-06,2.095002059260158e-06,3.450453571572287e-06,2.059171748825675e-06,2.110503067588017e-06,2.276110864816562e-06,1.9850081877386214e-06,2.1136472127276146e-06,2.0545900804817354e-06,2.135890649444292e-06,2.0952604216586164e-06,1.9061241769374474e-06,2.10810994667318e-06,1.7883553270769196e-06,1.8855749989827746e-06,2.0951496241197104e-06,2.1387423769103774e-06,2.1195674037529064e-06,1.965665828219753e-06,2.0995593394382216e-06,1.5094080382139254e-06,2.121083618730471e-06,2.1228570872043085e-06,2.3924783181238285e-06,2.0982932465705548e-06,1.2985150268670405e-06,2.113591470679945e-06,2.1160750425992803e-06,1.808477040601702e-06,2.100511748407132e-06,1.3621378444366723e-06,2.140939009525129e-06,1.5778833416479702e-06,1.8840327624082599e-06,1.127058697761256e-06,2.1409390095251296e-06,2.042591048729602e-06,1.660502966198306e-06,1.8871834185982574e-06,2.12190936130489e-06,2.278667244554403e-06,3.4456243529171363e-06,2.0995593394382216e-06,2.1124608236619295e-06,2.087209082243669e-06,2.099147899109451e-06,2.097380427120471e-06
Agricultural and forestry machinery,3.461720846955586e-07,2.240008665447716e-06,2.0892238689313614e-06,2.9539074705160046e-07,1.3961679911795103e-06,3.1459977669071445e-07,1.3582162731437337e-06,1.2547900555757144e-06,1.250992137772355e-06,1.3859254353916451e-06,3.9592793090312075e-07,2.904983814458475e-07,4.7631362042191183e-07,3.9527889107046073e-07,2.0553570038442632e-07,1.8050016412959656e-06,2.5165955001830844e-06,3.9337467371171456e-07,6.4561393591556635e-06,5.232639408764421e-07,1.893892977906718e-06,1.160155298907747e-05,5.125938149852106e-07,1.1202970611833146e-06,3.2265208844863306e-07,1.5377731718149216e-06,4.1716537378074195e-07,4.306011861485101e-07,1.5483976911693277e-06,2.9692736245022407e-07,1.1525634256211602e-06,8.314481772711131e-07,5.96852552010394e-07,1.522172859509645e-06,2.440873183800592e-05,0.0,3.586309008912145e-06,6.402567125111961e-07,3.442145845399737e-07,3.9527889107046073e-07,3.43930157816742e-07,1.1619382556635766e-06,5.25693103654966e-07,4.410294110330041e-06,1.274304338525535e-06,4.534334427334519e-06,7.67592177945346e-07,5.202192899867331e-07,1.0759621012835292e-06,1.3284862657179222e-06,9.172640002630397e-07,9.014957920733338e-07,5.326605189074861e-07,4.066088136160522e-07,3.952788910704608e-07,2.409513007715753e-06,6.728328072426285e-07,3.1623202154722526e-07,2.848094237432864e-07,2.8120759421606084e-06,4.3940542382596883e-07,5.073864722675219e-07,2.439098917584559e-06,4.53728358592387e-06,1.5913499131931722e-06,1.2232734147706538e-06,9.89612862811607e-07,0.0,3.2067535742586834e-07,3.2505722042229103e-07,1.910091855284777e-06,3.474452755500706e-07,1.3841030712398845e-05,4.819116841179171e-07,2.904983814458475e-07,1.5656444354647585e-06,4.6378597674457104e-07,8.233814207515491e-07,1.3399905008954347e-06,5.747495442048981e-07,4.6465898812493854e-07,2.2848046525762234e-06,1.5728654784782686e-06,3.3278912178487666e-07,2.7136570764086135e-06,1.54987895378612e-06,1.0647253853108522e-06,6.568224539866661e-07,8.699138237459398e-07,1.4738212574953601e-05,4.7439097238252774e-07,3.807529744547948e-06,1.467812902944661e-06,1.984179444887915e-06,1.0887264662602322e-06,0.0,1.9399123474821746e-06,6.593387708869219e-07,5.087185281431529e-07,2.0588273634818634e-06,3.002999485949823e-05,2.9539074705160046e-07,4.980620112293684e-07,1.0386380862132261e-06,1.6276501019116788e-06,4.906490381988019e-07,1.0362423417739305e-06,2.707460631862308e-07,0.0013073385284390925,1.6793559279159506e-06,4.5442058737542303e-07,3.8538497265815785e-07,9.436766746569806e-06,6.7992836125286e-07,4.55867446627366e-06,5.400492421995201e-07,3.2197691781454665e-07,5.408584063720318e-07,1.0785341657222212e-06,2.4459545379535356e-06,1.0375094359724074e-06,3.369571931143644e-06,2.251817639305086e-06,1.2703983552932917e-06,0.0,1.2895815767284093e-05,1.8791215317146373e-06,3.8418828880396035e-07,3.3185240515057634e-07,3.7111419687212754e-07,4.206349150977607e-07,1.7071968116958506e-06,8.474988940259408e-07,1.8017200957636087e-06,6.767842447779122e-06,1.5373911467480613e-06,4.0802065247326537e-07,7.337560689127505e-06,1.2223591451897171e-05,4.915311484707989e-07,4.798954567768682e-06,5.2846222148471936e-06,5.626156510299169e-07,7.146600180665738e-07,4.08196986371628e-06,5.541428746322843e-06,2.9539074705160046e-07,1.052890544628505e-06,6.116468229844398e-06,1.401851334285696e-06,5.479498998369214e-06,1.1207233617079458e-06,7.208871360378019e-07,4.1542445264884174e-07,3.9775872496812e-06,9.138973920518851e-07,4.2820523964256807e-07,5.248705921245072e-07,4.870623201671964e-07,1.7509476588326385e-05,5.504265719028943e-07,5.19420729103551e-07,1.3517126360826268e-06,2.3954842417074276e-06,1.0800927126855591e-06,8.214483258902501e-07,1.1821231399799975e-06,2.6478263626621993e-06,5.204704478482324e-07,1.2971872214788912e-06,2.8169272082993765e-07,5.256931036549657e-07,1.184197023779179e-06,1.4475607329777742e-06,5.747495442048982e-07,1.0063834985563752e-06,9.403002076830416e-07,4.884096580054097e-07,4.752120154525271e-07,8.43479768551709e-06,8.908612464202512e-07,8.371534579406947e-06,2.132686051438838e-06,7.201408028385071e-07,0.0,7.385662980477041e-07,2.0919822353271598e-06,6.787880579166466e-06,1.7315734532478948e-06,3.275660872781068e-07,2.032290961136115e-06,2.943835877655092e-07,1.5994412192753291e-06,9.904274471428648e-07,3.818568431709089e-07,9.543132180277177e-07,4.648707897167937e-07,9.007546621514109e-07,3.2360072684769834e-07,2.1871592009820134e-06,2.994097699763397e-07,3.235693222192023e-06,2.24510863990342e-06,1.0431136489065927e-06,8.379457366410029e-07,1.6803109233240961e-06,3.836291400971634e-06,8.69851250432079e-07,3.9337467371171424e-07,5.729329914274117e-07,1.057779343238838e-06,7.729258940200074e-07,1.655168070983583e-06,5.466746001095521e-06,2.8643311496210463e-06,1.2476218084461387e-05,7.199009260709327e-07,7.627978533036995e-06,9.594592408925041e-06,3.5652835415888966e-07,4.6748574201145445e-07,1.61879895390146e-06,2.9539074705160046e-07,6.905373631560808e-07,0.0,3.5180048086479956e-06,8.792492530248717e-07,3.9901106119086046e-07,1.450058827920415e-06,5.057198869328053e-07,7.394056248868755e-07,1.7631605447430511e-06,2.3292561656176234e-06,2.4458134923882665e-06,5.316337966970991e-06,2.6888658904952495e-06
Aircraft and spacecraft,2.8944248356017303e-06,8.716294656609807e-06,3.30258661878056e-06,3.0079223124409595e-06,2.4606884519113695e-06,2.453730373358043e-06,3.868482996528967e-06,2.6307098105289372e-06,2.8460577721001124e-06,2.7631219585998176e-06,3.7398299014711203e-06,4.478586106120188e-06,2.614132211941012e-06,1.739388200362618e-06,3.1004638162997436e-06,1.4098894200705563e-05,1.0543081667591662e-05,2.8729129170683338e-06,1.204493896365514e-05,3.5538992593045303e-06,3.965515050524423e-05,5.190887532855276e-05,3.708708443281819e-05,2.7711742842235525e-06,3.1198166786381465e-06,2.5461148693190474e-06,2.0965561102612103e-06,5.4400162959447746e-06,2.527542245241215e-06,2.4819493995985546e-06,2.577255057019064e-06,2.597076027433742e-06,2.7173139556772995e-06,2.6987437944280345e-06,2.1297538178972184e-06,0.0,3.1390377572883643e-06,2.3054390618465857e-05,3.1243753948732177e-06,2.071430267656755e-06,2.9877959076082362e-06,2.380105145063475e-06,3.4315616612192024e-06,2.4201182023965174e-06,5.83353681309865e-06,4.251600232745929e-06,1.2504316969464853e-05,2.307052184805253e-06,3.6514094194472396e-06,6.753303739778357e-06,2.058248104894728e-06,2.626121194941116e-06,2.3035024639613585e-06,3.362911257367679e-06,1.7393882003626186e-06,2.769379631111326e-06,3.002497295612398e-06,4.572842236353757e-06,4.159937324614147e-06,2.66494122053813e-06,2.830789561800979e-06,3.3411268184987323e-06,2.499495167705319e-06,3.2643547710833277e-06,2.6799018821858418e-06,2.9276748510633224e-05,3.3558341905535973e-06,0.0,1.3238739280974516e-06,3.522010530376398e-06,2.8965357104929913e-06,2.412464524372528e-06,2.1918956122742687e-06,2.8147176153221855e-06,2.0965561102612103e-06,2.701860812562884e-06,4.146821657615469e-06,2.421379402173341e-06,2.377806005227462e-06,4.060026784903709e-06,2.822538150161815e-06,1.1293828396959733e-05,3.1251905501490875e-06,2.4668649734456756e-06,1.5066381204017963e-05,2.8232888050593326e-06,2.4163194637986725e-06,3.849934201004279e-06,2.313936671327958e-06,3.123945002803964e-06,2.7559671937851143e-06,2.6058191002627076e-06,4.375935895041105e-06,2.5761448343261153e-06,4.183684750375414e-06,0.0,2.7667271853646608e-06,4.866744888501395e-06,3.2633757823165544e-06,3.401431082140403e-06,3.925875042096659e-06,2.3606587240404305e-06,2.38478354182549e-06,6.2513028520833586e-06,3.3056948685664685e-06,2.2997767865338275e-06,2.77802343876172e-06,9.473840901595146e-07,2.494051060887617e-06,2.701860812562884e-06,2.513221190713434e-06,4.134722289687477e-05,3.5454162546810368e-06,4.099066141253275e-06,6.654156415492915e-05,1.8693935642661568e-06,2.4516574435531566e-06,3.021383799029793e-06,2.6180687496924473e-06,9.923344376754703e-05,2.9966433900322956e-06,2.9950453507383558e-06,3.1743675732515214e-06,2.5336227635960396e-06,0.0,1.71426219026524e-05,6.468492552929697e-06,2.3323215485035733e-05,2.6596873703524375e-06,3.7809777781867284e-06,3.192514013364818e-06,1.5874692608070908e-06,6.624178824550691e-06,2.351070673761731e-06,2.7305838645600286e-06,2.578721078689433e-06,2.9179085272389994e-06,2.8394058545690986e-05,2.3810663193851958e-05,4.277243057231953e-06,9.849434545424585e-06,4.468839584644185e-06,7.21630002491209e-05,0.0,2.771687600341811e-06,1.9242073196410435e-06,2.8722968590259067e-06,2.9751781461603455e-06,1.98191080225204e-06,3.1343288395369553e-06,4.386838936162521e-06,2.1303398476130706e-06,2.1849103338006e-06,0.0,3.3577641607338823e-06,0.00015703188069693516,2.427976710436194e-06,4.063603891655558e-06,2.4296373425825204e-06,4.254972295975429e-06,1.7393882003626167e-06,3.0173234944608433e-06,3.2975108631992115e-06,2.7997070260700335e-06,2.7705593939004877e-06,2.09655611026121e-06,2.0347767896408058e-05,3.850779235509749e-06,2.50800911656798e-06,2.4502691462165564e-06,4.586940807574155e-06,0.00022545498148277397,2.4163194637986725e-06,2.609623481934279e-06,4.0600267849037095e-06,2.4304534423619212e-06,2.6268309393475525e-06,2.8886625643358974e-06,0.00022545498148277397,1.924691210575384e-05,1.2201099400599208e-05,3.850254050058729e-05,2.9705505354804085e-06,2.3606587240404305e-06,0.0,4.043241790602712e-06,2.0762504930002154e-06,2.655388952994772e-06,3.0400196208671264e-06,2.377067921817496e-06,4.04113354137928e-05,2.949890486595182e-06,9.079164163530589e-05,0.00011328894612188997,2.8341999949701777e-06,3.563956954581797e-06,2.104180333664623e-05,3.3432699843442217e-06,2.7987919404872292e-06,3.0778454580946648e-06,2.5301973545287924e-06,2.9925324085611297e-06,8.958715027576067e-05,2.864179853059157e-06,9.607907582207765e-05,2.895716612730781e-06,4.92380213722998e-06,0.00015527544753635175,2.735160974195777e-06,0.00018395677590696917,4.057193970005948e-06,2.2731968754004826e-06,2.49801792794321e-06,2.192201722396207e-06,3.1652575068000758e-06,2.513221190713434e-06,2.53394227612865e-06,2.9941115238130684e-06,2.1663063537271248e-05,6.401537665315918e-06,3.822674784627152e-06,2.1190482335793925e-06,2.427976710436194e-06,3.2653600211713677e-06,2.8225381501618144e-06,2.5023600238607654e-06,4.856818151246631e-06,1.3747876508360972e-05,5.3945527810561775e-06,1.8271504248194555e-06,2.018047286477676e-06,2.958658573649245e-06,3.7303250004473127e-06,8.222566512181387e-06,3.005331773009506e-06,5.130374771080632e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,3.8595538012189457e-07,3.12182598251127e-08,1.7798017624140787e-08,6.885046344802371e-07,4.7573103875289136e-09,3.232712943644324e-10,4.5068042713273174e-08,1.4116905132044531e-08,7.937489537056789e-10,6.777865075835111e-06,3.192356867356691e-08,1.2682619912031186e-09,1.2631729063693212e-06,1.8173874317323418e-08,1.3194549169059751e-10,1.8119789100939302e-09,3.533293821050829e-08,4.0635614137776723e-10,3.182791253998915e-08,1.6823028082015702e-09,1.7457865718551466e-08,3.7787676966116565e-08,4.713569208125448e-10,8.547095791094192e-08,5.040612809419856e-07,2.2653551298479607e-10,1.9599706757374006e-10,1.6767251679050916e-08,1.1020441380261717e-07,4.2074966970046604e-07,2.5584639503420236e-08,3.1028755532877424e-08,2.688883182164573e-07,3.667432914016505e-08,5.017083100889337e-08,3.0324796097226124e-07,3.89168752363902e-08,1.604853095734251e-08,3.192356867356691e-08,1.8173874317323418e-08,2.928297549242669e-09,4.397878440662449e-08,3.603714258896194e-08,1.7819961013266254e-08,3.233919408041018e-08,3.844895762048637e-08,3.758381163530255e-08,7.243853323066561e-05,1.5568340940951625e-09,3.1510346058675395e-08,3.396841352477909e-09,1.0925507340140053e-07,1.7768725217735103e-08,1.0356273748826544e-07,5.220863291427304e-06,5.086402630429219e-07,2.065343046335362e-09,1.776887897314409e-10,3.6357027542450873e-10,3.555353719073685e-08,2.935451973249959e-07,1.2682619912031186e-09,3.0324796097226124e-07,4.270629024283705e-09,2.6376021761457257e-09,3.131361567461651e-08,2.6349858037748416e-08,0.0,3.1515724912450545e-10,3.288091320188881e-10,2.5214039162423222e-08,1.7040313747046747e-10,3.1016693491578374e-05,2.4377096902247688e-08,1.9395089155519847e-10,6.891194068147982e-08,1.234125698128404e-09,1.0037782843222225e-07,3.2757259239177e-08,1.5729678594844275e-08,2.4377096902247688e-08,2.85508999152048e-10,7.788817846398724e-08,3.948461707300173e-09,3.0127459908505126e-08,2.9366446933955137e-08,9.52313278839178e-10,2.4158766674519232e-08,7.493545608652449e-10,5.091868653816143e-07,1.2725453106252413e-09,5.857663709394361e-08,4.807638244599824e-08,1.0473001024480537e-07,3.777161899666889e-08,0.0,1.557307025972832e-07,1.2627914309914246e-10,1.0304955219564088e-10,3.9043346870963274e-08,5.017144672893137e-08,0.0,1.9842586880517784e-09,2.7908801058893428e-08,1.0224891244952087e-08,2.0893854046298475e-09,2.004313638595986e-08,1.1037948216264417e-09,0.00015526129003763932,9.367027429461977e-08,4.20493659306941e-08,8.181044155151264e-10,3.94626965114396e-08,8.327884019404895e-10,4.129601493149967e-08,3.72961870690308e-05,4.783951980088681e-07,4.9876421597224476e-08,6.010747146723866e-08,4.481927383580019e-08,1.6095977564826017e-08,1.8622525147474817e-08,1.1675417122800207e-08,4.267297048371291e-07,0.0,3.6755682185592575e-08,3.9081330519442336e-08,1.1289475472207043e-09,1.9357688668183404e-10,1.0825727272644745e-09,3.867693957456517e-08,1.7635832566914608e-10,5.85424773453197e-10,2.0312296067655164e-08,1.8202643550959753e-06,1.4927304387581554e-09,2.7539193615006658e-06,8.586044629649903e-10,1.6150288751438252e-07,3.7044928548215486e-10,4.311519535598057e-08,1.14150231906138e-09,3.378338072189513e-08,4.83946327766392e-08,1.1777820896836519e-07,1.7698224659144148e-08,4.952448533721367e-07,3.766492169864167e-08,3.837213684497787e-08,3.9085879595975003e-08,3.886694700524179e-08,4.3004437365146467e-07,4.412465910457551e-08,7.256883529373411e-05,4.833447418279624e-08,8.379091318075714e-08,7.723663910956841e-05,1.1957043003011465e-09,2.7348162187546304e-10,4.7414322391277255e-08,3.004591778914812e-06,7.723663910956841e-05,4.401228618524399e-08,4.18210754396786e-08,8.609836020363026e-08,7.723663910956839e-05,4.612197789594991e-08,4.2777124721341e-08,4.6243769022194794e-08,3.571105491790347e-07,1.8380670802626567e-10,3.5990477465846935e-08,1.407178343564385e-10,2.6099083668770864e-08,1.5729678594844282e-08,2.0952284533455e-06,6.827595235969845e-10,5.976624649010497e-11,2.336726585156427e-08,2.451958042180819e-08,1.133948808281555e-07,3.496612251165966e-08,7.56666736072411e-10,1.6328337478199634e-08,0.0,8.349122576148095e-06,4.8997367276680614e-06,4.138267875346182e-08,1.0244647349210764e-07,4.644523991812988e-10,4.172387827864172e-08,2.428613471522219e-09,9.981937695613299e-10,3.2967367463121955e-08,5.046124012821099e-09,8.138984380422778e-08,1.9486970728602612e-10,5.055268922610455e-10,2.9291502455560655e-10,3.9209107334734015e-08,3.7535718974414715e-07,4.203741416300772e-06,2.6046723214104454e-08,3.910972210837348e-07,1.1108833074934199e-08,2.8434959466276073e-08,4.540536089938566e-08,8.625424236313506e-09,2.5971247501349635e-05,2.2514354636691675e-09,3.4870324400199924e-08,2.538215348553735e-05,2.1663684053237676e-07,3.938759441099788e-09,7.107474005748626e-11,3.0994846610784985e-05,4.052562881573939e-08,2.525822841695359e-09,3.4436400846610165e-08,4.902289504415133e-10,0.0,2.26594076638864e-08,5.29531289709922e-07,1.232135276758785e-10,0.0,3.579364244687717e-07,4.658231224011646e-08,5.055447503554966e-07,4.698656204092608e-08,8.831340159518233e-06,8.429084513817775e-06,2.5971247501349635e-05,7.357687406822307e-08,3.905259744953945e-08,3.9130080695869984e-08,5.8617734233059624e-08
