,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.00011112791970976932,9.273741736658959e-05,8.931472350919451e-05,0.00020061282544643285,8.315431156937745e-05,8.474082154840418e-05,9.044300430313259e-05,8.874156661991682e-05,7.391397670808219e-05,9.30149834064241e-05,0.000134699440690228,8.805301341585002e-05,0.002199615876174948,8.893173009478215e-05,8.792399285976655e-05,7.938851592822012e-05,9.025875644837371e-05,8.74027904411851e-05,9.73525963699519e-05,9.101803829608276e-05,0.00010203050988202996,9.139913381253009e-05,6.711574080687061e-05,9.002042946393713e-05,7.950233723730319e-05,8.402975587664195e-05,8.988443271629145e-05,8.607097404645623e-05,0.0026193826013596517,7.493606794263964e-05,0.00021632827836858942,3.896039499146019e-05,0.0007874838524841391,9.149638776193892e-05,9.149989066094207e-05,0.0,8.871280230651251e-05,9.037965631867109e-05,0.0002473796520226817,8.893173009478215e-05,8.845654384842701e-05,0.001074845582431718,9.125803178349265e-05,0.00010524255499746302,9.055975377141174e-05,9.586013540403563e-05,0.00014628228861844158,8.947370245066704e-05,0.0007446382282191103,8.851204671373944e-05,8.565846007900552e-05,0.03370431599761755,0.00010904282724451173,0.00025030175082743443,8.894005223018987e-05,7.554338523780317e-05,7.937600605302354e-05,8.930391422899568e-05,8.898378782668233e-05,9.095460069458875e-05,8.463502663793583e-05,0.00013787223683468374,0.0004684573963217551,8.683486485078574e-05,0.0009524155272220161,8.233753085725984e-05,9.041868335547068e-05,8.898378782668232e-05,8.370248345624584e-05,9.10116930634383e-05,9.08780897074256e-05,9.057720848193637e-05,9.089369799402696e-05,8.748946960070201e-05,8.998923346880215e-05,8.883630853472322e-05,0.00012790504952330287,9.305985279286956e-05,8.864039521031817e-05,7.716880917568093e-05,8.748946960070201e-05,7.4421648048395e-05,0.0009753741209100048,8.631681360506748e-05,8.960051354792553e-05,9.336402679979509e-05,0.00036977493902988837,8.596977965490977e-05,6.865161398441799e-05,0.002293088933931861,0.00013414825788896103,0.07555939822910546,9.258235573061223e-05,0.0012347853355433194,9.166145785733648e-05,0.0,0.0002701722898223518,8.50014523703909e-05,0.0008075372516641356,8.545120691685344e-05,9.204015655845161e-05,9.148960848957962e-05,9.75682845296491e-05,0.00010294171450767696,8.932206048981042e-05,8.391375531075523e-05,9.6783942372584e-05,8.167881781234321e-05,7.24287652764438e-05,0.0030230105371033306,8.462061188380084e-05,9.065325531066431e-05,8.174442900865489e-05,8.705870006544022e-05,8.249407585007127e-05,9.120309867239884e-05,9.004397511719885e-05,7.728646344377326e-05,9.164800271422097e-05,9.347356319822196e-05,9.079000122003239e-05,8.789434221578022e-05,8.90007994903468e-05,8.711903354922804e-05,0.000299994923556357,0.0,9.101229254506856e-05,8.947403024003924e-05,8.69628151761691e-05,8.879454795494244e-05,8.866805607663934e-05,8.978490157232314e-05,5.8935330604023606e-05,8.338065280873466e-05,9.027429314191726e-05,9.074001336954363e-05,0.0002031411117642197,7.605934123991347e-05,8.424095563801937e-05,8.74228976289704e-05,8.530666400423524e-05,9.127746062451675e-05,8.459515965228262e-05,9.011835074983154e-05,9.164939683056311e-05,8.953565130300101e-05,8.596243324469442e-05,7.405445120846739e-05,8.67208285292576e-05,9.060046355924125e-05,9.198221498522404e-05,8.874910999320129e-05,8.506734904096623e-05,9.091625733206792e-05,8.99567281645217e-05,0.00010577475982856101,0.008840970462915152,8.989309402662939e-05,9.156823650119664e-05,0.00010249010050465887,9.13141479588485e-05,8.855068544278357e-05,8.99567281645217e-05,9.074943878712204e-05,0.00010039307776636518,8.906193672774862e-05,0.0008505836812341251,9.281165554350577e-05,9.15723630494037e-05,9.142052220549685e-05,8.618594096638836e-05,9.049888685353965e-05,8.518192413005686e-05,0.051224587144757854,7.716880917568095e-05,8.751058353377503e-05,9.0613860344711e-05,8.725094092274116e-05,9.02328064558115e-05,9.175038362061689e-05,8.705503522812097e-05,8.638632773725343e-05,0.0012766898777534456,9.75682845296491e-05,0.0,8.836684456379587e-05,7.838154513777976e-05,8.870723695080458e-05,0.0013153148156176673,0.00010881618826537301,8.962379388169648e-05,0.00012116752842066332,8.487780708389912e-05,9.007109607791328e-05,0.00010661278138112505,0.0037878440424656923,8.902768742407903e-05,8.455584633547622e-05,0.00010467805998268289,9.021866430778814e-05,7.478598089466516e-05,8.774469505711315e-05,7.62719914734522e-05,7.67481749502215e-05,8.214506636333126e-05,0.00010505869646698117,9.091873592969368e-05,8.40934966493906e-05,9.108541509178993e-05,6.228561162952252e-05,9.146310997691096e-05,9.139235323876865e-05,0.00034446271093955465,8.24961633721547e-05,5.451120763772581e-05,9.37610593904548e-05,9.52846637351975e-05,7.695879175234305e-05,0.00010453903136722567,5.720230352067802e-05,9.156823650119664e-05,0.0002048270753269912,7.361316347319276e-05,4.807757016389816e-05,9.156823650119664e-05,0.0002808367980041593,0.000514519482223773,7.78837148288951e-05,9.144286000253424e-05,9.053954063196976e-05,9.011142290388852e-05,9.108541509178993e-05,9.140741807974395e-05,8.943951253835693e-05,9.014211579786121e-05,9.008851542017894e-05
Agricultural and forestry machinery,4.490203171693034e-05,4.919575670461644e-05,6.255467784054927e-05,6.54932633240696e-06,3.915041408771993e-05,1.2269667303963357e-05,3.47424518816642e-05,1.7622271032970845e-05,4.904028614359256e-05,1.6986925062709153e-05,9.730276467717817e-06,1.644980048616648e-05,4.1541016087647315e-05,9.723965537739552e-06,1.1225613792185752e-05,0.00014577051016879494,2.218541337998697e-05,1.3451060960493312e-05,2.104238502318637e-05,1.3920366713177872e-05,1.7734040018915394e-05,2.3946344931177978e-05,3.467602337908825e-05,6.783668453824265e-05,9.56681386200403e-06,4.4601634907055446e-05,1.6450119578833404e-05,1.8387422092000703e-05,0.0017353755609036171,7.1438005771835656e-06,1.677073065428204e-05,1.2969903239013412e-05,6.975786172598789e-05,2.092238914335171e-05,2.8026711060071953e-05,0.0,3.463837775139113e-05,1.6428092986435886e-05,1.0804742490158473e-05,9.723965537739552e-06,1.5491507670845034e-05,2.499003295715525e-05,1.9599092143976592e-05,3.445207587930913e-05,2.7714453528085742e-05,2.91049563027109e-05,1.6871683888668615e-05,1.6944002697719793e-05,0.000502629661623707,2.2234833276650698e-05,1.744282705431424e-05,0.003341639698934235,1.5677687906451704e-05,5.218501179921591e-05,9.723965537739552e-06,3.722565486541046e-05,5.984999149838352e-05,1.2525298592524261e-05,9.298516961090202e-06,3.61994230450799e-05,3.099027956920587e-05,0.00020597660016249744,0.007784897839887233,8.551347847920139e-05,3.455311237619107e-05,4.341540473848125e-05,0.00010788012943268201,0.0,1.1245223161314904e-05,1.5379775657141723e-05,3.0117101433145354e-05,1.9419978720616163e-05,2.4173407808719798e-05,1.715895185245734e-05,1.6449800486166476e-05,5.609898056878388e-05,0.0001518057004460361,1.579618943575928e-05,2.200834879538561e-05,0.0004734743952649126,1.7435983326681093e-05,9.721727658639359e-05,1.8812969485890844e-05,1.176583249888238e-05,2.937914520640219e-05,2.8651377044712032e-05,1.9377265818139734e-05,3.8075623623587636e-05,2.6711146391900276e-05,0.00026628886331628006,0.00017366827022575763,0.0051398984237387025,2.06553321977378e-05,0.05071190517371901,1.8919731601524228e-05,0.0,0.00014884743546350208,2.3263082461485246e-05,0.00018573476421058864,1.8076422748347977e-05,2.4420291405569424e-05,2.4739240800990193e-05,6.54932633240696e-06,6.460579799675618e-05,5.9773840797304656e-05,0.00017548899849397238,2.7869970476206745e-05,2.870228415490755e-05,1.2451283585006467e-05,0.018653858820127454,6.759957628591867e-05,1.869948220267035e-05,1.9988617971714344e-05,7.082600055670978e-05,4.052391565533552e-05,2.256022155466362e-05,2.064443611867555e-05,8.001412701828834e-06,2.0703355506340388e-05,2.6206283129844666e-05,2.146134482317451e-05,6.058766241251007e-05,2.676503608710364e-05,0.00017656516929794234,0.0006522119711486043,0.0,2.999369241913281e-05,2.483288908315202e-05,2.205300514538828e-05,1.2626519581676768e-05,2.1700678490486887e-05,1.3087050889196469e-05,5.737393662575668e-05,4.9169558568992556e-05,2.977739371467503e-05,2.2405173218959585e-05,1.4409932607841402e-05,1.2829478619736e-05,7.46041421250592e-05,2.329329584459669e-05,3.254866918371751e-05,2.6029067630690013e-05,4.840408342940698e-05,1.9846343769589454e-05,2.009456011372956e-05,2.6214984161493542e-05,3.0001200084617938e-05,6.54932633240696e-06,1.927178663550042e-05,2.408539361543483e-05,2.3377271991791252e-05,2.8117556931454495e-05,3.6181859934908876e-05,3.123242271898364e-05,1.0832765252289534e-05,3.4429563113611965e-05,0.00029928160672097986,1.3165536309209457e-05,1.3938670482514569e-05,2.4818549214253525e-05,2.2676702119614382e-05,1.0102579750594453e-05,1.6556658388680785e-05,3.778414429081688e-05,4.390252376915572e-05,1.3084851518874216e-05,4.550905814500362e-05,2.5885786411340436e-05,1.668499394992233e-05,1.9941220731373213e-05,1.0736436821728527e-05,1.9599092143976595e-05,2.0214162560471553e-05,2.8923630977783403e-05,0.0004734743952649125,1.5544594492557696e-05,4.5454460703062493e-05,2.450583024723671e-05,2.007415764352511e-05,2.9790742816466392e-05,3.1030195931859265e-05,9.156818526137647e-05,2.1240381443035642e-05,1.694496807366964e-05,0.0,1.9126351476826664e-05,1.8756753498103696e-05,3.233655994776165e-05,0.00020376729861915053,1.0796675674895716e-05,5.0165111986115034e-05,1.6041502547413898e-05,5.2552404334799855e-05,1.1169177025633125e-05,1.4729002696718224e-05,0.0024653527984651587,1.7335330093577224e-05,2.21818138053422e-05,2.186982382525026e-05,2.780702520479017e-05,6.742891876765758e-06,2.5395448618813894e-05,8.34471791493867e-05,1.8367892563179283e-05,5.573624779250924e-05,2.7813881743471463e-05,2.2929950286349136e-05,7.967606854344894e-05,1.3451060960493308e-05,4.349501865992348e-05,1.9229481338807532e-05,2.1023726062727778e-05,2.001408529428601e-05,5.62421309831238e-05,0.000400550761627017,2.3667742070139887e-05,2.0076202167476687e-05,2.9565896718510805e-05,4.756315881481378e-05,1.4092167438830469e-05,1.0993200045012823e-05,2.536811432438994e-05,6.54932633240696e-06,6.284755774272889e-05,0.0,0.007244920484615352,4.6023323163887716e-05,8.444754296446392e-06,2.467729404554432e-05,1.5673709205180274e-05,1.608510951173123e-05,1.8132924459810432e-05,7.329881988682124e-05,2.966231082217017e-05,2.9366567411466634e-05,3.105564231731949e-05
Aircraft and spacecraft,2.4783519419867398e-05,1.2473665407511633e-05,9.558584053442077e-06,1.100787767769553e-05,1.26763765290888e-05,6.98102409510658e-06,8.753992650828557e-06,2.480618129005327e-05,6.0002937973794845e-06,1.3168169176529365e-05,1.1433249596294632e-05,2.3047730375646815e-05,8.028480142097491e-06,7.829491945362955e-06,8.42724444792055e-06,1.3115233586327661e-05,9.107172431911873e-06,7.701936247021579e-06,7.701942610907912e-06,8.20411807946901e-05,9.952083864587769e-06,9.17084246382819e-06,1.0747147481373365e-05,9.749732039788212e-06,8.92599856368476e-06,7.256500052119727e-06,4.491032126124403e-06,9.037540925274853e-06,0.0007618825915442324,7.4359057854393166e-06,9.80513640816159e-06,1.0523894637114584e-05,9.140902167128203e-06,9.975361624063063e-06,4.93462915284668e-06,0.0,6.292325961473096e-06,1.813654077998589e-05,9.14985792881917e-06,9.524131559137942e-06,8.30649929131016e-06,9.105807383177579e-06,6.9630743523737605e-06,6.449755621175118e-06,6.900707390369332e-06,1.3730624446288264e-05,6.232929519844054e-06,2.9850883370882754e-05,0.008211367070830278,1.5673365038607947e-05,7.63208677101615e-06,0.0007475670313055348,6.400909509415076e-06,6.091670535107013e-05,7.829491945362955e-06,8.242423112005981e-06,8.649633933247521e-06,2.378201271883841e-05,9.168542480756443e-06,7.6443878360318e-06,1.3105351058945352e-05,0.00018939911253823056,0.0032654780801588674,9.63804798009857e-06,0.003603422168925227,1.0996942408539606e-05,8.607300719179358e-06,0.0,4.7768901964003005e-06,7.963398128049886e-06,1.1053576502519594e-05,6.559183031289858e-06,5.649849408862238e-06,1.3310746586238306e-05,4.491032126124402e-06,7.798962172977254e-06,1.1228239134924468e-05,3.853933649927457e-05,8.931202646575814e-06,0.00012967062351924415,1.335755297553988e-05,9.369502694805934e-06,8.843556359539856e-06,8.82395551460509e-06,7.716696558756457e-06,1.3349815604295551e-05,6.362610498892709e-06,9.778127589682221e-06,1.0286872489838769e-05,1.164233597791346e-05,2.8579922030342906e-05,0.07999728451331503,8.621178078165137e-06,6.97331880337679e-05,1.6903236346484583e-05,0.0,0.0011315250805806736,6.7430855999291035e-06,1.0225651460772976e-05,1.0094658029345336e-05,0.0001593544185538233,9.516635381488015e-06,1.1885353595133776e-05,7.950584914867484e-06,1.1093666905324412e-05,1.0177493202406967e-05,9.273773287854398e-06,9.044956327797473e-06,3.4398741353596525e-06,1.6043327631969747e-05,7.798962172977254e-06,7.581493190974206e-06,9.019519377574202e-06,8.136860629882482e-06,6.6112869920561625e-06,8.77804632563364e-06,8.35097168535125e-06,7.5081657241804054e-06,7.2897855628044534e-06,1.0135836486390293e-05,1.0420926315106258e-05,1.0996850871824614e-05,1.0446134128646535e-05,2.840930390326282e-05,1.9484991720483297e-05,0.0,1.0350297688984448e-05,7.468090505127458e-06,1.3133723798951079e-05,1.550430833524232e-05,9.146321611845945e-06,7.774650077205192e-06,4.515984279874002e-06,1.3287754696116578e-05,4.908014018641997e-06,8.952174279599577e-06,2.2672514156164014e-05,8.196971995165308e-06,1.0434962285439163e-05,2.3315271328107808e-05,9.421144803720797e-06,5.103276022004751e-06,8.540025074436328e-06,7.999475689958487e-06,0.0,9.327671123043366e-06,8.00186950217765e-06,1.266390275017143e-05,1.1234581478590877e-05,6.336828131825349e-06,9.936289908970199e-06,9.629717832766751e-06,5.032400956875041e-06,4.927513467274284e-06,0.0,9.91363714633689e-06,3.126964545011021e-05,7.134682348181103e-06,0.0001299085924309622,8.360440912784091e-06,3.5009159502126645e-05,7.829491945362958e-06,6.906598196878788e-05,1.7944810224279402e-05,9.41428598522158e-06,4.491032126124401e-06,1.1432085151498613e-05,9.829410128340166e-06,7.181860384743778e-06,2.2154317277539783e-05,8.366456399836675e-06,7.524867577476819e-06,6.362610498892709e-06,7.585195101036085e-06,0.00012967062351924407,7.15080537963312e-06,9.314777524169565e-06,7.053272626437376e-06,7.524867577476819e-06,8.387095884286787e-06,9.047118362343576e-06,8.185379558809711e-06,7.278618185462944e-06,1.1885353595133776e-05,0.0,7.578703060320337e-06,2.27911090590877e-05,7.818785877092984e-06,0.0013093796351773075,1.1859785212344008e-05,6.7307657236269e-06,8.358965205714242e-06,7.792784055983354e-06,8.550576554891277e-06,2.3586301414653962e-05,0.0027570362608816115,8.249901462035913e-06,8.164085116368574e-06,9.973224980218643e-06,7.459913820812854e-06,4.336119209939476e-05,7.653835236279797e-06,8.302526718872927e-06,1.0218621464499575e-05,8.216329532818997e-06,9.836102652603174e-06,9.0193474269912e-06,7.898013302765412e-06,1.6006192052803913e-05,8.933051431403941e-06,7.886952475401715e-06,3.0424477796357728e-05,8.543119046167942e-06,5.064020198175237e-06,6.353412547923676e-06,7.581493190974204e-06,7.962533698955099e-06,8.68089433726891e-06,8.506106544303212e-06,2.1772593190737366e-06,9.893179161076287e-05,6.5345597559935865e-06,7.134682348181103e-06,8.431470959080944e-06,1.3357552975539881e-05,7.578933976515918e-06,7.70280434437748e-06,9.050242124858789e-06,7.374434833176301e-06,8.964947106656703e-06,8.025594354728713e-06,8.764505418143189e-06,8.502519547094902e-06,7.571081684491152e-06,1.385459327697344e-05,8.465875836689026e-06
Animal feed ingredients and pet foods,0.0,1.0000000000010707,1.0000000000010714,0.0,1.0000000000010718,0.0,1.0000000000010714,1.0000000000010707,1.0000000000010716,0.0,0.0,0.0,1.000000000001056,1.0000000000010711,1.000000000001071,1.000000000001071,1.000000000001071,1.0000000000010711,1.0000000000010714,0.0,1.0000000000010716,1.0000000000010716,1.0000000000010718,1.0000000000010716,1.000000000001071,1.0000000000010714,0.0,1.0000000000010711,1.0000000000010525,0.0,1.000000000001071,1.000000000001072,1.0000000000010678,1.0000000000010711,1.000000000001071,0.0,1.0000000000010707,0.0,1.0000000000010711,0.0,1.0000000000010718,1.0000000000010716,1.0000000000010718,1.000000000001071,1.0000000000010716,1.0000000000010714,1.0000000000010718,1.000000000001071,1.0000000000010676,1.0000000000010723,1.000000000001072,1.0000000000010478,1.0000000000010676,0.0,0.0,0.0,1.0000000000010714,1.0000000000010711,1.0000000000010707,1.0000000000010711,1.0000000000010696,1.0000000000010716,1.000000000000985,1.0000000000010716,1.0000000000010645,1.0000000000010707,1.0000000000010714,0.0,1.0000000000010718,1.000000000001071,1.0000000000010711,1.0000000000010711,1.0000000000010714,0.0,1.0000000000010718,0.0,1.0000000000010707,1.0000000000010711,1.000000000001071,0.0,1.0000000000010711,1.0000000000010716,1.000000000001071,0.0,1.0000000000010718,1.0000000000010705,1.0000000000010714,1.0000000000010714,1.0000000000010714,1.0000000000010671,0.0,1.0000000000010063,0.0,1.000000000001068,1.000000000001072,0.0,1.0000000000010143,1.0000000000010718,1.000000000001054,1.0000000000010711,1.0000000000010714,1.000000000001071,0.0,1.000000000001071,1.0000000000010714,1.0000000000010714,1.000000000001072,1.0000000000010705,1.0000000000010711,1.0000000000010476,1.0000000000010711,1.000000000001071,1.0000000000010707,1.0000000000010714,1.0000000000010716,1.000000000001071,0.0,1.000000000001071,1.0000000000010714,1.0000000000010716,1.000000000001071,1.0000000000010707,1.0000000000010714,1.0000000000010714,1.0000000000010623,0.0,1.0000000000010718,1.0000000000010714,1.0000000000010714,1.0000000000010718,1.0000000000010705,1.0000000000010711,1.0000000000010714,1.0000000000010705,1.0000000000010711,1.0000000000010711,1.0000000000010707,0.0,1.0000000000010716,1.0000000000010714,1.0000000000010711,1.0000000000010711,1.0000000000010714,1.000000000001072,0.0,1.0000000000010718,1.0000000000010714,0.0,1.0000000000010716,1.0000000000010714,1.0000000000010711,1.000000000001071,1.0000000000010716,1.0000000000010705,0.0,1.0000000000010714,1.00000000000102,1.000000000001071,1.0000000000010711,1.0000000000010718,1.0000000000010707,0.0,1.000000000001071,1.0000000000010716,1.0000000000010714,0.0,1.0000000000010671,1.0000000000010716,0.0,1.000000000001071,1.0000000000010714,1.0000000000010718,1.0000000000010718,1.0000000000010694,1.0000000000010716,1.0000000000010714,1.0000000000010714,1.000000000001072,1.000000000001071,1.0000000000010718,1.0000000000010707,1.0000000000010707,1.0000000000010707,1.0000000000010705,0.0,0.0,0.0,1.0000000000010714,1.0000000000010427,0.0,1.0000000000010714,0.0,1.0000000000010711,1.0000000000010714,1.000000000001072,1.0000000000010631,1.0000000000010718,1.0000000000010714,1.0000000000010703,1.0000000000010711,0.0,1.0000000000010714,1.0000000000010711,0.0,1.000000000001072,1.0000000000010714,1.000000000001071,1.000000000001071,0.0,1.0000000000010716,1.0000000000010714,1.0000000000010714,1.000000000001071,1.0000000000010714,1.0000000000010711,0.0,1.0000000000010705,1.0000000000010711,1.0000000000010714,1.0000000000010716,0.0,1.0000000000010696,1.0000000000010711,1.000000000001071,0.0,1.0000000000010711,1.000000000001071,0.0,1.0000000000010714,1.0000000000010718,0.0,1.0000000000010711,1.0000000000010711,1.0000000000010716,1.0000000000010711,1.0000000000010714
Articles of concrete cement and plaster,2.140241590402566e-05,1.4218961584970175e-07,7.507486447532306e-08,4.179624026324016e-06,1.0950741479598816e-07,5.913358148201719e-08,1.7345485027003336e-07,1.4613759222985448e-06,5.777835931906983e-09,2.1806776225117486e-07,4.500559163955532e-08,3.748568212892529e-09,9.778121415840561e-05,8.996181683663069e-09,5.633677999405156e-09,1.2213240075958553e-08,2.209591953455928e-07,5.949987434002227e-09,3.3478381324028096e-07,2.8763352929808187e-08,2.0859364676678024e-07,2.1000713136314707e-07,2.485810649760643e-09,6.207051106430249e-07,7.69840789804572e-06,1.6249431202527117e-08,3.612105565952096e-08,1.1020099967419649e-07,0.00014079473868931284,1.1024837593869343e-06,1.9550738926299334e-05,1.064309017843553e-06,0.00014442325136857783,2.1105782977928217e-07,1.9465395918542734e-07,0.0012063136804933631,1.9303094459445684e-07,1.1265233458587419e-07,4.500559163955532e-08,8.996181683663069e-09,7.937192733451094e-08,1.8514489976737195e-05,2.104583951715158e-07,7.774122554953837e-08,1.4661050125201838e-07,6.249660186249266e-07,1.4756110808319267e-07,1.5731413965669062e-07,1.2475868546343992e-07,1.6684097054794146e-07,7.175125218832967e-08,0.0011035527764830379,8.278355524588818e-05,1.4479085857915441e-05,8.763256377083556e-08,4.960533107715835e-06,1.5428242317429457e-08,2.1376903159509696e-09,3.4578025775933384e-09,2.2493048112498195e-07,0.00012107558095494487,3.748568212892529e-09,0.0012063136804933631,1.1693450380870875e-07,1.6200203060737166e-06,1.5125038682849476e-07,2.1259638985271057e-07,0.0,5.921104176749608e-08,5.0268200415980434e-09,1.5658975581899328e-07,1.3925105104648558e-09,1.6160054802692307e-07,5.165353249839753e-07,3.492471106180352e-08,2.2663515785056622e-05,7.001172648235611e-09,2.146169522749016e-07,1.431126563042998e-07,1.1648601520493295e-07,5.165353249839753e-07,2.136873001680743e-09,1.6741146463476025e-07,1.2506040392166877e-07,1.768936272484731e-07,1.279176431979933e-07,1.3357956683920132e-08,1.3201516865622277e-07,7.741080131781543e-09,0.002049217505793637,3.815575720357966e-09,0.0008998367604881017,2.3281566601627168e-07,0.000841533238233629,2.1137063174027003e-07,0.0,0.0001014790824362956,1.3675915591667218e-08,0.00033148867783209287,1.903757882963447e-09,2.0837523630907745e-07,1.946489157306694e-07,0.0,4.671806226991587e-08,1.8393017270981405e-07,4.801036939993181e-08,1.6108797945179555e-08,1.0550385456207162e-07,5.1900053852502e-07,0.0038179271996874762,1.2295535120628428e-06,3.401111303761036e-07,5.451568278077819e-09,1.8509134851665615e-07,5.322028391969749e-09,2.2137983062703208e-07,1.6266020290966362e-07,6.535909385159131e-06,2.322256499765886e-07,2.1716245076145455e-07,2.3123169101579497e-07,1.4195055081204938e-07,9.627321860650811e-08,1.3278102445559307e-07,3.156541815790747e-05,0.0,1.8306483209080225e-07,1.9218955421550599e-07,7.946171790342179e-09,5.893855422343779e-09,1.287878119906727e-08,2.1461918266637784e-07,1.5903482789029728e-09,7.078941718266675e-09,1.3952798553101803e-07,1.9345892507487864e-07,5.984365399268263e-09,2.3629853518974427e-07,2.9692946943511892e-08,1.4574116450720062e-07,1.2210130527905003e-08,2.2459079786615343e-07,4.986716816855931e-08,2.0056829736405258e-07,2.3061561471885588e-07,5.711079920805117e-07,1.9428874309922625e-07,2.4078955826062866e-07,2.2264306135125842e-07,1.919984258783636e-07,2.1356979810052905e-07,1.9183995665597292e-07,9.40565581142417e-08,1.8199081665729683e-05,1.4510406144840522e-07,1.910351241547096e-07,0.0004321534238045875,1.5386104406029565e-07,1.0885049804301383e-08,2.430682480515737e-09,2.0048709713565724e-07,2.3698187379234853e-08,1.5386104406029565e-07,1.7401490333596408e-07,2.0784821629098045e-07,1.5386104406029562e-07,5.923796166424097e-05,2.274584738251145e-07,2.5534630060562114e-07,1.7149528092194356e-07,1.4761674261754055e-09,2.102348054491569e-07,8.541948185544262e-09,1.0153507511511162e-05,1.1648601520493298e-07,1.5541109562539202e-07,3.408538323795187e-09,2.30401255007795e-09,1.4975236820879504e-07,1.2942500392744485e-07,1.7134182104820235e-07,2.012224888794383e-07,1.3967340028012393e-08,7.586383787830877e-08,0.0,4.1159586831837946e-07,1.9418323852740562e-07,1.779925733485055e-07,0.00029527392310347656,1.2038134444353793e-08,1.843527281067089e-07,3.34983205476833e-08,3.242463065331024e-08,2.2112142659234115e-07,1.2322434938818558e-07,0.00025240572794845047,2.45059126944199e-09,2.4343348685118166e-08,2.405586693502055e-09,1.937187768099138e-07,3.044936749247894e-07,2.0217469893029683e-07,1.4812828447612078e-07,0.000726800529238708,8.304492230909325e-08,1.6167530046113244e-07,2.3368863633407983e-07,5.469835991552052e-08,1.8605350975385239e-07,2.1445607225858314e-08,2.0620002110678336e-07,1.8142224875783394e-07,0.00012622938447602114,2.2095139114481513e-07,5.301180589487385e-10,1.6163500151139303e-07,2.3624270173373557e-07,1.4116329034945328e-08,2.0094146368328497e-07,2.416945716777731e-09,0.0,2.8753449270142973e-05,2.5730221119198005e-07,7.702697030358079e-10,0.0,0.00023753296439150759,2.761176000625965e-05,1.5700147002102227e-06,2.2540296772119745e-07,1.7736459192481408e-07,6.96253876069001e-08,1.8605350975385239e-07,1.8186586399889955e-07,1.9218158728080625e-07,1.9268135297203003e-07,2.3015897564310498e-07
