,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,4.412909455592311e-06,5.8823635229591355e-06,6.07851039867463e-06,4.273848242327633e-06,5.674987058882267e-06,6.497018326834675e-06,5.928475949415673e-06,4.90309291685251e-06,4.97916421070634e-06,1.7009220432799556e-05,9.561470504075735e-06,7.605255359976824e-06,4.423530316244839e-06,5.690524209652988e-06,5.967727361200603e-06,5.351738376411757e-06,6.040886256922137e-06,6.279777318737572e-06,6.384479342521141e-06,7.429353085596123e-06,6.4128134733501235e-06,6.073031717144593e-06,4.628503450010535e-06,5.874223483410864e-06,4.876993261901256e-06,5.785255767068807e-06,1.1811871376983973e-05,5.866406399321616e-06,5.0556876920413144e-06,4.25433371903333e-06,5.1653094259809685e-06,2.4000536853815546e-06,4.630142355128022e-06,6.0477280676637714e-06,6.057251374223108e-06,0.0,6.096883791126398e-06,6.659304862078184e-06,5.0957501993969246e-06,5.690524209652988e-06,6.0789304464918645e-06,5.596768994516446e-06,6.073255255871244e-06,6.901639130594589e-06,6.26695171271877e-06,5.834745774104384e-06,7.1716671048828866e-06,1.8026373125193045e-05,3.2740334289078063e-06,6.531989662301979e-06,6.050419451183761e-06,5.2737748883357086e-06,5.573341022372687e-06,4.6792305616805675e-06,5.727694901463487e-06,4.373140172162483e-06,5.425246587124667e-06,6.212470469536259e-06,6.000498581513299e-06,6.07788546803016e-06,5.341715651222566e-06,6.217050376099462e-06,4.525547388580943e-06,7.081979064168354e-06,1.5607849929287874e-06,5.873358755069469e-06,6.055050415105904e-06,6.000498581513299e-06,6.024009696260605e-06,6.09777493299488e-06,6.155386915114072e-06,6.2409641340918385e-06,1.4453624129542067e-05,6.034146295553346e-06,1.1917485604517878e-05,5.8146670571704635e-06,6.168899051355514e-06,5.984176535628164e-06,8.245701986449858e-06,5.267909097055628e-06,6.034146295553346e-06,5.0975505111956975e-06,5.7781561065660685e-06,6.068591892279822e-06,6.123440321404198e-06,5.968992389967215e-06,6.792447658619542e-06,5.642107532020832e-06,4.754118650791252e-06,4.694431880582454e-06,6.2628863455487e-06,5.3122632348866506e-06,6.043461145543292e-06,4.412280579334894e-06,6.060544609947688e-06,0.0,5.222341401406476e-06,5.904892225132089e-06,4.832932680319799e-06,5.797897840620393e-06,6.060606720711079e-06,6.0552812880273475e-06,6.069869935027145e-06,5.5280097748608755e-06,5.912774404583466e-06,5.5513888512762736e-06,5.981779043214514e-06,5.424708327222416e-06,5.222268997453622e-06,5.03929353241684e-06,5.8239653618462e-06,6.301563148026808e-06,5.49953497652742e-06,5.553947032409157e-06,5.525959339924515e-06,6.089822187547728e-06,6.355431819809485e-06,4.249930109366041e-06,6.048138228976801e-06,5.738997036192628e-06,6.123760148819955e-06,5.872705395031239e-06,5.947053618909668e-06,5.8496843911775854e-06,4.979631782599568e-06,0.0,6.097738572510458e-06,6.021961262171391e-06,6.12322004164873e-06,6.5811141362115406e-06,6.154235551058618e-06,5.901399592702514e-06,4.233023954574149e-06,5.732707925740456e-06,6.4878316963769285e-06,5.913058179752674e-06,5.229890479461612e-06,4.447140355921853e-06,5.914791027008567e-06,6.31494916807018e-06,6.540282707940692e-06,6.050185432427331e-06,5.804062081017333e-06,5.9724438444212456e-06,6.049423680815587e-06,6.1062459090071655e-06,6.68059503310057e-06,4.147787098511316e-06,5.858541571648738e-06,5.9714720412612004e-06,5.9920724866437985e-06,5.884040240713446e-06,0.002215862281021082,7.300934628427705e-06,3.1822115740906023e-05,5.898735772232025e-06,5.353989591981303e-06,3.019980897961704e-05,7.606536598782269e-06,5.942906274033562e-06,6.085817919707681e-06,6.383072062479488e-06,3.1822115740906023e-05,5.980408429333676e-06,6.0430591169510555e-06,5.5914183760326626e-06,3.130587060049273e-05,5.312312568756059e-06,6.011834807766807e-06,5.935012073059828e-06,6.159646971201975e-06,5.864008510620171e-06,5.93943703453709e-06,6.276554814260398e-06,4.29778619914735e-06,5.267909097055631e-06,5.8973660856713255e-06,6.065879918711889e-06,5.988896799835651e-06,5.9999950543698385e-06,5.830203468266304e-06,5.740391745176735e-06,9.368715853027305e-06,6.069869935027145e-06,0.0,5.975480875918291e-06,5.16369828236515e-06,6.188250983570688e-06,5.139550623620519e-06,6.15512192464494e-06,5.93852251371342e-06,9.98529908181129e-06,5.891558794935514e-06,5.891966823115769e-06,6.517820880509794e-06,5.0653524483186344e-06,6.0276566698290345e-06,5.838184616423787e-06,6.075920454396339e-06,5.939515283502858e-06,4.246058194806897e-06,5.8847162423769144e-06,5.115763888668438e-06,4.100540987245901e-06,5.298142999311619e-06,6.10773855816467e-06,6.037334477578437e-06,5.5773446451219905e-06,1.5214066579771507e-05,4.336278029429329e-06,6.092765753341282e-06,7.669672882134886e-06,4.663232109774262e-06,5.990502060267549e-06,3.7421156509862906e-06,9.144949110236337e-06,6.084298040298798e-06,5.0656191104565e-06,5.873374429826092e-06,3.879005711657124e-06,7.606536598782271e-06,4.324800231252866e-06,4.0858275869070594e-06,3.214401751844984e-06,7.606536598782272e-06,5.098373043555474e-06,4.416873361203504e-06,4.168268842500527e-06,6.050757414827343e-06,8.456289739566717e-06,1.8084226036952812e-05,1.5214066579771507e-05,6.026174440325155e-06,5.903757246337149e-06,5.931532045807361e-06,5.915485205836256e-06
Agricultural and forestry machinery,6.340484442882085e-08,8.762175725462886e-08,9.944781142842805e-08,1.6642052881266043e-08,6.261993419388662e-08,2.529530314615215e-07,8.606477628387854e-08,5.691630433540416e-08,8.113875612456706e-08,1.0108014155349204e-07,5.8911158611400056e-08,4.599764781518707e-07,2.8554324076154333e-08,5.8904159589596325e-08,5.177392552492205e-08,9.347201303109131e-08,7.584295631703494e-06,9.578407471659748e-08,9.955597279676122e-08,6.733906704838134e-08,9.340271200144415e-08,8.953560468090617e-08,9.129754942114335e-08,6.233353903933807e-08,2.810210445338774e-08,7.719546672129989e-08,3.5501511877591827e-07,8.623647345593003e-08,4.296132348805815e-08,1.7159452036651172e-08,5.6799098309680754e-08,4.565281807621732e-08,3.123309522720776e-08,2.2892792347074643e-07,9.501076981955066e-08,0.0,8.050667116761864e-08,3.4245153602371386e-07,4.1392933798094395e-08,5.890415958959634e-08,9.190763987789444e-08,7.827405192584751e-08,7.713414543814482e-08,1.1431479588494806e-07,1.286236843687522e-07,7.597283815016516e-08,1.206968122145891e-07,1.4353618458691517e-07,6.584466597834354e-08,1.7169805783543469e-07,1.2734263377184906e-07,8.258050603119073e-06,9.209938810976562e-08,4.402152189604282e-08,5.890415958959634e-08,3.202722097145214e-08,6.120934313584871e-08,6.043149749582136e-08,5.1435923233456306e-08,6.490766763251175e-08,4.339722235380666e-08,7.972650502746695e-08,1.1635310875849538e-07,1.2013011771843e-07,7.097034445306402e-08,8.843890287252348e-08,5.087894426263527e-08,0.0,2.0623059340730484e-07,6.893632706350644e-08,7.540191182509183e-08,5.000860621802087e-08,0.0004377608599910382,1.2362051288092453e-07,4.599764781518706e-07,7.296978894276093e-08,7.534860711270471e-08,2.3488469667275912e-05,2.2005231220647798e-07,5.649074655508842e-08,1.1000433582826154e-07,8.721390421130939e-08,7.006130894195605e-08,1.9811883070363543e-07,1.1144298953736735e-07,8.227984628727016e-08,1.1455602238494349e-07,1.390122310788366e-07,6.104749440330723e-08,4.48981203342539e-08,7.571340235704256e-08,1.5648849754487575e-07,5.8105917258516396e-05,8.069387904630395e-08,3.1739821638046905e-07,0.0,2.1000760520035308e-07,7.195800551592492e-08,5.234643871011429e-08,8.039291080460099e-08,9.927469164624269e-08,9.242911592301517e-08,1.6642052881266043e-08,9.918752573160132e-08,7.938230588865457e-08,8.544558360842761e-08,1.0438649595401267e-07,6.125486847783648e-08,2.7310467973392076e-08,5.3121918955099017e-08,8.844981002095941e-08,1.2276061549272672e-07,6.026038091140004e-08,1.30230186205368e-07,8.236420178472639e-08,1.0058119416810608e-07,1.0209682798478814e-07,2.381065070265093e-08,1.0350381554650802e-07,6.200967102222978e-08,1.0395295427594962e-07,7.494407101466089e-08,1.229646831356466e-07,8.15427484233808e-08,2.865079633128269e-08,0.0,9.832802404549047e-08,7.591026800690749e-08,9.72615077922127e-08,1.0143369978175107e-07,9.35682212857752e-08,5.149090476327396e-08,1.1982123265989385e-07,8.571882096088738e-08,1.0564501724765369e-07,9.704839207935743e-08,3.014329910017969e-08,4.575045528127072e-08,8.094315952835726e-08,1.2076624830714617e-07,8.65863615535249e-08,9.457776480335664e-08,7.774413677663535e-08,7.941197880278511e-08,1.1604355145244041e-07,9.827057663421146e-08,1.208143367439715e-07,1.6642052881266043e-08,1.5399332831032896e-07,7.965287370657341e-08,2.384457342102464e-07,7.97164804493748e-08,1.9080547220905013e-07,2.926022708923669e-07,7.421015402760714e-08,9.637077046778628e-08,3.5422460828916693e-07,1.0468453558941408e-07,6.637921531979513e-08,8.636417172680774e-08,9.580274170362672e-08,4.886839080237751e-06,1.5322341075894597e-07,8.218122565225053e-08,9.34749028208467e-08,1.9479903082353477e-07,4.9100238955680936e-08,1.0425767469741805e-07,0.00012874104045347318,6.431672712722974e-08,6.549934006612751e-07,4.729705503431623e-08,7.713414543814483e-08,1.1595374626484985e-07,4.83917892275474e-08,5.6490746555088435e-08,7.56624536393396e-08,8.305681790886372e-08,7.749169419354638e-08,8.209994483348556e-08,1.1450409868711736e-07,1.068488271363235e-07,1.1228869619407493e-07,7.331042451979277e-08,0.0,1.059965703441318e-07,1.0897174307071747e-07,8.986673128455297e-08,1.0826839804739032e-07,5.222467065512261e-08,7.594342942700719e-08,4.29701005610002e-07,8.89321050940076e-08,3.1707341967841624e-08,6.86505369773075e-08,7.412682314720372e-08,9.015572591359839e-08,5.527723775538103e-08,7.383988726143295e-08,7.701475586297174e-08,2.036140217592659e-08,1.022641994193424e-07,8.615403802155793e-08,3.011700399726949e-08,2.6460204530793076e-07,1.4543989880668756e-07,1.012340118625143e-07,8.238844583423025e-08,9.578407471659748e-08,1.6282048224556644e-07,1.229003766962481e-07,5.021865315887116e-07,4.401647200234802e-08,9.405974781022064e-08,1.0793565224017848e-07,0.0003928378195587452,1.1642168144583448e-07,1.0004972575965878e-07,1.4348141904929824e-07,8.69862584548562e-08,4.1952101857480185e-08,5.299122308598854e-08,1.6642052881266043e-08,6.824511519435652e-08,0.0,2.606516462987916e-08,1.0581710167326564e-07,3.3466569035787555e-08,1.544276267541534e-07,1.1463229483536568e-07,1.3603627374508955e-05,3.613069253148e-05,8.486171294038992e-08,8.10164178236145e-08,9.469025420916134e-08,8.853628037112517e-08
Aircraft and spacecraft,0.00016420063464736998,0.00013382090197875264,0.00013155332463328533,0.00018097309834476854,0.00010540662930227167,0.0001085708567131306,0.0001833851394805681,0.00011807688794823221,8.739610417564325e-05,0.0005554805959549471,0.00014515366086417886,6.916989093224713e-05,0.00012610313829933053,8.011442114837747e-05,0.00011508920160750265,0.00019586478993191013,0.00012071124264575508,9.62310943549347e-05,9.425691727148266e-05,0.0005707559661402343,0.00010075831775737257,0.0001933010418500209,0.00011762248807558168,0.0002883875131495988,0.0001339314111674888,8.181494326083352e-05,8.343375523522199e-05,9.974350343330208e-05,8.1503551620306e-05,0.00010545099048667929,9.482902807066687e-05,9.63932836063234e-05,0.00018667234739796958,0.000274478734822806,8.82366551927933e-05,0.0,9.904358549602648e-05,0.0002460654851206908,0.00015675833971162507,0.00024291271745909682,0.00013059371776776146,0.00010176117609689617,0.00010893639209541149,0.00010228454843226083,0.00010344655238302402,0.00014520952376155183,8.617862036451737e-05,0.00010876573135162135,0.00011257361332986202,0.00019997748064469267,0.0001586917050652932,9.65046116246186e-05,8.439267582953345e-05,0.0004584510724134683,8.01144211483775e-05,0.00014125837478572742,9.348610491042032e-05,6.860547459252332e-05,0.00013729642786139044,9.913756409462168e-05,0.0005871807803387222,0.00014404135064232602,8.787039615735003e-05,0.0003008528797803159,9.824447435597295e-05,0.0001539485640103607,0.00015148578507084544,0.0,6.346713710607975e-05,9.073028466025838e-05,0.00032260020263839194,0.00011860867141710761,9.666429743868846e-05,0.0006079060592090871,8.3433755235222e-05,9.576129271240975e-05,0.00013744466422508527,0.00011896561123572192,0.0001428431902087555,0.000541711374873742,0.0006111765480449221,0.00012274993883285931,0.0002402013480196773,0.00018607457089324419,0.00010411773434540143,0.0006105152227342538,9.619917700344484e-05,0.00018396008643803226,9.858172895636604e-05,0.00015671016640363947,0.00019733435965072624,0.00010126410069087915,0.00010878058362691603,0.00010052721188963547,0.00022509439350400093,0.0,0.00012508004673608507,7.636284775196887e-05,9.019940269919908e-05,0.00012346489316000401,0.00013936297092583108,0.00014243943326477108,0.00017821688314012218,8.986913842204991e-05,0.00014032104798926667,0.00010055239994753174,0.00018820070192655087,0.00012723301263071037,4.9807460611287636e-05,8.746400255723736e-05,9.576129271240975e-05,0.0001236432586282427,0.00010585386186490473,0.00010892591397503477,0.00011171101715753664,0.00010354152580797217,0.00010180042991726738,0.00011105949537181628,8.961212183474327e-05,0.00010353367109649786,0.00011564199767838172,0.00023237370177220577,0.00039789933557783175,0.0002526688609803199,0.0001584742933689687,0.0,0.00024754860826214307,9.571464690497987e-05,0.00013952048293366435,0.00012562802649039356,0.00014817017751480284,0.00010242730692269063,7.582899437166082e-05,0.00010074890273442201,8.744660952775717e-05,0.00012264131283242164,0.00010252221822362098,0.00012752714091233006,0.00011843661619745872,8.718523512886846e-05,0.00018795385154272526,9.202152580234472e-05,0.00010191229911149247,8.605647906378291e-05,0.0,8.878586276534326e-05,7.888033702326065e-05,0.0005362644431699316,0.0001231110752914146,0.00013712337731545878,0.0001275470201955584,0.00010384727924139434,0.0002948886835911579,8.333405248962564e-05,0.0,0.00014827009370897018,8.794096234537386e-05,7.912702155863841e-05,0.0005425858083596359,0.00013798834912311344,0.00010403838833448627,8.011442114837747e-05,0.0001572437660294151,0.00025087977082948295,0.00011290012551452588,0.00010391957873780247,8.343375523522196e-05,0.0001142598925303758,0.00014492629424531426,8.156077987552982e-05,0.00017020228450518004,0.00010194049814910106,8.786628458791239e-05,9.619917700344484e-05,8.629353915889006e-05,0.0005417113748737417,0.0002269434815611347,0.00010247988747350731,8.786628458791239e-05,0.00010845248902246564,0.0001661450419994721,0.00016213867975823368,8.959060408532655e-05,0.00017821688314012218,0.0,0.00011779617300648519,0.00013862919793898793,0.0001935593537537855,0.0002045453364719189,0.00017782804085477992,9.847086793984202e-05,0.00014431059370370692,0.00010181490430529026,0.0001674369198470749,0.00010051456436428097,0.0003785568239744873,8.765793301441255e-05,0.00012110063082581146,0.00011629694278463865,0.00012637224417624083,0.00020115411924242994,0.0001246082954309041,0.00014915468551909635,0.00021951442755490462,0.00012201917882469038,0.00016543565633963782,0.00019464884734269564,9.783313264110255e-05,0.00012561581284650008,0.0001063085114261316,0.00011214268170857659,0.0001103040308992477,0.00010214527476668313,9.09305196236868e-05,0.00010203165511236597,0.00012364325862824268,9.609709608288888e-05,0.00012094521211439728,0.00010995286414768698,2.7774041927426034e-05,0.00044361408017330706,9.051178484090237e-05,7.912702155863841e-05,0.0001257634601316794,0.0006111765480449222,0.00010974847602742125,9.421450748221591e-05,0.00010701473226837003,0.00010850181074629136,0.00010158827130066412,9.37204411717937e-05,0.00012985197327233897,0.00018350740055791932,0.00010182457792471528,0.00011662638340029695,0.00012401292850819438
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile bodies trailers & semi-trailers,1.6510335303955816e-08,4.991856243282156e-08,7.071880476759874e-08,2.1276412676151747e-08,3.470295499723848e-08,7.416621315053077e-08,5.608354237574613e-08,1.5636323189664688e-08,4.1350613815192783e-08,1.5895298499444444e-08,1.2156523335131025e-08,4.758231286496871e-08,3.648193922957313e-08,7.753704025050832e-09,3.696502326335037e-08,4.385138480457775e-08,1.0871191419081238e-07,5.3914805649735294e-08,1.3750377490468414e-07,4.1836493031978955e-08,2.853365828650928e-07,5.2006762757718485e-08,5.84514022939672e-08,4.6480035564999415e-08,6.958799997593047e-09,3.504810141736434e-08,7.326733386956418e-07,3.9430856396517065e-08,1.270316773515419e-08,1.9692697732575922e-08,2.970905692550404e-08,1.9672948300342245e-09,8.205096722861652e-08,4.1215960894189485e-08,4.778333371599425e-08,0.0,5.560658017932299e-08,2.5212787687411814e-07,6.188809773379852e-09,7.753704025050833e-09,1.1223655438137833e-07,2.6539387164230445e-08,4.532680000641144e-08,1.3869784220280039e-07,2.5609724670537996e-07,5.14181331910929e-08,1.855207638209898e-07,6.65437353317579e-08,6.131503298296035e-09,1.0839502757073732e-07,6.291029493025005e-08,4.341446532117267e-08,3.119787736165311e-08,4.07725726744619e-08,8.177820002898037e-09,1.716274199369365e-08,3.2348692232810673e-08,5.269765164470087e-08,2.8448669937604125e-08,4.942253388054278e-08,4.7369441047435667e-07,5.868814755337248e-08,1.512477667890101e-08,7.449004620111843e-08,5.734651691319624e-09,6.943418684089035e-08,4.993648227730975e-08,4.532680000641144e-08,3.411373999589511e-08,3.0522860323991826e-08,4.793687376255489e-08,1.10599230662623e-08,4.428565471946004e-08,1.6033338989848829e-07,1.0011473316848144e-06,1.8492270986726588e-08,5.293792722050788e-08,1.2954510963815823e-08,2.1878663954847061e-07,3.6999387484897034e-08,1.6033338989848829e-07,5.302884436173425e-08,6.916542124951375e-08,5.3763181830398283e-08,1.1584931372378906e-07,5.2176369393293007e-08,1.0379850549526688e-07,3.772516738159283e-08,5.4189397188813326e-08,1.3007751233473256e-07,5.597207668351552e-08,1.5350198593174174e-08,6.841098151805325e-08,5.538875141625017e-08,4.498995055637468e-08,0.0,1.566356410517687e-08,8.17314555596648e-08,3.423342615215559e-08,5.2457659328321206e-08,4.352160274613407e-08,4.914139014439887e-08,6.72542859377378e-09,1.436157713200639e-07,3.276852693442716e-08,4.089729298768127e-08,5.5730308292662214e-08,6.218455085318769e-08,2.6534517443496344e-08,2.9572461928056992e-08,1.1086333407149155e-07,5.5980069959272305e-08,4.793426288683594e-08,5.466627646564976e-08,4.4925530853989335e-08,4.632651628986702e-08,5.142212129022214e-08,7.944816370508494e-09,5.555897181843029e-08,3.657384790404448e-08,4.697499566005931e-08,7.069812732305244e-08,5.392261783703394e-08,4.93701103597691e-08,1.0866376674079136e-07,0.0,4.840831740115056e-08,5.629990582775415e-08,4.314898314206794e-08,9.708749997082868e-08,4.396678463303846e-08,5.348578568779576e-08,3.335190280667515e-07,9.082453918856939e-08,1.3300772581686677e-07,4.3425063251645214e-08,1.495327199554779e-08,3.2300600483608774e-08,3.3611802453188865e-08,2.753207638661638e-07,1.0020489198803233e-07,4.680914333811845e-08,5.227305341282928e-08,4.757186933508162e-08,5.397892009620958e-08,5.4778969662774625e-08,1.0996855200961783e-07,6.72542859377378e-09,1.9874233672923297e-07,5.0993284975493656e-08,4.2983275420396593e-08,7.822660610231013e-08,6.007555123293943e-07,1.1129542598243732e-07,9.853348000290374e-09,5.110625805473694e-08,2.6609888245149088e-08,6.648365954063163e-08,3.934324780470196e-08,3.3888793153507626e-08,5.383507717880698e-08,4.0842777691299636e-08,6.65437353317579e-08,5.4095198414710394e-08,4.453518840662447e-08,3.826211119559377e-08,0.0,3.2008616392071774e-08,4.4519040264916293e-08,4.7760034296237514e-08,3.2613549895781846e-08,3.727370977116946e-08,4.7852236300221583e-08,8.646173280081981e-08,1.8080076361335896e-08,3.6999387484897034e-08,7.19120288446814e-08,9.631645911967609e-08,4.839718152929151e-08,3.7678345664033255e-08,3.734626825712342e-08,4.126952812584002e-08,2.443134478560869e-07,2.8214785676957624e-08,0.0,1.1243522630734522e-07,4.168337597765162e-08,3.999273855681002e-08,1.1733262365123518e-08,3.9736879984760575e-08,1.2138894466144298e-07,3.4952532894842546e-07,5.641459559432353e-08,5.5015959988609294e-08,9.578346707360633e-08,6.30300666532559e-08,6.22525738661275e-08,5.2459231151446325e-08,4.061591276745374e-08,5.6724056786964855e-08,5.594968050465831e-08,3.0254156197193775e-07,3.481129286918192e-08,9.210402710480751e-09,1.206844718763828e-07,1.130354741503789e-07,4.0665668077088656e-08,4.1269597290232225e-08,3.239745530106862e-08,4.9021364410536954e-08,1.3355581571623727e-08,0.035766135314181546,3.8183949887353085e-07,5.913053681490539e-08,1.050189955834544e-08,2.1557053953692682e-08,4.781261052534161e-08,4.9171986058849004e-08,5.0776623867251386e-08,4.6980596217025616e-08,0.0,2.354207123340942e-08,6.72542859377378e-09,8.396987686409466e-09,0.0,3.729477421120184e-08,1.9687572645118007e-08,3.9037318204509093e-08,4.564558128394181e-08,7.465959428841092e-08,6.606889250565033e-07,3.239745530106862e-08,4.3144722807219776e-08,5.619673257525524e-08,5.7656085334187487e-08,6.969860630615341e-08
