,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,3.504050178352525e-06,4.852191339773349e-06,5.0024645587789225e-06,3.2682494702501453e-06,5.16964449380145e-06,5.3292724975536364e-06,4.971790425820303e-06,4.01047955771309e-06,4.459204462165245e-06,4.800128570729974e-06,6.210680761276383e-06,8.481859030639318e-06,3.425705195781904e-06,4.6319037613585025e-06,8.068095025183065e-06,4.694875995080517e-06,4.970489153530686e-06,8.304623333611519e-06,5.127792316949663e-06,5.4310703347020715e-06,4.995620139659631e-06,4.9428588842207665e-06,4.283379137991582e-06,4.980796757066361e-06,3.808707311193779e-06,5.914885142864714e-06,6.363337169586691e-06,5.718977223663915e-06,4.053414994973235e-06,3.2330733284131833e-06,4.2346579739378385e-06,1.9590521952216113e-06,3.6711898701718672e-06,4.851603931060983e-06,4.931829705637666e-06,0.0,5.005194922730897e-06,5.357152801319312e-06,4.016145711550982e-06,4.6319037613585025e-06,5.409598576833023e-06,4.576185477420322e-06,4.937902166600015e-06,5.220792153042412e-06,4.987286383171066e-06,4.825687792942498e-06,5.342148105240231e-06,5.188129456375162e-06,2.638401408406067e-06,5.085061876713238e-06,5.237692649969329e-06,4.249962308474552e-06,4.787001562260053e-06,3.6536553255243772e-06,4.632720919737986e-06,3.2918942706793204e-06,4.709262683418981e-06,5.851052601349189e-06,5.607449463889248e-06,4.42882747339872e-06,5.7999296153167e-06,3.5619169128559726e-06,5.39636873817385e-06,1.2592334420054654e-06,4.982799196930699e-06,4.984075362141392e-06,5.607449463889248e-06,5.241030713376153e-06,5.6995039144398505e-06,4.963233479543065e-06,5.859357116142398e-06,4.824551252729397e-06,5.326440599192459e-06,6.383088793127471e-06,4.9724150942822635e-06,5.891338524595815e-06,4.862793487116422e-06,5.44447492443292e-06,4.418048520961259e-06,5.326440599192459e-06,4.582228249264978e-06,4.863328171698837e-06,5.3382623811773755e-06,5.05201584041595e-06,5.035099705155816e-06,5.1088329878039796e-06,4.688772073341755e-06,4.271477232361924e-06,3.6609092957385034e-06,5.748590417425985e-06,4.3000054719266925e-06,4.9059618595932855e-06,3.5192392030747995e-06,4.9047941922789704e-06,0.0,4.195333620885168e-06,6.415705290934259e-06,3.8068904114844257e-06,5.083075270645817e-06,4.907038233107e-06,4.923922806069942e-06,4.852014182566301e-06,4.695017130673421e-06,4.9133045901413376e-06,4.636491390000389e-06,5.529763893110791e-06,4.7114086185935906e-06,4.859722527242377e-06,4.027839565134977e-06,4.983478802099588e-06,4.7546781346995155e-06,4.852215230618198e-06,4.492968067790495e-06,4.849736589735192e-06,4.943718214971064e-06,4.784797532216482e-06,3.248770004006833e-06,4.92382794211128e-06,4.983206771041614e-06,4.924860316797472e-06,5.034056426378142e-06,4.8365544143300375e-06,4.851256392157062e-06,3.970917084473113e-06,0.0,4.968695435434929e-06,5.052428444467488e-06,6.920890016928476e-06,6.229754797074001e-06,6.760577554952449e-06,4.787652854107458e-06,3.689071180903213e-06,5.530929889674928e-06,5.466468950778535e-06,4.799444610708566e-06,4.296951629583577e-06,3.416050502082083e-06,5.241622777761222e-06,5.0577666500757654e-06,5.258701874271799e-06,4.943969820917231e-06,6.10488758374971e-06,4.972794661795825e-06,4.9218558143184745e-06,4.915262610316908e-06,5.084750119724719e-06,3.1534511029060473e-06,4.947370545545138e-06,4.9267942609414084e-06,4.8631102299980265e-06,5.002193381815609e-06,5.885103325779607e-06,5.168268854574078e-06,4.756654982099461e-06,4.9216709249022364e-06,4.3114562683607e-06,4.748910151531257e-06,5.0173754218071505e-06,5.059742111500131e-06,4.9249432416381865e-06,4.624448157026158e-06,4.756654982099461e-06,4.996340195514533e-06,4.9324444221484146e-06,4.518233109544467e-06,4.707567707359614e-06,4.3569762255603635e-06,4.883049098968826e-06,4.768191572526412e-06,4.882223129509e-06,1.129351562494133e-05,4.972018504007031e-06,5.399976005081209e-06,3.4817395197668976e-06,4.418048520961259e-06,5.271599591904145e-06,4.9935267086896335e-06,5.614185470516206e-06,5.221715169511841e-06,4.973712765500355e-06,4.87184865434537e-06,4.679072521692594e-06,5.880789566212714e-06,4.852014182566301e-06,0.0,5.210025021209874e-06,3.5760258134176157e-06,4.9341951410353655e-06,4.1706926556090886e-06,5.472094379675127e-06,4.8360521926098895e-06,5.730482717249935e-06,5.532551559948491e-06,4.914024915030442e-06,5.303235595692782e-06,3.980402598699386e-06,6.241691909672195e-06,5.463119908819011e-06,6.770262178182765e-06,5.047526765094171e-06,3.216263950736549e-06,5.12099458248304e-06,4.2132827464116875e-06,3.0957968944171557e-06,4.132207092032627e-06,4.9517984638919365e-06,4.9477475491681315e-06,4.83296928647127e-06,4.76095991065541e-06,3.525493448118306e-06,4.910048867595355e-06,4.90605131513868e-06,3.8257322636942954e-06,5.286662002483209e-06,3.0517968901077855e-06,4.936746725812337e-06,4.992547299758142e-06,4.127805411858255e-06,4.888721140751305e-06,3.971720820946511e-06,5.017375421807152e-06,3.486886636932014e-06,3.082076908573275e-06,2.7938865103990843e-06,5.0173754218071505e-06,4.164659728637696e-06,3.5700764033729676e-06,3.1784446210554263e-06,4.935379471104975e-06,4.949297134747544e-06,5.829066309469633e-06,4.76095991065541e-06,4.9180643709603995e-06,5.067696749382281e-06,4.941082421545195e-06,4.989004232586669e-06
Agricultural and forestry machinery,5.590607001762077e-06,1.6953659560880306e-05,1.4138513557903847e-05,3.6794920054324575e-06,9.301038189895078e-06,1.0489386806728804e-05,1.712911922835893e-05,9.15546478200142e-06,1.2325880453063562e-05,2.0802700486407006e-05,7.458738200101636e-06,1.3174097721353319e-05,6.122937837550876e-06,7.456288624885128e-06,1.066907568983615e-05,1.403528680233601e-05,2.039384246128752e-05,2.355877526942798e-05,1.4084242664004814e-05,1.8101312406019404e-05,1.3512599752566812e-05,1.407207740467269e-05,1.3627411108707959e-05,1.3471121773204456e-05,4.238851628445653e-06,1.43879686108834e-05,1.3824559385186306e-05,1.2905518236051285e-05,8.044702159415509e-06,3.7866372445332444e-06,8.798536839552358e-06,8.632178195887633e-06,9.60300422657472e-06,1.5158140156746954e-05,1.6075074107641953e-05,0.0,1.5287966555945728e-05,1.3788351814344266e-05,9.494757889495856e-06,7.456288624885128e-06,1.6432616979505725e-05,1.1774543521671092e-05,1.1511685237735605e-05,1.3180895075259988e-05,2.6611911764876188e-05,1.3264289584875299e-05,1.4786269873517861e-05,1.880728283392272e-05,8.777301451963656e-06,5.2098915851170694e-05,9.94262104399988e-06,1.4213522971426538e-05,9.50289792553531e-06,1.370152830607729e-05,7.4562886248851286e-06,1.9941083379039805e-05,1.5345685430848828e-05,1.3292482326316442e-05,1.194607257485429e-05,2.828501655577148e-05,2.0714794604456498e-05,8.575485371543628e-06,1.2588629732252567e-05,1.0575314743364851e-05,1.5274345494200814e-05,1.0935953553840956e-05,0.0,9.756163867182357e-06,1.6621518005765827e-05,1.3347477025116359e-05,1.2303729630161545e-05,1.4359738424886847e-05,0.00011938868844737871,1.3174097721353319e-05,1.3901188513197507e-05,2.058318355071297e-05,9.445313525661117e-06,1.6919129012213427e-05,1.8949350483943962e-05,0.00016516265424079452,1.5720036459582036e-05,1.2436696822560918e-05,2.281427727193792e-05,1.223032820170711e-05,1.4883270270794395e-05,1.1252467466667304e-05,1.3537723086963728e-05,1.0015016190278691e-05,1.684862366820426e-05,1.9547654834704674e-05,1.2293167133366136e-05,1.8077898235907742e-05,1.893380534327606e-05,1.2942800351682151e-05,0.0,8.842778400572625e-06,1.0430115623605271e-05,8.838624419692377e-06,1.5435680355127024e-05,1.4228552306344998e-05,1.599782742018402e-05,3.6794920054324575e-06,6.68240473359448e-05,1.192001247051707e-05,1.8682903152208316e-05,2.6025756739949152e-05,1.0504156434423044e-05,4.121652979069971e-06,1.4283275446227918e-05,1.7901223994030267e-05,1.824532987690816e-05,1.0344332543033018e-05,1.81703185978359e-05,1.225657045104801e-05,1.7514139580350044e-05,1.5669237420977418e-05,6.3827282279806294e-06,1.590357218039649e-05,1.373604711990468e-05,1.7828067204325187e-05,1.380505353038038e-05,7.292565879774697e-05,1.551394935107712e-05,8.31338053079125e-06,0.0,1.5472349956610694e-05,1.4468668933881487e-05,1.67775218450898e-05,1.5113198269502623e-05,1.4506929299775222e-05,9.997458914819622e-06,9.61858580866226e-06,1.6433160593259512e-05,1.2816056072694728e-05,2.465445043114076e-05,5.937274806481845e-06,7.453380805193238e-06,1.312162054550566e-05,1.8192955006323474e-05,1.938249814323064e-05,1.5280213830530166e-05,1.1999940700306654e-05,1.1684331937065982e-05,1.9065827389979895e-05,1.4658185018539666e-05,1.4640979449835261e-05,3.6794920054324575e-06,3.8409357616140156e-05,1.743113020430558e-05,1.545931540044667e-05,1.5704425517371305e-05,1.2619150203664023e-05,1.2805592522747311e-05,9.47103087660391e-06,1.4448820540473134e-05,1.3014878544289656e-05,1.4339333460230577e-05,1.814223477421994e-05,2.3559418447838506e-05,1.4442126579160949e-05,7.78034125984603e-06,1.9871619183835806e-05,1.7928835894585237e-05,1.4391903676387047e-05,8.3737031076463e-06,8.99237964657252e-06,1.1427293180817295e-05,1.5400103537268523e-05,9.904400019507577e-06,1.1064690892029306e-05,1.039971317839038e-05,1.1511685237735598e-05,1.0316005771633994e-05,8.738870067077323e-06,1.8949350483943948e-05,1.0644408102093043e-05,1.8001130228179033e-05,1.3251352268032248e-05,1.3481553231484895e-05,1.7382589196096413e-05,1.7916740106267144e-05,2.2200852899297538e-05,1.3510856548662514e-05,1.556741399886264e-05,0.0,0.00014442870876363745,1.5994665611775162e-05,3.693401013498e-05,8.126187598486014e-06,1.1723931968576896e-05,2.3977765852031306e-05,1.2907977006494415e-05,1.4054299011428368e-05,5.9366641472236505e-06,1.1081722483087943e-05,1.3319855958470314e-05,1.7683826607310263e-05,1.1161425204175401e-05,2.0552699824636164e-05,1.4757495569397192e-05,3.996081267167556e-06,2.122782984079742e-05,2.6605696624958002e-05,1.1403074210105516e-05,1.8055601811030377e-05,1.8591825600926883e-05,1.8058835795557037e-05,1.294804244832237e-05,2.3558775269427984e-05,1.2220568913554407e-05,1.3427463262811693e-05,1.4338123846058587e-05,9.860583895854502e-06,1.0373126793965977e-05,1.6590512185166257e-05,1.4684044598540898e-05,1.916118374760021e-05,1.6403547706809867e-05,1.6768165454805892e-05,1.1956102700142189e-05,9.5534647175951e-06,1.1910246671103112e-05,3.6794920054324575e-06,9.562217807893159e-06,0.0,1.0490570573263041e-05,9.31346691133849e-06,5.1809593446127215e-06,1.4031318092023314e-05,1.3398558242587875e-05,1.1608798055893191e-05,1.4747220753284574e-05,1.7269742548452204e-05,1.519531863079378e-05,1.56666900620011e-05,1.6237101587823434e-05
Aircraft and spacecraft,1.208195460431961e-05,1.11546064169125e-05,1.0343599459274211e-05,1.126014684373492e-05,6.291603487603098e-06,8.600186177996626e-06,1.1267885369682012e-05,1.1808627286088549e-05,8.77647483242676e-06,1.2557152574221415e-05,1.0860561819559656e-05,7.33719390581019e-06,1.0043173278995955e-05,7.672283117887484e-06,1.1099954938393905e-05,1.142917379724124e-05,1.03253791275403e-05,8.404076604992216e-06,9.076042249048963e-06,1.205891118485666e-05,1.0684582880887823e-05,8.910536324701717e-06,1.0069970755987766e-05,1.1474007142125305e-05,1.1674185481685126e-05,1.2640086271795847e-05,5.044561957975305e-06,1.1800499852338295e-05,1.2802527868237662e-05,1.2908065354959826e-05,1.0455987209282306e-05,1.0780662772665078e-05,1.2301212764883146e-05,1.2327333989932084e-05,5.333505006956633e-06,0.0,1.0884662708166782e-05,1.2087676462356872e-05,1.0970734839698541e-05,9.270056826620464e-06,1.1201230326605133e-05,7.86288441142966e-06,9.683364056122287e-06,6.688757815540824e-06,8.15858963532653e-06,1.0917658141379173e-05,8.542372416331374e-06,9.51384245644684e-06,8.423132020550932e-06,2.8471155629270307e-05,6.908848596104599e-06,1.2384663494893435e-05,6.292583839775409e-06,1.1958665711895285e-05,7.672283117887484e-06,9.771137444702348e-06,1.1841706365561168e-05,7.427912585183848e-06,9.84597814046373e-06,1.2800319626561703e-05,1.1503504534560764e-05,1.1898991571544247e-05,1.0357417236214599e-05,1.2783564363205421e-05,1.0831588167053104e-05,1.1199590864820512e-05,0.0,4.598920345327372e-06,1.2277014174209845e-05,1.2363599583384312e-05,7.563110415001468e-06,6.146332295450717e-06,1.2840453668116627e-05,5.044561957975305e-06,1.2205715677674583e-05,9.863402981228352e-06,9.540598756007007e-06,8.442482503704278e-06,1.1472884416112978e-05,1.2884359185560957e-05,1.0443069167881964e-05,1.0863628506587186e-05,1.1154181977587428e-05,1.0399594525952864e-05,1.2881004223350965e-05,6.672816310672963e-06,1.12947832144006e-05,1.0186881319724052e-05,1.0972124484739993e-05,1.186929818633904e-05,9.26172455960379e-06,1.1739183374842128e-05,1.2687824449577583e-05,1.0589628374351262e-05,0.0,1.1967607657201593e-05,7.279524973660399e-06,1.3119042319113492e-05,1.118799654635483e-05,1.007006047700171e-05,1.037888906363269e-05,1.034077640289581e-05,8.346454211685517e-06,9.535172438982167e-06,1.12317466929542e-05,1.0348153207112275e-05,1.2046120280593685e-05,3.221892679597559e-06,1.2886045955791886e-05,1.220571567767458e-05,1.1140325949629538e-05,1.0181213066370135e-05,2.0033322582656648e-05,9.018370385038079e-06,1.1216950368478608e-05,8.077613325465201e-06,1.3077776244988613e-05,1.1192378803194003e-05,8.929428811186397e-06,1.0215601079640184e-05,1.042370201845031e-05,1.126096454762685e-05,1.0033366825429958e-05,1.2324576760034639e-05,0.0,1.0998629751274183e-05,2.813092531406573e-05,1.1396854354080172e-05,1.1358301074030932e-05,1.1076617412312504e-05,1.0550574490932841e-05,6.710118309413989e-06,1.1328106104886593e-05,6.473105621675982e-06,9.434309589820512e-06,1.1468178942077699e-05,1.1436821027025214e-05,9.851226766700008e-06,1.1539196815266591e-05,1.0282844394176844e-05,6.1454322862556516e-06,1.1936219348266247e-05,1.1767328778921381e-05,0.0,1.0178051343259125e-05,7.657645536472143e-06,1.2568892892486201e-05,9.937709146876227e-06,7.384662076051779e-06,9.349602558458898e-06,1.852923903381763e-05,5.383620069569331e-06,5.83746654371745e-06,0.0,1.117055853585202e-05,1.1073385707684657e-05,1.3090125924233077e-05,1.1483634943798324e-05,1.1090891776000239e-05,8.517540469759535e-06,7.672283117887485e-06,1.0893405472626856e-05,1.000004523648128e-05,1.0134606742102271e-05,6.801538315153565e-06,5.044561957975304e-06,1.1505848754380501e-05,9.402967301594667e-06,1.2639912301476451e-05,9.85785662771364e-06,1.203834456500734e-05,1.0478656114599288e-05,6.672816310672963e-06,1.3146348915943768e-05,1.147288441611298e-05,1.2948770149332068e-05,1.2321631557159776e-05,7.213134697726558e-06,1.0478656114599288e-05,1.2182004364440173e-05,1.1800342291049241e-05,1.1367558850222353e-05,1.0699282313314323e-05,1.034077640289581e-05,0.0,1.741558588363144e-05,8.364248191984932e-06,9.421297096266393e-06,1.1940212133327664e-05,1.0336589323983856e-05,8.26288655108928e-06,9.964694432412749e-06,1.1145527910440662e-05,1.0690287408328349e-05,8.366350983433493e-06,1.1713738935010919e-05,1.1713784144917196e-05,1.0922237792192636e-05,1.202900791322241e-05,1.0339550225979563e-05,9.281280637860767e-06,1.073035620239793e-05,1.0977420103145862e-05,1.1233315990408728e-05,1.0427078473569846e-05,8.7555480210871e-06,1.0302474216777697e-05,1.0862080672269543e-05,8.753636090898655e-06,1.0431112030294994e-05,1.6117008551284743e-05,8.895834105677401e-06,1.2626289896474172e-05,5.873785168407734e-06,9.016933917678042e-06,1.1140325949629538e-05,1.213548302234649e-05,1.3560904471528346e-05,1.2882348614091602e-05,2.1570402331426636e-06,1.1352066784932958e-05,7.001206954607083e-06,1.3090125924233077e-05,1.215254890469981e-05,1.2884359185560957e-05,1.2887823953546722e-05,1.218413003982561e-05,8.722699618466838e-06,1.0468833530515067e-05,7.953953071335187e-06,8.390135984052109e-06,1.1206021646213936e-05,1.0751812911483126e-05,3.455675965502001e-05,1.1939202273975475e-05,1.9162058284400422e-05
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automobile bodies trailers & semi-trailers,8.976543464739176e-08,3.5882108292646144e-07,5.328844481424062e-07,8.243155653934774e-08,5.61566671091812e-07,2.516849895672472e-07,6.852692768803844e-06,1.2850636512497648e-07,1.8096960671797346e-07,1.0670807299773139e-07,7.547996479133258e-08,1.8827356967934894e-07,1.2945929755354134e-07,6.121026386219733e-08,1.4763484185375594e-07,3.112741209356577e-07,2.8131800108200483e-06,2.0609899652181198e-07,5.963918550184561e-07,2.1966006400246933e-07,1.985626412327172e-06,9.707469474773745e-07,2.290262953182212e-07,4.485173943825521e-05,3.627695668365896e-08,1.5269430982444884e-07,2.3427230071358757e-06,2.937779343554046e-07,8.647330392279885e-08,1.02533405653216e-07,1.7322699549833323e-07,1.3469506384688299e-08,3.6065340197078334e-07,5.538353118047632e-07,5.936742355499823e-07,0.0,3.674657619891167e-07,9.149854409780732e-07,3.625708543546264e-08,6.121026386219733e-08,3.9952335922823083e-07,2.1173041584905193e-07,4.494034878673666e-07,7.794733428230095e-07,9.381506348858146e-07,3.7978066640469245e-07,7.526084920943227e-07,3.8974758316461257e-07,4.6839993666112734e-08,1.0689506878849675e-06,2.2263478603565678e-07,1.9420858824403364e-07,2.0668260106758805e-07,2.512174124196384e-07,6.716412173429827e-08,1.333588955995361e-07,2.0624345931490475e-07,2.1734453301513798e-07,1.2375793736026765e-07,1.53350221176116e-06,2.2826150822648348e-07,1.4179711420929948e-07,3.6500485935184917e-07,6.37901772814525e-08,4.51953964674101e-05,5.170807598423451e-06,4.4940348786736665e-07,1.2427444648543026e-07,1.4660923220307303e-07,1.6925950226043686e-06,8.801360918525732e-08,3.232006701096084e-07,6.229678205965383e-07,3.1928854473472282e-06,3.6471204233927267e-06,2.2643522940713037e-07,9.137312895893235e-08,1.0090942134171977e-06,1.6610716761325915e-07,6.229678205965383e-07,2.410702324998776e-07,1.121385691191936e-06,2.239980974329155e-07,6.740389700741391e-07,3.379876830566938e-07,8.223659900146162e-07,1.757156040672276e-07,2.0989018395263764e-07,4.958020114424045e-07,2.2649807158566745e-07,3.564800835122168e-07,3.7792269963576354e-07,2.7525513223928063e-07,4.179234078055755e-07,0.0,1.194310168704245e-07,2.9931643753064137e-07,1.9887837772847362e-07,2.1837815170027559e-07,1.1052187565842243e-06,6.264097834958575e-07,2.739860052796085e-08,5.740463384026632e-07,6.593921506937811e-07,3.619928705147525e-06,2.326553603362053e-07,2.682016624230082e-07,1.0834444122273018e-07,1.783974924829872e-07,3.074222630017795e-05,4.112406612977508e-07,3.049858525017675e-07,7.797581822806023e-07,2.9755672758495234e-07,4.0641600946423217e-07,4.2973561900609697e-07,4.078286810588403e-08,3.792139932326825e-07,8.26507764776612e-05,4.282183003708649e-07,7.177491042832666e-07,3.558410445412696e-07,1.4974655842025554e-06,4.2094256770337304e-07,0.0,6.434913846014014e-07,3.6024054663274385e-07,1.7160163122564207e-07,3.5167448948817177e-07,1.8706363315751566e-07,2.974930844931278e-07,1.0774682128605213e-06,3.4216673407205467e-07,7.627527695732369e-07,6.700804090103496e-07,1.0706988770487537e-07,2.9450081862625434e-07,1.4394814278026732e-07,1.421699747021318e-06,2.043083442717305e-06,1.4259586676476874e-06,2.108940154371536e-07,4.568921180943558e-07,3.957514706404023e-07,3.8312423389918716e-07,6.41712160646626e-07,2.739860052796085e-08,1.4704492837147803e-06,4.80925175006457e-07,3.6179300672991557e-07,4.2709028649953294e-07,1.944692385200146e-06,5.986954792286979e-07,7.294373955156933e-08,1.614030286026997e-05,1.457204127930712e-07,3.895679693641941e-07,2.193296965875588e-07,4.1742867249439566e-07,6.177082594938901e-07,3.067023235324229e-07,3.8974758316461257e-07,1.2752342651402565e-05,2.9565163105375407e-06,3.165468481835898e-07,0.0,2.2894774306679753e-07,4.037750520125059e-07,3.2843031522488107e-07,3.0286608725751274e-07,1.568856990223549e-07,2.97527828434167e-07,2.9363114504076234e-07,9.230757671013142e-08,1.661071676132591e-07,1.8054469872952695e-06,6.077761420346785e-06,3.5368733414787353e-07,2.9360522291655786e-07,8.445736867280957e-07,0.0020571792561299125,0.00016998155714303338,2.7389201159963826e-06,3.4844861004116084e-07,0.0,5.018470530043556e-07,4.6134968723584644e-07,4.7230983954360565e-07,9.850563355517061e-08,1.678384704566852e-07,1.4858272815052187e-06,1.1262309293635912e-06,2.196021474885949e-07,5.787050943330479e-06,3.432101364031933e-07,3.096468722284039e-07,2.6005332374834793e-07,2.0471777051528096e-07,1.8974007262310978e-07,3.616508512240828e-07,2.0270605695456294e-07,2.7626887488669997e-06,2.308776212833754e-05,5.968079384242975e-08,7.935320329351977e-07,7.030547637580169e-07,3.5628375166536234e-07,2.784126079714924e-07,2.1558280132926788e-07,2.599201957590145e-07,1.1631887416994588e-07,4.3634070966366845e-07,1.3246454352065356e-06,1.3107643097156495e-06,5.0161328874778207e-08,1.4242426892277813e-07,3.467389715187792e-07,8.448299125531704e-07,6.441777475474099e-06,1.9294894907872082e-07,0.0,1.8313221374576344e-07,2.739860052796085e-08,5.8226774037304175e-08,0.0,1.4915630936765788e-07,1.5458403748008984e-07,3.7140189984660356e-07,4.382812759634271e-07,4.1923231518560626e-07,2.1883824435531164e-06,2.1558280132926788e-07,0.000280342278525221,3.596359739491565e-07,3.9349168724453306e-07,4.1689713691489127e-07
