,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.03455510260803501,0.04877991779402799,0.051965673266752686,0.033149919983746806,0.07785577133950293,0.05532324289327713,0.04933107226898244,0.04063934120307332,0.04447886383825171,0.04820293866804071,0.0509581507187475,0.0547871087832641,0.03455791917920085,0.04661771447901468,0.05217326002368278,0.04554773669524669,0.050082723177266184,0.05249124537265897,0.05127635483234595,0.04996304120973568,0.05391384216534133,0.050246303405509105,0.07177244996770242,0.052184741152584924,0.03753290628222793,0.055208953614168436,0.05978299050371593,0.05181793282094486,0.042334215869627094,0.0326235942127891,0.04326470400466426,0.019779770538685636,0.03721939545505117,0.04857785242663138,0.050185786284978495,0.0,0.056268435337161894,0.0523749032825236,0.040280962247745015,0.04661771447901466,0.05277492446645025,0.04668448728389945,0.05034299019989608,0.051285314662104314,0.050607075875693776,0.048306665621467015,0.050440708176872594,0.05561596925273947,0.027066574272349653,0.0930542498272112,0.0563737798459748,0.04256054420625351,0.05275022839443719,0.03625310479052504,0.04662766141817497,0.03325405709527431,0.046549296355235914,0.05375796906289404,0.0634109233235466,0.04995155209990027,0.04348485653193317,0.05513258022341725,0.03599287601456327,0.06358523983367817,0.012764410896372338,0.049436065107337654,0.05034139292036108,0.06341092332354659,0.05570635614797247,0.05113386673151613,0.050379644659434515,0.053342383152339454,0.04896273464175172,0.050384861187339626,0.059804625284027524,0.05123978684402132,0.054563768780682115,0.04904650232061742,0.05338049644964231,0.04460546093159479,0.050384861187339626,0.04490147125823364,0.048163240783353704,0.05570512250753822,0.050712395113647744,0.049901468917973625,0.05299738949364809,0.04731635851449661,0.04560089854375861,0.03702733560045497,0.0549411542587733,0.04317676938992167,0.049549413275700824,0.0359069223606752,0.04986178348282964,0.0,0.04192744282684495,0.05360601620626365,0.0385889286815931,0.056931151611304125,0.049721112582556334,0.05005095328911326,0.04870484473322054,0.04711146797951365,0.04923420130704609,0.046429233913479556,0.05154884699256721,0.04706908751246314,0.04534758014079939,0.04083095338844379,0.05134086240374621,0.048039714792554866,0.04702254628762759,0.045189887187953026,0.04779357760146331,0.05000684417984665,0.0485485834719121,0.032839173872797625,0.04981827369177138,0.04876477057279839,0.04998474105041542,0.051799837062076665,0.04922187552284038,0.04909690506537232,0.03995716131705787,0.0,0.05021310630039612,0.05810753477051868,0.05284143743389604,0.055536746866098476,0.05367626560261743,0.048692942786976716,0.03698618264656264,0.05475896323881411,0.05257248523672468,0.048732075066661364,0.04230957288758481,0.034590604030876534,0.06335729470749159,0.050768150464937566,0.06005700651014583,0.050176590109934145,0.056293672752072345,0.04948653508134258,0.04982278183488359,0.052613839750402035,0.04926492963448068,0.03183336075358716,0.04952149232650714,0.05178954815727816,0.04919017232351807,0.057109344654517974,0.11194515294168561,0.05156169607078724,0.047571551675846674,0.04958522126046169,0.04332104746931553,0.04751233536168764,0.04959479801079214,0.049314242547444105,0.0500690492146227,0.046591771695749705,0.047571551675846674,0.04977858488541656,0.05007174715911211,0.04590757662920689,0.047083911756917333,0.04403667538615479,0.04929260809969773,0.047939192368478385,0.04955048554447586,0.04883576968833471,0.04943619602643842,0.06385667573296466,0.03541444253149586,0.04460546093159481,0.06287103747593682,0.04984799683846361,0.052448430952694525,0.04969042312514334,0.04989820974373254,0.04751622112702967,0.056031703432005114,0.04870484473322054,0.0,0.05449616003850189,0.0363165667981349,0.05019383864628339,0.04184223872417032,0.055002532739189494,0.049220438909410635,0.054566090572693245,0.07172909736499182,0.04869638362927102,0.058605200554214795,0.04034377311813209,0.055793475985419894,0.059277742779534355,0.05227965270582536,0.057416784975811395,0.032272291717111774,0.05511654040558232,0.04285492046463499,0.03135884287361144,0.041251800456896304,0.05051034734059969,0.0501277898007116,0.04844884823270534,0.04797179307462745,0.03627235312565514,0.0499366981634156,0.049724884826274546,0.03969963030712615,0.050265543473473576,0.03187854185426257,0.04962084858020103,0.04996386400226996,0.04531020697886399,0.04864488450483951,0.03982610667588271,0.049594798010792134,0.035318111918783604,0.031224016622202266,0.028745340028904654,0.049594798010792154,0.04287592507087988,0.03638719820682683,0.032081671704869155,0.05009557376330997,0.04976772629210233,0.055651257341509976,0.04797179307462745,0.04994187030648156,0.05952258408408947,0.05294453027778576,0.05567891507448073
Agricultural and forestry machinery,0.0012395143560995977,0.005803253620385696,0.003538270857298354,0.000652265316090611,0.00441687269805981,0.0024375614734573597,0.00674167557385169,0.002646568496160142,0.004823363484960954,0.004743122063502474,0.0014966971559856415,0.0033229707735960403,0.0012661738824529755,0.001496196894377007,0.003252519706168916,0.006027667108482424,0.003201628748188562,0.006236872929030324,0.003149105586314261,0.005338006817176448,0.002545178044956444,0.003167614763738166,0.06763042347262646,0.003981147272463516,0.0008133738139798499,0.004602765456546894,0.0035995334206238207,0.0045216582183583084,0.0012810960886615944,0.0006830252437668944,0.002404933577456849,0.0026946358714814624,0.0012233261011551093,0.0032488908054751405,0.0032640968632225878,0.0,0.003117625141956035,0.003530092821640008,0.0016954646870750293,0.001496196894377007,0.003741431526557357,0.0037153554591637912,0.0029709719428163135,0.003838281246606758,0.00311526557476025,0.0033601513553821382,0.0037299526989319634,0.003047562639309356,0.0020217926232399177,0.003635653633023222,0.0024835499124234803,0.0022985764499145675,0.0030538672109215693,0.0024922605978024157,0.0014961968943770067,0.001417823808001477,0.002735363650646243,0.0029281494781804134,0.0038271273933252912,0.003211168467076216,0.0017879494982327773,0.004238819639362444,0.0020901749856922602,0.0038538705478457862,0.00283034845587664,0.04427091774815819,0.003475691661823931,0.0,0.0021783974040007685,0.003452462213009998,0.0036031468241838204,0.005767969413891853,0.002960029373201731,0.0036078751655289586,0.0033229707735960403,0.004794486231249309,0.004111149012525749,0.00220129488247746,0.0032838429609859184,0.003338324930938023,0.0038604576172121476,0.006862982198685528,0.0031971225418698374,0.002320742330043006,0.0031251407781446834,0.00446896646910786,0.002894304904377614,0.0028738451879367108,0.004963937657061795,0.0020223563413130034,0.0041894572312147155,0.0024032422734408224,0.003155394818617395,0.0026064080224313434,0.006324799551716034,0.0,0.0023543254210960703,0.009874757770018542,0.0017394624600631159,0.016589880520794697,0.0033050632786133433,0.003218782844097391,0.000652265316090611,0.00524887037366711,0.0032586970114723726,0.027045135743693476,0.0037310666289308604,0.0032585388342960676,0.0030718784815410827,0.0015571221592954499,0.008662110811157146,0.0034579683892384996,0.0038523064589652952,0.0048324520212690725,0.0036728599184840125,0.003191882904962257,0.0036105426942447884,0.0009299987671499266,0.0036465912275071197,0.0038334365773264327,0.0031867784434017063,0.006438769193692712,0.003370179635547577,0.004627288460107052,0.0012221652615180905,0.0,0.003252873923593119,0.0032357376276698113,0.006488803602869764,0.004245622577474038,0.004792093577751366,0.0019654889294366523,0.0027092390744563014,0.009483812034524882,0.0032136120456524677,0.003312863226908403,0.0011469879428147374,0.001771968288520448,0.004311700457512574,0.003255765860673352,0.0035001968281247508,0.0031458493084894033,0.004702280992543611,0.0037760748958929136,0.0033739539616413363,0.002989498506882292,0.0038851404114304605,0.000652265316090611,0.003382774177093492,0.0035207457736796755,0.0034509189065450277,0.0032239272579570313,0.003302697058949468,0.0032429318315962447,0.0017497635691463404,0.0036099312030850646,0.0022796851154461705,0.0023593315883252883,0.005356229123881386,0.003570556067969929,0.003230571825574837,0.0015519384631665618,0.0030587362630280384,0.004495883640970691,0.0040560523591724905,0.0020777809345852456,0.002706304555837798,0.0027832500364205147,0.0034767944319413608,0.002458103598606218,0.0025402999784592773,0.003670964212978565,0.0029709719428163135,0.0026297094672002074,0.002559620041590103,0.0033383249309380247,0.002781390899376681,0.0031021376171058443,0.006733243579490041,0.0030306366901937014,0.004038030741568584,0.004456135060764772,0.0030818042961669643,0.0029114425679979076,0.0,0.003752096881325068,0.0030982337362444367,0.0034226028065910447,0.0019783938835448768,0.0038880510154621485,0.0039110031417966306,0.003205255883704081,0.005761394299117295,0.0012751069694511457,0.0033902581998005695,0.0036569927822537925,0.0060735582487886144,0.0029736015119928515,0.0034060476182650548,0.003082415041089179,0.0007522547851354389,0.003741045416110396,0.004384738419400597,0.0017022677234825134,0.0036803911916212474,0.0037436585454893806,0.0032211414814528666,0.0039221421505028645,0.006236872929030322,0.003692412275078121,0.0034512411282141896,0.0030306820944456347,0.0019017744353538074,0.003558842945108303,0.004750945016885094,0.0030008604652458884,0.003365732709749419,0.003240714157916146,0.0035137908753650046,0.004183927398242263,0.0017107602367381499,0.00264014965768155,0.000652265316090611,0.002848683500180602,0.0,0.0009824317984187883,0.0026115143395241355,0.0012508938239579018,0.003113270916242364,0.003564845624291907,0.0031487038917275495,0.003925379957600885,0.004853506303338166,0.0030766911669903104,0.0030889996411375387,0.0032514610590819826
Aircraft and spacecraft,0.0027177496389979732,0.0031622560800634034,0.0034083685910967403,0.0030450359013346456,0.003221643121214905,0.003949767434009729,0.004534726652924065,0.0026124734238789915,0.009352907961584216,0.004136239567805632,0.0062314502490929975,0.0020876852296314473,0.002886781679966555,0.0019917201153789397,0.003673869712103584,0.0033930515690970627,0.003543210673452843,0.004998482332124665,0.0037118941535900208,0.00386551802611236,0.002957170520881148,0.0031579077836118093,0.004260259169575519,0.003994024740072646,0.0032773353120839166,0.00239735626077399,0.002799562349321234,0.0033206661916497186,0.0022348778418453796,0.0023870246804926485,0.002913674207411931,0.002837793819348746,0.0029736640177753675,0.003525104674654202,0.002846624155066354,0.0,0.0030515181528481907,0.004571945603038181,0.0030568107225733203,0.0026735704973095144,0.005529464455962321,0.0029949086194525957,0.003670810941615863,0.003034803565216975,0.003252126493193439,0.0031243343058568822,0.002706983421893065,0.003029638376369972,0.004050111888867735,0.003423004144830031,0.0028094003025229686,0.002668733326054489,0.002522973635368457,0.0036069040932098224,0.0019917201153789397,0.0029681767719372198,0.0029523224789504833,0.00205951649010238,0.0095294066294631,0.002508899514206289,0.004281558306551194,0.0034903564151732257,0.002522231982714998,0.003557984545702988,0.002349388997940822,0.003294069491606779,0.0048581775199834035,0.0,0.0016617348004420935,0.0027419462483632587,0.0033300162728967923,0.003213353731540247,0.0028240990673302807,0.004201684761487626,0.0027995623493212336,0.002631954427825112,0.009445656408061921,0.0033723226813264125,0.003294262637816743,0.0036196073140251227,0.004215975050836948,0.0035618003511657115,0.0031326916460585074,0.002976229576928266,0.0034443612242946423,0.004216220110682743,0.003630760193834437,0.004513752104702532,0.0025435681047434123,0.0030562625812885526,0.0030625706983998455,0.00284703265955564,0.003484914255349274,0.0023895881094767694,0.0037127030210079783,0.0,0.002737060359682117,0.0029424527723316296,0.00250064302529383,0.03165839675641693,0.003109390192856262,0.0034487267206828025,0.0035961409925468193,0.003101768162244125,0.005643982286808233,0.002651978033418654,0.0027570663296019905,0.002860961484875903,0.0025185912453094747,0.002340348520001964,0.002631954427825112,0.0027633041744355605,0.0038174265519364567,0.002818794459886682,0.00319087148207069,0.0028569806122072856,0.002278781285042818,0.002329580144998406,0.00240510723391185,0.0031852976517287987,0.0032612358428238787,0.003542542548099088,0.0038031925750676887,0.004307019910780327,0.0026048251116663596,0.0,0.004816403370011817,0.0029367320726012345,0.003428882796776737,0.0027432391960228912,0.0031061886198551006,0.003203752808053434,0.0017746148095864598,0.004472292714692142,0.002850675119655872,0.003094766200761356,0.0025056612432316286,0.005110717844037095,0.01771838678155172,0.0027965047898938717,0.005533306060899152,0.0028373069805641966,0.007939288142531266,0.0025145710026416262,0.0,0.0037851740844500998,0.0027217949297107394,0.004024883588976904,0.0046320543068552,0.0022908368930830256,0.0037906642362226604,0.00297080861962232,0.002864863867673238,0.0027452058925297304,0.0,0.003698259288719901,0.0026611452608385116,0.0022091338302606127,0.003621275384947767,0.0028272034406802184,0.002909372426355452,0.0019917201153789397,0.004702678199128041,0.004797704760729441,0.003917723978879452,0.004871831073723233,0.0027995623493212328,0.0028232856707448004,0.00470249971816038,0.0022447547603628433,0.0032868670334652668,0.0034347364085843294,0.002761387665794209,0.003630760193834437,0.0025356213610063013,0.0036196073140251236,0.002229184891715893,0.0032141952425291495,0.002761387665794209,0.003214455146595394,0.0030251306959907143,0.004103556902168643,0.002459984261546798,0.0035961409925468193,0.0,0.0028893987662107126,0.0022238282617900933,0.0042561922141772,0.002865632540798757,0.0036494532079880434,0.0032115502099550643,0.0030131396614407114,0.007461714564338697,0.0033307008878249935,0.004599340450056781,0.0032688269167576557,0.002923034415826267,0.005297945694946418,0.003076794856051097,0.003018249823034394,0.002862043861308179,0.0030522397699670975,0.0038208105402395983,0.0032835921946710385,0.0029459274779312706,0.0033724069809956373,0.003035470009703146,0.0030568089383967395,0.004010802461515914,0.002888841646975445,0.0029885637186860287,0.0030530260859377815,0.0023782983280898787,0.0028546492949190457,0.0031906563702942224,0.0027633041744355605,0.002834029170094058,0.005911052730729922,0.003393673840063232,0.003372071512464805,0.003476479983699969,0.0034237390968401694,0.0022091338302606127,0.0035974020826273524,0.004215975050836947,0.00239564027880293,0.0025872266159257004,0.0038451873862623055,0.0029692078724188687,0.0021552435621247684,0.0024574222848925287,0.005372593328594022,0.004368708271409101,0.0032338321971732875,0.14969053674450777,0.003938895721053897
Animal feed ingredients and pet foods,0.0,1.0000000000000557,1.000000000000057,0.0,1.0000000000000553,0.0,1.0000000000000557,1.0000000000000564,1.0000000000000562,0.0,0.0,0.0,1.0000000000000564,1.0000000000000564,1.0000000000000555,1.0000000000000557,1.0000000000000562,1.0000000000000566,1.0000000000000564,0.0,1.0000000000000564,1.000000000000057,1.000000000000056,1.0000000000000564,1.0000000000000566,1.0000000000000528,0.0,1.0000000000000562,1.0000000000000562,0.0,1.0000000000000566,1.0000000000000566,1.0000000000000566,1.0000000000000562,1.0000000000000568,0.0,1.0000000000000568,0.0,1.0000000000000566,0.0,1.0000000000000566,1.000000000000057,1.000000000000057,1.000000000000056,1.0000000000000562,1.0000000000000564,1.0000000000000573,1.0000000000000564,1.000000000000057,1.0000000000000568,1.0000000000000564,1.0000000000000566,1.0000000000000557,0.0,0.0,0.0,1.0000000000000557,1.000000000000056,1.0000000000000555,1.0000000000000564,1.0000000000000566,1.0000000000000562,1.0000000000000564,1.0000000000000562,1.0000000000000555,1.000000000000056,1.0000000000000562,0.0,1.0000000000000577,1.0000000000000562,1.000000000000056,1.0000000000000564,1.0000000000000568,0.0,1.0000000000000566,0.0,1.0000000000000557,1.0000000000000568,1.0000000000000566,0.0,1.000000000000056,1.0000000000000566,1.0000000000000562,0.0,1.0000000000000566,1.0000000000000564,1.0000000000000564,1.0000000000000566,1.0000000000000562,1.0000000000000564,0.0,1.0000000000000564,0.0,1.0000000000000566,1.000000000000057,0.0,1.0000000000000564,1.0000000000000542,1.0000000000000562,1.0000000000000555,1.0000000000000568,1.0000000000000568,0.0,1.0000000000000562,1.0000000000000564,1.0000000000000564,1.0000000000000568,1.0000000000000566,1.000000000000056,1.0000000000000557,1.0000000000000548,1.0000000000000566,1.0000000000000555,1.0000000000000564,1.0000000000000562,1.0000000000000566,0.0,1.0000000000000564,1.0000000000000573,1.0000000000000553,1.0000000000000564,1.0000000000000522,1.0000000000000564,1.0000000000000557,1.000000000000056,0.0,1.0000000000000566,1.0000000000000573,1.0000000000000555,1.000000000000057,1.000000000000056,1.0000000000000566,1.000000000000056,1.000000000000051,1.0000000000000566,1.0000000000000562,1.0000000000000568,0.0,1.0000000000000537,1.0000000000000555,1.000000000000056,1.000000000000056,1.0000000000000528,1.0000000000000568,0.0,1.0000000000000566,1.0000000000000564,0.0,1.0000000000000564,1.000000000000057,1.0000000000000564,1.0000000000000566,1.0000000000000564,1.0000000000000566,0.0,1.0000000000000568,1.0000000000000564,1.0000000000000566,1.0000000000000568,1.000000000000057,1.0000000000000562,0.0,1.0000000000000566,1.000000000000056,1.0000000000000566,1.000000000000056,0.0,1.000000000000056,1.0000000000000562,0.0,1.0000000000000568,1.0000000000000562,1.0000000000000573,1.000000000000057,1.000000000000056,1.0000000000000566,1.000000000000057,1.0000000000000557,1.0000000000000568,1.0000000000000568,1.0000000000000546,1.0000000000000557,1.0000000000000562,1.000000000000056,0.0,0.0,0.0,1.0000000000000562,1.0000000000000564,0.0,1.0000000000000553,0.0,1.0000000000000515,1.0000000000000566,1.0000000000000562,1.0000000000000566,1.0000000000000564,1.0000000000000553,1.0000000000000557,1.000000000000057,0.0,1.0000000000000568,1.0000000000000564,0.0,1.0000000000000562,1.0000000000000564,1.0000000000000564,1.0000000000000557,0.0,1.0000000000000564,1.0000000000000568,1.0000000000000566,1.0000000000000564,1.0000000000000562,1.000000000000056,0.0,1.0000000000000566,1.0000000000000568,1.0000000000000566,1.0000000000000566,0.0,1.000000000000056,1.0000000000000568,1.0000000000000553,0.0,1.0000000000000562,1.0000000000000562,0.0,1.0000000000000562,1.0000000000000573,0.0,1.0000000000000566,1.0000000000000562,1.0000000000000568,1.0000000000000566,1.0000000000000568
Articles of concrete cement and plaster,5.8059278394891545e-05,0.000789948607088261,0.00010979257783936324,2.2194319086574042e-05,0.07879908092735173,9.392671983868892e-06,0.00037746553121029695,0.00033902987756389576,2.6493413569940852e-05,0.0002837953620854942,4.658411460602567e-05,2.878477759893671e-05,7.773463119013949e-05,1.3361354905149761e-05,0.0002229483816263098,6.0902470720491225e-05,0.00037939807442919173,3.192816249835142e-05,0.00043545892021811975,0.00013568403342406312,0.00024130314443854042,0.00023850158225027188,0.019933561700091997,0.00047863224028248656,3.631219327102825e-05,0.009993576309385854,0.0001590545005812568,0.0009467846396716123,3.7112510306884314e-05,4.3005648173085835e-05,0.0006032492412281467,0.0008848888020221628,4.4479622145102016e-05,0.00023273488230638796,0.00034172992820990627,0.00018625944782560928,0.001973614915602701,0.00019637132953558297,4.658411460602567e-05,1.3361354905149761e-05,0.00038461896479309463,0.0024016253425246143,0.00022551900216323135,0.0001666667346598943,0.00021632156972404973,0.001099956742999586,0.00020762913491599767,0.00018042470271053285,5.960924775216693e-06,0.0004735519375541474,5.015797259600482e-05,3.1772528338977135e-05,7.690892384772131e-05,7.86110934497491e-05,0.00010267411541196623,4.2352561039697614e-05,0.00030855450114769154,4.606843328690287e-05,4.367858680602149e-05,0.00025038686382807554,4.923469782470153e-05,2.878477759893671e-05,0.00018625944782560928,0.0002175596250952609,1.8988698786417082e-05,0.002623028838141168,0.002228718761851551,0.0,8.035462694566025e-06,0.0001042068336968055,0.00019765798286873552,1.3020556767554111e-05,0.00018517996098872436,0.0016544433110141025,0.0001721679608102709,0.0005142050816599238,4.248563917859905e-05,0.00022069873652706478,0.00015211333620979766,0.0003435690656799175,0.0016544433110141025,2.7969553860371587e-05,0.0004090995540767127,0.00025747123322109934,0.00019553900225292422,0.00019443201397251715,1.2659637856242253e-05,0.005441147618092479,0.002862436136785196,8.876871782345232e-05,3.0448779504684295e-05,3.3457219581467804e-05,0.0002819507451598545,0.00011559770199116126,0.0002324550756801003,0.0,4.731154627311695e-05,0.011841895489514986,0.00011364229801603989,0.00369648415389518,0.00022899304651583408,0.0003417335660545695,0.0,0.00010620515930430987,0.0022682988530799597,7.092807929317203e-05,0.00033822793379608985,0.0004273424163601329,0.0003195286480538809,6.080687870284221e-05,0.000512754507071246,0.0005934281610368744,2.876691397496955e-05,0.001152771639897575,2.4312516830916694e-05,0.0002699541449470906,0.00018558259682179706,3.068045839150312e-05,0.0002748671378567408,0.0024616846007594942,0.00030406881390238766,0.00040684396919061816,0.000260965083873958,0.0006315634809664285,6.15512132445789e-05,0.0,0.0003497862998980669,0.002052474872603553,5.137860905664914e-05,2.3295478895909913e-05,7.12346556405651e-05,0.0002425017596543993,2.356620541333587e-06,0.06476903864493445,0.0009512835602920889,0.0002459648851982657,7.772079714019111e-07,0.0002118631881371804,0.10285339160413737,0.0001860442131779489,5.858578893874304e-05,0.00028688213475287473,0.060432629661172375,0.0003203046117212431,0.00027506864040617276,0.0006116288797835617,0.00019278550788006036,0.06477667910176087,0.0003256747000902567,0.0016951151618216365,0.0002477806293616442,0.0019679310083772733,0.00017154763727173243,0.000122248057060942,0.00016615288724312183,0.0008021010235599416,3.142525639818715e-05,0.0001759832717457706,0.00012540781716560804,1.1366617700567607e-05,0.00032373091210564415,2.9914473179392944e-05,0.0001759832717457706,0.0003618252063274962,0.0002758163925227794,0.00010790096976715209,0.0001759832717457706,0.0006047660791594266,0.0002955467793886828,0.0003476209971250814,0.00019874090885344764,2.453416526134754e-05,0.00022737330380032136,5.086485879263279e-06,0.0006171962495266884,0.00034356906567991767,0.00029043322656833987,6.349893943704549e-06,0.0007289736511093444,0.0005790547663346486,0.0005272355408634968,0.000641718203821807,0.0001209831704241213,8.887759582444299e-05,0.0,0.001577622380164477,0.00021617788382080814,0.0012331045865619768,4.4817372657172205e-05,0.01404000218954613,0.0003234362496774084,0.00015306898777227345,0.12294432724400595,0.001032056675591886,0.00010416776068305003,0.0001455385604130216,0.00022984751019635062,0.0039721954399911065,1.7892769650814375e-05,0.001977910837693972,6.769289874305018e-05,0.0003676541640563409,0.0016162599305173486,0.00012238339718757742,0.00019950802688612087,0.0002231103248225309,0.0003135742098048818,0.0002447397366241499,0.00021553934969040264,0.00018566493778327702,0.00022040134942862875,0.00020777505657747987,0.00011475567848551043,0.0002738335835212388,7.713302789515248e-06,0.00018520840719767268,0.00033011977396558555,2.6266522470695718e-05,0.0012052621444452335,0.00010282882994088109,0.0,0.00039315262043200614,2.2154607259318475e-05,2.310810294444406e-06,0.0,6.087036915858301e-05,0.00015503151977972057,2.7644313915935562e-05,0.0002781668633184417,0.00019425626670262357,0.00017939478061948502,0.00021553934969040264,0.0003923753205826848,0.0020609206913776265,0.0013828904701336637,0.0018756568171587676
