,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.000821244764387826,0.0011354598506700022,0.0011645213343388404,0.0007926775224649727,0.0013129607168018771,0.0012154901898679463,0.0011740714998718363,0.0009660507868109726,0.0010710318952490997,0.001126420246552446,0.0011523805240242302,0.0012302857874390098,0.0008258369096039,0.0011312310609939583,0.0025854547771106996,0.0010376889142188251,0.0011538220665566101,0.0012092066580887124,0.0011955732986696122,0.001151071474944129,0.0011459609344199593,0.0011578778328474653,0.0013174533010007234,0.0011386757185631805,0.0008993924460617454,0.0013312394895888169,0.0012245923950470704,0.00119507911620533,0.0009812319439777499,0.0007821786845724439,0.001000155171865706,0.0004616265953069192,0.0008736030648362456,0.001124063396959116,0.001158446925043708,0.0,0.001185440404973635,0.0011974838809807712,0.0009554706343967276,0.0011312310609939583,0.001245832957514025,0.0010781125917847351,0.0011582577422953357,0.001160933887202576,0.0011600800949765843,0.0011726708808697005,0.0011424182219946452,0.0012470657230003518,0.0006235430577855584,0.0011553116157555917,0.0012859808148262765,0.0010160777068081018,0.0011627412114948148,0.0008719212755183216,0.0011312506152246977,0.0007930754975863026,0.0011510052649883332,0.00124916249731204,0.001380375435088739,0.0011516244392385045,0.0010796729151859262,0.0012684932943076218,0.0008557191009617232,0.0011927783836107792,0.00029767821946374894,0.0011315099397330448,0.0011704635875553395,0.001380375435088739,0.0012258758249289554,0.0011903916568562036,0.001158007107988024,0.001230279618949321,0.0011358410284031668,0.0011878408236525278,0.0012244275433806898,0.001166279889353862,0.0012599619830670995,0.0011342634323344666,0.0011747647009311452,0.0010480756460954626,0.0011878408236525278,0.0014227105122296712,0.001127155686690699,0.0012465234484511192,0.0011597182450335927,0.001148866652298368,0.0011486649618427489,0.0010785478043639004,0.0010321366245945225,0.00087652824755083,0.0012633584789676741,0.0010245747402194455,0.001147550289497569,0.0008377077622485392,0.0011502567487610058,0.0,0.001002512022209486,0.0014817214063890958,0.0009110968480759305,0.001178133497297277,0.0011493575376073175,0.0011563411352034183,0.001138214862878513,0.0010956017798765259,0.001154235173916825,0.001085672259308668,0.001283248803759345,0.001157782851805122,0.0015521892493599344,0.0009532822272705088,0.0011697940475515806,0.0011116896989120343,0.0010709803014278248,0.001054235279661804,0.0010832068218440522,0.0011528445760162617,0.0011388928114200126,0.000787076726868206,0.0011498309928664058,0.0011412815239306452,0.0011606978982290578,0.0011746398334385618,0.0011976723847451284,0.001964617500138098,0.0009451974946624364,0.0,0.0011608483581605298,0.0012102272183014036,0.0013085194008389507,0.0012450739534934265,0.0012633866094399363,0.0011239615337698614,0.0008487357037171616,0.0011730486924933778,0.0011892230993721961,0.0011805591948902418,0.0010370603366131224,0.0008224232292166257,0.0014062889773281213,0.0012537909306353037,0.001159447557838536,0.0013733230956983595,0.0011420863320763417,0.0011498751063511415,0.0011559848099684164,0.0011104050382478995,0.0007659466615289974,0.0012605308457478302,0.001161928885715168,0.0011406049539352378,0.0011964562747290505,0.0013010153291013143,0.001151634718660642,0.001108409307244018,0.0011555497712724947,0.001024382212179918,0.0011098261319853935,0.0011423836020787127,0.0011714497602044723,0.001154523458610926,0.0011233910815231546,0.001108409307244018,0.0011592157201601359,0.0011546597798343457,0.0010651825371639785,0.0010970607338058025,0.0010431962921076665,0.0011437722133630958,0.001124466639619856,0.0011492333443975109,0.0011792256982563988,0.0011731281819645685,0.0012471938486502878,0.0008207699012349146,0.0010480756460954626,0.0012137377767560702,0.0011542210822421434,0.0012967933138200154,0.0011914733225159811,0.0011458723684241734,0.0011488401137065096,0.001094943600893941,0.0011978515322696452,0.001138214862878513,0.0,0.001201171315364038,0.000861676305562335,0.001139698699632894,0.000995627281374487,0.0012469446289009604,0.0011383725781782066,0.0011602854106633736,0.001561572357275653,0.0011800750115471875,0.0012128127069635538,0.0009430315846174145,0.0015171867973399044,0.001719198171430252,0.0012227453164509146,0.0012044933900510802,0.0007746594514443227,0.001220796660270585,0.0009805280613648815,0.000755072423672723,0.0009674549003237863,0.001168916242877644,0.001163631020274994,0.0010962236080319266,0.001122524596072752,0.0008194344872210831,0.0011517892849452,0.0011490384678918464,0.0009110742825548715,0.0012811977425494527,0.0007095959516435788,0.001146161685374495,0.001151831209846307,0.0009730579711760745,0.0011373208858197143,0.000791791414794175,0.0011423836020787133,0.0008224646154757622,0.0007520890906724753,0.0006406667951842502,0.0011423836020787136,0.0009971981373658489,0.0008432073995993663,0.0007855452178629407,0.0011546690585609374,0.001144216116803024,0.0011855589044456982,0.001122524596072752,0.0011519320299267658,0.0012174690126378108,0.0011691115688631576,0.0011933482939411185
Agricultural and forestry machinery,1.6100856429473763e-06,2.9913275324505224e-06,8.869647169380727e-06,6.03767052408548e-07,4.44701062677431e-06,2.2241410189974414e-06,2.7513449074327353e-06,1.9729550441546834e-06,3.447234543558622e-06,3.2761849303685227e-06,1.1972538003914847e-06,2.13780955626321e-06,1.3700159171241787e-06,1.196750481964109e-06,1.6902811895713428e-06,3.6890020155701933e-06,3.441971158306569e-06,3.4639515789523828e-06,3.3446366693144293e-06,1.3798724286345052e-05,2.4432385778161898e-06,3.0371586449919897e-06,3.2189760779881465e-06,2.577762399216282e-06,7.39825239502962e-07,3.163158243099188e-06,9.564220850381625e-06,2.6932046431634984e-06,1.2661344021785225e-06,6.728897130004926e-07,1.996702712654399e-06,1.921005747158364e-06,1.130603407522314e-06,3.1531341098581506e-06,3.19135983297403e-06,0.0,2.764983322517098e-06,2.3457952467939426e-06,1.813831724395712e-06,1.196750481964109e-06,3.157479647883429e-06,2.985746936513794e-06,2.755020716037607e-06,3.352796308281574e-06,3.2052351446383366e-06,2.826965105195678e-06,3.3597580921959975e-06,2.770868434202301e-06,1.9941604076139603e-06,3.570785059735603e-06,3.9546922601705954e-05,2.6028613659388497e-06,2.648210817357188e-06,4.817571906385892e-06,1.1967504819641087e-06,1.300512330800559e-06,2.531374075968165e-06,1.9864224843060855e-06,1.8035699816513768e-06,3.8115210610837994e-06,1.5744496961693835e-06,6.885342868270022e-06,2.077990442403246e-06,4.016496636642603e-06,2.5653859060510565e-06,3.286223149931636e-06,4.439842542806852e-06,0.0,2.1737627229139874e-06,2.0669934700897267e-06,3.0248983260761924e-06,1.8820551790932552e-06,2.7326248993424585e-06,4.184687078318282e-06,2.1378095562632104e-06,2.8569043266561976e-06,5.677734394545531e-06,2.064725989143335e-06,3.114751324693427e-06,2.720172531418177e-06,4.833925023834213e-06,3.0930897653971904e-06,4.668515723187353e-06,2.397556295135953e-06,2.778925361057234e-06,0.00042092656807634493,4.965140326540493e-05,2.437225482886006e-06,3.314912367435868e-06,1.7527529086403368e-06,6.527167388002809e-06,2.1696349529408877e-06,3.086696395289947e-06,3.2549529917655514e-06,2.6134155089553856e-06,0.0,1.9488678816571662e-06,2.8606424395226364e-06,1.721260041268662e-06,2.9375234701975082e-06,3.197935169751836e-06,3.1977311667793077e-06,6.03767052408548e-07,3.727926197538296e-06,3.1047264872808975e-06,3.234776504571622e-06,3.33865128723031e-06,3.5416403751491927e-06,5.069136765535318e-06,1.6116026815901705e-06,3.864275085451569e-06,3.3975406488013306e-06,2.307925091682039e-06,3.304571313289903e-06,2.766599375915428e-06,3.1676550481212373e-06,3.495102929315492e-06,8.704823681802927e-07,3.5368166540638805e-06,2.8853025477480027e-06,3.131328067034278e-06,3.610229735666522e-06,3.7366791032134225e-06,3.7580637547900764e-06,1.4237036868370204e-06,0.0,3.1525795399038978e-06,2.6007431260477675e-06,3.0934979747865228e-06,3.586325533948399e-06,2.737637702608579e-06,1.964098806122476e-06,3.020182430362556e-06,2.779306256904699e-06,2.854339658482414e-06,2.9206100726632524e-06,1.1728660616119661e-06,1.6401506234082082e-06,3.098968310300831e-06,3.0468128875717236e-06,3.131775367414852e-06,3.842330960414936e-06,2.790420618517312e-06,3.314395840053646e-06,9.08533651326025e-06,5.729842453961895e-06,6.03767052408548e-07,3.622961952887461e-06,3.0769704392675065e-06,3.3399560520843992e-06,2.853792185931934e-06,3.1902661742690597e-06,2.5611578601991923e-06,1.4525712983062847e-06,3.109513773730166e-06,1.9643941148826424e-06,2.043768502900051e-06,1.3897651715485305e-05,2.840040209421452e-06,3.1402790956085677e-06,1.2583997185679404e-06,2.7731804178723812e-06,6.520677915839605e-06,3.074299309170612e-06,1.976002467931468e-06,1.9483162293217767e-06,2.8628287457740178e-06,3.326901123361969e-06,2.2830354972234726e-06,2.545058682553532e-06,1.8042101151967405e-06,2.755020716037606e-06,5.820871157190586e-05,1.916230922199109e-06,2.720172531418178e-06,2.9446398290877375e-06,2.889585915813318e-06,2.960782640980683e-06,3.5452281992864702e-06,3.018829607976006e-06,3.873392614984821e-06,3.1700217931667836e-06,3.0422104548093005e-06,2.752958353579842e-06,0.0,4.550911006262148e-06,3.1193097690088224e-06,3.6958029964615323e-06,1.748323782090514e-06,1.9188291849465963e-06,5.3654665262880255e-06,2.114376762296068e-06,2.9559044874855136e-06,1.1196598620745088e-06,7.654303808135694e-06,6.606717150602092e-06,4.317378100443656e-06,2.1803107597402054e-06,2.562596917351731e-06,3.045769088536812e-06,8.475273891509709e-07,3.4215935790377308e-06,3.2597145868580648e-06,1.1027901472553931e-06,2.849745163664997e-06,1.9529166753723618e-05,3.220553862381807e-06,2.9234525030421367e-06,3.4639515789523815e-06,2.4498840126192646e-06,3.1009205097909433e-06,2.6825686400783075e-06,1.688646818904362e-06,3.7363928147760896e-06,3.323228786947306e-06,2.7882949086733486e-06,3.307688842269694e-06,2.9078391004272158e-06,3.5076672571482918e-06,1.7023655439014485e-06,1.8269797674523213e-06,2.153647223049162e-06,6.03767052408548e-07,2.1275907298954213e-06,0.0,9.294234531800496e-07,3.7638229498883677e-06,9.677644889615105e-07,3.0626312145467658e-06,6.303725126581665e-06,2.7176276034348857e-06,2.6759381638037666e-06,5.143607111671713e-06,2.7869022706237965e-06,2.911088997056289e-06,3.0001841845711246e-06
Aircraft and spacecraft,0.0007369308200668299,0.0012636566584654427,0.0010778001207397557,0.0008388220422998402,0.000561868473375883,0.0016634621915555927,0.0012448702658596252,0.0007651629435061344,0.0011751811351753032,0.001101461034489074,0.0009924135087122708,0.0005991672485888524,0.000966115226257977,0.0005430161710327301,0.0008991117344413249,0.0010045162350063215,0.0009648098497169037,0.001315866652245596,0.0015248755151537027,0.0009890302381051674,0.0009832129777363322,0.0013183731243176001,0.0012832618981456535,0.0010170656096060756,0.0008441296934340104,0.0006554397794708674,0.0016448356172356151,0.0007814998131864786,0.0006328539841855733,0.0006752701217134576,0.0008820052260986283,0.0009493702574823581,0.0007915914842181369,0.0008948222868611132,0.0016058270292732542,0.0,0.0013103085821853898,0.0009981622779881216,0.0008249603546276505,0.0007246756234372681,0.0010307169901476166,0.0012715306587847398,0.0011007127898649987,0.0017401992816676228,0.0013115325789477945,0.0009097942085057711,0.0012818424612377382,0.0007235303883811468,0.001277237336722323,0.0009529859864967334,0.002102488834355231,0.0007404965163173157,0.0021112278037565195,0.000939176870483116,0.0005430161710327302,0.0007508721161512829,0.0008487928187559982,0.000557790500979615,0.0011611061968207015,0.0007972123162894279,0.0011303679032166117,0.0009171925166186113,0.0007938912052410795,0.0012079685324020684,0.0006720307547370731,0.0008648882419379706,0.0011165069678204915,0.0,0.0033144192909046626,0.001187004893481622,0.0012860731757963918,0.00136324529373803,0.0015146687342732937,0.001146459632686517,0.0016448356172356151,0.0013458819723545738,0.001158196672412466,0.0007615583306532657,0.0013695342829423832,0.0008881333036521612,0.001135605020861273,0.0009451878233563817,0.03363931482391576,0.0008902724535621581,0.0015390274722854767,0.0011355266860388618,0.001523351617703152,0.0012365201166570285,0.0007886107107083297,0.0008248455568078311,0.0008514666907585293,0.0010824599114991936,0.0009979842577912549,0.0006689470196588103,0.0011713041526162176,0.0,0.0007511567425709652,0.0008953084231216375,0.0007421305158024043,0.002928749380701518,0.0012339536841314747,0.0011711963273793012,0.0008701823403343357,0.001244692407821684,0.0012836710328875556,0.007141879745317886,0.0015725098847305164,0.0007469628833770989,0.00036115437097264386,0.0006535069434250588,0.0013458819723545738,0.0010207684017384323,0.001000500786073265,0.0009079577664960618,0.0008566205984192709,0.000910473098713846,0.0007575682019845489,0.0006581036013100982,0.007750835061851134,0.00137316439324653,0.0021199413529802355,0.0011315964230810872,0.0009924785411066913,0.025968250044984587,0.0007812291051613151,0.0,0.0010042796000433614,0.0008343582540938995,0.0009189094213997029,0.0008730480361882354,0.0008185299916161935,0.0008392237857418997,0.0008737699879454655,0.0008580390682985744,0.001541842747305237,0.0010739632015347065,0.0010333644267390071,0.0009818126370918793,0.001389334667537153,0.0008781272813229433,0.0015173119634666406,0.0008332800188167032,0.000799313489132336,0.0,0.0006752010382863622,0.0007568407825580382,0.0010843943840756073,0.0011490869824740935,0.0026899393839984564,0.0011398653081678618,0.0009104962664890886,0.0015959161487844149,0.001545927074737479,0.0,0.0008948382834885325,0.0008649544820646069,0.0006276151356717553,0.000886878449033137,0.0008342182699106424,0.0010827509394491068,0.0005430161710327301,0.0009643107814962895,0.0012013776902051135,0.000870691602663021,0.0014596967415151938,0.0016448356172356154,0.0007680542241800322,0.0013341408238897402,0.001755426561489098,0.0008132619210430692,0.0008093170794393309,0.0009513920233306047,0.001523351617703152,0.0007061302757149789,0.0008881333036521614,0.0008134810507773156,0.00087263755146901,0.0013914416418472203,0.0009513920233306047,0.0007869745467338977,0.0008830194571313776,0.0010208501749956593,0.0070490895243867265,0.0008701823403343357,0.0,0.0009922093889693268,0.0005947951555061843,0.001315677824752767,0.0008126483020297471,0.0008728048719258165,0.0007095914148389797,0.000964144219084509,0.0008992206953459216,0.00212357518221739,0.0013162586886918198,0.000849367561358142,0.001619419355047398,0.000961359855237216,0.0008206251592147999,0.001137297121316989,0.0007280839661541881,0.0010297522227903058,0.0011294759240349215,0.0008652663471999069,0.0009343487950695422,0.002517771787043089,0.0014148706452284713,0.0009183728518368947,0.0012101604497451839,0.000947869562311471,0.0010281565410839154,0.0007924693651301833,0.0006756604260583468,0.0016812658673425527,0.0007556524498805872,0.001020768401738432,0.0012288885066684683,0.0009102891640384132,0.0011786015087459141,0.0002462992682260171,0.0008709953372609526,0.0022917733475701463,0.0006276151356717553,0.0007688575632116008,0.0011356050208612728,0.0006727968572551956,0.0008397549140937892,0.0012051341764871145,0.00097699683172166,0.0005924816490098911,0.0006225228119272441,0.0010128827693045136,0.0012728362252758137,0.0009141990745340544,0.000845180251122142,0.0009760961519305484
Animal feed ingredients and pet foods,0.0,1.0000000000050797,1.0000000000050797,0.0,1.0000000000050775,0.0,1.0000000000050797,1.0000000000050795,1.000000000005079,0.0,0.0,0.0,1.0000000000050793,1.00000000000508,1.0000000000050786,1.0000000000050793,1.0000000000050793,1.0000000000050797,1.00000000000508,0.0,1.0000000000050788,1.00000000000508,1.0000000000050797,1.00000000000508,1.0000000000050797,1.0000000000050788,0.0,1.0000000000050788,1.000000000005079,0.0,1.0000000000050788,1.0000000000050793,1.000000000005079,1.0000000000050795,1.0000000000050793,0.0,1.00000000000508,0.0,1.000000000005079,0.0,1.0000000000050793,1.0000000000050804,1.0000000000050797,1.0000000000050788,1.0000000000050788,1.000000000005079,1.0000000000050802,1.000000000005079,1.0000000000050797,1.00000000000508,1.0000000000050795,1.0000000000050793,1.0000000000050795,0.0,0.0,0.0,1.0000000000050784,1.000000000005079,1.0000000000050793,1.000000000005079,1.0000000000050795,1.0000000000050786,1.0000000000050788,1.0000000000050788,1.0000000000050786,1.000000000005079,1.0000000000050797,0.0,1.0000000000050802,1.0000000000050793,1.00000000000508,1.0000000000050793,1.0000000000050793,0.0,1.0000000000050793,0.0,1.0000000000050782,1.0000000000050797,1.0000000000050793,0.0,1.000000000005079,1.0000000000050795,1.000000000005079,0.0,1.0000000000050793,1.000000000005079,1.0000000000050793,1.000000000005079,1.000000000005072,1.0000000000050793,0.0,1.0000000000050804,0.0,1.00000000000508,1.0000000000050797,0.0,1.000000000005079,1.0000000000050784,1.0000000000050793,1.000000000005079,1.0000000000050797,1.0000000000050793,0.0,1.0000000000050795,1.0000000000050793,1.000000000005079,1.0000000000050793,1.0000000000050793,1.0000000000050784,1.0000000000050793,1.0000000000050793,1.0000000000050795,1.0000000000050773,1.0000000000050784,1.0000000000050793,1.0000000000050793,0.0,1.0000000000050793,1.0000000000050797,1.0000000000050795,1.00000000000508,1.0000000000050795,1.0000000000050795,1.000000000005077,1.0000000000050786,0.0,1.0000000000050797,1.0000000000050802,1.0000000000050786,1.0000000000050788,1.0000000000050788,1.0000000000050788,1.0000000000050795,1.000000000005079,1.0000000000050786,1.0000000000050793,1.000000000005079,0.0,1.0000000000050786,1.0000000000050786,1.000000000005079,1.0000000000050786,1.0000000000050795,0.0,1.0000000000050802,1.0000000000050795,0.0,1.000000000005079,1.0000000000050797,1.0000000000050795,1.00000000000508,1.0000000000050788,1.0000000000050777,0.0,1.0000000000050786,1.00000000000508,1.00000000000508,1.0000000000050795,1.0000000000050795,1.000000000005079,0.0,1.00000000000508,1.0000000000050793,1.0000000000050797,1.0000000000050788,0.0,1.000000000005079,1.0000000000050786,0.0,1.0000000000050797,1.000000000005079,1.00000000000508,1.0000000000050793,1.0000000000050788,1.0000000000050793,1.0000000000050793,1.0000000000050788,1.000000000005078,1.0000000000050793,1.0000000000050797,1.0000000000050795,1.0000000000050786,1.0000000000050797,1.0000000000050786,0.0,0.0,0.0,1.0000000000050797,1.0000000000050793,0.0,1.0000000000050793,0.0,1.0000000000050788,1.0000000000050797,1.0000000000050786,1.000000000005079,1.0000000000050788,1.0000000000050793,1.0000000000050795,1.0000000000050802,0.0,1.0000000000050788,1.0000000000050797,0.0,1.0000000000050797,1.0000000000050804,1.00000000000508,1.0000000000050784,0.0,1.0000000000050786,1.0000000000050797,1.00000000000508,1.0000000000050793,1.000000000005079,1.0000000000050795,0.0,1.0000000000050793,1.00000000000508,1.0000000000050797,1.0000000000050804,0.0,1.000000000005079,1.0000000000050797,1.0000000000050793,0.0,1.0000000000050795,1.0000000000050793,0.0,1.0000000000050797,1.0000000000050797,0.0,1.00000000000508,1.0000000000050795,1.0000000000050802,1.0000000000050797,1.0000000000050797
Articles of concrete cement and plaster,4.0019218777307245e-06,1.9950620717538067e-06,0.00010149316605771407,8.879693317559788e-08,7.884709496206575e-07,4.438955319443733e-06,2.6955171995192694e-06,3.1177999223061914e-06,8.674260532697106e-08,2.419973288005207e-06,8.078818569678465e-08,4.72198185672559e-07,9.416226526793199e-07,2.338335449299787e-07,4.847908615360801e-08,3.022809591947964e-07,2.561375591616295e-06,1.0979308067496164e-06,3.1103518294970707e-06,3.372822797483833e-05,3.4295980120341513e-06,2.6043272781387968e-06,2.8477690362908886e-08,3.2952787273448924e-06,1.9631427971349786e-07,6.070245861906429e-08,4.610269423196578e-06,1.7694908610880846e-06,3.938771649746011e-07,2.95743244904903e-07,2.6894744041651555e-06,3.328339762593768e-06,4.039927857614e-07,2.6772834650463393e-06,2.507031614673514e-06,5.717091207050994e-07,2.6077499955118237e-06,1.2514233785718829e-06,8.078818569678465e-08,2.338335449299787e-07,9.252717047759188e-07,2.6980522400586465e-06,2.6335014220112767e-06,1.5733880925540257e-06,3.2713583363461876e-06,3.484867429292769e-05,0.0004563245443833864,1.8821635696968833e-06,5.220484741765681e-08,2.0914061888109858e-06,3.37892051448849e-05,4.041736928846855e-07,3.3420369578198483e-06,1.4907574630695674e-05,1.1572129881172685e-06,2.30973901358147e-07,0.00019957419930499877,4.5503927810846194e-07,1.7277033258175564e-07,2.478909913497387e-06,4.226506538449736e-07,4.72198185672559e-07,5.717091207050994e-07,3.008110931624584e-06,1.1095051812475495e-07,1.926700871488629e-06,1.7585364437158228e-06,0.0,4.38946450003177e-06,9.833696729131957e-08,2.084464208596829e-06,5.591441831935884e-07,1.9340150983230266e-06,1.319799812948446e-05,1.5165204621014058e-07,2.5221143734432925e-06,5.798943444359754e-07,2.229832297147119e-06,1.9337914663074854e-06,2.5139450599588848e-06,1.319799812948446e-05,3.2814305089679514e-08,0.0001574578961248597,6.646910558396778e-06,3.3246628825808837e-06,5.469761525088172e-06,5.066928995236596e-05,5.537251293563048e-06,7.029497010380755e-08,9.286753570218744e-07,4.919938178873991e-07,3.80526855124902e-07,2.3928618959797845e-06,2.0442655759160625e-06,2.8304480345615303e-06,0.0,4.3116524419242203e-07,4.6702046339810896e-08,1.27120650833453e-06,1.965256894019594e-08,2.5666461377267976e-06,2.5070280032477486e-06,0.0,9.860468318526855e-07,2.23935704504788e-06,6.517464008611472e-07,3.0000679490006687e-06,2.2258725817715277e-06,8.923623155469368e-07,6.439075948702726e-07,3.0952904966361824e-06,3.0546747461701425e-06,8.957512989827934e-08,2.6040165702011163e-06,8.536157320255286e-08,2.5666909189659058e-06,1.9522141402517223e-06,1.7948684975826485e-07,2.322295534756606e-06,2.5546031063321637e-06,2.547521472358981e-06,1.9406054706280523e-06,2.088855866686669e-06,4.3112783992743585e-05,5.4100900214144e-07,0.0,2.322069371053608e-06,2.607264458949187e-06,1.5762158310878556e-07,3.496214303527293e-07,2.965132080322667e-07,2.7919024223115082e-06,1.0210930476340418e-07,6.391595126375339e-08,3.26707126387429e-06,2.370771804430274e-06,1.200305013984833e-08,1.757989445880316e-06,1.8525254024019678e-07,2.238687449747435e-06,2.5527108032932462e-06,2.3747354382514893e-07,2.6114165990331866e-06,2.3730093116140057e-06,5.08292377971504e-06,2.312107286216551e-06,8.430146956079743e-08,2.4987098737350307e-06,2.5489918188912733e-06,2.599158339041725e-06,2.680540400185004e-06,1.1290563547960547e-06,1.5207896571118287e-06,1.7440424856226997e-06,3.214072417896054e-06,4.170510093862067e-07,1.8412071277935013e-06,3.484805856030492e-05,3.655033472393489e-07,2.5328640403211753e-06,3.976301615042768e-07,1.8412071277935013e-06,2.6849534306373105e-06,2.457857862512217e-06,1.8145935154025844e-06,1.8412071277935013e-06,2.1076344180838928e-06,2.6915327262821334e-06,2.7350077660032417e-06,2.110654564577438e-06,3.327536295000718e-08,2.632831072771207e-06,5.311748734453827e-05,3.0884694557683372e-06,2.5139450599588856e-06,1.512034035844155e-06,3.9827810736894845e-08,2.7620794929270516e-08,2.45149735396781e-06,1.6977961371455939e-06,3.508588242657489e-06,2.4392215015740446e-06,4.213469327684196e-06,1.104020933103901e-06,0.0,9.823631832799338e-06,2.3919254483026338e-06,3.0177349518809403e-06,4.993899620295929e-07,2.1390478182398223e-06,2.6385045174878135e-06,2.1630519795910356e-07,2.953293972044657e-07,2.2631668304552467e-06,4.591817477362875e-05,3.368745061343502e-06,7.097370060984686e-08,1.7214615232257403e-07,1.7962727078572973e-07,2.6094494429618427e-06,4.364329651175749e-06,2.279505899572666e-06,1.81151021219036e-06,3.9155595036889785e-07,9.385008436745439e-07,6.062049470112626e-06,2.534982859514837e-06,8.723950833868194e-07,2.230270386482208e-06,2.552633121212183e-07,2.4750649008730504e-06,2.199552428464148e-06,1.3620114428898541e-06,2.844256435438268e-06,9.310914623580736e-09,1.934508360769054e-06,2.8051002860179415e-06,1.569069355441856e-07,2.2886879992778543e-06,3.350105143204884e-08,0.0,2.7034905319752162e-06,8.822601897244697e-08,1.0147053348202711e-08,0.0,1.0240288843520928e-06,1.2784808383469884e-05,8.587935579812226e-07,2.6067454308917053e-06,2.1127869082529476e-06,6.385702975900476e-07,2.230270386482208e-06,3.1236701906741115e-06,2.6063020401503697e-06,2.5536822318515936e-06,2.5069558300759153e-06
