,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.4088515492038382e-05,4.0073657850960935e-05,4.144631380644757e-05,2.3083353935112906e-05,3.2201900030214134e-05,3.5285088407391866e-05,5.270748709774851e-05,2.862491671273032e-05,2.9734341493820418e-05,3.519764275336414e-05,3.461096553979722e-05,3.8230376823795994e-05,2.4111602137175387e-05,3.3489957166531375e-05,3.447634627901542e-05,3.059928230102515e-05,3.7842222427322106e-05,3.4619992521872776e-05,3.813359165321727e-05,3.388407752105056e-05,3.885864681787478e-05,4.071376658853992e-05,2.943312847368939e-05,0.023386183713651754,3.1754761930903666e-05,3.33894602279197e-05,4.847070313784387e-05,3.379643843374217e-05,2.8624839031459895e-05,2.2805112949208237e-05,3.13396271998641e-05,1.402528741532229e-05,2.6090869623613337e-05,0.00011430228400127347,8.209502909384075e-05,0.0,3.5981171884850896e-05,3.6973878296358005e-05,2.8310055353079364e-05,3.3489957166531375e-05,3.49124893434247e-05,3.241672122265618e-05,3.550924257647289e-05,3.7816475259909456e-05,3.603753138178264e-05,3.494350546153939e-05,3.78791308984635e-05,3.585952269618339e-05,1.8851505924304644e-05,4.6412875524657834e-05,3.4231765144946755e-05,2.9906647972088347e-05,3.220555525371378e-05,2.5234437078807317e-05,3.3496417005093765e-05,2.3253595123442774e-05,3.124789208213906e-05,3.52650189430871e-05,3.64906053905491e-05,3.785585000238645e-05,3.049195840858969e-05,3.544923455735064e-05,2.5401005093617317e-05,4.896461479178967e-05,8.940919458934328e-06,8.27596588537226e-05,4.356213339413962e-05,3.64906053905491e-05,3.407311658819772e-05,3.4693670897881075e-05,3.631780976721866e-05,3.521572702446563e-05,3.501288310714824e-05,3.679559688540757e-05,4.873058513882699e-05,0.0009485948511767325,3.517341205715074e-05,3.509397266233724e-05,3.984647628404027e-05,3.158814519185454e-05,3.679559688540757e-05,2.9562602010601765e-05,3.612719970329894e-05,3.5554380564082484e-05,3.566815334084633e-05,3.527195748389002e-05,3.579921389938948e-05,3.579318355697984e-05,2.832127778226316e-05,2.5948672181217127e-05,3.53851854371931e-05,3.0478831061243503e-05,3.517031301655251e-05,2.4943872829552935e-05,3.568388876003574e-05,0.0,2.9563231949957306e-05,3.3696043270312704e-05,2.708473119795809e-05,3.373221987434544e-05,3.5977870917999886e-05,8.941613616357189e-05,3.5372333318907685e-05,3.1815471030792685e-05,4.2721697590202833e-05,9.706359736686659e-05,3.4188110351469274e-05,3.0982657073457685e-05,2.9968483740628397e-05,2.8579897673973232e-05,0.0003666536213495266,3.392740539236602e-05,3.161565207942157e-05,4.750220168618293e-05,3.1889835950392586e-05,3.5701624646213215e-05,3.447194462963681e-05,2.2923056911465335e-05,3.5132982157434024e-05,3.6597306921865475e-05,3.7055273721072274e-05,3.471837896142097e-05,4.166351710046323e-05,2.9714465297124846e-05,0.0,5.035961978266577e-05,3.535903305165269e-05,3.455727191185124e-05,3.614064480922924e-05,3.473523617367903e-05,3.4717672340872626e-05,2.4790754723990143e-05,3.2734794100641914e-05,3.719683559360538e-05,3.879650292699794e-05,2.9706854592518428e-05,3.0873353284573403e-05,3.322445025346153e-05,3.6308385498922306e-05,5.045744747693841e-05,4.17927830120943e-05,3.377322035157972e-05,3.457359903258691e-05,3.5190062776429386e-05,3.500995718568759e-05,3.547166543883678e-05,2.223242078056761e-05,3.8284527044373864e-05,3.979690120976281e-05,4.028393235664989e-05,3.539069279153495e-05,3.9595813624674784e-05,4.275047422342915e-05,3.5255569861820716e-05,4.037838189914427e-05,3.055848426654964e-05,3.514595673665148e-05,3.375430840944841e-05,3.361202622297111e-05,6.680148459398248e-05,3.534863687142939e-05,3.5255569861820716e-05,0.00039771828851718766,3.5594394639791046e-05,3.241570133006057e-05,3.4883059256618267e-05,3.102312192664531e-05,3.6276358149657334e-05,3.4383893638405814e-05,3.548758780666681e-05,3.3551859639414094e-05,5.1289759697997045e-05,3.51303063056714e-05,2.597101239765105e-05,3.158814519185453e-05,3.6211136535364906e-05,0.006935433280218088,3.4946004719437434e-05,3.4597102334829976e-05,3.813739192648343e-05,8.538028133519151e-05,3.680940126230973e-05,4.317593280275415e-05,3.5372333318907685e-05,0.0,3.625197803258367e-05,2.551077077674596e-05,3.583133019806012e-05,2.9398499851813178e-05,3.543215641757516e-05,3.833761603358337e-05,4.266305277791759e-05,3.412297267733919e-05,3.9044083030350256e-05,4.5038790954480275e-05,2.8050529714956046e-05,3.511346382432898e-05,3.3804502952713105e-05,3.461094723410721e-05,3.568072791235694e-05,2.2483922523163195e-05,4.2692438152141356e-05,3.585896127527042e-05,2.185207314343501e-05,3.7943156989469167e-05,3.6020579946671935e-05,3.824158108217668e-05,3.2301363598978936e-05,3.471569798921078e-05,2.7599815174323227e-05,3.554596072201647e-05,3.526646841388713e-05,2.6653074547790972e-05,0.00016298993958935982,2.110290109730632e-05,3.550110569214037e-05,3.567983703107387e-05,3.267120901942765e-05,4.1813260201226485e-05,2.2517451542428107e-05,3.37543084094484e-05,2.6206584699797174e-05,2.1754077482919104e-05,1.8767036036882088e-05,3.37543084094484e-05,2.9219890577460172e-05,2.534163916155762e-05,2.232667837696667e-05,3.6064950693045764e-05,3.616407809738937e-05,4.4118022201498656e-05,3.471569798921078e-05,4.2760726981983385e-05,3.558735622512332e-05,3.639717579154729e-05,3.7494517941587396e-05
Agricultural and forestry machinery,1.11691547308244e-05,6.988324948260566e-05,2.8502649232602723e-05,4.617183629416315e-06,2.0250038905707514e-05,5.769938002604642e-06,7.634100940850855e-05,1.0118596771358267e-05,2.422135367020755e-05,1.6097504181658258e-05,7.176042574276139e-06,6.578679960189941e-06,8.289668804145325e-06,7.173903670002436e-06,5.1631738424931025e-06,1.9477940126320437e-05,2.1496309005388916e-05,8.035758923880164e-06,4.37530896837993e-05,1.0116295834437975e-05,2.425396474179833e-05,4.439560725454491e-05,8.902262276504897e-06,2.7681670301806273e-05,6.176166687095652e-06,2.066405294795016e-05,7.271109373101257e-06,1.3864878455397277e-05,9.023916293303995e-06,4.717759105150346e-06,1.1739234163372861e-05,9.491024061353453e-06,7.93544295098571e-06,3.2444043047730694e-05,3.513481791346656e-05,0.0,1.7674635023711848e-05,1.2077398241969654e-05,7.669943143337055e-06,7.173903670002435e-06,8.60898901997439e-06,1.0363147303425107e-05,5.719011720800455e-05,2.957212818339885e-05,2.1957444814194115e-05,3.7364963419546746e-05,2.2914275877477243e-05,1.730467081890369e-05,1.3178857198414962e-05,3.51597740422558e-05,8.476091662368801e-06,1.3287964439769625e-05,9.08922351976725e-06,1.1573991997596181e-05,7.1739036700024395e-06,7.310714723395733e-06,9.404029428563809e-06,8.721893572082176e-06,6.6329850046700345e-06,2.6403579191691218e-05,0.00019249114581867442,1.0564061324403977e-05,1.8278050219914263e-05,2.441002757280806e-05,2.2888540884033165e-05,0.0003434348933757733,8.94259176269704e-06,0.0,5.540452336750428e-06,9.827076818248434e-06,1.9859892838437895e-05,6.771295553362308e-06,3.007158213636079e-05,1.7905761528639606e-05,6.57867996018994e-06,0.0010853068896732798,9.848803976032063e-06,3.175135439546961e-05,2.4277457791061764e-05,1.0168077948060956e-05,2.0858654708136e-05,2.6575209283536484e-05,1.8128387461262815e-05,6.82786536501735e-06,3.8590131527365586e-05,4.106890407711121e-05,9.252079780810253e-06,1.8906893332093403e-05,1.1067461283348017e-05,1.172582178803676e-05,9.956299760406292e-06,2.1981181959800223e-05,2.389313221840276e-05,1.465293908262354e-05,4.474314699957339e-05,0.0,5.467328471013352e-05,7.676969950944118e-06,1.4518246183127814e-05,8.872482860556959e-06,3.6587409294915906e-05,3.832185117768482e-05,4.617183629416315e-06,1.3366044933598902e-05,0.0003430947225107665,0.00638421422535232,1.0033309420220435e-05,1.0270954506174571e-05,3.0914710329248917e-06,4.823770334439153e-05,0.00300971729791044,1.7632390562250933e-05,1.247958544479121e-05,2.9583392173423416e-05,3.948768201929981e-05,3.026919048007833e-05,2.0139247139667578e-05,9.942389959021541e-06,1.8050925372179493e-05,3.35900611514734e-05,0.00011049005896586566,2.325704862625789e-05,2.5943635830848064e-05,7.669924400214036e-06,0.0,3.9088094947656056e-05,1.4211992159211954e-05,1.0196844410166573e-05,7.45357253055189e-06,8.57283352055065e-06,2.8954431403612453e-05,1.2665679243358496e-05,1.486713605796315e-05,3.7285391370066366e-05,5.8918697502544086e-05,1.0718117523440284e-05,2.982844612806484e-05,2.2556472565239472e-05,3.630691755739562e-05,1.4110935658501417e-05,4.0325472836651375e-05,1.923424441805598e-05,3.621418186655246e-05,1.9863844493227266e-05,2.385151867804349e-05,5.430358673861032e-05,4.617183629416315e-06,1.4952760328590334e-05,4.0880089871270245e-05,2.7790969477423108e-05,1.8362916855923443e-05,1.0417048747131273e-05,2.547459891630749e-05,7.873645654965064e-06,4.563857996880552e-05,1.2630514926418253e-05,8.94884454652322e-06,1.0150590882974581e-05,9.445552023498764e-06,4.096500330381168e-05,7.696353674096615e-06,1.1485883548260296e-05,0.003175829856115201,3.603151264957959e-05,1.304832819371489e-05,9.55495529083958e-06,1.6262443679600513e-05,3.225172485387748e-05,4.4649395588254366e-05,2.6379925263758758e-05,7.032590648862794e-06,5.7190117208004525e-05,6.910747339410779e-06,1.2515318909958411e-05,1.0168077948060965e-05,2.0342474822445166e-05,0.0009282873205475207,1.1213151145207433e-05,1.7615229965795907e-05,2.4788390544033105e-05,0.0019143537333279352,0.004403680892956012,1.378268516145971e-05,2.6159621923541967e-05,0.0,1.9900920094611882e-05,2.0085165772735652e-05,3.5174937015284685e-05,1.4563542869627719e-05,6.911271820742569e-06,2.3798758394544764e-05,6.657609265899578e-06,1.1201091242200642e-05,9.421286443226359e-06,6.985149361082025e-06,1.9646882881221353e-05,1.023859171800004e-05,8.326423088955258e-06,1.1225144799480955e-05,1.530814925734351e-05,4.7268189495442934e-06,3.0326949481987148e-05,0.004616110481054251,5.780838693578944e-06,2.0867562353104786e-05,2.745063542768523e-05,2.7984054487849747e-05,4.929655729305387e-05,8.035758923880162e-06,2.5069783494913574e-05,3.2234461821617274e-05,3.5338847410207976e-05,1.2620167581255706e-05,2.1986972677955676e-05,2.2665028260171225e-05,2.9469182056038263e-05,1.991851223905607e-05,2.8148330423742504e-05,3.20429574914174e-05,1.1672690595348556e-05,7.978505523717466e-06,1.780535345461246e-05,4.617183629416315e-06,1.4666326960489929e-05,0.0,7.06208969303944e-06,1.4794156363827174e-05,5.963073070348873e-06,8.781333865552472e-05,2.7422999362818376e-05,1.2337623987849994e-05,3.0090969833088144e-05,3.707780342232241e-05,1.3931419929308014e-05,2.4933850294352926e-05,1.8056456958736002e-05
Aircraft and spacecraft,0.0034126156536974585,0.010105345257471955,0.0031884466228223455,0.003619017950155921,0.0028299165674585355,0.006305404732269068,0.004090076142482357,0.003008347126060293,0.0026795381469942614,0.007621391862995638,0.003810577133500557,0.0021248402988803877,0.0035092517056390512,0.0027128866043078983,0.00676117243986075,0.007012422219335656,0.00352443090657647,0.007477775285638572,0.004856758932731411,0.006872773972869632,0.0032762686979502186,0.008120659515071207,0.003476221928478246,0.0049518830386943635,0.00497418295286013,0.002951768538152496,0.0022595086529332924,0.0036084229250936133,0.002643942556692332,0.0028960354571412874,0.0030492023543541164,0.0031152473044763376,0.004119655145259714,0.004834878403619178,0.0029242976024333417,0.0,0.003216567365400258,0.004337384526175088,0.00340065841133116,0.00422739810404491,0.007947005868927456,0.003055558027336143,0.003033603884833788,0.0027815530667802536,0.003165290765723132,0.004979254476265409,0.002981876322157015,0.003514449030559484,0.0029942411898118367,0.004647554640065032,0.004772230348088582,0.0066930433357334914,0.0040917033780111505,0.0059686099964818785,0.0027128866043078996,0.0031287714953861607,0.003508058287562093,0.0021195115171521914,0.004101260412602495,0.0030075075902038857,0.007668016336711092,0.0038958628472915476,0.005873990206474081,0.0049867730177848716,0.003018832134054424,0.004044237388689131,0.0058417177198390674,0.0,0.005999237669710667,0.003867594911578209,0.0050260721660439975,0.0028756139417744605,0.002672752621100886,0.007640573096434525,0.0022595086529332924,0.0029764339192104618,0.004097657210340489,0.0037865743812838686,0.00503385653927942,0.006321100069282932,0.007653354142890203,0.003593320527159089,0.004773633031592518,0.0037422509381355995,0.0032242192274206456,0.007649421033760413,0.0028571119456070725,0.0041150203400388075,0.002641845043460738,0.003400188849189331,0.00372122136444881,0.002770149757783419,0.0037952045218249703,0.0032039144061188885,0.00465917426475553,0.0,0.003398808920024743,0.00277361117434097,0.002788587635179936,0.007659751366299758,0.003881236432439748,0.32784290202710026,0.007404891238972358,0.002628926589444996,0.0042622511935616544,0.0034098306869758304,0.0045353400001028575,0.003955860062595693,0.0016045378437616986,0.0027425895260268485,0.0029764339192104618,0.003316269080192786,0.003173921662195491,0.00317144430210843,0.002805514591767895,0.002963934199524908,0.003659285843699854,0.002935827627618322,0.003338653308496621,0.0034423555776104,0.004229023108485243,0.005873879207305439,0.004722606846952786,0.003371508263602617,0.0,0.00432664833216864,0.003552498929994205,0.0033920827186040793,0.016530243153315485,0.0033889678291468494,0.0031959574496009777,0.002779900474745813,0.003593611962256319,0.002422966570010379,0.004207972546716158,0.0073197290747559875,0.007264353633924701,0.0038232213626602013,0.004114047062130934,0.004314573704088393,0.002439006515977089,0.0037784639658996625,0.002751101685862744,0.0,0.0027858382302342515,0.002573790466169684,0.006952285429529335,0.006481579097076575,0.00576592220308513,0.005918608172712312,0.008091775167383426,0.002554250626442728,0.0023019474943723377,0.0,0.003585940330756719,0.0028492554355453474,0.0026346135596182134,0.006328767293259325,0.003260958833976622,0.0033425400019167057,0.0027128866043078983,0.004854488472292207,0.006685056646949346,0.003772177904578296,0.0028842083091428906,0.0022595086529332937,0.003078495068209973,0.004523117098884224,0.002758931700497592,0.005489747056723894,0.0037683983156806596,0.0026658421815195024,0.0028571119456070725,0.003068875091109064,0.006321100069282934,0.0026498860690857447,0.004310977056478136,0.0036372810460715476,0.0026658421815195024,0.003077085672052692,0.0035804192037523657,0.00471203824152703,0.0032694575638172003,0.007404891238972358,0.0,0.0034805131202160257,0.003173457884479848,0.005718047102986219,0.0039950777114496445,0.007375004118839164,0.002986387821076653,0.0032069342674990843,0.0030204656218898226,0.0042711601584284895,0.006297687968444518,0.02140351756804224,0.003205833148184933,0.005841943925351461,0.004420553378852248,0.0040714284902597965,0.0034061204768525526,0.0580283273791519,0.003891023946405156,0.0048444483787730246,0.003053110376026098,0.0033936160531494826,0.004113446337736741,0.0029563003011148217,0.003068804931632434,0.0028575199341040417,0.00885004824684158,0.0036125133179882797,0.0028947620619216644,0.0024971706328325957,0.003233955665629295,0.0033162690801927857,0.003046508182227977,0.003762162113592264,0.0031625482159447,0.0009039513797969741,0.005577654373856084,0.005177742126798303,0.0026346135596182134,0.0037776625494889637,0.007653354142890203,0.0029324985689197654,0.003040307754629008,0.006334781329562507,0.003141969774693051,0.003017078275733603,0.0033012941529640314,0.007695668256640025,0.004012665944012694,0.003929153600540776,0.003606693664471238,0.004086475130334633
Animal feed ingredients and pet foods,0.0,1.0000001318744929,1.000000131874498,0.0,1.0000001318744975,0.0,1.000000131874496,1.000000131874497,1.0000001318744982,0.0,0.0,0.0,1.0000001318744973,1.0000001318744975,1.000000131874497,1.0000001318744922,1.000000131874496,1.0000001318744973,1.000000131874498,0.0,1.0000001318744969,1.0000001318744975,1.0000001318744984,1.000000131874469,1.0000001318744982,1.000000131874497,0.0,1.000000131874498,1.0000001318744969,0.0,1.0000001318744975,1.0000001318744984,1.0000001318744975,1.0000001318744975,1.000000131874496,0.0,1.0000001318744984,0.0,1.000000131874497,0.0,1.0000001318744982,1.0000001318744982,1.000000131874498,1.0000001318744949,1.000000131874498,1.0000001318744964,1.000000131874498,1.0000001318744969,1.000000131874498,1.0000001318744978,1.000000131874498,1.0000001318744984,1.0000001318744975,0.0,0.0,0.0,1.000000131874497,1.0000001318744969,1.000000131874497,1.0000001318744969,1.0000001318744975,1.000000131874497,1.0000001318744973,1.0000001318744973,1.0000001318744964,1.0000001318744816,1.0000001318744969,0.0,1.0000001318744982,1.0000001318744975,1.0000001318744975,1.0000001318744964,1.0000001318744973,0.0,1.000000131874498,0.0,1.0000001318744975,1.0000001318744987,1.0000001318744982,0.0,1.000000131874497,1.0000001318744975,1.0000001318744678,0.0,1.000000131874498,1.0000001318744973,1.0000001318744975,1.0000001318744964,1.0000001318744973,1.0000001318744978,0.0,1.000000131874497,0.0,1.0000001318744982,1.000000131874498,0.0,1.000000131874498,1.0000001318744964,1.0000001318744969,1.0000001318744975,1.0000001318744987,1.000000131874496,0.0,1.0000001318744978,1.0000001318744975,1.000000131874497,1.0000001318744964,1.0000001318744982,1.0000001318744969,1.0000001318744973,1.0000001318643226,1.0000001318744984,1.000000131874497,1.0000001318744938,1.0000001318744973,1.0000001318744975,0.0,1.0000001318744978,1.000000131874498,1.0000001318744987,1.0000001318744702,1.0000001318744969,1.0000001318744967,1.0000001318744973,0.0,1.0000001318744975,1.0000001318744982,1.0000001318744924,1.000000131874499,1.0000001318744958,1.000000131874498,1.0000001318744938,1.0000001318744913,1.0000001318744975,1.000000131874498,1.0000001318744982,0.0,1.0000001318744975,1.0000001318744969,1.000000131874497,1.000000131874498,1.0000001318744973,1.0000001318744984,0.0,1.000000131874498,1.0000001318744982,0.0,1.0000001318744973,1.000000131874498,1.0000001318744982,1.0000001318744969,1.0000001318744978,1.0000001318744975,0.0,1.000000131874497,1.0000001318744973,1.0000001318744982,1.0000001318744978,1.000000131874497,1.000000131874439,0.0,1.0000001318744982,1.0000001318744953,1.0000001318744922,1.000000131874498,0.0,1.000000131874497,1.0000001318744978,0.0,1.0000001318744969,1.0000001318744975,1.0000001318744975,1.0000001318744978,1.0000001318744982,1.0000001318744975,1.0000001318744975,1.0000001316800144,1.000000131874497,1.0000001318744969,1.0000001318744975,1.000000131874497,1.0000001318744967,1.0000001318744975,1.0000001318744978,0.0,0.0,0.0,1.0000001318744975,1.0000001318744978,0.0,1.0000001318744958,0.0,1.0000001318744978,1.00000013187448,1.0000001318744973,1.0000001318744975,1.000000131874498,1.000000131874497,1.000000131874497,1.0000001318744975,0.0,1.0000001318744975,1.000000131874495,0.0,1.0000001318744975,1.0000001318744962,1.000000131874499,1.0000001318744949,0.0,1.0000001318744958,1.000000131874498,1.0000001318744978,1.0000001318744978,1.0000001318744967,1.0000001318744947,0.0,1.0000001318744982,1.000000131874497,1.00000013187448,1.0000001318744973,0.0,1.0000001318744975,1.0000001318744987,1.0000001318744975,0.0,1.000000131874497,1.000000131874498,0.0,1.0000001318744987,1.000000131874498,0.0,1.0000001318744978,1.000000131873338,1.0000001318744978,1.0000001318744987,1.0000001318744987
Articles of concrete cement and plaster,5.569906197896272e-06,0.0003400783916214278,2.4815704388992598e-05,2.623736135259607e-06,5.978013144662647e-06,1.455836839978296e-07,0.00045681256377335397,1.1402230874267358e-05,1.198907967016738e-06,2.13457287219071e-05,9.307273986337055e-07,1.990258040191492e-07,5.335548958731388e-06,1.0560824079144178e-06,6.771837374607026e-08,1.8119467782364794e-06,3.937452116045866e-05,2.4742751178757114e-07,3.4673591198633795e-05,7.474753886969492e-07,0.00011560827167087229,4.9850905225711235e-05,1.3168338075141267e-07,0.004818715602010713,3.1764227278158005e-06,1.6177712713597062e-07,3.351476005185639e-07,6.9715687641027935e-06,1.3191891748534949e-05,2.9874243195954635e-06,1.6668910653316e-05,2.098425774317513e-05,5.3419948474575e-06,2.8339293157413327e-05,0.0004570826551632402,2.600808223526603e-06,5.973247317790088e-05,1.3021379531607674e-05,9.307273986337055e-07,1.0560824079144178e-06,6.419452033400853e-07,1.2733988920647585e-05,2.801620241889329e-05,1.3757298750149052e-05,3.354040728433259e-05,8.863267812631067e-05,5.3990941638410146e-05,1.8570923982222606e-05,6.288836187863253e-06,0.12050200757895908,1.8453336839586037e-06,5.277666223827764e-06,3.7862594625900383e-06,4.763114415346218e-06,1.1682337862559892e-05,7.014276593765615e-06,2.221858876129609e-06,1.3627170589776803e-07,1.482110348819786e-07,8.058910248255856e-05,1.0310997053152813e-05,1.990258040191492e-07,2.600808223526603e-06,5.001957803658301e-06,1.960336346317024e-06,0.00019922784049160764,0.00016678074983428933,0.0,1.3973232423255457e-07,2.2228847428420434e-07,6.865881364368668e-05,6.302353016708793e-08,2.4967932259087873e-05,1.5729982817539044e-05,3.58551340927201e-07,0.0013727410143517414,3.215283241262178e-07,2.1908850096415378e-05,3.4096385021504344e-05,3.522349226675332e-05,1.5729982817539044e-05,5.084484526099263e-07,5.341426907793507e-05,2.4937004162249315e-06,2.7781526804224935e-05,6.104527612246326e-05,7.309270350246981e-07,3.944891430286834e-05,6.724862178771368e-07,9.101119109736082e-06,2.081119502138645e-07,3.3119690959775396e-06,2.3748550144419055e-05,1.2047136771119424e-05,2.7765428008955483e-05,0.0,4.368828300748686e-06,7.274932665826642e-08,7.319056943936916e-06,5.217659188630086e-08,2.6961984315870848e-05,0.00045713912001513765,0.0,1.3784592994236101e-06,0.0005195639582206426,0.0019042742800618895,1.9019594062830374e-06,1.6213528688092188e-05,1.3308916385588321e-07,1.0050608904207773e-05,0.0024614434224570184,2.1985158777342443e-05,5.476500580571806e-07,7.804430313368216e-05,3.9188554577834915e-07,2.3938754279093042e-05,2.395981697178975e-05,3.420736931304673e-06,2.3539876200849607e-05,2.111260290201544e-05,0.00016236300893127833,8.229487619277031e-05,3.865816068764481e-05,5.900073767455521e-06,0.0,0.0001093269179936993,6.23745174917972e-05,3.874685216425577e-07,9.875726887431112e-08,5.202680792235293e-07,2.8530076765970154e-05,1.6119529338511303e-06,4.724139343390147e-07,7.931765579100261e-05,5.600058637244713e-05,7.676448522968505e-08,1.6379058342700446e-05,5.373539741203586e-07,4.188799287094588e-06,7.889189830608425e-07,2.6195344834782943e-05,1.2097163921111335e-06,2.4347648245138245e-05,2.3796358263387565e-05,2.4862009520528104e-05,1.693532235010813e-05,2.449721407036223e-06,0.00019026919837946066,6.193007058527577e-05,2.6314084760039888e-05,6.22465450293296e-05,6.182741878057129e-06,3.795581129280486e-05,1.7070566037421576e-05,0.00016275643966527444,4.190893430453998e-06,1.8100914573629736e-05,4.00943610606513e-07,2.514976837210336e-07,0.0003459611518536192,3.3597658550370724e-06,1.8100914573629736e-05,0.0005178008832521932,6.975249584763151e-05,9.934237620122082e-06,1.8100914573629736e-05,5.0951362530124634e-05,2.4249103788496838e-05,2.5516427231922072e-05,2.4361829494854605e-05,8.388060625246894e-08,2.7948166534026607e-05,1.0047770516030687e-07,1.9012458777824114e-05,3.522349226675332e-05,1.010164122186139e-05,0.00016163776825496134,4.681430717981852e-08,9.544028395984596e-06,7.583947467865576e-05,0.0009919902690555449,0.0002126265761242483,5.66086193413986e-07,9.571973007568499e-06,0.0,2.520042641685115e-05,2.4507527036784512e-05,0.0001217581471730926,5.5673943556137976e-06,1.6105728496664147e-07,0.0002677922311334896,3.903925972161977e-07,5.958414161141614e-07,0.00013281508297137228,4.5235393209295605e-06,1.4327288037001072e-05,1.2762403400923247e-07,4.535630089984731e-07,9.733720856683901e-08,5.9608143180271624e-05,2.472106903360006e-06,0.000194817552973982,0.00018269521423237937,2.628162928240969e-06,4.0850982656348866e-05,0.0055098090200228845,2.0063316264645885e-05,4.3294895045857985e-06,2.2109314352742897e-05,1.8552581411899234e-06,2.5908064736886123e-05,2.1914936908847505e-05,1.4367602810669254e-05,4.475780585205668e-06,1.0299910856095662e-06,2.4970081832488034e-05,2.395204662053669e-05,3.894252559712768e-06,0.00015618059097495236,2.037942260558442e-07,0.0,1.0762567117615889e-05,2.6160978255650263e-06,1.5461118896764861e-07,0.0,3.959167056688757e-06,1.8448832188170927e-05,3.0373846760481397e-06,2.5748011055660048e-05,2.1410187192753987e-05,5.741549191666913e-06,2.2109314352742897e-05,0.0005576178904970961,6.111851258934806e-05,0.00010169660026695456,5.945155030719385e-05
