,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.004758752877567144,0.007695661761396594,0.005916146137424615,0.003867712554915928,0.005347895072074483,0.005633001190299598,0.005861745222575459,0.004684239251673652,0.005342887163026471,0.005602803895344028,0.03207963922652523,0.005974980780586771,0.003993336723889339,0.00545651828106535,0.005821290623240703,0.005685399507074973,0.0057185931699340565,0.006164845832301607,0.006114315484098703,0.006685174012703269,0.005787682137995766,0.005784312932375071,0.004607712944713351,0.005863283906606176,0.005651826217280418,0.005554862024959918,0.006212090208718889,0.0063275884783253345,0.0046819778755445105,0.0038657465954875605,0.0048942584720389915,0.002281472005865345,0.004268854977955579,0.005830540747384166,0.005717951668726006,0.0,0.0056106413675154725,0.005822469140776377,0.004694023684836243,0.00545651828106535,0.005920421510200077,0.005515896074528599,0.005706767861540976,0.005819221232143014,0.005752765493838874,0.006087268367008041,0.0057977228694325415,0.005828441588274335,0.00304385641521812,0.00586448494000494,0.006049584477623173,0.004913081742255547,0.0059554558936385175,0.005566293923982748,0.0054571372491167705,0.003921283418330656,0.005312169341790853,0.006086277537167528,0.006176294006710684,0.005683596212641384,0.004965326800278027,0.008355862993300479,0.004137536396053217,0.006476729810308231,0.001513080234013635,0.005523794483562835,0.005762244345111404,0.006176294006710684,0.005556452713184296,0.10189485093617143,0.005717780875811017,0.005602441819682677,0.005935668629399603,0.006219217095047484,0.005927707910260222,0.008684462305456827,0.005611921922423779,0.006574497482339119,0.00502614544951002,0.005935668629399603,0.008208049498576765,0.0055922264252755,0.005838405626396599,0.005782936182844081,0.005701792282974755,0.00596337908117276,0.005382815811067655,0.004669524983772242,0.004284720385439667,0.008363796546951746,0.004943488542556131,0.005706045887986161,0.0040857665485701565,0.005692099296926791,0.0,0.00480299019400006,0.00579711476332377,0.004429935093824671,0.005582953871788425,0.005749805347298486,0.005712628537436087,0.005749080775765053,0.005318813410312032,0.005701832049945734,0.00550500981008027,0.009784404105788791,0.005115521194635985,0.004906598561325491,0.004729402996052941,0.0059038813109627015,0.005519073186342138,0.006147196773414856,0.005700030525515115,0.006062575862164134,0.005760486224862697,0.005568882965582762,0.0038128327656332442,0.005703520323932089,0.006236144436188172,0.005678262802226873,0.006938832555423946,0.005778150092927674,0.005629641826618645,0.004616485318766836,0.0,0.005743543912535844,0.005748622204275999,0.07144199492367026,0.005999566268781144,0.10895005199361713,0.005535577906393544,0.004032587345628825,0.0058247840712192895,0.005947360812745054,0.005618201636543569,0.004859957572860709,0.00413825213362331,0.005452401522710411,0.0059428970183912876,0.0058249432243257645,0.0057544683077065985,0.005708102647627502,0.005793354500938638,0.005702336966738787,0.006975933768189496,0.005466864085404158,0.0037069374957163057,0.005556074545821959,0.005691375537104305,0.005730815446249226,0.00563187597999549,0.005768497370488521,0.005776066318035677,0.005464933630252395,0.00576136467502916,0.005005936930961379,0.005464411186838703,0.006766332838802217,0.011937591276919738,0.005711943193278031,0.0054357439574325775,0.005464933630252395,0.006118649317194988,0.005700882805658573,0.005227122253113231,0.005409076002388634,0.005145054716367306,0.007029971571266422,0.0055259510145729066,0.005786927405068656,0.005666342341769887,0.005858841934439175,0.006316037298044091,0.004041937992207135,0.00502614544951002,0.0057542795652518065,0.006305042560497053,0.00611730418215457,0.0066316838301519665,0.006933977245691705,0.006172249469913612,0.005457797532463325,0.007525984316530208,0.005749080775765053,0.0,0.005822268805719344,0.004193070574205346,0.007280425703070605,0.004791816785839261,0.00688244199920304,0.005586066397839625,0.005994082846856644,0.0056837904190717835,0.005696147960216207,0.006250061537541094,0.004686558861249099,0.005893189555262691,0.0055474198842476,0.013045426693094974,0.005688680780883739,0.0037683090209781,0.00597289170236225,0.00493489080688234,0.003649237653620446,0.004759118122178516,0.0069601850371091446,0.005703552472240297,0.006096862657509032,0.005540069367147107,0.004882643514389064,0.00570927107456167,0.005684432785329377,0.004407362857389835,0.00723203504796464,0.0034845838021885745,0.005660792199079449,0.005691337512515236,0.004996743836865177,0.006219544230605995,0.00505602087738889,0.006766332838802217,0.004866197782632531,0.003633732406909909,0.004980658220922579,0.006766332838802217,0.004807738489729177,0.0041384670707165965,0.0037224402773718547,0.005708215742595062,0.005706744098868444,0.005964299922633998,0.005540069367147107,0.005717107220104518,0.005683627558476833,0.005645046949665911,0.005682811368737087
Agricultural and forestry machinery,0.014442280148724264,0.0517830788410369,0.0548481141865123,0.009298916322533386,0.026727234167674536,0.0399470864718886,0.03693328251093966,0.06184038731740881,0.05231525683950936,0.04251568001721902,0.019222410554007634,0.04841576278656505,0.014853493280599811,0.019215979780307337,0.037030021932088195,0.08449515887099238,0.04927787041324773,0.03842748975196485,0.04454068077943831,0.03591762463218731,0.030572840111183303,0.03724459029171123,0.0430870122932057,0.03571768004202083,0.011160433718150465,0.04237618315637109,0.04881182416549702,0.07447585426801707,0.020503899406593407,0.009723957308446846,0.05879384852399613,0.08536732747444344,0.026631129094647238,0.04069776595366998,0.04238465902185719,0.0,0.04026158961149828,0.044899316641244746,0.027229222058634647,0.01921597978030734,0.054727956577064994,0.06371960195626344,0.033949622035038735,0.03655983890109756,0.04319196232391033,0.037123934243690065,0.04785493434838001,0.046721565434906714,0.03580227722180517,0.04995612267030667,0.048310330380216746,0.0355755072890566,0.043665303847434084,0.023896198016202422,0.019215979780307337,0.03346667862612487,0.03216639523693169,0.062341134243781675,0.043684594242004285,0.033700577523597224,0.025600676124345738,0.07310114816867058,0.03245426472813427,0.09942119956544715,0.04466872975200181,0.03906009890155545,0.021994645534064182,0.0,0.03787516297467285,0.18490583070606223,0.043045098967259186,0.037890398469638056,0.07195941833482422,0.04841576278656505,0.07778373113124429,0.07615674695802514,0.026721618104743508,0.04105639441487089,0.04248226397404866,0.08271081525413368,0.040784240497261225,0.06310753612122791,0.04164161739976388,0.03580525780709017,0.040686156118283294,0.05312755973299814,0.037127655627056964,0.026457181734368104,0.0458146419935624,0.06743562687222183,0.044466583314816975,0.04323345785925159,0.04699839214170252,0.034079651671900114,0.0,0.04511640332715063,0.03983619803282778,0.026521754167543724,0.04932585003191957,0.039732824807472734,0.04050026881001067,0.009298916322533386,0.08784755766241498,0.033850917563123584,0.03946935882662653,0.11386433816051289,0.036265137181018904,0.013274034593794547,0.022517038328976703,0.04009020957292172,0.057523770748866436,0.05507891852830191,0.04363955424508997,0.04654233706999025,0.047845384523151666,0.04767227348839527,0.01293476364709529,0.048445732024857184,0.041935929896305804,0.04762883226424666,0.0314017957329442,0.052889739616011164,0.033194143448902085,0.013800209803629776,0.0,0.04156908950377667,0.04063205814168736,0.0923182589653981,0.04481724563345333,0.1925176840555279,0.022628135405460888,0.029872202364450217,0.061983941404638664,0.0441152763511459,0.03990574991107336,0.015397943085402675,0.021433884380235944,0.03735674376930503,0.04079174268726043,0.03653364387119954,0.04139012821810445,0.03899133521477322,0.050679619542166675,0.05406801639924499,0.04349876872686551,0.039887830224285596,0.009298916322533386,0.05057437685136813,0.03721710556510002,0.039178747882955466,0.08183405550626295,0.0796495743922125,0.042748561316396705,0.02398191551769039,0.037809984710378816,0.04488512516528035,0.036009433526559595,0.035899167518560045,0.17815079328545597,0.03778711242420366,0.020163714429212845,0.048584832074861826,0.03924111401846013,0.04127302447410467,0.04374351667387474,0.08418852256617924,0.04124466624678391,0.0418598192090885,0.028808094069918362,0.02968778594934243,0.036340758681634416,0.03394962203503874,0.05630069538992035,0.07343512706255383,0.04248226397404867,0.03423328224407365,0.03681249333401991,0.04760127909184687,0.10064993282604896,0.04667644443352791,0.03720564012884544,0.04667626764382812,0.057314639037578906,0.03374844358482312,0.0,0.07674119882184889,0.044911579312786984,0.04421010575417549,0.03881327572879267,0.04195233088190089,0.03474908505590924,0.04688337447193146,0.050982990577312474,0.014742724844321736,0.03811165013904978,0.04160682859658081,0.06831351507870882,0.04518999229661622,0.1918116376188181,0.03770884070902867,0.010029254551275674,0.040998773898531675,0.04065056401299779,0.021959627864164822,0.04280753933431712,0.042465623153147135,0.04961271394509781,0.05125126635043733,0.03842748975196483,0.04058390951824043,0.038380943711526117,0.03885123396033668,0.03551829771501954,0.03121142978634692,0.037940197412235414,0.03944440831121741,0.05423755380970523,0.040720235975976384,0.04028163071284663,0.033546024793766664,0.02737005604724006,0.11876629271514527,0.009298916322533386,0.03443233652675987,0.0,0.015504842090649968,0.03293957942916024,0.026853264893638287,0.03940485092786821,0.03308393183748829,0.039459360330298156,0.039861557570351196,0.03722262229857706,0.039532951593320105,0.039834455228955915,0.04056389770041845
Aircraft and spacecraft,0.000273098483952204,0.0004852905013615049,0.0002851858074455501,0.00025340601364105776,0.0003383699933776148,0.0009991270125328862,0.0005183109815573717,0.00024250626226424014,0.00022434651168052618,0.0002803180636867022,0.0004478064449916702,0.00026163947389129305,0.00023354533510134868,0.00021478972507801028,0.0011739101562356854,0.0005145914302658797,0.00045721040329611996,0.0002847797956013988,0.00044721702228224525,0.0005054742874683078,0.0008576011482602567,0.00101064630098087,0.0010060443437358913,0.00029118502649166277,0.0006279758438547269,0.0001876518222552192,0.00024276499640553558,0.0003105401941118472,0.0001757549882790912,0.02555068600538461,0.0003074271982408607,0.0003235060728992439,0.0007544838141355231,0.0002767407080160415,0.00024347397970549917,0.0,0.00034169290683258146,0.000602650856636648,0.0002621912938630725,0.00023698471139725808,0.0016179131127739728,0.0004091284457695419,0.0002952397432026601,0.00027687244665874385,0.0003915790893074464,0.00042285105241172114,0.003651044703930737,0.0002755433097160094,0.0003363747471895464,0.00031830022221363447,0.00034857789769050053,0.00028051449155748356,0.0003669034453601141,0.0004289665579044343,0.0002147897250780103,0.0002425167660951201,0.0005175601748543588,0.0002623863306525769,0.0006413491317503462,0.00020330075283066232,0.00035363535052574123,0.0005005727409786293,0.00021439261517221616,0.00028035670654360313,0.000195674638703899,0.0007079598875203602,0.0013628311828303456,0.0,0.0004579969683609193,0.015410184581577394,0.000360358828611505,0.00024999915571157714,0.0002880706067998419,0.00024276499640553558,0.0008245756724070908,0.0006390440395487673,0.00027667219368948697,0.00024871713052459344,0.0006568007555145583,0.0002871916906283301,0.0004759143651973359,0.00042249335666559985,0.0003347747144162168,0.000611559352534206,0.00028783026994661046,0.00030578101899832443,0.0005224772308645794,0.00021373486045475227,0.00026213070690898357,0.0031918957502183663,0.0002493541808199124,0.00031148527921839083,0.00019323026171930244,0.0011938959132819869,0.0,0.0002213763478925481,0.0005418262598450956,0.00019119985216485612,0.00037165966393337555,0.00031117073183723,0.00036036454761365294,0.00023375866532479982,0.0008367600562309167,0.0006270315894535227,0.000451130609279378,0.0008262399697159354,0.00021256443312402216,0.00014381920208160332,0.00018606756329361053,0.0008245756724070909,0.00022394155036145806,0.0008907334167371368,0.0003990309526931934,0.00035004773800448324,0.0011833978715833921,0.00023278319390101972,0.00017607004687344494,0.00045446890145269507,0.0004224644660755084,0.0017459024374883651,0.0005030981256626878,0.00029452396068736515,0.0005130149673035762,0.00019942493861702275,0.0,0.0005032948476294674,0.00024785058789733436,0.0009136807843739648,0.0003095201277619128,0.0006680765044025296,0.0003248063757499872,0.003587790072227676,0.0010651487123818544,0.0002469602127274783,0.0004429893363430791,0.00021841143480383164,0.001422988865128049,0.0008832031258544487,0.000537523046498686,0.000484334823716459,0.0003548565287024424,0.0004795838652889458,0.001257585756853978,0.0,0.00027287963869715394,0.0002565107966637948,0.00028307030572330075,0.0007010743222007244,0.00042278651756647343,0.00027736490087607507,0.0002880448308753742,0.0002442082779283446,0.00023724905266294795,0.0,0.00034920003197137545,0.0025234642882487395,0.0001689749299196956,0.000657601122461442,0.00034004851536943134,0.00027311923612465986,0.0002147897250780102,0.0003411275727511474,0.000444841356564793,0.0006888098241503993,0.0003728751851860148,0.00024276499640553555,0.0006520537711194117,0.0004089990536300428,0.00021591541892818463,0.00026620489345188146,0.00029688711891811675,0.0035550841053767403,0.00030578101899832443,0.0009432528992679042,0.0006568007555145583,0.0001717378669549013,0.00024392187185812137,0.0005558789695663755,0.0035550841053767403,0.000532288640919623,0.00040514173641099043,0.0010248046070839307,0.0004438008955814331,0.00023375866532479982,0.0,0.00023716700849820362,0.0002689836950863996,0.0008601446207850426,0.0003631776068814475,0.00023773700895501616,0.0007846477722707112,0.0002588934420122585,0.0016063340846202525,0.0020818307987851776,0.0003069872344628119,0.0005026108533621858,0.0007743360797322525,0.0010436535303879457,0.0010069680379254562,0.0002653537523804368,0.00031593500895940585,0.00026138282737910197,0.0016932724681052187,0.00025310104522895664,0.0016451698741129935,0.0003283096130477097,0.00029895771484468207,0.0025227894230280645,0.0007985554632423751,0.0030253214104759302,0.0002475432081672192,0.00027105813046094464,0.00019088658290434534,0.0003264251259744725,0.00024883702508290723,0.00022394155036145808,0.00021496497979005714,0.000307460470245669,0.0005473426517724973,0.00016124278577324454,0.0005561713455319438,0.0005597774726576308,0.0001689749299196956,0.00026340176321618786,0.0002871916906283301,0.00018561316581451536,0.0002869526442705518,0.0005263496976039936,0.0002822174381990234,0.00022108135174268086,0.00035700868133127815,0.0015385157427095133,0.00048451335423440104,0.00027329298232437615,0.0003289178311635792,0.00037943163024396585
Animal feed ingredients and pet foods,0.0,1.0000000000000004,1.0000000000000007,0.0,1.0000000000000004,0.0,1.0000000000000004,1.000000000000001,1.0000000000000007,0.0,0.0,0.0,1.0000000000000007,1.0000000000000009,1.0,1.0000000000000004,1.0000000000000002,1.0000000000000009,1.0000000000000007,0.0,1.000000000000001,1.000000000000001,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000004,0.0,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000004,1.0000000000000009,1.0000000000000004,0.0,1.0000000000000009,0.0,1.0000000000000007,0.0,1.0000000000000009,1.0000000000000007,1.000000000000001,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000007,1.0000000000000009,1.0000000000000009,1.000000000000001,1.0000000000000009,1.000000000000001,1.0000000000000004,0.0,0.0,0.0,1.0000000000000002,0.9999999999999996,0.9999999999999996,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999996,1.0000000000000007,1.0000000000000007,0.0,1.0000000000000007,1.0,1.0,1.0000000000000004,0.0,1.0000000000000004,0.0,1.0000000000000007,1.000000000000001,1.0000000000000002,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000007,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000009,0.0,1.0000000000000007,0.0,1.0000000000000004,1.000000000000001,0.0,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000002,1.0000000000000007,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000007,1.0000000000000007,1.0000000000000013,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000009,0.0,1.0000000000000002,1.0000000000000018,1.0000000000000007,1.0000000000000016,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000007,1.000000000000001,0.9999999999999999,1.0,1.0,1.0000000000000007,1.0000000000000002,0.9999999999999999,1.0000000000000004,1.0000000000000009,1.000000000000001,0.0,1.0000000000000007,0.9999999999999996,1.0000000000000004,1.0000000000000007,1.0,1.0000000000000013,0.0,1.0000000000000009,1.0000000000000004,0.0,1.0000000000000004,1.000000000000001,1.0000000000000004,1.0000000000000002,1.0000000000000007,0.9999999999999996,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000007,1.0000000000000004,1.0000000000000007,1.0000000000000007,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000009,0.0,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000013,1.0000000000000009,1.0000000000000004,1.0000000000000009,1.0000000000000004,1.0000000000000004,0.9999999999999999,0.9999999999999999,1.000000000000001,0.9999999999999999,0.9999999999999997,1.0,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000004,0.0,1.0000000000000007,1.0000000000000002,1.0000000000000007,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000007,0.0,1.0000000000000009,1.0000000000000007,0.0,1.0000000000000004,1.0000000000000002,1.0000000000000016,1.0,0.0,1.0000000000000002,1.000000000000001,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000007,0.0,1.0000000000000007,1.0000000000000007,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000007,1.000000000000001,1.0000000000000004,0.0,1.0000000000000002,1.0000000000000002,0.0,1.000000000000001,1.0000000000000009,0.0,1.0000000000000004,1.0000000000000004,1.0000000000000009,1.0000000000000016,1.0000000000000009
Articles of concrete cement and plaster,6.872318565217491e-05,0.0005217313086531348,0.00012713644375603823,1.3731296255799131e-05,0.0003256425730591375,6.828345423479181e-06,0.00028013015306672554,0.00011170717765975455,0.0002124804242060567,0.00026658946925928173,7.556997502560754e-06,0.0029687392418841297,5.327232547732404e-05,1.4694086501594397e-05,6.0957027277919946e-05,0.0007508253438454594,0.00025243544810386306,5.072827498740376e-05,0.00033321948599690027,0.00025772197088291414,0.00015088721254301508,0.0002616048213676402,1.1689712350380243e-05,0.00023803683938269604,0.0009120634643752318,4.6358971088578486e-05,1.0846568555086723e-05,0.007811966809180112,3.657364096045106e-05,3.766074536766994e-05,0.00024658158181231756,0.00029307945301405256,3.813828484268054e-05,0.00026970849740814545,0.0003296097571741979,2.6628182809902097e-05,0.0002998965930662686,0.00011976469315894916,7.556997502560754e-06,1.4694086501594397e-05,9.123812812835563e-05,0.00015286399544014656,0.00025726130898425843,8.336991222180612e-05,0.00010269902645746113,0.00026998492973194337,0.0001836331273016797,0.00018880111439609985,3.977221758903761e-06,0.00019901998500773804,2.501565212008178e-05,2.8441951691288114e-05,5.31883558496025e-05,0.00012788451025408192,0.00010904413528846874,2.833169826087693e-05,1.2011700223877485e-05,0.00010014590313316031,1.9615155767913644e-05,0.00024514075548947125,4.142481846405314e-05,0.0029687392418841297,2.6628182809902097e-05,0.00018345647160543886,8.595493071453047e-06,0.00031401876318381026,0.00028019613435277974,0.0,5.8249366307287414e-06,0.027597866333318476,0.00018393199113538234,0.00019467710904340154,0.0016383467185360774,1.070930330295126e-05,0.0001670915872304592,0.0031701043778316544,0.00022679320463307972,0.00026213925418799,0.00025831826635010056,0.0016383467185360774,4.901753979182296e-05,0.0008898427289839184,0.0002735708560482377,0.0002156175399333495,0.0002681954791592729,9.383575445360353e-06,0.00015779767801298237,1.4595433382791519e-05,8.413854118657381e-05,0.0029815676631545955,3.0022779088145104e-05,0.0003068400705083673,0.00010724586640049866,0.00026874972847976044,0.0,3.525995665674143e-05,2.0060871533597377e-05,6.897316338886684e-05,1.775247268805514e-05,0.0002548521927516915,0.0003296153389893899,0.0,0.0002269361366392561,0.00020917103234623696,6.076303736791033e-05,0.0055182546650990654,0.00036982111885793553,0.00011187677138451237,5.405016616934294e-05,0.00022042493185685895,0.00034756422764927413,0.0002780437629076446,0.00029146325881219644,0.00032895823220212685,0.0002703721839313142,0.00019596205113663404,2.1958839737921626e-05,0.00031203260820171296,0.00021152724407010623,0.0002830518874803554,0.00011926305022088997,9.882485398645841e-05,9.879819831952054e-05,5.643790640587342e-05,0.0,0.00025308101082497205,0.0003009274947435639,0.009262304363804727,1.3553026886250085e-05,0.013940683099067914,0.0002568772691108721,2.9786726219247694e-05,0.00019083174231294872,0.00022418170628499712,0.0002447888506800676,6.890315967011278e-07,0.00019579648341773966,0.0005104724301911284,8.517524635464744e-05,7.695739987570502e-06,0.0002759012961863854,0.006593665730861981,0.0024637508868254965,0.00030731342007495223,0.0001284307977275785,0.0001588218937984256,1.4229255933701861e-05,0.00027523981994104224,0.00028917411186905667,0.00026174756264691213,0.000298363768383722,7.71910929074687e-05,5.7840284673620846e-05,0.00017407830791760535,0.00032359881702507756,3.3605918800673674e-05,0.000184332856426936,0.0002632563352241473,0.0034501232888831646,0.00031255421895448913,3.20337700632289e-05,0.000184332856426936,0.00030309237048964437,0.0002697803834492594,7.569140729378459e-05,0.00018433285642693596,0.00011734427868635453,0.00027733705193990437,0.0002841265036231275,0.00021106051869933042,0.00021442899842463573,0.0002947691762598676,3.7622308545213963e-06,0.0002037417050498708,0.0002583182663501006,0.00012369375053987246,5.159915739287612e-06,2.2019972432632794e-05,0.010440885037858269,0.00017701549786951822,0.00023284642096149387,0.0002570603148079104,3.180740161012305e-06,9.58656535204397e-05,0.0,0.0012101078949932366,0.00023751659200203564,0.0002487855440617496,4.4659136113540415e-05,2.435124373360049e-05,0.0006573344980607864,1.3432673948421707e-05,0.0003029750734996051,0.000278914982912824,4.638903475381407e-05,0.000142551585693898,0.00032345378032389195,0.00011871676171384722,0.007635720434129354,0.000299704072953794,5.9627982772627225e-05,0.0003745470018349761,0.00026314640842973406,2.303028399825548e-05,8.911602568867897e-05,0.0002971372304667004,0.0002864083477469898,0.0033798970791227723,0.00022682009143281916,0.0008225599390863531,0.00024231386155310392,0.00022097067829409997,0.00011453066949593162,0.00010633254085774647,1.4856103943701121e-06,0.0001947212420514392,0.0003174259450986792,1.846566044723951e-05,0.0002936317125491754,9.933588028997761e-05,0.0,0.00014939376936151625,1.3689829541003257e-05,1.8741271175894178e-05,0.0,4.7578068114666994e-05,0.00017093121152463793,2.22003326934054e-05,0.0002722530554939072,0.00020898702987665984,6.029825915577473e-05,0.00022682009143281916,0.00024468760011306726,0.0003009189063549938,0.0002873807654343701,0.0002857462791895685
Automobile bodies trailers & semi-trailers,0.025840025167449553,0.015640585442646158,0.014203784042380057,0.0019033091425479218,0.009501338644480795,0.003735922744365423,0.013300797971696043,0.00783670830923984,0.009544487617356014,0.003972143091062231,0.0035293710370214396,0.010563456780791252,0.0019519658082995206,0.0025828381795195195,0.009150030326083433,0.013177489171000123,0.01878051070414981,0.030976657684372428,0.02416198095222071,0.035263534037624174,0.014978770985438148,0.013459260815073055,0.014163716248013426,0.03327552507217106,0.0010240179147281013,0.011131396778409132,0.011247393625377883,0.014882268062856814,0.00274283165418305,0.0038146959566744553,0.008612198883555655,0.0005426239458795228,0.011924956726103626,0.014854234939457206,0.013755140001586416,0.0,0.014767000669552338,0.010849227609028629,0.0013777961553320844,0.0025828381795195195,0.013681830991901962,0.010319939184600673,0.01582646984455993,0.011661436176487747,0.01459701731310711,0.06681672685240928,0.013993964660854322,0.01261493686744162,0.0017876465536327737,0.13457048914282638,0.007017743099109437,0.007142668241762169,0.009834921492977768,0.018985182955617578,0.002732012464369857,0.00590856933216719,0.0067738697501119995,0.015577485997534862,0.007529882730778847,0.0153823554302664,0.012325254273004592,0.044249214482683825,0.003657455680453726,0.007654102190659929,0.0018980753679070756,0.01096337545106766,0.011547702225772635,0.01582646984455993,0.0032954378350442894,0.10200094985379933,0.017669911961639723,0.011003189075512652,0.020720950447443306,0.012048528574969193,0.002654773685239127,0.051438710261635656,0.004092834896813027,0.014693537593280893,0.007957420016873046,0.020720950447443306,0.015275538021692238,0.015550250614160899,0.010677703146617335,0.015620054756748299,0.01257618067661815,0.006721873560370223,0.014597757605134178,0.007740002382506275,0.009628770372242423,0.07104622124520137,0.004524283475918469,0.03796982981574507,0.013406672585680835,0.015892760029986717,0.0,0.004643767687472902,0.010912174940223155,0.005618885742884084,0.014300532254321813,0.014749367792738974,0.014189662477820598,0.0008845905646998575,0.01971590341698757,0.01104161089239865,0.009535144393382353,0.08579442488831396,0.012358431746163091,0.0027104889540203164,0.00846976229050262,0.008985292046610653,0.017419362846441314,0.01571080454523099,0.015435960433173006,0.016301401011129625,0.014426964609061446,0.014894040526304973,0.0013553630571015442,0.014591924031666101,0.007959032958823782,0.0144079038869459,0.0131549187524123,0.009480297249421251,0.012044299294782046,0.007118279504586258,0.0,0.015978952643519565,0.014773829571420339,0.02156833998546502,0.017936926812593977,0.05950381175179596,0.08217338416865524,0.007426390751659701,0.010693792436450675,0.020551107013039936,0.015532716738835427,0.004056773876163647,0.01161706041427958,0.009664171420171662,0.011817021766636916,0.03058754129612382,0.015298481843527138,0.01107949053875095,0.01750014505204741,0.016713883292334128,0.013702315183409785,0.012047907188556986,0.0008845905646998575,0.02848453670377854,0.014792751142958199,0.027721308073220784,0.014610578099017252,0.018893924639209556,0.010783625575966729,0.0029411274183738807,0.013805198898270856,0.0035443930261588523,0.012610586670972177,0.03709168507590486,0.0636129162247982,0.014294633643678424,0.012797126084710736,0.01261493686744162,0.013866744620528856,0.015002704451431275,0.023353837715218942,0.0,0.010636514415650205,0.014965945618407934,0.012688849222014183,0.013641026970500715,0.008929147992501107,0.016759308059015782,0.004427904931061619,0.004173735717189837,0.007957420016873046,0.01572187449541418,0.011748537808070107,0.014642888639700103,0.017638797145971958,0.01263189474184693,0.007461665422964356,0.011183114464239405,0.013894684310791784,0.00977961307628418,0.0,0.01797685230260514,0.015715850085460753,0.012098592560604996,0.0033783909854338445,0.008742865403148923,0.011137958631700428,0.006159508862138927,0.010690444125424439,0.013668920936935683,0.019274312200563717,0.02184239553458646,0.025490595693349646,0.011336675598245534,0.19211936592208384,0.014845185606095386,0.009664906164164351,0.013934905411822547,0.01045506424703253,0.0026686468271409627,0.015573755028371055,0.01125246633403137,0.009422702888018157,0.013927822275032026,0.008283517876337085,0.014517106749431633,0.005317823831825487,0.012276989032235324,0.00825585637384236,0.010355008345567566,0.0035750076986246033,0.0055614331736765265,0.044188287012997866,0.013291482837672737,0.01516149071289127,0.010552407958371444,0.0,0.008582100956273153,0.0008845905646998575,0.002916494586412053,0.0,0.00429146567082851,0.005146827439365381,0.013077574366552654,0.015952057987923117,0.011058241863738615,0.012096870208113796,0.008283517876337085,0.023359906460724777,0.014754934493061866,0.015045497835364527,0.015632177482413214
