,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.2598140389995896e-06,1.527362291353862e-06,1.761297899481641e-06,1.0219528213127428e-06,1.6591809570085326e-06,2.107849594864581e-06,1.5897973048029995e-06,1.2408367754287384e-06,1.5054260820640215e-06,1.4783229604421757e-06,1.5825896058697237e-06,1.7750641252721626e-06,1.084769985066522e-06,1.4323229022049099e-06,1.784015979824265e-06,1.6586522731168506e-06,1.7507627244469873e-06,1.4366189952127255e-05,1.794879850946863e-06,3.585672849883784e-06,1.6850933048068398e-06,1.5243752592065578e-06,1.5012187106124571e-06,1.6959844693631023e-06,1.4416325048881637e-06,2.040576259844845e-06,1.9543939281778565e-06,1.692828228643453e-06,1.2592266749433454e-06,1.0321430092629547e-06,1.3277356465791145e-06,6.088312074488563e-07,1.1631031688778042e-06,1.4994890237393646e-06,1.534722637067589e-06,0.0,1.6603348560612363e-06,2.4710029892576046e-06,1.2905208101249258e-06,1.754763032589895e-06,1.4304321375074715e-06,1.5163720790298423e-06,1.8212132208456558e-06,1.5762356864275612e-06,1.7678715871933963e-06,2.7150303447508327e-06,1.5969745158535635e-06,8.221442727928836e-07,1.62250900190381e-06,1.992702616917582e-06,1.3691208839491184e-06,1.6587056452619186e-06,1.3020224330179359e-06,1.432559413608751e-06,1.034721116504994e-06,1.9130592800289288e-06,1.811261195793771e-06,1.7236921357501009e-06,1.525919887731935e-06,1.359450577378094e-06,1.9764753352110184e-06,1.113407790223385e-06,1.7665333719796647e-06,4.0400913319896005e-07,1.762860793784517e-06,1.5697160097326578e-06,1.7236921357501009e-06,1.999601333998921e-06,2.3479389967237338e-06,1.544602299208338e-06,1.8646155905911732e-06,1.4880811612818868e-06,2.184868767481281e-06,1.9523312315810166e-06,1.7473388584520851e-06,1.9541165139747614e-06,1.4854491636393855e-06,1.8908021602016878e-06,1.5017890904371797e-06,2.184868767481281e-06,1.471319482581672e-06,1.890465076402084e-06,1.941907231215132e-06,1.6779136321093701e-06,2.027371697246427e-06,1.791443761113165e-06,1.696238262930166e-06,1.3924360584963591e-06,1.149313874363707e-06,1.972227405939567e-06,1.3237243705639656e-06,1.5087750662595386e-06,1.1124520856224306e-06,1.510598944448992e-06,0.0,1.2879544405346844e-06,1.7877231170714444e-06,1.1823009686384303e-06,1.5431361571014507e-06,1.5252306971612834e-06,1.534971772962033e-06,1.4891361921522079e-06,1.716811533994157e-06,1.6342375115933571e-06,1.4793502766447522e-06,2.3576491662442605e-06,1.7142689691273226e-06,1.7793810109050543e-06,1.248484788415962e-06,1.7609330816162709e-06,1.4619261069938762e-06,1.6768840419069305e-06,1.4733446807846801e-06,1.6295495190442962e-06,1.5214154672292802e-06,1.4735271816154135e-06,1.0334593113502344e-06,1.5107124296354512e-06,1.636093660790137e-06,1.5206266347492586e-06,1.5920333083100857e-06,1.5268608300099464e-06,1.5339484454138052e-06,1.2586166709409513e-06,0.0,1.576192253457449e-06,1.7371572190329568e-06,1.9631122404357547e-06,4.4199403963558566e-06,1.95144018324008e-06,1.468389430163849e-06,1.3118365685648257e-06,1.914495811064437e-06,3.0253369106919695e-06,1.515187102109398e-06,1.3038779324084062e-06,1.0642465306407539e-06,1.7423284044689386e-06,1.6627241371639233e-06,2.171717953726168e-06,1.5214720778960745e-06,1.9641799147804265e-06,1.512523899220136e-06,1.5107006711909898e-06,1.6577311047772495e-06,2.2599287112220995e-06,1.00256264208941e-06,1.6611012601807776e-06,1.5790439751267888e-06,1.5004931875597147e-06,1.6570323078851786e-06,1.9190985200158803e-06,1.6001707798294332e-06,1.466596270742418e-06,1.7461055506227906e-06,1.328192665230567e-06,1.464468504531008e-06,2.041868744099602e-06,1.6945689360417174e-06,1.5270306047796595e-06,1.4298805866546046e-06,1.466596270742418e-06,1.5762753673709445e-06,1.5219594748454314e-06,1.4043192648552649e-06,1.4515457605264464e-06,1.3522049796687815e-06,1.5066483261383271e-06,1.459982187006896e-06,1.5071814939731973e-06,1.6685873808311383e-06,1.5866203749701816e-06,2.1846878640038244e-06,1.0857705188676042e-06,1.50178909043718e-06,1.889045875151362e-06,1.6461958362193503e-06,1.910340365677814e-06,1.7843068154185794e-06,1.8767297566486512e-06,1.6215648968659997e-06,1.4642807437147876e-06,2.3167608999332462e-06,1.4891361921522079e-06,0.0,1.9706616370656397e-06,1.1130055509515875e-06,1.6323033517741394e-06,1.2830202983877018e-06,1.8313081298179144e-06,1.4972841064329755e-06,1.834397124386694e-06,1.9982284230666006e-06,1.5128819921221943e-06,1.989784115145764e-06,1.280412257061116e-06,1.6865400588330958e-06,1.7778960449800876e-06,2.020977357375378e-06,1.6693914222677413e-06,1.1121634814527282e-06,1.616157460320663e-06,1.3430039441289525e-06,9.683911271176448e-07,1.4141350257337963e-06,1.5835203575267958e-06,1.5186893962718574e-06,1.6037687170529047e-06,1.4673762547340118e-06,1.1686851169476475e-06,1.5174217707043096e-06,1.5077711803764956e-06,1.2126552762914408e-06,1.7763029980962472e-06,1.0247801852182428e-06,1.5046744420490432e-06,1.5125434517084745e-06,1.2904623798346283e-06,1.5777883370039045e-06,1.2422840477443291e-06,2.0418687440996013e-06,1.0940537476178685e-06,9.63728516430376e-07,8.861616539975547e-07,2.041868744099602e-06,1.2955806143853883e-06,1.1159918457030102e-06,1.0040374001178659e-06,1.5142638580137633e-06,1.525463482207166e-06,1.7869619967884922e-06,1.4673762547340118e-06,1.52034693126376e-06,1.708774600867056e-06,1.6087686881607007e-06,1.6488643672302644e-06
Agricultural and forestry machinery,4.1091635106169506e-08,1.2957452655599094e-07,1.0529349885783691e-07,2.455600621789423e-08,1.0173772471375033e-07,8.08708630315353e-08,1.1953220705391134e-07,7.717493145947866e-08,1.6379484430502083e-07,1.0696163173052576e-07,5.592212097234978e-08,1.1596995336445978e-07,4.2495935221020325e-08,5.5908025571253715e-08,2.335152407334523e-07,1.456530762005196e-07,9.832032553180136e-08,1.059911434415844e-07,9.961784555064653e-08,1.2533334425379662e-07,8.814561583514505e-08,9.929727479435907e-08,1.7850259192289284e-07,1.1742038205814669e-07,3.321575788318099e-08,3.4499645639666266e-07,1.149838026649186e-07,1.960973851719122e-07,2.1416275896086767e-07,2.5874919625857387e-08,6.845608569334226e-08,6.776174077113292e-08,4.4175903672207514e-08,1.0600164960542243e-07,1.0709863895524167e-07,0.0,9.967300485841397e-08,1.1538508731011189e-07,6.512235767093646e-08,1.6328848789263185e-07,8.803184097280808e-08,9.135864498253758e-08,9.915516914403632e-08,9.638777223714574e-08,9.85685370689219e-08,1.0217389695498704e-07,1.237710672534018e-07,6.485593559567171e-08,1.2300217791048936e-07,7.86753537247545e-08,1.915278894037088e-07,9.53908299804445e-08,7.163171930078001e-08,5.5908025571253715e-08,4.740175112709154e-08,9.011720169622015e-08,4.78246314402107e-06,1.6215969862617655e-07,1.0364337732856192e-07,7.36393432419426e-08,1.9916220412613932e-07,1.7123594494516166e-07,1.0239504022265777e-07,9.686112081487588e-08,1.2857032582569394e-07,6.905150251673198e-08,0.0,6.944821994490168e-08,1.392934787130533e-07,1.2636634460567981e-07,1.0104415644615813e-07,9.996717847857957e-08,1.5225757651030258e-07,1.1596995336445978e-07,8.876691794215711e-08,1.8950281205113062e-07,6.952920620412039e-08,1.0502454609637623e-07,1.1424542193833907e-07,1.6318530239666796e-07,1.3107689697198176e-07,2.685023627631314e-07,7.733181122589321e-08,9.16111258573158e-08,1.0163627267014438e-07,8.577156331628127e-08,8.922373612285341e-08,1.0050637376634413e-07,6.312636268372758e-08,1.9690148448314381e-07,1.4084499631771872e-06,1.0339280871906261e-07,8.909925575097303e-08,9.307315275564698e-08,0.0,1.1714449592353107e-06,1.7135943436774457e-07,6.228910926752356e-08,3.396104490659443e-07,9.963134292423415e-08,1.0174760155174379e-07,2.455600621789423e-08,1.7350684711961148e-07,9.665693833897272e-08,1.2910876314006442e-07,1.4854528738791255e-07,9.031136052736113e-08,3.768936549047385e-08,6.003078017701948e-08,1.1444956187001759e-07,1.2893695561911788e-07,1.7958702548165643e-07,1.0646199060142872e-07,1.4839347531363925e-07,1.053825645418637e-07,1.2059834923373565e-07,3.313346827852971e-08,1.2224640529153043e-07,1.8611509639278175e-07,1.0776857799754161e-07,9.756653121680055e-08,1.1920433162923831e-07,1.0742037456113448e-07,3.584663269541941e-08,0.0,1.0474894690171545e-07,1.1342988535857938e-07,2.052822126519762e-07,1.4377842032050215e-07,1.8890254814338702e-07,6.036825658244572e-08,9.84184648027558e-08,1.722483183249299e-07,9.866903148600411e-08,1.342510681019847e-07,3.691366740704295e-08,5.674849688689034e-08,1.775571856328644e-07,1.0546669282099295e-07,1.2095481201091266e-07,1.0780608255534051e-07,1.3731436442685056e-07,1.3907807918519252e-07,1.2711116466094398e-07,9.511361257170435e-08,1.1298570517775327e-07,2.455600621789423e-08,1.1355075910110304e-07,9.727969373369403e-08,1.1128393399122555e-07,1.0149492124778046e-07,9.19786430627034e-08,1.0795161966445696e-07,6.768808890964149e-08,1.0573625068301289e-07,1.8269822802956555e-06,1.0589073877384257e-07,1.2573801151019372e-07,1.7143042841839329e-07,9.847974168139894e-08,5.790516960200672e-08,1.2849963386590832e-07,1.4361728741395756e-07,1.1255367485964431e-07,3.1749655702774603e-07,6.97082679362954e-08,7.884279315824798e-08,1.043596011329435e-07,7.705266974896771e-08,7.773427235209405e-08,1.466449502141662e-07,9.13586449825376e-08,8.477655184648164e-08,6.953059941587939e-08,1.142454219383391e-07,9.573721633191098e-08,1.1102783846264692e-07,2.1135704053462826e-07,2.3674114606238659e-07,9.924108363858139e-08,1.27592533417147e-07,1.157467615031898e-07,8.482526615344634e-08,8.37358206403699e-08,0.0,1.5451037968703123e-07,1.0908374309358056e-07,1.091500444182801e-07,5.323261150405517e-05,1.6097223017640476e-07,9.649983169080989e-08,1.122922287907049e-07,1.7820795715599182e-07,3.976891831765171e-08,1.0701669703256815e-07,9.673364603905796e-08,1.180276501591287e-06,1.2342638150604018e-07,1.5150990448789996e-07,9.58423485163756e-08,2.6922273687499538e-08,1.0752899528760005e-07,1.1591644240513682e-07,7.002691227122504e-08,1.1129554729217847e-07,1.188602537012915e-07,1.064847261198397e-07,1.4046616488889617e-07,1.0599114344158439e-07,1.25190880238811e-07,1.1166831036626888e-07,1.0366300091050774e-07,5.863619083398821e-08,8.62266326788707e-08,1.3955460860358217e-07,1.0231533953622407e-07,1.2725785925180464e-07,1.0914304361825003e-07,1.051017526565308e-07,1.4514047113973447e-07,6.551153634623091e-08,7.367480047303025e-08,2.455600621789423e-08,1.0901138693852215e-07,0.0,3.9060969729703844e-08,7.23722593702425e-08,4.19716106642727e-08,1.010681286828121e-07,9.864105582696908e-08,9.78559724618084e-08,1.0555540578987076e-07,1.1309152831289843e-07,1.0044012701168501e-07,9.902391565112709e-08,1.0337870101401367e-07
Aircraft and spacecraft,4.207389927072831e-08,4.1260289721626844e-08,3.807119491776602e-08,4.5932178434383345e-08,2.5442699629937025e-08,3.329897704414547e-08,4.85481791759483e-08,3.874399248473518e-08,3.355091610403883e-08,1.0114045485127888e-07,4.0187211753227554e-08,2.453623926434877e-08,3.674725579645447e-08,8.347959012403303e-07,3.94782933107296e-08,4.94215735594821e-08,3.924666663150418e-08,3.0410908355826084e-08,3.160625111576876e-08,7.810560162419014e-08,3.581596783938743e-08,4.415888672108303e-08,3.676279871127383e-08,6.312383203631878e-08,4.059797969220879e-08,3.849036565826494e-08,2.0674311148716434e-08,3.858015822876307e-08,3.9635745157408976e-08,4.2253790469605106e-08,1.4142083119972775e-07,3.583316738721858e-08,5.1407547098394336e-08,6.326416371819391e-08,2.1922660548651796e-08,0.0,3.5188556371300885e-08,5.5395517625960495e-08,4.131625189382256e-08,4.3030480364033085e-08,2.981420956114532e-08,3.534391213995421e-08,2.591501425803091e-08,3.04630696908242e-08,3.953531130619146e-08,2.986424005846574e-08,4.338387546007135e-07,3.242394413503264e-08,5.246642311457611e-08,3.5350977500391827e-08,3.937703603865466e-08,2.3958937642192296e-08,7.166474732627968e-08,8.347959012403306e-07,3.728129129956775e-08,3.9136883077104576e-08,2.4689054468209566e-08,3.864573020344493e-08,3.9344330510682177e-08,1.062582503111364e-07,4.4504994833584677e-08,3.731229458980392e-08,6.038769301647054e-08,3.993243380869252e-08,4.105369002798235e-08,4.498430785595051e-08,0.0,1.8377488056715804e-08,4.0750656344149786e-08,7.027411381977729e-08,3.120926940914384e-08,3.4319845350928244e-08,1.0904827803312962e-07,2.0674311148716434e-08,3.939429098888272e-08,3.8711847240817565e-08,3.996605202477746e-07,3.504460160327444e-08,5.6105396740722404e-08,1.0958116286080139e-07,3.990180621782532e-08,5.734570827608361e-08,4.964368415459799e-08,3.590571645988487e-08,1.0949422507132823e-07,2.5952073192320786e-08,4.8088350269231976e-08,3.47279043845359e-08,4.131548086159459e-08,4.7783560068190856e-08,3.2303710837123035e-08,4.281668287101886e-08,4.005922057308782e-08,5.616402930468609e-08,0.0,4.1775840251602526e-08,5.024584639350376e-08,4.030256211879952e-08,4.039967120397283e-08,4.554766112482176e-08,4.139473219336569e-08,4.396623081944914e-08,2.9371418445000207e-08,3.930426930018764e-08,3.7571304317942185e-08,4.7280367807718275e-08,4.292049834605692e-08,1.3878289940794862e-08,3.960379898385331e-08,3.939429098888272e-08,4.016988487317545e-08,3.535144790641345e-08,3.7552626317008564e-08,3.40857929886608e-08,3.8295147549965156e-08,6.373470801458428e-07,4.341354041800813e-08,3.697736389542576e-08,3.26391960167174e-08,4.40054026560596e-08,5.3900642544825315e-08,7.745571895240719e-08,4.8342489572009394e-08,4.760703938028925e-08,0.0,5.7163914684096214e-08,3.8874581878755765e-08,4.272494992652092e-08,3.8584551307358554e-08,4.082163338609645e-08,3.724890448204569e-08,2.4405247198458597e-08,3.7595718597216273e-08,2.2414661236000512e-08,7.721572943042424e-08,3.7524812507891384e-08,4.394836611082183e-08,3.682922161456815e-08,3.382678529071636e-08,4.5882869753835026e-08,2.43787113338134e-08,3.922936237111379e-08,3.6936889972642834e-08,0.0,3.1921232860883544e-08,2.6848109981669537e-08,9.832750251915987e-08,3.6004563254623544e-08,3.269549334717471e-08,3.7965669092669224e-08,4.073209476984735e-08,2.517959897421717e-08,2.2522412886045283e-08,0.0,4.503187092643185e-08,3.5568748166600487e-08,3.9188737725035804e-08,5.616946205155852e-08,4.3187923100980106e-08,3.258287455766033e-08,8.347959012403303e-07,4.747057379470216e-08,5.272102528352193e-08,3.6789627518102026e-08,2.7134803772832177e-08,2.0674311148716434e-08,3.9365472448699425e-08,4.1437030150879205e-08,5.6153122035761115e-08,2.2737163419074187e-07,3.9471281049466165e-08,3.4187825224239924e-08,2.5952073192320786e-08,3.917244948781552e-08,5.6105396740722404e-08,3.90881090971504e-08,5.691534979754519e-08,2.8376623847877868e-08,3.4187825224239924e-08,4.120766014663655e-08,4.760401658314309e-08,4.419425219605351e-08,3.56729002319771e-08,4.396623081944914e-08,0.0,3.9803269212961036e-08,6.984453038119808e-07,4.6390523109672885e-08,4.372998868253545e-08,4.391693087829892e-08,2.9078330404888e-08,3.781202971049376e-08,3.7495577278419235e-08,4.5291217741622143e-08,3.0872491086607194e-08,5.326058762598039e-08,3.7260669945193063e-08,4.019631762762718e-08,4.2032908230293224e-08,3.411575331033727e-08,3.592436884153067e-08,4.035558113803806e-08,4.339756461133152e-08,5.124174403163559e-08,3.7194219340479513e-08,3.774905500076927e-08,4.8710631223751036e-08,3.612596561153196e-08,3.236817644120036e-08,3.636563917926249e-08,1.7395446611948492e-07,4.85845677673687e-07,6.091570370545263e-08,2.358791714398464e-08,3.2882041906024814e-08,4.0169884873175466e-08,3.9209688129354205e-08,3.890288450938644e-08,3.908551927361227e-08,8.132169619826306e-09,5.2359344841456535e-08,2.7022785978699214e-08,3.9188737725035804e-08,4.280771592369529e-08,1.095811628608014e-07,4.259695191118827e-08,3.896916128002106e-08,3.1730490679553825e-08,3.6818594313769515e-08,7.625799033035023e-07,6.676834798985266e-07,5.123848807478024e-08,4.73979686172394e-08,3.8801840936660065e-08,3.818473109910321e-08,6.597720134149507e-08
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,3.193912315638622e-09,3.8226093424324445e-08,7.718840939570875e-09,7.44957228921413e-10,5.7837835740005075e-08,1.2441545581102105e-09,6.678026182700501e-08,1.3655678202653546e-08,1.8743932867107293e-09,1.9913164771199183e-08,7.191658796570205e-10,2.3589747329545406e-09,2.6322029641499362e-08,1.2289268653737076e-09,5.406947605616872e-10,6.501878154441029e-09,1.955278083029094e-08,2.7800206106317308e-09,2.019030520534625e-07,5.376618934777476e-09,1.1437547368763897e-08,2.042790820028023e-08,6.912626253479032e-10,7.274627956711476e-08,7.68467376774833e-09,6.061060601884367e-10,8.606053625329363e-10,5.920898099301443e-08,3.24694432044736e-09,3.069569984666428e-08,4.408126895202149e-08,1.3012901945382903e-07,7.0891523731433724e-09,2.1233975772665948e-08,4.241584080695766e-08,2.1089248238753107e-09,4.9575889756000875e-08,8.71564445311549e-09,7.191658796570205e-10,3.12269890101371e-09,5.500699803588744e-08,1.835605984182532e-08,1.2094137162104024e-08,1.0021891052308345e-08,4.153476896488201e-08,1.1604265479710808e-08,2.0823179674661698e-08,9.460939226670672e-10,2.228819920195357e-08,4.3241341851996355e-09,4.51230143945238e-09,2.9673831652759107e-09,3.1426618753919527e-09,9.287137696291283e-09,3.904917155541594e-09,6.771530777198292e-10,9.525304271062493e-10,8.746257588099002e-10,2.3540106429714328e-08,1.0085620515901751e-08,2.3589747329545406e-09,2.1089248238753107e-09,5.878884637936116e-09,1.767262491489351e-09,2.7147539576322757e-08,2.2997048885962624e-08,0.0,6.291529484039072e-10,1.9708861712362943e-09,2.833713553531057e-08,8.001201198962126e-10,1.803320861567292e-08,2.2728768496915317e-06,9.036301715045296e-10,5.223641860372242e-08,1.4557739912922414e-08,1.9029846275396348e-08,8.029957831021938e-09,8.596659237086111e-09,2.2728768496915317e-06,5.100781200761877e-10,3.7367119363834566e-08,3.4406281633120753e-07,1.6001551658991027e-08,2.107196075464522e-08,7.540214649099714e-10,3.970121560738885e-08,7.885860985952018e-10,4.23919655727024e-08,2.403251156135946e-09,2.2015501400281067e-09,2.2839962359366664e-08,1.2561977972612576e-08,1.9876318935345993e-08,0.0,2.7922790248338243e-09,3.8338866405013403e-10,4.727803782855583e-09,4.2619369397174344e-10,2.045458330378577e-08,4.241870629350391e-08,0.0,1.3801136324177623e-07,1.6368366235018406e-08,1.0460761047606354e-08,1.0678536705752138e-08,1.031658504332163e-08,1.2944127142714767e-09,1.8978117059436948e-08,7.158384885861758e-08,8.522943269890354e-08,3.2699848636384934e-09,6.480977017788423e-08,2.792819296879596e-09,2.002615212513102e-08,1.852955664896854e-08,1.562382873987569e-09,2.080155110958112e-08,6.036683828203649e-08,2.038782042041199e-08,4.0847083299988985e-08,1.9174612933791703e-08,7.488242457671107e-09,3.008810390275802e-08,0.0,3.5839946074693044e-08,5.1041785035395974e-08,6.819471701003763e-09,6.208370504331689e-10,3.041374377637407e-08,1.875338102485508e-08,2.5575649823411774e-10,1.912667897613942e-09,8.504012889854657e-08,2.100344238280587e-08,9.1066847576092e-11,1.9240890550060233e-08,4.35460027001558e-09,4.7315649467117537e-08,1.461899489220119e-09,2.0999714380100388e-08,9.702785798543817e-09,3.373625510135174e-08,2.152906953645034e-08,1.780121317726426e-08,9.617259835849236e-09,6.992677684829919e-10,4.9352681516283674e-08,4.465997971777836e-08,2.128445580511528e-08,4.9583643353657886e-08,5.744557646088632e-09,6.18279499821211e-09,1.9701739263983737e-08,3.2182340515700623e-08,3.085676829036464e-09,2.089025309027322e-08,3.2367461616038807e-09,1.3695319956489557e-09,3.777628097854779e-08,2.847862495611026e-09,2.089025309027322e-08,7.149581761380001e-08,3.469524472145617e-08,1.0483158627750917e-08,2.0890253090273226e-08,3.258534943456614e-08,2.579863995607049e-08,4.082516167527775e-08,1.656170167060548e-08,7.997320110594534e-10,1.8599662626459016e-08,3.5449116653699154e-10,7.173365007471577e-08,8.596659237086115e-09,8.549496254896624e-09,9.373991270903326e-10,3.102244650055571e-10,8.449576007556175e-08,2.8312666939781523e-08,9.034741933104221e-08,7.120407955020595e-08,3.051540839794419e-10,7.939175183072199e-09,0.0,1.579095420104343e-06,1.7586618195458422e-08,7.949546329131547e-08,3.76065694608938e-09,9.691189565686112e-10,4.4429257857519645e-08,1.0287583920931666e-09,1.089912071069621e-08,5.214181140395038e-08,1.4247676081073865e-08,9.36442496939757e-09,7.655811714903538e-10,3.6866222318097343e-09,1.2411723360987193e-09,4.996568395852714e-08,1.8301763000343216e-09,4.1196470758544366e-08,2.3222944856495967e-08,3.1855048926993723e-09,1.6422211627135797e-08,1.9726376488957655e-08,2.0237919604806098e-08,2.8035921443545324e-08,1.9323473529939343e-08,7.0636298435568916e-09,1.8838339357771386e-08,1.874783142813007e-08,4.2478605053283834e-08,1.1721939927231192e-08,1.0903266416188541e-10,1.8033436283291453e-08,3.468249940142332e-08,2.562998906506796e-09,5.9563866363742384e-08,7.672782871880653e-10,0.0,2.471278222448845e-08,7.262049861095319e-10,1.942835173876746e-10,0.0,2.4025689388646483e-08,1.2604316174525378e-08,1.0457986270664062e-09,2.3855410861381794e-08,1.6156840652806015e-08,5.53721657264336e-09,1.9323473529939343e-08,6.414282286182111e-08,5.11207209547862e-08,4.3345639606142254e-08,4.741019618685947e-08
