,ABW,AFG,AGO,AIA,ALB,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.145026892796965e-07,2.8449178461643023e-07,2.9245366179845507e-07,2.0591299219767186e-07,2.7828180350787233e-07,2.917219846204558e-07,2.409799542386144e-07,2.4413663324345175e-07,2.8067350350550734e-07,2.814519131588612e-07,2.904817362203109e-07,2.1573764199159883e-07,2.7832205114211974e-07,3.209221775692935e-07,2.550816457293543e-07,3.27919815546752e-07,2.915227948474335e-07,3.0063207382241226e-07,2.8646484163317145e-07,2.8626912780441373e-07,2.921353010538012e-07,3.2447020745491276e-07,2.8850899807622656e-07,2.2575223054296629e-07,2.999983523422339e-07,2.9754965391319943e-07,2.8543621971518014e-07,3.467661948176166e-07,2.005672985520452e-07,2.825279594740907e-07,1.1842418049673262e-07,2.2735899303018814e-07,2.883519464821328e-07,2.9183060815829454e-07,0.0,2.951965733231355e-07,2.862272557539584e-07,2.589795987243112e-07,2.783220511421198e-07,2.923100637537011e-07,2.9496303796363417e-07,2.9126541366633697e-07,2.959834045381e-07,2.9027124261541864e-07,7.590819842723634e-06,3.0929742606135285e-07,2.861247429596537e-07,2.5325817972119465e-07,2.9046462594837093e-07,2.9349343340625593e-07,1.7051864601832108e-05,1.7516320570337236e-06,2.401035701627245e-07,2.783497005424348e-07,2.027145511088128e-07,2.5991103904231016e-07,2.994862487120903e-07,2.9530745839676183e-07,2.8957001124285923e-07,2.5741658384564236e-07,3.327713506880997e-07,2.3838895749677363e-07,3.075152613863011e-07,1.1598541421030143e-07,2.7443506561455613e-07,2.9114841327779575e-07,2.953074583967618e-07,2.782556409288013e-07,2.8897181803706013e-07,2.9671063825468343e-07,3.060616612597824e-07,2.8484047858811667e-07,3.0480952253688373e-07,2.9780138712340416e-07,2.819350772980113e-07,3.4337530520588354e-07,3.02054691785381e-07,2.85984934697429e-07,2.5490534599106926e-07,3.0480952253688373e-07,2.440238671936432e-07,2.8960963010523166e-07,2.897643904751631e-07,4.267763063173768e-07,2.892446006194964e-07,4.778724021612505e-07,2.6402924592541e-07,2.325165290748711e-07,2.2602451224069338e-07,3.293291528831329e-07,2.903241305658749e-06,2.9109057041208063e-07,2.343993004549101e-07,2.900293066537857e-07,0.0,5.068364106336235e-07,2.9794461287313843e-07,2.602818091001284e-07,2.7965258965667824e-07,2.8904951407081846e-07,2.9185624673463417e-07,2.8332726093508647e-07,2.8493739481647547e-07,2.8691555154635095e-07,2.7393656845386394e-07,2.9697335530752536e-07,2.654396030103319e-07,2.6104796401770754e-07,2.57570823802349e-07,2.810016168870891e-07,2.8053368322221846e-07,2.75536703674627e-07,3.20556909522556e-07,2.7344745172502343e-07,2.923770406701626e-07,2.8429517185807665e-07,2.0194837832064525e-07,2.9314577479296823e-07,3.0574287817870505e-07,2.9052224312963243e-07,2.845453557656619e-07,2.8314258892410024e-07,2.813920840802317e-07,2.4338790554907575e-07,0.0,2.928992279498541e-07,3.0313054734514826e-07,2.952038517001821e-07,5.24237577358041e-06,2.969913713149635e-07,2.8295425457065033e-07,2.0762042290384903e-07,2.8174840534112254e-07,2.918961442038731e-07,2.8429926847935925e-07,2.9223435817424817e-07,2.101494926482364e-07,3.505718654580313e-07,5.476955101488003e-06,2.8669859742114376e-07,2.922768588785348e-07,2.996810435627648e-07,2.86832998672145e-07,2.92822870820455e-07,3.4809686709064816e-07,0.011029331571654092,1.9681782583305583e-07,2.833268110433592e-07,9.912838438061413e-07,2.884612170097553e-07,2.975717482278595e-07,2.888571920790946e-07,3.388981613167347e-07,2.762146288656359e-07,2.9783151708438673e-07,1.181119369874651e-06,2.7634546228249625e-07,2.8558646986576954e-07,2.896498279173601e-07,2.9098925204857557e-07,2.7762827122313935e-07,2.762146288656359e-07,3.005844092305191e-07,2.9058919739738975e-07,8.385974495804348e-07,2.7344600741346333e-07,5.440677778393407e-07,2.8787079251481875e-07,2.974950704206779e-07,2.884198901451979e-07,2.8484754130225046e-07,2.9166754425885406e-07,2.942606949031013e-07,2.3966622664271446e-07,2.5490534599106926e-07,2.868283187535845e-07,2.9421994402250747e-07,3.208542046343997e-07,2.8965293164021195e-07,3.7446389647370555e-05,2.8413204813676645e-07,2.7555867793397424e-07,1.0405746534697752e-06,2.8332726093508647e-07,0.0,3.044028997546618e-07,2.1895470986287802e-07,2.8479649409877394e-07,0.00053012473876179,3.0741906840857427e-07,2.85042590732755e-07,2.884919790040534e-07,2.9873370535712505e-07,2.983013968662518e-07,3.040530978269258e-07,3.323095904717652e-07,2.974847504391654e-07,3.8996125479732527e-07,5.57630823399733e-07,3.6559164371594196e-05,1.9838986935436787e-07,0.0009926380872223436,2.481374164941582e-07,1.942275724072784e-07,2.424369945410554e-07,2.8917910686872635e-07,2.9175139399902107e-07,2.7057757802366116e-07,2.8080761999866294e-07,2.007855542952197e-07,2.894777146805459e-07,2.907847633113606e-07,2.4421686629852084e-07,2.774312740596753e-07,1.7385126511909055e-07,3.1510094493899075e-07,3.313289087781337e-07,3.271365262799206e-07,3.000480081480372e-07,1.9347461312422736e-07,2.8558646986576954e-07,2.1252191721339234e-07,1.932707215511265e-07,1.5576588502448711e-07,2.8558646986576964e-07,2.5040103694661974e-07,3.402930902912424e-07,1.9753584239259512e-07,2.9113969104509687e-07,2.861766076267022e-07,2.90616326296508e-07,2.8080761999866294e-07,2.9021286265408065e-07,3.0390576767936497e-07,1.7949037183485684e-06,1.303462386788607e-05
Agricultural and forestry machinery,2.4407383765104e-05,1.606864267628475e-05,1.5498992733266593e-05,2.6281954723726472e-05,9.598654652459592e-06,1.4590328053247527e-05,1.8686637223366376e-05,1.3223724453416707e-05,1.4391281120392137e-05,1.0520137204898541e-05,8.980853051605183e-06,2.3923786768540648e-05,1.0517897406058015e-05,5.853888896659512e-06,1.2373475485624037e-05,1.6879482174031936e-05,1.1584639518792533e-05,2.4501178100207598e-05,1.1894630570017793e-05,1.6707565100014865e-05,1.886123774543763e-05,8.321116149885873e-06,1.3826803392189659e-05,2.5576096298782117e-05,1.1131725986093755e-05,9.477714545576587e-06,1.2815036043512474e-05,2.2421656775249326e-05,2.612141611986793e-05,1.8114290375452683e-05,1.991862818158329e-05,2.2614738181001352e-05,1.730638876409047e-05,1.683092927302657e-05,0.0,1.740191346580964e-05,1.0469743875104083e-05,1.6804277848264125e-05,1.0517897406058018e-05,1.0601951847041301e-05,1.4560621356367642e-05,2.028365953334234e-05,1.5222271579501312e-05,1.6933070980744633e-05,1.7592250384534246e-05,1.4618457739118119e-05,1.8502491626330856e-05,1.2734307268381571e-05,1.766828860430785e-05,9.556448694937035e-06,2.2565381103679547e-05,9.47382199425484e-06,2.0051845713763382e-05,1.0517897406058018e-05,2.4475663935744028e-05,7.146628769209305e-06,8.697340089535406e-06,7.092838453969873e-06,1.5657039839219278e-05,2.384114787517055e-05,1.2186940900690324e-05,1.8417604497384457e-05,1.0491388176239702e-05,1.8020835250368744e-05,1.3840648070790349e-05,6.545548611781652e-06,0.0,6.459390896462308e-06,1.1169165614825913e-05,1.244087841862057e-05,9.267386077945909e-06,1.6488068489313435e-05,2.1139719444482916e-05,8.980853051605183e-06,1.5962006045778343e-05,1.1450593795846939e-05,2.1796770318563568e-05,1.5742975261428344e-05,1.2259273420978706e-05,2.2472262157065632e-05,1.3572988786937336e-05,1.7874661651736752e-05,7.805836702579148e-06,1.7948510467299414e-05,1.7054842824120292e-05,9.166550909356877e-06,1.201975267772015e-05,7.1872570573078255e-06,2.141536120129871e-05,1.145807441633164e-05,1.806403794874142e-05,1.6745008900922032e-05,1.895444504234732e-05,1.992896945238386e-05,0.0,1.8154881591506932e-05,7.199736659730202e-06,2.2033614974701426e-05,1.0205582300211023e-05,1.7431993668127472e-05,1.7549165363758e-05,2.6281954723726472e-05,0.0004048410051057933,1.81597861589526e-05,1.3363529355605103e-05,2.946481640848214e-05,1.3859198996767228e-05,2.5937496138893267e-06,2.3258324690298092e-05,1.3221452688317085e-05,1.3813315927572107e-05,1.121300231998333e-05,1.777830412113858e-05,1.6774211855401636e-05,1.704454183770273e-05,1.705880773279593e-05,2.5589521516622983e-05,1.6877043358583323e-05,9.516338187021064e-06,1.692283306449617e-05,1.2514110158368132e-05,1.8079041053600038e-05,1.1552124411571357e-05,2.2520969246724084e-05,0.0,1.7412438651065065e-05,1.545585785445144e-05,1.3403279546432184e-05,8.79604676253705e-06,1.148389660450128e-05,2.2156309194628216e-05,8.698371023826542e-06,1.0935729951631782e-05,1.744581562491571e-05,1.7347168091005665e-05,1.3721498672755114e-05,2.338078692431023e-05,1.2256251222750537e-05,1.711272198831372e-05,1.0082283058170494e-05,1.8093618810079215e-05,1.1697855446549985e-05,1.7501586308267765e-05,1.4606691502256484e-05,1.6595194112200478e-05,1.3379384746890106e-05,2.6281954723726472e-05,2.4390103114792043e-05,1.7377651082847145e-05,1.576002669609455e-05,1.6641889057293475e-05,1.0094823196581483e-05,1.3586164959582267e-05,1.1771457937000387e-05,0.0001566334753083907,1.879812171823941e-05,1.965573684025969e-05,1.1930315357135068e-05,1.3436641263333258e-05,1.7562454928677312e-05,1.0668888979210129e-05,1.8242641528551096e-05,1.2040527756111734e-05,1.5863707929607155e-05,2.016315377460764e-05,1.986491618430532e-05,1.4816253073616691e-05,1.711791575620687e-05,2.151776087432738e-05,1.5894859972808982e-05,8.850686943761682e-06,2.0283659533342344e-05,8.499254470490406e-06,1.9460618383348136e-05,1.2259273420978701e-05,1.482482984707345e-05,1.3993303635002766e-05,8.742346549372148e-06,1.2660291417718159e-05,1.734781486452149e-05,1.3683121698426606e-05,1.560676274321399e-05,1.6040749152169795e-05,1.9595508035216283e-05,0.0,2.179783512416668e-05,1.4829064797633056e-05,1.846175619716861e-05,1.9170809766478587e-05,7.0351655472992394e-06,1.2776816943404886e-05,9.546708747103895e-06,9.710750317701593e-06,2.4120929013302264e-05,7.444607229678199e-06,1.652260459686671e-05,1.04357012510866e-05,8.600031800481882e-06,1.2837372742921616e-05,1.6597182808663302e-05,2.5905715814088925e-05,1.7164930020964907e-05,1.430897180744043e-05,2.042762356980118e-05,1.7430310292073242e-05,1.7681575047705257e-05,1.6872317756021152e-05,1.5177094679474922e-05,1.1584639518792528e-05,1.2457599819515056e-05,1.5593405684801363e-05,1.82903061580751e-05,2.0628603638473015e-05,9.255909165399832e-06,1.2982771797578359e-05,1.6334660612710466e-05,1.4538230081786762e-05,1.5017567921153361e-05,1.677290439993608e-05,1.0412387821736862e-05,1.6810250686709076e-05,1.8519652347815076e-05,2.6281954723726472e-05,8.77677429991385e-06,0.0,2.5188848820239818e-05,1.7834202945884113e-05,2.4182897793867542e-05,1.701844560776872e-05,1.4835701871711534e-05,9.844225942954277e-06,1.8383358867066994e-05,1.4609921925273312e-05,1.7594173454717916e-05,1.790341392971413e-05,1.6840060677884783e-05
Aircraft and spacecraft,2.032115433860808e-06,2.1445449924097447e-06,1.9373750107553095e-06,2.003902238818705e-06,1.3262891051257049e-06,2.176187334744312e-06,1.9910186142989934e-06,1.8058871820877224e-06,2.588095936176329e-06,2.099705189901252e-06,1.4437523918517673e-06,0.00011321581695201459,1.3627010197300828e-06,6.267137121853652e-06,2.22372055629244e-06,3.3686037925184464e-06,2.5526276054160008e-06,2.206153777460245e-06,2.3589973947497807e-06,2.14102956805733e-06,1.9742576246971245e-06,2.0506858125505683e-06,2.232075632896864e-06,3.7310820151310473e-06,1.982167208294415e-06,1.6116878986261883e-06,2.160381019903251e-06,1.978070141204835e-06,2.0426915191850007e-06,2.09965801498905e-06,2.2738035860089165e-06,2.1182358218511043e-06,2.288047307447714e-06,1.6381130151017788e-06,0.0,2.1140105018381203e-06,2.160447754916444e-06,1.9479031316199507e-06,1.7684060722892074e-06,2.202928730491768e-06,1.7714014437543001e-06,1.931772999333753e-06,1.7126818317124836e-06,1.8448173758538966e-06,1.9211637533346873e-06,5.8546373384210494e-06,3.5610387242987915e-06,1.884802696619449e-06,5.52256213251932e-06,1.5770373249582363e-06,7.1348699060447555e-06,1.4547275655431459e-06,2.2703628716013485e-06,1.3627010197300832e-06,1.7805098144380888e-06,2.090948100637913e-06,1.4371072400170357e-06,2.2359465085475735e-06,2.004176964858397e-06,2.6620186936050988e-06,2.315596028181767e-06,2.001250142537425e-06,2.15522145835719e-06,2.0715449847509295e-06,2.229270252131167e-06,2.1796759218406415e-06,0.0,9.549742504110267e-07,2.207135594882189e-06,2.2952856738073553e-06,2.2814186176691276e-06,1.6676159629080325e-06,2.6769312568457264e-06,1.6116878986261883e-06,2.010078146167492e-06,2.2376505123681644e-06,1.778461500584427e-06,1.8146262195363797e-06,2.130091226927964e-06,2.6861460003427993e-06,3.5182789545838254e-06,2.1952689337153056e-06,2.425493533622882e-06,1.9415200637438906e-06,2.685259458410938e-06,1.7499125603574134e-06,2.165932008426941e-06,1.995336687041532e-06,1.9480173261957665e-06,2.3565907519262013e-06,1.8893939296852115e-06,2.142019581047992e-06,2.003539360993978e-06,2.1309107146464317e-06,0.0,2.02728471660021e-06,2.0656160129416273e-06,2.021035782386978e-06,4.381855765879372e-06,2.0422588189831196e-06,6.573982188028118e-06,1.92394118415024e-06,1.8111596846767395e-06,6.702513820470012e-06,2.072317001302279e-06,1.966111426233415e-06,2.0368832227105555e-06,8.672754079048914e-07,2.002692463943818e-06,2.010078146167492e-06,2.0249902904734887e-06,2.0167477039331097e-06,1.971563491252752e-06,7.357443675147672e-06,2.0252557643651618e-06,1.461369945716384e-06,2.041853162795099e-06,2.0357853318197715e-06,1.5907274082287243e-05,1.942010740711349e-06,2.1027824872887943e-06,2.365447873951554e-06,2.086246084680826e-06,2.061784522935296e-06,0.0,2.1733659212885585e-06,2.054265941936975e-06,2.3880554603015673e-06,2.157259890280775e-06,1.972707367077787e-06,2.2973304780246718e-06,1.2710149652712447e-06,2.0849060373408443e-06,1.6262737842015557e-06,1.8873208469462672e-06,2.1710077980220133e-06,2.180122066871724e-06,2.387792749814613e-06,1.967201360851351e-06,2.1101646815582945e-06,1.6896561762094454e-06,2.1979035567153773e-06,2.015798799117152e-06,0.0,1.6664413155034108e-06,1.6888723503145604e-06,2.5644446112021233e-06,2.0415905912979383e-06,1.338493844396804e-06,1.918865536606375e-06,2.116746802674874e-06,1.6326579256519843e-06,1.654237944865597e-06,0.0,2.175974179884493e-06,1.9283601252699546e-06,2.0007150651176784e-06,2.130998998809094e-06,2.4191680185281237e-06,1.7919238841494915e-06,1.3627010197300824e-06,2.1279971893516793e-06,2.149383899720696e-06,4.326885271683047e-05,1.8255380354367183e-06,1.6116878986261887e-06,1.9684226692790775e-06,2.5473632092153677e-06,1.9927875930880546e-06,1.828043260375407e-06,2.1361566193085735e-06,1.9094709188054943e-06,1.7499125603574134e-06,2.0185949926002606e-06,2.1300912269279643e-06,1.9930319574617914e-06,2.1872181028158365e-06,1.8621429438515057e-06,1.9094709188054943e-06,2.489340827448371e-06,2.3249949973447375e-06,2.1018070589157963e-06,1.9956844195538665e-06,1.92394118415024e-06,0.0,2.0395209435645555e-06,1.4882293070163021e-06,2.0762517199803257e-06,2.1751311576183425e-06,1.92821150609154e-06,1.4771547874617986e-06,1.8908264791686004e-06,2.9564777917141843e-06,2.0273099102672916e-06,2.3831367552482888e-06,2.3304386847782758e-06,2.0121588478445608e-06,2.084326070196389e-06,7.476210958339858e-05,1.8620537138836248e-06,1.7171633623746005e-06,2.6991516855433173e-06,2.0786196842742427e-06,2.048346005267509e-06,1.9938751832512308e-06,1.8913220334318875e-06,2.7875961177745235e-06,1.954584899630276e-06,1.8897055445759181e-06,1.959973223632163e-06,1.8644725977503703e-06,1.661359189190073e-06,2.0106670697026405e-06,1.6676790670354989e-06,1.6561762218925647e-06,2.024990290473489e-06,2.320291828970343e-06,1.968617926915438e-06,2.0087777561370545e-06,5.282864727657203e-07,2.084031595313993e-06,1.4065290068968853e-06,2.0007150651176784e-06,2.0523974401836986e-06,2.686146000342799e-06,2.116873749840383e-06,2.0317668272749014e-06,1.9414485999201776e-06,1.9835277164972455e-06,1.4395068190418055e-06,1.5109451079477204e-06,2.1857863758407426e-06,2.143422477999397e-06,2.0792121200680416e-06,1.8909951163028239e-06,2.064664318763289e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,4.1988402172785276e-07,8.641232774146638e-07,4.846675419705535e-07,1.6898246821933442e-07,5.392393455322832e-07,9.450514829140749e-07,5.441181354925571e-07,5.048607732338936e-08,1.2642384634881002e-06,6.435853820955708e-08,4.33145404647929e-08,1.197129208920956e-06,7.095117705787079e-08,5.024748239862664e-07,1.9088473699011235e-07,1.3478470220144916e-06,3.584688903456558e-08,1.0183776479527193e-06,6.356790832580646e-08,6.913643250947938e-07,1.521614215466055e-06,6.257985868529194e-08,8.237431373910929e-07,2.068015263069205e-07,1.1436855502513743e-07,1.626803578299001e-08,1.2609168499308192e-06,0.00010605510034122154,1.5823217264108525e-07,9.584536325396825e-07,1.1813538879089285e-06,2.8713149108544856e-06,1.5448883016705446e-06,1.0798186891325e-06,1.5093112336216407e-06,2.3482132702080278e-06,7.061057056521438e-07,6.435853820955708e-08,7.095117705787079e-08,1.8054665526006008e-07,7.087680582794691e-07,1.5779430286973518e-06,2.9889024707591786e-07,5.284505720021518e-07,1.7521801790207738e-06,6.109299047984173e-07,7.36908859580025e-07,2.169780313955664e-08,1.1108439281667782e-06,1.321717795602313e-07,7.87301684863366e-06,4.058268114731912e-06,2.299888539099095e-07,5.824497336984579e-07,2.3750508323602125e-07,2.0099811057374254e-08,1.4018981384695852e-06,6.296645257777517e-08,1.365859495690891e-06,2.458561342968341e-06,4.33145404647929e-08,1.5093112336216407e-06,2.088313117917101e-07,3.105038195638275e-07,4.6450198313976775e-07,4.043661236318574e-07,0.0,8.998437335709883e-08,5.145068662662102e-08,9.354921396718717e-07,1.2526373097961594e-08,9.468868709361583e-07,4.5175380506675164e-07,1.5980110506769228e-08,7.97896262207169e-07,4.3358679297358114e-08,1.2376091329100686e-06,3.7702818793888866e-07,3.972524354509363e-07,4.5175380506675164e-07,1.6593647858745788e-08,7.854832988331772e-07,1.4153063261207394e-07,1.3088106733073196e-06,7.64652223723449e-07,4.871609935529966e-08,7.774956553614238e-07,1.4357405180433937e-08,7.981467510741097e-07,4.371497979032579e-08,4.947171750411111e-05,1.3271165998210523e-06,4.1814575587086745e-06,1.4817756961482992e-06,0.0,7.22027575172452e-05,2.3031735804054338e-07,8.471378723932074e-07,1.4417862559373727e-06,1.5711034442956732e-06,1.0797859944939035e-06,0.0,5.631591489662841e-08,1.1937880966591735e-06,3.136992531894433e-07,1.1832347140365717e-07,4.6814570136603464e-07,7.863560506884844e-08,8.058346451604211e-06,8.080556740194459e-07,1.1949894238122303e-06,5.664498567141051e-08,1.3359208059584387e-06,5.980539454632695e-08,1.4337889328420558e-06,9.344432632924836e-07,3.172209111536283e-07,1.3067873271329897e-06,6.985250660121581e-07,1.3570575686821981e-06,4.3664883577816064e-07,4.3845000934699233e-07,3.15316103166593e-07,1.2517563658399507e-06,0.0,1.1679481930782304e-06,2.3815203688375307e-06,1.5979801538146395e-07,2.603695035083793e-08,8.530927902396556e-08,1.504582487421115e-06,1.6224238133093602e-08,1.6232222736143967e-07,5.765553440329006e-07,1.321223509324673e-06,4.765767869554542e-09,9.03232831633564e-07,5.781848661473141e-07,2.4154145853366413e-07,8.411850529103958e-09,1.3965949349229001e-06,3.0480896078358523e-07,1.5829031329643718e-06,1.3266085187721293e-06,1.0474427403206307e-06,7.476813455638474e-07,1.6789550971211873e-07,1.1253915650920827e-06,2.146803220095691e-06,1.4923776539410433e-06,2.332393878881254e-06,3.734288638434748e-07,2.568374822930966e-07,6.541100110143491e-07,1.1483455072841227e-06,8.380584220907798e-05,6.916296004587953e-07,4.452332944254565e-08,1.459408707543667e-08,1.1696953469742874e-06,1.553394017786897e-07,6.916296004587953e-07,9.442137178446988e-07,1.2785518812825647e-06,3.978414192403811e-06,6.916296004587953e-07,9.286242170828398e-07,1.3729495834908814e-06,1.4227389663794308e-06,1.2019029732670292e-06,5.2863862733535064e-08,1.5786138032164197e-06,1.3699112500046355e-08,9.375939307939394e-07,3.9725243545093644e-07,5.651625123045344e-07,1.1785596607916454e-08,2.69383751330991e-07,1.7600625626847916e-06,8.775766755057737e-07,8.814209128032883e-07,9.977988940218308e-07,1.3011989334202584e-08,5.201727387736148e-07,0.0,8.705645551120587e-07,1.3811577854590714e-06,1.1170438852544266e-06,0.0002446930032299768,6.182376669644663e-08,1.1935261545061825e-06,2.0824914335990993e-08,6.867729966465446e-07,9.112609232628188e-07,1.9837924979316886e-07,7.581301708751923e-07,0.00015471807395641668,4.784059051600437e-07,1.821043501328549e-08,2.339219778355821e-06,1.979039291228349e-07,1.0431433094753114e-06,5.496735700957242e-07,9.775235522176234e-07,4.128647623565636e-07,8.896748579904037e-07,1.3328644134188563e-06,6.174348770505508e-07,1.1554216713464644e-06,2.0742121796254747e-07,1.4648358522972495e-06,1.1487233442748009e-06,1.2671842987623762e-06,1.8716850011289751e-07,4.159009116461705e-08,9.473318779268832e-07,1.3148377467551085e-06,8.192546763143307e-08,8.606501574638345e-07,1.3394527924948837e-07,0.0,7.377798415908097e-07,1.6086850056792712e-07,2.102719759367829e-08,0.0,4.053224085808308e-06,1.2436481601811414e-06,1.786123723511239e-07,1.4063277610177563e-06,1.1825984833202829e-06,2.834571817680119e-07,1.1554216713464644e-06,1.094794277671249e-06,2.3872867753980906e-06,1.967441191373855e-06,2.262193275617871e-06
