,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.171974627995513e-07,1.41418099663926e-07,1.4955568628525125e-07,1.157371320681568e-07,1.3684419312464316e-07,1.8205608604103617e-07,1.456284995057309e-07,1.1873072150852642e-07,1.208951857085149e-07,1.4171183556956026e-07,1.6050933192145306e-07,1.9663086674581526e-07,1.1812458776437864e-07,1.3871275253475147e-07,1.4527281122594896e-07,1.3089950550134042e-07,1.4591217040008913e-07,1.55359638044693e-07,6.978238845016614e-06,1.4714622882903336e-07,1.4419483952373e-07,1.1134314960478024e-07,1.4372094181970114e-07,1.2890081607692387e-07,1.404016555299341e-07,3.380550533836586e-07,1.4370319643276191e-07,1.2782181241241507e-07,1.160038045399705e-07,1.257125108943646e-07,5.785459706454271e-08,1.1792105349838463e-07,1.465570694163111e-07,1.4423185253299004e-07,0.0,1.5052561722435065e-07,1.6786943482749332e-07,1.289733113526421e-07,1.3871275253475147e-07,1.5085766436128392e-07,1.3650153491690535e-07,1.439680077948494e-07,0.0005887043022291802,1.620111424551489e-07,1.416634546049827e-07,1.8958513091523213e-07,1.4245693088742813e-07,8.01679313331246e-08,1.6522241636198818e-07,1.5729840618587418e-07,1.3095172913560404e-07,1.423138972000154e-07,1.1496870794626616e-07,1.3872735010236673e-07,1.194299754159443e-07,1.3005624708409405e-07,1.5332258231215387e-07,1.4500479732348445e-07,1.454495605142668e-07,1.3295008033590074e-07,1.5120835404093546e-07,1.1762432762226982e-07,1.8426600730253882e-07,3.8180280324355496e-08,1.4844914512406084e-07,1.4674014278116487e-07,1.4500479732348445e-07,1.7220744854682677e-07,1.4583615571278594e-07,1.4772235967928708e-07,1.524264037894021e-07,1.421541720340867e-07,1.4800871565464668e-07,3.411797089111886e-07,1.482826541886487e-07,1.4972694763445885e-07,1.4227363929110403e-07,2.1896255482948603e-06,1.2978174973223286e-07,1.4800871565464668e-07,1.2232788045755825e-07,4.70585288071463e-07,1.5687395055730626e-07,6.511658072735865e-05,1.4771702855373468e-07,6.101301032784835e-07,1.465838368606956e-07,1.1375416476392111e-07,1.2489202978721088e-07,1.5072265437792562e-07,1.3158451093124387e-07,1.442514794085273e-07,1.1147651437787422e-07,1.4368258572426307e-07,0.0,1.3087854407421896e-07,1.4240791425519998e-07,1.2380723740932468e-07,1.377598313402804e-07,1.440209150360388e-07,1.442546589690506e-07,1.4380324883688066e-07,1.365618750570163e-07,1.424670355121599e-07,1.3497861626719862e-07,1.4543381075801153e-07,1.3444307093755393e-07,1.2950338107009957e-07,1.260311876927078e-07,1.4905004531962577e-07,1.409888502506237e-07,1.3376911158298815e-07,1.3995354126491401e-07,1.3392059880429838e-07,1.440939743168181e-07,1.4135805483078487e-07,1.1550098576654996e-07,1.445180239044023e-07,1.402084611851606e-07,1.4371994427673421e-07,1.416133647808977e-07,2.8525570651814767e-07,1.4048931917629543e-07,1.2685975515804809e-07,0.0,1.454524204708655e-07,1.4377577445866162e-07,1.4911302096830688e-07,2.0937693456333565e-07,1.4696512546307246e-07,1.4081164665150083e-07,1.2058198983612208e-07,1.4034225946914485e-07,1.597737586241683e-07,1.420750757472478e-07,1.3083174391324137e-07,1.1721493589488986e-07,1.4198877901234112e-07,8.909538016960233e-05,1.6280999735634258e-07,1.438709908696677e-07,1.4111514344447815e-07,1.427667657342142e-07,1.4443146235616622e-07,1.463525284385541e-07,1.7073486233373612e-07,1.1392497027711112e-07,1.4270648851483354e-07,1.4375701944645817e-07,1.4284574965065728e-07,1.429534108797519e-07,2.2706889374573126e-07,2.326005451309571e-05,1.397458399807998e-07,2.2547023567480942e-07,1.3260096724502942e-07,1.3968170363660807e-07,1.4595422937439533e-07,1.471787553436968e-07,1.4481325272996884e-07,1.3811395498531632e-07,1.397458399807998e-07,1.4501319247709256e-07,1.4379372600899227e-07,1.3552916887688874e-07,1.3830896053577186e-07,1.2852535845190944e-07,1.4310842159338332e-07,1.4053378174360348e-07,1.4329503210617457e-07,1.4283635140235865e-07,1.4550565945758193e-07,1.6458152868480633e-07,1.0421439597486879e-07,1.297817497322329e-07,1.7852055355904112e-07,1.4578572555594718e-07,1.46697411761226e-07,1.4520717959787625e-07,1.4426850282178374e-07,1.4513971832955794e-07,1.3829438761508106e-07,2.0608005441687557e-06,1.4380324883688066e-07,0.0,1.4614073725924392e-07,1.2102586260265506e-07,1.5042372526533077e-07,1.2724901520591276e-07,1.5143492948459159e-07,1.421577693733402e-07,2.7270619176274545e-07,1.434976669760699e-07,1.4299330840013452e-07,3.1450501713073965e-07,1.2622897489579846e-07,1.4545042950929075e-07,1.4339360365618344e-07,1.4833247967200018e-07,1.439299705621831e-07,1.1546417245883249e-07,1.4444131628164118e-07,1.2231169967872688e-07,1.1302972972881811e-07,1.3912441675486816e-07,9.09323276867817e-05,1.4370657443510795e-07,1.3467923388304615e-07,1.4092427389655466e-07,1.045943524696863e-07,1.4377636309447241e-07,1.4384302253953868e-07,1.1623380530896973e-07,1.497770341051232e-07,8.930044829477339e-08,1.429800412204485e-07,1.4341472552145632e-07,1.2217205218386647e-07,1.420391745186647e-07,9.399863745337134e-08,1.4595422937439533e-07,1.0573608529512783e-07,1.128054527321242e-07,7.722978826632551e-08,1.4595422937439536e-07,3.2134019781860193e-07,1.0873595471878535e-07,1.1399269122413529e-07,1.438492154174869e-07,1.5982246313581173e-07,2.7268159747561276e-07,1.4092427389655466e-07,1.434680568390152e-07,1.438569695587672e-07,1.4320654085506644e-07,1.4391472444159878e-07
Agricultural and forestry machinery,9.679677584457155e-10,3.0816408223031716e-09,3.172542859532757e-07,6.332756537542345e-10,1.539308290404335e-09,1.765102946793717e-09,2.9257208468541548e-09,1.8486567705390612e-09,2.6487637375323502e-09,1.1187711364002762e-08,1.2552879751732225e-09,2.619764787779327e-09,9.846480705982511e-10,1.254881158818098e-09,2.971492891135898e-09,2.6522227270287632e-09,3.1293511130252153e-09,2.3606244314676477e-09,0.0001668077199871158,2.537440399230163e-09,2.728738349095973e-09,2.105030044571507e-09,2.147889106511961e-09,7.479996316821416e-10,2.380298645541717e-09,4.291095383982379e-09,3.1493948150085453e-09,1.1369026040047454e-09,6.717321650328642e-10,2.214855523406141e-09,2.0142562561426193e-09,1.1918748760043e-09,1.2951768962323101e-08,2.850707716518387e-09,0.0,2.5799885415618332e-09,2.6334292570274083e-09,2.2220556831891546e-09,1.254881158818098e-09,3.6926134911641895e-09,2.3111510574443705e-09,2.2631225251462363e-09,0.000649795830441757,6.63509324747935e-08,3.5378571862258777e-09,8.234580564100428e-08,3.483281621832753e-09,1.4909308266076245e-09,4.13184506080245e-09,1.7994684202333475e-08,2.8157742367210167e-09,1.6715155391281045e-09,1.6122968897621257e-09,1.2548811588180982e-09,1.5762426320589657e-09,1.6039486219974279e-09,3.4752312038799086e-09,1.9676273954080327e-09,2.2288256661828328e-09,1.6598121524625344e-09,5.9737077681402286e-09,1.6733461083547614e-09,2.574080707121804e-09,2.0781084081019283e-09,1.866521412480957e-08,1.2124353382105547e-09,0.0,1.5301529182032164e-09,3.13730095038182e-07,2.3084401147413623e-09,8.586038349573188e-09,2.5780904914020584e-09,4.680727458754599e-09,2.619764787779327e-09,3.1233118812352898e-09,5.103150596864638e-09,1.884950052285931e-09,1.863011563829471e-07,2.1466178749523713e-09,5.149630004774896e-09,2.6257407526641646e-09,0.00017022952299636262,1.8344127863576277e-09,1.0858614051060154e-06,3.3272528236165358e-06,1.6890414887987017e-08,1.8398186945294019e-09,1.5142582249529741e-09,3.1226001276062778e-09,5.4102918189340274e-09,1.949195241860457e-09,1.654278942061645e-08,5.317368586622281e-08,2.244263457745655e-09,0.0,1.7581973068027463e-09,2.3559542933200583e-09,1.4537179691676645e-09,2.4850568614626077e-09,3.96889931755442e-09,2.695177319538421e-09,6.332756537542345e-10,8.932271276581689e-08,2.2022416057170866e-09,3.1436188470579526e-09,8.972493864002102e-09,1.8539627324768054e-09,5.988666341342352e-10,1.3716877291858216e-07,4.746218392167503e-09,2.8232787275799207e-09,2.1164750024347935e-09,1.9995044674362355e-08,2.577051521504099e-09,2.8199861724825345e-09,1.0303398595223091e-08,8.532235373309449e-10,1.0756577791900146e-08,2.1146646901830235e-09,4.928875004018738e-09,1.9291753450448944e-09,8.275589291860827e-06,2.312502872377422e-09,1.0077215307264764e-09,0.0,2.877862076822865e-09,2.4199101934660456e-09,8.947505190650746e-09,2.37782166129355e-09,2.007912228860075e-08,2.8154859469746305e-09,1.8000358022533389e-09,2.535798025116621e-09,2.8629280092997517e-09,1.3171957437947374e-08,8.586394212082755e-10,1.4200960875239236e-09,2.2036728401195883e-09,0.0001996687089346435,2.123872610469527e-09,2.658123491769818e-09,2.6673307242952206e-09,2.5109897505576245e-09,2.9653341901379253e-09,2.7128659514459418e-08,5.695087318507053e-09,6.332756537542345e-10,4.773566245053131e-09,5.616118317689959e-09,4.204944306448854e-09,3.554587549720014e-09,2.8116591059048548e-09,2.7541313513679457e-05,1.6453893796033917e-09,3.641584986090468e-06,1.7861690611837585e-09,2.7078153601795163e-09,2.544332671400494e-09,4.504001904201929e-09,2.605604603933225e-09,1.3007260548149399e-09,3.661287557900183e-09,2.4808505623207766e-09,3.112994862325486e-09,1.6109567403719074e-09,2.0670402927199404e-09,1.852975702775537e-09,3.4807212439092255e-09,1.906595197283057e-09,2.365023797293637e-09,2.5810744541221733e-09,2.263122525146236e-09,1.9611404450494485e-08,1.9181476539895274e-09,2.1466178749523713e-09,2.7376783942100317e-09,2.0515682600432565e-09,2.2554851484807514e-09,2.9130370569973843e-09,3.15436920782157e-09,2.6019257085968945e-09,2.9887114440545386e-09,6.400454273256344e-07,1.1284206708588741e-07,0.0,4.788852738883454e-09,3.046059154652431e-09,4.84961401714763e-06,1.5757255179483356e-09,1.9841286280280797e-09,2.25315092963903e-09,2.590999129792795e-09,2.453992771481897e-09,7.553334269807285e-09,3.6181020904122893e-09,2.9292833429174474e-09,3.730959397707703e-09,4.824597037348656e-09,5.8289296324962366e-09,2.6068422526151315e-09,6.795694846509329e-10,3.1109391956484466e-09,2.4074730259122622e-09,1.2605103456688843e-09,3.821813129741051e-09,0.005157876772367985,2.7746215333741314e-09,2.620807300527977e-09,2.3606244314676473e-09,2.6254894880619475e-09,5.792202479959667e-09,2.760226829861443e-09,1.516899768383711e-09,1.7985898276201054e-09,2.302563828227917e-09,2.5918405825739943e-09,2.730392807499034e-09,4.9640306042991675e-09,3.5460004837718547e-09,1.7705207221120031e-09,2.228496456126681e-09,2.368935787001021e-09,6.332756537542345e-10,3.568263197922336e-09,0.0,1.279196641676164e-09,1.8683721049351002e-09,1.0368843399840715e-09,3.445867143467603e-09,2.2362126901750793e-09,2.2362942500493203e-09,3.2299855718703404e-09,2.5334415954269713e-09,2.540150522251491e-09,4.177983354774531e-09,2.9021254366088636e-09
Aircraft and spacecraft,0.00016744742619791627,0.00020228252959261832,0.00020949314598888596,0.000170547960979279,0.00010613226583395433,0.00020185638743601292,0.00018433662270213343,0.0002861631263654026,0.00022306624306487306,0.00018143093646201343,0.00019077455740706338,0.0006608755773542146,0.00018809389759101097,0.00011273116183638802,0.00017615454047751545,0.00017934549752385168,0.00019249841066477225,0.00023354024552242107,0.25400568707275534,0.00019956916530298495,0.0002205459638094561,0.00021552749837282952,0.00018570123928646467,0.00017071707199700439,0.00015209205472042957,0.00027928175113917135,0.0002992888128975166,0.0001701896396786252,0.00015679146765474345,0.0016971516805880371,0.002446605328113431,0.00016469926213876285,0.00018034353846036196,0.0002733196541674964,0.0,0.00023295421529328532,0.0001996525658384674,0.00016996099066999318,0.00013470425984724764,0.00022854928909999203,0.00023937587839672716,0.00020546279813162308,0.0002636905826360057,0.00023310939974582453,0.00026982990605824164,0.00024260561646780482,0.0001465753155899547,0.00024013478641217922,0.00018637748923363784,0.00018521765603515477,0.000160071867120858,0.00021162703441884395,0.00019101776075996382,0.00011273116183638802,0.00015171533961090525,0.0005668406838061766,0.0006759751174282599,0.00020425208036926868,0.0001679321763939317,0.0001866132422804575,0.00034621310226404137,0.00018002095927356342,0.00022123050339413838,0.00015584018494661686,0.00017843246085972992,0.0002027844938290867,0.0,0.00010472315787350209,0.00016875373626985596,0.00017505614435260703,0.00024005816398802547,0.00025636232527861085,0.00018575641117325,0.00027928175113917135,0.00016857677241452243,0.00020586568459711184,0.00015173021781247177,0.00021373901336307777,0.000210242150368375,0.00018440930852830158,0.0001902898265015958,0.002725750287729067,0.0001747327835612972,0.0002023843521841712,0.00018443230796906816,0.00026002424467933195,0.00018584799808815664,0.00014344158210212248,0.00016994903633888646,0.00018454603850264433,0.00022316824663343534,0.000293380421192888,0.00015848216873884792,0.00019994798196865585,0.0,0.00016700202848637949,0.0001248921100838584,0.00015335929208511726,0.0002071101756107278,0.00020112324546535355,0.00020333622760019846,0.00016125654924520767,0.00022826678971482283,0.00019966501037431563,0.00015674093551711808,0.00015763550150349882,0.00016233177149364765,5.5855890013404955e-05,0.00015377481440571406,0.00016857677241452243,0.00019722389647704365,0.000711237222043824,0.00017882866517549673,0.00017044890821154437,0.00020779213873121553,0.00012293885856160872,0.0001527159735562721,0.00015463782052521294,0.0002134556748074826,0.00020244744456230848,0.0002023682881255865,0.00016911893387041235,0.00031992213186243725,0.00016547828744021027,0.0,0.00019627670367775637,0.0001715076927916092,0.00023079801575103022,0.00018253537722526245,0.00017946113967762936,0.00021592194929980721,0.00012970260879956055,0.00029115050503428523,0.0002635842786308176,0.00020292802026434706,0.00017536311207586518,0.0002183895409152521,0.00021177198601141548,0.00033309064314526754,0.000207042170750096,0.00026417797365064117,0.0002976616004682531,0.0005677714359699449,0.0,0.00013723166077346378,0.0014361719741324847,0.00018202746316466908,0.00021696722646793006,0.00012800037792432632,0.00020182499329536506,0.00018349075750954448,0.00027186844388942563,0.0002666907909777072,0.0,0.00022058457407835992,0.00020592098161635402,0.00015069235411830804,0.0002101344648892477,0.00017203510596104865,0.00023267093173599964,0.0001127311618363879,0.00018598049133795565,0.0002258598197981458,0.00016456804463261027,0.00026664522488784384,0.00027928175113917135,0.0001794216524424397,0.0002080753835014642,0.00015128281465944348,0.00015777954662983431,0.00031512932794679807,0.00021982749134585123,0.00026002424467933195,0.0002582658805684066,0.000210242150368375,0.00015201530244265878,0.00020422810053189402,0.00019374973401420947,0.00021982749134585123,0.00016908651564608723,0.00017515607461881212,0.00019347781217821564,0.00016405156663365768,0.00016125654924520767,0.0,0.00019248340816795128,0.00012708500636386837,0.0002405476446243863,0.0002313232949657482,0.00016164772323730672,0.00014953456459836822,0.0001885195282932199,0.00019148034597802813,0.00020766877526208835,0.00024829167347033905,0.00032781020763804705,0.0001861475701856493,0.00020256497348699912,0.0001674991194306331,0.0002102453219739371,0.00015818840684687606,0.00019541435877588488,0.00019776403177167916,0.0001687303974341794,0.0001973697257554545,0.00027089488445290787,0.0001866242147057795,0.0002674177861818956,0.00022382303497458315,0.00021710540393849449,0.0001894030746111108,0.0001432658064302559,0.0001556261480424984,0.0002671721182656199,0.0001433728465045383,0.00019722389647704365,0.00016365933473212497,0.0001772154006151091,0.00018070243589292847,9.531718230747403e-05,0.00019982924171615133,0.00013609434848730646,0.00015069235411830804,0.00016619545590827094,0.00018440930852830158,0.00015413067629633853,0.0001590118499628885,0.00037079430542525163,0.000333337897990319,0.00012022142957220473,0.00013051044367677538,0.00022426281556099325,0.00019274834500687788,0.00017953453677107037,0.00016390277072551965,0.000179746252393698
Animal feed ingredients and pet foods,0.0,1.0000016621598924,1.000001662159893,0.0,1.0000016621598937,0.0,1.0000016621598937,1.0000016621598944,1.0000016621598937,0.0,0.0,0.0,1.0000016621598944,1.0000016621598937,1.0000016621598935,1.000001662159893,1.000001662159893,1.000001662159894,1.000001662159894,0.0,1.0000016621598928,1.0000016621598935,1.0000016621598942,1.0000016621598937,1.0000016621598933,0.0,1.0000016621598937,1.0000016621598935,0.0,1.0000016621598933,1.0000016621598933,1.000001662159894,1.0000016621598928,1.0000016621598933,0.0,1.0000016621598935,0.0,1.0000016621598937,0.0,1.0000016621598935,1.0000016621598942,1.000001662159891,1.0000016621598933,1.0000016621598942,1.0000016621598935,1.0000016621598944,1.0000016621598946,1.0000016621598937,1.0000016621598944,1.0000016621598942,1.0000016621598937,1.0000016621598937,0.0,0.0,0.0,1.0000016621598937,1.0000016621598937,1.0000016621598928,1.000001662159893,1.0000016621598937,1.0000016621598937,1.000001662159894,1.0000016621598937,1.0000016621598928,1.000001662159893,1.0000016621598944,0.0,1.0000016621598953,1.0000016621598933,1.000001662159892,1.0000016621598933,1.0000016621598928,0.0,1.0000016621598946,0.0,1.0000016621598933,1.000001662159894,1.0000016621598946,0.0,1.0000016621598937,1.0000016621598937,1.0000016621598715,0.0,1.0000016621598942,1.000001662159893,1.0000016621598933,1.0000016621598935,1.0000016621598935,1.0000016621598937,0.0,1.0000016621598933,0.0,1.0000016621598937,1.0000016621596861,0.0,1.0000016621598933,1.000001662159893,1.0000016621598937,1.0000016621598935,1.0000016621598924,1.0000016621598933,0.0,1.0000016621598937,1.0000016621598935,1.0000016621598937,1.000001662159894,1.0000016621598933,1.0000016621598928,1.0000016621598933,1.0000016621598937,1.0000016621598937,1.0000016621598942,1.0000016621598937,1.0000016621598944,1.0000016621598906,0.0,1.0000016621598935,1.000001662159893,1.0000016621598937,1.0000016621598928,1.0000016621598937,1.0000016621598937,1.0000016621598935,1.000001662159894,0.0,1.0000016621598926,1.0000016621598937,1.0000016621598933,1.0000016621598937,1.0000016621598928,1.000001662159892,1.0000016621598944,1.0000016621598937,1.0000016621598942,1.0000016621598933,1.000001662159894,0.0,1.0000016621598937,1.0000016621598937,1.0000016621598942,1.0000016621598922,1.000001662159894,1.0000016621598933,0.0,1.0000016621598937,1.0000016621598937,0.0,1.0000016621598928,1.0000016621598933,1.000001662159892,1.0000016621598942,1.000001662159894,1.0000016608489877,0.0,1.0000016621596488,1.0000016621598935,1.0000016621598935,1.0000016621598937,1.000001662159893,1.0000016621598928,0.0,1.0000016621598935,1.0000016621598933,1.0000016621598924,1.0000016621598933,0.0,1.0000016621598924,1.0000016621598926,0.0,1.0000016621598937,1.0000016621598944,1.000001662159891,1.000001662159894,1.0000016621598928,1.0000016621598944,1.0000016621598948,1.0000016621598937,1.000001662159893,1.0000016621598937,1.0000016621598937,1.0000016621598937,1.0000016621598937,1.0000016621598937,1.0000016621598928,0.0,0.0,0.0,1.0000016621598937,1.0000016621598937,0.0,1.0000016621598937,0.0,1.000001662159893,1.0000016621598935,1.0000016621598937,1.0000016621598942,1.0000016621598942,1.0000016621598946,1.0000016621598933,1.0000016621598937,0.0,1.0000016621598933,1.0000016621598937,0.0,1.0000016621598942,1.0000016621598937,1.000001662159893,1.0000016621598948,0.0,1.0000016621598937,1.0000016621598935,1.0000016621598935,1.000001662159894,1.0000016621598935,1.0000016621598937,0.0,1.0000016621598942,1.0000016621598928,1.0000016621598935,1.0000016621598937,0.0,1.000001662159893,1.000001662159894,1.0000016621598937,0.0,1.0000016621598935,1.000001662159893,0.0,1.0000016621598882,1.000001662159891,0.0,1.0000016621598935,1.0000016621598937,1.0000016621598937,1.0000016621598937,1.0000016621598937
Articles of concrete cement and plaster,1.40102453354474e-12,2.1015027713321498e-12,5.442558640940776e-07,1.4560605301560497e-12,1.0000099759408068e-12,2.971568163124929e-13,2.8942557596322644e-12,2.0558471966472782e-12,6.261643421100997e-14,2.257345337313524e-12,2.2693151017092994e-13,5.188894438438293e-14,1.4957618346921547e-12,1.0873191909137109e-13,3.973101625655801e-14,1.9098246188979952e-13,2.5311047320443665e-12,5.960930815864778e-13,4.707650905288826e-06,3.32789337854782e-13,2.913574033384368e-12,1.3310097264330023e-13,2.6683991760005102e-12,1.6259913887474304e-12,1.337155436415101e-13,3.0340540586710624e-11,1.1808050007566914e-12,7.884896915777726e-13,1.218300771097367e-12,3.968135379679549e-12,9.08253812930679e-12,1.0536684489905408e-12,2.6411226784748116e-12,9.415777343422541e-12,1.0480987641220717e-12,3.0167431138780143e-12,1.9718774830354725e-11,2.2693151017092994e-13,1.0873191909137109e-13,4.3792075345528044e-12,2.666673482630731e-12,2.66040485044017e-12,0.0006844426462736467,2.9489029837657893e-08,3.3391331549220495e-10,9.421009553341259e-10,1.5183265168406002e-12,7.29823622282858e-14,4.096673769989667e-12,8.155534846632978e-13,5.831289910661048e-13,9.660373197859575e-13,5.183008951392358e-13,1.04499647947353e-12,1.6312749633900258e-12,1.2387293178939987e-13,3.301301916222195e-14,5.0339771433102737e-14,2.7703952254363435e-12,1.1285861004000716e-12,5.188894438438293e-14,1.0480987641220717e-12,1.5674178999286367e-12,9.911565803791304e-14,1.5393567195526036e-12,1.9190823860811075e-12,0.0,1.6192360376194837e-13,1.1146867472243522e-13,1.981296415060319e-12,1.8647147966621655e-12,1.830854695732033e-12,1.983090099334128e-12,3.3339017018248056e-11,1.8567508457525166e-12,6.627635014381712e-14,2.3514708786464637e-12,9.420846594312924e-12,1.2288648515767917e-12,1.983090099334128e-12,2.3071015035798394e-14,2.481616887511208e-06,4.4149338940566874e-13,9.775768679055184e-12,5.4110919479383614e-11,1.2108135113257234e-10,1.423276943269531e-12,7.130336395629747e-14,1.4687262778651652e-12,5.2716388816113653e-14,4.913203353446238e-13,2.6492474441006153e-12,1.4495197192897134e-12,2.633052252514206e-12,0.0,7.561447413925017e-13,1.1380422027488165e-13,2.467972478347743e-12,2.944387574966289e-14,2.5779478020941562e-12,9.416690684269759e-12,0.0,1.9027682572116259e-13,2.226520364469111e-12,6.34947471235342e-13,2.034376856626454e-13,1.259274862964241e-12,3.780131281123645e-12,9.449083333988911e-13,2.2925739574110876e-12,3.7129899399256606e-12,5.986118783871121e-14,2.51128626935809e-12,5.79940655004487e-14,2.491630835328875e-12,1.807629021633267e-12,1.4147928394402677e-12,2.629382673809681e-12,2.760039262188936e-12,2.38937646906365e-12,2.2339691413041608e-12,0.00025014753749136325,1.2043091248178272e-12,1.4613477902475991e-12,0.0,2.8375083148609115e-12,3.802603694203217e-12,1.1852266839454307e-13,1.4481564620580217e-12,1.2617828504194799e-13,2.6145541674740785e-12,8.295791377367854e-14,7.485248617193769e-14,9.802341603971996e-12,2.1688664485056956e-11,3.9033504907028974e-14,2.197425081746574e-12,3.9705378318285515e-13,2.6321430614755522e-06,9.489911462175882e-14,2.460424234506619e-12,5.561214386054159e-13,2.4654349396208337e-12,2.630637606451357e-12,5.753274123209132e-12,2.8629476857595174e-12,1.3650229645985385e-12,8.631619454008812e-11,2.9075982043567377e-12,2.6026543567998315e-12,4.454933871439746e-11,1.8886656579960888e-11,2.129287860634457e-07,1.3731411885909343e-12,5.886969931473703e-09,5.339745431892611e-13,1.4544914381610478e-12,1.7017276548818158e-13,3.4666620151630295e-14,7.329413544046687e-12,2.746423676410181e-13,1.4544914381610478e-12,2.919648782907944e-12,3.5763250999669156e-12,1.060122740577372e-12,1.4544914381610476e-12,1.4817668232460997e-12,2.504663206906398e-12,2.9964398804524358e-12,2.094804143502557e-12,2.868690661508142e-14,2.656511386657018e-12,4.163945910618485e-13,5.561657674826007e-12,1.2288648515767927e-12,1.0627909563208315e-11,6.097435747453659e-14,4.2611813324144394e-14,1.6033047525251822e-12,1.909085004517363e-12,2.3765003248586656e-12,2.5539934105185386e-12,5.238683888149122e-09,9.270595445114472e-13,0.0,2.138765934760774e-12,2.3592890112192857e-12,5.176128256011317e-09,7.267247071776752e-13,1.2865594089849295e-12,2.7360152037794706e-12,2.8614697557911725e-11,3.828390455603603e-13,2.9160888353947337e-12,1.9241340764444944e-08,1.7017142793401277e-12,3.958139882017754e-14,2.0964869835521812e-13,4.190787862256748e-14,3.0054316827777683e-12,2.1025262869431925e-12,4.365474328448483e-12,1.4486159711925715e-12,1.2080030985248347e-12,2.37621719128088e-11,3.9971333271205264e-08,2.346820287338689e-12,5.986165649305349e-13,2.082763961108469e-12,6.743574393737918e-12,2.5451239889408915e-12,2.055516745954418e-12,1.4991463643087993e-12,4.877990003171798e-12,1.8162552285547235e-14,1.831439676345029e-12,2.777952155601745e-12,1.6323281192755917e-13,2.897787330140014e-12,2.9896437103852726e-14,0.0,2.7441451105250423e-12,1.4565862344331206e-12,1.53053441534895e-14,0.0,1.3280762344022373e-12,1.9372719048797244e-12,1.427187743837598e-12,2.587975558789189e-12,2.0994401925961425e-12,2.5907057598163583e-11,2.082763961108469e-12,2.5415701475189502e-12,3.0304943566547246e-12,4.001945858611345e-12,2.9775438904558904e-12
