,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,4.051854197347147e-07,5.57639683804119e-07,5.818120149877726e-07,3.904226827564014e-07,5.38687127267208e-07,6.348958919840068e-07,5.767230083028752e-07,4.6129328400927504e-07,4.6949487883146667e-07,0.00010367715758310998,3.760768122222203e-06,7.108713943403437e-07,4.271081714674525e-07,5.788582291660986e-07,5.666908568611405e-07,5.316929593010624e-07,5.626911982217061e-07,5.904915158811307e-07,6.036169794211105e-07,5.732016138334364e-07,6.140471693774598e-07,5.626170375465532e-07,4.4168082518395946e-07,5.659587623252024e-07,4.5305983315795427e-07,5.546141432845767e-07,1.1195861993196479e-06,5.558885807273763e-07,4.694310227485233e-07,4.0661884836282516e-07,4.835087642481131e-07,2.2465384866254774e-07,4.533489517419192e-07,5.678063044534608e-07,5.637823000791416e-07,0.0,5.80127881122172e-07,6.321560637667787e-07,1.0615511084147537e-06,5.788582291660986e-07,5.79077968778789e-07,5.264816366361232e-07,5.607426882587548e-07,6.521551134424889e-07,5.824142375794652e-07,5.457911368496732e-07,6.97860676801626e-07,1.815472771452486e-05,3.0720867866290993e-07,6.265700630403706e-07,5.891966364763372e-07,4.894437834668008e-07,5.740007638726038e-07,4.2208751899499784e-07,4.630624137663916e-06,4.0987776007280236e-07,5.251736378568876e-07,5.864013887562649e-07,5.686001987129739e-07,5.657262345286929e-07,5.278680960471009e-07,6.256234045673216e-07,4.175476177994418e-07,6.775633283447665e-07,1.4585688734211242e-07,5.78298150361064e-07,5.773149819803606e-07,5.686001987129739e-07,5.974488736338555e-07,5.837611070429945e-07,5.713428435649255e-07,5.946690346901604e-07,0.0009557945881160812,1.312524218111658e-06,1.1290743051400298e-06,5.676086575257502e-07,6.28323343987258e-07,5.509683646152935e-07,7.660898386522167e-07,5.059410032996758e-07,1.312524218111658e-06,4.845537713672626e-07,5.500091474926832e-07,8.14270153834413e-07,5.715809253383315e-07,6.645577764036684e-07,6.465177883950425e-07,5.615028457288204e-07,4.4741799779660035e-07,4.4870081726249724e-07,6.284569676835223e-07,4.96322314600311e-07,5.699155648704197e-07,4.22197062789437e-07,5.607767789892853e-07,0.0,4.829301751528695e-07,5.618495315017254e-07,4.535558090297299e-07,5.425490429010147e-07,5.603270170123678e-07,5.636192104992347e-07,5.596116594890341e-07,6.744401524910775e-07,5.7002108376033e-07,5.329639531284151e-07,6.369259613067433e-07,5.198175068509829e-07,5.034090662886258e-07,4.825532496570587e-07,5.687473945622773e-07,5.459027364243618e-07,5.252579588665735e-07,5.195979088582967e-07,5.256654366194873e-07,5.60378719852739e-07,3.7802463545373284e-05,4.121336335625265e-07,5.668756147275811e-07,5.592806835914354e-07,6.410770390080335e-07,5.675401134189908e-07,5.682050915879817e-07,5.555080507801163e-07,4.925216547860356e-07,0.0,6.186017383474428e-07,5.621561491583182e-07,6.17237416132322e-07,6.27560371286064e-07,5.957700492411682e-07,5.441432814057904e-07,4.1622928877646544e-07,5.461349054695484e-07,6.08595877418909e-07,5.896833911676416e-07,4.840313966672086e-07,4.12565398617258e-07,5.499411542379993e-07,5.966292806520222e-07,6.568591862057325e-07,5.603746752761575e-07,5.53589376996396e-07,5.563142567092475e-07,5.662437012281805e-07,9.263784546841915e-05,6.285113737088392e-07,4.0087904002966806e-07,5.512440175564192e-07,5.853910961538261e-07,5.559980803914626e-07,5.584241106641748e-07,6.840566338028879e-07,2.4608889217409377e-05,5.654643435026799e-07,4.961318002626922e-07,2.3117051963655183e-05,5.647230210101519e-07,6.234820056895109e-07,5.644222178491693e-07,7.922561470284445e-05,2.4608889217409377e-05,5.725398494550372e-07,5.634870172560893e-07,5.365495196539801e-07,2.4181038749687115e-05,4.971586142724309e-07,5.579617305640085e-07,5.555110524696578e-07,6.978290520553512e-07,5.521490955283878e-07,5.755266770758024e-07,6.262184346198972e-07,4.010028195565712e-07,5.059410032996758e-07,7.04335198519554e-07,5.883620024295325e-07,5.847834163112583e-07,5.713320115500542e-07,5.627075368329648e-07,5.672611316263462e-07,5.360578278943763e-07,8.864092270588907e-07,5.596116594890341e-07,0.0,9.754286529282058e-07,2.306631903670596e-05,5.958906231777367e-07,4.7664422225572123e-07,6.057341283123427e-07,5.529432362000515e-07,1.0385268898324417e-06,5.660479634987706e-07,5.478043736476796e-07,6.374621361198754e-07,4.661343675637283e-07,5.706407480177498e-07,5.533250368175913e-07,6.019568128552361e-07,5.667151400300726e-07,3.8448211143191946e-07,5.697880700279875e-07,4.784730068084437e-07,3.7835496516207145e-07,5.004421355412244e-07,5.726966104537052e-07,5.584927228740908e-07,5.279570885524148e-07,0.0002459095773810513,4.1317855991742537e-07,5.776549040578209e-07,7.082359780979072e-05,4.572782559492129e-07,5.751423553819127e-07,3.504984313919319e-07,0.00022878135637650408,5.58845190768706e-07,4.7146512741329414e-07,5.586103276914297e-07,3.652473160049726e-07,5.647230210101519e-07,4.607236311252736e-07,3.70935066432852e-07,3.019572297202857e-07,5.647230210101519e-07,4.860167786602897e-07,4.1045588849606214e-07,3.80481563855333e-07,5.612881753608484e-07,0.00012309702890855813,2.4943684599057133e-05,0.0002459095773810513,5.595779226642942e-07,5.632997088063026e-07,6.727049559158136e-07,5.747104521144317e-07
Agricultural and forestry machinery,7.800529205302881e-10,4.95467333839888e-10,5.695307150290309e-10,7.091689909904349e-10,3.1351021577621544e-10,2.0690990571626877e-10,5.3977672603207e-10,1.1170576948383712e-09,4.915945100626847e-10,5.544287081533513e-10,9.944947032409222e-10,2.0404188024505215e-10,1.6433375380376598e-09,9.945562506182093e-10,1.6489959713043228e-10,3.8595583075265e-10,7.100784323081647e-10,2.9947585832980054e-10,5.89280116697213e-10,3.4854449539738727e-10,5.187512119481952e-10,6.259635555799002e-10,2.7804052747121905e-10,4.403945967670083e-10,7.837371639969837e-10,5.421827852140869e-10,2.3020444649476062e-10,3.753866942776229e-10,1.7227185400333696e-09,7.173154497628362e-10,9.724277578696653e-10,1.1441757193445473e-09,7.255480068503826e-10,6.213775905425028e-10,5.955169902516629e-10,0.0,1.255283434153539e-09,2.810440486515581e-10,1.8849497970951073e-08,9.945562506182093e-10,2.879825233686755e-10,1.3139581356265812e-09,6.49430556409175e-10,5.161028044209751e-10,1.2520599195066326e-09,6.114277985339547e-10,5.162038506738214e-10,1.5484224799013533e-09,5.955433731112963e-10,5.290534839246385e-10,2.4867491166583777e-10,8.869597120725732e-10,3.872659339854199e-10,1.760844980616955e-09,9.945562506182095e-10,7.791649926800939e-10,2.605796306630083e-10,2.496467642854048e-10,2.1267702435187738e-10,5.111743936919446e-10,6.394398518189272e-10,3.2374623972232265e-10,1.0090137778580283e-09,3.284232388881195e-10,7.135711212468234e-10,4.0796577954271027e-10,2.0147281683747457e-10,0.0,2.071305545498676e-10,3.449428398884577e-10,4.146971077068302e-10,3.263925783705724e-10,8.051158349287879e-10,7.986208799562597e-10,2.0404188024505218e-10,1.0437072657736716e-09,3.0275452082514553e-10,6.65279085938612e-10,5.724394613892283e-10,3.794455746347302e-10,3.9341677798916064e-10,4.4109390424014496e-10,8.593038792755038e-10,2.2280291771281518e-10,5.918699169704751e-10,5.461216228016273e-10,2.240398639676915e-10,3.668500660263588e-10,2.1492177793370576e-10,1.0153435704273328e-09,3.0743695243200756e-10,7.514394283152059e-10,3.305416868011901e-09,1.564617135634779e-09,6.371480399817279e-10,0.0,7.884615399940856e-10,2.1988330585722674e-10,7.958528816070405e-10,3.2045497243843536e-10,6.241589142948652e-10,6.027603012582348e-10,7.091689909904349e-10,3.418093929932328e-10,5.791996935259775e-10,3.7496493216700073e-10,4.766058313645525e-10,5.634178654845927e-10,7.854350698324814e-11,1.2254307912817407e-09,4.2788182787605843e-10,6.282827579551321e-10,1.1684963850284273e-09,8.005393840515348e-10,5.617241320176446e-10,6.738881066288196e-10,5.536257869001933e-10,7.003757418910529e-10,5.48225881709687e-10,2.9591677924513035e-10,6.909048994395197e-10,4.5475578811903534e-10,4.4932051857567165e-10,3.680597525034991e-10,6.30086914331168e-10,0.0,6.138098913472785e-10,6.70076392346021e-10,3.1097655047206844e-10,4.946860526390937e-10,2.918360422818293e-10,6.684755110350418e-10,2.5781512482933785e-10,3.5587359729373986e-10,5.978837731552321e-10,5.729239979680966e-10,5.715032755009824e-10,6.823949445208581e-10,4.287847777377102e-10,5.614662755665509e-10,3.1954139046184746e-10,6.531471325437332e-10,7.330312627294077e-10,1.8532680565128472e-09,5.800555116769779e-10,7.054743252424898e-10,4.0732605695520287e-10,7.091689909904349e-10,4.715879150157752e-10,6.03302646326396e-10,5.863542954866356e-10,6.949385096277788e-10,4.41370689171864e-10,1.105719984129252e-09,6.549645424536535e-10,1.144093271716665e-09,1.2722720094441533e-09,3.495687721695216e-10,2.9857857148075215e-10,5.909250816301727e-10,9.837078585880969e-10,1.67957414634621e-09,4.766208847951421e-10,4.959245182549697e-10,1.0534693429422569e-09,1.1613341607925861e-09,7.111011497426818e-10,6.158055132052026e-10,6.614807121944493e-10,9.883318478296803e-10,2.3518474663493825e-10,6.494305564091749e-10,1.9565144392887847e-10,1.1926851436291358e-09,3.794455746347302e-10,4.778259290673144e-10,9.513002419880753e-10,2.6923905547095184e-10,6.929476250409154e-10,5.709143342204791e-10,4.5397206364282076e-10,7.974308350707088e-10,7.07660727865733e-10,6.649777525749321e-10,0.0,4.496443683127231e-10,5.96050673956331e-10,5.63903912364512e-10,1.2837513290259218e-09,2.1034099519479533e-10,8.282461214332285e-10,1.5526376421168707e-09,2.863640638784053e-10,6.760893256515576e-10,2.0529606975873248e-10,7.270156791275211e-10,3.530985027505431e-10,1.9617643056582497e-10,3.9514503685891967e-10,7.339502793743666e-10,6.993094871755296e-10,6.105654271782711e-10,4.2760074550556624e-10,6.387094802261255e-10,2.019867616558428e-09,4.435969896890424e-10,6.620547455234834e-10,4.832079707679802e-10,2.9947585832980054e-10,3.762211208254913e-10,5.451514352455394e-10,9.975995660905055e-10,1.1225750838487542e-09,3.056898363969786e-10,4.009555733983929e-10,7.858288030773295e-10,5.810153195915598e-10,5.185337338208574e-10,5.770038400819391e-10,3.7412150324341526e-10,1.8670402543671876e-08,1.624603867784799e-09,7.091689909904349e-10,3.3366387716197716e-10,0.0,8.049545318945735e-10,6.640340844679506e-10,7.635562482409616e-10,6.861612790232534e-10,6.193069241630366e-10,3.527395298489655e-10,9.42411343390874e-10,4.6471187451172414e-10,8.001074350030595e-10,6.701429926707837e-10,7.164272933698051e-10
Aircraft and spacecraft,1.3248734735097574e-05,1.2528908397876139e-05,1.0994980515379868e-05,1.2373379009946744e-05,7.02796657854711e-06,1.0628865491652554e-05,1.222005999711889e-05,1.3160078566722555e-05,1.0081959791574575e-05,1.3691378369356017e-05,1.3693454042934333e-05,7.821717528774073e-06,1.1825562525192704e-05,3.2466042908112424e-05,1.2554752060374675e-05,1.4232946975290378e-05,1.1727582003729749e-05,9.846359569217507e-06,1.0339215636148029e-05,1.4335252216929434e-05,1.1773612074851837e-05,1.2054545537620032e-05,1.0962260863527515e-05,1.2577961456651824e-05,1.2698446925914469e-05,1.3197754104082794e-05,6.8330109274458925e-06,1.2532798033745929e-05,1.3361806731032118e-05,1.344649033561648e-05,1.4583599691650729e-05,1.1770866485236652e-05,1.2997861222775613e-05,1.3959296821672008e-05,7.284634850842174e-06,0.0,9.50865967932954e-06,1.238062594252594e-05,1.2210880895311456e-05,2.660443795259945e-05,1.228618684034187e-05,9.927487990316604e-06,1.0880200200806781e-05,7.985042609706257e-06,9.511824318832837e-06,1.3014613821516166e-05,9.818820021736559e-06,4.081600906914754e-05,9.753046294057705e-06,1.2493936497465326e-05,9.52608294560479e-06,1.516657902767384e-05,8.914220879072688e-06,1.4844643980456574e-05,3.246604290811242e-05,1.0863584096254239e-05,1.2442103029997672e-05,7.860840318302161e-06,1.1120147268652124e-05,1.3096181928893472e-05,1.329211428009933e-05,1.283044276642021e-05,1.2594099244402667e-05,1.0730241452448973e-05,1.3435563409892416e-05,1.2674601247375237e-05,1.219136956382297e-05,0.0,9.043921291414366e-06,1.3019083681079691e-05,1.314206203839208e-05,9.055432456236725e-06,8.607503506628875e-06,1.3321858426403506e-05,6.833010927445891e-06,1.296399759843167e-05,1.1150245884961236e-05,4.712525541117424e-05,1.18488695355657e-05,1.5011069721264497e-05,1.3344980432367853e-05,1.1865653452498721e-05,1.2110579024126265e-05,1.2703104120828065e-05,1.1385888143875085e-05,1.3342703028385546e-05,8.284677330376027e-06,1.2171885353624853e-05,1.0796276059864944e-05,1.2211791365854158e-05,1.2895178778041393e-05,1.0580884886347944e-05,1.3082363786865294e-05,1.3377451958819471e-05,1.2814120934468877e-05,0.0,1.2834900887705889e-05,8.819958834039281e-06,1.3484948830632893e-05,1.580726979285792e-05,1.5875147286110537e-05,1.3848067203897085e-05,1.603774945945671e-05,9.654017730169505e-06,2.0100563622607452e-05,1.2514541715885717e-05,1.1971233138312074e-05,1.2812615828697677e-05,3.60618904835167e-06,1.3460654860616275e-05,1.296399759843167e-05,1.2641403857049307e-05,1.1390406880349345e-05,1.1775695699818126e-05,9.803140115253056e-06,1.2347729800459105e-05,2.7838591895294598e-05,1.358306303672525e-05,1.2442713808479283e-05,1.056958255349242e-05,1.2669370571944221e-05,1.1735083989610645e-05,1.1858552478148661e-05,1.1507531563912421e-05,1.2985484825251511e-05,0.0,1.2313235122004173e-05,1.2609154390158007e-05,1.223043582213562e-05,1.249980809337939e-05,1.2185654876989313e-05,1.3432945387766953e-05,7.362975555836657e-06,1.2174153648660029e-05,7.187777343443372e-06,1.2162680142163811e-05,1.339245342359291e-05,1.2476218752966374e-05,1.1085714092582412e-05,1.0698103587693167e-05,1.1400427994250733e-05,7.819619812074777e-06,1.3104433584464954e-05,1.2531519690480119e-05,0.0,9.612932531197866e-06,8.47798991467503e-06,1.3158020971015606e-05,1.1128359138414841e-05,1.0042949319642068e-05,0.00010667586948010783,1.2379896945090427e-05,7.499960772364301e-06,0.0,1.2280320411327213e-05,1.2167344055116366e-05,1.3598264611013467e-05,1.5025398451898376e-05,1.193486268865136e-05,1.0612902707589501e-05,3.246604290811242e-05,6.357534559612682e-05,1.1943587831970526e-05,1.157034223328015e-05,8.412623432887519e-06,6.833010927445889e-06,1.2354204829425233e-05,1.7225438007047812e-05,1.380995474119006e-05,2.4434063109818024e-05,1.2786438029498897e-05,1.1463989430945658e-05,8.284677330376027e-06,1.3292064711473622e-05,1.5011069721264497e-05,1.348939890062641e-05,1.3033765883786628e-05,8.798859691573998e-06,1.1463989430945658e-05,1.2198294895653292e-05,1.267749045348727e-05,1.1414830594200665e-05,1.2322712124772504e-05,1.603774945945671e-05,0.0,1.2535726660856488e-05,2.9323741047976418e-05,1.0661667014288764e-05,1.3620624035070859e-05,1.5992407625413233e-05,9.181423151236548e-06,1.1297921621124988e-05,1.2059576498299256e-05,1.1652098735536092e-05,9.828389055934168e-06,1.4581928203924913e-05,1.2435104668453777e-05,1.2581179533586963e-05,1.2810027475481128e-05,1.0340428010126658e-05,1.072811038873347e-05,1.188687775960114e-05,1.1935384774382647e-05,1.3323853691636479e-05,1.1597890971464746e-05,9.398759257740987e-06,1.1713406810054662e-05,1.188665718513913e-05,1.0201186570529938e-05,1.1396119667808027e-05,1.526194899607688e-05,4.242127040078258e-05,1.4646308004147967e-05,7.544737671505549e-06,9.766877413286323e-06,1.2641403857049304e-05,1.3023324471429768e-05,1.2382461816894506e-05,1.2393795823726191e-05,2.417756801535821e-06,1.4303423763154013e-05,1.0073610854866078e-05,1.3598264611013467e-05,1.3544535041048468e-05,1.3344980432367848e-05,1.3459812019422056e-05,1.2966093935953775e-05,1.0114545033772626e-05,1.1511709046561113e-05,3.1045619045052156e-05,2.8203239468618614e-05,1.2960921018154038e-05,1.186286179310796e-05,1.2247064326122072e-05,1.1016174053762964e-05,1.2962377595940957e-05
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,3.0542029603818285e-08,1.245462041196938e-07,5.610205115033559e-08,1.643053336223694e-08,1.8468858164081613e-08,8.304460383963564e-10,1.6101095630656598e-07,4.993164133637396e-08,3.235288223346123e-09,1.0081533151962007e-06,1.574296936071757e-06,2.082753158499463e-09,3.817097987707781e-08,9.657622871095752e-09,4.070535317687241e-10,5.22141472931484e-09,4.1681200584987554e-07,2.515352017443859e-09,3.1333133493182236e-07,5.10346375156998e-09,7.76996086526084e-08,2.3228881815698837e-07,4.498853364052806e-10,1.1986907163855145e-07,2.2493172834478923e-08,7.967573022524274e-10,5.702691645333747e-10,4.7903127036266476e-08,2.94040341986983e-08,5.8513562296741333e-08,7.979195454553371e-08,1.0865304399185508e-07,1.5830714288542178e-07,2.1054049190407158e-07,3.70281275879459e-07,2.0507622495594225e-08,2.1434873674617084e-07,6.56639808973656e-08,1.574296936071757e-06,9.657622871095752e-09,4.373644198145303e-09,9.881499174519628e-08,1.4790473783482868e-07,2.9532167797344664e-08,5.133369536534663e-08,1.8806497087272778e-07,7.249640418233346e-08,1.8561935964564284e-07,2.03752131936398e-09,1.1634825112506513e-07,9.486078571865007e-09,1.6701469273640365e-08,4.7443762541106585e-08,1.3326219478016714e-08,1.2127065129342154e-07,2.263375474202864e-08,1.8417999899983656e-09,6.076716522685579e-10,7.664547922305506e-10,1.3672803218154824e-07,1.6000891191978798e-07,2.082753158499463e-09,2.0507622495594225e-08,1.4319053713665139e-08,5.371180222707437e-09,6.624767063150474e-08,5.5909788578911544e-08,0.0,8.093334104800603e-10,1.3282781592534562e-09,1.081434501359303e-07,1.0664368365381814e-09,2.388367928026848e-07,5.870744662342078e-08,5.64312061208064e-10,1.0584649256543692e-07,2.4157628442169686e-09,3.2332143227879726e-07,3.868226193529971e-08,5.51045524438249e-08,5.870744662342078e-08,7.553667785812069e-10,2.1340545421079318e-07,9.550773187372273e-09,1.239587889997218e-07,7.940038377010761e-08,3.897630511592189e-09,7.161246753712852e-08,1.3931296156053626e-09,8.26086006722865e-08,2.1333373501525383e-09,2.0894601116418082e-08,2.2607990086510511e-07,5.900382341670272e-08,1.4864353474895786e-07,0.0,2.249982355711697e-08,4.2292557868387124e-10,7.193083062558302e-08,4.275557784086051e-10,1.805235405658369e-07,3.7016374848352523e-07,0.0,6.59428484504084e-09,1.1502670553360199e-07,3.3775424573476966e-08,1.1573326159198329e-08,6.989411917235649e-08,8.287495405936552e-10,3.747742445217897e-08,1.1801643219975972e-07,2.5828506818546027e-07,2.604355215710726e-09,3.2072226509191106e-07,2.4725363487762466e-09,7.113240882490576e-07,2.225481944094304e-07,1.0416769119994287e-07,1.8314199979455942e-07,1.104165112549155e-07,1.1394488452569795e-06,4.021699568112644e-08,4.472377815074039e-08,3.027909668837336e-08,3.3176852118361895e-08,0.0,3.5999928122001605e-07,2.17966630441709e-07,3.1429888418543747e-09,6.781809873576674e-10,3.027456865809458e-09,2.9543371212462016e-07,6.768986099779709e-10,1.821643783549724e-09,7.095454520537152e-08,3.220109373477841e-07,4.324786858131117e-10,2.7622553297985e-07,2.6329159085328358e-09,2.0345493557660753e-08,1.3291400822462215e-09,8.84137756283356e-07,3.6767043364098432e-09,1.3500493958333756e-07,2.0596568249208338e-07,1.0401824897238944e-07,7.302272079234565e-08,1.535981232704327e-08,3.6029428479422344e-07,2.516474467106568e-07,2.9427463298465973e-07,2.152146679351584e-07,4.665422150719911e-08,1.585773475224329e-07,2.4813853895179995e-07,1.8028957771710776e-08,1.6815862556153941e-07,3.3388330584663593e-09,1.2004042222616356e-09,4.4111968886337957e-07,3.173689584590506e-08,1.6815862556153941e-07,1.5895812441315124e-07,5.085750934075106e-07,4.1293056603016926e-08,1.6815862556153941e-07,1.0828707347247542e-07,7.669921838414058e-07,1.8791393977211282e-07,2.7254958896385904e-07,4.676821092420263e-10,1.4760193331004508e-07,6.056151488924602e-10,8.235819392971939e-08,5.510455244382495e-08,3.407409302771788e-07,2.5861804574955885e-09,2.0844842827059493e-10,6.569138986869609e-08,2.0704910065622073e-07,1.1859484963174672e-07,1.23138285969916e-07,1.5607725690581838e-09,1.0027567150922094e-07,0.0,1.027577419550497e-07,2.5581073488480117e-07,1.2915330703852543e-07,2.843027051764521e-08,7.946897615274682e-10,1.5493362145965802e-07,1.107681648370499e-07,3.185268859021439e-09,2.1300662262213003e-07,1.823004022739976e-08,7.037602380646078e-08,7.023180795056723e-10,1.7387838959941027e-09,8.229057635888999e-10,2.417773915089497e-07,6.540654509210082e-08,4.778621035880317e-07,6.64463491442262e-08,1.9191233270913292e-08,4.3477886419499616e-08,1.963822886614093e-07,1.2799045751116715e-06,2.5645182348458327e-08,3.2562878678066906e-07,6.752352618292636e-09,1.492930644875999e-07,2.82200007112627e-07,6.30087355146111e-08,8.650568191335404e-09,2.114195549381264e-10,2.387726695077228e-07,2.8009644666100466e-07,4.397917621049951e-08,2.333711443099382e-07,1.2318016345664777e-09,0.0,4.993024840460093e-08,1.6408887283563664e-08,4.472035240872461e-10,0.0,3.599993914329764e-08,9.679737052668912e-08,1.7610071988669197e-08,5.999800626657635e-07,1.979264375539458e-07,4.329515299551765e-08,3.2562878678066906e-07,1.363351870002176e-07,2.1757570400932483e-07,2.133420865780153e-07,2.045787012637145e-07
