,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,5.500020193768811e-07,8.050033149464943e-07,1.05501898210642e-06,5.369215195250087e-07,8.060517320194966e-07,3.128278153550186e-06,8.889093764164923e-07,6.589880520196525e-07,7.298212032793069e-07,7.623880689465655e-07,8.216220249436923e-07,9.289478475415477e-07,5.507253001508622e-07,7.404690536992278e-07,8.544880006235393e-07,7.660302799449171e-07,9.171152865212361e-07,8.673538524318604e-07,8.203991691597303e-07,7.957695992662581e-07,8.419556054118137e-07,7.942876497522869e-07,6.296445053683101e-07,9.109036005104744e-07,6.185676144707152e-07,8.51750657799835e-07,1.1566874219925122e-06,9.338128165110587e-07,6.455689014307967e-07,5.215106529176342e-07,8.115704816900032e-07,3.140062921636959e-07,6.108358558360868e-07,7.733004136420782e-07,7.919420414460527e-07,0.0,8.650705813617074e-07,8.401400390127076e-07,6.533150562830444e-07,7.404690536992278e-07,8.414847337984368e-07,8.211971909174136e-07,7.93492421209372e-07,9.178101921643271e-07,8.084740249712894e-07,7.928890456615107e-07,9.029471668191e-07,8.144194291249459e-07,4.3735520902613026e-07,8.763933761537533e-07,6.869367687914283e-07,1.6309323248711696e-06,5.8155477929371e-07,7.406106706867671e-07,5.316442106635937e-07,7.641953733142452e-07,9.187760291270013e-07,8.739718432411504e-07,8.014168499708211e-07,6.909969532371942e-07,8.723506659564131e-07,5.942040990947835e-07,9.669791204663218e-07,2.061666070825479e-07,1.1963553652513446e-06,8.514114627504217e-07,8.739718432411504e-07,3.763633139418859e-06,8.248011570399843e-07,8.158673748386424e-07,9.448573389571301e-07,7.738556750322733e-07,8.54297885140151e-07,1.117322757413043e-06,1.4901529792134137e-06,8.686705763431877e-07,7.774436144914571e-07,8.97884996412533e-07,7.660020164674249e-07,8.54297885140151e-07,7.181460587045562e-07,7.716382934598506e-07,1.7749545957280702e-06,1.0223740231829314e-06,0.0006424509839214421,1.0705409665859053e-06,1.516197362955674e-06,6.538986473609085e-07,5.884568448879297e-07,8.676858095688617e-07,6.900130064306885e-07,7.836468362937656e-07,5.725861859021313e-07,7.870523199553483e-07,0.0,6.743949855014146e-07,8.51315455097666e-07,6.140934379593627e-07,7.747913576187887e-07,7.859349924730809e-07,7.90961667167177e-07,7.698937822687268e-07,7.632761467987521e-07,8.26239772958031e-07,8.015739364662865e-07,8.527046792132285e-07,8.497751566179239e-07,8.818351244504036e-07,6.55467887313727e-07,1.5395558248823772e-06,7.618632756189221e-07,7.745498057172298e-07,8.101240384239855e-07,7.801680048171303e-07,7.902646581965085e-07,7.672807204211399e-07,5.229630353535119e-07,7.873480978875148e-07,8.550444714690973e-07,7.905071751580721e-07,8.509129959644275e-07,7.801484780273261e-07,8.420547513417805e-07,6.459752976789463e-07,0.0,7.982389724198076e-07,8.751289305702499e-07,8.540471829593358e-07,8.791248263645091e-07,8.589740403694282e-07,7.649004326537708e-07,1.429741774498083e-06,8.753684616390197e-07,8.391044437447047e-07,7.738129638791209e-07,6.753800943481481e-07,5.491333638983607e-07,8.048274665831565e-07,9.231939157703134e-07,8.469493465897944e-07,7.902730629508672e-07,8.671982842427391e-07,7.848188651131694e-07,7.873174516992622e-07,8.87036863507536e-07,9.032332473388245e-07,5.079262604112291e-07,8.516939544834325e-07,8.206341105610017e-07,7.754053981570773e-07,8.653167070777807e-07,9.609682065452926e-07,8.602527906352025e-07,7.525077105838193e-07,7.751545578057227e-07,6.902317173294382e-07,7.517603242473479e-07,7.849672916500085e-07,8.330093356556177e-07,7.91592799126078e-07,7.396300480429176e-07,7.525077105838193e-07,8.631221669537884e-07,7.934951127597805e-07,7.374509804939874e-07,7.448136806447718e-07,7.35615491680637e-07,7.806520180985179e-07,7.619838643442754e-07,7.826406327160397e-07,8.624252923864663e-07,8.816782495458609e-07,2.409795249558876e-06,5.809042589278826e-07,7.660020164674246e-07,1.0887259013241833e-06,9.034341211220344e-07,8.328974240564771e-07,8.484072494298057e-07,7.979207170407113e-07,1.090607516478126e-06,7.716616467917345e-07,9.95851158001325e-07,7.698937822687268e-07,0.0,8.699183005443292e-07,5.745946199560183e-07,8.011468557454929e-07,6.788034478688382e-07,1.2703643318203671e-06,7.95848082226984e-07,9.805402747924156e-07,8.40094109516975e-07,7.965658604342105e-07,1.8040054765081287e-06,6.373000133016145e-07,8.855172409760191e-07,8.388873773520726e-07,9.043589622960314e-07,8.68800490109539e-07,5.143575232741484e-07,8.28038422887944e-07,7.102335874616537e-07,4.988874223523887e-07,8.043837222527639e-07,8.021334792252138e-07,7.863785925485745e-07,7.742903618681593e-07,7.589905518763682e-07,6.050011644681512e-07,7.943515480349217e-07,7.854191104899714e-07,6.189965055258454e-07,1.0027062959188442e-06,5.33325125151304e-07,7.892379089014009e-07,7.974089154765561e-07,6.844059294297688e-07,7.982751390725402e-07,5.624354611641623e-07,7.849672916500087e-07,5.800915367501115e-07,4.965493091203877e-07,4.479513786187311e-07,7.849672916500086e-07,6.6393564357054e-07,6.314482900460708e-07,5.150396096416311e-07,7.894596022160817e-07,8.007733145808614e-07,9.93385737517719e-07,7.589905518763682e-07,8.012653420202446e-07,8.890156307146797e-07,8.272670217401366e-07,8.61000714485615e-07
Agricultural and forestry machinery,1.2234362404872195e-08,7.924205129210654e-09,2.8321332437973707e-08,1.1100328117633407e-08,5.033819639020212e-09,3.920584972652694e-09,8.6069613796141e-09,1.7614261541720605e-08,7.875322792389809e-09,8.958899203271763e-09,1.55887885739279e-08,3.4790763918115663e-09,2.5727150011254468e-08,1.5589693171769852e-08,2.6870031688910736e-09,6.301543226566447e-09,1.3541610659766628e-08,5.056189389524374e-09,9.425897820311938e-09,5.70483152794861e-09,8.326997581810176e-09,1.0006641235802947e-08,4.571139966009886e-09,7.246868203027808e-09,1.2275714634747214e-08,8.670019484517385e-09,2.130942855848149e-08,5.995155327601671e-09,2.697515830298215e-08,1.1360190179344999e-08,1.538994321453871e-08,1.8049936617238936e-08,1.1391228575448078e-08,9.865570199429292e-09,9.66060862329505e-09,0.0,1.983427314563762e-08,4.657500126576387e-09,2.943206122386078e-07,1.5589693171769852e-08,4.82647068165652e-09,2.078446463913848e-08,1.0253117344481075e-08,8.308449290062226e-09,1.9866155073453685e-08,1.0509676270379306e-08,1.010535646624074e-08,2.448226161409233e-08,9.490586863520479e-09,8.438129727875936e-09,1.439822952129e-08,6.349297252896935e-09,2.7604525072428893e-08,1.558969317176985e-08,1.2242133143773297e-08,4.2133532268014976e-09,3.994538098904064e-09,3.4216957223954876e-09,8.147138346839626e-09,1.0071281264485e-08,5.204765823061586e-09,1.617765455927868e-08,6.655154288034616e-09,1.134778585608478e-08,6.606214208717337e-09,3.3225439541780893e-09,0.0,4.033668024272055e-09,5.5224680681643205e-09,6.632208579970735e-09,5.181140094873919e-09,1.2843087810306466e-08,1.2688665999052663e-08,3.4790763918115663e-09,1.649021957934503e-08,4.8700956340207034e-09,1.0478239935350389e-08,9.168550474840903e-09,6.058134559978863e-09,6.309260766486015e-09,7.112126696103144e-09,1.3651650128847785e-08,4.2250876654562465e-09,9.448683040805712e-09,8.701921583386172e-09,1.5579807715712987e-07,6.201439127075513e-09,3.5335176527921516e-09,1.5978215134330613e-08,4.9493290339382775e-09,1.1913344638430986e-08,5.176196678705019e-08,2.460654440467858e-08,1.0069627560089522e-08,0.0,1.2478632412562174e-08,3.8063822108668956e-09,1.2537249261727119e-08,5.1721678546224876e-09,9.901104629191701e-09,9.822162966204053e-09,1.1100328117633407e-08,5.655528690939078e-09,9.203184147958455e-09,6.140739037588805e-09,7.59465162797677e-09,8.958785180265744e-09,1.2883720519396968e-09,1.9239323501817223e-08,6.8971729976469625e-09,9.950690860531014e-09,1.835659717395975e-08,1.2964762000552597e-08,8.914357802096696e-09,1.0702247460710196e-08,8.795402530224766e-09,1.0973763657478435e-08,8.71324042251214e-09,4.763104153191333e-09,1.094745225320366e-08,7.3831365681389595e-09,7.200705337304357e-09,6.03883749256477e-09,9.881934967562405e-09,0.0,9.899005809685918e-09,1.0665874813317228e-08,5.0245756491398636e-09,7.90715946675221e-09,4.694488514418464e-09,1.0514241016631594e-08,5.419535083309534e-09,5.725209869104814e-09,9.558550756907646e-09,9.218149916650257e-09,9.028779207366854e-09,1.0723936864145291e-08,6.943394207008872e-09,9.197905693281467e-09,5.140277677905958e-09,1.037474014832745e-08,1.4537304030105656e-08,2.9056086020828196e-08,9.19851509983072e-09,3.172517762795986e-08,6.665738858982867e-09,1.1100328117633407e-08,7.570999133754639e-09,9.760662687020855e-09,9.31367963952456e-09,1.1131292108890603e-08,7.198780699353042e-09,7.123412945455846e-09,1.7369633224945105e-08,1.0839160616923952e-08,1.803561415776818e-08,2.0090283581915437e-08,5.717096680030666e-09,4.8125196145038946e-09,9.518901084804241e-09,1.54243414041372e-08,2.6558115617089958e-08,7.715272000837696e-09,7.95698047363371e-09,1.6944301052137792e-08,1.8322606621175905e-08,1.1334688657434631e-08,9.778585494407926e-09,1.0423025683192461e-08,1.554614456170382e-08,3.7578444410515904e-09,1.0253117344481074e-08,1.8327941780130464e-07,1.880538241142055e-08,6.058134559978861e-09,9.319635076206298e-09,1.520174552524546e-08,4.397234736280942e-09,1.0977273629239074e-08,9.145537791057072e-09,7.732821405879366e-09,1.2796313733196179e-08,1.2181740301962613e-08,1.0685464500759498e-08,0.0,7.197213156716728e-09,9.449583981117351e-09,9.042973305099224e-09,2.0189040022169508e-08,3.3919742068332616e-09,1.3118666675674284e-08,2.4515175520262986e-08,4.651745720020223e-09,1.0626512257774732e-08,1.568216150951858e-08,1.1557007945128775e-08,5.67205351563676e-09,3.166798721231614e-09,6.279136386654692e-09,1.1850728167669094e-08,1.0952870516724211e-08,9.744432410663587e-09,6.9061800200738704e-09,1.002642134529282e-08,3.178867801111378e-08,7.140146001164103e-09,1.05144593731796e-08,7.733329090247524e-09,5.056189389524371e-09,6.063604166729557e-09,8.651870774888703e-09,1.5771959631419924e-08,1.764640906873705e-08,5.0253427715054274e-09,6.758539984629415e-09,1.2528051108806843e-08,9.213148335482996e-09,8.52732426571741e-09,9.25786309963276e-09,5.955262209645021e-09,2.9152726498960563e-07,2.553235868006944e-08,1.1100328117633407e-08,5.554364486979194e-09,0.0,1.2612343856487528e-08,1.0515382933897959e-08,1.198805243350932e-08,1.086254722362959e-08,9.840769974296729e-09,5.7347798681197634e-09,1.4905489915179372e-08,7.520278885477405e-09,1.2731765072679962e-08,1.070209340057886e-08,1.1471570414141814e-08
Aircraft and spacecraft,4.825625190162378e-06,5.1568838249049415e-06,5.717371628507062e-06,6.75956121191055e-06,3.66866851389301e-06,1.0752512104852113e-05,8.021008188890978e-06,4.207617879036072e-06,3.779230448724708e-06,2.301277669117635e-05,6.105476674798982e-06,2.9772822453621546e-06,4.792988238877148e-06,3.3974773299893166e-06,4.9091113375621945e-06,8.224682985625483e-06,5.0545091511198775e-06,4.468468300821491e-06,4.642711251318017e-06,1.5435980679940494e-05,5.8562723746488434e-06,9.08484731447271e-06,5.1115530516193636e-06,1.2103032192907002e-05,5.165208941541693e-06,4.0327680098876796e-06,3.588793840471603e-06,4.424452991914616e-06,3.441641579452278e-06,4.483568627064663e-06,5.754424839913176e-06,6.58393396795989e-06,7.87354537853332e-06,1.1552693904128126e-05,3.744575205594093e-06,0.0,4.338316834301009e-06,9.910603389681303e-06,5.537016349762203e-06,1.0161104389012711e-05,6.296535760881968e-06,5.01105024146173e-06,4.817357237480611e-06,4.814439015282714e-06,1.526272729279549e-05,5.486629042050857e-06,4.296943814034243e-06,4.4675159356008215e-06,4.994935753437569e-06,8.658668653733816e-06,4.162412089325052e-06,1.3106451928960193e-05,1.3033857506747543e-05,3.3974773299893166e-06,5.07285386916437e-06,4.481688540050811e-06,2.953084936072108e-06,6.7456077068796395e-06,4.440717092151806e-06,2.450412090225923e-05,6.056735751471187e-06,3.832831417241248e-06,1.2565501716218629e-05,3.837045797781341e-06,5.595071053159925e-06,6.891526990819743e-06,0.0,2.6924527408058647e-05,3.945895222192931e-06,1.3461400708950488e-05,5.138748587594725e-06,4.322632197485334e-06,2.544959885875058e-05,3.588793840471603e-06,4.149572232352415e-06,6.735326553530149e-06,4.840277620492565e-06,5.586370231052902e-06,8.439996447862662e-06,2.54610139449206e-05,5.116939022111489e-06,1.3646422245104862e-05,7.91655218732459e-06,4.6491078595646905e-06,2.5434133573753943e-05,9.929060666878149e-05,7.922915830621028e-06,4.092729574991242e-06,5.535767614036866e-06,6.861196954731859e-06,4.081119547725731e-06,4.8719996828175e-06,3.8879492611405596e-06,9.502250192149101e-06,0.0,5.061685652354263e-06,3.3378210757213336e-06,3.912377539557645e-06,5.450809999337496e-06,6.034696666543768e-06,6.2780926453699285e-06,6.4293259817418735e-06,3.9641415682851866e-06,7.73790437701364e-06,6.914842745657198e-06,1.3778906280638552e-05,5.490415494596794e-06,2.119064084263963e-06,3.664754124266971e-06,4.149572232352415e-06,5.2096744747589955e-06,5.067369481877918e-06,1.1108970612056768e-05,4.735231222426523e-06,4.444870144823586e-06,5.392386341825389e-06,4.704193947407502e-06,7.042097206464232e-06,4.854909955465401e-06,5.103828637036089e-06,9.744795613301864e-06,1.6711736412266893e-05,9.235651224549046e-06,6.562440948758627e-06,0.0,1.047317540013593e-05,4.502293737856456e-06,6.059117800486355e-06,4.370088891877597e-06,5.385290552477968e-06,4.438853133733789e-06,3.2665152264193016e-06,4.591177561238943e-06,3.750794438556803e-06,4.9341637641961385e-06,4.092183539090853e-06,6.065293577540006e-06,6.1644577879150254e-06,4.46972298028472e-06,8.003217578977907e-06,3.937237991296188e-06,4.667099075347773e-06,4.102739589997336e-06,0.0,3.947091008493734e-06,5.149528569692586e-06,2.2176487554897868e-05,5.182819495630534e-06,2.309239874112158e-05,5.235280779547186e-06,4.622184889864256e-06,3.7658140969152406e-06,3.576960542501929e-06,0.0,6.2871436445763736e-06,3.7856283918529965e-06,3.3788709905662906e-06,8.449273524260409e-06,5.807910370624352e-06,4.3501012289682805e-06,3.3974773299893157e-06,6.256110551744199e-06,9.730639142165201e-06,4.946823421712558e-06,4.651310719350467e-06,3.588793840471603e-06,4.556982979288392e-06,6.610300578906328e-06,3.987996951158777e-06,5.689079704275787e-06,4.600858450047557e-06,3.809024468261011e-06,9.929060666878149e-05,4.009426218189976e-06,8.439996447862667e-06,3.462394982012055e-06,9.560762693089272e-06,9.390368446370352e-06,3.809024468261011e-06,4.573010237681877e-06,7.1463711852197515e-06,7.044432644237603e-06,6.712331023966033e-06,6.4293259817418735e-06,0.0,5.06862575429064e-06,4.072540322861218e-06,8.498158186283619e-06,5.278517823439164e-06,6.431652553075752e-06,3.961747452279047e-06,5.206281724592078e-06,4.5661674150943015e-06,8.719188018429922e-06,1.9937406618136977e-05,6.9736109459445135e-06,4.151215708168621e-06,5.463690677173476e-06,4.9524655509515655e-06,4.8427118978815e-06,4.635711461330506e-06,5.18508875645824e-06,6.499085841677007e-06,8.359578191178343e-06,4.752488318424381e-06,6.847437718060864e-06,8.538580205740298e-06,4.268949822242783e-06,4.633122219616294e-06,4.517247015712079e-06,4.6126108157747044e-06,5.148547213895139e-06,4.256428380748845e-06,3.945541477583995e-06,4.592269938345528e-06,5.209674474758996e-06,4.1349601607445315e-06,6.897656442826929e-06,4.669432449626182e-06,1.2002248905633974e-06,7.702226854687808e-06,1.786651875446738e-05,3.3788709905662906e-06,5.307463251491375e-06,2.5461013944920596e-05,4.598239828492207e-06,5.045896464193631e-06,4.606126353605251e-06,4.801559560627914e-06,4.2494919391563295e-06,3.922607406974751e-06,6.206129267570114e-06,7.995059877244454e-06,4.6833444028872065e-06,5.947335009055938e-06,5.5169455464730394e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,6.964291510142557e-08,1.0773209499714475e-07,6.921843435777858e-08,6.085566094552231e-08,2.2450919443143737e-08,1.0786019421901597e-09,1.1902993778120116e-07,8.506555982163503e-08,3.944659085176846e-09,2.712269355217782e-07,7.22490244425046e-09,1.7479321629408722e-09,5.8781091537627854e-08,8.589572687762586e-09,3.7991110183876783e-10,8.387505588850542e-09,2.0287466073391409e-07,1.6775746390277201e-09,1.6440077755772787e-07,5.665579948089451e-09,8.447001472907735e-08,2.1054765509735027e-07,5.833177395802971e-10,1.0619814823952047e-07,6.270218584899126e-08,9.766095048918835e-10,1.6277522502088337e-09,7.856033140091522e-08,3.7121758930266695e-08,5.09767227984435e-08,1.0560258907863646e-07,1.5106544979287715e-07,5.235345907426949e-08,2.2448646997868947e-07,1.6600601281443597e-07,4.182605774209867e-08,1.550084157207697e-07,9.121031214557005e-08,7.22490244425046e-09,8.589572687762586e-09,3.861729882545492e-09,9.224466425543776e-08,2.0583213774174416e-07,3.400625299983452e-08,6.130823923172719e-08,1.6316230437873086e-07,7.925306284262727e-08,1.1719308734954459e-07,2.52611309262098e-09,1.448423530831962e-07,2.8970091801532786e-08,2.51910433147122e-08,2.3552242610930973e-08,9.510756872477921e-08,6.36836845590999e-08,2.0996205853363497e-09,7.222315393821104e-10,8.097489458671449e-10,1.7719796049537222e-07,5.482636357019939e-08,1.7479321629408722e-09,4.182605774209867e-08,1.8936005154597135e-08,7.518328165639483e-09,5.5374283723563745e-08,4.678472156124641e-08,0.0,1.0603193525585328e-09,2.21750519789497e-09,1.2166345054054738e-07,6.162799628436756e-10,1.8188658286483873e-07,5.395503359421181e-08,5.819712797134375e-10,8.420419967244543e-08,2.05152877574701e-09,9.904912268594835e-07,4.60162820228787e-08,5.2757301611503975e-08,5.395503359421181e-08,1.0890551480752008e-09,1.1783478720301842e-07,9.307256685327804e-09,2.1495204012517283e-07,9.842753439524008e-08,1.700211241863776e-08,9.387689389077812e-08,1.4768654557176468e-09,7.513886260388248e-08,1.783529998893602e-09,2.7219827642706286e-08,4.851758245689054e-07,8.05629067675133e-08,1.9746644688184344e-07,0.0,4.1308170507995526e-08,4.998136502309101e-10,1.217416358249402e-07,4.983307247847646e-10,2.1262981426039265e-07,1.6598855378809662e-07,0.0,5.187771430267745e-09,1.5272169029498896e-07,3.958875201496524e-08,8.410434802656487e-09,4.978327957854563e-08,1.0036468450687826e-09,4.827184288619686e-08,1.0038814215231516e-07,4.754485290067856e-07,4.1108114239935e-09,1.4965810204307462e-07,3.974806553591043e-09,2.545411357959639e-07,1.7087200358212255e-07,7.21348014926732e-08,2.0177118739284004e-07,9.491104373238037e-08,2.904425445115712e-07,3.568389912236565e-08,4.949872558406496e-08,3.56258425895133e-08,6.87630896818286e-08,0.0,1.9169980662723778e-07,1.5275641523357541e-07,4.115217864048251e-09,5.809272291835289e-10,4.265156944439099e-09,2.2268446087627537e-07,5.692572112844421e-10,2.6495785618946453e-09,7.289026479610631e-08,1.966487460638708e-07,4.69977609876638e-10,3.3245439646240955e-06,3.081175038806584e-09,3.803492862718563e-08,1.2590911606910972e-09,2.7992161586629566e-07,4.5755425688503995e-09,2.1199580375198832e-07,5.887445876901362e-07,8.868755988703008e-08,9.357546625042571e-08,5.694265159509382e-08,1.7054490436018056e-07,1.615186665134837e-07,2.2029769366964776e-07,1.5366251894077532e-07,6.094694887802341e-08,3.227988428280426e-08,1.0344437165519079e-07,1.6735601099695467e-07,2.9365701956873408e-08,1.0954719117341313e-07,3.104670550210298e-09,1.1507116042170434e-09,1.8573320561978038e-07,2.528512139125134e-08,1.0954719117341313e-07,1.1987050099947266e-07,2.123514078120762e-07,6.198990967699356e-08,1.0954719117341313e-07,7.618488787984778e-08,3.49637852630588e-07,3.095312652928949e-07,1.7959980125326173e-07,5.383613455014571e-10,2.054728862818009e-07,1.2984464906408932e-08,1.1959553036375263e-07,5.2757301611503995e-08,1.0344393678269098e-07,1.556744492992117e-09,2.417283348131904e-10,1.0829308906087624e-07,1.199660276245023e-07,1.1259405345861687e-07,1.2734701922586422e-07,3.730201125107424e-09,8.775184848759582e-08,0.0,7.995824188676968e-08,1.9499547245378088e-07,1.3410700407371882e-07,4.420591471644256e-08,8.437427418841047e-10,1.5290290911647576e-07,1.127143855188275e-09,4.154422832204383e-09,1.2192134327182634e-07,3.448144181730574e-08,1.0130239604236837e-07,9.15650550981144e-10,2.1993756306150134e-09,8.162878212907725e-10,1.619544861301059e-07,2.1615513666937897e-07,1.6833363458959692e-07,9.130627151196424e-08,4.9338648779517516e-08,5.2290899829399315e-08,1.465397682967854e-07,3.0113312095819066e-07,4.10886602218081e-08,1.8041422431978724e-07,1.0497982810668857e-08,1.9448230728363812e-07,1.7314598271040708e-07,8.676506730054758e-08,1.106208532710749e-08,2.6046696613913074e-10,1.81903468746049e-07,7.820493930862883e-06,1.388211737411464e-08,1.155153900171542e-07,1.5266415199488515e-09,0.0,7.954731043861639e-08,6.086860301447484e-08,6.263262837889738e-10,0.0,5.398053002043939e-08,1.378612112280279e-07,6.059499651480703e-08,2.583940573034637e-07,1.6588308449028704e-07,3.990948814494783e-08,1.8041422431978724e-07,1.4145918201238195e-07,1.5252328116862876e-07,1.6103131148103806e-07,1.5845152004034635e-07
