,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.700122417592686e-06,9.250389113204604e-06,9.325381812224921e-06,7.562038735228416e-06,8.705006479716348e-06,9.153133897201447e-06,9.29494483305373e-06,7.783840439364268e-06,7.72499666174323e-06,9.602884854446161e-06,9.019411977566505e-06,9.237493578492885e-06,7.69335659555937e-06,9.183710305275616e-06,9.312797495386415e-06,8.219739117898762e-06,9.464624971112913e-06,9.24023958493704e-06,9.440759426522452e-06,9.05521785714641e-06,9.242901573841254e-06,9.60798471108472e-06,7.238547922669969e-06,9.1864130213228e-06,8.953076915707409e-06,9.283226553626944e-06,8.99241473395605e-06,8.576053708375662e-06,7.513579628217572e-06,8.154917624639592e-06,3.792511896798988e-06,7.755220348237101e-06,9.494086141528878e-06,9.5926743754205e-06,0.0,9.158643404628645e-06,9.2557069091537e-06,8.460916491641217e-06,9.183710305275616e-06,9.11945645724219e-06,8.910305394595356e-06,9.607305199508869e-06,9.261327420687752e-06,9.522020109662661e-06,9.239190032071478e-06,9.054344337390029e-06,9.243842860442307e-06,5.226809196608378e-06,9.0893069052964e-06,9.037427587343521e-06,8.615168031874247e-06,8.635867251225865e-06,7.532061771601836e-06,9.185036687021523e-06,7.576241402208671e-06,8.531729963450461e-06,9.272576882598425e-06,9.263479605501471e-06,9.54757297819327e-06,8.745655003805579e-06,9.225394185862735e-06,7.712950093445207e-06,8.940104799317683e-06,2.4658031118006512e-06,8.638664020423397e-06,9.558328720790436e-06,9.263479605501471e-06,9.1560157458729e-06,9.361020077703921e-06,9.567754610934083e-06,9.47838347156534e-06,9.49640870299572e-06,9.062258704129937e-06,9.285976744537339e-06,8.91337860979261e-06,9.199996305063286e-06,9.572092799177116e-06,9.048195976699513e-06,8.020632067707767e-06,9.062258704129937e-06,7.777667869871029e-06,9.221878455499462e-06,9.09721638008459e-06,9.397300048009732e-06,9.313055245466153e-06,8.712400665992118e-06,8.789846519371744e-06,7.303081155311414e-06,8.134483779125138e-06,9.215958045554102e-06,8.768336523716464e-06,1.0075911015334765e-05,7.31491680772129e-06,9.631283299661924e-06,0.0,8.534184472229979e-06,9.065627937071319e-06,8.196051867879143e-06,9.746800989546088e-06,9.64041503714764e-06,9.592459175471777e-06,1.0100434383521308e-05,8.786309429228107e-06,9.305475024491213e-06,8.700047960969309e-06,9.114265835274998e-06,8.538708752665967e-06,8.506627232474851e-06,8.422779169233843e-06,8.908038306517358e-06,9.423403511482143e-06,8.436191913653563e-06,8.810567010222193e-06,8.546123469402495e-06,9.564947940757284e-06,9.415996048489172e-06,7.542633745154541e-06,1.011892077090646e-05,9.075090656646182e-06,9.580777925644942e-06,9.31007852086852e-06,9.380775864389347e-06,9.403337892638366e-06,8.343146665874225e-06,0.0,9.531153891917288e-06,9.190127510374221e-06,9.108021939647754e-06,9.260965254849989e-06,9.210297823149326e-06,9.436399851260596e-06,6.308947627136904e-06,8.731690134814407e-06,9.470269718367818e-06,9.49134834129937e-06,8.64523524821457e-06,7.697996586236057e-06,8.88075935361602e-06,9.138638974062566e-06,9.024388548506832e-06,9.590545948413606e-06,8.94708499189901e-06,9.585085842427307e-06,1.0068395602806243e-05,9.312228936568828e-06,8.894125380148843e-06,7.425102992783389e-06,9.126603229630049e-06,9.39204820750627e-06,9.627806351367484e-06,9.171031247346128e-06,9.09444541844887e-06,9.352428960324585e-06,9.211326622352244e-06,9.288474139712486e-06,8.737955980274122e-06,9.209612140558748e-06,9.028466944827641e-06,9.10528864810509e-06,9.586603927339237e-06,9.153049932759582e-06,9.211326622352244e-06,9.380698992814972e-06,9.550665903379128e-06,9.007847974332513e-06,9.116247060505501e-06,8.492292432156245e-06,9.678210102246913e-06,9.37449302828715e-06,9.598686524429743e-06,9.220488507666559e-06,9.316821065024554e-06,9.096747626252167e-06,6.901902546810399e-06,8.020632067707765e-06,9.191639331651743e-06,9.115910070415454e-06,9.225187692393514e-06,9.257787776972332e-06,9.471174772654246e-06,9.018899290854389e-06,9.15360524991925e-06,9.124736593592334e-06,1.0100434383521308e-05,0.0,9.122218464627693e-06,7.963880752813028e-06,9.29825546827162e-06,8.42659686683072e-06,9.31071447407113e-06,9.5001213283739e-06,9.088414336712311e-06,9.010041691350498e-06,9.296409606318128e-06,9.146258882396975e-06,8.27120874197224e-06,9.399793484149384e-06,8.909382759057226e-06,9.301442966925703e-06,9.311144209725175e-06,7.4805572822589005e-06,9.089995129962939e-06,8.00512656741445e-06,7.38660520650917e-06,8.344890276735863e-06,9.445134631838442e-06,9.48958467930833e-06,8.67469508883855e-06,9.470642279729216e-06,6.4628706819819384e-06,9.597875907116294e-06,9.850898792660675e-06,7.538187167571328e-06,8.914067128953505e-06,5.644562475814403e-06,9.562568151938135e-06,9.602568273932885e-06,8.031255651129072e-06,9.337251196461115e-06,6.015388247393667e-06,9.028466944827641e-06,6.8730924481788654e-06,7.3713288396665134e-06,5.084988012644445e-06,9.028466944827641e-06,8.519470970340317e-06,7.126797482657246e-06,7.449901426712697e-06,9.714581028628257e-06,9.467277538943409e-06,9.264606079386934e-06,9.470642279729216e-06,9.601705536958409e-06,9.195524539628393e-06,9.331933708616518e-06,9.231633343084156e-06
Agricultural and forestry machinery,8.970146768617489e-07,3.566789886646773e-06,1.1932962447640946e-05,5.255553181122788e-07,2.0004527920638837e-06,0.00011622167087533175,4.910651433088736e-06,3.9570326322241e-06,9.76121720196362e-06,2.2124821813202602e-06,1.1118015192449954e-06,2.4272699329688746e-06,8.761714783377827e-07,1.1103310739714627e-06,1.138298768358688e-06,4.532237952774683e-06,7.906355011415666e-06,1.6798233585358447e-06,1.0370552239274996e-05,2.9753716541959706e-06,1.809129768185626e-05,2.8875903343823117e-06,3.3478887514350168e-06,2.3438874131484486e-06,2.0369951632608905e-06,7.155762381100694e-06,2.858480945104415e-06,1.6423068406252744e-06,5.747168500210039e-07,4.083918389053378e-06,2.041484290463262e-06,1.3387249801458114e-06,2.6122527887587003e-06,2.882644876237556e-06,0.0,5.137178752846445e-06,5.413671323956237e-06,1.1541237769143608e-06,1.1103310739714627e-06,1.984020505991918e-06,1.103101378041558e-05,2.2524824270198667e-06,1.0811283887925592e-05,6.084423478862152e-06,2.7253969758523603e-06,3.7184980814361e-06,2.3422123910835098e-06,4.381855862457825e-06,2.870644983165037e-06,6.418123026999827e-05,5.943963063116821e-06,4.042833206693409e-05,1.3362311443810413e-06,1.1103310739714629e-06,1.0432483482162791e-06,2.6081181495202694e-06,1.4198283898207066e-06,1.3010533873459023e-06,2.381608239292635e-06,4.885521218181312e-06,2.7714510565752124e-06,1.4089152182308149e-05,1.4623287467995406e-05,4.989755009248123e-06,7.408309781127822e-06,1.7581591044417e-06,0.0,0.0001474944429828952,1.639204084502507e-06,2.025460685155585e-06,2.277330926357695e-06,2.4459321384608982e-06,2.317923422027774e-06,2.4272699329688746e-06,5.574935337858285e-06,2.4129011736311612e-06,1.7156775588936056e-06,4.371907381349586e-06,1.8123070638077174e-06,2.3007303358579502e-06,4.191414068897377e-06,1.004113246966016e-05,0.00013526015782326032,6.49147932609423e-06,8.600455817555503e-06,4.69381215111143e-05,7.363408633586612e-05,4.25628380603418e-06,3.3895548794271126e-06,2.5463801680873803e-06,8.898449079069475e-06,2.539649914936625e-06,2.667214271334202e-06,3.2034995143548865e-06,0.0,3.5534744640118424e-06,1.7308718312906278e-06,1.5648667165932884e-06,2.2873373877424094e-06,3.330800463721062e-06,3.072335358374414e-06,5.255553181122788e-07,4.166421729581416e-06,2.6932785562198608e-06,3.229685451796671e-06,2.0723318343049087e-06,4.789489268049878e-06,1.0598426696823105e-06,5.307816104554913e-06,3.4096744130315647e-06,2.005780799832682e-06,2.6610403279112184e-06,4.4791958553790635e-06,2.6826988068410875e-06,2.8464883417820445e-06,4.760198106289676e-06,7.221425209630363e-07,4.901542080939427e-06,2.8428238699370342e-06,2.6071819909545344e-06,4.642192720696577e-06,2.4299582508694043e-06,4.250592338417104e-06,7.700539425267143e-07,0.0,2.6903367612113425e-06,4.6132646697593235e-06,7.93759482978513e-06,2.1852093789576374e-06,3.3145786973113173e-06,1.4290388620995411e-06,3.487759645105223e-05,3.7017599590102055e-06,3.8342512297594115e-06,1.4960404189700663e-05,3.7628026607819267e-06,1.359466014203158e-06,3.475599054213906e-06,1.174303445945067e-05,5.296894259771199e-06,2.8714624326530082e-06,3.2036417200845613e-06,2.771507806841837e-06,2.0800235598398073e-06,1.4973120780952228e-05,3.828617583516244e-06,5.255553181122788e-07,3.0684930411379033e-06,3.224007905512835e-06,2.9755470654245813e-06,4.684614498133883e-06,3.417262200855187e-06,2.5102082677175743e-06,1.3123633329289174e-06,4.5517938582536895e-06,9.450994433168285e-06,1.7162140532994846e-06,2.048830797695924e-06,1.7956494403998146e-06,2.814237438780688e-06,1.1437965417735656e-06,2.3553028694398327e-06,1.12640461912875e-05,5.213956154584402e-06,8.461416631014723e-06,2.0515415439797357e-06,1.902061128319112e-05,2.918998326542919e-06,1.8609683964566998e-06,2.6949089654072975e-06,1.7392149595606369e-06,2.2524824270198654e-06,5.026680249049893e-05,3.3114129519571932e-06,1.8123070638077167e-06,3.2626974413148934e-06,1.0406832750499493e-05,3.084787796907098e-06,4.729652817839216e-06,2.8039535119911367e-06,5.416372702340133e-06,3.506767618457742e-06,8.719807859343753e-06,2.992883631502723e-06,0.0,2.7784381332354774e-06,2.109262182877621e-06,2.624957515891497e-06,6.451337031663636e-06,1.5295223382982232e-06,2.4177098475490743e-06,2.3351853252260618e-06,2.5860465665927325e-06,1.0310353524267982e-06,4.926551688656766e-06,6.239927416782917e-06,1.943662284530761e-06,1.4180130886497226e-06,1.5977299673052018e-06,5.280153944842729e-06,7.252134526895011e-07,3.890922916262195e-06,5.573723195179658e-06,8.185968944681805e-07,2.6192289870102284e-06,7.591636043847898e-06,2.9187496654880563e-06,2.6039527292145805e-06,1.6798233585358447e-06,2.131580324576349e-06,2.5091388175433665e-06,2.5891795693917362e-06,5.18360868035077e-06,7.799794819925131e-06,3.1434507308632043e-06,2.4041837814755507e-06,1.99494196101283e-06,4.12610674895863e-06,3.824600202783766e-06,2.0777336691529353e-06,1.1692111550057997e-06,3.4539604043947125e-06,5.255553181122788e-07,2.3277224423456933e-06,0.0,7.871868847361249e-07,5.555314700905652e-06,9.437594871960723e-07,2.8089309112601555e-06,1.9846938146571316e-06,2.1220926655565535e-06,2.651657427024005e-06,3.005460395711895e-06,5.755961066147923e-06,4.088306544775267e-06,4.975843737927959e-06
Aircraft and spacecraft,2.426430852957465e-06,2.245347318502701e-06,1.9937673985803742e-06,2.2698250445155246e-06,1.2681073529793414e-06,1.737872073481142e-06,2.274406175121282e-06,2.3706089307185264e-06,1.7955062713053236e-06,2.5488239861536412e-06,2.1128543767150527e-06,1.451778154140498e-06,2.034776692315828e-06,1.5388004464747598e-06,2.2332939677515394e-06,2.3048344933219877e-06,2.085100018002949e-06,1.7161736735943394e-06,1.8402891639945242e-06,2.439195411066938e-06,2.129786533557872e-06,1.8216141013153322e-06,2.0606316486949984e-06,2.3232133364756583e-06,2.5325897102315583e-06,1.0818174136569553e-06,2.3682452589155495e-06,2.5630528740243044e-06,2.5875872711263745e-06,2.106905251412236e-06,2.174915983557125e-06,2.47338929792783e-06,2.4854562742315464e-06,1.1367299456243829e-06,0.0,1.626089573421503e-06,2.227554903466767e-06,2.210899530024851e-06,1.8693620508138771e-06,2.250931805615008e-06,1.6173956630342083e-06,1.96799146084563e-06,1.3155613018522562e-06,1.6720049922044997e-06,2.0612986494030544e-06,1.743467303792277e-06,1.913435263674599e-06,1.7274206878190596e-06,2.353955649575703e-06,1.411715381036702e-06,2.4833235239119965e-06,1.2870885816064175e-06,2.415814552757728e-06,1.5388004464747602e-06,1.970862262825046e-06,2.323523822138181e-06,1.466417376902994e-06,1.993666057985888e-06,2.4476847942578906e-06,2.5988369682179986e-06,2.3162887816298114e-06,2.379888683475673e-06,1.983385228638822e-06,2.5610763032140537e-06,2.183597857001211e-06,2.254949152128473e-06,0.0,9.162644172524109e-07,2.463994742162437e-06,2.4998183279567024e-06,1.5644434556824743e-06,1.2910777729299402e-06,2.608097608165242e-06,1.0818174136569553e-06,2.4431255277737658e-06,1.9970704348816165e-06,1.9203511363179593e-06,1.680821209320714e-06,2.3131339492073254e-06,2.617120998033914e-06,2.1080391540321385e-06,2.1732518468613923e-06,2.2481617224487184e-06,2.0848869886522517e-06,2.6164230129049803e-06,1.3911990520225688e-06,2.258622154301662e-06,2.0456355976849737e-06,2.2111687397249775e-06,2.3911185829690914e-06,1.8854325500677644e-06,2.35988340091676e-06,2.5431954177558565e-06,2.1787705413892468e-06,0.0,2.40398801825801e-06,1.4682785977724474e-06,2.592209710030195e-06,2.2577588724399355e-06,2.038616956186486e-06,2.1119599433960717e-06,2.086205370091811e-06,1.712843823711995e-06,1.93572636652905e-06,2.2543505763805633e-06,2.083952450566669e-06,2.4183110592437407e-06,6.511749076741478e-07,4.2686436931250116e-05,2.4431255277737658e-06,2.2478540222804047e-06,2.059758301962391e-06,2.1745178572133943e-06,1.8226319110394151e-06,2.262267759290771e-06,1.6224849328782829e-06,2.620586266588628e-06,2.2460976990585785e-06,1.8215087323937729e-06,2.046341089088911e-06,2.1242742535946203e-06,2.281602185227542e-06,2.0353379836213004e-06,2.4785999527646125e-06,0.0,2.225098303646869e-06,2.3761717385404498e-06,2.2897395779220006e-06,2.2878754570263304e-06,2.219526452616148e-06,2.127818358895228e-06,1.361168902835128e-06,2.277725304957117e-06,1.1635674074878203e-06,1.921986666623132e-06,2.309792656376069e-06,2.2973377865552115e-06,2.0097509885689367e-06,1.9648806780809616e-06,2.0828440313991727e-06,1.2923090728918969e-06,2.3968605124639316e-06,2.3664606968397818e-06,0.0,1.7865297901510296e-06,1.5451809091868471e-06,2.5501542597828625e-06,1.9564001602243513e-06,1.3339852720745309e-06,1.9024377040959466e-06,2.3060954654894557e-06,1.1460823730796662e-06,1.2330321970498435e-06,0.0,2.241701704510322e-06,2.23262398427201e-06,2.6208075239858475e-06,2.315194428847433e-06,2.231894455584555e-06,1.7303553987207469e-06,1.5388004464747604e-06,2.1985557131300265e-06,2.035236657643696e-06,2.011145734528438e-06,1.415757283096071e-06,1.0818174136569553e-06,2.3127421729575394e-06,1.9202835531750152e-06,2.5318517856756906e-06,1.9872065717803753e-06,2.4168584862491214e-06,2.1192866944677777e-06,1.3911990520225688e-06,2.5372413885912542e-06,2.3131339492073254e-06,2.593449760728095e-06,2.481931860164922e-06,1.4715115893277137e-06,2.1192866944677777e-06,2.276227992595023e-06,4.7535388970288434e-06,2.0940063705409536e-06,2.1491235531506703e-06,2.086205370091811e-06,0.0,2.2581947828260568e-06,1.6791902015559987e-06,1.921161265435245e-06,2.4002523977519456e-06,2.085424009822404e-06,1.5836522870057056e-06,2.0192240161846963e-06,2.2464908965452614e-06,2.1253504777508755e-06,1.7107556935256279e-06,2.358578265605585e-06,2.3468907284032476e-06,2.1974789289398935e-06,2.4154464316375233e-06,1.8219210193318093e-06,1.8709177615411788e-06,2.0589045405873346e-06,2.2173383266224644e-06,2.2660478700884465e-06,2.1068315556234164e-06,1.6425176215334379e-06,2.0892355422063243e-06,2.1801054158664283e-06,1.7900583723634532e-06,2.1085278905979404e-06,1.8002966984189442e-06,1.7900408633640873e-06,2.5313167472060887e-06,1.240107426781703e-06,1.8178590526690458e-06,2.2478540222804043e-06,2.4370279711735334e-06,2.184522711087474e-06,2.31529438456391e-06,4.3587745099939546e-07,2.288440899831834e-06,1.4051327700313777e-06,2.6208075239858475e-06,2.440605634986632e-06,2.6171209980339136e-06,2.583342574919249e-06,2.442686004161301e-06,1.7827355970563528e-06,2.118641496195901e-06,1.5978195955697673e-06,1.684395294990193e-06,2.251811773307303e-06,2.1756933147020076e-06,2.286441066694059e-06,2.122396433957642e-06,2.2340071165701486e-06
Animal feed ingredients and pet foods,0.0,1.0000000000003049,1.0000000000003069,0.0,1.000000000000305,0.0,1.0000000000003064,1.0000000000003058,1.0000000000003055,0.0,0.0,0.0,1.0000000000003064,1.0000000000003055,1.0000000000003053,1.000000000000305,1.000000000000305,1.000000000000305,1.000000000000306,0.0,1.0000000000003062,1.0000000000003058,1.0000000000003058,1.0000000000003058,1.000000000000305,0.0,1.0000000000003053,1.0000000000003058,0.0,1.000000000000306,1.000000000000306,1.0000000000003062,1.000000000000306,1.0000000000003055,0.0,1.0000000000003066,0.0,1.000000000000306,0.0,1.000000000000306,1.0000000000003062,1.0000000000003069,1.000000000000305,1.0000000000003055,1.000000000000306,1.0000000000003069,1.000000000000306,1.0000000000003069,1.0000000000003064,1.0000000000003062,1.000000000000306,1.0000000000003064,0.0,0.0,0.0,1.0000000000003053,1.000000000000305,1.0000000000003053,1.0000000000003062,1.000000000000306,1.0000000000003015,1.0000000000003055,1.0000000000003053,1.0000000000003049,1.0000000000003058,1.0000000000003062,0.0,1.000000000000306,1.0000000000003044,1.0000000000003049,1.0000000000003042,1.0000000000003053,0.0,1.0000000000003062,0.0,1.0000000000003042,1.000000000000306,1.0000000000003055,0.0,1.0000000000003053,1.0000000000003058,1.000000000000305,0.0,1.0000000000003058,1.0000000000003053,1.0000000000003069,1.0000000000003062,1.000000000000305,1.0000000000003058,0.0,1.000000000000306,0.0,1.0000000000003053,1.0000000000003069,0.0,1.0000000000003058,1.000000000000305,1.0000000000003064,1.0000000000003055,1.000000000000306,1.0000000000003055,0.0,1.0000000000003053,1.0000000000003058,1.000000000000306,1.000000000000305,1.0000000000003066,1.0000000000003058,1.0000000000003069,1.000000000000306,1.0000000000003069,1.000000000000305,1.0000000000003055,1.000000000000305,1.0000000000003058,0.0,1.0000000000003058,1.0000000000003062,1.000000000000306,1.0000000000003055,1.0000000000003064,1.0000000000003053,1.000000000000306,1.0000000000003066,0.0,1.0000000000003064,1.0000000000003064,1.0000000000003042,1.0000000000003058,1.0000000000003046,1.0000000000003055,1.0000000000003053,1.0000000000003049,1.0000000000003055,1.0000000000003053,1.000000000000306,0.0,1.0000000000003058,1.000000000000305,1.000000000000305,1.0000000000003055,1.0000000000003055,1.0000000000003069,0.0,1.0000000000003066,1.000000000000306,0.0,1.0000000000003064,1.0000000000003066,1.000000000000306,1.0000000000003066,1.0000000000003058,1.000000000000305,0.0,1.000000000000305,1.000000000000306,1.0000000000003053,1.000000000000305,1.0000000000003053,1.0000000000003044,0.0,1.0000000000003053,1.0000000000003062,1.0000000000003069,1.000000000000306,0.0,1.0000000000003046,1.000000000000306,0.0,1.0000000000003053,1.0000000000003055,1.0000000000003069,1.000000000000306,1.0000000000003058,1.0000000000003062,1.0000000000003062,1.0000000000003055,1.000000000000305,1.0000000000003046,1.0000000000003058,1.000000000000306,1.0000000000003062,1.0000000000003069,1.0000000000003053,0.0,0.0,0.0,1.0000000000003058,1.0000000000003062,0.0,1.0000000000003055,0.0,1.000000000000306,1.0000000000003055,1.000000000000306,1.0000000000003062,1.0000000000003053,1.0000000000003053,1.0000000000003042,1.0000000000003069,0.0,1.0000000000003058,1.0000000000003049,0.0,1.000000000000305,1.0000000000003055,1.000000000000306,1.0000000000003049,0.0,1.0000000000003053,1.000000000000306,1.0000000000003055,1.000000000000305,1.0000000000003058,1.0000000000003058,0.0,1.0000000000003064,1.000000000000306,1.0000000000003055,1.0000000000003049,0.0,1.0000000000003053,1.000000000000306,1.000000000000305,0.0,1.0000000000003058,1.0000000000003066,0.0,1.000000000000306,1.0000000000003069,0.0,1.0000000000003055,1.0000000000003066,1.000000000000307,1.000000000000307,1.0000000000003062
Articles of concrete cement and plaster,8.396053905384357e-08,3.7098910221900364e-07,1.8478332565995358e-07,1.3692248552255614e-08,3.535597145539055e-07,1.4761413567622447e-08,4.2678380806910456e-07,2.7054434174923305e-07,1.607590636549456e-08,5.195788783070516e-07,3.612228115205901e-08,7.367281915612271e-09,1.4534203349727342e-07,2.2592212123035204e-08,1.1220783467606451e-08,3.164215614559109e-08,6.114518209490173e-07,1.5251516226154837e-08,7.012822025864928e-07,2.4100738725906042e-08,6.750107488681316e-07,5.664747524039837e-07,6.80256431388547e-09,4.5968452171664e-07,5.908145321552138e-08,2.6064292963743924e-08,2.8292249005746894e-07,7.567412240099605e-08,2.5203192125524104e-08,3.4304776935842167e-07,4.4592355510599277e-07,8.250858298605622e-08,5.726999296386766e-07,4.946751595545413e-07,7.002351055402804e-08,5.05690567196759e-07,2.632124227749832e-07,3.612228115205901e-08,2.2592212123035204e-08,2.673358629392018e-07,3.224147742364996e-07,5.784795768356438e-07,1.4042310372999847e-07,3.9995486529704863e-07,4.969748874234699e-07,3.859121386479712e-07,3.391823656753456e-07,8.710320563030605e-09,4.5326016984518065e-07,1.0337541801845414e-07,7.347737022917443e-08,3.2372791560091774e-07,4.310963128052312e-08,2.2412633493884788e-07,9.970707630919173e-08,5.1904152713791225e-08,6.473339392320239e-09,6.232274938711345e-09,6.476397200593747e-07,8.19137500087048e-08,7.367281915612271e-09,7.002351055402804e-08,3.047706629142802e-07,1.9046978024629833e-08,4.6566403782579077e-07,7.114420483134683e-07,0.0,1.4604151496423099e-08,1.4230188723637986e-08,4.4423023163490286e-07,3.6303392239328835e-09,3.8409885171348636e-07,6.00169187212423e-07,1.2394720511639697e-08,3.266435857050219e-07,1.281097714392464e-08,4.663356403537136e-07,3.6175412670948407e-07,3.221721719112444e-07,6.00169187212423e-07,6.123664027566503e-09,3.5068271078051735e-07,1.0266928702552967e-07,4.814707330179332e-07,3.2830234453860906e-07,2.5643847109401236e-08,2.837842630554043e-07,2.5977467564344405e-08,1.2680300698153098e-07,7.54596302165835e-09,8.24831264824996e-08,6.116479234835393e-07,2.77324424004657e-07,5.869073836783488e-07,0.0,7.592316532336923e-08,5.016291226525526e-08,1.3921735728689246e-07,5.972697931163102e-09,5.561688820617239e-07,4.946676775233829e-07,0.0,4.629911053411587e-08,5.282601861159758e-07,1.2778784992314835e-07,4.066614269025323e-08,2.858326705770073e-07,1.9431404748018837e-06,9.455457579075052e-08,4.1054779583064834e-07,5.22014657367131e-07,1.3689615360735836e-08,4.7067868595736267e-07,1.3638570708288485e-08,5.612614507515714e-07,3.83657543281269e-07,3.489982348283656e-08,6.261912736637786e-07,6.062164685432584e-07,5.549224811424759e-07,4.102912143141394e-07,2.249490939036973e-07,4.133836870200176e-07,7.475755877565521e-08,0.0,4.673261893001006e-07,5.021340209523104e-07,2.0161117970838908e-08,7.659261597414263e-09,2.5448460235084953e-08,5.788112412247177e-07,3.36735213483725e-09,2.2199750258332922e-08,3.618877184482094e-07,5.054115892037858e-07,1.409074839451347e-09,3.4491865865976e-07,1.0339522472632248e-07,1.865206502836052e-07,4.333897684843646e-08,5.556803284208864e-07,1.7510533494764918e-07,5.380199640136316e-07,6.147993765451283e-07,2.4878268067890513e-07,5.984592405430154e-07,1.3244561596586164e-08,6.106227503501937e-07,5.02406833608528e-07,5.659078123249211e-07,5.021194928523449e-07,2.0801309210279712e-07,1.3930997263727945e-07,3.0731142226125777e-07,4.949982603386139e-07,7.153268829293078e-08,3.256298412738905e-07,1.6826432909719318e-08,6.399392017697976e-09,5.093806780026236e-07,5.7420001141147894e-08,3.256298412738905e-07,4.27611628654258e-07,5.266517224607375e-07,1.8604728952282348e-07,3.256298412738905e-07,2.4971351664565084e-07,5.466968624805844e-07,5.497184636940918e-07,4.5304983363741185e-07,3.1331633646540896e-09,5.777540849960018e-07,1.3174325702695493e-08,3.6855301384890836e-07,3.2217217191124463e-07,4.178709188549143e-07,8.327560724922997e-09,7.979910398902125e-09,3.815039434573521e-07,3.38364986275178e-07,3.8333329812418533e-07,5.601342190861674e-07,9.57552533940805e-09,2.003094004020245e-07,0.0,5.506746140785217e-07,5.175469839927096e-07,4.367596421848969e-07,1.0141867332713954e-07,9.185907290782662e-09,4.792202995811949e-07,1.4264276031835864e-08,1.0879321362775457e-07,6.528526426068835e-07,8.056462030409423e-08,3.8234203958210323e-07,7.451103754087681e-09,8.565271770195436e-08,6.646502561183697e-09,5.039641386598128e-07,1.6733913109261277e-07,5.212438652354332e-07,3.805225187228868e-07,4.840563289080662e-08,1.628886196265937e-07,4.0355254258018553e-07,5.525836141157048e-07,1.405109843577592e-07,4.615605658858765e-07,4.065230143153658e-08,5.376135133260625e-07,4.5409801997657376e-07,1.9687514588882343e-07,7.638690534747906e-07,1.462146522412276e-09,3.842359247464926e-07,5.305851158161512e-07,3.645451274413431e-08,5.763986366648637e-07,6.443868837527705e-09,0.0,2.9087834119871857e-07,1.360908414143461e-08,2.082260225978321e-09,0.0,1.128290615973293e-07,3.952336061083647e-07,2.06540585098776e-08,5.587781073452375e-07,4.767190981181659e-07,1.1464642317155337e-07,4.615605658858765e-07,4.43910704084325e-07,5.021244105537355e-07,5.047871993748725e-07,4.824527060302911e-07
