,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,7.478826402512404e-09,1.03086235147545e-08,1.0608774219470687e-08,6.991459785496549e-09,1.1045867960435438e-08,1.1217646458753315e-08,1.0557155980812508e-08,8.530853965573754e-09,9.461716949099729e-09,1.021546027808268e-08,1.5862844495893144e-08,1.7676864832352655e-08,7.330069962020405e-09,9.860654277181044e-09,1.689789474576718e-08,9.965133709946306e-09,1.0551587416826867e-08,1.7369355807418893e-08,1.0867661477297469e-08,1.1484973118183292e-08,1.0639436314882773e-08,1.0505168333004673e-08,9.050140312266397e-09,1.0582869698405437e-08,8.16332418261365e-09,1.2467826946831142e-08,1.3135374890440089e-08,1.2109565613870425e-08,8.651795063315792e-09,6.926040751043498e-09,9.004113753650017e-09,4.162962905055992e-09,8.000956118225597e-09,1.0305121051975671e-08,1.0481134584316845e-08,0.0,1.0618619063667175e-08,1.1314012463596106e-08,1.8227286704636856e-08,9.860654277181044e-09,1.142644103651509e-08,9.728586742210361e-09,1.0495301449609447e-08,1.1014638935161643e-08,1.0581799474546368e-08,1.0251549249757349e-08,1.125226900397944e-08,1.1004665438591745e-08,5.620540109918706e-09,1.0747496142058135e-08,1.1051503784664003e-08,9.066382060855914e-09,1.082163903454432e-08,7.799479789132481e-09,9.862383176332137e-09,7.0572925284882745e-09,9.979674104412915e-09,1.2336192618944073e-08,1.184480727493643e-08,1.045668080172166e-08,9.421417079039196e-09,1.2254890448423207e-08,7.62304385645689e-09,1.1357884907174359e-08,2.6794989708162286e-09,1.0534771902749851e-08,1.0582294937703058e-08,1.184480727493643e-08,1.1050248259568347e-08,1.2137169319582294e-08,1.053941408245749e-08,1.236298222964167e-08,1.02682473370501e-08,1.127076900717317e-08,1.3171814157301894e-08,1.0526716226963637e-08,1.2458120179250889e-08,1.0334418053781566e-08,1.1433188075606102e-08,9.366782338491924e-09,1.127076900717317e-08,9.7047338586301e-09,1.0335642322848683e-08,1.1273613444012505e-08,1.0716186878677459e-08,1.0759732747105275e-08,1.0755636304805417e-08,9.935011835165231e-09,9.02994342664861e-09,7.860543777194823e-09,1.217049800230698e-08,9.205964052107367e-09,1.0434531307357239e-08,7.647479673825424e-09,1.0425606418385722e-08,0.0,8.938969216166133e-09,1.3489899266561602e-08,8.277150947121674e-09,1.0763422502331059e-08,1.0429886690837228e-08,1.0464912674380918e-08,9.962388497847018e-09,1.0435118006225019e-08,9.84896795830313e-09,1.1766425206706091e-08,9.990290699287917e-09,1.02386499738074e-08,8.789950758373693e-09,1.0541679765938185e-08,1.0111010697333135e-08,1.0301413231873924e-08,9.544379437482685e-09,1.0308339532551176e-08,1.0504374652588308e-08,1.0177341227601181e-08,7.077279058010619e-09,1.0473960999718424e-08,1.0575604137574972e-08,1.0468438599164874e-08,1.0673671721351598e-08,1.0275465003057985e-08,1.0301602481563867e-08,8.46787925955694e-09,0.0,1.0552658662065921e-08,1.0731717807484081e-08,1.4532902836106552e-08,1.310494732117498e-08,1.4221370121283808e-08,1.017940092486443e-08,7.78391447590745e-09,1.1676133493861009e-08,1.155364893526045e-08,1.021059461138105e-08,9.165639606270937e-09,7.302120420974865e-09,1.107579829135454e-08,1.0700335347405982e-08,1.108858984562899e-08,1.0508191114154617e-08,1.2852961523115212e-08,1.0568663427012273e-08,1.0468950877456873e-08,1.045027852981086e-08,1.0771732675031814e-08,6.749372269108039e-09,1.0487059412426364e-08,1.0470721057865051e-08,1.0335322416844831e-08,1.0624021405160444e-08,1.2280206382950123e-08,1.0912829419748833e-08,1.0141288907524694e-08,1.049922194160835e-08,9.189240139511519e-09,1.01238664915301e-08,1.0637820187425638e-08,1.1511919373350522e-08,1.0465872017466196e-08,9.843619757940587e-09,1.0141288907524694e-08,1.0607326770401685e-08,1.0483580931788869e-08,9.631529021610886e-09,1.0036392053566715e-08,9.273473624328264e-09,1.0376608348693638e-08,1.0139076355911057e-08,1.0379018797681438e-08,2.352221951307514e-08,1.055937867475309e-08,1.1384415166840195e-08,7.414860258497213e-09,9.366782338491924e-09,1.1103153628286648e-08,1.0582588334681919e-08,1.1850874463211476e-08,1.1184074496221593e-08,1.0573693267117571e-08,1.0331636939593532e-08,9.946467065804192e-09,1.2247851888867107e-08,1.0308217937093883e-08,0.0,1.1043865277584669e-08,7.637518054477333e-09,1.0465460432037012e-08,8.898541377147481e-09,1.1572564530350273e-08,1.0286400200423312e-08,1.3819411786143623e-08,1.1679746874501077e-08,1.0430954286102738e-08,1.1186350455335576e-08,8.52351553862033e-09,1.3153249385424228e-08,1.152853251109386e-08,1.4231758116680375e-08,1.0723766083711334e-08,6.888587135315794e-09,1.0842006115433247e-08,8.955508334020522e-09,6.727580025881133e-09,8.788757658501145e-09,1.0604421954470158e-08,1.0517265289766184e-08,1.0323061402420301e-08,1.0134720687665076e-08,7.495365270226561e-09,1.0436436612429456e-08,1.0434820967637873e-08,8.182480297340954e-09,1.114877517888083e-08,6.500554381949127e-09,1.0492911341140726e-08,1.0604404168865216e-08,8.77947724649644e-09,1.0386493965801147e-08,8.382950272461288e-09,1.063782018742564e-08,8.28377418491027e-09,6.600862094535294e-09,5.931163168803539e-09,1.0637820187425637e-08,8.883312586563877e-09,7.600465175717694e-09,6.800102191938064e-09,1.0490700969824484e-08,1.0492487119035077e-08,1.2146697464157206e-08,1.0134720687665076e-08,1.0452531489647157e-08,1.0766455533431748e-08,1.0503196991174002e-08,1.0651423705869506e-08
Agricultural and forestry machinery,1.7197916602805707e-07,1.879412853195962e-06,1.7987682996209502e-06,1.2537635763535756e-07,3.115957805336486e-07,1.3003424780314103e-07,1.1305126966804683e-06,2.6416848715864184e-07,3.489264160983845e-07,6.6017724010462e-05,2.0198015423087576e-07,1.4515833120189252e-07,1.7168047721658497e-07,2.0185755350757383e-07,9.704650908744288e-08,3.8529534436062633e-07,9.197409349368182e-07,1.8820498923922672e-07,7.116086237234689e-07,4.7043482039159887e-07,4.335014946223797e-07,2.0725916634040726e-06,1.973829375829232e-07,3.5410766504349767e-07,1.761331242383506e-07,2.896136168487558e-07,2.1362816676035255e-07,3.123584363324991e-07,2.4055311057456783e-07,1.2621994368509778e-07,2.9365677272508857e-07,2.39935951347995e-07,1.6369308020959254e-07,7.960415211172429e-05,3.2369258525030644e-06,0.0,1.1545018836993105e-06,1.406436365504694e-06,2.0578416021857845e-07,2.0185755350757383e-07,1.76877640162965e-07,3.270237208343419e-07,3.3292628867559203e-07,1.044665566936847e-06,7.173691027219498e-07,6.221685769753193e-07,8.110531484045702e-06,1.1967598901510017e-06,3.5543782791183977e-07,7.197361780702972e-06,2.3947158813732855e-07,3.883939042523921e-07,1.952087901867704e-07,2.5643056284843865e-07,2.0185755350757383e-07,1.6677100559542427e-07,5.478722051219987e-07,1.483658495391189e-07,1.435756019823332e-07,6.114749566925201e-07,2.1405644001530602e-07,2.2163565489981255e-07,4.893000952313962e-07,5.064298132563669e-07,8.357750831157683e-07,2.2208967876271848e-06,1.899484834295387e-07,0.0,1.2422972123068838e-07,2.5101613817006765e-07,4.028239909260666e-07,1.3278143751736375e-07,2.035496222140051e-06,6.138280279952069e-07,1.4515833120189252e-07,4.0279535812264733e-07,2.0726415054632017e-07,1.7117539652927058e-06,1.0519462454256449e-05,2.204430813187629e-07,2.8773670212509073e-07,4.015861192503657e-07,1.1028049401322682e-05,1.379812463471332e-07,6.04770394276303e-07,6.14314772564971e-07,2.668828539089777e-07,2.1108841183794238e-07,2.0335704644028047e-07,3.3302654490368243e-07,2.1870212297348355e-07,4.2725303381606707e-07,0.00010403797608207588,4.0785096184913463e-07,7.649247474513075e-07,0.0,3.5701866839636403e-07,1.638365173647573e-07,6.149293509558449e-07,1.824490439138406e-07,1.1630351405776133e-05,2.2559494777314922e-06,2.4023997887257407e-07,3.5815992830266835e-07,3.765812417783434e-07,2.0461871650265525e-07,2.749068881156061e-07,6.43292017795461e-08,2.4265690794993785e-07,5.098684273321162e-07,1.1488689219681328e-06,2.2581872980916162e-07,1.1531270983147603e-06,3.2521493134027974e-07,2.5343759924650147e-06,9.532563051370475e-07,1.4796341537096055e-07,9.882203606103295e-07,3.2362836648231554e-07,1.8618707116075014e-05,3.0965951975093657e-07,1.9655930403281554e-06,4.6950385018287696e-07,1.4526601641183425e-07,0.0,1.9481772359690946e-06,5.030719736371715e-07,2.1607011024699145e-07,1.9194096750639827e-07,1.7675802302348566e-07,1.017396908492532e-05,2.9242953465797274e-07,3.740721869461002e-07,3.315833151462069e-06,8.111353424627606e-05,2.2963197298028002e-07,2.2531192266987826e-07,7.034818775209445e-07,1.3984795347928522e-06,4.6552351622390045e-07,1.833392359050595e-06,5.269936601403281e-07,5.239566105226873e-07,1.6262215398546248e-06,1.3214970637753943e-06,6.657834121937441e-07,1.2537635763535756e-07,8.532634306776784e-07,8.495372654956581e-07,1.4041513864810119e-05,8.728601219777874e-07,3.078120373572669e-07,2.823553937758793e-07,3.837596489570598e-07,1.4378144852510664e-06,3.6314997685376774e-07,8.707920750129781e-07,4.7332127755734967e-07,1.8773814287650556e-07,2.4142792286357558e-06,2.5265528401938094e-07,1.322782397588519e-06,1.0346356427107887e-06,4.5479542697754124e-06,2.954621303482336e-07,2.7463899941088763e-07,3.807160549956576e-07,8.213529586361627e-06,3.1400262659702967e-07,1.9243997569754445e-06,1.1682215449147789e-07,3.329262886755922e-07,2.7672511049998726e-07,2.786193805756102e-07,2.20443081318763e-07,3.304791781920297e-07,8.752334630770016e-07,1.9897137791801855e-07,2.5952767168194635e-07,1.9624862065277778e-06,1.4865380955383808e-06,9.171109209594682e-07,3.902820014758872e-07,0.0008380867785758266,0.0,3.294151577086982e-07,2.785696308755711e-06,1.1026567654593881e-06,4.4637051675588205e-07,1.4592035063073014e-07,5.903527431910234e-07,1.495432996185472e-07,2.616042259557775e-07,4.7375003862852874e-05,1.4315893938887683e-07,9.270329631480033e-07,2.0272668270851415e-07,1.4809957746494082e-07,1.634469163536794e-07,5.748703484602726e-07,1.3158864403724754e-07,3.3346064130563096e-06,3.8662292454439784e-07,1.364871438492026e-07,3.247068737588968e-07,5.365883544036057e-07,2.0641660382628554e-06,3.8939892513393655e-07,1.8820498923922666e-07,3.9597778633236826e-07,2.6940976167702128e-05,1.2051514476123183e-06,2.9238519337243093e-07,5.400127889116278e-07,4.7356622835165393e-07,1.947353667305945e-06,1.6454601732279918e-06,8.72318617208912e-07,1.3392646525533403e-06,2.0641942671180194e-06,2.228964639072381e-07,3.3206230762071117e-07,1.2537635763535756e-07,2.079841082521038e-06,0.0,1.5811187076144946e-07,1.15806981282102e-06,1.5512797028183357e-07,8.4288124184822e-06,4.029133924137084e-07,2.702898362278001e-07,9.406721328576123e-07,6.183367050016355e-07,5.891943741875336e-07,1.2777838936267831e-05,9.717776860918157e-07
Aircraft and spacecraft,1.7593420736762807e-09,7.873497894281034e-09,2.3661553838450057e-09,1.2132368524763317e-09,1.5405458680955496e-09,2.8011147536080182e-09,1.6894326329904121e-09,1.5108510289140176e-09,1.0500846244951632e-09,1.7459458389629238e-09,2.260818177407485e-09,8.867238002586579e-10,1.1372242034237889e-09,1.0254061717997688e-09,2.5697864704825506e-09,6.0447011869157725e-09,6.365550942387831e-09,2.5497500932534982e-09,1.965723973399786e-09,2.842329707058386e-09,1.557168977201705e-09,1.4262317537291977e-09,3.2282779273275317e-09,1.754366548097842e-09,2.010672214788818e-09,1.0649893919870053e-09,1.0343338845348266e-09,1.6167892087891053e-09,9.463006715444045e-10,1.1462547174314003e-09,1.8972322821742793e-09,1.3250455936615808e-09,1.345517666006815e-09,1.4669736483143346e-09,1.0732965163303419e-09,0.0,4.675102782916652e-09,2.8324007912529667e-09,1.197578569041697e-09,1.270777653834117e-09,4.508076422098982e-09,1.754080847593699e-08,1.3564177096019422e-09,1.8014846781444468e-09,2.132057192524555e-09,1.7266834344206669e-09,1.6489216476419788e-09,1.4932651633022184e-09,2.6239345161706375e-07,1.1360506384711753e-08,2.7995997081765865e-09,4.297952193276027e-09,1.078237658894096e-09,2.401169484164595e-09,1.025406171799769e-09,1.0977040032526167e-09,5.96357839530975e-08,8.808829185940659e-10,2.943737347327462e-09,1.1107163467275847e-09,1.9597552694847716e-09,3.394474478731428e-08,1.5845464074237677e-09,1.985398620273926e-09,1.638504553974805e-09,2.074180891504676e-09,3.0526548355160932e-09,0.0,8.620582620213883e-10,1.3428054513196135e-09,1.56747022288173e-09,6.888547493754208e-09,1.0651856776209118e-09,1.8204292170062648e-09,1.0343338845348266e-09,2.484113563896458e-09,3.2973401515697466e-09,1.3927718447277939e-09,1.3829285618604426e-09,3.545958473769563e-09,1.825829174262959e-09,6.835409118337508e-09,2.7477697965078327e-09,6.083953640527372e-09,1.4457385973829757e-09,1.8266024301164374e-09,7.505323191887796e-09,1.808696470485908e-09,2.2185337780014097e-09,1.197466915739557e-09,2.980155383229979e-09,1.3713023173774675e-09,1.848473107809295e-09,1.026969958597858e-09,2.1000116807688426e-09,0.0,1.2414998077662032e-09,4.448925175812476e-08,1.11494749829242e-09,2.13509471669211e-09,2.565683658550582e-09,4.163376931601922e-09,3.519835560857586e-07,2.579208974909462e-09,1.3903804191110004e-09,7.3540522105511455e-09,1.389849349368527e-09,5.66363149697881e-10,1.1420002189529646e-09,2.484113563896458e-09,1.1688264348822115e-09,1.533437640158082e-09,8.053406186646287e-08,1.9349233518065277e-09,2.0634334795036643e-09,1.0596335513030697e-09,9.891001091284299e-10,1.2704054492256011e-09,3.435400532127792e-09,1.622724968735937e-09,1.6303310381479316e-09,1.6026518982675221e-09,3.918571817857089e-09,1.0905304262492724e-09,0.0,1.6147996475879355e-09,1.1419889998273279e-08,1.0251255034665744e-08,1.5716604430371516e-09,1.3150159403351727e-09,2.2717357523403528e-08,1.3081832274042442e-08,6.343653733149404e-09,1.964048988329873e-09,6.404194359820653e-08,1.8187240564489256e-09,4.033880106448867e-09,3.0401951593852152e-09,2.7226537679274956e-09,3.7341727528251264e-08,1.1399632968013907e-09,1.5044319500558353e-09,1.875266898668982e-09,0.0,3.9128508875656635e-09,1.0477211546945837e-09,1.722260315526577e-09,4.6338522328989015e-08,1.4728344704257784e-09,1.6520078325678929e-09,5.962968573144482e-09,1.064481376592857e-09,1.0313922717204983e-09,0.0,2.394821291271573e-08,1.4755482441716773e-09,9.356749583195912e-10,3.550755440770751e-09,6.738629904814052e-09,1.3698682392487076e-09,1.0254061717997688e-09,1.7611033086831211e-09,1.909886497430456e-09,7.657544285823622e-09,1.6938986038161455e-09,1.034333884534827e-09,1.438773417361587e-09,8.773880427576934e-09,9.943715934650749e-10,1.3917178890819322e-09,1.4368902794884907e-09,1.576339812368364e-09,7.505323191887796e-09,1.4519766026307763e-09,3.545958473769563e-09,9.481965881540565e-10,4.5508034176127e-09,1.967598218208454e-09,1.576339812368364e-09,3.605673290945145e-09,1.3599231625939966e-09,2.5181587087004556e-09,2.702018630335563e-09,1.2048457672981543e-09,0.0,4.293625671818159e-09,1.3364721610592213e-09,2.751227488821276e-09,1.6952872747566992e-08,1.2209239669147402e-09,2.6434084283308384e-09,1.169865785063519e-09,1.6549796736751792e-09,2.3964742813998383e-09,6.172389299740447e-09,2.802443576659725e-09,1.490491392880562e-09,3.0860586763487444e-09,9.457048975536493e-09,1.9382433789216285e-09,2.4405687146974675e-09,2.804173638401538e-09,1.6536686699539678e-09,1.2691081424653613e-09,1.643549046356779e-09,1.9936362811632634e-09,4.116742577443344e-09,1.5518033665149345e-09,2.819044511524101e-07,4.321244413076367e-09,4.811841740199215e-09,1.305990331957204e-09,1.166773267078941e-09,1.1046817423284593e-09,1.2097805628478457e-09,1.1688264348822117e-09,1.1762241457596093e-09,2.343682318726948e-08,2.149512250879943e-09,1.00117106547378e-09,2.9471229867642294e-09,1.4484161247549457e-09,9.356749583195912e-10,1.3197786195350807e-09,1.8258291742629596e-09,1.0274810917524276e-09,1.0956797348398335e-09,1.6051687909492776e-09,1.2807746033226298e-09,1.5804607964654452e-09,1.3845816794955164e-09,4.316644418370917e-09,1.7385839481830877e-09,1.28291648023643e-08,5.681716492165673e-09,1.025004741582003e-08
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,4.268759388562441e-08,2.5705665124393065e-09,1.6441830002774431e-09,5.855870636473304e-08,4.900386010109104e-10,3.444010694249582e-11,3.2013702451323074e-09,1.4913830148640336e-09,8.29750896854003e-11,3.593586931891369e-09,2.9822543000182876e-09,1.3756030692665606e-10,4.1409408055029456e-08,2.5123200580165677e-10,1.3827667539527874e-11,1.9202704027897517e-10,3.351682890451682e-09,3.860599583744625e-11,2.995922632778957e-09,1.7871221721984807e-10,1.7296978664774867e-09,3.841759275299385e-09,5.114271528081652e-11,3.6159826250702725e-09,5.577586975457809e-08,2.3134574074201842e-11,1.7616937524538574e-11,1.78824985596269e-09,1.2140066617584925e-08,4.654188893374167e-08,2.7244532419187736e-09,3.2834786565072776e-09,2.9680266449702177e-08,3.804158280312536e-09,3.952039623997782e-09,3.354860403212144e-08,2.8690433870465717e-09,1.690001811827433e-09,2.9822543000182876e-09,2.5123200580165677e-10,3.074844266012511e-10,4.763683397697915e-09,3.801291673533202e-09,1.874705844290474e-09,3.383908696793982e-09,3.3181570731328358e-09,3.80699378844623e-09,2.7497350615516204e-09,1.551773321033827e-10,2.94046501501074e-09,3.594742597436949e-10,1.2053810500697198e-08,1.9286592326530374e-09,1.1441584590744713e-08,1.6539369267549109e-09,5.42478270786934e-08,2.1399191149831356e-10,1.7851574578205687e-11,3.8382815766028226e-11,3.5081921889918837e-09,3.239129418275353e-08,1.3756030692665606e-10,3.354860403212144e-08,4.329267262544102e-10,2.830269849984657e-10,1.967522852401405e-09,1.6635888775849048e-09,0.0,3.360939610516007e-11,3.433514250206314e-11,2.411885612981919e-09,1.7948668147236343e-11,2.9247986666137932e-09,2.5249820594615995e-09,1.7267224066169828e-11,4.16885604918891e-09,1.3264313311042645e-10,1.0727185078525189e-08,3.4782112910801356e-09,1.5867774544490856e-09,2.5249820594615995e-09,3.0318640200549566e-11,8.193808536253893e-09,4.097900539285817e-10,3.162259213160205e-09,2.968539660566382e-09,9.970459304149766e-11,2.488260901067271e-09,7.917378431040538e-11,3.738372283131359e-08,1.3794975681760094e-10,6.457781633155905e-09,5.03436694427608e-09,1.151451043873082e-08,3.809569198541569e-09,0.0,1.7209942918055013e-08,1.2748316585632269e-11,3.7049555339115726e-08,1.071848408827667e-11,4.085516820712968e-09,3.95206676077732e-09,2.0509505548467598e-10,2.8730969102894967e-09,8.90569251630309e-10,2.1258486589549626e-10,2.1115886029912974e-09,9.738336192893388e-11,1.765954715203284e-08,4.210317752080102e-09,4.329901587814095e-09,8.676640192664528e-11,3.3855424284035176e-09,8.871441544435914e-11,3.800748349895728e-09,2.9264014610402293e-09,5.290515822562138e-08,5.276999270445213e-09,3.6840842398171482e-09,3.785309604901088e-09,1.3262851910227766e-09,1.594543465814331e-09,1.0201350371947394e-09,4.719747501461756e-08,0.0,3.300800944291169e-09,2.827372788373066e-09,1.2049195376540053e-10,1.9754425710936318e-11,1.1442810593651423e-10,3.938581588108851e-09,1.35226927805255e-11,6.158051450418967e-11,1.6968041268542087e-09,3.468496100241784e-09,1.647367483189006e-10,2.284047031382774e-08,8.97801956092829e-11,1.78214462067686e-08,3.496293048005615e-11,3.853941673057555e-09,1.1805163504865837e-10,3.5612090668768205e-09,5.0892786352962165e-09,1.2556062192074849e-08,1.8468113542273148e-09,5.480642093467519e-08,3.2871321311090533e-09,2.942831918890592e-09,3.972464868694991e-09,2.856549018975359e-09,9.757631739772254e-10,4.724153730782358e-09,2.5355356002929476e-09,4.618169811872061e-09,9.245789753344806e-09,2.6825043642749788e-09,1.2734920693854422e-10,2.798899519321926e-11,3.874084074465348e-09,5.088051881202827e-10,2.6825043642749788e-09,3.2029349479142506e-09,3.839865037297483e-09,9.462384327326091e-09,2.6825043642749788e-09,4.914154324954925e-09,3.9121078786879564e-09,4.88249867878631e-09,3.125683438804402e-09,1.9548201027864537e-11,3.796474608362851e-09,1.455882111427526e-11,2.7668146715233265e-09,1.5867774544490856e-09,1.5724993079409724e-09,6.054783969394726e-11,6.178672309583238e-12,2.4934279442553273e-09,2.235531132984249e-09,3.991840103516948e-09,2.85337026396058e-09,5.901325558018665e-11,1.4265631169429203e-09,0.0,2.6023825597649472e-09,3.4709691822638797e-09,3.9684306748700416e-09,1.1302185460726166e-08,4.962763804518871e-11,3.3823078025129476e-09,2.2619582108879452e-10,1.0395709780493225e-10,2.5979083055423e-09,5.229082700897652e-10,8.91416344694868e-09,2.0440496572318428e-11,5.176102166604729e-11,3.106385957374446e-11,2.8725001583769195e-09,4.151176267834931e-08,3.73430778663857e-09,1.8220431443965458e-09,4.327428167618931e-08,1.0513762315778266e-09,2.6794587095057894e-09,3.742009896579644e-09,9.182708133845432e-10,3.351302809739354e-09,2.368328957651941e-10,3.6247795452018957e-09,3.2235655188743186e-09,2.389073760308907e-08,3.931395509883756e-10,7.54142545796861e-12,2.9254167502987448e-09,4.112547302774353e-09,2.2066212381292178e-10,2.5644214100357913e-09,5.23899415308352e-11,0.0,2.4372079191902158e-09,5.8600769889184515e-08,1.2727292297554349e-11,0.0,3.9358134686639295e-08,5.0319127754467246e-09,5.5943248559431056e-08,4.228742410247949e-09,3.0629260798953623e-09,8.173045198463785e-10,3.351302809739354e-09,3.6874517886289904e-09,2.822599242239533e-09,3.140150043854478e-09,5.113492897909449e-09
