,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.02513585638695367,0.0365017143634032,0.04080795888477415,0.024079318284158872,0.06612116072705218,0.04558020703778507,0.03732179921728837,0.029476951648264076,0.04634037957813694,0.03522865910297662,0.038250767115030025,0.04096035107818924,0.02539125415921878,0.03403029647977774,0.03908853462299341,0.0396339448864995,0.037178743955302185,0.042514994339275546,0.039959923085748535,0.04095850794004719,0.041329367315658845,0.036274843114115045,0.03939707727031499,0.027853249738129637,0.09603624240932453,0.045026436299010576,0.06172208648315563,0.07693857601067314,0.023900863647411397,0.03164026919719544,0.014338808503011821,0.02777209519382168,0.03551781209618366,0.03629800572734391,0.0,0.051405525549508176,0.03817408481341567,0.029586981937427495,0.03403029647977774,0.03919023621927883,0.034224763974915945,0.0362074094081197,0.03821939012001728,0.04018440642499905,0.03775569655851257,0.04295997001775843,0.03791033676610556,0.01958547415714684,0.039474323606054934,0.050264622043690935,0.031173252049730735,0.1648502233503411,0.02703477096106897,0.03403625540279651,0.02423719061797484,0.04245374911644342,0.041311128305598355,0.04089240093081981,0.03623406589651446,0.03183728966838893,0.049030723292709605,0.027029898729886172,0.051627584384340765,0.009345688492670092,0.04833749822398293,0.03772310775135181,0.04089240093081981,0.047335211981075015,0.04053522182233403,0.037280397242885545,0.05264599588500068,0.035435130107698005,0.045552672011642883,0.04489562677709514,0.0690110884481781,0.04738226856657725,0.03746795463883409,0.05856709816606992,0.050954495925980885,0.045552672011642883,0.05153261996676166,0.04068654103425099,0.04415143850370531,0.03767715031265328,0.037527840415102966,0.04075252201849734,0.037464230496359247,0.07522124502482451,0.027021921556819418,0.04831711898875625,0.031548904076486826,0.036012362444257,0.027224607438089854,0.03605438306615141,0.0,0.030644841322928097,0.061846314248441475,0.028209340391192998,0.04379927104924572,0.03601840752079717,0.03625418190005339,0.03566992119505783,0.04446475281072245,0.037225256813450305,0.037914962703401514,0.04143649886265379,0.047565887067913364,0.043024055163169664,0.029609473499253844,0.07126348563044661,0.0348686179337474,0.04623714774836579,0.03390063680838838,0.04446205930775542,0.03615576448703725,0.03511101785708616,0.023994296745920553,0.03608317095979199,0.041645005892323686,0.03624041235867734,0.04277728473318621,0.035825536901773015,0.03665095017857629,0.02969194744423133,0.0,0.03718212527739673,0.0546874422906417,0.06121074978487254,0.04962544162113957,0.052637279770887245,0.035151052247761785,0.02991756832662052,0.06084297080492915,0.03827096782199991,0.04809674653397105,0.031009881547471096,0.025695807276280926,0.08098986595288772,0.04742881853412396,0.041444471666664054,0.03629282686627774,0.13331275410804974,0.03660638504393627,0.036080188184162115,0.04341078425706369,0.0375301724086339,0.023361098908814736,0.042166748509208915,0.04120642042048056,0.03595134809852468,0.06013142155138354,0.060758607031460195,0.040861577789504326,0.034836196119462225,0.06210706143923748,0.031909689749423556,0.0347861640947072,0.04069684898369163,0.0391852847589239,0.03621528968783412,0.034018272177227346,0.034836196119462225,0.03833794145731968,0.036233649278427926,0.033592589868415006,0.03447654502742828,0.032119107198812336,0.03593995823903009,0.03669692678378033,0.035854856631069444,0.038790655258164164,0.03740239979754982,0.06063629352289649,0.02574336350548678,0.05095449592598088,0.04685658622845217,0.045146491549206504,0.0725066320908624,0.0524499605601686,0.036336012740077236,0.0595302992369088,0.03603974126292182,0.04186962222089441,0.03566992119505783,0.0,0.05079528510391548,0.02625279190847743,0.038567372058980955,0.030665062762747147,0.04405622793883831,0.035884219113930936,0.04130923778508026,0.12400381547353868,0.035585504460402054,0.055099241549325856,0.03010292334974341,0.04062378592173991,0.0594414204382337,0.04442075286163509,0.053037680052204134,0.023543278422737013,0.04078834975269259,0.03569607765600023,0.022737303728179857,0.030758485465075848,0.037038408732415755,0.03624759221140675,0.045267642857087786,0.034975952252074206,0.03149518379411596,0.03611053443192196,0.03596977976182706,0.02915844738436655,0.04155457038052258,0.028791150525139,0.03906250378040747,0.04098075379471743,0.03093938900864144,0.036372238070821794,0.043844060483174824,0.04069684898369163,0.026754595992487046,0.022632192646774317,0.023948546645054095,0.040696848983691636,0.030664060476494327,0.026905147018469952,0.02359212198384032,0.0362041334232772,0.03618429090574339,0.04147120029338654,0.034975952252074206,0.03687101330773106,0.057204840201391,0.0447778395772547,0.04990177756216925
Agricultural and forestry machinery,0.0006486144251212223,0.002517471013788571,0.0027559851142241417,0.0003382809569773533,0.0051332861121741475,0.001189860162584405,0.006438113299565316,0.0017703834492642082,0.013142098505691695,0.00216259271515104,0.0007023358302056574,0.0016620985296676564,0.0008516120192657181,0.000702048804635598,0.0013919986000993558,0.003660463584050105,0.0015688837647031138,0.0024311149688195925,0.0015035855159932978,0.003255098100117991,0.0012549034057902034,0.0015655478937463042,0.002761862062635433,0.0004380845080986982,0.0024352039012337325,0.001921601497547327,0.0023044735031479257,0.0006401905471902737,0.0003533496257532303,0.0013126939360916285,0.0011337927469705791,0.0006764757892161364,0.0020362493484932746,0.0016398567023139451,0.0,0.0016608620525518575,0.0017745031130747947,0.0008534378948182946,0.000702048804635598,0.001814909012395382,0.0015427125455781847,0.0013673838464814327,0.002044547085686992,0.0015893916873958788,0.001831336643020515,0.001782642079722282,0.001474235775192028,0.0009828206919291276,0.002250163572663686,0.0013458265930021635,0.001123639570226016,0.0014429791893939637,0.001406531771201176,0.0007020488046355978,0.0006606917745386778,0.004278796529112905,0.0021739232211599236,0.001858128182469189,0.0017275899717497446,0.000865730647743484,0.0021624899964416268,0.0017930185714284759,0.0026121782838421804,0.0013603846894625416,0.010252170428820009,0.0023465671081061854,0.0,0.0010513215914398322,0.0015647471456810517,0.0018487305636710183,0.0019453841434436683,0.0014928208590308562,0.0017331006899691265,0.0016620985296676564,0.002252864400537853,0.0020724478740242044,0.0010523087193135426,0.0021426737278792654,0.0018786406001331218,0.0018449984060253026,0.01213272519203648,0.001484316731169638,0.0011183486353695214,0.0015638982479658536,0.020654863619665523,0.001529495860039739,0.0015664125782347614,0.026591926618227388,0.0009334659650336773,0.0021343398771274105,0.001165173992063458,0.001786694296585482,0.0012998493918405748,0.0020061829202906475,0.0,0.0011301461271536369,0.003881386542295321,0.0008758981405969906,0.0060013762946332745,0.0016731822759010458,0.0015821176194419438,0.0003382809569773533,0.0024487425596986245,0.0018765173296873057,0.009721766311330971,0.0017541257471881998,0.0018277782570028283,0.0012820566208647493,0.0007880289471678383,0.003991519223919615,0.0016916113146563687,0.002886261901683659,0.00221512348503097,0.002022304853586493,0.0016045169723875878,0.0018206320475623896,0.00046233888763706435,0.001846178764350589,0.0020240540452519133,0.0016207715455132912,0.0037378003357910338,0.0017275343477318242,0.00340420543555002,0.0005812622841212939,0.0,0.0016489130115923318,0.0016525846087614377,0.002705451498730119,0.002178854537701304,0.0020986212293585384,0.0009439397864242734,0.0017206707537363707,0.005619238976713174,0.0016403128976572553,0.002061376746124921,0.0005985895684035264,0.0008347627410272631,0.009221631357501868,0.001681723541863765,0.0018892139153668587,0.0015846085730802713,0.0028763771403910285,0.0016379820903582442,0.0016858721755891566,0.001548853864147874,0.0021859076961117906,0.0003382809569773533,0.0016836222454309675,0.0020425173888818896,0.002416870648670246,0.0016302244715096646,0.0017668785190813208,0.001696837811314392,0.0008298878688511794,0.0017398810007874142,0.0017308774456916741,0.001140159056571422,0.0032711988983872274,0.0016596190948057325,0.001596024817042358,0.0007315052868864866,0.0014898241338268915,0.002660301273285712,0.0021146686973260633,0.001041016808647436,0.0011452028359752286,0.001365823230959711,0.0017216228811529671,0.0011425374630813245,0.0012802072083210013,0.0015660895085034157,0.0013673838464814325,0.001480890079372727,0.0011406344528546045,0.0018786406001331218,0.0013254684306232662,0.0019758547584699587,0.19684343568710666,0.0025475806950698925,0.0015013827198547243,0.0020838146475249484,0.002715678999022407,0.001602571018587295,0.0033312390595452795,0.0,0.0018123506035405245,0.0015693321139730735,0.0017746118064526331,0.0009581502723859395,0.0038174868962450163,0.0024289028411491483,0.0016036094104074402,0.0029124771227803836,0.0008026258630006035,0.0015763705941047562,0.0020224893975628075,0.002536455458932782,0.0031844471403328547,0.0021102058902293668,0.001581068663128191,0.00039832962081638783,0.00223992089529153,0.002982233089683087,0.0008400712289195246,0.00240165228487772,0.0020377312482246744,0.0016185981787931617,0.0024631588005300667,0.0024311149688195934,0.002058865202726884,0.0018969444573787222,0.0014552400293480084,0.000884332495646427,0.0019736227130500894,0.005571584406876468,0.0015079500532763934,0.0016810382038210006,0.00158318236013445,0.0018569524736095,0.0035156892596321567,0.0008612503752306989,0.00127773851695677,0.0003382809569773533,0.002520665886740409,0.0,0.0004906264751118139,0.001397349750269269,0.0005977504609681593,0.0016508221120970091,0.0019194733947434557,0.0015155127197576876,0.0016001841604065328,0.0032952824523162423,0.001608858885085701,0.0017002157330570063,0.0018181189325480434
Aircraft and spacecraft,8.639355182634609e-05,0.000162950888681238,0.00010225569112586769,9.290697927212138e-05,0.012807488062548085,0.000200867669935336,0.00011434713504392181,0.00010590183830717146,7.701503321956408e-05,0.00016407524782905095,0.00010944123357844073,0.006225606115720652,8.112162878680143e-05,7.376618529208196e-05,0.00012025436998388843,0.00029096447225790233,0.023506101682965706,0.00011228982239800771,0.01165415963030792,0.00015459670453864965,0.045617950305840295,0.0005543522737596555,0.00012987491252681698,0.00010219213636423155,0.0020913706877519933,6.751286887131023e-05,0.0002812738896275965,0.00029867463195361684,7.600094081708894e-05,0.00018492495049817867,0.00022915068324404954,0.00024431542070488537,0.00011714251708373682,6.928281784435205e-05,0.0,9.798039657150455e-05,0.001379518618400905,8.897714365610059e-05,0.00010462840794460354,0.0003284535154546505,0.00013936217994590667,9.518016093620077e-05,0.00016613238989791006,0.00022945365161945456,0.000628567605602375,0.0002590353015466911,8.589812236730238e-05,9.438020083175601e-05,0.0001587750960670936,8.271726568484812e-05,9.095541191548933e-05,7.7308458717633e-05,0.0001405421993156156,7.376618529208196e-05,8.554743708107646e-05,0.0002862222797754049,0.00646927980583981,0.00012602645975256458,8.264490333009549e-05,0.0001821313348075569,0.00012626142017079235,7.923739670171908e-05,0.0002827584602214845,0.00012206885174952655,0.0006955468737943765,0.0003185836826230722,0.0,5.3178832344724284e-05,0.0005538865742853087,0.00012435054846406964,8.591929873640869e-05,7.182232408790186e-05,0.00017385197399967926,6.751286887131023e-05,8.573002683431916e-05,0.00012599039645799353,8.992699278882681e-05,0.00010158267688903955,0.0001406298993133801,0.000174441425598781,0.025847207654829236,0.000270312397942401,0.00010443887744788611,0.0004079197061980629,0.00017443547766520087,8.245539837543558e-05,0.0001167427862098681,0.001793341469866187,8.896556109149491e-05,9.502419627470656e-05,0.0002539870320937752,0.0001251255533120407,7.482485730504434e-05,0.00012459793999982342,0.0,0.0002248534576657777,0.00012204224604865571,7.428889910709093e-05,0.0002600032718543617,0.0002159385985709348,0.00022814537734526231,9.385860610993337e-05,9.154190970870498e-05,0.00020538353949205323,9.48480494334127e-05,0.00018167651919858086,0.00036765823763281136,6.593991449465499e-05,7.320502769867502e-05,8.573002683431916e-05,8.71812465764873e-05,0.0005980304828884012,0.00016219031551735225,0.00022303047625709996,0.0006932199089520623,7.737321758340853e-05,7.603860206796417e-05,8.594754591542995e-05,0.0004432759540520949,0.0008865829216785646,0.00010891197929765096,0.00014326045566618288,0.00015979733265573804,8.562472421364797e-05,0.0,0.000404487776178217,0.00013471904639564074,0.0004939298084181684,9.769467966722405e-05,0.00012931962545870295,0.00010318634529051414,5.335063479121958e-05,0.0002148028151396387,7.371237827094713e-05,9.491797574236059e-05,8.33490862761749e-05,0.0002941719212912754,0.7408407259374912,0.0015096054912427637,0.0009081378270264417,0.00014186456009777188,0.00015387560583003922,0.0006618061681702727,0.0,9.167946182063626e-05,0.00016022465411760493,0.00016035240113948843,0.00016590645835610156,7.743559983245255e-05,0.00044369424075791064,0.00021538147735637698,7.453462684869956e-05,6.90759094899401e-05,0.0,0.0003811186990863218,0.0013282882314330144,6.975558178552152e-05,0.00014076640084104185,9.371177770206831e-05,0.0003338206747805532,7.376618529208197e-05,0.0001060554997249891,0.00011913627324362969,0.00010558524858902759,8.751710144144286e-05,6.751286887131023e-05,0.005642015995643217,0.00021583099099290525,7.269261156118341e-05,9.369351209405681e-05,0.00012331537481271245,0.0018754371723179307,8.245539837543558e-05,9.9372794520928e-05,0.00014062989931338014,7.024301280286208e-05,0.00011073909097799726,0.00013645933648224651,0.0018754371723179307,0.00024533065006925763,0.0002192560418741579,0.0035154308079472186,8.69489501063148e-05,9.385860610993337e-05,0.0,0.00010659657295830833,8.224172922914796e-05,0.00020238003557005807,0.0001019528711142788,9.415642492606166e-05,0.0005737149201242243,8.53333202008007e-05,0.0022985144894360583,0.001120419695745642,0.00010871398427370905,0.00013291050101784234,0.0005625467284678939,0.0003146116106865905,0.00011354034461894922,9.264877388196789e-05,9.051851055442852e-05,0.00011440578094175201,0.000796070763225353,0.00010066680415087847,0.002157699979059215,9.731257993318755e-05,0.00011889225098630658,0.00133674170202996,9.942304611681246e-05,0.001577424555605594,0.00010615149649199505,8.605176771134936e-05,7.888196570831628e-05,7.22958966374784e-05,8.577476247055154e-05,8.718124657648731e-05,8.345239837180428e-05,0.00011266844809805887,0.0005320366063946979,0.0006207680018192966,0.00012748151912165336,9.754418369867357e-05,6.975558178552152e-05,9.345097897549494e-05,0.00017444142559878108,7.658341285821641e-05,0.00014151216035524278,0.00024093734146468917,0.00012202094392421395,7.817587663972223e-05,0.00010032946496748213,0.00031452229194361736,0.00011407812952250264,0.00015963046905809636,0.0002080797984466363,0.00014626363396209283
Animal feed ingredients and pet foods,0.0,1.0000000000000144,1.0000000000000153,0.0,1.0000000000000149,0.0,1.0000000000000153,1.0000000000000149,1.0000000000000149,0.0,0.0,0.0,1.0000000000000155,1.0000000000000147,1.0000000000000147,1.0000000000000147,1.0000000000000149,1.000000000000015,1.0000000000000155,0.0,1.0000000000000153,1.0000000000000153,1.0000000000000155,1.0000000000000153,1.0000000000000147,0.0,1.0000000000000142,1.0000000000000147,0.0,1.0000000000000147,1.0000000000000142,1.0000000000000153,1.0000000000000147,1.000000000000015,0.0,1.000000000000015,0.0,1.0000000000000147,0.0,1.0000000000000144,1.0000000000000149,1.0000000000000153,1.0000000000000147,1.0000000000000149,1.000000000000015,1.0000000000000149,1.0000000000000149,1.0000000000000155,1.000000000000015,1.0000000000000158,1.000000000000015,1.000000000000016,0.0,0.0,0.0,1.0000000000000138,1.000000000000015,1.000000000000015,1.0000000000000155,1.0000000000000149,1.000000000000015,1.0000000000000147,1.0000000000000149,1.000000000000014,1.0000000000000155,1.0000000000000149,0.0,1.0000000000000155,1.0000000000000144,1.0000000000000147,1.0000000000000149,1.000000000000015,0.0,1.0000000000000155,0.0,1.0000000000000149,1.0000000000000153,1.0000000000000158,0.0,1.0000000000000147,1.000000000000015,1.0000000000000149,0.0,1.0000000000000147,1.0000000000000149,1.0000000000000153,1.0000000000000158,1.0000000000000129,1.0000000000000147,0.0,1.0000000000000144,0.0,1.0000000000000147,1.0000000000000158,0.0,1.0000000000000147,1.0000000000000147,1.0000000000000149,1.000000000000014,1.0000000000000155,1.000000000000015,0.0,1.0000000000000149,1.0000000000000147,1.0000000000000147,1.0000000000000149,1.000000000000015,1.0000000000000149,1.0000000000000147,1.0000000000000149,1.0000000000000153,1.0000000000000153,1.0000000000000153,1.0000000000000153,1.0000000000000149,0.0,1.0000000000000149,1.0000000000000158,1.0000000000000149,1.000000000000015,1.0000000000000144,1.000000000000015,1.000000000000015,1.0000000000000153,0.0,1.000000000000015,1.0000000000000153,1.0000000000000147,1.0000000000000155,1.000000000000014,1.000000000000015,1.0000000000000147,1.0000000000000149,1.0000000000000153,1.0000000000000144,1.0000000000000149,0.0,1.0000000000000144,1.0000000000000149,1.0000000000000149,1.0000000000000153,1.0000000000000142,1.0000000000000158,0.0,1.0000000000000144,1.0000000000000155,0.0,1.0000000000000142,1.0000000000000149,1.0000000000000153,1.0000000000000153,1.0000000000000153,1.000000000000015,0.0,1.0000000000000142,1.000000000000015,1.0000000000000149,1.0000000000000147,1.0000000000000144,1.0000000000000147,0.0,1.0000000000000149,1.0000000000000158,1.0000000000000149,1.0000000000000149,0.0,1.0000000000000149,1.0000000000000153,0.0,1.0000000000000147,1.0000000000000144,1.0000000000000155,1.000000000000015,1.0000000000000147,1.0000000000000147,1.0000000000000153,1.0000000000000149,1.0000000000000147,1.0000000000000147,1.0000000000000149,1.0000000000000147,1.0000000000000149,1.0000000000000149,1.000000000000015,0.0,0.0,0.0,1.0000000000000149,1.0000000000000147,0.0,1.0000000000000153,0.0,1.0000000000000153,1.000000000000015,1.0000000000000155,1.0000000000000153,1.0000000000000153,1.000000000000014,1.0000000000000147,1.000000000000015,0.0,1.0000000000000149,1.0000000000000142,0.0,1.000000000000015,1.000000000000015,1.000000000000015,1.0000000000000153,0.0,1.000000000000014,1.0000000000000158,1.0000000000000147,1.0000000000000149,1.000000000000015,1.0000000000000144,0.0,1.0000000000000158,1.0000000000000149,1.000000000000015,1.000000000000015,0.0,1.0000000000000147,1.0000000000000153,1.0000000000000147,0.0,1.0000000000000147,1.0000000000000144,0.0,1.000000000000015,1.000000000000016,0.0,1.0000000000000149,1.000000000000015,1.0000000000000155,1.0000000000000153,1.000000000000015
Articles of concrete cement and plaster,8.811145317493932e-05,0.001676351565575741,0.00024505386468739294,2.2778534344334975e-05,0.1680848719495459,2.1125194795553086e-05,0.001616179392654599,0.0005757719448644383,0.00029340875194941744,0.0004177885891355702,1.5413205361283188e-05,2.4994809751693654e-05,9.991042420228541e-05,2.1971942913198557e-05,0.0006130811506740011,8.297654342140961e-05,0.0004921651224787354,3.9765436435553695e-05,0.0006017471461265732,0.00013724631376399395,0.0004018868452650351,0.0005516082861000367,0.001411393626998334,4.431536358409861e-05,0.011013736709922065,3.343100954787722e-05,0.0005764320442210669,0.0001022738873088149,5.6472166400451e-05,0.0005099224419424011,0.0005111222002351313,6.973193750762199e-05,0.0004747680429618088,0.0021909467758070697,4.658387500447743e-05,0.0005845742202374807,0.00022513032457184643,1.5413205361283188e-05,2.1971942913198554e-05,0.004022669153811549,0.0007535657090129481,0.00046114726490170666,0.0003175395215221362,0.0003152626742799176,0.0006858646806700889,0.00034678631714061387,0.0003212972185051798,1.099166642249972e-05,0.001889003852877542,5.200723246758585e-05,5.910213017076544e-05,0.00011468784254794651,9.265845214382992e-05,0.0001917011636145793,6.707788784736368e-05,0.0025418529178147533,0.0001402953983223663,5.4353037824589414e-05,0.0005864643368047182,8.72817350220527e-05,2.4994809751693654e-05,4.658387500447743e-05,0.0033830077710614317,2.4688318411946466e-05,0.0013311776745041854,0.0011692507942133068,0.0,2.0183416173788065e-05,0.00011889986020682843,0.0005378433612192726,5.853508463220239e-05,0.0003613594862991099,0.002428762567237251,3.337980253146778e-05,0.0009962957124640109,4.504829058378567e-05,0.00045529310249056747,0.00026601761945102814,0.0005056083089721567,0.002428762567237251,0.0009468574218981626,0.00085925689855907,0.0003843728900282411,0.0004338653375635107,0.0004687489386385225,2.2682363507526743e-05,0.0062514702834427964,0.010888699392945468,0.00015313874190763465,2.54241839662177e-05,6.40339204907585e-05,0.0017613583289080843,0.00022355352105909396,0.00047958881517380647,0.0,0.00010962482916528857,0.0036088445450987335,0.00012003984226606941,0.0012700644114382867,0.0004572616522844975,0.00219117427811871,0.0,0.00015749366648262788,0.0034613400926650356,0.0002682292979494584,0.0001015614746693461,0.0005093313577878647,0.00035980757432540794,0.0001329253122511171,0.0014331992195192088,0.0006929459281849373,2.7949169324466096e-05,0.0007091520693660329,2.624835928261654e-05,0.00044931666163766637,0.00035810306921641935,3.860918183288036e-05,0.002037929239294925,0.012426021356019612,0.0004367257310762567,0.0011081537562519794,0.0007614740829987817,0.0011148010479604372,9.754169248819276e-05,0.0,0.001040077130951219,0.0005949863398287621,6.217530444118887e-05,2.5019960227581685e-05,7.860401867725941e-05,0.00047917250012556264,7.790283676724214e-06,0.00312337640846737,0.000687769937868065,0.0005570188817076053,1.5154356357297442e-06,0.0006070704148594037,0.3517815217098155,0.00102657482310883,0.0016520010132041424,0.0004611226494239179,0.056144299702225585,0.000535905573170055,0.0018340128625265245,0.00036073595538852133,0.0006934104023879465,0.0013342820767766664,0.0011622835433510513,0.0005845841348461965,0.0004566129352087018,0.0005923236178914782,0.00014307284657815995,0.00036897727053698397,0.0002957243375231944,0.0015154067386907665,5.946829107328993e-05,0.00031333716760846683,0.00013354172480494367,6.14101800707061e-05,0.0017075527339375988,5.4668763557519274e-05,0.00031333716760846683,0.001498009388785812,0.0005748797626190563,0.00027202120369313924,0.0003133371676084668,0.0005043875898907272,0.0004733724731731378,0.0005338018601129933,0.0003763162080417559,3.3201947751669404e-05,0.0004623179298068489,6.674565565678344e-06,0.000550488360392938,0.0005056083089721565,0.0002453214903853885,2.3494956475554286e-05,0.020277431646575604,0.0007789902075293125,0.0008437326580839868,0.001548490809851951,0.008368630975702703,0.00026139777289346344,0.0001644828879072573,0.0,0.0018274399451209927,0.00041568507773079506,0.039717750630456114,8.555827080569751e-05,0.7036179890237391,0.001064369748073639,3.259302594270805e-05,0.1372424090593045,0.0008957099067348727,8.193684592695795e-05,0.0003136954425907232,0.00035972202080892775,0.005681414455004242,2.6438666447421267e-05,0.0005849345169959679,8.864252890399636e-05,0.001011553768604202,0.0013346300666953735,3.939465347691101e-05,0.0002506379116202413,0.0004753550708844232,0.00043015388445530165,0.00027478922469996794,0.0004087856587440325,0.00014582950576445938,0.0004544038474376114,0.0003798689187371979,0.00021963602317501838,0.0007222896610168165,0.00025521659096813484,0.00036142985445655664,0.0011369914126118342,4.297534376088467e-05,0.0009968189470091792,7.027213446308946e-05,0.0,0.0006354615622988244,2.26652517787537e-05,4.6445095034340294e-06,0.0,8.173493762556175e-05,0.00030874478727124116,3.20785590581254e-05,0.0004733539997496677,0.00036922410924742597,0.00011750085688180267,0.0004087856587440325,0.0011626840107894503,0.0005899216386607058,0.0007450154732284993,0.0005924081862274931
