,ABW,AFG,AGO,AIA,ALB,AND,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.025022208949085703,0.32035986038365755,0.04137459574940392,0.025094333150096803,0.03317808001121332,0.04310410020610477,0.031290165427187024,0.03804383681581783,0.03901218033821388,0.03722308991245316,0.036764593732815,0.025448006215289632,0.04214380435832247,0.040142683028168986,0.031707796971479414,0.0966703542267223,0.035443273027119734,0.03992921206373819,0.03481540055105198,0.04595950691855138,0.0387843959290159,0.027540206457364092,0.03857145480693177,0.029711730493412275,0.03478629682445787,0.037125699914830994,0.035077384660566535,0.02925199037827829,0.023725486559193532,0.044552624646431414,0.014221844298750713,0.039413682848233045,0.03484097309470825,0.03731471202806723,0.0,0.04966652010287855,0.03963488374585283,0.029262124532055338,0.042143804358322476,0.03900455384551893,0.040912043921594816,0.035722734602504434,0.03721310143834132,0.04766965592227787,0.05161827336446244,0.06764828864905242,0.04235387103840213,0.02024862463150655,0.604695913969329,0.04783884557941467,0.030753258718366473,0.036039164036809776,0.027675602282650015,0.04212127622787745,0.02403937323009642,0.03307440247781239,0.03696156184885322,0.041997224500597334,0.10331729479140549,0.03126981609261449,0.03750954267161617,0.04051605685677828,0.09817804911263363,0.009192083075428905,0.039228001971763425,0.34569866327776433,0.041997224500597334,0.04518132717363344,0.03573381568021652,0.03669326935013319,0.03674463537392598,0.03683273134670996,0.035771272689016684,0.037008713148226596,0.04152579933467988,0.03726548813438424,0.035065324072437974,0.065679709864436,0.03174304612275439,0.035771272689016684,0.04620214295951654,0.05330561202634105,0.040626412006036366,0.03923444635927189,0.03675025779711603,0.03888425868134918,0.05142565015715233,0.028172458078218904,0.026997483171591976,0.03742408739581409,0.03143017866944051,0.03672882892720595,0.02620301758529514,0.035653110478701025,0.0,0.030295596106100664,0.035503267320899444,0.030844610732962425,0.03482043593242757,0.03589390799855503,0.03742298245112705,0.03540613161569942,0.03247877730835,0.46268503045404036,0.5578152643946656,0.0356046875486033,0.032367834282365095,0.030463053764111764,0.029373518004361256,0.04194736384650995,0.03509329818357699,0.03235139719580807,0.03636850305151103,0.03282718295564982,0.03839897992919432,0.037800074072663024,0.023884334767009314,0.0354364963648678,0.04145905968196456,0.03584427530537161,0.03617778020236944,0.038762147565902925,0.050152256772680336,0.11911436435035215,0.0,0.039067408512073694,0.0539234345035804,0.03621649431727435,0.0373728093834548,0.037042071139686265,0.03488979563953387,0.033471154892846126,0.0340234675245562,0.04156291245571565,0.10079839940325078,0.030405057242159566,0.025099227458724914,0.03464830430096801,0.08938948625567077,0.03597518621002604,0.036217419126001404,0.03601251334691852,0.03515892141782097,0.035458940219492745,0.050861730068460474,0.03605407293726108,0.023204975861263438,0.036219220927707414,0.10273057283729922,0.03527223598197827,0.05068930213791881,0.03511220799369111,0.04163916607029177,0.04298958985155895,0.03732160694983123,0.031081104927498635,0.04293708162516042,0.03471692677261862,0.03419915700112035,0.036837854041652726,0.04108763417922294,0.04298958985155895,0.2762703129706902,0.040682644065467205,0.03840098670483613,0.04248482547392096,0.03554051681496393,0.035602480957544445,0.03698394015657114,0.03638774363595984,0.034615034234104246,0.9210520171796902,0.04029476497495353,0.026856577316470318,0.03174304612275439,0.035974142243612756,0.035177155369976454,0.0365356363875612,0.035779084636146805,0.07651629302745692,0.047144889038380655,0.08806666957084859,0.042011465149459415,0.03540613161569942,0.0,0.044966149724717325,0.026656380685778556,0.043752470555487845,0.03014605358147479,0.03875603936082846,0.06066688847351616,0.03517102715570993,0.03474386013349235,0.04663887383229889,0.09264845592225573,0.030861683260215458,0.03794330467923787,0.0357247529563619,0.03616420550432706,0.05803987037591785,0.02345363664187914,0.09924261872163656,0.04597650359094776,0.02293643075476617,0.34013922048013495,0.0722731351578964,0.03630059414457102,0.037785319034074866,0.03865855301343335,0.07483060703113717,0.03592036514494992,0.03609988384312283,0.031245962336713562,0.03438836412234129,0.023528226721393812,0.03620684663939014,0.035596588899377314,0.03774409462699596,0.04531545362892989,0.023072112575573827,0.03471692677261864,0.025333040714552415,0.02279222222699128,0.020255703506205716,0.03471692677261864,0.03720208140979985,0.026585676174430656,0.024938264585781997,0.03585060812371172,0.036758099814804525,0.03891638729856677,0.03865855301343335,0.040672193705156186,0.05620769472099082,0.050422916994081475,0.057924810361102065
Agricultural and forestry machinery,0.00037509877528727,0.006122474011347443,0.04018322323742529,0.0001452690555213314,0.0008874774615303957,0.0006177536952335327,0.0004488287819838365,0.001491663640200345,0.0006612894124281127,0.0006684861841348986,0.000424780728849566,0.00032354841031044746,0.0006684471424750587,0.0002635953424565877,0.026985326153022283,0.011920746772120148,0.0003732239675212252,0.0033039967235495077,0.0004147380258507007,0.00865503786587581,0.0020184667494536554,0.00301025548306117,0.0058921661810333705,0.00020815016560615253,0.0008660004420627932,0.00045225844592469537,0.00108808001675086,0.0003571617037731882,0.00015001379721907328,0.0005278543037277874,0.0004114719873917985,0.0003099295265653679,0.001198913987488232,0.0016967785194519818,0.0,0.0015193328277739507,0.003312610999942147,0.0002876459776368502,0.0006684471424750585,0.00041494175108663196,0.0005046224405456473,0.0019329658344811977,0.055301192585766,0.0025254051113894308,0.05765691033536872,0.002519162106361759,0.0006567368823821486,0.000515281112719757,0.04340443586012198,0.0007547504763100875,0.0005423531799930868,0.0005735408987613966,0.00040827717118156954,0.0006684471424750584,0.0002412465294305155,0.0005715345536511422,0.00039222602665997026,0.0003371975838042975,0.01518796092669993,0.0006361488408718129,0.00046461722602299347,0.0006416983071812384,0.004005447472014412,0.0008827986368437176,0.002688896634066761,0.0009662696867289875,0.0,0.0006733175964256813,0.00044371573699828116,0.0008562174349495498,0.00033232593627068903,0.0013759931566433854,0.0005046002653576169,0.000424780728849566,0.002602124071814502,0.000436006926007271,0.0010902819034562096,0.0009675291188247463,0.0004954790425305329,0.0005202615718849589,0.0013661535434970795,0.008202141963417358,0.0006603830377623879,0.004850485862510733,0.0021786433732366777,0.000752083181255838,0.004589601888409714,0.0007593417948567647,0.00045866822987231256,0.00044118117677941203,0.0005975146216542701,0.0008964794953728153,0.0009851940303798302,0.0015587881750417,0.0,0.0006361702959357383,0.0012367329204974967,0.0005720184535336406,0.0021995384834252404,0.001649119295352015,0.0018934116920128502,0.0001452690555213314,0.0005954837379063142,0.0040445764741062545,0.05980249163490986,0.0004564164419229351,0.00047260418110677753,0.00028785827166725374,0.00041940501693748416,0.00630190418390707,0.0007000086222767758,0.0023888689089193683,0.0021214245442372293,0.0017218869692123336,0.0012101110966233925,0.000797643148432972,0.0003249188719876508,0.0007336522334011619,0.002802162569787624,0.001103165129840604,0.0021100634708520203,0.0031020325893601312,0.0013886230839820035,0.00027385095085623047,0.0,0.0019316078375364084,0.0007410400589011677,0.0005722199111363662,0.00036826585603873767,0.000457832492433069,0.000993159289111229,0.0006963368241705247,0.0010716726244487005,0.0024668240223266556,0.07973696647967317,0.0006713743353443964,0.0010029833192299641,0.0011530295543688079,0.02996496409741862,0.0007577719191894784,0.0014833478963388166,0.0010124393256465123,0.0021751980535120196,0.000771009150788742,0.0052592481647940744,0.002809214266949219,0.0001452690555213314,0.0005933098018087431,0.11209389494152426,0.0010488006906438586,0.001142893950449112,0.0005765089758854292,0.0016814315202501626,0.0006363328460263135,0.008495961187907642,0.000512988877137049,0.00035767649874745184,0.00041317182707519516,0.0004002261051702434,0.0017463500612458162,0.0006784458010957068,0.00047055105639300364,0.014575207599472005,0.0028278723383428203,0.000528400113622233,0.00041336535258515287,0.0007132413879000125,0.0011910988138202168,0.0015094243019132655,0.0011003270510752698,0.0003614259641171353,0.0019329658344811977,0.0007267412413383163,0.0004698070548036683,0.0004954790425305329,0.0008100307785061619,0.0006140468375308242,0.0064431357055311006,0.004269874098673775,0.005461270071280659,0.0020890762481965376,0.02482654224806237,0.005719143787351985,0.0010065500954194431,0.0,0.00055780251103563,0.0008188839315486776,0.0015217719335300212,0.0006188339425899319,0.0003671818305375163,0.06949323572279177,0.0004148619935077688,0.000926085797115401,0.018713817716529847,0.0006093683967498209,0.0007448062611607047,0.0011293161973740364,0.00042306180822755045,0.0004168971710120611,0.0008429553083013715,0.00015220745047921457,0.11462796728005964,0.015173907542694688,0.0002151242261676935,0.08671577276513218,0.041789162098613095,0.001080631140086778,0.007424879708197774,0.0003732239675212252,0.0011116657745833852,0.0012436916605337279,0.0014658811343581956,0.0004943974588450659,0.0009532258337733685,0.001532085678886834,0.0013276538312871763,0.0007721356315241376,0.0025029591065855853,0.004191806319221022,0.002749462625473054,0.0003037915735937546,0.00048489994357142635,0.0001452690555213314,0.000762642023854351,0.0,0.00022582867552052205,0.0005795531181055897,0.00024200831390158842,0.001268449348044715,0.0010354785004543622,0.0006019502434571837,0.0011099686937421152,0.15487653339289292,0.0007917928454154024,0.004873618109585061,0.018970027602894072
Aircraft and spacecraft,0.0035047094515987297,0.005653639443160867,0.005513429414668873,0.003737631257663944,0.003222171474465355,0.005125614737566343,0.005494698787274423,0.003243428113779931,0.007461130560401242,0.007360579998881663,0.0024949069500109014,0.0035410959475613655,0.002666154959388523,0.004823077992457899,0.24031112088393894,0.02005806551671449,0.005055267293954803,0.00938195440049441,0.007419572688480168,0.021969927760127624,0.03846224311876634,0.007345546760162083,0.00592527203865744,0.00475595957083079,0.005437940868011212,0.00356768004886902,0.006403377593654463,0.0025612448920903064,0.0028745520544953274,0.008274303373671715,0.006204150239899778,0.004196646490402798,0.019117863916179992,0.003663676486729036,0.0,0.0320709451330412,0.040387643386779304,0.0035266364928222193,0.0042415545068400715,0.005616177249596289,0.08107670829619638,0.004308646955300539,0.042892029242601465,0.0039426110627971325,0.0060647176219786846,0.006988605141011929,0.003787513328640831,0.07080327778023117,0.025991368776767484,0.005830194473958663,0.007414307544149389,0.004585774346793607,0.006982272049448115,0.0026661549593885235,0.0033069888935796667,0.004536187485062615,0.002452457677292749,0.010308770434664502,0.003420691348704417,0.007695943229463951,0.0056902759164848575,0.004646674596834011,0.009050360321435243,0.003071108626572784,0.003980389995596642,0.44923001218843017,0.0,0.005676617163404535,0.003120688383445863,0.006785434857365821,0.0041429031903986065,0.003741109210638757,0.007792333785456202,0.00356768004886902,0.004854235341296626,0.010242035488344542,0.004195140125302196,0.01489810615513152,0.007144465562917485,0.007805244577283906,0.021474896899143437,0.04147278821919558,0.004082010442928838,0.029456347533641042,0.00813624203789962,0.004463909464917093,0.9467665337711255,0.004850438974625897,0.0035260241975483236,0.0042425292670974024,0.0036174749081806018,0.004241074856342462,0.002803893376959619,0.017107160651131093,0.0,0.00387036574624015,0.003321990027310343,0.0031141915001324425,0.07147038117986208,0.005601969677386971,0.015025871762126662,0.0051302298976196245,0.0037808741843330827,0.1079778147555029,0.010223761947234133,0.004644434567630962,0.0033885254385210097,0.0020727243835945617,0.005443306787124616,0.004854235341296625,0.0034773985227371787,0.005149921348756989,0.01066161622695394,0.005484933904290482,0.003659932624503364,0.0032842167454448534,0.002840049052023757,0.0033062375794604454,0.004238822491621993,0.00536533382183422,0.012332922824530043,0.0062266767795302715,0.1011423285052631,0.0034065980885562494,0.0,0.04447125173880453,0.023380317969835803,0.0057853857007706296,0.003942849796755737,0.0036900087849704977,0.004807006021415123,0.017829678424207355,0.005627441739164948,0.004959116120456696,0.007995346140706927,0.003966255292271088,0.005253561876257197,0.010014392165702523,0.013652416387124165,0.008351807438396499,0.0035888442005103946,0.0041932840225539685,0.0035584866998645687,0.0,0.005813073982866296,0.004738608835258759,0.0070999041405136265,0.024576930362220775,0.009600032230528252,0.006259335439635408,0.11575483058480782,0.0037405307956279808,0.003830306813170529,0.0,0.009192510203485372,0.018263825675426386,0.0025230213177358995,0.0071507878900633265,0.003615290243056514,0.004307074515343032,0.002666154959388525,0.005704784580257354,0.1980568657811023,0.006808835268532609,0.005665033269260092,0.003567680048869019,0.018860276877688917,0.006646619257250326,0.0026658834520810197,0.010546652854815979,0.004014004844126648,0.003672366441667595,0.004463909464917093,0.003690789940034336,0.007144465562917484,0.0025575567727920876,0.004585722668323699,0.006933333004217345,0.003672366441667595,0.03032125633186908,0.004636257610825139,0.303717970955929,0.0036201401603286995,0.0051302298976196245,0.0,0.011156946486243742,0.0032342120847987797,0.018334993615758133,0.019577446507275376,0.005176633907607446,0.023594919006670996,0.003533604139002294,0.004664352609709441,0.011990020617203067,0.005001552390168771,0.006381020004122297,0.0035856953840931547,0.0049002290157767825,0.003915533590355815,0.0419986157787212,0.003925477628498948,0.018329023295445505,0.5911195920588838,0.004416145947537517,0.008315852461039197,0.22910397898213283,0.00436115472710964,0.004231987310441012,0.00488796221251757,0.01327163985257327,0.012871016018089524,0.003932078020661451,0.0029013077214776603,0.003658705566953385,0.0038000087149179414,0.0034773985227371782,0.003232229279375225,0.01073221372697943,0.039449463343878895,0.009375393017578858,0.00622112746891513,0.005936634772844738,0.0025230213177358995,0.004327066069256,0.007805244577283904,0.002880349627507694,0.12769253533693492,0.004861131142233876,0.003865008703606222,0.002952069735177545,0.003051356236999755,0.005491824001858211,0.8595134979543712,0.03213400042705658,0.054947796568375944,0.2273544743436274
Animal feed ingredients and pet foods,0.0,1.0000000000004596,1.0000000000004778,0.0,1.000000000000478,0.0,1.0000000000004783,1.0000000000004778,0.0,0.0,0.0,1.0000000000004787,1.000000000000478,1.0000000000004774,1.0000000000004772,1.000000000000478,1.0000000000004778,1.0000000000004776,0.0,1.0000000000004778,1.0000000000004787,1.0000000000004785,1.0000000000003362,1.0000000000004787,1.0000000000004787,0.0,1.0000000000004774,1.0000000000004783,0.0,1.0000000000004778,1.0000000000004783,1.0000000000004783,1.000000000000478,1.0000000000004778,0.0,1.0000000000004785,0.0,1.0000000000004783,0.0,1.0000000000004785,1.0000000000004787,1.0000000000004785,1.0000000000004772,1.0000000000004783,1.000000000000478,1.000000000000478,1.0000000000004785,1.000000000000479,1.0000000000004419,1.0000000000004776,1.0000000000004792,1.0000000000004783,0.0,0.0,0.0,1.0000000000004778,1.0000000000004767,1.0000000000004778,1.0000000000004146,1.0000000000004778,1.0000000000004776,1.0000000000004778,1.0000000000004778,1.0000000000004776,1.000000000000478,1.000000000000096,0.0,1.0000000000004783,1.0000000000004783,1.0000000000004774,1.0000000000004776,1.000000000000478,0.0,1.000000000000478,0.0,1.0000000000004774,1.0000000000004787,1.0000000000004778,0.0,1.0000000000004778,1.0000000000004776,1.0000000000004778,0.0,1.0000000000004776,1.000000000000478,1.0000000000004778,1.0000000000004787,1.0000000000004778,1.0000000000004783,0.0,1.0000000000004785,0.0,1.0000000000004783,1.000000000000478,0.0,1.0000000000004783,1.000000000000478,1.0000000000004785,1.0000000000004772,1.000000000000479,1.0000000000004778,0.0,1.0000000000004778,1.0000000000004647,1.0000000000004627,1.000000000000478,1.000000000000479,1.000000000000478,1.0000000000004778,1.0000000000004763,1.0000000000004792,1.0000000000004767,1.0000000000004778,1.0000000000004703,1.0000000000004643,0.0,1.0000000000004776,1.000000000000479,1.00000000000044,1.0000000000004783,1.0000000000004718,1.0000000000004778,1.000000000000478,1.000000000000478,0.0,1.0000000000004778,1.0000000000004783,1.0000000000004772,1.000000000000478,1.0000000000004778,1.0000000000004783,1.0000000000004783,1.0000000000004783,1.0000000000004772,1.0000000000004432,1.000000000000478,0.0,1.0000000000004783,1.0000000000004778,1.0000000000004785,1.0000000000004778,1.0000000000004767,1.0000000000004787,0.0,1.0000000000004785,1.000000000000478,0.0,1.0000000000004785,1.0000000000004785,1.0000000000004745,1.0000000000004783,1.0000000000004785,1.0000000000004772,0.0,1.0000000000004776,1.0000000000004787,1.0000000000004783,1.000000000000477,1.000000000000478,1.0000000000004765,0.0,1.0000000000004783,1.000000000000172,1.0000000000004592,1.0000000000004783,0.0,1.0000000000004776,1.000000000000478,0.0,1.000000000000478,1.0000000000004783,1.000000000000479,1.0000000000004787,1.000000000000478,1.000000000000478,1.0000000000004783,1.0000000000004605,1.0000000000004774,1.0000000000004774,1.0000000000004774,1.0000000000004738,1.0000000000004774,1.0000000000004778,1.0000000000004778,0.0,0.0,0.0,1.0000000000004776,1.0000000000004778,0.0,1.0000000000000517,0.0,1.0000000000004776,1.0000000000004778,1.0000000000004778,1.0000000000004783,1.0000000000004776,1.0000000000004772,1.0000000000004774,1.0000000000004783,0.0,1.0000000000004765,1.000000000000477,0.0,1.00000000000037,1.0000000000004774,1.0000000000004783,1.000000000000477,0.0,1.000000000000478,1.0000000000004787,1.0000000000004785,1.0000000000004776,1.0000000000004776,1.0000000000004783,0.0,1.0000000000004783,1.0000000000004774,1.0000000000004778,1.000000000000478,0.0,1.000000000000478,1.0000000000004787,1.0000000000004778,0.0,1.000000000000478,1.000000000000478,0.0,1.0000000000004783,1.0000000000004785,0.0,1.000000000000478,1.000000000000477,1.0000000000004783,1.0000000000004778,1.0000000000004787
Articles of concrete cement and plaster,0.0021227295361695344,0.46064618565022014,0.017258940890291587,0.0016068639555776878,0.0028552788528950174,5.0728599703015044e-05,0.004388452346864024,0.0002201672573388499,0.008319296353860181,0.0004166029300590149,7.11451825482883e-05,0.0026047106972132265,0.00042023171034454395,3.220925406744533e-05,0.0006162139250083996,0.03084106716046277,9.660112926354798e-05,0.011280038113190562,0.00022996202894635698,0.028170117063612558,0.02969129099769749,6.511791455961712e-05,0.36543911827962233,0.0017168848871616928,6.755297414073786e-05,3.4599558579376924e-05,0.0023047524655013824,0.007465608562463945,0.0017368803092767757,0.005347063845913467,0.0059522289920224715,0.001949551301124786,0.008167410749205573,0.3016193753191546,0.0012418150328433596,0.03688527265995248,0.00352649877340995,0.0004166029300590149,0.0004202317103445439,0.00028947012204538503,0.0039023095507399953,0.0074675394317932475,0.009518880573754582,0.05496875766532244,0.06928887592188425,0.02893370333285417,0.008838698298252227,0.0008640499627491991,0.0828208096864422,0.0005677614010674124,0.0018338739588597104,0.001180333117888314,0.0011631520115067495,0.00424155559324987,0.004184704608042903,0.0025263706090209396,5.90773816033124e-05,9.008174877242459e-05,0.1099232917565204,0.013355332673619852,7.11451825482883e-05,0.0012418150328433596,0.00205050220125615,0.0004624544759585841,0.09179432598892466,0.07972326556011625,0.0,4.86130078074051e-05,0.0001020487344907613,0.08664008302031151,2.4898636605793838e-05,0.01198200979763332,0.007270599957675061,3.458192561327847e-05,0.17887486388134144,0.00013658287328956523,0.007106908207367682,0.05291566407072525,0.01076180942645721,0.007270599957675061,6.96450467497953e-05,0.04863390141531022,0.0011393597834878917,0.014135610763653862,0.09846518401552297,0.0002151650181724618,0.05996578109536344,0.0006504073642312734,0.004041926600215369,7.625839206781874e-05,0.0010463202820165365,0.00736139729662123,0.0036543707680568795,0.008560351419812963,0.0,0.0014334929800379512,2.7377858339454192e-05,0.0025592006370579222,1.8366819901490644e-05,0.00765546946690741,0.3016573804442518,0.0,0.0006357004076139383,0.047940257116205656,0.04419833429681578,0.0010306401118637895,0.007445188726050794,5.4226934025162923e-05,0.0055771996940970825,0.3176782219414251,0.0071333179488855545,0.0002381290354364021,0.053285951746096086,0.00013191397591774085,0.007588479386373563,0.011240680258364328,0.0017380779453246217,0.007301693244241191,0.3661667589280129,0.007590874639880032,0.07456838700996972,0.04116590607073717,0.02495594971982499,0.0026811411089091002,0.0,0.13623595538708655,0.0390601265333996,0.00013308747863622548,3.956382287642104e-05,0.00019971475047874545,0.012470637139696952,0.0031265593458394943,0.00022456627509123193,0.05233812720310352,0.035117689074699934,3.484852695754936e-05,0.0057648546273212295,0.00022309902549619412,0.001953987145335489,0.00043511618257694606,0.01355331651358067,0.00047453274776143253,0.006722392632096616,0.007360216537352578,0.017794728477066448,0.008643894465339651,0.0015004761412328084,0.13054757800928996,0.045379936476418234,0.007611524086876105,0.03981223831413309,0.0019081955654927313,0.030266657247084553,0.008362323304239928,0.12247930760513513,0.0013832411596151816,0.008873305902088017,0.0001318950738212721,0.00012883628748628642,0.2535962270548926,0.001534101066532622,0.008873305902088017,0.8707134786220254,0.10200934438260512,0.0029457894933621305,0.008873305902088015,0.008254330032075506,0.010292895523466423,0.007276811311303877,0.01185561891276172,3.0874657559316475e-05,0.0074517570468722386,3.2876157176419505e-05,0.006954151938154783,0.010761809426457216,0.0038111041734494857,0.004659281468309341,2.2934534972572546e-05,0.0031825218807066376,0.1083210267288231,0.35029306127555904,0.38022759491818114,0.0007806273268000316,0.0028390674860464937,0.0,0.013725751951700347,0.00703814858304359,0.19688193060983483,0.0016929582611380385,6.718223206253433e-05,0.5001891294532854,6.586107596552263e-05,0.0002153129157327086,0.10890496640544031,0.0027215702151424824,0.0040284043397172155,4.0203770385677005e-05,0.00035076407474727097,3.523252137023236e-05,0.037410836270594716,0.001333573680074869,0.24579318086570162,0.11344604977458149,0.0013895629812976805,0.07764920733583974,0.0485553699837808,0.007472236228321732,0.0017375457345768272,0.007780088980649147,0.0017560764994264996,0.007021055696528831,0.007496410700313159,0.006231531766822568,0.0018836932735239419,2.3099809575286553e-05,0.01197882629193813,0.007633766518477665,0.0054229434390605956,0.12121838292135702,8.219333511637068e-05,0.0,0.0037964970991771064,0.001602780587664201,0.00018201034081232574,0.0,0.0019188282449564848,0.004939367020564757,0.001715981265632057,0.008985492441650972,0.006384537437878752,0.0020588760459596908,0.007780088980649147,0.3222555908442222,0.038214974494898385,0.07412962828166254,0.04121897490526559
Automobile bodies trailers & semi-trailers,0.0009676857744300902,0.008710756813462103,0.01623936099535012,0.0010311560588507406,0.0624428390398395,0.0004814443436769906,0.00384741559849556,0.0016451937222244184,0.0020931953229027535,0.0015476715349873713,0.001053116314313536,0.0008845148839857228,0.0015940121787841417,0.0008912385888672427,0.012656625126501352,0.09419660863644691,0.000987374061455317,0.007373667406920012,0.0011849764494777921,0.040869124946739555,0.0850357199460444,0.0014012527492820181,0.10186999415987927,0.0017141507203111172,0.0012265632774891482,0.0007828980422260466,0.003538474345845484,0.001555265148223667,0.0018252482560484758,0.003673894936630842,0.0003533594623494776,0.004829509988709607,0.03708504906686055,0.015059035843938744,0.0,0.00851375248442117,0.005146758688870477,0.0009323271098168922,0.0015940121787841417,0.0013071446754437906,0.006032784186660831,0.014749903065481058,0.030455402423943276,0.006488842853198887,0.0111522587145038,0.011224671277795242,0.005198587764415907,0.001279581634955582,0.10049942943449482,0.0007099001269654173,0.0022426238369183406,0.00453569412705096,0.00455557828849962,0.0016831354274898884,0.004012508768368863,0.0023322568742081377,0.0015501383356380624,0.0008738186702477687,0.17179619400079604,0.0010097655507743945,0.0012790228511337278,0.010191245208402085,0.01270015550801441,0.003361690209545798,0.05521582519500034,0.7491797244558255,0.014749903065481058,0.00046210661237461,0.0014976072459929025,0.040671061605801355,0.0006205951790165617,0.007992050107659578,0.00280470267759205,0.0007487698216950466,0.0027580303044866085,0.0012935763648454608,0.0017171155005506393,0.027410892978902673,0.001703804957920094,0.00280470267759205,0.0031783205967674697,0.01387826954024914,0.0010605574959966666,0.031757123255583386,0.003319712841565389,0.046975197383078655,0.0037523894970418283,0.0015492993103016063,0.0043645047165951955,0.0013933737202571888,0.002566988470351139,0.0048331733124714156,0.00448767408365225,0.0130281108429788,0.0,0.0033636845165121716,0.0012177882669250077,0.004516390747334051,0.001808749126438408,0.012243418503459632,0.01604928824095272,0.0006006382249856342,0.003535502893313663,0.02845963222938168,0.19046009634798858,0.0015035268524264973,0.0022246753839718467,0.0005188808276000837,0.004013661342461547,0.01376681214141539,0.00924787339428749,0.006802755474949335,0.03224357028267921,0.006744061555978155,0.011099181298353638,0.011811705464684373,0.0010475636187740976,0.007018899620025244,0.17260328791491494,0.01244782237884247,0.0061418169258652755,0.009445983749966481,0.08343757459109338,0.005107486254386093,0.0,0.028668124411204948,0.008315744678343307,0.0009545480073045498,0.0011320039284858103,0.0013036943842420056,0.004936877516523076,0.0007123808072604868,0.0018577192305789672,0.025935585652098456,0.04735322978827533,0.003071642492603143,0.009210265445268888,0.0010266136491457233,0.016745540824593886,0.037442614631323125,0.01401611232177885,0.0014349999883049211,0.013517419541325624,0.008858278237021703,0.010134448175172098,0.01453478306998531,0.0006006382249856342,0.04643052804824565,0.022511651118550607,0.010201794147228695,0.008477744538736173,0.0015399508444001253,0.020988100597840353,0.0017227470211281324,0.01360327385723286,0.0024453897764922733,0.00520612747384437,0.001222684413852001,0.0016847331813543086,0.01632490249375603,0.006885904539467263,0.005198587764415907,0.7061141747945517,0.028786599715318384,0.008840234151829336,0.0,0.005991211411216985,0.013826415411284283,0.006358801531251447,0.008868050183668291,0.0012833076109115807,0.005482770524024308,0.0008077060733501787,0.0015942937982451283,0.0017038049579200948,0.0043222004024720834,0.06847265560536478,0.0015134860738176257,0.0050993726102122345,0.08797886084471288,0.1599518630229273,0.08308753282762203,0.013445087954823813,0.005893680581063578,0.0,0.005332169224945515,0.01267249697716947,0.036185041825937785,0.0026259204657753193,0.001142900625237312,0.07824528537768582,0.0008713994708967728,0.0012334547587115818,0.7999211608075246,0.0017207296566118958,0.004657964800590973,0.002060144193403731,0.0010988169664259537,0.0016324923514441376,0.008294156060564568,0.0007367467043734721,0.26011625433301383,0.05418656051988048,0.0032388783240458346,0.05093930480267228,0.04064865439363919,0.0066953673678955775,0.0063001902525023105,0.004225223397349408,0.007011329433834242,0.0033295966205788056,0.0076467830829649855,0.01120136420695077,0.1416345282056902,0.0006045868315968611,0.002745836486788533,0.009343254859844526,0.017642349478924117,0.0337817801591654,0.00146537586904618,0.0,0.006275842915473855,0.0006006382249856342,0.0015792836151618296,0.0,0.0015082114009673468,0.003767576100149016,0.011998556136604947,0.013975457521983177,0.00832848076202166,0.004393821672829492,0.004225223397349408,0.1923269656809204,0.008299734177846725,0.009181502021135967,0.010025305375383901
