,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,2.141382407575445e-06,2.046157513837041e-06,3.5190179388139075e-05,2.876230715435352e-06,1.812763440016616e-06,1.8686512177319196e-06,2.016307138656107e-06,2.05414025824013e-06,1.6267322182834128e-06,1.9947460314323624e-06,2.0958274442008725e-06,1.969910923741645e-06,2.4685937681509597e-06,1.987456062526698e-06,1.9501261493846644e-06,1.7549812487609334e-06,1.99277251106526e-06,1.965293628724979e-06,2.097293870829609e-06,2.402192585049079e-06,2.47862909038479e-06,2.009776249870111e-06,1.4946139195034953e-06,1.991329541569784e-06,1.8300161194876095e-06,1.8654285000502092e-06,1.9842339998828165e-06,1.8841047454344136e-06,2.800487404477684e-06,1.7853934112983593e-06,4.6808640234435064e-06,8.471829584005784e-07,0.00017286261775255343,1.9894315201227117e-06,2.0595107145246667e-06,0.0,2.9747460905660223e-06,2.422690645352281e-06,2.101301773295269e-06,1.987456062526698e-06,1.9937313818404353e-06,4.065922178860922e-06,2.0039602960154183e-06,2.656740131763121e-06,1.9912390476414733e-06,2.0031114054445006e-06,2.1223806914751403e-06,1.9921240361520207e-06,8.255926639318549e-06,1.9537322877898704e-06,1.9414626008371314e-06,0.001457878444830947,1.9371128615961244e-06,1.987485111912467e-06,1.7891279995866605e-06,1.7654701214730675e-06,1.9811822702351817e-06,1.9993605051952395e-06,2.002231305899747e-06,1.915466192460209e-06,2.0127200348121253e-06,2.995087791070437e-06,1.8823177299142234e-06,2.868231562639998e-06,1.8186726918653655e-06,2.005686328810181e-06,1.9993605051952395e-06,1.8491678350029332e-06,1.9886502578811887e-06,1.9971577620201984e-06,2.0057114741625613e-06,1.9943045406613905e-06,2.011739091891873e-06,1.9863028008356674e-06,1.9804921155853656e-06,2.0116386594295686e-06,2.0664969247899034e-06,2.0702605107050236e-06,1.7104883081547539e-06,2.011739091891873e-06,1.6518639640194906e-06,3.975482268728715e-05,1.947220291061131e-06,2.086866706304751e-06,2.10161095709217e-06,1.425538054124345e-05,1.8912322494204218e-06,1.5343629331104323e-06,0.0046218101196242,2.030984289408538e-06,3.620470853875968e-05,1.996990212261744e-06,3.90161354997889e-06,2.011834832499131e-06,0.0,7.556689569958663e-06,1.9011606779711657e-06,2.5404551421923038e-06,1.89112558615443e-06,2.0026423040692223e-06,2.0682759479529424e-06,2.0057905185286604e-06,2.7135508790080006e-06,1.973688428386172e-06,1.854935138390728e-06,1.984848817496614e-06,1.8301555728005055e-06,1.6205794553990424e-06,2.955661784416214e-06,1.873635764869553e-06,2.0181952003361712e-06,1.773862360429511e-06,1.9697691512135376e-06,1.7952418365533579e-06,2.001462880490141e-06,1.992354900137115e-06,1.8205749846666887e-06,1.994816233143481e-06,2.070542532813451e-06,1.9980928825695663e-06,1.940018741164355e-06,1.963849218676808e-06,1.9124712451484727e-06,2.2751189570545825e-06,0.0,2.6802683333402905e-05,3.2344229792498954e-06,1.9366066330570375e-06,1.9947931694137066e-06,1.99282455797932e-06,1.988958185577807e-06,1.3044352374387533e-06,1.8395874008629463e-06,1.999208625585727e-06,2.9606469759810093e-06,5.1108360425036275e-06,1.7798737247209551e-06,1.874032263691038e-06,1.972722967256499e-06,1.920564902948142e-06,2.012077420084565e-06,1.880882057284341e-06,1.979479763395989e-06,1.996579566857521e-06,6.653388049179494e-06,1.86818702167668e-06,1.7756146724136818e-06,1.950172983367126e-06,2.3219737624722644e-06,2.014975150791854e-06,3.023687986630494e-06,1.8790190387870085e-06,2.0252464658768565e-06,1.984047847770045e-06,2.4003478623307074e-06,2.2162467750976107e-05,1.9842594372492788e-06,2.468396080803348e-06,1.9905970892094488e-06,2.0424544930138718e-06,1.9769046733286572e-06,1.984047847770045e-06,2.0268348835302687e-06,2.222222270615392e-06,4.798629004869076e-05,1.964100198508212e-06,2.6430932115513958e-05,2.0216519912344194e-06,2.063086016753635e-06,2.001725151557841e-06,1.893986138021437e-06,2.0146766499651977e-06,1.9148803859875946e-06,4.123939193551796e-06,1.710488308154754e-06,1.94199782860612e-06,2.009353679075478e-06,1.948586844342486e-06,1.945393536952602e-06,2.0515634098766356e-06,1.938091070129049e-06,1.8940639565046585e-06,5.342814027242356e-05,2.0057905185286604e-06,0.0,2.6340745488586164e-06,1.830863834715046e-06,2.0564214904818547e-06,1.0916031605146699e-05,1.9973054093228965e-06,1.9711361370637284e-06,2.07492796487805e-06,1.893959621158841e-06,2.0001456129031967e-06,2.914193708215218e-06,0.00047303138547463545,1.9755777724967417e-06,1.8852340387207183e-06,1.970119078932953e-06,3.1025117123386053e-06,1.7882431753505043e-06,2.128423024787207e-06,1.6736883838836096e-06,1.7758220830144463e-06,1.8864283509899911e-06,2.5642471136875837e-06,2.0085289448628575e-06,1.82492695242106e-06,1.9900244828257103e-06,1.376878581013913e-06,2.0035551467107884e-06,1.997172606883124e-06,6.223501022080947e-06,1.8290284452608598e-06,1.1991888672718297e-06,2.116532635771757e-06,2.18100969696943e-06,1.719505303018671e-06,2.3876696768490943e-06,1.261078241853141e-06,2.468396080803348e-06,1.950731886520844e-06,1.7678589100267257e-06,1.0545456874020068e-06,2.468396080803348e-06,3.3605591640177993e-06,1.228871549835734e-05,1.7773239375844517e-06,2.0035787204019553e-06,1.99354450756252e-06,1.9858453313835987e-06,1.9900244828257103e-06,2.0080490972242263e-06,3.3949343205668093e-06,2.5300425725001287e-06,2.866594705057748e-06
Agricultural and forestry machinery,1.502325390555131e-06,8.865408750686754e-06,1.6603660996625555e-05,1.2582944648861308e-06,5.4025575873538134e-06,1.2929001284716434e-06,5.350958035908702e-06,4.846636161383511e-06,4.856204200778856e-06,5.732811510506204e-05,1.79706022989052e-06,1.228747308608045e-06,1.9577881969763055e-06,1.7947118619561696e-06,8.441375453508985e-07,6.8922412377878646e-06,1.3612295970592487e-05,1.623113317603661e-06,2.3843369264206603e-05,2.1198198938026832e-06,7.561103670964275e-06,4.3588018626261276e-05,2.0668380114778708e-06,4.475030731547022e-06,1.3890408904393416e-06,5.813430066772179e-06,1.7002045034876053e-06,1.7975207426650227e-06,5.79380126213052e-06,1.2645466620891468e-06,5.055934915800218e-06,3.331045799098566e-06,2.2976367328948828e-06,1.8463464662448905e-05,9.217344195939713e-05,0.0,1.3742937748037284e-05,3.145667141974842e-06,1.5115089335843934e-06,1.7947118619561698e-06,1.4860596889090217e-06,4.632194218521929e-06,2.3936185711167796e-06,1.723866136507719e-05,4.929817176822103e-06,1.687932270181909e-05,3.223705355121209e-06,2.5111980475737255e-06,6.977854862822828e-06,8.980657481392886e-06,3.51805494047078e-06,4.191298733526644e-06,2.1413893317738013e-06,1.7947118619561698e-06,1.7989374874566295e-06,2.609870776390893e-06,1.3205083717904032e-06,1.184730753582036e-06,1.0550331839840383e-05,1.8942295622839114e-06,2.14215432254414e-06,1.175406137991275e-05,1.6801187433813327e-05,8.570555073210048e-06,4.870207357538636e-06,3.7873691220433418e-06,0.0,1.3093011918437906e-06,1.420844697837911e-06,7.33069375893629e-06,1.4702679743993773e-06,5.1113039393857585e-05,2.138729205374321e-06,1.228747308608045e-06,6.685546203516438e-06,1.952726601054183e-06,1.5989623790341472e-05,1.0339623202989926e-05,2.3698450571009405e-06,1.9595182005910007e-06,8.832119726042485e-06,6.6726197223264935e-06,1.364002112115493e-06,1.031440322064619e-05,6.05032619695378e-06,4.058840926221443e-06,2.6424034008002216e-06,3.409343607270521e-06,4.590227751572259e-06,1.9965509509691893e-06,9.174528967608296e-06,3.7500459925687464e-05,8.694706900051924e-06,8.64311785284659e-06,0.0,8.865871765219571e-06,2.3760506582517004e-06,1.3458503161547457e-05,2.028502045216033e-06,2.5059613758902224e-05,0.00010926299655880549,1.2582944648861308e-06,2.110860158915585e-06,4.2791901502527035e-06,6.2844528170469595e-06,2.0271143960025917e-06,4.16037762387597e-06,1.0401243090641276e-06,4.102139884232597e-06,6.717588175864942e-06,3.6827212763659843e-06,1.6516004881225496e-06,3.5126904011817744e-05,2.8859438512250894e-06,0.000176695533046964,3.654069857777024e-06,1.3853234839483811e-06,3.7251134757524194e-06,5.9793782263903554e-06,0.0001220015492329137,4.0990151171572895e-06,1.3926370857667077e-05,8.554743391586168e-06,1.3396194842908322e-06,0.0,6.0910835166283425e-05,7.1691918229965886e-06,1.6601362644895057e-06,1.3794843380126693e-06,1.5605358878411655e-06,1.925101396654155e-06,6.427181230672287e-06,3.3604859861076283e-06,9.289959037420637e-06,2.8875054884221117e-05,6.235167996311231e-06,1.8111040500645843e-06,2.6902672433775743e-05,5.141779269547012e-05,2.354405627335553e-06,8.575763248559977e-05,1.931711917127781e-05,2.4810635638043056e-06,5.455610192649651e-06,1.5435753989233635e-05,2.2159926430441143e-05,1.2582944648861308e-06,4.626792874117579e-06,2.441512368607913e-05,1.2356175821200767e-05,2.025414707049127e-05,4.704683274748836e-06,3.2689395915455327e-06,1.913765850116822e-06,1.562000871145248e-05,6.303434616924198e-06,2.018728719226264e-06,2.1261941510377782e-06,2.0218534036846492e-06,6.4439152404949e-05,2.417213088078722e-06,2.5283514211181036e-06,5.174203514566475e-06,1.0093314294866093e-05,4.428775609077039e-06,3.305321060678284e-06,7.4610218665702934e-06,7.920781675706602e-05,2.352801430695886e-06,1.0742475265917551e-05,1.1393973190847183e-06,2.3936185711167804e-06,4.479302038524491e-06,5.623950232409115e-06,2.3698450571009405e-06,5.2805804801761306e-06,3.772070782010256e-06,1.9548303808388277e-06,2.1501323508597844e-06,3.0956554653120944e-05,3.7202917022634064e-06,3.09224234883939e-05,8.46353863420925e-06,4.3265526806371065e-06,0.0,2.962495997538446e-06,9.982473242643922e-06,3.009514161945153e-05,8.548541887066364e-06,1.3452311886757484e-06,7.693238150649958e-06,1.2491990008170209e-06,6.048794594729695e-06,3.927128436664358e-06,1.5545942602502996e-06,4.144241898945125e-06,1.9186879721833906e-06,2.0689509313137664e-06,1.6068009995462125e-06,8.266009871130552e-06,1.2733797005600514e-06,1.3815399807932569e-05,8.506104497109304e-06,1.2620942586129722e-06,3.3335356047413575e-06,6.895231428287692e-06,0.00020954035392567273,3.551596460715367e-06,1.6231133176036614e-06,2.3840913413454645e-06,9.879971910266226e-06,3.453226485871588e-06,6.285662925770931e-06,2.0096707047733243e-05,1.094375187798596e-05,4.6281105666718315e-05,5.507792528628457e-06,3.5735153144157446e-05,3.568685773749063e-05,1.4622666313910873e-06,2.0948786241221583e-06,6.433176996427108e-06,1.2582944648861308e-06,2.8365995926423185e-06,0.0,1.4333874070158184e-06,3.926114904176236e-06,1.6595072067902521e-06,3.936088876282113e-05,3.2164749300302704e-06,2.9232051094173586e-06,8.27658623165788e-06,8.868322004323876e-06,9.213994105811765e-06,2.2157620133764284e-05,1.0271164770186817e-05
Aircraft and spacecraft,1.1807998638901777e-05,4.63323301156449e-06,3.584813848792932e-06,3.6613569712879112e-06,6.113076416207797e-06,2.0513059489318287e-06,2.6533332562442945e-06,6.477063985070238e-06,1.5621597604387031e-06,4.514827798969264e-06,3.393362299889407e-06,1.4031031699355404e-06,2.5381994313387287e-06,1.533481217704322e-06,2.359559121052487e-06,5.055660610979932e-06,2.7906610967675306e-06,2.3070463159141684e-06,2.008394048294661e-06,4.911059593546547e-05,2.0838274680706175e-06,2.966694937546822e-06,2.6814326438592957e-06,3.050204148257736e-06,2.923132677350935e-06,1.6950158811390184e-06,1.4402680970131805e-06,2.377736085137116e-06,1.6377277475253878e-06,1.7419164123840109e-06,2.06677662614595e-06,2.1860548902416616e-06,2.6384852073844916e-06,2.915241811851194e-06,1.4835553756652386e-06,0.0,1.8742960215127047e-06,5.623350267150989e-06,3.887347626492926e-06,2.5520417312069866e-06,2.28800042231709e-06,1.722589081360429e-06,1.966757853106723e-06,1.941787929522345e-06,2.204484105122093e-06,3.846224836396889e-06,1.6321752836984293e-06,1.902177969883387e-06,3.4926350268404905e-06,2.591445633218845e-06,2.1990951021595713e-06,2.3960924247611835e-06,2.1533691656851623e-06,1.533481217704322e-06,3.375695649631807e-06,2.0783378656923682e-06,1.401632566201397e-06,3.1247313376399202e-06,1.976067768405354e-06,4.727886408182592e-06,3.4116268648412737e-06,1.6927877236599612e-06,3.259908888983434e-06,3.3595141126378816e-06,4.242772925457649e-06,2.4583974309966556e-06,0.0,1.2007441064351605e-06,1.8305899195262961e-06,3.2037430588121865e-06,1.9792915165270412e-06,1.6605533511245775e-06,4.834958520376754e-06,1.4402680970131805e-06,1.7818121093086027e-06,3.142974678337599e-06,2.003301830262785e-06,2.0827010075723316e-06,7.980327662687914e-05,4.856113732489096e-06,2.8879237770022706e-06,2.6793578415003237e-06,2.522572103621588e-06,2.0050989149631393e-06,4.8524599970986406e-06,2.1406605857235255e-06,3.327652362617601e-06,2.6108243112110995e-06,3.885767204571614e-06,1.0095866495559966e-05,2.2818737858372656e-06,2.4184652133764576e-06,3.0948720413673136e-06,2.903290901912942e-06,0.0,2.538274104585589e-06,2.1771588153808212e-06,1.674060248622211e-06,3.148622989294386e-06,2.2913679677840075e-06,2.443985303811384e-06,2.203083523493619e-06,1.6870512439492285e-06,2.6774979300382373e-06,3.4992030649292667e-06,2.975526714893084e-06,2.4766255838610203e-06,7.939155948671597e-07,1.7501675418035866e-06,1.7818121093086025e-06,1.986573732454337e-06,2.3980598934696993e-06,2.2723375347913285e-06,1.8631287171255816e-06,1.923767493918818e-06,1.7056465160554106e-06,1.7582604982491493e-06,1.8137812837188543e-06,2.1393546176381273e-06,3.5000310011809873e-06,2.9204792995636142e-06,3.5808544541080154e-06,1.523859272891592e-05,2.237464765494303e-06,0.0,2.7328389254035476e-06,1.8506341112145506e-06,3.297409005474394e-06,6.894707920134355e-06,3.6386689433157206e-06,2.0235209000379015e-06,1.1971299609387778e-06,2.4006849784145994e-06,1.5715904902672107e-06,2.655796768297633e-06,3.5496747120259826e-06,2.21660409983311e-06,2.687567111936615e-06,2.5024886415511406e-06,3.112921116195427e-06,1.565940040620499e-06,2.3530648806359066e-06,1.7802663447442027e-06,0.0,2.19675485830832e-06,1.87064445941739e-06,4.696409946855372e-06,4.397217403710373e-06,1.7787368806485106e-06,3.3971443209851886e-06,1.9179089242370774e-06,1.5366129660956555e-06,1.4762792949401894e-06,0.0,3.100943244964772e-06,1.6906032505247916e-06,1.5604625692429286e-06,7.995269882988065e-05,2.259714403272713e-06,2.015475401332484e-06,1.533481217704322e-06,2.461776446008796e-06,8.170562293341791e-06,2.428943260741128e-06,2.36937426453321e-06,1.440268097013181e-06,2.4804250755560835e-06,2.7586459394552434e-06,1.607079229027089e-06,5.676179237113565e-06,2.262092784289912e-06,1.6679178682084897e-06,2.1406605857235255e-06,1.7683682194777921e-06,7.980327662687917e-05,1.6032398832418225e-06,2.748150951922356e-06,2.3854802396403263e-06,1.6679178682084897e-06,2.341168386724442e-06,2.69945198091972e-06,2.3313460918216834e-06,1.8106841344973944e-06,2.203083523493619e-06,0.0,1.976762223384734e-06,1.1192583667482944e-05,2.410027382943195e-06,2.0615571901099975e-05,2.2114136280849544e-06,1.935595260117274e-06,3.471925914093827e-06,1.984997635349273e-06,2.257317671341036e-06,2.365819378007414e-06,5.1461450189665265e-05,1.9320336829975794e-06,2.2965618974959297e-06,2.8042261886880913e-06,2.780212465984817e-06,2.227922970423807e-05,2.282818115004741e-06,2.2801324565604304e-06,3.488120305243241e-06,2.758483653370597e-06,3.32631955408722e-06,2.434210783639234e-06,1.8414416655271536e-06,6.946031616554773e-06,2.2946300941615158e-06,1.8470166944945053e-06,1.9186635045021987e-06,1.8805510367359786e-06,1.6015741456079689e-06,1.7955447071460048e-06,1.986573732454337e-06,1.8016433546291115e-06,2.526990842660419e-06,2.2865245565694914e-06,6.565877091612093e-07,6.044055966031983e-05,1.8923923079265071e-06,1.5604625692429286e-06,2.036511707833033e-06,4.856113732489096e-06,1.8906813409925484e-06,1.9208087044113117e-06,3.2336050791502553e-06,1.978949744684969e-06,1.6975305179247951e-06,1.8737310303265175e-06,2.2766453311018076e-06,2.5960996658985185e-06,1.949961615331775e-06,2.248256333307521e-06,2.401397368683736e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,1.6017759953593732e-09,2.0808026163915769e-10,2.594469514247485e-09,5.802942164633703e-12,8.718082994887967e-11,3.769641323943745e-11,2.3089797349219644e-10,1.2694762316148565e-10,1.8987384302570757e-11,2.1490768017796113e-10,6.476117047939755e-12,1.812650622617679e-10,9.805195181436606e-11,1.0598334809524501e-11,1.324178683913697e-11,9.217167771283396e-11,2.4588657989675383e-10,4.521889036196207e-10,3.3563770210168265e-10,1.478033893293373e-08,1.6873517338688282e-10,2.6132811029541243e-10,2.6211128157456333e-12,1.9831263222114757e-10,1.7638070541842124e-11,7.792087298328141e-12,2.0594472899404825e-11,4.056498083093243e-10,3.442951918551781e-11,4.124882152797248e-11,1.7625251216618678e-10,2.873997430911376e-10,4.570033886035711e-11,2.898068937345179e-10,2.5260561434412837e-10,1.5935257712173166e-11,2.340955684926023e-10,1.2925053064645364e-10,6.476117047939755e-12,1.0598334809524501e-11,2.6683138137145046e-10,1.6121519628513992e-10,2.665648776852478e-10,6.975132044950882e-11,1.011995222936726e-10,2.4320627806445527e-10,1.8038320314281172e-10,1.5720316251066904e-10,3.939613934498957e-12,1.991497729292161e-10,3.728847344592582e-11,2.5594495697979007e-11,1.0957229584400181e-10,1.0400741850784146e-10,1.7237644804775282e-11,5.011106231090437e-12,7.438678438563492e-12,6.704140518013314e-11,2.4066525654370696e-10,4.663995664255358e-11,1.812650622617679e-10,1.5935257712173166e-11,3.486717295384509e-11,8.937444747416147e-12,3.606410835937675e-10,3.010030201295725e-10,0.0,4.504072351826412e-12,8.829412205993282e-12,2.9612522767023044e-10,1.1075313696477168e-11,1.7770377913698313e-10,1.8008874110871778e-09,2.046030555995922e-11,1.5799387218968583e-10,2.0825972462400177e-10,2.3293637882221333e-10,7.541147424664782e-11,8.879278361931112e-11,1.8008874110871778e-09,5.477326250656288e-12,1.6567349182513708e-10,2.773100244489971e-10,2.230329155409465e-10,1.4788567118608098e-10,2.6959184435039953e-11,1.501735157325025e-10,5.653895274775439e-12,1.1583530249135239e-10,1.8971500389486235e-10,3.374158777772763e-11,2.476190025947068e-10,5.546580407356772e-10,2.580638461694417e-10,0.0,3.348509336139836e-11,5.970129948075913e-12,2.798735719817218e-10,4.334226371208005e-12,2.615105229674051e-10,2.526097030471456e-10,0.0,1.1658811424112903e-10,2.8524813495779765e-10,6.247337648336612e-11,1.239428549623405e-09,1.0845765292983906e-10,6.075305221326742e-12,5.450383996034772e-11,1.9998477973148092e-10,4.732261217461114e-10,1.960403792436324e-11,2.9484900318916715e-10,1.882578896897597e-11,2.450287429133728e-10,1.7756637760592708e-10,1.5526588574898373e-11,2.3753704749753357e-10,1.750705244404831e-10,2.289614774649183e-10,1.053414896337427e-10,8.995301158034615e-11,1.5649185061586333e-10,6.511799875643742e-11,0.0,2.3015257870506234e-10,2.3260109656759057e-10,3.512612287640885e-11,1.0934018056462739e-10,5.13887108101251e-11,2.5606116319322564e-10,1.3365178147779896e-12,1.2177026561619937e-11,2.44527504094578e-10,2.3682757573992443e-10,6.489578078585979e-13,1.7746357078698292e-10,2.8923976942307012e-11,1.308193911807022e-10,1.1332550282580714e-11,2.358125362732996e-10,2.78773319386846e-11,3.216620523389909e-10,2.428399361652095e-10,1.2077418219938272e-10,1.3641802081792886e-10,5.860122855824965e-12,2.353870901483515e-10,2.3356763333202034e-10,2.6284055207426495e-10,2.3273184126012571e-10,9.119021548739367e-11,4.891980206699065e-11,1.4284830386690528e-10,4.2598901538955456e-10,2.8793850556515404e-11,1.5135707412664547e-10,1.544739648497194e-08,1.4790198494794274e-10,2.4964755981038575e-10,2.6697383959515375e-11,1.5135707412664547e-10,2.3432561980243803e-10,2.3895445291951025e-10,7.794444889955499e-11,1.5135707412664542e-10,1.2380548441352603e-10,3.068577038684161e-10,3.3263664691867934e-10,2.0863450745819794e-10,4.798590005104753e-12,2.676696419210216e-10,2.199436631054143e-11,2.0738764550532717e-10,8.879278361931118e-11,9.964856658003903e-11,3.0901249313364234e-12,7.40935196594249e-12,5.665153708329869e-10,1.7055567683939356e-10,2.1853196772518187e-10,2.396740339915075e-10,5.021190301901003e-12,9.297483686275605e-11,0.0,1.3046897158173963e-09,2.3549758134282757e-10,2.4044064307487116e-10,4.4809088500917064e-11,6.685225399928978e-10,2.5522458781879157e-10,5.12406349233308e-11,5.7630488243557214e-11,2.6250630710543836e-10,1.4660130065249024e-10,1.0508265522361669e-09,9.81650021908973e-12,4.0665540335667124e-11,6.587648906574689e-11,2.3579890123204976e-10,1.854095322235364e-09,2.0992247726039122e-10,2.515221009643708e-10,1.3354852984694704e-11,9.247361857224979e-11,3.760537650470612e-10,2.2096040091490028e-10,1.9151769920557638e-10,2.0847749381509068e-10,5.276304119243058e-11,2.4864769915776486e-10,2.067278055644721e-10,1.81837924301865e-10,7.965190939896641e-11,1.3926168280510712e-12,1.7776644203880439e-10,2.974824189721364e-10,1.4210159935305405e-11,2.789653634775897e-10,6.56896973119821e-12,0.0,1.3909592281989936e-10,5.752854792553888e-12,1.5320680176096871e-12,0.0,3.2567770401005456e-10,1.7706169860066647e-10,3.367491034503212e-10,2.7840293220035416e-10,2.0488366114858116e-10,6.482682278746621e-11,2.0847749381509068e-10,2.330942642397421e-10,2.3251744344782456e-10,2.372250892302737e-10,2.2473111208076775e-10
