,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.34396630768588354,0.5239748633971958,0.487187507553474,0.32957150626745424,0.44012110591867143,0.4517360594068267,0.4897285775506171,0.40826518522356264,0.4031552409323044,0.5414919434355284,0.4563892043526043,0.47417699992160295,0.342498251986508,0.4705898434482437,0.4790657256227825,0.4235093327323498,0.541059429385472,0.47039387029482427,0.5761369218126923,0.4673098877102913,0.48057731385720504,0.5121031877641593,0.36513768899816434,0.48442607595990045,0.3668712386946727,0.4559835202843737,0.4743158764907846,0.46856506917972485,0.40699162509138676,0.32325210312120317,0.45309636927783953,0.1999140652372311,0.3669160070328937,0.5190918522124294,0.5125431748685476,0.0,0.47416136939915143,0.478768923534842,0.4037795169514292,0.4705898434482437,0.4664643093412172,0.46075690341569175,0.5107847272426703,0.4819093278654334,0.5044140106013625,0.4822562481834924,0.46200300575330466,0.48314074585437283,0.27216846949019574,0.4765703133786117,0.4493491268816025,0.435752477133756,0.4356683647731202,0.36916289914517253,0.4709339510006472,0.3269426727600671,0.43630884613330756,0.4781449654755372,0.4786591714663768,0.5186657479075953,0.43361765005221353,0.47472507559967453,0.3590152753119225,0.4580289483390845,0.13171978978357007,0.44766882904256905,0.49574921752683443,0.4786591714663768,0.4445041447553443,0.4966791704278751,0.547184708198328,0.4795757214848297,0.5517142110082716,0.46450413037414756,0.474796035485006,0.4551657187832576,0.47202373919062557,0.5075099730158964,0.4660525981387243,0.40937713778094914,0.46450413037414756,0.4121136315089163,0.47709009798628876,0.4579630256910241,0.49491746383482194,0.4906022649291382,0.45057893735723215,0.46910746329272046,0.3858136699409614,0.3696563934011589,0.47432178836009586,0.4382742004349655,0.5099807027391859,0.3586302247868485,0.5155913479716807,0.0,0.4218032091992714,0.4563671429607477,0.3868123823977245,0.46672826208975043,0.5130356098916464,0.5468449161407157,0.4386562894506116,0.4940146887158133,0.453632650961574,0.4683564771159225,0.42849903636794484,0.39148910970233924,0.4087223138106231,0.4540464658533876,0.4982712311463074,0.43966102958186465,0.4427641257434497,0.44504226590969737,0.5094403754782156,0.49353138520672035,0.32621978611921704,0.503410266148513,0.4715847445838986,0.5092548365648856,0.4846617927776012,0.49152181459311467,0.4801088819907402,0.4152686845176208,0.0,0.5220789932424527,0.4781059816154773,0.46684548298019657,0.4795130805325484,0.4732072367563328,0.4893613966934221,0.3169286525146037,0.45038950652837173,0.501122006554807,0.5095151299193981,0.4270345180272175,0.34697112458528007,0.4563755637720252,0.46823718809687065,0.4578553020935787,0.5253080726722031,0.45949553338504395,0.4946767522465922,0.5046723742576111,0.4877912893835284,0.46488815846926507,0.31579884123371194,0.4724297971065486,0.49503869498718583,0.5287000857522247,0.4784959980256984,0.45746894481427275,0.48843015521430233,0.4866467490088707,0.47775638449139507,0.4383195452303107,0.485649900943753,0.46688773028844643,0.4612250629443353,0.5115707615566062,0.4753905733529815,0.4866467490088707,0.5002161504215938,0.5094651558023059,0.46232320974357116,0.4816156823788221,0.44993381315425723,0.5404940521310673,0.49115158322711233,0.6696832835551321,0.472758193541537,0.4911640769073456,0.45545154166296964,0.36809625667455115,0.40937713778094903,0.4783748613710148,0.46926479141618727,0.4735605403161124,0.48352112367344025,0.5160489112033523,0.46516961472149054,0.5996886503232876,0.4691940305367657,0.5468449161407157,0.0,0.4709679291355376,0.4104680636483323,0.4890755727765828,0.42254529894843174,0.48016790310696644,0.5013168153807099,0.4597428331353369,0.45874736461648563,0.48409426372615927,0.4651042851266347,0.427626981591931,0.4858995022338534,0.45127062488657094,0.47447068140797455,0.484902738951949,0.3197642943224435,0.4672720106140884,0.4323032340636676,0.3122951394754324,0.3990681179626144,0.49955443622758045,0.5225021022027571,0.4530099396443264,0.5218404995855404,0.33676244409059014,0.6950000722807026,0.5336714151159181,0.37698700667885976,0.4580792674505388,0.29368905904549053,0.5191420982470983,0.509796227998049,0.423530811406468,0.4999990858935611,0.3129143771171347,0.4668877302884463,0.3524625916531298,0.3109144548970272,0.26289626500151825,0.4668877302884463,0.40812891868571416,0.36587840075744216,0.31765295823273026,0.5142630942366734,0.5395343607558456,0.4797119775109101,0.5218404995855404,0.5277134739456031,0.47887049100133544,0.48859832589783103,0.48003974685572975
Agricultural and forestry machinery,0.0019183076446886616,0.0014160513906256917,0.001983921564583594,0.002070368209727123,0.000869360538683726,0.0006826428399471186,0.0024556882069701608,0.0015788614478481511,0.0010707767518960793,0.027578290662575188,0.0011989586122597496,0.0012776831884045842,0.0019189359136297108,0.0011988683077563066,0.00042884992996396307,0.0011361521594272933,0.0018233362696436185,0.0013800104567713895,0.0019125419193513663,0.0008622651036904972,0.0014974175798648443,0.002516296356253798,0.000925987276761833,0.001507673566007083,0.0020338380072596387,0.0009801776435591132,0.0011370958870487264,0.0008712972590372148,0.0018950194076014144,0.0020574908503055984,0.0015567730757500644,0.001612102885470347,0.0018001612918059407,0.02506550272372173,0.003629431307253787,0.0,0.0016313774411096421,0.0014441217486855884,0.0016619417712556105,0.001198868307756307,0.0007441138638565359,0.001187316105301422,0.0015136527201831675,0.0017572248775302687,0.0014689346445514837,0.0018094308385753783,0.001381717714946749,0.001957590956198962,0.0012968177051829143,0.0025198767272919293,0.0007295590427599153,0.0014760479421424065,0.0007767916237149629,0.0015852625954920808,0.0011988683077563066,0.0019071283627950155,0.0006112932049040721,0.0006475480936253763,0.0005621453846087302,0.0014242117074597235,0.0018579223163940548,0.0008378689850055182,0.004442505389016235,0.001274766357448505,0.0017872840791712777,0.0012553970359463974,0.0006064703860508513,0.0,0.000536742879240441,0.0007592133806595223,0.006750008848723773,0.0006829415962471854,0.010449111448951536,0.0016250867981403132,0.0012776831884045842,0.001503481877263446,0.0007894969404129286,0.002720136543188135,0.0029344715271468606,0.0009919067388512802,0.001442358484415604,0.0012526518542182194,0.002466663109433042,0.0006130345988003453,0.0016244392563406116,0.001416457912316362,0.0007127014965541438,0.0009736807778828423,0.0006397185074228067,0.0017652047688305908,0.000795075121792436,0.001675513981173057,0.004565658696261606,0.0017013544511178904,0.0020820037201728973,0.0,0.0016891240130875666,0.0006122330192121605,0.002129514756595403,0.0008367964558808941,0.0039107287702859934,0.002070368209727123,0.0010781596226107316,0.0014296804190119762,0.00117942052142866,0.0009643117543876408,0.001197093450151645,0.00023700538304766597,0.001824794579706827,0.0012129955668717506,0.0014397644153402115,0.0008745486763582514,0.002589987722043934,0.0012714686007899972,0.016453494202734946,0.0013548834519616268,0.0020039565783687915,0.0013459346386618667,0.000947945232532969,0.009229602251924195,0.0011232632212825051,0.06193800880095465,0.001094442783795726,0.0017751059466670639,0.0,0.0035891080482937346,0.001295968089672805,0.0008024730158464255,0.0008024119162285692,0.000732721377753972,0.0017802641595404934,0.000838458749445445,0.0009107188097074393,0.0016634144576400697,0.002875526023706925,0.0012319708150738064,0.00180166692617039,0.0015808232744479933,0.0037264063273412355,0.0008468996735464945,0.010583794452621198,0.0013436548265433341,0.0013692378936882403,0.001489620098721369,0.0017591388249908232,0.0016941601012971487,0.002070368209727123,0.001536908278962689,0.0020617787698013613,0.0034478506383912606,0.0016971854219857804,0.0011251968475177493,0.0014251364355120449,0.0013325027215078723,0.011755359586966488,0.0017290994172946552,0.0019112914822767906,0.0008631488645015564,0.0007966354425762159,0.0029833240863053312,0.0013071247726478134,0.002022355986818912,0.0011014393902502035,0.001549491194616913,0.0036332698410897328,0.0016252506712376442,0.0017727008190322267,0.006995671953909185,0.0016417798849590291,0.01715761688815082,0.00048122448806390617,0.0015136527201831667,0.0006221322848076461,0.001638853029666646,0.0009919067388512804,0.0014603834262816601,0.0011799771907972216,0.0007731497280976964,0.0009590997606269961,0.002051619400228216,0.0025072470179394683,0.001991394274025635,0.0018428154264771446,0.0063917200310397645,0.0,0.0014481392682509481,0.0016699777023703062,0.0023779733891376395,0.0017858681533120281,0.0005613478710859381,0.0012955385976373783,0.0013054759918508924,0.000897929979611686,0.0023098654374037932,0.0005503274996557475,0.0014314613642764842,0.0008584257479368533,0.0005892246702717058,0.0007824904136731187,0.0013939022619423314,0.002042812311255261,0.001819946177766183,0.001296557233777136,0.0016011669252043882,0.0014660141563876065,0.0022820939090287323,0.01469944337608982,0.0011780167904390157,0.0013800104567713901,0.0011145082396427615,0.2232582471716694,0.001671310550140075,0.001742726851830382,0.0012379772637924205,0.0013304917593745904,0.009527130945506586,0.0014939528679655297,0.002577445240891428,0.0030882927064060702,0.0008398590608530549,0.0016808687602629636,0.001655312932146897,0.002070368209727123,0.0007353738888209656,0.0,0.001993629561979115,0.0015723028152746156,0.0019172984691368737,0.004290012195271354,0.0012924347904917602,0.0014384161110662858,0.0025132232458625536,0.001552804553818364,0.0014841705336697607,0.0020273031723511527,0.0015070794821215414
Aircraft and spacecraft,0.0004761314797241645,0.0006358763035023119,0.00046440676301088207,0.0005170070357178121,0.0003063877581825905,0.0005084002007631593,0.0006119331127877183,0.0004396927902633003,0.0004016695338766053,0.0009777214168820156,0.0005092735816924023,0.00035010787919957984,0.0005284181513195097,0.0011658870340694127,0.0005646386247135665,0.0007177750023893152,0.0005254525328386236,0.0007831983347681515,0.0006518273743390774,0.0008143808001057375,0.0007540830982908165,0.0010533732491367189,0.0007748831141226787,0.0006653204434606053,0.0005522715991928401,0.00039884792981430446,0.00037248446494726067,0.0006081537895769171,0.00039965725342954334,0.00042626580139188373,0.0005253059562001928,0.00042362837648006533,0.0005167632575824963,0.0006781229282740212,0.0004221402414700575,0.0,0.00042943006608774846,0.004353387559019922,0.0004950410344478713,0.0011016722571693671,0.0006085563528843221,0.0004841765889132458,0.0004553460366653117,0.0004147654006159188,0.00045527194810411815,0.0007273209518219708,0.0004946403565985206,0.0008592032007815988,0.00044411893594971163,0.0005441224749636379,0.000494193283835252,0.0005202119503985311,0.00041195637723802375,0.000766928078608496,0.0011658870340694127,0.00044302847983054123,0.00045051940905785375,0.0003492224451856997,0.0005150680603719955,0.0004556877158926513,0.0009390442068745856,0.0005909041651826305,0.00041926781296660926,0.000652430488374516,0.00041868242984219545,0.0007821042208111366,0.0005951906586579903,0.0,0.0003928874086096328,0.0005274011531929509,0.0006938865722175596,0.00044140354836655213,0.000434198473176324,0.0009530597242755915,0.00037248446494726067,0.00044023317538588225,0.0005162499432234655,0.0008564917249950477,0.0007643875568172789,0.0007147483933607517,0.0009564128763445807,0.0005347685724476037,0.0006760221593907454,0.0005371843297989824,0.0006419710457104183,0.000955836403424822,0.0004045081393874566,0.0006067128486682544,0.00037157373076819134,0.0004950800668696173,0.0005106701902771845,0.0004165367469428337,0.0007576599329216729,0.0004216560941212343,0.0008263687357241561,0.0,0.00045614741269520484,0.0004289889837523312,0.0004275478376905784,0.0007063010629710937,0.0017603829119639987,0.001122057563696259,0.0004646217916985522,0.013665568203676126,0.0016893311212795015,0.0006129088789917123,0.00045637091059167644,0.00015946658633344104,0.00040887828690231175,0.00044023317538588225,0.0005226841948869892,0.0007606352501208072,0.00046286182649072066,0.0004015006316709712,0.007311631924872979,0.0010920751481116118,0.00043062370014797864,0.0018016383371788586,0.000568031401785901,0.002345983785997888,0.0006281824342186125,0.0007210661559547741,0.0005749473551971563,0.000480414335025482,0.0,0.005005352402136466,0.00042925134859116674,0.0006542344554500955,0.000497233452480411,0.0004946482530823864,0.0005515628238983677,0.0002892537187955818,0.000511235726708592,0.0003768073918829948,0.0005682912316570983,0.00048361474559576633,0.0005851560680784545,0.0007086508983021012,0.0005476903826892434,0.0005546511040610657,0.0004580054271068918,0.0005225339742504487,0.0009582143229898502,0.0,0.00035413109546909356,0.0003192636415548589,0.0008803544456463465,0.0005314645782818426,0.0004739247335361343,0.003814125652972028,0.0004619996221170764,0.0004612068195790567,0.0003758282855314347,0.0,0.0005892866242988362,0.0016398599010730786,0.00039705206124782583,0.0007153949416886388,0.0004622559587919611,0.18453667595906267,0.0011658870340694127,0.0006256031010975812,0.0007074224701778405,0.000458751097034159,0.00042266501409104546,0.0003724844649472609,0.000584062569355978,0.00414904643588404,0.0006373361665367083,0.0029036508765497506,0.000515904400710063,0.002173020512798058,0.0004045081393874566,0.0004156072904253323,0.000714748393360752,0.0003988244365840418,0.0005762179597896466,0.000501246135753985,0.002173020512798058,0.0005623386832120281,0.0005886405309573717,0.00114739735472182,0.0027334795211355475,0.001122057563696259,0.0,0.0005007272348943885,0.0010738532895403208,0.0005987296066322534,0.0005347304792976705,0.0011164178262371796,0.0007236001379799724,0.00047423555618107937,0.0011296540551115803,0.0013874472937344725,0.000696309771389806,0.0006752738144245037,0.0007135018771842559,0.0005288708154647599,0.00045249967337664983,0.000456439286653858,0.0004292972145803446,0.0006916793581272441,0.0012165718105633834,0.0006942003837921182,0.001189333118987771,0.0004986656065285449,0.0058500918727326925,0.0016505798147584,0.0004877154837173788,0.001863105969766441,0.0009101989497162556,0.0009141143292575633,0.0004713174137027982,0.0003881103131517807,0.0003868750367494523,0.0005226841948869893,0.0004993630559201334,0.0005209002776851537,0.0005905400608791104,0.0001602904966004432,0.0006588701766462492,0.0004268784182107628,0.00039705206124782583,0.0005507145619314,0.0009564128763445808,0.0004311348140890559,0.0004445062807599941,0.0005357801345760482,0.000514108327792208,0.001137432853143172,0.0010355321168516445,0.0006115684754154736,0.0006500934484421953,0.00044075074456842136,0.0008415093482953289,0.0005362514675439802
Animal feed ingredients and pet foods,0.0,1.0000000000000022,1.0000000000000022,0.0,1.000000000000002,0.0,1.0000000000000022,1.0000000000000027,1.0000000000000022,0.0,0.0,0.0,1.000000000000002,1.000000000000002,1.0000000000000016,1.0000000000000024,1.0000000000000018,1.0000000000000022,1.0000000000000016,0.0,1.0000000000000022,1.0000000000000022,1.0000000000000016,1.0000000000000022,1.0000000000000027,1.0000000000000013,0.0,1.000000000000002,1.0000000000000022,0.0,1.0000000000000024,1.000000000000003,1.0000000000000027,1.0000000000000024,1.0000000000000024,0.0,1.0000000000000027,0.0,1.0000000000000024,0.0,1.000000000000002,1.0000000000000036,1.0000000000000036,1.0000000000000013,1.0000000000000022,1.000000000000002,1.0000000000000027,1.0000000000000013,1.000000000000003,1.0000000000000027,1.0000000000000024,1.0000000000000029,1.0000000000000024,0.0,0.0,0.0,1.0000000000000018,1.000000000000001,1.0000000000000016,1.0000000000000022,1.0000000000000016,1.0000000000000013,1.0000000000000018,1.0000000000000018,1.0000000000000004,1.0000000000000024,1.000000000000002,0.0,1.0000000000000024,1.0000000000000018,1.000000000000001,1.0000000000000018,1.000000000000002,0.0,1.0000000000000018,0.0,1.0000000000000016,1.0000000000000027,1.0000000000000018,0.0,1.0000000000000009,1.0000000000000024,1.0000000000000018,0.0,1.0000000000000016,1.000000000000001,1.0000000000000024,1.0000000000000027,1.0000000000000013,1.000000000000002,0.0,1.0000000000000022,0.0,1.0000000000000018,1.0000000000000027,0.0,1.0000000000000024,1.0000000000000018,1.0000000000000022,1.0000000000000013,1.0000000000000024,0.0,1.0000000000000024,1.000000000000002,1.000000000000002,1.0000000000000016,1.0000000000000029,1.000000000000002,1.0000000000000022,1.000000000000002,1.0000000000000027,1.0000000000000018,1.0000000000000013,1.0000000000000018,1.0000000000000022,0.0,1.000000000000002,1.0000000000000022,1.0000000000000022,1.0000000000000027,1.000000000000002,1.0000000000000009,1.0000000000000029,1.0000000000000022,0.0,1.000000000000002,1.000000000000002,1.000000000000001,1.0000000000000013,1.0000000000000013,1.0000000000000024,1.000000000000002,1.000000000000001,1.0000000000000009,1.0000000000000024,1.0000000000000018,0.0,1.0000000000000016,1.0000000000000013,1.0000000000000016,1.0000000000000027,1.0000000000000018,1.0000000000000022,0.0,1.0000000000000027,1.0000000000000022,0.0,1.0000000000000029,1.0000000000000027,1.0000000000000022,1.000000000000002,1.000000000000002,1.0000000000000022,0.0,1.0000000000000013,1.0000000000000018,1.0000000000000024,1.000000000000001,1.0000000000000024,1.000000000000002,0.0,1.0000000000000024,1.0000000000000024,1.0000000000000027,1.0000000000000022,0.0,1.0000000000000007,1.0000000000000022,0.0,1.0000000000000018,1.0000000000000013,1.0000000000000033,1.0000000000000027,1.0000000000000022,1.0000000000000029,1.000000000000002,1.0000000000000016,1.0000000000000018,1.0000000000000022,1.000000000000002,1.0000000000000022,1.0000000000000016,1.0000000000000022,1.0000000000000022,0.0,0.0,0.0,1.0000000000000018,1.0000000000000018,0.0,1.0000000000000027,0.0,1.000000000000002,1.0000000000000013,1.000000000000003,1.0000000000000027,1.0000000000000018,1.0000000000000016,1.0000000000000022,1.0000000000000027,0.0,1.0000000000000022,1.000000000000002,0.0,1.0000000000000016,1.0000000000000016,1.000000000000003,1.0000000000000013,0.0,1.0000000000000016,1.0,1.0000000000000024,1.0000000000000018,1.0000000000000024,1.0000000000000022,0.0,1.0000000000000029,1.0000000000000018,1.0000000000000013,1.000000000000002,0.0,1.0000000000000022,1.0000000000000027,1.000000000000002,0.0,1.000000000000002,1.000000000000002,0.0,1.000000000000002,1.000000000000003,0.0,1.0000000000000024,1.0000000000000018,1.0000000000000022,1.000000000000002,1.0000000000000024
Articles of concrete cement and plaster,0.0018112142648846969,0.012294467025186422,0.00396122251370069,0.0005483289318285392,0.0013261691959389507,0.0001755652546324943,0.02049763492396449,0.003997110649501231,0.0002763904073870322,0.026470839975637508,0.00030335742857060286,0.00012671205941166565,0.005333068891345189,0.0010300514643877532,3.641452377998882e-05,0.0007288829341131754,0.011395333451353254,0.0002386863488389857,0.02436282008987965,0.00039298906569941065,0.005846171299491735,0.12142963380417675,4.136038337286693e-05,0.011734629384310746,0.001284170252780145,6.428580847220287e-05,0.00010394879831660137,0.005026873740454873,0.001714136654465881,0.0006251125251803123,0.005425939935511036,0.008470676878099877,0.0046602587424986255,0.03039360057644991,0.023679842257806605,0.0028814928735022708,0.03759332964318714,0.004300041427014285,0.00030335742857060286,0.0010300514643877532,0.0005057985999802171,0.004879313554224979,0.009584541589048963,0.002112881981912421,0.004729585227563029,0.024041492313891705,0.005051127223677322,0.015082971499777843,0.00014274550999733741,0.00830564987095588,0.0007606819232257418,0.00238445595948559,0.0013193196147942277,0.005066533398523638,0.027009072831945046,0.0015320769062285263,0.00013895777653234948,4.929169440762113e-05,7.642341862680054e-05,0.009969606746864474,0.004292111032659939,0.00012671205941166565,0.0028814928735022708,0.00100288382023894,0.00030879524884159035,0.004795102161994289,0.004825782492216924,0.0,0.00017417480944385561,0.00013151226693129176,0.00719921071611961,4.259046018344972e-05,0.05481825124002094,0.005432260908650704,0.00010851026290522908,0.007187891270971278,0.0001585379097942031,0.02695800692306345,0.0030744794897393157,0.0030113300037196613,0.005432260908650704,0.00013071465327488282,0.07169715177265296,0.0009663944871811495,0.008293007380961778,0.006080462868606206,0.00027166299504292733,0.005285615265677969,0.00012834743869833619,0.002351837046500746,0.0001290780997891985,0.0011980355853629793,0.0539449724555956,0.004576394519284443,0.016859204452120392,0.0,0.0013766646002984077,3.622321743763356e-05,0.003210185342552869,5.257162808621869e-05,0.023680692098672643,0.0,0.0005286390939559626,0.008355675678917512,0.0026308216476085573,0.0005680672088289567,0.0035494901178708366,5.220040162088249e-05,0.005000152834290367,0.010025033005929706,0.031252370661880746,0.00024626761678522065,0.01747993764102263,0.00023853093704262587,0.01714264314684446,0.045581518808776554,0.001029344807902456,0.021668851836307314,0.01241186512941765,0.018716125718975643,0.004306347656026561,0.00378183011869762,0.0021721613272992005,0.001593405418783553,0.0,0.029424518729245404,0.03886999309220184,0.00029016293954973256,6.631174614462725e-05,0.00033550233375615444,0.011553396794065425,8.026026890381394e-05,0.0001807379940564518,0.00538318482466384,0.06855761019455668,2.2807150726657847e-05,0.023373766755438508,0.00020733017334455137,0.0012556206600302627,0.00010970915458879896,0.02812513705691736,0.00029183737650263634,0.011740968677109167,0.05861715078003663,0.013649898670386037,0.004600527727970882,0.0005193459905564587,0.03180780640477018,0.03338167020907525,0.054857453484029345,0.0379326150939284,0.021199358207138766,0.0034352380861107875,0.012201337032024862,0.014339856127835735,0.0015679431808043097,0.012920081263713358,0.00025419779623367877,7.989917176029489e-05,0.022929778238395416,0.0062120422448949265,0.012920081263713358,0.022185155013462476,0.016804676073977717,0.003322445217963435,0.012920081263713355,0.004294658909417931,0.056624245590463015,0.017548106821163326,0.05270218588095299,0.00018690038839766244,0.009573955041130617,5.81975081549892e-05,0.0063888075174677005,0.0030113300037196613,0.018120224037797398,0.00019796153051309775,0.00016688346743691794,0.006710226720758266,0.0091152290035374,0.011062905021628698,0.031090304687011773,0.00012578864639630274,0.030299195391884852,0.0,0.013045692266311242,0.022478487897696714,0.011633522025881474,0.0019086924678999178,8.721754010845437e-05,0.014921833310019237,0.00013171292993051028,0.0002847297157567769,0.009994348831013208,0.0013645018706231779,0.006733236347365829,5.303377197851568e-05,0.0001655060343493412,7.084621266386765e-05,0.04079556764551349,0.0013612643504893416,0.02878207209168006,0.0053086661178289715,0.001960792664960278,0.003640099802121719,0.017486890105964274,0.017102354121825047,0.002461210432455497,0.046865766116736866,0.0006638163380121539,0.14406881534947905,0.0186765184741647,0.003561872202731496,0.0011516734464662064,1.4310922696900383e-05,0.054786353417991096,0.042087045771504475,0.000996987991850775,0.010103702516225735,0.00018022836865086317,0.0,0.004266431437873298,0.0005437503681812784,3.705918066216035e-05,0.0,0.019465595099616245,0.006308104850802102,0.003648472695688643,0.04436100634975249,0.024289005254796263,0.1180825189955872,0.046865766116736866,0.01197304975066326,0.03895759982429105,0.030840348655513352,0.03578682620476255
Automobile bodies trailers & semi-trailers,0.0001625317612995354,0.004238052374177284,0.001817411672495136,0.00017132718037446673,0.000309937485145966,9.301665447713555e-05,0.0011987739002058992,0.0007354684475951897,0.00031097095602525287,0.0031047964322183106,0.002221932139855123,0.00020730861367781637,0.00023225732872909162,0.0025670178498680583,0.00019605456008746437,0.0006334941430767346,0.0013909540003958095,0.00016444079965892368,0.0009721444588564719,0.00019729146013775973,0.0007917642691428157,0.013662835187868178,0.00028182486397353103,0.0007410653692486788,0.00012730114014198864,0.0002324941877467328,0.0001564864679494979,0.0008172770252766144,0.006664616248606615,0.0008269056394709472,0.0006970199432679508,5.494204896809102e-05,0.0007287993505622242,0.00994489559947596,0.004293930583516335,0.0,0.001627232177460463,0.0007662023846220976,0.00016913652704383705,0.0025670178498680583,0.0003250394322721776,0.001058691278493777,0.002105068631965821,0.002071140622013705,0.0009025004414896968,0.001558313078745641,0.0009577048511011297,0.006450289092606138,0.0003772793671235359,0.0004514651487410949,0.0001076402079893953,0.0005682612690433727,0.001158202616080955,0.001662742390423608,0.0035031537644579056,0.0006010188298763027,0.0003348085798591004,0.00030997785345153765,0.00017228345615433418,0.0018537095746059922,0.00019152669528284553,0.00022949499705203857,0.0004745263085045015,0.000955849355018603,0.00020166955856292424,0.0017146692532615394,0.000998858775524728,0.002105068631965821,8.775564085975069e-05,0.00026393425969037967,0.0037060998481375433,0.00018736451156736573,0.003988978062484036,0.0006304151024447914,0.00017771590411039384,0.0004197264443477957,0.00023207571741297732,0.0005922145360741916,0.0027764971445548335,0.000310375038987413,0.0006304151024447914,0.00041633561076217444,0.0062760195789597125,0.00021861174409663873,0.0009434511449463168,0.0004827950318995085,0.00041020306955787415,0.0002866434491239651,0.00024395858958173975,0.0005623472599651431,0.00025907936995013894,0.0004920298996182233,0.005075933325009789,0.0010684118107686651,0.0026700707341015977,0.0,0.0008952805694371092,0.00023118844541907953,0.0006702511373072234,0.0003204597816935895,0.004527404987185509,0.00012121991391219662,0.0006812622104539589,0.0012533471200765923,0.0012962234275111667,0.0002913148794161619,0.0004433726081227593,0.0001348988044531925,0.0006747965640656399,0.000721378663316167,0.005702166410527661,0.002239340334609645,0.002215428290771932,0.001640267540324889,0.0030977301303286874,0.003370499996598761,0.00018476774648049036,0.004450962098291081,0.0007324688772114947,0.0020819457743215444,0.0007903941877824797,0.0010112886166080079,0.001424484357483124,0.0006339381000106128,0.0,0.1579782294674292,0.0015226319928043598,0.0001982342744493582,0.0002538289366875382,0.00025111772616194863,0.0009016346773312534,0.00014622870022103804,0.0020373942542170806,0.0024599388973937093,0.05813580825935876,0.000546927725018265,0.0013455557541530352,0.0001936468681587554,0.001035498988028276,0.0035896964675927513,0.06209674310268044,0.00025701188797583015,0.03516463366098138,0.005531320488700479,0.001704039565503655,0.0008122889907396446,0.00012121991391219662,0.0024148145962207715,0.0017857674569213267,0.002705704688491602,0.0015087155933677624,0.0007817262525776041,0.0015349921035290673,0.0027057061085372716,0.001786894100563048,0.0005183596696685013,0.006443645877949939,0.00020474309406592547,0.00028323815213066554,0.004307811718134261,0.006401907248524811,0.006450289092606138,0.002394166984013086,0.03104053066666845,0.002290139935399207,0.0,0.0015301939536488194,0.011046818152478785,0.0038108382837402288,0.008903409869787195,0.00025328852666771276,0.002687999927347275,8.774355318225195e-05,0.000270087326581127,0.0003103750389874129,0.0013775833848876417,0.0073254210249193655,0.00028014727138560216,0.002489220841039187,0.0014602287031586214,0.000953834083756041,0.0012587023139033838,0.0016255001741973816,0.04773002605090775,0.0,0.0010395391314750246,0.0047523706811813966,0.0019819713366192337,0.00046655635115547424,0.00022384615274514535,0.0031441101292378655,0.00017190401014232994,0.00023631822539474961,0.0013383904474104716,0.00020938876459948726,0.000548542909532933,0.0004531269103038736,0.00021623607364252233,0.0002916131417114565,0.0015719989039284501,0.0001425842034631772,0.0047047106061019785,0.0009252521506602405,0.000219196951951098,0.0006362341767557918,0.002459837577597042,0.0019358646362983986,0.004269510697487898,0.00371870994485373,0.000790185048979899,0.0040486058565031,0.003388369421122718,0.0006781533665253419,0.0037293831254613047,0.00011783257490382838,0.003387122846074584,0.0026488780555491516,0.00733943956131235,0.0018722772982982393,0.00030954620718552065,0.0,0.0007866516105305224,0.00012121991391219662,0.00031732247388841124,0.0,0.00025390331968093026,0.019967995400403078,0.0017195015138946894,0.002357200113250664,0.0022496547041663054,0.000911821917418887,0.00371870994485373,0.01432954547114365,0.001519902415100346,0.0032952879847654663,0.0015203007536271431
