,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.00011781149125649763,0.00016832898043931495,0.006727007083762665,0.00011256654167272639,0.00015273059013971356,0.00015774469604755087,0.00016670797399921037,0.00013935256299094868,0.0001395422395475437,0.00016704080026575674,0.000169107280855434,0.00016310433985115816,0.00011708295375463527,0.00016022031227309834,0.00016516960863272156,0.00014611431688672344,0.00017974355529545673,0.00016187855533434165,0.00017538214490329604,0.000159547160194462,0.00016610144852716966,0.00017649541081614725,0.0001265181898622025,0.0001629294616622503,0.00022961336531114563,0.0001577866099974923,0.00016457985817902986,0.00016162667619383796,0.0002388072046126407,0.0003878912724705357,0.00014674825711203456,6.925557348151801e-05,0.00012572736693595011,0.00017452227919366426,0.00017654045803237775,0.0,0.006678322948326773,0.0001699415273639723,0.0001375038598064812,0.00016022031227309834,0.00016820622942756298,0.0001567877969879163,0.00017660991301571177,0.00017304296309977098,0.00017438320118072338,0.003039841370321339,0.0001979941357659004,0.00016485514040022733,9.210488301783101e-05,0.000628258613665873,0.00015680838828516615,0.00016054022638752744,0.0004988122607953536,0.00012228740186865798,0.00016026575518322394,0.00011193765398550115,0.0003815529186574922,0.0001651720598405458,0.0001661769490020414,0.00017410116446550666,0.0001493190774845893,0.00016450833332889457,0.0001230638141566901,0.0001581616535158749,4.3601806345986555e-05,0.00015257734654784005,0.00017229282475147309,0.00016617694900204137,0.00015618054137150268,0.00016706778990559064,0.0001749773100840496,0.00016513762109927007,0.00017093361199083164,0.000157754611854838,0.00016472003725666044,0.00015570088837896142,0.0038648087551761477,0.00017246889396328784,0.00017219702489529746,0.00014093344623130146,0.000157754611854838,0.00014017412805934862,0.00016531037509233087,0.00017922330749031622,0.00019195240854329352,0.000168968158646809,0.00015604094324771293,0.00015338581678151687,0.00013127700731648025,0.00012680761931338548,0.00016425417793876059,0.00015485955348522185,0.00017253074177723033,0.00012182764512365946,0.00017906595388916816,0.0,0.0001448094193289045,0.00015823697258512186,0.0001331160116975152,0.0001637153656433149,0.00017406725974509384,0.00017666550479382385,0.00017007296401071092,0.00014985474511241455,0.00016853643524024386,0.00015512591074660123,0.0001609600339932797,0.00014766830610285348,0.00013964867213278416,0.00014057363096826964,0.00015537805117209704,0.00016657194490291076,0.00015233328370335158,0.0001527178779755375,0.00015394302739525468,0.0001758871450561846,0.00016893121659665574,0.0001115816715544653,0.00017343384768615263,0.0001605966206257145,0.00017623933886052565,0.00016633199869647866,0.00016991914281892496,0.00016577019458631294,0.0001361093000384239,0.0,0.00017409897815287096,0.0003568859234233519,0.00018761017217561196,0.0001646921421262229,0.00016723876659357098,0.0001694654080776328,0.00011023906510906185,0.00015590725270029442,0.00017259398083531994,0.00016888096857605188,0.00014623440910628736,0.00011816014297434073,0.00015639022303104932,0.00016357362755315625,0.0010996673289177315,0.00017884066029790578,0.0001583879577246028,0.00016995351221506586,0.0001740174023337054,0.00024941832028530886,0.00015929578589776296,0.0001079109794737181,0.00016548195880103548,0.000606545370126364,0.0002296255050588887,0.0001579587038260096,0.0001698494626381283,0.0001631763248267477,0.00020937164124595054,0.00015101665524097603,0.00016299280905632464,0.00015922500991558152,0.0001639368653218943,0.0003003960445550106,0.00016057270306691674,0.0001631763248267477,0.00016922039988616033,0.00017483507880461008,0.00022746415780971083,0.00016152837332102262,0.00015184046578569624,0.00017524473684820533,0.00016742565394266918,0.00017397218712076598,0.0001612828809978819,0.00016741937634222014,0.00015852493122977128,0.0001258833039317,0.00014093344623130144,0.00016148097492089722,0.00015954544281867418,0.00016394959088113746,0.0001672236939374246,0.00017780275657669026,0.00015842221503181554,0.00016400522030706456,0.00016289732809122832,0.00017007296401071092,0.0,0.0002499382199606711,0.00012469248420585925,0.00018235042246927418,0.0001447580956379272,0.00016666676660394048,0.0001704991885921789,0.0001586137109600529,0.0001589179148184058,0.00016732350561069278,0.00019603713750923025,0.00013684346832368841,0.00016763961485000294,0.00015628173854143596,0.000163490718175639,0.00032087593559999215,0.00010934820670893488,0.00018282985956996045,0.0001441307941776666,0.00010674429896015755,0.00013662285967120085,0.0001721653353274787,0.00018271470695555692,0.00015650538216416742,0.00016643283799406313,0.00011545703596817557,0.0001745772239956734,0.00017348828330762195,0.00012713040861351933,0.00015557031499078048,0.00010030331594113737,0.00017439346016766947,0.00017592261547410784,0.0001845823782137127,0.00016829783061127624,0.0001078188807148789,0.00015922500991558155,0.00012152948160751057,0.00010627381136503599,9.082958357842959e-05,0.00015922500991558152,0.00014030357241292437,0.0001245712862453323,0.00010866498463491322,0.00018219954214417514,0.00017039373577305305,0.00016427632421213995,0.00016643283799406313,0.000176491334108327,0.00036264077970312445,0.01672714479667693,0.001104349808506844
Agricultural and forestry machinery,1.7888500860424826e-05,1.8449521331472586e-05,0.001632982650107837,1.3486616179330684e-05,1.4496143450521454e-05,9.896044585644994e-06,1.610289827341414e-05,1.5692777485543677e-05,1.9513152495828107e-05,2.014683213767039e-05,1.0803777921910621e-05,1.0931213007485595e-05,1.6198497175786532e-05,1.0703301555334801e-05,1.754188277632053e-05,2.0345444372864578e-05,0.0001165717180163473,1.834021301832766e-05,1.8992508580222394e-05,8.187343045429782e-05,1.5241039097371669e-05,2.129810037636673e-05,1.2627307779169488e-05,1.573279443155356e-05,1.3804681702375356e-05,1.5646635656755923e-05,2.3026481086474852e-05,1.5603906982997278e-05,1.4802674429669238e-05,1.3505615781044662e-05,1.5480644321799884e-05,1.6367550155481895e-05,1.361205632354461e-05,3.2853247568355246e-05,2.0378382829690566e-05,0.0,0.008725647881290462,1.5883788173844353e-05,1.5396253755102745e-05,1.0703301555334803e-05,1.9577284485492403e-05,1.3476569197210462e-05,1.9360802346400254e-05,2.0054491436126807e-05,2.379955670713536e-05,0.0009877017055511033,3.796901454086739e-05,2.0650915732294762e-05,1.3089102681705675e-05,3.697948125176177e-05,1.1569445870638086e-05,1.4944176493859635e-05,1.185729077557105e-05,3.389740573292113e-05,1.0703301555334801e-05,1.5162300359300926e-05,1.1057070690695535e-05,1.1170364082701126e-05,1.2665334505506598e-05,5.069431657302724e-05,1.6536270060891102e-05,1.9241520793174716e-05,1.4979623451211035e-05,1.64068417729126e-05,1.786637689327834e-05,1.8320196899058738e-05,1.8562371499288705e-05,0.0,9.02947435329881e-06,1.2192188867557484e-05,2.743287972945095e-05,9.805740044741821e-06,1.9573512027662264e-05,2.3247950961106826e-05,1.0931213007485596e-05,2.2860728114058776e-05,1.8371402298958663e-05,1.7924056480870677e-05,4.188307760208373e-05,1.4819218163480018e-05,2.4355915863691577e-05,1.6744767816079106e-05,2.1943045646383252e-05,1.0319338525559705e-05,2.2831492336407156e-05,2.672399556948365e-05,1.1376510893883421e-05,1.293981432464319e-05,1.2152482627661345e-05,1.5576206957007637e-05,2.1362771998242144e-05,1.638204631623835e-05,2.1131069331732245e-05,2.19331371896476e-05,1.8815104126837376e-05,0.0,1.54594174488528e-05,1.2411706054568923e-05,1.647745268034335e-05,1.535057648028964e-05,2.3926523432442034e-05,2.067734033008746e-05,1.3486616179330684e-05,2.062786042092176e-05,1.9315862867478068e-05,1.6893389847288687e-05,1.834967719900139e-05,1.8616301256207063e-05,4.135726816451902e-06,1.593650904679271e-05,3.50989095869611e-05,1.976472038824201e-05,1.4497488324961173e-05,2.743122222949626e-05,1.7867408163424788e-05,2.2432505428221172e-05,2.058329144506199e-05,1.4195405401528938e-05,2.0652195376077463e-05,1.8507005727627242e-05,2.1482941580831952e-05,1.5316124617413214e-05,2.106812256984766e-05,1.532629283017853e-05,1.2920599637742714e-05,0.0,2.0986488707227378e-05,0.00024737601139234887,1.586746282469873e-05,2.1433848484837118e-05,1.3463670731350685e-05,1.704273548474561e-05,1.126578637860803e-05,1.4173157547715235e-05,3.549612249702062e-05,1.9434472949009787e-05,1.040876837702591e-05,1.6313507733234733e-05,1.55044756704295e-05,3.1402729752455785e-05,1.575470778140273e-05,2.1982038973539925e-05,1.4156423660620543e-05,1.942841380125556e-05,2.0564823797911612e-05,0.00023185343972945312,3.420101980831006e-05,1.3486616179330684e-05,5.9826352429196225e-05,0.00022266117186561454,5.1337226066102e-05,1.3394095977450175e-05,1.4771325085086339e-05,1.2348128966973732e-05,2.073566013487141e-05,1.4980523326464534e-05,1.8396351936656204e-05,8.24904604837525e-05,1.4816084253943855e-05,4.6695968637780214e-05,1.100994152156249e-05,2.083912712334442e-05,3.79095703689994e-05,1.9323794235796232e-05,1.583942886811358e-05,1.6510855192840984e-05,1.6845454914612652e-05,2.358197982494325e-05,1.8066324937038484e-05,1.991861871432224e-05,9.930206034356991e-06,1.936080234640026e-05,1.0493884872766485e-05,1.6006718597370555e-05,1.4819218163480021e-05,1.4513864327470318e-05,1.8666794984621197e-05,1.3944388030236917e-05,2.083035608668523e-05,2.651306905943475e-05,2.0922765175609652e-05,2.793899549738087e-05,1.7965236920142587e-05,2.1027357449673834e-05,0.0,6.635626943793258e-05,2.046690810544186e-05,2.962472737104221e-05,1.5242390456758701e-05,1.2881009996662131e-05,2.573124721931894e-05,1.1254162202159521e-05,1.4183805761137528e-05,1.6101277264476935e-05,1.4266261058008871e-05,4.243341978603943e-05,1.5324425302516462e-05,1.0150160809595896e-05,1.3539459378912971e-05,0.0032334887776325275,1.4675403072968844e-05,0.00013169120857486595,1.7003606600008796e-05,1.3606649401143127e-05,2.1465206820722307e-05,2.0236060766265908e-05,2.2818959278873445e-05,1.7824142344856413e-05,1.8340213018327655e-05,1.4663582547110131e-05,2.8775198153405625e-05,1.918223190959169e-05,1.4821477681752212e-05,1.2294448759344656e-05,1.690283249171552e-05,1.9611580121523118e-05,2.0562189147985754e-05,2.8274517057190203e-05,5.01004631163724e-05,1.1017375255044435e-05,1.5451156290887043e-05,1.6017405222032452e-05,1.3486616179330684e-05,1.2015045392405556e-05,0.0,1.4213338186725242e-05,2.5772523951243364e-05,1.4059213582014271e-05,2.099753533960903e-05,3.849159981958564e-05,1.141978000545913e-05,1.9116304864901412e-05,3.193661760684039e-05,0.00032814185603346097,0.002169407136264523,0.00036776129171417113
Aircraft and spacecraft,4.774981482748894e-05,2.6426661940132777e-05,0.0009789823465022479,2.0972571215642652e-05,2.709645375372913e-05,1.9804262835521904e-05,5.42486112789899e-05,7.824636359166683e-05,1.5668789841158226e-05,2.6233889353741887e-05,4.4539156442226484e-05,1.2838421481678927e-05,1.794706845801419e-05,1.2879139203112197e-05,1.9716289826635333e-05,3.7807800264588306e-05,0.00019234587782271295,2.2321769560512847e-05,2.2906524822381707e-05,0.00017660958580921612,3.159846341783344e-05,3.251438669565132e-05,3.290540755430709e-05,3.763456117689947e-05,4.061418375789915e-05,1.2898261972755925e-05,1.8022342318576823e-05,1.9188853174236903e-05,1.224260891885786e-05,1.297318250556593e-05,1.712839837442481e-05,1.7339875422994025e-05,1.7820692277771728e-05,2.0105287551694168e-05,1.8035234589637293e-05,0.0,0.001242499968084013,8.318678268818355e-05,2.1693636170956646e-05,1.7366363224148173e-05,2.337694159224421e-05,1.9706011537683624e-05,1.9020658162222223e-05,0.0001569646362833649,8.49500274271522e-05,0.00039440206177978953,1.892714086444902e-05,1.6343563287277668e-05,2.2763103588222617e-05,0.0007240519632755025,1.8807812218700813e-05,1.69192620100934e-05,1.8294855774249415e-05,0.00013113664074772353,1.28791392031122e-05,1.9101056950747065e-05,5.951537418330477e-05,1.2633295467996238e-05,3.4938814230462124e-05,1.581635273667687e-05,2.7310144132439424e-05,2.2032853447153858e-05,1.6560748996917572e-05,5.1077656257253224e-05,1.8868232393525725e-05,2.9140484249876162e-05,3.656834291547583e-05,0.0,1.2436054621969964e-05,1.4517954422125947e-05,2.1023921592545142e-05,1.9094227956759226e-05,1.7941185097120126e-05,2.7430236286677883e-05,1.802234231857682e-05,1.6681472482104048e-05,3.481154670369189e-05,1.7310060569168542e-05,5.014426154386592e-05,0.00028002176236406606,2.751685216740767e-05,0.00020866137621619894,2.5747989852938696e-05,1.8152036863815133e-05,2.5024012549696098e-05,2.7518309512248964e-05,2.099453548763999e-05,5.955254099389954e-05,1.6408606150193602e-05,2.1687095239650246e-05,4.329678904887343e-05,1.789837812374631e-05,1.8270779886585487e-05,1.748272257860582e-05,2.321235873423279e-05,0.0,1.6857164985665573e-05,1.616658853045336e-05,2.0495020909464772e-05,2.483556174071566e-05,0.00020117740093992815,2.2318138351119696e-05,1.754357531251697e-05,1.7349556337414728e-05,3.213919634786005e-05,2.0625153476133268e-05,1.8922276670460328e-05,1.7393797973930044e-05,5.851002286553607e-06,1.2920470981502342e-05,1.6681472482104048e-05,1.575124481559686e-05,2.7980243390266237e-05,0.001826849845630351,3.107308919585954e-05,2.9521566249177028e-05,1.395750054702893e-05,1.2795414353568228e-05,1.4500859777175396e-05,2.1277625895390254e-05,0.00016142905045051282,2.2175485502373114e-05,2.3228386934558872e-05,6.929489403975849e-05,1.5387462624986422e-05,0.0,2.8196122770079665e-05,0.002126355049033256,3.066384472588091e-05,3.2507664450962796e-05,2.3606159389899476e-05,1.6282479198951442e-05,1.0895428552204047e-05,2.118730352330075e-05,0.00031006720091593837,1.9758711713550348e-05,2.0328549353535995e-05,2.198540833036452e-05,3.151505127304302e-05,0.04779283073561923,6.902949117730416e-05,1.9277118689855726e-05,1.78258134336533e-05,2.8407053300721605e-05,0.0,8.426173484278799e-05,1.3597973675174877e-05,2.6556878822510567e-05,0.026851281523770514,4.702769987635946e-05,2.4187353325052244e-05,1.8205967874990314e-05,2.083767944767603e-05,0.0,3.794415318917361e-05,4.705874685377571e-05,1.1855450549154575e-05,0.00028051620052678774,1.700495349586252e-05,5.410740097854085e-05,1.28791392031122e-05,2.1722279484777094e-05,4.790575260834482e-05,2.866350243575227e-05,2.4409040826683024e-05,1.802234231857682e-05,5.6886337763170206e-05,2.4504626279353564e-05,1.2361197187917547e-05,2.954548847946242e-05,1.7434826362411075e-05,6.055114606267568e-05,2.099453548763999e-05,3.413067915971673e-05,0.0002800217623640661,1.2102531437021502e-05,1.9141548187000756e-05,2.29901026870641e-05,6.055114606267568e-05,6.261765014635044e-05,3.335449224003112e-05,9.296231027097505e-05,0.0003450889721759466,1.754357531251697e-05,0.0,0.00027678174618030584,4.583558045750534e-05,2.230319251586589e-05,7.876967929139599e-05,1.7700534340237787e-05,8.366649506315037e-05,2.1070389087850948e-05,3.6136804470434855e-05,5.392000263682408e-05,2.2042889663729277e-05,0.00018362109061238516,2.142855352945206e-05,2.0229165943321237e-05,2.6049611903331665e-05,0.05554235081845349,8.28596184590229e-05,4.39051940430847e-05,5.5902242771910296e-05,2.091630168028048e-05,4.764960888656461e-05,6.437840483008437e-05,1.9687929713463503e-05,4.9957239516517944e-05,3.676997767383401e-05,5.522284138233108e-05,0.0003212977589118845,1.646210438032797e-05,1.3490735335074408e-05,1.919172774701538e-05,1.5525204569784257e-05,1.575124481559686e-05,1.433690743454737e-05,0.00059095083000248,8.294321748771964e-05,8.110112454474135e-05,0.00021412352875130192,1.741431355122152e-05,1.1855450549154575e-05,1.7014325625050283e-05,2.751685216740767e-05,1.3422935701812142e-05,1.9427099154630215e-05,2.6274742747007215e-05,1.7678225737859384e-05,1.3741847171440654e-05,1.490156747909907e-05,2.2924780972318566e-05,4.961904594254566e-05,0.0009897990921680338,0.0001414554707107564,0.0031129681945948782
Animal feed ingredients and pet foods,0.0,1.000000000020971,1.0000000000189815,0.0,1.000000000020972,0.0,1.0000000000209681,1.0000000000209726,1.0000000000209726,0.0,0.0,0.0,1.000000000020972,1.000000000020972,1.0000000000209714,1.000000000020972,1.0000000000209686,1.000000000020972,1.0000000000209723,0.0,1.0000000000209721,1.0000000000209721,1.0000000000209714,1.0000000000209714,1.0000000000209723,1.0000000000209717,0.0,1.000000000020972,1.0000000000209717,0.0,1.000000000020972,1.0000000000209721,1.000000000020972,1.0000000000209717,1.0000000000209706,0.0,1.0000000000208704,0.0,1.0000000000209723,0.0,1.0000000000209723,1.000000000020973,1.0000000000209717,1.0000000000209694,1.000000000020971,1.0000000000208078,1.0000000000209723,1.0000000000209717,1.000000000020972,1.000000000020956,1.0000000000209723,1.0000000000209721,1.0000000000209721,0.0,0.0,0.0,1.0000000000209723,1.0000000000209721,1.0000000000209712,1.0000000000209284,1.0000000000209717,1.0000000000209714,1.000000000020972,1.0000000000209721,1.0000000000209714,1.000000000020972,1.0000000000209692,0.0,1.0000000000209726,1.0000000000209723,1.0000000000209697,1.0000000000209721,1.0000000000209717,0.0,1.0000000000209723,0.0,1.0000000000209721,1.0000000000209723,1.0000000000209723,0.0,1.000000000020972,1.0000000000209728,1.0000000000209681,0.0,1.0000000000209723,1.000000000020972,1.000000000020972,1.0000000000209726,1.000000000020972,1.0000000000209723,0.0,1.000000000020972,0.0,1.000000000020972,1.0000000000209721,0.0,1.0000000000209721,1.0000000000209714,1.000000000020972,1.000000000020972,1.0000000000209723,1.0000000000209706,0.0,1.0000000000209721,1.0000000000209721,1.0000000000209717,1.0000000000209721,1.0000000000209721,1.0000000000209721,1.000000000020972,1.000000000020972,1.0000000000209723,1.000000000020972,1.0000000000209557,1.0000000000209723,1.0000000000209717,0.0,1.000000000020972,1.0000000000209721,1.0000000000209692,1.000000000020972,1.0000000000209712,1.0000000000209721,1.0000000000209721,1.000000000020972,0.0,1.000000000020972,1.0000000000208706,1.000000000020972,1.0000000000209723,1.0000000000209717,1.0000000000209723,1.0000000000209717,1.0000000000209723,1.0000000000209708,1.000000000020972,1.0000000000209723,0.0,1.0000000000209723,1.000000000020972,1.0000000000209717,1.000000000020972,1.0000000000209723,1.0000000000209721,0.0,1.0000000000208866,1.0000000000209721,0.0,1.0000000000209588,1.0000000000208669,1.0000000000209714,1.0000000000209723,1.0000000000209708,0.0,1.0000000000209668,1.0000000000209717,1.0000000000209721,1.0000000000209721,1.0000000000209721,1.0000000000209421,0.0,1.0000000000209721,1.0000000000209694,1.0000000000209714,1.000000000020972,0.0,1.000000000020971,1.000000000020972,0.0,1.0000000000209721,1.000000000020972,1.000000000020972,1.0000000000209723,1.0000000000209723,1.0000000000209721,1.0000000000209723,1.0000000000209706,1.0000000000209717,1.000000000020972,1.0000000000209266,1.0000000000209646,1.0000000000209717,1.000000000020972,1.0000000000209708,0.0,0.0,0.0,1.000000000020972,1.000000000020972,0.0,1.0000000000209683,0.0,1.0000000000209726,1.0000000000209655,1.0000000000209723,1.0000000000209721,1.0000000000209721,1.000000000020972,1.0000000000209712,1.0000000000208786,0.0,1.000000000020954,1.000000000020972,0.0,1.0000000000209703,1.0000000000209643,1.000000000020972,1.0000000000209721,0.0,1.000000000020972,1.0000000000209726,1.0000000000209721,1.0000000000209726,1.000000000020972,1.000000000020972,0.0,1.0000000000209723,1.0000000000209526,1.0000000000209655,1.0000000000209717,0.0,1.0000000000209712,1.0000000000209723,1.0000000000209712,0.0,1.0000000000209717,1.0000000000209721,0.0,1.000000000020972,1.000000000020972,0.0,1.0000000000209721,1.0000000000209723,1.0000000000208704,1.0000000000208276,1.0000000000208653
Articles of concrete cement and plaster,5.983059504288543e-08,5.051061879361507e-07,0.00040834953383967127,1.101983186939109e-08,5.602658026953142e-08,4.158214662516491e-09,8.808955367190269e-07,1.3877405557875536e-07,7.138770023924434e-09,2.715683690059688e-07,1.025707970355728e-08,4.494573089863974e-09,4.527086062243143e-08,2.0549922325327283e-08,3.230204309515321e-09,1.5145145988919976e-08,7.172103773816823e-06,3.4163289332948074e-08,2.1185125791165904e-06,1.7085848782636225e-08,6.970267769882548e-06,4.3233746171065346e-07,2.2459851878364676e-09,4.3131644947419e-07,2.096286902575844e-08,3.2532749847730167e-09,2.588350316661141e-09,1.7273961940276056e-07,5.7315465263426975e-08,1.6525498945579918e-08,2.518860402642344e-07,5.324964260639117e-07,4.864548424082259e-08,4.0369327731453215e-07,6.287096414104163e-07,2.2218349081779615e-08,0.0002905095052449901,1.8361677286567836e-07,1.025707970355728e-08,2.0549922325327283e-08,4.826761851617286e-08,1.763696744958658e-07,4.1237943221048456e-07,5.422010789332846e-07,9.89911221314525e-06,0.013764795088967332,2.7051917403294256e-06,2.0577357617238685e-07,5.654949442796492e-09,3.5935953164557167e-07,7.690768754499539e-07,3.676183766156609e-08,5.221458643626248e-08,2.7287825735589024e-08,1.5810774227799983e-07,2.8543748020490772e-08,5.611626731370113e-09,6.626439158418033e-09,7.246975577033271e-09,4.238893269973538e-07,5.619840553788796e-08,4.494573089863974e-09,2.2218349081779615e-08,5.417197360056942e-08,1.2241606158249317e-08,1.6998667784093634e-07,3.0835476667088827e-07,0.0,4.083448944216349e-09,1.2685144198332196e-08,3.169653400396994e-07,2.1165172063382747e-09,2.5713340995853335e-07,2.6624508092013405e-07,2.4690404379747913e-09,2.887052300202669e-07,9.330222442772255e-09,3.384041475879318e-07,6.245507008617592e-07,9.588787509085801e-08,2.6624508092013405e-07,2.423905615993642e-09,1.9232324565912193e-06,4.357748415903734e-08,3.473709798931397e-07,2.577352865901935e-07,1.1412945491407334e-08,2.2524145414651995e-07,3.6053843838685172e-09,8.416396149972484e-08,4.623125371940301e-09,4.2050759586835507e-08,3.582581897689111e-07,1.465971903229763e-07,3.891428466083056e-07,0.0,5.0854715803670644e-08,3.1443742088791656e-09,9.118676829816544e-08,6.150308626281982e-09,4.773623361053477e-07,6.287566768189179e-07,0.0,2.0169128081197483e-08,3.3435857891639374e-07,1.0717216104755286e-07,2.8529826793872096e-08,1.0484253302996659e-07,2.549156738467746e-08,6.698918031476084e-08,4.181400207263092e-07,4.086788952678913e-07,7.853585175209063e-09,7.665943302322101e-05,6.976681832806289e-09,3.347915142186372e-07,2.5424277121059105e-07,2.5074180675159108e-08,3.402098222692658e-07,4.1026197735844623e-07,2.8237656517460843e-07,1.2546732881966118e-07,2.989601658636815e-07,9.054099646977617e-08,5.142034739806896e-08,0.0,3.889726659671675e-07,0.01838651366007391,8.031173664118492e-07,6.426806764790074e-09,5.6722122105155344e-08,3.8583791803544016e-07,3.1903524949527724e-09,5.7792398172849e-09,5.162345331699682e-07,8.51562671946558e-07,6.827215513743635e-10,3.2936378286925416e-07,1.0953910331060896e-08,6.057246514690169e-08,2.3993675251274464e-09,5.235142534360818e-07,1.36565143233832e-08,3.6770516201499225e-07,3.612328530894595e-07,7.692224091281808e-05,7.796106236402611e-07,1.035668793134476e-08,3.0219941668777017e-06,0.00031454552567153907,4.022689478565408e-07,9.060190660818794e-08,3.571452248703944e-07,1.8478491407221748e-07,2.429843113515691e-05,4.215705765783645e-08,1.9535155407481957e-07,7.607075849288547e-09,2.101045823470972e-08,5.634406162034378e-07,4.334253217004067e-08,1.9535155407481957e-07,8.013047214248129e-07,3.6966314559792915e-07,1.0951960026374938e-07,1.9535155407481957e-07,1.5220462457092076e-07,3.278953174557348e-07,4.043308431050629e-07,3.1816357369061225e-07,1.4688381864113229e-09,4.1153777788798686e-07,1.8508538508615205e-09,3.397816889108629e-07,9.5887875090858e-08,1.2759527515003367e-07,6.299104923178856e-09,1.6105245606902454e-09,1.8386494837917688e-07,1.0292330281342468e-05,4.258286679180919e-07,5.159286429317388e-07,2.1025647973657748e-08,1.4106842981312172e-07,0.0,5.643420508141446e-05,3.5527811801686463e-07,1.771710735367143e-05,6.743931912945103e-08,5.414009434638971e-09,2.679723196261838e-06,5.345159702188748e-09,1.307946578689951e-08,1.6101025446046875e-05,1.450453609489878e-05,1.917279854142992e-07,5.54712692929405e-07,6.9741326528386045e-09,1.2815884173867602e-08,0.0002639792026256409,2.4597148867876045e-08,1.1129636361086123e-05,2.0263577496063183e-07,1.8204680455314313e-08,1.5503358502433834e-07,2.8648283391239717e-07,2.6467108578687796e-07,7.209851435004857e-08,3.002401044339948e-07,2.0147737998695052e-08,3.9466593877974355e-07,2.9899468996907946e-07,1.3500619851479009e-07,3.365797972172373e-08,2.4449806741056575e-09,2.5724288605560436e-07,6.124942798024288e-07,1.0571688480256893e-06,1.6799200279389217e-05,3.5769702959611873e-09,0.0,1.641749481710034e-07,1.0962269119882704e-08,1.3917366808202593e-09,0.0,3.3457618198723285e-08,2.796714193401615e-07,1.5862753136984946e-08,3.4738514127486007e-07,3.1004200957163477e-07,8.216479615374405e-08,3.002401044339948e-07,4.770570924228594e-07,0.0002769621618401414,0.010827479462428038,0.0003233840977400955
