,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,4.675794911223712e-05,6.483955862831576e-05,6.446425794454425e-05,8.480274180424767e-05,5.828639139791677e-05,5.928409389951658e-05,6.381997168518624e-05,5.3889281842610934e-05,5.3657105143238976e-05,6.452755585981381e-05,6.030447545500109e-05,6.249265840503851e-05,0.007452950610270073,6.209450280122172e-05,6.29990575503806e-05,5.636747668522832e-05,6.619321536656872e-05,6.219008905827601e-05,6.661909348943765e-05,6.152126795865347e-05,6.389326227590487e-05,6.816771311454796e-05,4.851620713847204e-05,6.281660797401547e-05,4.9805302146582475e-05,6.049056701434825e-05,6.250313337445962e-05,6.202325440329246e-05,5.54998840504082e-05,4.418331249172527e-05,5.6677567620997256e-05,2.676871078075348e-05,0.008264107465358645,6.749662905879429e-05,6.820102935187342e-05,0.0,6.305061869709188e-05,6.536718420468376e-05,5.388293908453037e-05,6.209450280122172e-05,6.174215408766046e-05,6.0546670368105325e-05,6.82358737257764e-05,6.407600135840165e-05,6.730550741128356e-05,6.40168188737072e-05,6.13834814100726e-05,6.340367550052356e-05,3.57357950410151e-05,6.253088860917459e-05,5.940092192170691e-05,7.115527455748863e-05,6.0181743666594293e-05,4.7906556895487216e-05,6.211149500829204e-05,4.4671268623896916e-05,5.6889862414249894e-05,6.349142729658248e-05,6.352528550727968e-05,6.723555629018422e-05,5.966504266840759e-05,6.29974459492199e-05,0.00014305057301859797,6.050140106285084e-05,1.6872461795146438e-05,5.833817719582195e-05,6.554004642132021e-05,6.352528550727968e-05,5.83705451707696e-05,6.429589491020407e-05,6.749646889482746e-05,6.343608945880197e-05,6.610046559511916e-05,6.100127500180822e-05,6.256869435264618e-05,5.95638407929494e-05,6.261371773070773e-05,6.633379929700233e-05,6.168429689930458e-05,5.4308673321171885e-05,6.100127500180822e-05,5.375982393592021e-05,6.39694323008625e-05,6.039710189454159e-05,6.579278687339603e-05,6.519330855875236e-05,5.982273900680832e-05,5.8109889640787866e-05,4.951808876118746e-05,0.001509890552779835,6.2918521298243e-05,5.857699608066222e-05,6.664700187153429e-05,6.90811457426198e-05,0.0,5.658783802532482e-05,6.040020158180821e-05,5.9563048652184094e-05,6.306244168699381e-05,6.72388857379212e-05,6.825518916234696e-05,6.552418209140043e-05,5.7980761146323355e-05,6.481187446420942e-05,5.958193439937012e-05,6.188410058329616e-05,5.68723298403758e-05,5.1617476160161095e-05,0.000763143129553839,5.940523126494971e-05,6.450032269934065e-05,5.864913201180638e-05,5.903507912628338e-05,5.924844692205911e-05,6.796334194315295e-05,6.537271780826755e-05,4.6044433529881483e-05,6.7029534256978e-05,6.196411101198557e-05,6.8081280869811e-05,6.404971996136807e-05,6.56022834226337e-05,6.35542620528196e-05,0.002732442393214383,0.0,6.71914845064023e-05,6.345244272419587e-05,6.167785213565299e-05,6.322531897440913e-05,6.25026130600783e-05,6.558898087669617e-05,4.184060108545106e-05,5.983465197478992e-05,6.619243622835832e-05,6.523893814551378e-05,5.7133817817922896e-05,4.683366313879415e-05,5.998308093340685e-05,6.218650701719165e-05,6.065380223673447e-05,6.910555762193957e-05,6.073088623102042e-05,6.567894000327428e-05,6.724210613937216e-05,6.570952985162573e-05,6.123780061334955e-05,4.3264967631592383e-05,6.251781276702074e-05,6.59068057311526e-05,8.898838108412801e-05,6.348030496898486e-05,5.990748050920237e-05,6.504937222638492e-05,6.315499510604458e-05,6.366046745964465e-05,5.874631026265609e-05,6.30891574078565e-05,6.142898337959962e-05,6.125826591358248e-05,6.799774744417245e-05,6.220025924686231e-05,6.315499510604458e-05,6.515557329646883e-05,6.754278842795659e-05,6.219201295417371e-05,6.251655438679183e-05,5.887642399029611e-05,6.729439982562818e-05,6.448967301592534e-05,6.721982125678986e-05,6.212542721192041e-05,6.413880001068601e-05,6.003923739121346e-05,4.744331986857058e-05,5.4308673321171885e-05,6.19019369754726e-05,6.152824243528578e-05,6.288724684088987e-05,6.419826305633633e-05,6.652715965891042e-05,6.091956702477345e-05,6.33016989028431e-05,6.248584914335952e-05,6.552418209140043e-05,0.0,6.215973170893725e-05,4.935961766013292e-05,6.515622916746598e-05,5.64168743520652e-05,6.37504253885713e-05,6.58484195215943e-05,6.070398205633706e-05,6.0805892928645064e-05,6.453574005108348e-05,6.224716899986925e-05,0.000906664865257796,6.437725193453263e-05,5.971406867335482e-05,6.284848724923349e-05,6.434577069692908e-05,4.4302293589973523e-05,6.175094038638722e-05,5.5596208728495873e-05,4.3174262153850945e-05,5.326100636136176e-05,6.637858119756611e-05,7.06246525892559e-05,6.023144908327842e-05,6.437469447335338e-05,4.440905633534567e-05,6.745227234213848e-05,6.705279054764748e-05,0.10576168990919127,5.917572947677478e-05,3.867397241507277e-05,6.683835302712783e-05,6.712028807971626e-05,5.5905503509419306e-05,6.480686677625888e-05,4.1449788605864274e-05,6.142898337959962e-05,4.6870542881091884e-05,4.268239939960096e-05,3.490947616948175e-05,6.142898337959962e-05,0.00574119703894527,4.850735523567002e-05,9.17072787885319e-05,7.041355080922098e-05,6.579883188772815e-05,6.280009259284043e-05,6.437469447335338e-05,6.817864094473938e-05,6.357604681014662e-05,6.469054935162186e-05,6.381069513192685e-05
Agricultural and forestry machinery,1.533029382512846e-08,5.5300785178881666e-08,1.447367100656456e-07,5.65705665595768e-09,3.0925799876848336e-08,1.8505263090772154e-08,2.7690535004984316e-08,1.8094918046805576e-08,3.444797059426811e-08,3.17244295956618e-08,1.6596535850570104e-08,4.6140074615187925e-08,1.1106574539821092e-08,1.5968471927366365e-08,1.0161106499990246e-08,2.7696600564439977e-08,6.639137276778749e-07,1.6303042434916085e-08,6.761178102776869e-08,1.7792056102433844e-08,3.802576262201795e-08,7.237251239044113e-08,1.7334340563404095e-08,2.874108320050796e-08,9.068087966108197e-09,2.6353505620187072e-08,3.784486127568844e-08,3.843501120418993e-08,1.2387592428681992e-08,5.83721175698979e-09,2.0014979856219924e-08,1.7748689378582583e-08,1.0938593140696415e-08,1.0967865992550621e-07,5.7418805063143534e-08,0.0,1.4994806458799181e-06,5.536446200689355e-08,1.2038768060327826e-08,1.5968471927366368e-08,1.7538109016415326e-08,1.7944736104226413e-08,8.067747917767308e-08,4.3003757545825534e-08,6.474716927578048e-08,1.3562978800696018e-07,1.7468514447418312e-07,2.9211853202125063e-08,2.1326176120012818e-08,1.1914945444069473e-07,1.5778116903126422e-08,2.0921013943612683e-08,1.638059041593635e-08,1.7049075132531232e-08,1.5968471927366365e-08,1.710773380561154e-08,1.4373509761341313e-08,1.54463135375215e-08,1.209957551085839e-08,2.1921331962305683e-07,1.7297084033863255e-08,1.91455007164276e-08,2.760099885641994e-08,3.129983859025055e-08,3.898614130866527e-08,3.9541347125909765e-08,7.787004642826361e-08,0.0,1.1753900463595346e-08,1.6994032864264195e-08,8.748337007889695e-08,1.1483588545110554e-08,5.278130897316869e-08,2.1696063437050586e-08,4.614007461518793e-08,5.6866675779541496e-08,1.7723223393282643e-08,4.7729057930792374e-08,1.4872722833132915e-07,1.5452724768059186e-08,2.1692568067656335e-08,3.839415459089176e-08,6.133098764365146e-08,1.2589948610114573e-08,9.035070921959947e-08,1.0775313176761065e-07,1.709051797101826e-08,2.871834432445887e-08,1.6780748333219928e-08,6.6778099651094e-08,1.8071521307629344e-08,2.8047406486177357e-08,4.4290152951379773e-08,6.459083300702568e-08,0.0,2.2430545668380356e-08,1.5797063920369956e-08,2.2917763857750565e-08,1.6887534009351246e-08,7.235695582737781e-08,6.210506883678634e-08,5.65705665595768e-09,1.9720626041121797e-08,6.872537096608976e-08,2.759270248011976e-08,1.9310835942937317e-08,1.717316162417144e-08,6.226185884065898e-09,4.769083238661798e-06,1.2177611879970654e-07,3.3539827643373625e-08,2.1454732618475582e-08,9.610808784672558e-08,5.987839246005832e-08,5.8198024988704704e-08,3.4933852899626486e-08,1.3199349114659325e-08,3.2355575782136554e-08,1.8403854002793187e-08,5.459170371923204e-08,3.87766306582062e-08,4.280339547389409e-08,2.9547198440320334e-08,1.408980324708523e-08,0.0,6.377354930365336e-08,1.4687973260357518e-06,1.9658454479432608e-08,1.70234742845621e-08,1.766732019781583e-08,4.0751568788629286e-08,2.1000199093599526e-08,2.501733932178343e-08,1.6778465436841905e-07,5.4112401362812184e-08,1.1975009743098253e-08,4.165481913663677e-08,3.5314030310554556e-08,6.73510322909899e-08,2.4700240042149372e-08,6.708338200017485e-08,3.09084405161586e-08,5.646353623351263e-08,3.8339208777725876e-08,8.375159974499636e-07,3.523059386852956e-08,5.65705665595768e-09,9.615885808601397e-08,3.398886021444183e-07,1.892894142529168e-07,1.3267052486926954e-06,2.8425345443106042e-08,5.679611386755547e-08,1.689917056153729e-08,7.134993754050932e-08,2.0039815564491595e-08,1.6030559876239326e-08,1.7834374488299214e-08,1.720808485154067e-08,7.27921977259038e-08,1.6852086255442448e-08,2.1703662711268573e-08,2.004471319430679e-08,5.9223843822493835e-08,2.075322450849313e-08,1.787543830972436e-08,2.907818991430109e-08,6.212570611430922e-08,6.300343827224204e-08,6.691843616421572e-08,1.2303188990315002e-08,8.067747917767305e-08,1.395431728429994e-08,1.8883589407702607e-08,1.5452724768059186e-08,3.974029893275055e-08,2.06949586985695e-08,1.8683307865210706e-08,2.4637323010494107e-08,8.914597643871477e-08,2.554863539876106e-08,9.988307374968195e-08,2.711331146461445e-08,4.377152910349348e-08,0.0,2.9523848471670316e-07,4.5039774740091265e-08,9.27735171827767e-08,2.3258627191564432e-08,1.2372969217891392e-08,3.08453901004303e-08,4.3673582121228504e-08,2.1282613379149806e-08,1.566912406609069e-08,1.999974981186955e-08,0.008315859048334484,1.9284840821615648e-08,1.4392984966652322e-08,1.7807895543870958e-08,1.7145428365982035e-06,6.118123223681495e-09,7.300539532143711e-07,4.112391068133223e-08,1.0831791882411024e-08,7.22498911056984e-08,4.2614761499245495e-08,5.691119656247871e-08,4.992242526071405e-08,1.630304243491608e-08,4.5022307205806705e-08,8.864937957392168e-08,5.323855216372524e-08,1.9319817417048336e-08,2.6168329789551057e-08,3.011638470471955e-08,5.167951239209635e-08,3.851964249037085e-08,1.0527557507800696e-07,1.0411815793869466e-07,1.6877135744912047e-08,1.2546863105139021e-08,1.845233147089439e-08,5.65705665595768e-09,2.2634779682072556e-08,0.0,2.0676044154594577e-08,3.2071132935323664e-08,1.011732977421681e-08,6.362155038397952e-08,4.26774677451531e-08,4.081229687778884e-08,4.6330221616077694e-08,5.067546181590275e-08,2.0002331373022317e-06,8.547007730903116e-07,1.3761387391298799e-06
Aircraft and spacecraft,1.3102145202851415e-06,1.5150679033891928e-06,1.7844969712986822e-06,1.573516742581096e-06,9.928360200494825e-07,1.4116209526734593e-06,2.5456967902555905e-06,1.276939012208529e-06,1.2847056242336206e-06,2.7918116763979442e-06,3.5824459811776203e-06,2.008967112226006e-06,1.3788435057045912e-06,9.209263249283091e-07,1.8432427087546743e-06,1.8069598271666267e-06,1.8004419129423834e-06,1.491534735010278e-06,1.3974336725902608e-06,2.105156078693169e-06,1.435350445530361e-06,1.7046135533960267e-06,1.918575737312526e-06,2.402275910171392e-06,1.608092492454035e-06,1.1568026967914307e-06,1.346624035860009e-06,1.6236034772549207e-06,1.1452923955236598e-06,1.2344322999304277e-06,1.4709202507776668e-06,1.4068976822135204e-06,1.618803537796014e-06,2.098817395312338e-06,1.3597926291904856e-06,0.0,1.4771740795690885e-06,2.0276067290759844e-06,1.5115834993221108e-06,1.5558520275310949e-06,1.6560240027637384e-06,1.4223748863629065e-06,1.947407120907706e-06,1.4878187309622605e-06,1.4963776423834567e-06,1.5200450289058036e-06,1.2836139552541395e-06,1.5926805439125351e-06,2.2068328216577356e-06,1.704798535832003e-06,1.5635296241065259e-06,1.3443745846052623e-06,1.2553562592383052e-06,1.949350423394638e-06,9.209263249283091e-07,1.3616195722753214e-06,1.324490305460939e-06,2.035175806228091e-06,5.740036760181419e-06,1.23566211785554e-06,2.925397435750099e-06,1.8237559314363356e-06,1.2597500983696304e-06,2.023357899550765e-06,1.1652701992281872e-06,1.5280966326471345e-06,2.0217206360004527e-06,0.0,9.138272427743858e-07,1.3011530283067274e-06,2.0617882755462797e-06,1.6759995291997401e-06,1.3649541008028943e-06,2.9800444792098824e-06,1.3466240358600089e-06,1.3258811763037784e-06,5.685651530276141e-06,1.8114778632474583e-06,1.4640597042957134e-06,1.486705223674144e-06,2.9921088967775968e-06,1.8092987492355317e-06,1.9286741852146446e-06,1.6213653241941006e-06,1.4529733765741277e-06,2.9907023147055905e-06,1.901048570766539e-06,2.5103443909053882e-06,1.2333428184334088e-06,1.6035637461637005e-06,1.6399417592365718e-06,1.4437004833987715e-06,1.7372995804446663e-06,2.11907970893e-06,0.0,1.3617845411632838e-06,1.4511135791290889e-06,1.2883286625158477e-06,2.035633894876527e-06,1.5517941227780878e-06,1.8141440774074775e-06,1.435072628202045e-06,1.5959529978388825e-06,3.2096397620701756e-06,1.2463002263445137e-06,1.561995410684066e-06,1.3633818431764982e-06,5.477653195175573e-07,1.8647670545950693e-06,1.3258811763037784e-06,1.4340523173615553e-06,2.064283793093112e-06,1.394140938126838e-06,1.439620334226617e-06,1.3582446084866526e-06,1.0441279427339524e-06,1.2100976781813702e-06,1.2006799645384433e-06,1.6198275433257661e-06,1.6583670099843911e-06,2.0450248781803203e-06,2.4481675081178723e-06,2.2688790498921914e-06,1.4093376572584648e-06,0.0,2.1172738465597827e-06,1.2930762780293047e-06,1.6816949572217926e-06,1.289713915800012e-06,1.536387832264042e-06,1.5712644331138414e-06,9.308207622901167e-07,1.8017276151462038e-06,1.3450661554282548e-06,1.534294663541868e-06,1.2175287350689463e-06,1.6049487144058393e-06,2.4122331418354263e-06,1.1748666579113802e-06,3.223197088348048e-06,1.3768105978516896e-06,1.6583916213585074e-06,1.2562918352599026e-06,0.0,1.7598968449848582e-06,1.057358410539448e-06,2.7480401693138305e-06,2.2364577962881804e-06,1.3153831305221847e-06,1.6033397135017327e-06,1.4390194439462269e-06,1.3652463507588535e-06,1.3240448753696786e-06,0.0,2.6685639894300378e-05,1.328320723746058e-06,1.0963162618740006e-06,1.4870155262315323e-06,1.46535756400166e-06,1.3956027428654625e-06,9.209263249283093e-07,2.667190585712108e-06,2.6961435835556156e-06,1.5172009549546958e-06,2.6992252512358793e-06,1.346624035860009e-06,1.3641274568512538e-06,2.5982857005547303e-06,1.1147169521701801e-06,1.4681550087714349e-06,1.6886817146188033e-06,1.3932913028526167e-06,1.901048570766539e-06,1.1947049471800362e-06,1.4867052236741443e-06,1.1052288721545242e-06,1.848187063411167e-06,2.51634557872781e-06,1.3932913028526167e-06,1.6425695481171968e-06,2.519854721497589e-06,1.893711004530141e-06,1.2183046000977874e-06,1.435072628202045e-06,0.0,1.416154790507039e-06,1.0095705963438176e-06,1.7722684446637486e-06,1.3514534080096088e-06,1.4738729727986811e-06,1.1622443645953198e-06,1.483579610620368e-06,2.170422065725018e-06,1.6817911158882638e-06,1.6597158807971209e-06,1.4360419264558953e-06,1.3923879840286581e-06,1.5394998558662596e-06,1.6325904934038788e-06,1.4757840561226873e-06,1.163621929462822e-06,1.5662963950829695e-06,2.0880893836338975e-06,1.6722893514834878e-06,1.4699990593801484e-06,1.7855653696089146e-06,1.635276535114496e-06,1.5798025527223961e-06,2.1533181415077825e-06,1.452730508494197e-06,1.3090039006764787e-06,1.6068274967689177e-06,0.01639314370791371,1.3990368270191344e-06,1.7090135875456429e-06,1.434052317361555e-06,1.4129085967609745e-06,1.551208848732456e-06,1.7875469369770695e-06,4.316434906726045e-07,1.493317655945962e-06,1.7676096840478036e-06,1.0963162618740006e-06,1.9225035425327708e-06,2.9921088967775968e-06,3.473411796420616e-05,1.3273736841600118e-06,1.9962189237175828e-06,1.5427616537393587e-06,1.031151991241656e-06,1.0595348841635596e-06,1.6411967027180353e-06,2.4463692916083044e-06,1.3672668366823587e-06,1.5239559723681386e-06,1.993624004612811e-06
Animal feed ingredients and pet foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2241909547579484e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393525042474793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8749377537819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.272087580110659e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.298325167842417e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.4535412003766083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004914255186316013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.385801906284673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Articles of concrete cement and plaster,3.80863090064837e-07,6.944519359802e-08,3.0999511897238045e-08,1.6314661599337138e-06,3.332104851598411e-08,1.0317587690810371e-09,9.657334805310815e-08,2.971882022693244e-08,2.3193869065637295e-09,3.2029694766933366e-07,2.7939914834909593e-08,2.8039993322905028e-09,0.006867274415418876,5.150718502992907e-09,4.4244474269290995e-10,5.717422528904138e-09,1.488907312188217e-07,2.2215814531095007e-09,1.985916826279559e-07,5.050637979560253e-09,3.8353729105040156e-08,9.990422872605457e-08,8.424422654803501e-10,9.233351434413019e-08,4.945179282722458e-07,6.50766988614376e-10,8.163575104839875e-10,5.2534500783733996e-08,1.1363991549567832e-07,4.274966148206292e-06,5.866831747478377e-08,1.0900229981813169e-07,0.001209765069513023,9.342249356812579e-08,1.523411791602077e-07,2.970831349424012e-07,1.0131991544703438e-07,3.329585535435443e-08,2.7939914834909593e-08,5.150718502992907e-09,5.11697299802002e-09,8.044580522354214e-08,7.417161634595967e-08,2.7701732953727318e-08,4.58750038120114e-08,9.350214167103225e-08,5.427522507073074e-08,8.029477864960678e-08,2.184259429957709e-09,6.184584958553833e-08,7.137427775597049e-09,1.1076004271353257e-07,2.2098807321336682e-08,1.0405144857626106e-07,4.962379305319469e-08,6.084086103116824e-07,2.598088463659646e-09,7.154500973135033e-10,8.88110917746414e-10,7.184851872509874e-08,0.0012004335410447753,2.8039993322905028e-09,2.970831349424012e-07,9.402129465699391e-09,4.245348698748477e-09,4.0388645379367516e-08,3.421588228911253e-08,0.0,7.547934611913009e-10,1.4616966428154949e-09,5.872760041083791e-08,6.127111259481706e-10,9.545645375981196e-08,1.011716142440602e-06,8.483214252086794e-10,7.812646294211306e-08,8.043517564037991e-09,1.86811402566134e-07,4.2905355883947725e-08,2.944967534944738e-08,1.011716142440602e-06,6.593530116709234e-10,2.2607339871245291e-07,1.5354892300693792e-07,6.327086226562978e-08,6.024102446660816e-08,1.826764136712879e-08,5.5046087221851164e-08,1.3424129963059072e-09,0.03720351890644639,2.832563411132974e-09,6.183461625442492e-08,1.092242448761544e-07,7.581664421213308e-08,0.0,1.5638570152686742e-07,3.7472767577573834e-10,3.395598016269682e-07,3.8262137038132144e-10,8.765613036987599e-08,1.523093060299327e-07,0.0,2.7247623396433034e-07,5.816252240121743e-08,2.0136252313599592e-08,8.187762955178505e-09,3.7666466850450815e-08,1.5569624798608445e-09,0.0010866394371829482,9.390159059836445e-08,1.4084512436173825e-07,2.779333636375111e-09,1.4254481698229858e-07,2.561307320783095e-09,2.358197845008236e-07,9.097203494782784e-08,5.3242430095173997e-05,9.802426941689649e-08,8.400860160867044e-08,3.5923213694279303e-07,3.837561664874876e-08,3.2395073467973415e-08,1.8509456431550783e-08,0.01206573024649821,0.0,1.9096124314053152e-07,1.0275673682660507e-07,4.745007007989752e-09,6.185599420433552e-10,1.4767367314192416e-08,1.1807897074335126e-07,3.950863300489292e-10,1.796544341106183e-09,6.613727632386191e-08,1.262195369166633e-07,1.546309918482311e-09,2.807349622877105e-07,3.208394401748484e-09,2.518001091167764e-07,1.1309410145399237e-09,2.8698383847906785e-07,6.036446143916875e-09,7.620962941587705e-08,1.033229900361179e-07,1.4372092780271316e-07,3.696488758435569e-08,4.821980864131343e-07,1.4643944836314525e-07,1.1030886724027382e-07,1.1921196299648486e-07,1.0151722033125751e-07,5.249986535509374e-08,5.6455065328683944e-08,7.070317621923719e-08,1.1807292039930195e-07,8.593378980650205e-08,7.4920725808431e-08,3.285017036244993e-09,1.1824206785616711e-09,1.6930057722197405e-07,1.3850832830666539e-08,7.4920725808431e-08,9.813818222870623e-08,1.8619528337510116e-07,9.633827606584344e-08,7.4920725808431e-08,6.930315488241274e-08,2.5614379941645797e-07,1.0544436874372379e-07,1.0528835411761288e-07,6.269114891920099e-10,7.417032613910058e-08,4.047678223172866e-10,7.346245671150675e-08,2.9449675349447394e-08,1.1155102724392217e-07,1.5750733204986207e-09,2.368329857750137e-10,7.382131700505759e-08,8.512372342760791e-08,1.0271718346398807e-07,8.445561934133462e-08,7.050104894599958e-07,4.1473393707643385e-08,0.0,7.261873233489698e-07,1.028199281656901e-07,9.966853158769828e-08,1.063700325853117e-07,1.0459100459055368e-09,8.57322636459218e-08,2.844013288871341e-09,6.323235451885892e-09,9.981739837043717e-08,1.4801866632411742e-08,0.000822766704408784,6.691023560387475e-10,2.4568721620772306e-09,1.0236264794020445e-09,1.0939996808127022e-07,1.007952721661272e-06,1.8138475887419624e-07,3.919587720222845e-08,3.8261866300340956e-07,2.638723828059749e-08,8.400974873604191e-08,3.9902869986318855e-07,2.6143174417301522e-08,1.2334324706404481e-07,6.7382868589206285e-09,7.396701910218457e-08,1.0963644654218502e-07,0.07377183942705118,1.0389675486572056e-08,1.58505673903136e-10,9.544144415832227e-08,1.2198703455848655e-07,1.514005621821923e-08,1.0850512422631789e-07,1.0859345010459008e-09,0.0,4.2822432083478713e-08,5.155689092883462e-07,2.977036135424996e-10,0.0,0.0032068927480594727,7.104843138325588e-08,5.479226985907084e-07,2.1025937407652486e-07,8.320653889369727e-08,2.0345061267553472e-08,1.2334324706404481e-07,9.247214485097676e-08,1.0264079754707235e-07,1.0036838627779336e-07,1.1746990614024573e-07
