,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.03676680499807191,0.0464429978041586,0.04637488415195389,0.036112663084094214,0.05478149171253667,0.04313656088893638,0.04707839871854965,0.039447775079169155,0.040760253427812976,0.047660553334869175,0.3231487932267695,0.0456873441087958,0.038023289867450905,0.046284178219381286,0.04519525389572315,0.04357767559737554,0.04680928008975818,0.044884647886462556,0.047766773574073544,0.04577496773107555,0.05259875809441242,0.04768278219825635,0.03488687002387754,0.04765483150211874,0.044173010634146116,0.04415950112003762,0.04745740454410651,0.04887620138345419,0.04271111624800982,0.036764650273416015,0.04130619700540257,0.01887308167403672,0.0551752358198181,0.04676670525329249,0.04750381756409242,0.0,0.04722302832176188,0.04697685914337992,0.046284178219381286,0.04491535218655531,0.04464338978429542,0.04768667770688747,0.04627168439337091,0.04729920670837691,0.04600375979286403,0.046026325977123826,0.04707303308320556,0.026909205649527368,0.04600352344957439,0.04296840170635783,0.0443321798578179,0.11030327999775422,0.038561088875271377,0.046291380858968216,0.03830566577498047,0.04203507663526672,0.045525341879843285,0.045418330330361925,0.047687194365224686,0.04321413040766359,0.047684916572976445,0.039623383572914665,0.04603641501007211,0.012546029747544516,0.04335076092204918,0.047315647744179345,0.04541833033036192,0.04241592387989461,0.055647142671272666,0.04744105101226556,0.04641014860682946,0.04798222168624087,0.04586160047371602,0.04754275280379777,0.04404633092809763,0.048999283953554074,0.046776810999205914,0.04780726405064693,0.04059303830044848,0.04586160047371602,0.039984918530041956,0.04653747544568044,0.0443580386105505,0.04703437129701728,0.054079585935104216,0.04367415897245774,0.042595754579165354,0.035659636727350265,0.04329005249419177,0.0496994359606463,0.048040724870957584,0.04820516695555648,0.05063999840818293,0.047476212812499294,0.0,0.042813350015312945,0.0437344705538044,0.055220673640273235,0.04427741974379165,0.04747042665743637,0.04749958932914098,0.046600906086861224,0.04317250486666477,0.04661455906696722,0.04424656448961339,0.05335766652597391,0.042707727161828114,0.03740522489533595,0.061669168343660555,0.0433345667460704,0.046443461476009064,0.04528060208640516,0.043277784568775096,0.04641921728590597,0.047429841637902655,0.04694717980965062,0.048494438213523804,0.04851748727710818,0.045991930051046806,0.04765885534332218,0.04564991092424147,0.04642007040996077,0.04590582454059063,0.04111168357889749,0.0,0.04729681827615578,0.047830037330176677,0.045094837169417104,0.04598227929383425,0.046429099772482545,0.0464921915271787,0.030320293698042834,0.04392995609785328,0.047187046583589236,0.04740205690104463,0.04444742840227492,0.03720004137498521,0.043463839623561186,0.04591625770698711,0.04429094173004459,0.04771038114957517,0.04367509426387944,0.04771213469022846,0.048409598588348125,0.047703580063567556,0.0494224165454116,0.035152016058117394,0.04490670823306361,0.047491609098037735,0.04688788859058052,0.04731431877334619,0.04427847721987426,0.048597294994571986,0.048874169191650156,0.05138310289143194,0.044219840991470645,0.04871337684722042,0.04590273792163863,0.12411423441438064,0.0474967043010455,0.046095783188321554,0.048874169191650156,0.04703771949029847,0.04762870302360642,0.04646876924873449,0.0483477643594921,0.043339487668929935,0.04696378418568237,0.04641092648559446,0.04738831710893195,0.04473733492527804,0.047242609548508736,0.043640335310671435,0.03510644573454582,0.04059303830044845,0.044927989192684835,0.04534050850052691,0.04495494874885451,0.05850081302851584,0.04810349562512669,0.04509865345067506,0.04539232406609465,0.046206256722520773,0.046600906086861224,0.0,0.04690229492364047,0.0382288653673035,0.04657223919729931,0.04354495918427639,0.04643750076767081,0.047537367171624066,0.23468726883468638,0.044329019030490587,0.04598192742832719,0.044792416290180694,0.04474873307787417,0.04593970251918961,0.04330170331562633,0.04560899974373278,0.04804741571965198,0.03639564637282854,0.044928517017639065,0.040747692796412896,0.044607934088759814,0.04165318991408387,0.05612680983416586,0.04782566487409969,0.05127052117267763,0.04751243435263441,0.03468550875231167,0.047479107351162946,0.04815539740621724,0.04200375436286094,0.042720012385298885,0.030999932128202023,0.04753771656415746,0.04729488916018926,0.04053625029403061,0.04661247282262886,0.030679369471171048,0.04590273792163862,0.12037798879620551,0.034800248154679074,0.025958072619065183,0.04590273792163863,0.0431829809195756,0.03576072831196934,0.03515320936745898,0.047728792418182044,0.04722797964647036,0.04872622412842532,0.04751243435263441,0.047440887595366035,0.04817463531936021,0.047732414095087765,0.05279835745633562
Agricultural and forestry machinery,0.04138321995272374,0.02628543925166877,0.030214635737606035,0.03762269913412728,0.01663228465072998,0.010976945170377332,0.02863613274284114,0.05926193347747858,0.026079978937384958,0.029413446926161116,0.05275974483636306,0.010824791225713315,0.08718203214590674,0.052763010036178046,0.008748222227698513,0.020475655709634586,0.03767094664284776,0.015887736574805442,0.031262377258288336,0.018490916624651136,0.027520691147724038,0.03320850011732787,0.014750553457694562,0.02336373082432751,0.04157867574005417,0.02876377853933531,0.01221276274039384,0.019914943881058817,0.09139333804477165,0.0380548835235978,0.051589053425628174,0.06070059378280709,0.038491635584593474,0.032965206367835724,0.031593254694072634,0.0,0.06659505924709795,0.014909895695082947,0.05276301003617801,0.015277994343005035,0.06970785840829918,0.03445346700532878,0.02738018833267283,0.0664240459579443,0.03243735188471465,0.027385549019360737,0.0821466164397388,0.03159465435255024,0.028067245331412114,0.013192654364008538,0.047054818830690626,0.020545159058465892,0.09341601475702911,0.05276301003617804,0.04133611377241258,0.01382422126385473,0.013244212905305757,0.011282901257085651,0.027118727219139452,0.0339234420356641,0.017175324256446897,0.053530008035917835,0.017423447531295096,0.037856240115599175,0.02164332334852765,0.010688497759885379,0.0,0.01098865099055031,0.01829984227803035,0.02200043249671259,0.017315717313722372,0.04271285294544981,0.04236828382310302,0.010824791225713315,0.055370560392755626,0.016061675557180344,0.03529426019535758,0.030368949999167803,0.02013027483381749,0.020871472470802902,0.023400830352082277,0.04558762682166788,0.011820098235835045,0.031399770852391116,0.02897274100579518,0.011885720474516557,0.019462060294216363,0.011401989499397872,0.053865814993697816,0.016310087032864108,0.03986522237744727,0.17535835029165608,0.08300577225165401,0.03380185726769146,0.0,0.04182931244159299,0.011665207540067554,0.04222143649838993,0.017000716567215097,0.033112760629315174,0.03197752545914737,0.03762269913412728,0.018133607246197992,0.03072759255544,0.019892568637364154,0.025284802390973426,0.029890338000135325,0.00416687527191925,0.06501132248563063,0.022699905776560537,0.033331538002941925,0.06199084913715983,0.042470063939381526,0.02980048237270384,0.03575098433217411,0.02937085049975257,0.037156201346603544,0.02908437575125645,0.015698920984588933,0.036653756004763206,0.024125618030775065,0.023837267139322167,0.019526236352327007,0.033427251765654115,0.0,0.03256372622195137,0.03554876598722545,0.01649786911838788,0.02624399086922386,0.01548243049929379,0.03546383633480468,0.013677559223415722,0.01887973875177874,0.031718816812873724,0.030394655542074833,0.03031928364255245,0.03620228748651533,0.02274780890178134,0.029786802621047256,0.01695224938904431,0.034650638099237296,0.03888863585964361,0.09831922629286549,0.030772995258064758,0.037426690425903915,0.02160938490685174,0.03762269913412728,0.025018592842235815,0.03200629784709093,0.031107157144994797,0.036867746329305284,0.02377736694845882,0.023415514293911664,0.058660447394051254,0.03474705498592153,0.06069621978685191,0.06749633392915017,0.018545256362171626,0.015840133882657835,0.03134964562668173,0.05218748319472945,0.08910444983386812,0.025285601002724936,0.026309693712757657,0.05588845626370301,0.06161088017210411,0.03772520365468398,0.03266959757518313,0.035092749590140575,0.0524327941971079,0.012476976681149868,0.03445346700532878,0.010379663385751522,0.06327410658189306,0.020130274833817494,0.025349530783455934,0.0504682004504376,0.01428361943038884,0.036762126296881505,0.03028803924116781,0.024084040028144835,0.04230514978699317,0.037542683044201365,0.03527827391476034,0.0,0.02385444795429933,0.031621567580998905,0.02991612366724796,0.06810533261969673,0.011158970680224553,0.04393995652879655,0.08237023842808108,0.015192132136342316,0.03586776298729432,0.01089132825049844,0.038569498256554306,0.018732514961125366,0.010407514877486502,0.020963159733372042,0.03893739135681258,0.0370996346031727,0.03239160152271497,0.022684993847822417,0.03388469450011026,0.10715763463150274,0.02353362356772943,0.035123203097704496,0.025635057841468818,0.01588773657480544,0.01995921172040151,0.028921270799130632,0.05292446343281416,0.05955464095535873,0.01621739936353088,0.021271419218501467,0.041689640980803244,0.030823914805951917,0.027509153539259715,0.030611098553985815,0.01984782320568818,0.9904986632771229,0.08618817701609198,0.03762269913412728,0.017701472881462742,0.0,0.04270429552739747,0.03522821061289228,0.04050804161562691,0.03640209835193994,0.03285535376684562,0.0187134707986691,0.04999662828385251,0.024653806442372667,0.04244714826018727,0.035552299255053876,0.03800776521867535
Aircraft and spacecraft,0.4507375823360827,0.507480168817461,0.11984253158440929,0.82271856847304,0.10894203535688894,0.18935365401732226,0.12959330700718052,0.21722772054469736,0.10157972514361595,0.13010813376818828,0.5175614429219035,0.1506803009379088,0.450442000063283,0.10848028997457297,0.22833037303510287,0.1430071402635539,0.1811517436668428,0.10319319473588964,0.11218772721434075,0.1385708102691035,0.14482670352047472,0.11544154711627458,0.1518185742374983,0.1356026547399776,0.5374082969810219,0.12872456996455903,0.06951639806593801,0.1462894951393242,0.15886280769842812,0.12827096277133024,0.15413273503322514,0.15782925843957576,0.16034620644801267,0.1422992597469622,0.07281589686063425,0.0,0.10989585988977381,0.13498380878834557,0.11511919426243597,0.17991040970450659,0.11116865082927516,0.12403492695295433,0.109162920350959,0.13120410959614529,0.12814627420443278,0.10033804292861065,0.1239844930864025,0.12877232768591937,0.14150252429974164,0.13425711758555794,0.20820645263258353,0.08607652606184145,0.26402372817292713,0.10848028997457297,0.8356916504746015,0.1364257113005922,0.15389192942817317,0.13638334309604294,0.1889480185540022,0.13262218561009367,0.15300043513368344,0.1440435325809601,0.20352446444323943,0.19520668054709625,0.6859025046869563,0.15303088164777442,0.0,0.058786949792681946,0.1315589041044078,0.16252126771963493,0.09928069055189843,0.12376344943467486,0.12979836934459518,0.06951639806593801,0.13307795685288268,0.13652974932631654,0.1271665122467385,0.11056963968303683,0.14431930028944162,0.1301369701197141,0.18774830160039022,0.12266359400346834,0.13771445882922953,0.16330425994748263,0.1301565113626821,0.0904392707738824,0.12980123860300222,0.11934555524749785,0.9993919206531223,0.15863036102196149,0.2902292073830333,0.192762663973253,0.27673518737827135,0.13993525209626406,0.0,0.3484341376296932,0.12461108752832138,0.1294545907520949,0.13470042031612148,0.21826770232279666,0.13096790706768952,0.1299128070230223,0.09799038527131344,0.12867450530332328,0.1586032373358629,0.11596495849255349,0.12587080834744532,0.05315212881714812,0.18752008173245002,0.13307795685288268,0.13473903800466364,0.1832093298506711,0.27789250267022647,0.14432963261190404,0.13262233985656985,0.1270319357037172,0.1287388393064884,0.16100367849364383,0.10940635050009881,0.16942486214610067,0.1402783856477291,0.13744334248130782,0.13272631471291962,0.2169261144233826,0.0,0.12856766544768172,0.1432197844528821,0.13180632359482233,0.20412022512446876,0.8516206336039973,0.1625766305179962,0.08207197306690459,0.14122622994454406,0.08034354117470398,0.2930020188693226,0.12692058473045706,0.1729538502917807,0.14426692886009113,0.12104078306262235,0.26062344946249244,0.08811167528535829,0.1479866678981563,0.13229862252811103,0.0,0.10924162529387221,0.11582907175009188,0.27353630871636286,0.12811080465548952,0.08224506460985939,0.12609914370202274,0.13336877577244974,0.07401116312041414,0.07655441936020452,0.0,0.16886503108962464,0.1385231170550158,0.128649568654064,0.14444857344096645,0.14012976677941763,0.23583632900056534,0.10848028997457297,0.14374182219574974,0.12148569315249248,0.13908004004945732,0.11289550664042149,0.06951639806593801,0.3944662564747595,0.12375915697010849,0.13341545180211095,0.20779502149803247,0.149881009527015,0.12447298284034425,0.0904392707738824,0.13638267974824822,0.14431930028944168,0.1391075846204641,0.14247836242557765,0.09596993842636699,0.12447298284034425,0.24028108172062843,0.12842739068335177,0.14641479425870246,0.1558253240236008,0.1299128070230223,0.0,0.13711481453310131,0.13512616482050843,0.13128342072438784,0.14749560306886475,0.13000418869254313,0.2908436865595211,0.8420390156437172,0.1277732173377677,0.15158900357938493,0.10538161246367879,0.14099038760503793,0.13502858992341824,0.26090712114494813,0.14779574591044128,0.5531054847176873,0.16032572239841283,0.2527537171359036,0.12770538415251667,0.6254899597678714,0.5335998663480869,0.14861562406366413,0.1244133980252214,0.13286146774904478,0.10622487775206065,0.12382601125615508,0.13087928316892686,0.1348808266907963,0.1904576534785535,0.07896225594250325,0.1452006872781604,0.13473903800466364,0.13326769626770368,0.24312197391107884,0.29497020949835623,0.03153924738780964,0.36391299761879936,0.10119226197676182,0.128649568654064,0.13039287267327634,0.13013697011971412,0.19139537165288692,0.1339000112112109,0.14488584405116825,0.1238635327403044,0.12009881013195092,0.21644375270630986,0.18306446748491859,0.12494858597153914,0.14360436217642358,0.13809078274979394,0.15303155334960342
Animal feed ingredients and pet foods,0.0,1.0000000000000022,1.0000000000000029,0.0,1.0000000000000022,0.0,1.0000000000000027,1.0000000000000024,1.0000000000000018,0.0,0.0,0.0,1.000000000000002,1.0000000000000024,1.0000000000000016,1.0000000000000022,1.000000000000002,1.000000000000002,1.0000000000000022,0.0,1.0000000000000024,1.0000000000000024,1.000000000000002,1.0000000000000027,1.000000000000002,1.0000000000000027,0.0,1.0000000000000018,1.000000000000002,0.0,1.000000000000002,1.0000000000000027,1.000000000000002,1.000000000000002,1.0000000000000024,0.0,1.0000000000000029,0.0,0.0,1.0000000000000022,1.0000000000000024,1.0000000000000024,1.0000000000000024,1.0000000000000033,1.0000000000000027,1.0000000000000024,1.000000000000002,1.0000000000000024,1.0000000000000027,1.0000000000000024,1.0000000000000024,1.0000000000000022,0.0,0.0,0.0,1.000000000000002,1.0000000000000013,1.0000000000000013,1.0000000000000022,1.000000000000002,1.0000000000000018,1.0000000000000024,1.0000000000000027,1.0000000000000016,1.000000000000002,1.0000000000000027,0.0,1.000000000000003,1.0000000000000022,1.0000000000000018,1.000000000000002,1.0000000000000024,0.0,1.0000000000000022,0.0,1.0000000000000018,1.0000000000000022,1.0000000000000029,0.0,1.0000000000000027,1.0000000000000027,1.0000000000000024,0.0,1.0000000000000024,1.000000000000002,1.0000000000000022,1.0000000000000029,1.0000000000000022,1.0000000000000022,0.0,1.0000000000000018,0.0,1.000000000000002,1.0000000000000022,0.0,1.0000000000000018,1.0000000000000018,1.0000000000000027,1.0000000000000024,1.0000000000000027,1.0000000000000024,0.0,1.000000000000002,1.000000000000002,1.0000000000000022,1.000000000000002,1.0000000000000022,1.0000000000000018,1.0000000000000024,1.0000000000000024,1.0000000000000018,1.0000000000000022,1.000000000000002,1.000000000000002,1.000000000000002,0.0,1.0000000000000022,1.000000000000002,1.0000000000000027,1.000000000000002,1.0000000000000027,1.0000000000000018,1.0000000000000022,1.0000000000000024,0.0,1.000000000000002,1.000000000000003,1.0000000000000016,1.0000000000000022,1.0000000000000018,1.0000000000000024,1.0000000000000018,1.0000000000000022,1.0000000000000022,1.0000000000000022,1.000000000000002,0.0,1.0000000000000022,1.0000000000000018,1.0000000000000024,1.0000000000000022,1.0000000000000024,1.0000000000000024,0.0,1.0000000000000024,1.0000000000000033,0.0,1.0000000000000022,1.0000000000000029,1.0000000000000018,1.0000000000000027,1.0000000000000029,1.0000000000000024,0.0,1.000000000000002,1.0000000000000018,1.0000000000000022,1.000000000000002,1.0000000000000024,1.0000000000000016,0.0,1.0000000000000022,1.0000000000000022,1.0000000000000024,1.0000000000000018,0.0,1.000000000000001,1.0000000000000024,0.0,1.0000000000000022,1.0000000000000013,1.0000000000000027,1.0000000000000024,1.0000000000000022,1.0000000000000024,1.0000000000000024,1.0000000000000018,1.000000000000002,1.0000000000000027,1.000000000000002,1.0000000000000022,1.0000000000000022,1.0000000000000024,1.0000000000000022,0.0,0.0,0.0,1.0000000000000024,1.0000000000000022,0.0,1.000000000000003,0.0,1.0000000000000022,1.0000000000000024,1.0000000000000022,1.0000000000000024,1.0000000000000016,1.000000000000002,1.0000000000000018,1.000000000000003,0.0,1.0000000000000024,1.0000000000000024,0.0,1.0000000000000024,1.0000000000000022,1.000000000000002,1.0000000000000024,0.0,1.0000000000000022,1.0000000000000027,1.000000000000002,1.0000000000000024,1.0000000000000022,1.0000000000000024,0.0,1.0000000000000029,1.0000000000000024,1.0000000000000024,1.0000000000000022,0.0,1.0000000000000024,1.0000000000000022,1.0000000000000018,0.0,1.000000000000002,1.0000000000000022,0.0,1.0000000000000024,1.0000000000000027,0.0,1.000000000000002,1.0000000000000024,1.0000000000000027,1.0000000000000027,1.0000000000000033
Articles of concrete cement and plaster,0.007518229835860499,0.010957986299457987,0.006012950831824873,0.006820502961864406,0.002416283468555764,9.513327493272654e-05,0.013266453052543821,0.007650129696327238,0.0002968322551872631,0.013285498504266476,1.0,0.00014799407081186067,0.014939046802623342,0.0007362338513311274,6.059177929777942e-05,0.0005474313534709268,0.016184686498311666,0.00017895220963664186,0.012352271215664372,0.0008558354521099289,0.009557037634259125,0.019183771651538662,7.029897468180361e-05,0.010473899141944814,0.009084176383901884,8.798746887101291e-05,6.100482168947261e-05,0.004923744099947698,0.005640479912040156,0.033102515292382194,0.015311071104989147,0.014714235989125954,0.0906933201104443,0.01982475447147719,0.012730405637496363,0.008306883348847329,0.013468111877045299,0.008989337662668092,0.0007362338513311274,0.0004168165911040018,0.029209893178138206,0.020279285832829553,0.005410104758413629,0.0060600939483357675,0.015358419119610979,0.010609817519546164,0.012247961139597724,0.00036187292386747775,0.014737710795881827,0.0012753020640486337,0.003543349004776064,0.021446680162070055,0.0031800037317997565,0.007419345280592086,0.007010695373583162,0.00020624067274970266,6.532184169623695e-05,9.728455503955301e-05,0.017606045023282356,0.09122586241924831,0.00014799407081186067,0.008306883348847329,0.0022226846359464916,0.0011674643503343525,0.016474094118489137,0.013757413840067014,0.0,9.169085116087867e-05,0.00014353991641350593,0.011896221404826606,0.0004353974736974356,0.012913433643308516,0.008631925601128675,5.502729359675704e-05,0.024511634413985225,0.00025989608338410704,0.016121589683766997,0.004629031378953496,0.00853236829828534,0.008631925601128675,9.022687240969914e-05,0.011840743742553207,0.001381802152470507,0.016777795530340183,0.00995120370600087,0.0005612438455836344,0.009340162184988962,0.00020238279502918677,0.03302338207697061,0.00016620026961245918,0.003697208121778864,0.020029727440238582,0.0107626154127346,0.01869517381648304,0.0,0.004598320850189591,4.977097911124003e-05,0.017150382009358277,3.604056963644063e-05,0.0193757854677072,0.012730382269685767,0.0,0.0012522046702950263,0.015081898807655461,0.003942393393434694,0.0035568669869429493,0.011499615987496709,0.00020526531172568438,0.009768867046107762,0.016338859823721116,0.01588758076929527,0.0002833467832922905,0.013538676844291128,0.00026673296470607516,0.0179832985547254,0.013103416876520212,0.06022078127986681,0.020589987095001015,0.012762194797269278,0.013758482736036687,0.005006409381298768,0.005899886363588473,0.005051574865492459,0.00978382728863374,0.0,0.014355277715765901,0.013143238752812678,0.00030367005194720486,6.393539286110682e-05,0.0003732689417735087,0.018795212429571176,5.816960037257561e-05,0.0001855843858791369,0.01227647066108276,0.016273494943417514,0.00013368674667487947,0.013806102075651592,0.0004483982976993495,0.004198926453907314,0.0004095531248155766,0.015228367737536249,0.00048023741515786236,0.017600141650633082,0.020281736079825807,0.007898556516678677,0.009195671678067932,0.006377471651552408,0.013205982719968451,0.013758936524152913,0.018665424296753625,0.01333898988462875,0.0041728801613424545,0.0030894875168074056,0.011249838770251167,0.015418400562362341,0.003485849082789509,0.011926268787546301,0.0006277533990933764,0.00010266635923999438,0.013765617970661254,0.0019093933420305513,0.011926268787546301,0.013027933638136336,0.015216186930392438,0.0063565953436417145,0.011926268787546304,0.041578202403857116,0.015632170582011887,0.018531237102731687,0.014855901791137768,4.751240078469343e-05,0.020229452743098536,0.00011297705877680267,0.011440297343733282,0.00853236829828534,0.006012559689460609,0.00020853963994068596,2.2744513045459107e-05,0.006749286077342406,0.012163601665793042,0.010720907274251705,0.013761987209648446,0.00014688745491000979,0.006565943799982282,0.0,0.009901523825066748,0.017486960622228032,0.01375146208062065,0.005350236051636071,0.00010453479125672269,0.015721008478259305,0.06999614739655254,0.0004017723018518025,0.013100399924684628,0.0024340040682879994,0.010112084967867457,8.796857843638632e-05,0.00016980450296113765,6.879854953322657e-05,0.013252706724145948,0.03527773067554621,0.011561134660230855,0.012627425614241386,0.007853796884796664,0.005277276818397563,0.011007157529139838,0.012911264787800957,0.0027801112540708213,0.015241059126194842,0.0007302443188515265,0.01874517430748043,0.015244425756922395,0.009563547839761653,0.0012794036419032013,3.276071208343376e-05,0.01291862788105846,0.019075861123303724,0.0008507846076583814,0.013075459243190774,0.00011881859649750855,0.0,0.007508656237589125,0.006817470660293012,5.47265064487514e-05,0.0,0.015533433748354055,0.013379372375477134,0.0067609516630263945,0.01656711276048333,0.015227275650891188,0.003755179926984755,0.015241059126194842,0.013906010340665085,0.01313654722264976,0.014309106952575382,0.013058866952842925
Automobile bodies trailers & semi-trailers,0.005644206150168746,0.017236148826593946,0.015575287218624148,0.015023873707646691,0.004201237671169541,0.000855678048892319,0.022069680013648604,0.03297507701910747,0.002815127614716517,0.005937119909476533,0.0032878330545611473,0.0019688392923596486,0.017222315389851004,0.003484212809787147,0.0016517490218513138,0.006035974334684606,0.014643914529574103,0.0019788544396162344,0.010153901396070936,0.0037128411238602334,0.01367083133318564,0.01755391734224947,0.002664023459149159,0.05329078286910141,0.016256843787401453,0.0023811193882204325,0.0013429294057798718,0.004487478158435916,0.0677564842071251,0.05873263792819196,0.013707503958545843,0.0006377169537731812,0.02060429787340444,0.01750909582053311,0.01398515118078357,0.0,0.035422346935817216,0.007254709914521788,0.0034842128097871475,0.002760620831744479,0.02086162601622359,0.020955597373503217,0.02085431074553984,0.009440248663641859,0.020451886055173583,0.013100672587178076,0.02119652771772462,0.004524490186904262,0.006146685596745477,0.0013069690832659547,0.017709627909842547,0.03789844945689065,0.018348985055379928,0.0037060563092030496,0.01811823364877931,0.002958247517371962,0.002856525562281449,0.0016600105921709156,0.01980257729789703,0.005604947668341742,0.002700414519214394,0.024306576082367647,0.00938564733464957,0.005009010177756765,0.014512483663228186,0.017786722410976976,0.020955597373503217,0.0008155275114853539,0.002535994646469283,0.015279890269031482,0.0011131014603681672,0.015107701557316116,0.01006766460292157,0.0014151674046246929,0.004659059591802662,0.0027336297864011647,0.013249960601683033,0.014551419837863238,0.0033925849459845395,0.01006766460292157,0.00566589546803135,0.017159842833297287,0.003094623924943748,0.01096034165201996,0.015958496447649125,0.0031581395165543092,0.01362097471002634,0.0023873178420698556,0.019144057572320426,0.006100106408961846,0.024201430141623397,0.017836646973925337,0.015175894833953632,0.019100142931747895,0.0,0.02767854920174282,0.00237567792526568,0.014944729230732628,0.003139435013473567,0.018532577486771888,0.014835944554165295,0.014586660953486319,0.008995430158669356,0.012519140239492,0.026173726031198042,0.0040338891770090295,0.0053605102865883535,0.0009101110659691418,0.03998674812070236,0.005372577499385175,0.021752745486859973,0.011046036637757719,0.01779653713424569,0.017557478780123287,0.01838987708711665,0.020686385191306278,0.014785184353064943,0.014714093403800525,0.010724210608821243,0.01953487152399823,0.00996723655955146,0.01429736340104281,0.025984455875834332,0.023531030490371214,0.0,0.028880219609431525,0.03610868518331968,0.0019067250665189641,0.002310791084532039,0.0026490947626762115,0.009040020828554556,0.0012796197488367936,0.0034370848517616473,0.014602388841053898,0.02093474483920022,0.0411686516187328,0.017966626470883502,0.0019656135728955463,0.013247117631770673,0.014019356502175208,0.020344660979169375,0.0035560016273608404,0.02096353516686122,0.020765620761274924,0.026817845986174402,0.008541740118148846,0.014586660953486319,0.013216603704294455,0.022055970098082873,0.017684754068943688,0.03427990689656036,0.002999800010629069,0.016621399208851844,0.004116795485070631,0.01840516880028636,0.055448607214327185,0.021180093639019057,0.003991663191061718,0.0025625581920323552,0.015475748966681083,0.01613200958458265,0.02119652771772462,0.0193950496639148,0.020258476345398343,0.01741152252381243,0.0,0.02348938022744517,0.02001954326427327,0.015333723521630838,0.013674128414306467,0.0021675265925216766,0.011682070558541341,0.0009540853096233433,0.005888999658665075,0.0033925849459845395,0.00876399568228945,0.00900597413331747,0.0030346052081777165,0.01115866145459547,0.017009681198709818,0.03412867536095671,0.015077371020743503,0.009947865696804755,0.014186846505725822,0.0,0.02207259311868686,0.01543764709427495,0.01581170372026293,0.016574171159836913,0.002376822268737303,0.01372823072952958,0.6194972908958712,0.0022142331413929272,0.020973795736602657,0.002215434650647403,0.022088105398518295,0.0033608479389876005,0.0020475557365337745,0.0036873731756771476,0.03575875857646002,0.010927592359124995,0.0143554649880476,0.00947213950746347,0.019404045000866805,0.029577126609560196,0.009011267776926637,0.016801240541157066,0.009451734512335268,0.013136678757031896,0.005053114707757861,0.005956159201453193,0.017204482118030048,0.020152360398295332,0.07860914957191809,0.0009374505405072405,0.007666556179958707,0.01483925243472429,0.01856929262803726,0.017208076233527502,0.003381804849743564,0.0,0.011603784367921552,0.014586660953486319,0.002027268814728467,0.0,0.027038318244029125,0.011375894626562777,0.019786476227574824,0.020428320478511768,0.013620028692647423,0.006620135833651107,0.013136678757031896,0.021163104330886785,0.036167895453261094,0.030809477635415385,0.031160019571377172
