,ABW,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,1.1502098177919599e-06,2.09325631440613e-06,1.0910359656660442e-06,2.0451362385074025e-06,1.9195502912663635e-06,1.8620145417835854e-06,1.3308679028903782e-06,1.4312656612657937e-06,1.630866410829029e-06,2.5133828320846456e-06,2.298102890570563e-06,1.1880783465766494e-06,1.5478829392058446e-06,1.7387719349228077e-06,1.6073518678242315e-06,1.7070404503750007e-06,2.414881997644606e-06,1.7245528970358148e-06,1.033191021320773e-05,1.6983507243869673e-06,1.6338220610146365e-06,1.5667949927335898e-06,1.6546102115391984e-06,1.2705480600156244e-06,1.8195219293078085e-06,1.9957169964831726e-06,1.6630702320014654e-06,1.3600869066201622e-06,1.1148667792837471e-06,1.413716476302669e-06,6.45786247051044e-07,1.3409674812566203e-06,1.6185928573621444e-06,1.6447170336748006e-06,0.0,7.734976509260185e-06,1.8543969169839304e-06,2.404082241890581e-06,1.5478829392058446e-06,1.7873866989715464e-06,1.5241115666063144e-06,1.6270535950870222e-06,1.73466287071921e-06,1.6564089541269597e-06,1.7667879379482292e-06,2.7931232951783406e-06,1.760298426819688e-06,8.759213823823741e-07,1.8462242074037938e-06,2.1555677850413734e-06,1.404408043218783e-06,1.9124377066616787e-06,2.275434558096548e-06,1.5481861969547177e-06,1.1152798233379442e-06,1.9255775265732573e-06,1.885938824309415e-06,1.8488002405285655e-06,1.6448188686536936e-06,1.4857945604781609e-06,2.2756090647174065e-06,1.184916311487739e-06,1.8183223092805498e-06,4.199311414791374e-07,1.6904518002434297e-06,1.808179985734159e-06,1.8488002405285655e-06,1.9253226994277456e-06,1.9146244881004036e-06,1.6421810630161397e-06,2.1181913894570373e-06,1.6193768454372129e-06,3.1237578836700232e-06,1.9938526685399402e-06,1.7065648466016287e-06,2.3656599659665197e-06,1.5979832356195039e-06,3.3331938426075657e-06,1.4964152439415458e-06,3.1237578836700232e-06,1.6581775022193756e-06,1.6952416754254572e-06,2.300417670618962e-06,1.6751664647693843e-06,1.8655743031037605e-06,1.781522245363155e-06,1.7269411506399494e-06,1.7408572882472453e-06,1.2733148462786836e-06,2.648488615674389e-06,1.418587054480416e-06,1.6263393070636149e-06,1.2096866152753783e-06,1.6269636225822528e-06,0.0,1.3739601346954775e-06,2.22729042333524e-06,1.2893390765557878e-06,1.7906605214889088e-06,1.623459908434516e-06,1.6439640233602985e-06,1.604421427536737e-06,1.8932536981214138e-06,1.7342757130981306e-06,1.6929542106296627e-06,2.2002457912657107e-06,1.5988374081629552e-06,1.807428517581084e-06,1.3631695061103695e-06,1.712797627344552e-06,1.5718900290798666e-06,1.5498438302787868e-06,1.5167568496646035e-06,1.5805512183390093e-06,1.6280097020719001e-06,1.5863783820887313e-06,1.1285406092005138e-06,1.6227541612454907e-06,1.6589918159214384e-06,1.6535473596465937e-06,1.6829399548333753e-06,1.628972407482177e-06,1.6870371020421842e-06,1.3971970331372076e-06,0.0,1.761527623082636e-06,9.697418619297808e-06,2.21067299532237e-06,2.231712204605188e-06,2.6503986328703016e-06,1.5760325022078947e-06,1.2707704947371534e-06,1.758836712548798e-06,8.63385774920736e-06,1.7047979820395736e-06,1.3874485356094758e-06,1.1414108931597741e-06,1.7559638045547106e-06,1.785810111174347e-06,2.385952907215283e-06,1.6318078479988854e-06,1.81572184967517e-06,1.6165494494961557e-06,1.6231903125960187e-06,1.7919651267659304e-05,1.6555288169380363e-06,1.0953641427026046e-06,1.7780932363787904e-06,3.563180507593436e-06,1.606771476019178e-06,8.02434082776272e-06,1.8758394654143181e-06,1.71692549327477e-06,1.6746405779401292e-06,1.6767796342116106e-06,1.4143807172593265e-06,1.6667711845234407e-06,1.1532699062133793e-05,1.8825525951800784e-06,1.6388625469811866e-06,1.545433722837994e-06,1.6746405779401292e-06,1.7417380610053089e-06,1.6330687533843517e-06,1.5197894800489795e-06,1.6565881026407326e-06,1.4456420314053452e-06,1.6153190055752203e-06,1.5735359403955303e-06,1.614950362873971e-06,1.6598563640860362e-06,1.8433747418399348e-06,2.4042660456820525e-06,1.1904411047247674e-06,1.4964152439415465e-06,1.7427927044309787e-06,1.694473308204924e-06,2.1284916767773585e-06,1.6835050142312585e-06,1.6913043972374358e-06,1.6667982745215001e-06,1.6064355816092183e-06,1.8812114767663647e-06,1.604421427536737e-06,0.0,6.284105270081612e-06,1.1913186270780533e-06,2.2938953533512325e-06,1.3702784019708824e-06,2.251904387445518e-06,1.612045298733813e-06,3.380496925120371e-06,1.9010076424191734e-06,1.6089621529963211e-06,2.134769823337349e-06,1.8718883599249761e-06,1.8011528825926672e-06,1.7912431618006038e-06,1.9685590107842312e-06,8.265323536725388e-06,1.257596233163796e-06,2.7134970635107155e-06,1.401656112600983e-06,1.0452505818443192e-06,1.4532133501121358e-06,1.7368908941741543e-06,1.633440406752456e-06,1.5572691530148065e-06,1.6107319569534567e-06,1.2446791826448566e-06,1.6241455039255381e-06,1.6240321435178216e-06,1.3693283538320223e-06,1.7732957814482478e-06,1.023959118401131e-06,1.6293903644456933e-06,1.630487329014458e-06,1.5033702587984336e-06,1.644585676577307e-06,1.135588988189022e-06,1.1532699062133796e-05,1.3264341241508422e-06,1.0287393526156738e-06,9.087316558824695e-07,1.1532699062133795e-05,1.4077030989857934e-06,1.1883094901061701e-06,1.1044218598866959e-06,1.6250577616118948e-06,1.638402129575531e-06,1.8835397149086736e-06,1.6107319569534567e-06,1.6264209547611089e-06,1.0147907603735565e-05,4.856959603977098e-06,7.001446618961888e-06
Agricultural and forestry machinery,8.111024833120969e-07,3.4734439613982954e-06,6.690766845440321e-07,1.0216520918414434e-06,4.274255782681693e-07,1.2670144169567295e-06,1.2005990137870556e-05,9.172344742750572e-07,2.046640745322002e-06,8.552190826603008e-07,4.470743104143286e-07,1.206449196914807e-06,8.549817811395496e-07,2.994620820891518e-07,8.509754966432632e-07,4.334050578767198e-06,5.123613528843458e-07,1.390347174147181e-06,5.188322739249952e-07,9.356432168639659e-07,1.6084806302060596e-06,5.792848714030781e-07,1.2721618617831176e-06,7.266294560683084e-07,8.850261871265406e-07,4.6298889083861004e-07,6.854275102799945e-07,2.311314177342692e-06,6.734886310584647e-07,1.0319494671682941e-05,1.7224998566401103e-05,1.883975152877482e-06,2.4343262052118936e-06,2.675111973513834e-06,0.0,2.075685714485471e-06,6.420582402543873e-07,8.73301057184644e-06,8.549817811395496e-07,5.11772992169722e-07,2.636400734228935e-06,1.2798272734438814e-06,1.4709901648312998e-06,2.4913485430432726e-06,1.7973079194239128e-06,2.7278683082836777e-06,2.3057008826373485e-06,4.543495717727234e-06,1.4371394509745365e-06,5.614109885623798e-07,3.5683372732892548e-06,3.2729013170330695e-06,1.2527708127276313e-06,8.549817811395496e-07,4.431007414541134e-06,5.217184382161655e-07,4.808182499970377e-07,3.833136925925269e-07,1.3088554577096327e-06,1.1431665721033268e-06,5.482664712468278e-07,3.4900856259220637e-06,8.672954297036798e-07,4.123722581267576e-06,1.0229838375214535e-06,4.891625017669467e-07,0.0,4.2372403089494584e-07,6.011571952721626e-07,1.4563770280971172e-06,4.787409215435201e-07,1.975672579827455e-06,1.241909667998469e-06,4.470743104143286e-07,4.561717802835396e-06,5.135298762383883e-07,1.4757293143884912e-06,2.3678226408455523e-06,1.263378689481183e-06,6.837685204241117e-07,1.0322187513300358e-06,8.586336918521133e-06,4.4559132400133735e-07,1.5359422801295935e-06,1.2419573888677515e-06,5.199872577780616e-07,7.532279819047819e-07,5.219241950497181e-07,6.744547222980313e-06,5.203759085530389e-07,5.905575838483564e-06,4.3438111813861314e-06,6.283248042997508e-06,1.5503464090447243e-06,0.0,6.6346062140868334e-06,4.3522175804492935e-07,2.4267673649663515e-06,6.707201733237544e-07,1.9390675365890286e-06,2.1349800380318913e-06,6.690766845440321e-07,6.204202761276234e-07,1.191486257586556e-06,9.088839945166802e-07,7.23316440255276e-07,8.534535574307618e-07,1.6639785108747057e-07,1.3480091113238027e-06,1.4700312702371733e-06,6.901368584958334e-06,1.1085042798392458e-06,2.437881210685538e-06,1.1030390002478347e-06,4.428540012088951e-06,3.4354441833808197e-06,7.937370848317609e-07,3.5569425910318097e-06,6.082808059210348e-07,4.399572226060174e-06,8.673039097281613e-07,1.0580882133079121e-06,9.163212893005065e-07,6.615511237055652e-07,0.0,2.605133365875743e-06,1.4804721481737472e-06,6.853166794949502e-07,5.602712491522333e-07,6.404448966657466e-07,9.543252471182817e-07,6.695751891896816e-07,8.090944258823164e-07,2.1678101539224486e-06,1.4653454744410413e-06,1.1987206363069454e-06,1.0321245039564026e-06,1.0481688242594133e-06,1.7634573930605057e-06,1.705197833593761e-06,2.745232481686346e-06,1.0446873721737109e-06,1.6526143628769104e-06,3.6482243764994627e-06,1.8331483396504533e-06,9.5978951178068e-07,6.690766845440321e-07,2.28655321178935e-06,1.6749348622601898e-06,1.8746711948928044e-06,1.539498407491439e-06,9.232849309369559e-07,9.757924028735985e-07,1.1146893774979717e-06,1.7687521687267933e-06,6.052406349173433e-06,1.755340464977847e-06,5.194591481787543e-07,4.77448012940589e-07,1.7622348966649638e-06,9.26563048842567e-07,2.4553629984936e-06,7.941135238757121e-07,1.2315057850395038e-06,6.653028424909386e-06,1.6751661488217954e-05,4.046485490006702e-06,2.7930102275614055e-06,1.1888861026838173e-06,1.5772773344657714e-06,3.4040354490253097e-07,1.2798272734438818e-06,4.742574650216332e-07,1.3929152540098982e-05,1.2633786894811826e-06,1.0554464265551096e-06,1.3175554533950064e-06,5.443659672018273e-07,9.107491291578784e-07,2.2705283428809903e-06,8.225209558147674e-07,2.6426291102428776e-06,7.704647936292315e-06,1.456645039422524e-06,0.0,8.110927731306005e-07,2.840340829022715e-06,1.7594659652705747e-06,5.566336669197673e-06,3.9001584719469176e-07,1.099822102396442e-06,1.0463827140782824e-06,6.462117090625403e-07,8.486601666374287e-07,3.872161521093251e-07,3.7004517071141383e-06,1.6371180648590956e-06,4.131591265581955e-07,5.334144212571513e-07,1.474845606140513e-06,6.648638953165221e-07,1.4510735515011496e-06,9.70557667168238e-07,6.237744360261633e-07,1.4887410400324865e-06,1.2111063123343971e-06,4.850422201791546e-06,2.046859850513448e-05,5.123613528843458e-07,1.0278373585540365e-06,1.4515206997118262e-06,1.694913580055217e-06,4.703954669816838e-06,1.1796336558210658e-06,1.1881591559035231e-06,2.29516196912835e-06,3.650976936935727e-06,1.5524064655953873e-06,1.959484872136456e-06,5.603894930597436e-07,8.672827770861529e-06,7.025926325520753e-06,6.690766845440321e-07,6.688706302939857e-06,0.0,1.0920094991854275e-06,3.124159178873997e-06,3.678197331469059e-06,2.3332334157811314e-06,9.744184745438718e-07,6.508463462686674e-07,2.1663272700259086e-06,1.1186328176605842e-06,1.6046969060979e-06,1.7861629578578355e-06,1.6995964340295741e-06
Aircraft and spacecraft,1.2031544041778215e-05,1.0729758290237537e-05,1.4120556105594891e-05,7.945118703689969e-06,1.4862598520014189e-05,1.9241789459048685e-05,1.1511210082673605e-05,9.368049244165917e-06,1.7639034356511036e-05,1.3594969745376732e-05,7.63472828296037e-06,1.2303804409685715e-05,8.307343040755084e-06,1.7253313521708343e-05,1.9862584343561928e-05,0.0012079904253088026,1.909086991373519e-05,1.3919603769094196e-05,1.4257737962480413e-05,1.1159712990121078e-05,1.8575703383375136e-05,1.203225653019165e-05,1.347321466120945e-05,1.5758061685816158e-05,1.0591281106524638e-05,7.896092417292823e-06,1.1893964566942867e-05,1.1850227209115366e-05,1.0521467905161758e-05,1.0302020815174443e-05,1.0536498130667246e-05,1.2468891305995015e-05,1.3668147383031484e-05,9.083953108078586e-06,0.0,1.258071294253024e-05,1.3404294217554553e-05,1.4460717963249115e-05,1.1173622830967798e-05,2.104799337714182e-05,1.0396790492488875e-05,1.017459880363916e-05,1.0762244508700922e-05,1.0311720564244931e-05,1.396243065711866e-05,3.0569787150917294e-05,1.0917809736795896e-05,1.0401928705943009e-05,2.5894934614092878e-05,9.41246406500634e-06,1.855803568677062e-05,8.18269911257871e-06,1.4015947263392775e-05,8.307343040755084e-06,1.2810141365106184e-05,1.1940234200144923e-05,7.6243861915816505e-06,1.2203698461923811e-05,1.0875329850437044e-05,1.7826690115941303e-05,1.2224432454524824e-05,1.5623373380361412e-05,1.4039466132515071e-05,1.0919354942414747e-05,1.4366464643095906e-05,2.16200641316875e-05,0.0,5.825630220720212e-06,0.00011079590772172343,1.3790163431236535e-05,9.466167290553506e-06,8.87113723067389e-06,1.7590618670206542e-05,7.896092417292823e-06,1.0712669726124004e-05,1.2199824191094824e-05,1.159395857893062e-05,1.3596909647485454e-05,1.188128642272755e-05,1.7657395689744158e-05,0.0013277745770916855,1.2969346003838022e-05,1.1379461085381165e-05,1.1061867005375012e-05,1.7654813204503946e-05,9.166896008069208e-06,1.895498354882773e-05,9.093652502503725e-06,1.4457792006817476e-05,1.135949478958877e-05,0.0015104424305110065,1.243995511047092e-05,1.156633870798578e-05,1.2984333147711156e-05,0.0,3.311393452195241e-05,8.442536842975708e-06,1.0499991677040052e-05,1.8823284289799715e-05,1.2156083427960455e-05,0.0005689241808684134,1.7514661498380068e-05,9.762215918379048e-06,1.2553325222173217e-05,1.01738362843321e-05,1.0701209815791143e-05,1.2113170556001218e-05,4.263488447051529e-06,1.0552042992810165e-05,1.0712669726124002e-05,1.0869890658055823e-05,1.0881525615014125e-05,1.1672467265934353e-05,9.62539214299267e-06,1.0585712902331168e-05,9.809005006068336e-06,1.0603175240017945e-05,9.993904734095678e-06,2.0803594359934185e-05,1.1315268447335895e-05,1.22615684043335e-05,1.5059571807572194e-05,1.3212392540295965e-05,1.148234741998271e-05,0.0,1.2699916093177032e-05,2.3694545681964106e-05,1.72609107691253e-05,3.385215980447037e-05,1.4490755504968585e-05,1.0715574993683383e-05,8.217377622274267e-06,1.2064935335788529e-05,8.96713129496066e-06,1.2919442081335646e-05,1.7800456827117725e-05,1.962214618506438e-05,1.2044671698228028e-05,0.0009258014287392115,1.3056813459538151e-05,8.467579349967924e-06,1.3316117038656501e-05,1.0375800480150311e-05,0.0,9.803352930005581e-06,7.976109996640019e-06,1.7130414480128767e-05,1.6886711618999056e-05,8.71549399152893e-06,1.5053035706542335e-05,2.5750119601828918e-05,8.45689706341025e-06,8.137770550557423e-06,0.0,1.1574634323702793e-05,1.133315493908697e-05,1.0152763264302929e-05,1.1888427822342552e-05,1.0666893987284714e-05,1.0836039131193714e-05,8.307343040755087e-06,1.466916004562265e-05,1.7322958090525232e-05,1.1421953930503785e-05,9.436812440358542e-06,7.89609241729282e-06,1.2091415542864002e-05,1.4014891877017398e-05,1.0099833874672987e-05,1.4354023761519689e-05,1.2292047287042156e-05,1.0594588961862824e-05,9.166896008069208e-06,1.1259701637600933e-05,1.1881286422727553e-05,1.0176787040462059e-05,1.280218309858842e-05,9.791115064399659e-06,1.0594588961862824e-05,1.2242538897207744e-05,1.1335052075533729e-05,2.403989262413479e-05,9.904841849424112e-06,1.7514661498380068e-05,0.0,1.5902566382801127e-05,8.949673522599116e-06,1.5582810016208768e-05,3.333366906692728e-05,1.746687603364903e-05,1.058227381860084e-05,1.3346292398935794e-05,1.0824862973430688e-05,1.2745509019815124e-05,1.6636269590897008e-05,3.943381421145145e-05,1.0959865900869832e-05,1.6773843807985355e-05,1.2944580257166443e-05,1.4884011006619573e-05,9.22909728256758e-06,0.00010588563087750563,1.5764985771898975e-05,1.5310300284455908e-05,8.008361964695474e-05,1.2646385736334495e-05,1.1765668342787831e-05,1.0940454884886532e-05,1.0232288170095165e-05,1.1700866590269794e-05,2.5348529664835726e-05,1.0750827456829486e-05,1.0700297970637965e-05,8.464580491831633e-06,1.123827511647297e-05,1.0869890658055823e-05,1.066440744346013e-05,1.228430300357338e-05,1.2733352529098501e-05,4.296004201181255e-06,1.2548266795275897e-05,8.572161962045499e-06,1.0152763264302929e-05,1.1869115370321767e-05,1.7657395689744158e-05,1.0813793908617967e-05,1.1210357757298056e-05,1.586906306793585e-05,1.0482058129938021e-05,8.979372535601012e-06,1.0247052056107755e-05,2.0516388568844094e-05,1.8021403594862543e-05,2.9649561732823912e-05,1.2456289837211271e-05,1.994548234471562e-05
Animal feed ingredients and pet foods,0.0,1.0000000025087092,0.0,1.0000000025087097,0.0,1.0000000025085294,1.0000000025087097,1.0000000025087092,0.0,0.0,0.0,1.0000000025087095,1.0000000025087092,1.000000002508709,1.0000000025087092,1.0000000025087088,1.0000000025087086,1.000000002508709,0.0,1.0000000025087088,1.0000000025087095,1.00000000250871,1.0000000025086475,1.00000000250871,1.0000000025087088,0.0,1.000000002508709,1.0000000025087095,0.0,1.0000000025087092,1.0000000025087095,1.0000000025087095,1.00000000250871,1.0000000025087095,0.0,1.0000000025087097,0.0,1.0000000025087092,0.0,1.0000000025087095,1.00000000250871,1.0000000025087106,1.0000000025087086,1.000000002508709,1.0000000025087095,1.0000000025087097,1.0000000025087097,1.00000000250871,1.000000002508696,1.0000000025087097,1.0000000025087101,1.0000000025087097,0.0,0.0,0.0,1.0000000025087092,1.0000000025087088,1.0000000025087095,1.00000000250867,1.0000000025087095,1.0000000025087084,1.0000000025087092,1.000000002508709,1.0000000025087088,1.0000000025087097,1.0000000025085647,0.0,1.00000000250871,1.000000002508709,1.0000000025087095,1.0000000025087088,1.0000000025087095,0.0,1.0000000025087101,0.0,1.000000002508709,1.0000000025087097,1.0000000025087092,0.0,1.000000002508709,1.0000000025087095,1.0000000025087101,0.0,1.000000002508709,1.0000000025087097,1.000000002508709,1.00000000250871,1.0000000025087092,1.0000000025087092,0.0,1.00000000250871,0.0,1.0000000025087097,1.00000000250871,0.0,1.0000000025087101,1.000000002508709,1.0000000025087101,1.0000000025087095,1.0000000025087101,1.0000000025087095,0.0,1.0000000025087095,1.0000000025087041,1.0000000025087035,1.0000000025087097,1.00000000250871,1.0000000025087092,1.0000000025087095,1.0000000025087057,1.0000000025087097,1.0000000025087092,1.0000000025087086,1.0000000025087066,1.0000000025087037,0.0,1.0000000025087092,1.00000000250871,1.0000000025086835,1.0000000025087101,1.0000000025087077,1.000000002508709,1.0000000025087092,1.0000000025087092,0.0,1.0000000025087092,1.0000000025087097,1.0000000025087092,1.000000002508709,1.0000000025087095,1.0000000025087101,1.0000000025087095,1.0000000025087095,1.0000000025087097,1.0000000025086966,1.0000000025087101,0.0,1.0000000025087095,1.0000000025087084,1.0000000025087097,1.0000000025087095,1.0000000025087095,1.0000000025087104,0.0,1.0000000025087095,1.0000000025087097,0.0,1.0000000025087092,1.0000000025087101,1.0000000025087081,1.00000000250871,1.0000000025087095,1.0000000025087086,0.0,1.0000000025087084,1.0000000025087097,1.0000000025087092,1.0000000025087092,1.0000000025087097,1.0000000025087095,0.0,1.0000000025087092,1.0000000025085862,1.0000000025086004,1.0000000025087095,0.0,1.0000000025087088,1.0000000025087095,0.0,1.000000002508709,1.0000000025087097,1.0000000025087104,1.0000000025087088,1.0000000025087101,1.0000000025087088,1.0000000025087101,1.0000000025086955,1.0000000025087097,1.0000000025087095,1.000000002508709,1.000000002508708,1.0000000025087095,1.0000000025087088,1.0000000025087086,0.0,0.0,0.0,1.0000000025087088,1.00000000250871,0.0,1.0000000025085487,0.0,1.0000000025087095,1.0000000025087092,1.0000000025087097,1.00000000250871,1.000000002508709,1.0000000025087088,1.0000000025087086,1.0000000025087101,0.0,1.0000000025087095,1.0000000025087092,0.0,1.0000000025086686,1.0000000025087092,1.00000000250871,1.0000000025087092,0.0,1.000000002508709,1.0000000025087104,1.0000000025087097,1.0000000025087097,1.0000000025087097,1.0000000025087097,0.0,1.00000000250871,1.0000000025087088,1.0000000025087092,1.0000000025087092,0.0,1.0000000025087097,1.0000000025087097,1.0000000025087097,0.0,1.0000000025087095,1.0000000025087092,0.0,1.0000000025087097,1.0000000025087106,0.0,1.0000000025087095,1.0000000025087088,1.0000000025087101,1.0000000025087097,1.0000000025087101
Articles of concrete cement and plaster,2.4758840166475303e-11,3.0581699182485832e-09,5.518924969219965e-12,1.0903836810568721e-10,3.5335524227633353e-12,1.7912669256288445e-10,5.506114062612668e-11,1.4062406344302345e-11,1.5811851712174944e-10,4.38014026779565e-12,1.383504126996987e-10,1.883045496307768e-11,7.068077302583525e-12,7.774505028389703e-12,4.3912248644126944e-11,2.1589868824957222e-10,1.0407852442208659e-11,1.4996789023524495e-10,1.547844363325549e-11,1.4937360160802224e-10,1.5847689034501058e-10,1.0310596482820657e-11,1.2178028228537526e-10,1.8757825502027723e-11,3.292100123472383e-11,1.3658560188394553e-11,1.05441972323333e-09,2.0546333548157052e-11,8.378568253835719e-12,8.278130887182154e-11,1.2392381658706513e-10,1.943324843748397e-11,1.5784979330093702e-10,1.6282754589948198e-10,1.0929416126523984e-11,3.0602958093594893e-09,7.190718310514232e-11,4.38014026779565e-12,7.068077302583525e-12,7.061455634249318e-11,7.081902666412136e-11,1.5588390191474544e-10,4.420311428743437e-11,1.6210872355245102e-10,2.5123276397281578e-08,9.44372136950581e-11,1.2144811807346637e-10,3.315617566138229e-12,1.1873937654758901e-10,8.14006778661385e-11,1.4523559155584375e-11,2.086527924388656e-11,1.5257031813224676e-11,1.1703720943508343e-10,1.1382052491974742e-11,5.254618029059325e-12,5.33969488053192e-11,2.1251253579956196e-11,1.4399578853307282e-10,2.0648017224232628e-11,1.383504126996987e-10,1.0929416126523984e-11,4.26544145280306e-11,4.833780374687323e-12,6.253640974278136e-11,5.5461765674915066e-11,0.0,3.4576152019915472e-12,8.649795134968131e-11,1.029616809848001e-10,9.8068842563008e-12,1.2370540995307074e-10,1.767098227794737e-10,5.405733347856878e-12,8.600981917756423e-11,2.0083935995752463e-10,1.6584749088699687e-10,4.734046854276406e-11,9.002850177922633e-11,1.767098227794737e-10,7.846771168663671e-12,1.2554767055842103e-10,1.8351120139872417e-10,1.329253829960376e-10,1.3894795951930033e-10,1.0207243583869518e-10,8.919945474491222e-11,8.914125300205112e-12,3.513259848532683e-11,1.3837684498158019e-10,1.6976037285519043e-11,1.7706996528768785e-10,5.6730185455268407e-11,1.46019686061317e-10,0.0,2.0104944381471136e-11,2.0288429877378207e-11,3.73119454220239e-11,8.486830927993852e-11,1.6237938191838398e-10,1.6282705061198858e-10,0.0,1.8330192735040364e-11,1.2359332734748627e-10,3.4385559856562636e-11,1.4935700414404615e-10,1.239653978533989e-10,6.19016989301025e-12,2.593286773824318e-11,1.1148814382647418e-10,6.642630476778471e-10,1.7184826224002307e-10,9.480742033753958e-10,2.2693433877089226e-10,1.6431648984734427e-10,1.244681569758508e-10,1.0796325588697786e-11,1.6024668872393223e-10,1.1019401855633327e-10,1.6712485198436623e-10,5.1287599704117717e-11,5.2362937686660007e-11,3.741753021943185e-11,2.180968243198014e-11,0.0,1.733203937541011e-10,3.1171742617684293e-09,1.804030745999599e-10,7.731477273588933e-12,1.2676160544473497e-10,1.553860057439531e-10,9.915526362994777e-13,1.9309136580104237e-11,1.3445647582573468e-10,1.5873279802233313e-10,3.0058459890316234e-13,1.531559137271392e-10,1.5172640401530022e-10,3.7988356433615816e-11,1.0687764111384473e-12,1.659804735917036e-10,6.847132601406184e-11,2.4503721872981427e-10,1.6679275147342707e-10,0.0004331739438104367,8.553373756751147e-11,6.108776247720662e-12,1.6824446614314938e-10,2.8486232812602483e-09,1.6620280373041416e-10,2.9945575477170933e-09,4.464088098886789e-11,3.0045580893638503e-11,1.1222761004662248e-10,2.5686048559171406e-10,1.6687165924223162e-11,1.1899342111726567e-10,1.3064012676425733e-11,2.5203238937618067e-11,1.6304728778404204e-10,1.8304995157781592e-11,1.1899342111726567e-10,1.717483126429203e-10,1.554900254337397e-10,4.555675887250851e-11,1.1899342111726567e-10,6.366493144644038e-11,1.9524375740212246e-10,3.262676621761598e-10,1.3102093332479618e-10,4.761485915635885e-09,1.574705220007454e-10,1.0353552231794725e-10,9.102801689687764e-11,9.002850177922636e-11,6.704628590636754e-11,8.413769206926274e-12,1.4930982776991353e-11,5.86661312898175e-10,2.0623598772855113e-10,1.2067333741145723e-10,1.3399813244051215e-10,7.526940899353625e-12,2.502689551379424e-10,0.0,7.703169538242507e-10,1.440512494313755e-10,3.1173476830449917e-10,2.5998734286068185e-11,9.320119524035556e-12,1.8256624074522575e-10,5.7019677871055125e-12,1.5273802916649603e-10,2.828524120537366e-10,2.0733718857035898e-10,7.499560444967886e-11,9.440148178706562e-11,8.682413849941739e-11,7.548771883776965e-11,2.2920635021776258e-08,1.383860976184138e-11,2.621426864680853e-10,6.931443213900818e-11,9.120687453948095e-12,9.630159972748386e-11,1.5105110603626082e-10,1.6666090781689905e-10,0.00019582507785981045,1.4004993304798984e-10,2.9154355886269702e-08,1.6173018778604503e-10,1.367980268771207e-10,5.4944364357483775e-11,2.538648862412397e-10,9.130600335311652e-13,1.2372810152132154e-10,2.785526679425165e-10,2.056088181652343e-11,2.8643756944173826e-10,2.232572174271849e-11,0.0,5.559924076486809e-11,5.497929858382847e-12,5.830086927908796e-08,0.0,1.4139895180416434e-11,1.2329473109606255e-10,7.74452865852702e-12,1.8239289996351908e-10,1.272083325563121e-10,3.748612898675116e-11,1.4004993304798984e-10,1.3799358971486048e-10,3.1311930264256933e-09,4.1665492929788656e-08,1.847470084309761e-06
