,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRE,FRO,FSM,GAB,GAZ,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NFK,NGA,NIC,NIU,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
Accumulators primary cells and batteries,0.07731453946522894,0.11010320486188607,0.12323783612932761,0.07295969322370545,0.14880696546412842,0.13416940995824375,0.11153927089067443,0.08955113658991695,0.09830165045373068,0.11032760750301633,0.11335017624459018,0.1694405353910381,0.07768199322343228,0.10356577507660375,0.1198713433680117,0.10831938271675808,0.11443702814880606,0.18040397114616516,0.11729574176809346,0.8913186721266902,0.11257477377207684,0.11056958645481699,0.11166460250185939,0.11190731870701971,0.08566923404450155,0.12727041880106366,0.138143192789302,0.1140008636862459,0.09085019230722285,0.07253999168575094,0.09556348228370742,0.043648359807522526,0.0889606688797949,0.10929678539655815,0.11136157890039843,0.0,0.11854216936654421,0.12930240326591447,0.0892819309925776,0.10356577507660375,0.12402900636803738,0.10300943652332886,0.11017302876935733,0.11802461441833051,0.11229662240808735,0.10766784156247339,0.20643141124925185,0.12129146447894298,0.059074463824208244,0.11458485685497505,0.1556635018667796,0.09465706713426097,0.13057893303997914,0.1770610401066835,0.10359088045300428,0.07365852677025087,0.13789882520569208,0.1328559761147948,0.12930628414769121,0.11030598404054924,0.09684768895545189,0.16209326090030537,0.07927096152806895,0.12538598139105864,0.02838576630367559,0.11457370372255869,0.11196116167561927,0.12930628414769121,0.13431213552383434,0.13313794649746802,0.11120669208357269,0.1524473262193585,0.10948444140238307,0.13833683621160617,0.13794601746473256,0.11629451360727275,0.1671906273149677,0.10826722674307611,0.25700712082386984,0.10174761812000786,0.13833683621160617,0.11695307989107306,0.11090134405802274,0.13656511935874385,0.11344020691511511,0.1157392279511361,0.12390812635153038,0.11594849149151548,0.12755957759698727,0.08420958958401674,0.1949398277677648,0.09521075528792203,0.10953891851407699,0.08026775759881773,0.11017796554826861,0.0,0.09261289769756692,0.1636358734606073,0.0848904902565906,0.12583687594291837,0.10989897048159912,0.11131688638875119,0.10857341543692497,0.11404213368287194,0.11133147016687611,0.10760926649354013,0.1509140510984189,0.10963101717346023,0.1305138085163074,0.09010380264478558,0.11684602034011247,0.10591892343735065,0.10548877273552826,0.10119659458553491,0.10794087025021436,0.11032379133265333,0.1069525157962798,0.07283482737204199,0.10972935968627678,0.11163414517072967,0.11219604076339984,0.11353975953711092,0.11028528766172947,0.11518937562287487,0.08968545167775308,0.0,0.11349115658008764,0.17802445862697538,0.15674463027419322,0.16253793571893904,0.1982598644822107,0.10668350830567812,0.08730832927203329,0.12384857929418651,0.12430721586889519,0.11215277425004327,0.09342135871241629,0.07660512942984522,0.12269412168874876,0.12092917210264195,0.17167819736456222,0.11062045490237926,0.1272125817264902,0.10961387386758709,0.10977584070532159,0.11276380649989869,0.11331055312942445,0.07086145864879584,0.11205036193356793,0.11099363250182002,0.10867049511637557,0.11554474793664336,0.13121117376108765,0.11535786271368513,0.11345597843966916,0.11279625068420845,0.09534663073101542,0.11284197283012808,0.12389106117995126,0.11073465745642681,0.10356344009041972,0.11345597843966916,0.11444568220614118,0.11013839981567687,0.10151418116593136,0.11223112058250538,0.0978931750715513,0.10930026423691044,0.10616939565227408,0.10923170085229462,0.11424467107405101,0.11146913939467964,0.17484231787521878,0.08107019255156418,0.10174761812000789,0.11986654306458017,0.11324253040758461,0.15297078312459483,0.11411716255389447,0.11135463457273653,0.11252483064448522,0.10873453941069951,0.13026412382669186,0.10857341543692497,0.0,0.12761451179374425,0.07993820956406243,0.11547748219677388,0.09234580911923432,0.1616117027696646,0.10870169176939101,0.24639471180317857,0.13414044842111222,0.10774420536817177,0.15097059997613174,0.13773120357619517,0.12567570093825625,0.12562710153235881,0.1389013972866335,0.11373534411166102,0.08843662887112395,0.1191437202316893,0.09480311097803806,0.06905749495091834,0.09358126991719165,0.11831779282695887,0.11091559554984444,0.10557365808370885,0.1088164935427395,0.0840600258741233,0.10996092241553498,0.10984916702042215,0.09188409248769581,0.12362499843764388,0.06912595533011369,0.11045295025690759,0.11065044094298687,0.09443766757778674,0.10875342954880772,0.07862591573776295,1.0,0.08232698037654435,0.06864515676649229,0.062226179158912515,1.0,0.09413806726413501,0.0803897304095181,0.07470693493861287,0.11002208033063343,0.110721082044544,0.12942042668404286,0.1088164935427395,0.11009001083882082,0.11450552817818989,0.11234995739400688,0.1140627504534538
Agricultural and forestry machinery,0.0926829221467877,0.1287629725071206,0.12482066112857494,0.026118556563798516,0.1241920887208317,0.07703711478993079,0.10510312211103387,0.08469413619977346,0.1644435066531839,0.15043439020360497,0.051464094141572624,0.08368592723244964,0.07143744452721036,0.051445613431917815,0.05934454655161413,0.17925669464740443,0.11177592127136315,0.1576160984255891,0.1292224315991943,0.9921137407379635,0.08961181391809872,0.1409850755440227,0.09371938623756568,0.0997799397923017,0.032505999104147094,0.1188655349373226,0.23946473460689507,0.11829943721533981,0.0586134240913402,0.02697761759992014,0.08677235895053365,0.08712836915967002,0.04529046503090406,0.15024263779607433,0.1416244451686284,0.0,0.11123433453598144,0.09752111696694171,0.08553415961967033,0.0514456134319178,0.12177811400249737,0.08584863956768979,0.13385868133936887,0.1507119759248485,0.14598220651609037,0.11752040342748286,0.11803913046957593,0.11715279062914577,0.08557892182147175,0.14764964015629573,0.09397365622142365,0.08323134974884158,0.07992738215123832,0.3212555605435385,0.05144561343191781,0.05207318370241695,0.09192997104385478,0.07551003415398447,0.07737764010644405,0.17757760426239647,0.06033257352769736,0.16192346234099875,0.07979310971770455,0.13521683283356722,0.10765769287867463,0.1274312632966998,0.061593525797063724,0.0,0.06926342779919764,0.08424540595691667,0.14690038825852952,0.07607107863483788,0.12130151988351368,0.14201943383107227,0.08368592723244965,0.12290161788110444,0.1506993791754969,0.09852425830271982,0.13833485082529684,0.09771129048577668,0.15457812644803448,0.12165912752238595,0.1000048875450828,0.07645288872841365,0.12289631580101036,0.14332783076157007,0.09503829747474585,0.08830402840721314,0.10410008980610587,0.07073935913933652,0.18407983987062393,0.09582520568568452,0.14508527792975429,0.1735763415871592,0.12413304391987859,0.0,0.08224500804012028,0.09437399601567342,0.08001155265400488,0.11005172779066211,0.15158566067641344,0.1421122615425661,0.026118556563798516,0.13649956595306928,0.14208058022591669,0.12950723940639472,0.14737810857835998,0.1484529539687701,0.031633228006628974,0.07362244697248087,0.17045812704678548,0.15528435724198875,0.11108974893964052,0.14045398460607367,0.12817376549514228,0.14800423582002675,0.16599333695241025,0.038453201225969465,0.16780456299605437,0.1470775483518349,0.14587155767152862,0.11313918241271347,0.12549821003139186,0.1186519973782229,0.03753314852859687,0.0,0.14229106957784068,0.10531582704840307,0.12519313091473172,0.1959044580690204,0.10218040963151327,0.0924690566327777,0.08635961250755399,0.1018920674108571,0.12612568876706917,0.12555837108128917,0.05217120519202402,0.07800212329717203,0.11078775641284651,0.13088581027770177,0.13122546374753902,0.14991931506049222,0.09757227906531585,0.13617012774523904,0.15313477399789888,0.11411463935320752,0.35296861730289575,0.026118556563798516,0.16290102190746616,0.12104838451004349,0.15660401133688606,0.11685481328673052,0.10515632027302456,0.10850338895831661,0.061712978880548254,0.1391662553484457,0.07726167460752666,0.08405041487417504,0.11806504568994362,0.1394640199787972,0.05436048685830148,0.11471561032881532,0.40811768457797937,0.12584138712818346,0.0835420842664675,0.08801248468642761,0.1168817474144947,0.15989519139744438,0.11003251903059132,0.09930678283206555,0.07853226513414809,0.13385868133936893,0.08909214658418026,0.08531938560440278,0.0977112904857767,0.0897527537014051,0.1391870056003236,0.1032684324767489,0.18396263699815504,0.1216430272640968,0.1750349094730199,0.13122575483624635,0.12290419724475353,0.13475225719501366,0.0,0.14839173961629534,0.13290891281285214,0.1730913352641039,0.07717495354908115,0.07857138792402936,0.2471981591886103,0.08381960689961544,0.09955699502243046,0.048146301734694294,0.0840045512218167,0.43534708570395303,0.11213314937343606,0.06843521422163769,0.10256670097877203,0.10843524392838345,0.04357052751502885,0.1596858316470723,0.12139843254546531,0.045781269235890404,0.12964532807343473,0.15860799242761772,0.15161341501347197,0.1340052376358042,0.15761609842558913,0.10235679315713517,0.15545099522390604,0.12009255710968886,0.06643646127370927,0.09080965114358745,0.1274246607794831,0.1243826787477039,0.15269241322901347,0.12703795415363017,0.1667566415978461,0.06899109198726393,0.08609157774371548,0.09133300801124308,0.026118556563798516,0.0914236937774576,0.0,0.038409125574591516,0.20021102930919257,0.04251339736622113,0.13774014781122856,0.40577556734699494,0.08160562279894085,0.12143990292175744,0.29269087593794846,0.10983237599591543,0.12553959768691741,0.12261052886330522
Aircraft and spacecraft,0.1359730938820363,0.04437338469961198,0.04151060809812255,0.023874022648116566,0.07367138152989085,0.020406203236545177,0.029452077220167513,0.07506173552884413,0.016652932392255,0.05229370159494778,0.02857413642263036,0.01341111650613492,0.019673066491915005,0.0161579113293129,0.023265455670878676,0.05925915803170026,0.02990315016811554,0.023308332574756414,0.020092607776637735,0.612501458002701,0.019325851066689468,0.03378059843731101,0.029244920625476303,0.034141785448219296,0.02217837004980716,0.01759153043847666,0.016036812064806474,0.02541063606595218,0.01607732298291948,0.018152271108927295,0.018675166504685193,0.018657336531862894,0.028443346335013678,0.03225303800726768,0.016480486969396208,0.0,0.020359984350767434,0.06638488633074548,0.022079018152573182,0.02852195609799826,0.023512347540889805,0.01837984485182687,0.021108097075561712,0.02115959868754458,0.023926428626964133,0.04446100696883683,0.01747906266774365,0.02031559754025469,0.02174210175018098,0.028005042934772052,0.023675274568866,0.024222223088252788,0.02446185226759351,0.44249336009386153,0.0161579113293129,0.02002124114383695,0.02143002080942331,0.013307218611078149,0.03524152769348964,0.019471091075606142,0.054843877802462644,0.0296596113457265,0.01708625620554049,0.03479855235063251,0.036688539302129106,0.03481962396644742,0.026374804649771603,0.0,0.013316012098292813,0.019015342098512595,0.03530055224263758,0.02192089542816503,0.017343219604649653,0.05623543086460637,0.01603681206480647,0.01854141748328676,0.03536810601846837,0.0214871958541474,0.022902167547197528,0.9981269868005826,0.056490495027670694,0.03094368807059676,0.02987420712791363,0.027593517369981207,0.02053686426176318,0.056445014916034736,0.024216550818495306,0.03792080552138979,0.029222874693374156,0.022075246162038847,0.12181109194880443,0.020697288919308093,0.024692075728465115,0.03124876790571047,0.03225206560759999,0.0,0.02231680043581548,0.023824600066991247,0.01729295758511662,0.03556219678988416,0.02264619266669103,0.026746678468754927,0.023866180151591126,0.018329588299211323,0.029847863829661356,0.03944609113747391,0.03387375212123496,0.02739333047083482,0.008436340935153573,0.016698406792105498,0.01854141748328676,0.021016896936583533,0.023997668530219195,0.020883728667280027,0.01928628405655354,0.020283127075789466,0.017798518227173935,0.018339935057982856,0.01823077040088806,0.02355283290209917,0.03914964853818554,0.03246570959442022,0.040605414173992826,0.18722358945958004,0.021974365528167884,0.0,0.03039836598978465,0.019139703590870187,0.037307635789599745,0.08086531327208814,0.022852923578356606,0.020707391829118557,0.012655281339839796,0.02585018228740303,0.01738153994783337,0.025288481909076267,0.040861141736586906,0.02281758195822388,0.029526018462246586,0.027614181074382467,0.03174459579881809,0.0170925464508512,0.02503950785609797,0.017807226650196323,0.0,0.02433133302554377,0.017706560249683503,0.05081766740479542,0.05149610498805451,0.01983299998820274,0.03899849205590799,0.020221078848592405,0.01711705262745139,0.016294990441153873,0.0,0.034005493718501485,0.017208929651072416,0.015904021803918277,0.024295705321077995,0.01875873135123216,0.016157911329312904,0.02673660652031192,0.09888439866044736,0.026493689266921895,0.02646909634722413,0.016036812064806474,0.02037990544501247,0.030999511359387815,0.016363558899318884,0.06544963518636018,0.023812739917286028,0.017312503761212635,0.024216550818495306,0.01810701256652129,0.9981269868005829,0.016165151893486326,0.03017598335483955,0.027024918130184258,0.017312503761212635,0.022705768207801368,0.030094936107093066,0.024984908848494778,0.018332065638736607,0.023866180151591126,0.0,0.020842809279896155,0.13674967560834442,0.026324815613787758,0.2536653568807982,0.02396813768973795,0.016367193047314727,0.021053279687840112,0.021208017612174095,0.02389765069103247,0.023930452922032785,0.6420046122926588,0.02035678736372011,0.021554174732548042,0.030946287032193782,0.0200135212063034,0.2750841088853836,0.02164743292855501,0.02485025341788479,0.026848448149399354,0.02021698330902794,0.037425694854538845,0.026848049752366723,0.019154942581039863,0.08413930855345284,0.025152838468838794,0.019444063996970264,0.020239941746214817,0.018263416024198793,0.017790927742845592,0.018428304916833727,0.021016896936583526,0.01878589269914266,0.024985666793916575,0.020580597093280296,0.00732849512637271,0.7491455703186094,0.020816851018991635,0.015904021803918277,0.021768621054084832,0.05649049502767068,0.018355741258206066,0.02027342334198435,0.03620745800447027,0.020994533607629203,0.017859518616184768,0.017545980948056376,0.023294898539622244,0.0288637100432559,0.02036728048808258,0.023946001344977107,0.025759752626824794
Animal feed ingredients and pet foods,0.0,0.9999999999999997,1.0000000000000004,0.0,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,1.0000000000000004,0.9999999999999996,1.0,1.0,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000004,1.0000000000000002,1.0000000000000007,1.0000000000000016,1.0000000000000009,1.0,0.0,1.0000000000000009,0.9999999999999999,0.0,1.0,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0000000000000004,0.0,0.9999999999999997,0.0,1.0000000000000002,0.0,1.0000000000000004,1.0000000000000007,1.0000000000000002,1.0000000000000004,1.0000000000000009,1.0000000000000009,1.0000000000000004,0.9999999999999997,1.000000000000001,1.0000000000000004,1.0000000000000004,1.0000000000000009,1.000000000000001,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,0.9999999999999997,1.0000000000000009,1.0000000000000004,1.0,0.9999999999999998,1.0000000000000007,0.9999999999999996,1.0000000000000004,1.000000000000001,0.0,1.0000000000000016,1.0000000000000002,0.9999999999999996,0.9999999999999999,1.0000000000000004,0.0,1.000000000000001,0.0,1.0,0.9999999999999999,1.0000000000000004,0.0,0.9999999999999998,1.0000000000000004,1.0000000000000009,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000016,0.9999999999999999,1.0000000000000004,0.0,1.0000000000000002,0.0,0.9999999999999998,1.0000000000000004,0.0,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999996,1.0000000000000009,1.0000000000000004,0.0,1.0000000000000004,1.0000000000000007,0.9999999999999996,0.9999999999999992,1.0000000000000004,0.9999999999999999,0.9999999999999998,1.0000000000000004,1.0000000000000007,1.0000000000000009,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.0,1.0,1.0000000000000007,1.0000000000000004,1.000000000000001,1.0000000000000007,1.0000000000000002,1.0,0.9999999999999999,0.0,1.000000000000001,1.0,0.9999999999999996,1.0,1.0,1.0000000000000009,1.0000000000000004,0.9999999999999997,0.9999999999999998,1.000000000000001,1.0000000000000009,0.0,1.0000000000000007,0.9999999999999996,1.0000000000000002,1.0,1.0000000000000009,1.0000000000000013,0.0,1.0000000000000002,1.0000000000000007,0.0,1.0000000000000009,1.000000000000001,1.0000000000000009,1.0000000000000013,1.0000000000000009,1.0,0.0,1.0000000000000004,1.0000000000000007,1.0000000000000009,1.0000000000000013,1.0000000000000002,0.0,1.0000000000000009,1.0000000000000007,1.0000000000000009,1.0000000000000004,0.0,0.9999999999999997,0.9999999999999998,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000007,1.0000000000000002,0.9999999999999999,1.0000000000000007,1.0000000000000007,1.0,1.0,1.0000000000000007,1.0000000000000007,1.0000000000000004,0.9999999999999999,1.0000000000000016,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,1.0000000000000004,0.0,1.0000000000000007,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000004,1.0,0.9999999999999992,1.0000000000000002,0.0,1.0000000000000002,0.9999999999999999,0.0,1.0000000000000004,1.0000000000000004,1.000000000000001,1.0000000000000009,0.0,1.0000000000000002,1.0000000000000009,1.000000000000001,1.000000000000001,1.0000000000000004,1.0000000000000004,0.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000009,0.0,0.9999999999999991,0.9999999999999999,0.9999999999999999,0.0,1.0000000000000002,0.9999999999999993,0.0,1.0000000000000004,1.0000000000000002,0.0,1.000000000000001,1.0000000000000002,1.0000000000000002,1.000000000000001,1.0000000000000009
Articles of concrete cement and plaster,0.10369229513320688,0.01347024800208821,0.16795513190663064,0.0003756582651503199,0.00564372320175079,0.0024403085190511284,0.014947371469155112,0.008218059482385088,0.0012291640420470029,0.01391222659346091,0.0004192367985271868,0.011734343870704184,0.00634747427566556,0.0006860919780129379,0.0008572180336032222,0.00596680986355879,0.01591767131347769,0.02927282303264078,0.02172778451230983,0.9568174771271545,0.010923211141180812,0.016917291567523793,0.00016967990808649172,0.012837932425316912,0.0011418150986803118,0.0005044272221476746,0.0013332002528348551,0.02626007616907889,0.0022288234278839626,0.0026702766105668086,0.011409852290491459,0.01860506030066204,0.002958449270387855,0.01876088919038608,0.01635263357096303,0.0010315821004319953,0.015154370428721958,0.00836714010494879,0.0004192367985271868,0.0006860919780129379,0.017273550376663033,0.010436399197882867,0.01725629803990443,0.0045154094748177595,0.006551234856444902,0.015744159755403407,0.011677255990567608,0.010176676870021743,0.00025503416956583106,0.012892125422103311,0.002413900198794152,0.0016568808681047791,0.007093253283852692,0.4229671121624681,0.006733006342462012,0.001115893207088004,0.00032439811044958355,0.00048154900703171837,0.004339980866378013,0.015579664623604323,0.0030192762054063577,0.011734343870704184,0.0010315821004319953,0.0022571553069001475,0.000578572884829555,0.02334639911292615,0.01948567970158625,0.0,0.00029157485251370455,0.0005715793088228824,0.019169911768518195,0.000716969601139702,0.011503801259316616,0.11658193747012181,0.0013245148190417803,0.010227864115703303,0.013481865686985383,0.015079329325742777,0.004881824216787094,0.005748074357105645,0.11658193747012181,0.000354579249389043,0.010725010650585254,0.017951894011316367,0.014438220431379805,0.009573501355387122,0.0017452251232929318,0.009721606866153754,0.0003660095913428422,0.007498694204168533,0.012281357837835497,0.0021842896186780258,0.016029821131062695,0.035906247455697676,0.016705976726919664,0.0,0.0021676852402911033,0.00038648130472238333,0.01811784738314952,0.000280579732346779,0.01692910020286052,0.016352898256537785,0.0,0.0075474280960259035,0.018465774166883234,0.004044265746926585,0.08023543325434733,0.007021095952017062,0.0003932899131084727,0.00352835120231244,0.012946180278730911,0.030634684764289655,0.0012690836247671328,0.019087294320179603,0.0012187030343456728,0.01586213852617494,0.011494906457452119,0.0010051265655027033,0.015377157421227753,0.01133333533652751,0.014822010795648613,0.0068193685412441234,0.005823182674689379,0.010130629505632678,0.004215467559195992,0.0,0.014899117720514745,0.015057624551417284,0.002273918644516016,0.007078227109079476,0.003326690737828786,0.016576331386478984,8.65205872121057e-05,0.0007882898955475381,0.015829690416276132,0.015331229179643508,4.2010820949014856e-05,0.011488251172916355,0.0018724175928575297,0.008468701590457038,0.0007336220245013868,0.015265519759443647,0.0018046621620546337,0.02082305925480202,0.01572044430926968,0.00781841667085314,0.008831133514999997,0.0003793599045331693,0.015237978152328056,0.01512019410903627,0.017015200738193688,0.01506608841732907,0.005903274093864844,0.003166863886389041,0.009247403211659374,0.027576751577780736,0.0018639937535446587,0.00979822549863945,0.009574557440267023,0.016161141461815662,0.0017282772527712357,0.00979822549863945,0.015169262990718385,0.01546891433465685,0.005045798427934676,0.009798225498639453,0.008014650529231289,0.019864687500378706,0.021533508720533345,0.013506127564031191,0.00031064069662309015,0.017327815867316246,0.0014238235117444381,0.013425410923263678,0.005748074357105649,0.006450832454322155,0.00020004179567363752,0.0004796505335478833,0.036673841535958755,0.011041062939332155,0.014146847848294819,0.015515497011077285,0.00032505091112187664,0.006018803036046041,0.0,0.08446016887613841,0.015245130891275584,0.01556512408474689,0.0029007534405237653,0.04327736008092193,0.016522174987033435,0.003317104922708525,0.0037307573674064272,0.01699356311342296,0.009490356565594207,0.06802612681421548,0.0006354792685382131,0.0026325174196977956,0.004264569057305876,0.015264637083760212,0.12002639564790925,0.01358950535545683,0.016282491435308525,0.0008645374641407718,0.0059863562550629915,0.024344151806610682,0.014304054481275376,0.012398056811184685,0.013495963155856645,0.0034156591529039453,0.016096414654706553,0.013382695638426062,0.011771428569129223,0.005156332296931466,9.015220327942538e-05,0.011507857794143192,0.01925777067103466,0.0009199064676775674,0.018059053753749527,0.00042524769384853073,0.0,0.00900448971807123,0.00037241581765254617,9.917969148394463e-05,0.0,0.02108301579019426,0.011462235644234387,0.021799731998717643,0.018022644299393736,0.013263313422938494,0.004196618041786733,0.013495963155856645,0.015089550168956222,0.015052209197454746,0.01535696254453358,0.01454815459028312
Automobile bodies trailers & semi-trailers,0.25568539896098513,0.11847657968914786,0.10329349974668334,0.01267816264750434,0.10177299289402439,0.028720222044912966,0.09031343589792455,0.03726598341129795,0.08898678352699832,0.02654971840067103,0.025667952040650956,0.09108291012016402,0.014074134853430691,0.01721693576260325,0.07179284018148259,0.08150538604291448,0.11300261622191812,0.11814868648149,0.11602412223248457,0.8932094775401297,0.17562713558660092,0.10318801262551269,0.09018088431055449,0.29073344158235986,0.009264147118771769,0.10123469330779744,0.04004048850593321,0.08477944610358482,0.020802539996229663,0.026338448083882915,0.04921052050897299,0.003927525854116792,0.07171437633424593,0.09681905760101202,0.10468873274122331,0.0,0.13595601160465529,0.06379665234354487,0.009475621315732125,0.017216935762603254,0.1012541777528243,0.06829653340999799,0.11769005325173686,0.09454383138263459,0.10601590588405202,0.10171998463922127,0.08879459069652004,0.08460847499934011,0.01304831940120175,0.0983758605581861,0.1007133387595257,0.046828660784737984,0.11594019607324213,0.35998350649766936,0.018231559691941523,0.034536650477832186,0.07702220638497324,0.1337694111381826,0.06015347104384629,0.12502641600295208,0.18052314235605588,0.08799851327149098,0.03544836373774199,0.053629707319796396,0.018397231480896042,0.08150375725794734,0.08807280255895177,0.11769005325173686,0.027760461514880867,0.0919212790088502,0.16087213210850387,0.037022070603070924,0.07649246309424594,0.11681055336240657,0.03675709433552058,0.01902143746460052,0.12391708175830525,0.02350187898978503,0.09019472347891834,0.05889251888150137,0.11681055336240657,0.19603684254535095,0.11948530199467129,0.05454701281681978,0.11668807990956959,0.07235475907244662,0.06949453476414298,0.027778442284947993,0.06740326477864626,0.05863770800846526,0.10793117156305795,0.027809486957827773,0.0924811279474267,0.09968190973383614,0.12316887471722097,0.0,0.04302205664439116,0.09511261105022939,0.03924543445081467,0.08258623231911637,0.10619843705104455,0.10780915508615206,0.006516548889449705,0.12778743467600356,0.08090365015216916,0.07097290874137825,0.13461819537034964,0.09800511585443396,0.020767981700325636,0.06394460556821359,0.06288617542789854,0.12301062777087605,0.11219297070602356,0.15309903805357739,0.12024768564642846,0.11481690935239412,0.11001069781312776,0.010020190574724376,0.14193327881726636,0.0664263593856004,0.10624673440526956,0.08273307675053194,0.08558064735322837,0.13762393611014265,0.04624497405814081,0.0,0.1185110490435703,0.13132643144525222,0.08089709776879826,0.19880406622151273,0.11089509780634242,0.23073437367245367,0.03641099765938571,0.09558905434831584,0.11303464619388451,0.10557578945324192,0.02888952324412463,0.11729694222264295,0.09473864084641231,0.08148566128006299,0.10982427102779369,0.11316427975696948,0.10610922963858162,0.11690945662702613,0.11928160495976911,0.11228694990288299,0.08338786500004605,0.006516548889449705,0.10963324882434973,0.1163106664713658,0.10248906068050957,0.12371845260076487,0.04191222206442683,0.07642411414049792,0.01962377644962956,0.10822115350225908,0.02507219683909407,0.08458656943414437,0.06731739051899548,0.10810716306170334,0.08996022996862807,0.08460847499934011,0.0899582288693937,0.10660235695985702,0.09505443184467094,0.0,0.05945851808065616,0.11122606595653255,0.11899560439362145,0.07567243029376433,0.07387927675791554,0.10573517540395413,0.04239549198147716,0.029696045536715204,0.05889251888150139,0.055841742702586,0.10557476031960807,0.11415122774507007,0.1102032286917852,0.08831952893831947,0.056198006208726024,0.08245218947443606,0.09000985155083345,0.06616652537614974,0.0,0.12350227642207935,0.09880241544000891,0.15311710129162479,0.024329779003743123,0.06712329450353938,0.07532915926995733,0.022948213060567088,0.07980769612460023,0.10110154112653659,0.10012463973933529,0.25076236103663074,0.09206720542783801,0.09896642438843026,0.10643526477102352,0.13088928502911595,0.19763853651666508,0.07587277669154927,0.08092682018678451,0.014997013855072088,0.262520293736729,0.08660532082659637,0.07043813976485175,0.10647761433807641,0.055818712017708355,0.130039408255912,0.031652103252677144,0.09523964147921479,0.04153101808316137,0.07308834350726402,0.019518926929580092,0.03605100259350677,0.20512634772102514,0.10203946639012565,0.12180417100274453,0.08317529282373254,0.0,0.048529090305167444,0.006516548889449705,0.02114085358888616,0.0,0.025314618368224386,0.03762454613353571,0.09791061862290132,0.11971882130008071,0.08088952317519969,0.055526869179668564,0.055818712017708355,0.10210788103831371,0.13135920447804117,0.12561087012822741,0.1275497489713098
