dependent_country;dependency_value;direct_dependency;indirect_dependency
Canadá;0.6193853616504613;0.5662837864178276;0.05310157523263363
México;0.4538458020481422;0.4198089819309938;0.034036820117148175
Reino Unido;0.357810817748817;0.2519690558922972;0.10584176185651983
Alemania;0.21620453804877934;0.12298372660965023;0.09322081143912905
España;0.20536521677319405;0.10638563382104829;0.09897958295214576
Francia;0.18851775022435094;0.09491124682589015;0.09360650339846072
Italia;0.17080976690565924;0.07863502330804034;0.09217474359761889
