pais;industria;valor_importado
JPN;154 Manufacturing services on physical inputs;5043.38671875
KAZ;154 Manufacturing services on physical inputs;0.0
KEN;154 Manufacturing services on physical inputs;0.0
KGZ;154 Manufacturing services on physical inputs;0.0
KHM;154 Manufacturing services on physical inputs;0.0
KIR;154 Manufacturing services on physical inputs;0.0
KNA;154 Manufacturing services on physical inputs;0.0
KOR;154 Manufacturing services on physical inputs;5991.32177734375
KWT;154 Manufacturing services on physical inputs;0.0
LAO;154 Manufacturing services on physical inputs;0.0
LBN;154 Manufacturing services on physical inputs;0.0
LBR;154 Manufacturing services on physical inputs;0.0
LBY;154 Manufacturing services on physical inputs;0.0
LCA;154 Manufacturing services on physical inputs;0.0
LIE;154 Manufacturing services on physical inputs;5.366999626159668
LKA;154 Manufacturing services on physical inputs;0.0
LSO;154 Manufacturing services on physical inputs;0.0
LTU;154 Manufacturing services on physical inputs;56.308998107910156
LUX;154 Manufacturing services on physical inputs;1677.6778564453125
LVA;154 Manufacturing services on physical inputs;43.68600082397461
MAC;154 Manufacturing services on physical inputs;0.0
MAR;154 Manufacturing services on physical inputs;45.07100296020508
MDA;154 Manufacturing services on physical inputs;0.0
MDG;154 Manufacturing services on physical inputs;0.0
MDV;154 Manufacturing services on physical inputs;0.0
MEX;154 Manufacturing services on physical inputs;48.32899856567383
MHL;154 Manufacturing services on physical inputs;0.0
MKD;154 Manufacturing services on physical inputs;0.0
MLI;154 Manufacturing services on physical inputs;0.0
MLT;154 Manufacturing services on physical inputs;52.22999954223633
MMR;154 Manufacturing services on physical inputs;0.0
MNE;154 Manufacturing services on physical inputs;0.0
MNG;154 Manufacturing services on physical inputs;0.0
MNP;154 Manufacturing services on physical inputs;0.0
MOZ;154 Manufacturing services on physical inputs;0.0
MRT;154 Manufacturing services on physical inputs;0.0
MSR;154 Manufacturing services on physical inputs;0.0
MUS;154 Manufacturing services on physical inputs;0.0
MWI;154 Manufacturing services on physical inputs;0.0
MYS;154 Manufacturing services on physical inputs;719.8299560546875
NAM;154 Manufacturing services on physical inputs;0.0
NCL;154 Manufacturing services on physical inputs;0.0
NER;154 Manufacturing services on physical inputs;0.0
NFK;154 Manufacturing services on physical inputs;0.0
NGA;154 Manufacturing services on physical inputs;17.375
NIC;154 Manufacturing services on physical inputs;0.0
NIU;154 Manufacturing services on physical inputs;0.0
NLD;154 Manufacturing services on physical inputs;9269.9248046875
NOR;154 Manufacturing services on physical inputs;182.11500549316406
