industry,0-10%,11-20%,21-30%,31-40%,>40%
Accumulators primary cells and batteries,0.02306576903633603,0.0063248730669649604,0.13335207606431093,0.1198166799840044,0.0579684941393264
Aircraft and spacecraft,0.03074875946428017,0.025550555525623044,0.016423423053579626,0.005281987648704534,0.0
Basic iron and steel,0.005885962025414283,0.0026859716249235973,0.018023426987625917,0.008396280135182706,0.00087973525181725
Basic precious and non-ferrous metals,0.021409112449294544,0.004729582404378243,0.00807257120456675,0.02035822105646194,0.0005034038844797334
Electronic valves tubes etc.,0.02871094655823455,0.006500024647727347,0.1556097539698277,0.08631011751587929,0.0564056061479681
Medical surgical and orthopaedic equipment,0.00911279934696042,0.013438260584505238,0.008125767743252396,0.020583945099724422,0.0012259342821512
Office accounting and computing machinery,0.01747098581998225,0.018729831576946313,0.0869500802792593,0.3512310327540141,0.0407830295543857
Optical instruments & photographic equipment,0.056351053958331454,0.021542565996592333,0.12326368886946952,0.18504343832272435,0.014847128080551499
TV and radio receivers and associated goods,0.0030679765414671997,0.007944562425068729,0.08412843601364539,0.2462705980547531,0.19682089878502784
