Región Importadora,Dependencia Media,Exposición Media,Valor Comercial Total
Otros,0.009409901729682589,0.0020448444009281853,631162.3801114457
África,0.009315786120282358,0.002211743386451653,55380.35238090251
Asia,0.00910646377487498,0.002264223784310049,1382919.7018823419
Oceanía,0.009029029570097163,0.0019833981739489507,36729.48612579936
Oriente Medio,0.008926797569407745,0.0020713371721216268,163669.45894286036
Unión Europea,0.00874751025989367,0.0019389742517199062,777665.43472955
Latinoamérica,0.008495779865713959,0.0018829449570260154,151882.59938508458
Norteamérica,0.006937217412366038,0.0016083403049949859,467540.8494987488
