supplier_country,industry,tariff,tariff_group,dependency_value,trade_value,region
VNM,Electronic valves tubes etc.,46,>40%,0.0564056061479681,3688.7255859375,ASIA
MMR,Electronic valves tubes etc.,45,>40%,0.0,0.0,ASIA
LKA,Electronic valves tubes etc.,44,>40%,0.0,0.0,ASIA
FLK,Electronic valves tubes etc.,42,>40%,0.0,0.0,OTHER
SYR,Electronic valves tubes etc.,41,>40%,0.0,0.0,OTHER
MUS,Electronic valves tubes etc.,40,31-40%,0.0,0.0,OTHER
IRQ,Electronic valves tubes etc.,39,31-40%,0.0,0.0,OTHER
BWA,Electronic valves tubes etc.,38,31-40%,0.0,0.0,OTHER
GUY,Electronic valves tubes etc.,38,31-40%,0.0,0.0,OTHER
SRB,Electronic valves tubes etc.,38,31-40%,0.0,0.0,OTHER
THA,Electronic valves tubes etc.,37,31-40%,0.036564279478063996,1777.125732421875,ASIA
BGD,Electronic valves tubes etc.,37,31-40%,0.0,0.0,ASIA
BIH,Electronic valves tubes etc.,36,31-40%,0.0,0.0,OTHER
CHN,Electronic valves tubes etc.,34,31-40%,0.1782245821765022,4025.015869140625,ASIA
MKD,Electronic valves tubes etc.,33,31-40%,0.0,0.0,OTHER
TWN,Electronic valves tubes etc.,32,31-40%,0.2163567801953218,4671.3974609375,ASIA
IDN,Electronic valves tubes etc.,32,31-40%,0.0003291722383638,0.0,ASIA
CHE,Electronic valves tubes etc.,32,31-40%,7.577349114464699e-05,0.0,OTHER
AGO,Electronic valves tubes etc.,32,31-40%,0.0,0.0,OTHER
FJI,Electronic valves tubes etc.,32,31-40%,0.0,0.0,OTHER
LBY,Electronic valves tubes etc.,31,31-40%,0.0,0.0,OTHER
MDA,Electronic valves tubes etc.,31,31-40%,0.0,0.0,OTHER
ZAF,Electronic valves tubes etc.,31,31-40%,0.0,0.0,OTHER
DZA,Electronic valves tubes etc.,30,21-30%,0.0,0.0,OTHER
NRU,Electronic valves tubes etc.,30,21-30%,0.0,0.0,OTHER
PAK,Electronic valves tubes etc.,30,21-30%,0.0,0.0,OTHER
TUN,Electronic valves tubes etc.,28,21-30%,0.0,0.0,OTHER
IND,Electronic valves tubes etc.,27,21-30%,0.0,0.0,OTHER
KAZ,Electronic valves tubes etc.,27,21-30%,0.0,0.0,OTHER
KOR,Electronic valves tubes etc.,26,21-30%,0.1150723498000314,3297.083251953125,ASIA
MYS,Electronic valves tubes etc.,24,21-30%,0.2523973475591454,18945.146484375,ASIA
JPN,Electronic valves tubes etc.,24,21-30%,0.0993595645503063,3181.158447265625,ASIA
BRN,Electronic valves tubes etc.,24,21-30%,0.0,0.0,ASIA
VUT,Electronic valves tubes etc.,23,21-30%,0.0,0.0,OTHER
CIV,Electronic valves tubes etc.,21,21-30%,0.0,0.0,OTHER
NAM,Electronic valves tubes etc.,21,21-30%,0.0,0.0,OTHER
DEU,Electronic valves tubes etc.,20,11-20%,0.0177870425459197,727.6257934570312,EU
IRL,Electronic valves tubes etc.,20,11-20%,0.0170185030741709,868.3726196289062,EU
AUT,Electronic valves tubes etc.,20,11-20%,0.0019314532932946,0.0,EU
ITA,Electronic valves tubes etc.,20,11-20%,0.0018350185425777,0.0,EU
FRA,Electronic valves tubes etc.,20,11-20%,0.0011396357207888,0.0,EU
NLD,Electronic valves tubes etc.,20,11-20%,0.00099624378949,0.0,EU
HUN,Electronic valves tubes etc.,20,11-20%,0.000160109481522,0.0,EU
CZE,Electronic valves tubes etc.,20,11-20%,9.188481613232186e-05,0.0,EU
BEL,Electronic valves tubes etc.,20,11-20%,8.197888036963995e-05,0.0,EU
POL,Electronic valves tubes etc.,20,11-20%,6.174514270540499e-05,0.0,EU
BGR,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
CYP,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
DNK,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
ESP,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
EST,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
FIN,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
GRC,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
HRV,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
JOR,Electronic valves tubes etc.,20,11-20%,0.0,0.0,OTHER
LTU,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
LUX,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
LVA,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
MLT,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
PRT,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
ROU,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
SVK,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
SVN,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
SWE,Electronic valves tubes etc.,20,11-20%,0.0,0.0,EU
NIC,Electronic valves tubes etc.,19,11-20%,0.0,0.0,LATAM
PHL,Electronic valves tubes etc.,18,11-20%,0.0362561034518287,1444.5213623046875,ASIA
MWI,Electronic valves tubes etc.,18,11-20%,0.0,0.0,OTHER
ZWE,Electronic valves tubes etc.,18,11-20%,0.0,0.0,OTHER
ISR,Electronic valves tubes etc.,17,11-20%,0.0006405770339284,0.0,OTHER
ZMB,Electronic valves tubes etc.,17,11-20%,0.0,0.0,OTHER
MOZ,Electronic valves tubes etc.,16,11-20%,0.0,0.0,OTHER
NOR,Electronic valves tubes etc.,16,11-20%,0.0,0.0,OTHER
VEN,Electronic valves tubes etc.,15,11-20%,0.0,0.0,LATAM
NGA,Electronic valves tubes etc.,14,11-20%,0.0,0.0,OTHER
GNQ,Electronic valves tubes etc.,13,11-20%,0.0,0.0,OTHER
TCD,Electronic valves tubes etc.,13,11-20%,0.0,0.0,OTHER
CMR,Electronic valves tubes etc.,12,11-20%,0.0,0.0,OTHER
COD,Electronic valves tubes etc.,11,11-20%,0.0,0.0,OTHER
SGP,Electronic valves tubes etc.,10,0-10%,0.0558703573595694,782.9131469726562,ASIA
GBR,Electronic valves tubes etc.,10,0-10%,0.0015515357568997,0.0,OTHER
AUS,Electronic valves tubes etc.,10,0-10%,0.0,0.0,OTHER
BRA,Electronic valves tubes etc.,10,0-10%,0.0,0.0,LATAM
CHL,Electronic valves tubes etc.,10,0-10%,0.0,0.0,LATAM
COL,Electronic valves tubes etc.,10,0-10%,0.0,0.0,LATAM
TUR,Electronic valves tubes etc.,10,0-10%,0.0,0.0,OTHER
LSO,Medical surgical and orthopaedic equipment,50,>40%,0.0,0.0,OTHER
KHM,Medical surgical and orthopaedic equipment,49,>40%,0.0,0.0,ASIA
LAO,Medical surgical and orthopaedic equipment,48,>40%,0.0,0.0,ASIA
MDG,Medical surgical and orthopaedic equipment,47,>40%,0.0,0.0,OTHER
VNM,Medical surgical and orthopaedic equipment,46,>40%,0.0012259342821512,0.0,ASIA
MMR,Medical surgical and orthopaedic equipment,45,>40%,0.0,0.0,ASIA
LKA,Medical surgical and orthopaedic equipment,44,>40%,0.0,0.0,ASIA
FLK,Medical surgical and orthopaedic equipment,42,>40%,0.0,0.0,OTHER
SYR,Medical surgical and orthopaedic equipment,41,>40%,0.0,0.0,OTHER
MUS,Medical surgical and orthopaedic equipment,40,31-40%,0.0,0.0,OTHER
IRQ,Medical surgical and orthopaedic equipment,39,31-40%,0.0,0.0,OTHER
BWA,Medical surgical and orthopaedic equipment,38,31-40%,0.0,0.0,OTHER
GUY,Medical surgical and orthopaedic equipment,38,31-40%,0.0,0.0,OTHER
SRB,Medical surgical and orthopaedic equipment,38,31-40%,0.0,0.0,OTHER
THA,Medical surgical and orthopaedic equipment,37,31-40%,0.0004714059168738,0.0,ASIA
BGD,Medical surgical and orthopaedic equipment,37,31-40%,0.0,0.0,ASIA
BIH,Medical surgical and orthopaedic equipment,36,31-40%,0.0,0.0,OTHER
CHN,Medical surgical and orthopaedic equipment,34,31-40%,0.0615423359855319,5134.48388671875,ASIA
MKD,Medical surgical and orthopaedic equipment,33,31-40%,0.0,0.0,OTHER
CHE,Medical surgical and orthopaedic equipment,32,31-40%,0.0385357686131921,2957.16650390625,OTHER
TWN,Medical surgical and orthopaedic equipment,32,31-40%,0.0020906685099264,0.0,ASIA
IDN,Medical surgical and orthopaedic equipment,32,31-40%,0.0002795464730979,0.0,ASIA
AGO,Medical surgical and orthopaedic equipment,32,31-40%,0.0,0.0,OTHER
FJI,Medical surgical and orthopaedic equipment,32,31-40%,0.0,0.0,OTHER
LBY,Medical surgical and orthopaedic equipment,31,31-40%,0.0,0.0,OTHER
MDA,Medical surgical and orthopaedic equipment,31,31-40%,0.0,0.0,OTHER
ZAF,Medical surgical and orthopaedic equipment,31,31-40%,0.0,0.0,OTHER
PAK,Medical surgical and orthopaedic equipment,30,21-30%,0.0008110630830152,0.0,OTHER
DZA,Medical surgical and orthopaedic equipment,30,21-30%,0.0,0.0,OTHER
NRU,Medical surgical and orthopaedic equipment,30,21-30%,0.0,0.0,OTHER
TUN,Medical surgical and orthopaedic equipment,28,21-30%,9.17145341952782e-05,0.0,OTHER
IND,Medical surgical and orthopaedic equipment,27,21-30%,0.0011048737882515,0.0,OTHER
KAZ,Medical surgical and orthopaedic equipment,27,21-30%,0.0,0.0,OTHER
KOR,Medical surgical and orthopaedic equipment,26,21-30%,0.0031261799081474,0.0,ASIA
JPN,Medical surgical and orthopaedic equipment,24,21-30%,0.0331234696729272,2446.827392578125,ASIA
MYS,Medical surgical and orthopaedic equipment,24,21-30%,0.0104973054729778,751.8463134765625,ASIA
BRN,Medical surgical and orthopaedic equipment,24,21-30%,0.0,0.0,ASIA
VUT,Medical surgical and orthopaedic equipment,23,21-30%,0.0,0.0,OTHER
CIV,Medical surgical and orthopaedic equipment,21,21-30%,0.0,0.0,OTHER
NAM,Medical surgical and orthopaedic equipment,21,21-30%,0.0,0.0,OTHER
DEU,Medical surgical and orthopaedic equipment,20,11-20%,0.0902188048421692,6134.435546875,EU
IRL,Medical surgical and orthopaedic equipment,20,11-20%,0.0687166377294587,7824.66064453125,EU
NLD,Medical surgical and orthopaedic equipment,20,11-20%,0.0177752841609866,0.0,EU
FRA,Medical surgical and orthopaedic equipment,20,11-20%,0.0164420676787172,1068.2125244140625,EU
POL,Medical surgical and orthopaedic equipment,20,11-20%,0.0076778075790522,778.067138671875,EU
ITA,Medical surgical and orthopaedic equipment,20,11-20%,0.0049799248191111,0.0,EU
BEL,Medical surgical and orthopaedic equipment,20,11-20%,0.0031898910656045,0.0,EU
AUT,Medical surgical and orthopaedic equipment,20,11-20%,0.0028708515773091,0.0,EU
DNK,Medical surgical and orthopaedic equipment,20,11-20%,0.001748119212426,0.0,EU
SWE,Medical surgical and orthopaedic equipment,20,11-20%,0.0008927525875124,0.0,EU
ESP,Medical surgical and orthopaedic equipment,20,11-20%,0.0007093396140964,0.0,EU
CZE,Medical surgical and orthopaedic equipment,20,11-20%,0.0006757751495617,0.0,EU
HUN,Medical surgical and orthopaedic equipment,20,11-20%,0.0006644165232553,0.0,EU
FIN,Medical surgical and orthopaedic equipment,20,11-20%,9.509849063088517e-05,0.0,EU
SVK,Medical surgical and orthopaedic equipment,20,11-20%,8.591044074375098e-05,0.0,EU
BGR,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
CYP,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
EST,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
GRC,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
HRV,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
JOR,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,OTHER
LTU,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
LUX,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
LVA,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
MLT,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
PRT,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
ROU,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
SVN,Medical surgical and orthopaedic equipment,20,11-20%,0.0,0.0,EU
NIC,Medical surgical and orthopaedic equipment,19,11-20%,0.0,0.0,LATAM
PHL,Medical surgical and orthopaedic equipment,18,11-20%,0.0002075290848937,0.0,ASIA
MWI,Medical surgical and orthopaedic equipment,18,11-20%,0.0,0.0,OTHER
ZWE,Medical surgical and orthopaedic equipment,18,11-20%,0.0,0.0,OTHER
ISR,Medical surgical and orthopaedic equipment,17,11-20%,0.0115002193810603,1161.5750732421875,OTHER
ZMB,Medical surgical and orthopaedic equipment,17,11-20%,0.0,0.0,OTHER
MOZ,Medical surgical and orthopaedic equipment,16,11-20%,0.0,0.0,OTHER
NOR,Medical surgical and orthopaedic equipment,16,11-20%,0.0,0.0,OTHER
VEN,Medical surgical and orthopaedic equipment,15,11-20%,0.0,0.0,LATAM
NGA,Medical surgical and orthopaedic equipment,14,11-20%,0.0,0.0,OTHER
GNQ,Medical surgical and orthopaedic equipment,13,11-20%,0.0,0.0,OTHER
TCD,Medical surgical and orthopaedic equipment,13,11-20%,0.0,0.0,OTHER
CMR,Medical surgical and orthopaedic equipment,12,11-20%,0.0,0.0,OTHER
COD,Medical surgical and orthopaedic equipment,11,11-20%,0.0,0.0,OTHER
GBR,Medical surgical and orthopaedic equipment,10,0-10%,0.0220834752343809,951.4490356445312,OTHER
SGP,Medical surgical and orthopaedic equipment,10,0-10%,0.0208395593386924,2167.62158203125,ASIA
AUS,Medical surgical and orthopaedic equipment,10,0-10%,0.0014514553315866,0.0,OTHER
BRA,Medical surgical and orthopaedic equipment,10,0-10%,0.0011546081913724,0.0,LATAM
TUR,Medical surgical and orthopaedic equipment,10,0-10%,3.489863876979878e-05,0.0,OTHER
CHL,Medical surgical and orthopaedic equipment,10,0-10%,0.0,0.0,LATAM
COL,Medical surgical and orthopaedic equipment,10,0-10%,0.0,0.0,LATAM
LSO,Office accounting and computing machinery,50,>40%,0.0,0.0,OTHER
KHM,Office accounting and computing machinery,49,>40%,0.0,0.0,ASIA
LAO,Office accounting and computing machinery,48,>40%,0.0,0.0,ASIA
MDG,Office accounting and computing machinery,47,>40%,0.0,0.0,OTHER
VNM,Office accounting and computing machinery,46,>40%,0.0407830295543857,2181.077880859375,ASIA
MMR,Office accounting and computing machinery,45,>40%,0.0,0.0,ASIA
LKA,Office accounting and computing machinery,44,>40%,0.0,0.0,ASIA
FLK,Office accounting and computing machinery,42,>40%,0.0,0.0,OTHER
SYR,Office accounting and computing machinery,41,>40%,0.0,0.0,OTHER
MUS,Office accounting and computing machinery,40,31-40%,0.0,0.0,OTHER
IRQ,Office accounting and computing machinery,39,31-40%,0.0,0.0,OTHER
BWA,Office accounting and computing machinery,38,31-40%,0.0,0.0,OTHER
GUY,Office accounting and computing machinery,38,31-40%,0.0,0.0,OTHER
SRB,Office accounting and computing machinery,38,31-40%,0.0,0.0,OTHER
THA,Office accounting and computing machinery,37,31-40%,0.2858361711664662,5599.6748046875,ASIA
BGD,Office accounting and computing machinery,37,31-40%,0.0,0.0,ASIA
BIH,Office accounting and computing machinery,36,31-40%,0.0,0.0,OTHER
CHN,Office accounting and computing machinery,34,31-40%,0.8233908984489358,54091.76171875,ASIA
MKD,Office accounting and computing machinery,33,31-40%,0.0,0.0,OTHER
TWN,Office accounting and computing machinery,32,31-40%,0.2955438557382589,10882.474609375,ASIA
IDN,Office accounting and computing machinery,32,31-40%,0.0001532056623957,0.0,ASIA
AGO,Office accounting and computing machinery,32,31-40%,0.0,0.0,OTHER
CHE,Office accounting and computing machinery,32,31-40%,0.0,0.0,OTHER
FJI,Office accounting and computing machinery,32,31-40%,0.0,0.0,OTHER
LBY,Office accounting and computing machinery,31,31-40%,0.0,0.0,OTHER
MDA,Office accounting and computing machinery,31,31-40%,0.0,0.0,OTHER
ZAF,Office accounting and computing machinery,31,31-40%,0.0,0.0,OTHER
DZA,Office accounting and computing machinery,30,21-30%,0.0,0.0,OTHER
NRU,Office accounting and computing machinery,30,21-30%,0.0,0.0,OTHER
PAK,Office accounting and computing machinery,30,21-30%,0.0,0.0,OTHER
TUN,Office accounting and computing machinery,28,21-30%,0.0,0.0,OTHER
IND,Office accounting and computing machinery,27,21-30%,0.0002767169925358,0.0,OTHER
KAZ,Office accounting and computing machinery,27,21-30%,0.0,0.0,OTHER
KOR,Office accounting and computing machinery,26,21-30%,0.2136174411853232,4691.556640625,ASIA
MYS,Office accounting and computing machinery,24,21-30%,0.0871382548177708,1554.6065673828125,ASIA
JPN,Office accounting and computing machinery,24,21-30%,0.0467679081214074,1152.787109375,ASIA
BRN,Office accounting and computing machinery,24,21-30%,0.0,0.0,ASIA
VUT,Office accounting and computing machinery,23,21-30%,0.0,0.0,OTHER
CIV,Office accounting and computing machinery,21,21-30%,0.0,0.0,OTHER
NAM,Office accounting and computing machinery,21,21-30%,0.0,0.0,OTHER
DEU,Office accounting and computing machinery,20,11-20%,0.0147766313008145,1089.18212890625,EU
IRL,Office accounting and computing machinery,20,11-20%,0.0045374676428482,0.0,EU
NLD,Office accounting and computing machinery,20,11-20%,0.0028360531662105,0.0,EU
CZE,Office accounting and computing machinery,20,11-20%,0.0009449346491258,0.0,EU
POL,Office accounting and computing machinery,20,11-20%,0.0003970970363799,0.0,EU
HUN,Office accounting and computing machinery,20,11-20%,0.0003646969131654,0.0,EU
FRA,Office accounting and computing machinery,20,11-20%,8.71426374662726e-05,0.0,EU
ITA,Office accounting and computing machinery,20,11-20%,5.168723415293741e-05,0.0,EU
AUT,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
BEL,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
BGR,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
CYP,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
DNK,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
ESP,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
EST,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
FIN,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
GRC,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
HRV,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
JOR,Office accounting and computing machinery,20,11-20%,0.0,0.0,OTHER
LTU,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
LUX,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
LVA,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
MLT,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
PRT,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
ROU,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
SVK,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
SVN,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
SWE,Office accounting and computing machinery,20,11-20%,0.0,0.0,EU
NIC,Office accounting and computing machinery,19,11-20%,0.0,0.0,LATAM
PHL,Office accounting and computing machinery,18,11-20%,0.1445727736123533,2840.646728515625,ASIA
MWI,Office accounting and computing machinery,18,11-20%,0.0,0.0,OTHER
ZWE,Office accounting and computing machinery,18,11-20%,0.0,0.0,OTHER
ISR,Office accounting and computing machinery,17,11-20%,0.0,0.0,OTHER
ZMB,Office accounting and computing machinery,17,11-20%,0.0,0.0,OTHER
MOZ,Office accounting and computing machinery,16,11-20%,0.0,0.0,OTHER
NOR,Office accounting and computing machinery,16,11-20%,0.0,0.0,OTHER
VEN,Office accounting and computing machinery,15,11-20%,0.0,0.0,LATAM
NGA,Office accounting and computing machinery,14,11-20%,0.0,0.0,OTHER
GNQ,Office accounting and computing machinery,13,11-20%,0.0,0.0,OTHER
TCD,Office accounting and computing machinery,13,11-20%,0.0,0.0,OTHER
CMR,Office accounting and computing machinery,12,11-20%,0.0,0.0,OTHER
COD,Office accounting and computing machinery,11,11-20%,0.0,0.0,OTHER
SGP,Office accounting and computing machinery,10,0-10%,0.0347220840401342,0.0,ASIA
GBR,Office accounting and computing machinery,10,0-10%,0.0002198875998303,0.0,OTHER
AUS,Office accounting and computing machinery,10,0-10%,0.0,0.0,OTHER
BRA,Office accounting and computing machinery,10,0-10%,0.0,0.0,LATAM
CHL,Office accounting and computing machinery,10,0-10%,0.0,0.0,LATAM
COL,Office accounting and computing machinery,10,0-10%,0.0,0.0,LATAM
TUR,Office accounting and computing machinery,10,0-10%,0.0,0.0,OTHER
LSO,Optical instruments & photographic equipment,50,>40%,0.0,0.0,OTHER
KHM,Optical instruments & photographic equipment,49,>40%,0.0,0.0,ASIA
LAO,Optical instruments & photographic equipment,48,>40%,0.0002881314497617,0.0,ASIA
MDG,Optical instruments & photographic equipment,47,>40%,0.0,0.0,OTHER
VNM,Optical instruments & photographic equipment,46,>40%,0.0438160662302836,69.6008071899414,ASIA
MMR,Optical instruments & photographic equipment,45,>40%,0.0004371865616092,0.0,ASIA
LKA,Optical instruments & photographic equipment,44,>40%,0.0,0.0,ASIA
FLK,Optical instruments & photographic equipment,42,>40%,0.0,0.0,OTHER
SYR,Optical instruments & photographic equipment,41,>40%,0.0,0.0,OTHER
MUS,Optical instruments & photographic equipment,40,31-40%,0.0,0.0,OTHER
IRQ,Optical instruments & photographic equipment,39,31-40%,0.0,0.0,OTHER
BWA,Optical instruments & photographic equipment,38,31-40%,0.0,0.0,OTHER
GUY,Optical instruments & photographic equipment,38,31-40%,0.0,0.0,OTHER
SRB,Optical instruments & photographic equipment,38,31-40%,0.0,0.0,OTHER
THA,Optical instruments & photographic equipment,37,31-40%,0.0938933763163514,494.0368957519531,ASIA
BGD,Optical instruments & photographic equipment,37,31-40%,0.0,0.0,ASIA
BIH,Optical instruments & photographic equipment,36,31-40%,0.0,0.0,OTHER
CHN,Optical instruments & photographic equipment,34,31-40%,0.5646108803339697,3793.357666015625,ASIA
MKD,Optical instruments & photographic equipment,33,31-40%,0.0,0.0,OTHER
TWN,Optical instruments & photographic equipment,32,31-40%,0.2509206059494906,514.0648803710938,ASIA
IDN,Optical instruments & photographic equipment,32,31-40%,0.0097139674882014,99.91468811035156,ASIA
CHE,Optical instruments & photographic equipment,32,31-40%,0.0060783615256087,0.0,OTHER
AGO,Optical instruments & photographic equipment,32,31-40%,0.0,0.0,OTHER
FJI,Optical instruments & photographic equipment,32,31-40%,0.0,0.0,OTHER
LBY,Optical instruments & photographic equipment,31,31-40%,0.0,0.0,OTHER
MDA,Optical instruments & photographic equipment,31,31-40%,0.0,0.0,OTHER
ZAF,Optical instruments & photographic equipment,31,31-40%,0.0,0.0,OTHER
DZA,Optical instruments & photographic equipment,30,21-30%,0.0,0.0,OTHER
NRU,Optical instruments & photographic equipment,30,21-30%,0.0,0.0,OTHER
PAK,Optical instruments & photographic equipment,30,21-30%,0.0,0.0,OTHER
TUN,Optical instruments & photographic equipment,28,21-30%,0.0,0.0,OTHER
IND,Optical instruments & photographic equipment,27,21-30%,0.0040677941228034,0.0,OTHER
KAZ,Optical instruments & photographic equipment,27,21-30%,0.0,0.0,OTHER
KOR,Optical instruments & photographic equipment,26,21-30%,0.1928727580775465,138.74729919433594,ASIA
JPN,Optical instruments & photographic equipment,24,21-30%,0.2684725330876745,1361.3040771484375,ASIA
MYS,Optical instruments & photographic equipment,24,21-30%,0.0276416701898537,223.76129150390625,ASIA
BRN,Optical instruments & photographic equipment,24,21-30%,0.0,0.0,ASIA
VUT,Optical instruments & photographic equipment,23,21-30%,0.0,0.0,OTHER
CIV,Optical instruments & photographic equipment,21,21-30%,0.0,0.0,OTHER
NAM,Optical instruments & photographic equipment,21,21-30%,0.0,0.0,OTHER
DEU,Optical instruments & photographic equipment,20,11-20%,0.1620728675842291,1037.976806640625,EU
ITA,Optical instruments & photographic equipment,20,11-20%,0.1334188272206619,1243.3817138671875,EU
IRL,Optical instruments & photographic equipment,20,11-20%,0.0447707732254992,215.27740478515625,EU
NLD,Optical instruments & photographic equipment,20,11-20%,0.0234707486633761,69.9043197631836,EU
FRA,Optical instruments & photographic equipment,20,11-20%,0.0214945909646436,148.0052032470703,EU
AUT,Optical instruments & photographic equipment,20,11-20%,0.0090330489149607,92.71846771240234,EU
SWE,Optical instruments & photographic equipment,20,11-20%,0.0082640580663567,93.96829986572266,EU
CZE,Optical instruments & photographic equipment,20,11-20%,0.0054428807429666,0.0,EU
BEL,Optical instruments & photographic equipment,20,11-20%,0.0043410870334797,0.0,EU
HUN,Optical instruments & photographic equipment,20,11-20%,0.0031744185855641,0.0,EU
POL,Optical instruments & photographic equipment,20,11-20%,0.003146676146797,0.0,EU
ESP,Optical instruments & photographic equipment,20,11-20%,0.0028399264369559,0.0,EU
PRT,Optical instruments & photographic equipment,20,11-20%,0.0019863618755323,0.0,EU
SVN,Optical instruments & photographic equipment,20,11-20%,0.0019349628878335,0.0,EU
ROU,Optical instruments & photographic equipment,20,11-20%,0.000739699617677,0.0,EU
DNK,Optical instruments & photographic equipment,20,11-20%,0.0006889554358227,0.0,EU
LVA,Optical instruments & photographic equipment,20,11-20%,7.294859014332893e-05,0.0,EU
FIN,Optical instruments & photographic equipment,20,11-20%,5.18819379535121e-05,0.0,EU
BGR,Optical instruments & photographic equipment,20,11-20%,4.414760233467196e-05,0.0,EU
CYP,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
EST,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
GRC,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
HRV,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
JOR,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,OTHER
LTU,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
LUX,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
MLT,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
SVK,Optical instruments & photographic equipment,20,11-20%,0.0,0.0,EU
NIC,Optical instruments & photographic equipment,19,11-20%,0.0,0.0,LATAM
PHL,Optical instruments & photographic equipment,18,11-20%,0.032306601197797,233.76336669921875,ASIA
MWI,Optical instruments & photographic equipment,18,11-20%,0.0,0.0,OTHER
ZWE,Optical instruments & photographic equipment,18,11-20%,0.0,0.0,OTHER
ISR,Optical instruments & photographic equipment,17,11-20%,0.014574099653288103,163.0452880859375,OTHER
ZMB,Optical instruments & photographic equipment,17,11-20%,0.0,0.0,OTHER
NOR,Optical instruments & photographic equipment,16,11-20%,6.688954115857161e-05,0.0,OTHER
MOZ,Optical instruments & photographic equipment,16,11-20%,0.0,0.0,OTHER
VEN,Optical instruments & photographic equipment,15,11-20%,0.0,0.0,LATAM
NGA,Optical instruments & photographic equipment,14,11-20%,0.0,0.0,OTHER
GNQ,Optical instruments & photographic equipment,13,11-20%,0.0,0.0,OTHER
TCD,Optical instruments & photographic equipment,13,11-20%,0.0,0.0,OTHER
CMR,Optical instruments & photographic equipment,12,11-20%,0.0,0.0,OTHER
COD,Optical instruments & photographic equipment,11,11-20%,0.0,0.0,OTHER
GBR,Optical instruments & photographic equipment,10,0-10%,0.0734954902416529,584.0891723632812,OTHER
SGP,Optical instruments & photographic equipment,10,0-10%,0.03920661767501,230.72645568847656,ASIA
AUS,Optical instruments & photographic equipment,10,0-10%,0.0,0.0,OTHER
BRA,Optical instruments & photographic equipment,10,0-10%,0.0,0.0,LATAM
CHL,Optical instruments & photographic equipment,10,0-10%,0.0,0.0,LATAM
COL,Optical instruments & photographic equipment,10,0-10%,0.0,0.0,LATAM
TUR,Optical instruments & photographic equipment,10,0-10%,0.0,0.0,OTHER
LSO,TV and radio receivers and associated goods,50,>40%,0.0,0.0,OTHER
