industry,dependent_country,supplier_country,dependency_value,direct_dependency,indirect_dependency,trade_value,optimal_length,tariff,tariff_group,region
Accumulators primary cells and batteries,USA,GRC,0.0001982900047802,0.0,0.0001982900047802,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,SWE,0.0001348676271518,0.0,0.0001348676271518,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,DNK,4.854183681081642e-05,0.0,4.854183681081642e-05,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,CYP,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,EST,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,FIN,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,HRV,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,IRL,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,JOR,0.0,0.0,0.0,0.0,2,20,11-20%,OTHER
Accumulators primary cells and batteries,USA,LTU,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,LUX,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,LVA,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,MLT,0.0,0.0,0.0,0.0,2,20,11-20%,EU
Accumulators primary cells and batteries,USA,NIC,0.0,0.0,0.0,0.0,2,19,11-20%,LATAM
Accumulators primary cells and batteries,USA,PHL,0.0072245316462565,0.0056778276339173,0.0015467040123392,78.76199340820312,2,18,11-20%,ASIA
Accumulators primary cells and batteries,USA,MWI,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Accumulators primary cells and batteries,USA,ZWE,0.0,0.0,0.0,0.0,2,18,11-20%,OTHER
Accumulators primary cells and batteries,USA,ISR,0.0010103380567225,0.0,0.0010103380567225,0.0,2,17,11-20%,OTHER
Accumulators primary cells and batteries,USA,ZMB,0.0,0.0,0.0,0.0,2,17,11-20%,OTHER
Accumulators primary cells and batteries,USA,MOZ,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Accumulators primary cells and batteries,USA,NOR,0.0,0.0,0.0,0.0,2,16,11-20%,OTHER
Accumulators primary cells and batteries,USA,VEN,0.0,0.0,0.0,0.0,2,15,11-20%,LATAM
Accumulators primary cells and batteries,USA,NGA,0.0,0.0,0.0,0.0,2,14,11-20%,OTHER
Accumulators primary cells and batteries,USA,GNQ,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Accumulators primary cells and batteries,USA,TCD,0.0,0.0,0.0,0.0,2,13,11-20%,OTHER
Accumulators primary cells and batteries,USA,CMR,0.0,0.0,0.0,0.0,2,12,11-20%,OTHER
Accumulators primary cells and batteries,USA,COD,0.0,0.0,0.0,0.0,2,11,11-20%,OTHER
Accumulators primary cells and batteries,USA,SGP,0.0591612385579203,0.0112241599708795,0.0479370785870408,155.6999053955078,3,10,0-10%,ASIA
