region_importer,Accumulators primary c...,Aircraft and spacecraft,Basic iron and steel,Basic precious and non...,Electronic valves tube...,Medical surgical and o...,Office accounting and ...,Optical instruments & ...,TV and radio receivers...
Otros,0.1287025629623463,0.04311298295075776,0.061301596262138026,0.02327139435828789,0.10765304457457543,0.038053662271158896,0.16769690543390217,0.14914382280548066,0.15442570008046444
África,0.1072569884002688,0.04582810103751387,0.05704723917191102,0.08682781181335494,0.1404198076991885,0.13290381591499717,0.1392601753148898,0.09080131558588593,0.18952756632767587
Asia,0.13609918587874287,0.042949394854835496,0.07577481042458503,0.03019238838916672,0.09975663714402264,0.028126359032027128,0.1364952504350793,0.10004448274343988,0.1493893122963742
Oceanía,0.09850131495370038,0.0415240805835932,0.03438703108306745,0.0402946763527811,0.16685193798362855,0.022050726518322128,0.1803258663134088,0.07556484711580969,0.1633461262275709
Oriente Medio,0.0706501368309924,0.04300765186984565,0.03621795477318978,0.02793402306746815,0.09165187642803009,0.02672942370132515,0.16811208970126112,0.0806404925049917,0.14082976482667922
Unión Europea,0.07471375580301139,0.04238752307421879,0.02727068236488132,0.025456197390090852,0.05309520126711923,0.0225094738713964,0.11064156552062179,0.059694242100373766,0.08732442028858259
Latinoamérica,0.07234609333949236,0.04800047056771091,0.035259644162533466,0.03142195369435286,0.0946698704329489,0.02816833562501522,0.1601940997252541,0.1459071318808145,0.13314766522611765
Norteamérica,0.06688456070268074,0.020051571774865985,0.00762845779209988,0.01220958407883553,0.04824076560430393,0.012837493690615072,0.1450220844831078,0.07282003109650752,0.1317695233528872
