country,weighted_dependency,weighted_direct_dependency,weighted_indirect_dependency,total_trade_value,country_name
CHN,0.6466754742148046,0.3584270152738885,0.2882484589409161,589169.649696,China
BMU,0.5905816660945933,0.5905816660945933,0.0,32340.0,Bermudas
CAN,0.33758418722043,0.3303769672156419,0.007207220004788035,462003.65142799995,Canadá
VNM,0.3057016912579564,0.14961308901953965,0.1560886022384167,131808.718545,Vietnam
GBR,0.28436877934640054,0.20466632906536916,0.07970245028103123,197401.362833,Reino Unido
MEX,0.26052650795049426,0.24109363331018768,0.019432874640306543,481186.71380800003,México
IRL,0.2433783257591027,0.15711366329176216,0.08626466246734053,108815.090369,Irlanda
DEU,0.22955986938738118,0.09204956210706294,0.13751030728031818,201160.142294,Alemania
JPN,0.21555207599288742,0.12370688996952416,0.09184518602336321,196794.73196900001,Japón
CHE,0.21284014526311448,0.13504645220732792,0.07779369305578653,76839.309899,Suiza
TWN,0.2070344035991797,0.08575021555106951,0.12128418804811013,105636.857914,Taiwán
BGD,0.19143071567448397,0.09683106713521863,0.09459964853926525,11441.982009,BGD
FRA,0.18704828010893654,0.09877069162734278,0.08827758848159373,91915.241461,Francia
MYS,0.17915194370012255,0.12613742966545302,0.05301451403466948,60987.8226,Malasia
SGP,0.16673544814543548,0.10737662486129919,0.05935882328413616,68812.398827,Singapur
IND,0.15495583096956378,0.09694621045176001,0.05800962051780381,118099.633142,India
ITA,0.1483708954477547,0.060034390453241826,0.08833650499451287,78481.973183,Italia
SAU,0.14125464877786484,0.06679555500346365,0.07445909377440119,24037.015632,SAU
KOR,0.1371870477459305,0.07248415473178206,0.06470289301414843,147089.12469,Corea del Sur
THA,0.13136881397923625,0.06258441333597786,0.06878440064325834,62584.014136,Tailandia
IDN,0.1253398431475909,0.07327838037560189,0.052061462771988934,31054.377462,IDN
RUS,0.12479734174087714,0.06714526444491808,0.05765207729595899,12603.662179,RUS
NLD,0.12268172742639863,0.04513232859206778,0.07754939883433076,54085.527112,Países Bajos
DNK,0.10776737861482477,0.0507410198379549,0.057026358776869825,28874.823256,DNK
HKG,0.10529565452135389,0.046529944654271675,0.058765709867082176,18734.35458,HKG
BRA,0.10295590055207225,0.06717176455707946,0.03578413599499275,40553.401069,Brasil
BEL,0.09637663085081256,0.03961128955690303,0.05676534129390949,37698.93647,BEL
DOM,0.08537453033718832,0.08415567398137284,0.001218856355815482,11733.376021,DOM
ESP,0.08424548808384892,0.033409960366065944,0.050835527717782936,25102.97365,ESP
TUR,0.08396844507100702,0.051604370113732215,0.03236407495727475,19523.905197,TUR
ZAF,0.08063570101142059,0.04938642762242521,0.031249273388995323,13778.232372,ZAF
COL,0.07688878867079105,0.06673890445163669,0.010149884219154309,20250.009369,COL
KHM,0.07382520420093852,0.055352483397369916,0.0184727208035686,12498.58093,KHM
SWE,0.055677759610852945,0.024085984336799763,0.031591775274053144,25559.818735,SWE
AUT,0.055053540397061076,0.02628411260596528,0.028769427791095772,15229.082246,AUT
ISR,0.05456017473527492,0.0420757318759146,0.012484442859360284,26534.293522,ISR
FIN,0.04627866692541079,0.02708863166160229,0.019190035263808452,11573.914138,FIN
POL,0.04235408645187231,0.015964958652550595,0.026389127799321666,16425.252327,POL
PHL,0.03643732800665514,0.017749338744250012,0.0186879892624051,20918.905808,PHL
AUS,0.035157936644435936,0.026356926470156267,0.008801010174279611,17248.81884,AUS
