dependent_country;dependency_value;direct_dependency;indirect_dependency
México;0.7041827307219214;0.6531030061968763;0.05107972452504504
Canadá;0.7004296783175978;0.6238755560920691;0.07655412222552868
Reino Unido;0.4412881894297371;0.25283326595219274;0.1884549234775443
Francia;0.33887447949123756;0.1884753792302488;0.15039910026098874
España;0.33371457503869634;0.18575243758788784;0.1479621374508084
Alemania;0.2999501704594846;0.14494978479162082;0.1550003856678637
Italia;0.22916083096747145;0.09146155435948403;0.13769927660798736
